THE MIND OF CROWDS	『群集心理』
The dogmas whose birth we are witnessing will soon have the force of the old dogmas;  that is to say, the tyrannical and sovereign force of being above discussion.	我々がその誕生を目撃している新しい教義は、古い教義と同等の力−議論を制する専制的で絶対的な力−をもつことになるであろう。
The divine right of the masses is about to replace the divine right of kings.	群集への権利の神授説は、王権神授説にとって替わろうとしているのだ。
The writers who enjoy the favour of our middle classes, those who best represent their rather narrow ideas, their somewhat prescribed views, their rather superficial scepticism, and their at times somewhat excessive egoism, display profound alarm at this new power which they see growing;	中産階級というものは狭量な思想を持ち、決まりきったものの見方をし、表層的な懐疑主義に陥り、極端なエゴイズムになっているものだが、そういう彼らのお気に召すような文筆家は、新たな群集の勃興に警鐘を鳴らす。
and to combat the disorder in men's minds they are addressing despairing appeals to those moral forces of the Church for which they formerly professed so much disdain.	そして［中産階級の］人心の混乱を静めるために、一度は価値がないと見放したはずの教会の権威を持ち出して対処しようとしている。
They talk to us of the bankruptcy of science, go back in penitence to Rome, and remind us of the teachings of revealed truth.	さらに科学の破綻を示し、ローマ*10への恭順を説き、隠された真実の教説を想起させようとする。
These new converts forget that it is too late.	しかし、これらの新しい「改宗者」は、［自分たちのやっていることが］もはや後手になってしまっていることを忘れている。
Had they been really touched by grace, a like operation could not have the same influence on minds less concerned with the preoccupations which beset these recent adherents to religion.	仮にその改宗者たちが本当に恩寵に心を動かされたとしても、同じ教説を信じない者にとっては何とも感じることはないのだ。
The masses repudiate to-day the gods which their admonishers repudiated yesterday and helped to destroy.	これまで説諭者たちが否定し、破壊をすすめてきた神を、今度は群集が否定する。
There is no power, Divine or human, that can oblige a stream to flow back to its source.	神であれ人間であれ、川の流れを水源に戻すことなどできはしないのである。
There has been no bankruptcy of science, and science has had no share in the present intellectual anarchy, nor in the making of the new power which is springing up in the midst of this anarchy.	実際には科学は破綻していない*11し、現在の知的な無政府状態や［群集という］新たな勢力の勃興は無縁である。
Science promised us truth, or at least a knowledge of such relations as our intelligence can seize:	科学は我々に真実を約束した―少なくとも我々に関係する知識［の提供］を約束した。
it never promised us peace or happiness.	しかし、決して平和や幸福を約束したわけではない。
Sovereignly indifferent to our feelings, it is deaf to our lamentations.	我々の感情などには無関心なのだから、科学は我々の悲嘆に耳を貸さない。
It is for us to endeavour to live with science, since nothing can bring back the illusions it has destroyed.	科学が破壊した幻想はもはやとりもどすことは出来ないので、科学と共存するには我々のほうが努力するしかないのである。
Universal symptoms, visible in all nations, show us the rapid growth of the power of crowds, and do not admit of our supposing that it is destined to cease growing at an early date.	あらゆる国で見られる一般的な傾向として、群集の力が急激に成長しており、もはや早期に阻止することはできず、
Whatever fate it may reserve for us, we shall have to submit to it.	何が起ころうともその結果を受け入れるしかないであろう。
All reasoning against it is a mere vain war of words.	抵抗するのは無駄である。
Certainly it is possible that the advent to power of the masses marks one of the last stages of Western civilisation, a complete return to those periods of confused anarchy which seem always destined to precede the birth of every new society.	確かに群集の到来が西洋文明の最終段階をもたらし、全ての新社会誕生に先行するあの混乱した無政府状態の時代への完璧な回帰をもたらすことは可能である。
But may this result be prevented?	この結果は防ぐことができるのか？
Up to now these thoroughgoing destructions of a worn-out civilisation have constituted the most obvious task of the masses.	これまで、古い文明を徹底的に破壊することが、群集の最も明白な仕事であった。
It is not indeed to-day merely that this can be traced.	それが指摘されるのは今に始まったことではない。
History tells us, that from the moment when the moral forces on which a civilisation rested have lost their strength, its final dissolution is brought about by those unconscious and brutal crowds known, justifiably enough, as barbarians.	文明を支えている道徳が効力を失ったとき、無意識ではあるが残酷な群集によって最終的に破壊されるということを歴史が示している。
Civilisations as yet have only been created and directed by a small intellectual aristocracy, never by crowds.	文明は少数の知的な貴族によって創設され方向付けられてきたのであって、群集によってではない。
Crowds are only powerful for destruction.	群集のもたらすものは破壊のみである。*12
Their rule is always tantamount to a barbarian phase.	混乱が群集のルールである。
A civilisation involves fixed rules, discipline, a passing from the instinctive to the rational state, forethought for the future, an elevated degree of culture	文明には、固定的な規則や規律、本能的状態から理性的状態への移行、将来に対する見とおし、文化の高尚な段階というものが含まれているものである。
--all of them conditions that crowds, left to themselves, have invariably shown themselves incapable of realising.	しかしこれらは群集には及びもつかないことであろう。
In consequence of the purely destructive nature of their power crowds act like those microbes which hasten the dissolution of enfeebled or dead bodies.	群集は、その純粋に破壊的な力をもって、衰弱した肉体や死体の分解を早める微生物のようなものだ。
When the structure of a civilisation is rotten, it is always the masses that bring about its downfall.	文明の構造が腐敗したとき、崩壊に至らせるのが群集である。
It is at such a juncture that their chief mission is plainly visible, and that for a while the philosophy of number seems the only philosophy of history.	そのような局面こそが群集の使命が明白に現れるときであり、その間は、数の哲学が歴史の哲学になるのだ。
Is the same fate in store for our civilisation?	同じ運命が我々の文明を待ち受けているのであろうか？
There is ground to fear that this is the case, but we are not as yet in a position to be certain of it.	今のところは、それはわからない。
We have a very slight knowledge of these crowds which are beginning to be the object of so much discussion.	群集についての議論が始まったものの、実は我々はほとんど群集に関する知識がほとんどない。
Professional students of psychology, having lived far from them, have always ignored them,	心理学の専門家たちは群集とは別世界で生活しているがために、常に群集を無視してきた。
and when, as of late, they have turned their attention in this direction it has only been to consider the crimes crowds are capable of committing.	注意を払ったとしても群衆の犯罪という観点からであった。
Without a doubt criminal crowds exist,	確かに、犯罪的な群集というものは存在する。
but virtuous and heroic crowds, and crowds of many other kinds, are also to be met with.	一方で、群集にも高潔で英雄的なものも、その他の様々なタイプの群集が存在しうるのだ。
The crimes of crowds only constitute a particular phase of their psychology.	犯罪的な群集とは心理学上の特定の局面でしかない。
The mental constitution of crowds is not to be learnt merely by a study of their crimes, any more than that of an individual by a mere description of his vices.	個人の悪行だけからその人の精神状態を記述できないように、犯罪的な側面からだけでは群集の精神構造を分析することはできない。
However, in point of fact, all the world's masters, all the founders of religions or empires, the apostles of all beliefs, eminent statesmen, and, in a more modest sphere, the mere chiefs of small groups of men have always been unconscious psychologists, possessed of an instinctive and often very sure knowledge of the character of crowds,	世界の全ての支配者、全ての宗教の創唱者、全ての帝国の創始者、全ての信念の唱導者、著名な政治家から身近なところでは小さなグループのリーダーに至るまで、彼（女）らは無意識であるけれども常に心理学者であり、本能的に極めて正確に群集の性質を把握していたのだ。
and it is their accurate knowledge of this character that has enabled them to so easily establish their mastery.	その正確な知識のおかげでその地位を獲得できたのである。
Napoleon had a marvellous insight into the psychology of the masses of the country over which he reigned, but he, at times, completely misunderstood the psychology of crowds belonging to other races;[1]	ナポレオンは、自らの支配する領土（フランス）の群集の心理には長けていたが、それ以外の土地の群衆の性質に関してはまったくの誤解をしていた。[1]
and it is because he thus misunderstood it that he engaged in Spain, and notably in Russia, in conflicts in which his power received blows which were destined within a brief space of time to ruin it.	この誤解のためにスペインで、そして特にロシアで自らを破滅に導く戦争に突入していったのである。
A knowledge of the psychology of crowds is to-day the last resource of the statesman who wishes not to govern them--that is becoming a very difficult matter--but at any rate not to be too much governed by them.	現在では群集の心理学の知識は、群集を支配する―これは非常に難しくなっている―ためではなく、群集に支配されることを望まない政治家にとっての最後の資源となっている。
It is only by obtaining some sort of insight into the psychology of crowds that it can be understood how slight is the action upon them of laws and institutions, how powerless they are to hold any opinions other than those which are imposed upon them,	法律や制度と言うものがいかに群集に影響を与えないかということうや群集が押しつけられた意見とは違う意見をもつことの困難さを群集心理学は明らかにする。
and that it is not with rules based on theories of pure equity that they are to be led, but by seeking what produces an impression on them and what seduces them.	群集を動かすのは、純粋な平等の理論に基づいたルールではなく、印象であり、群集を魅惑するものなのだ。
For instance, should a legislator, wishing to impose a new tax, choose that which would be theoretically the most just?	たとえば、新しい課税を望む立法者は理論上最も公正な制度を選択すべきだろうか？
By no means.	そうではない。
In practice the most unjust may be the best for the masses.	実際、最も公正に欠くものでも、群集にとっては最良のものとなることがあるからだ。
Should it at the same time be the least obvious, and apparently the least burdensome, it will be the most easily tolerated.	新課税がほとんど目立たず、対した負担でないと見える場合がそうである。
It is for this reason that an indirect tax, however exorbitant it be, will always be accepted by the crowd,	この理由から、間接税は、それが法外なものであろうとも承認されるだろう。
because, being paid daily in fractions of a farthing on objects of consumption, it will not interfere with the habits of the crowd, and will pass unperceived.	というのも、日々の消費から少しずつ徴収されることになるので習慣を妨げないからだ。
Replace it by a proportional tax on wages or income of any other kind, to be paid in a lump sum, and were this new imposition theoretically ten times less burdensome than the other, it would give rise to unanimous protest.	ところがこれを賃金や所得への比例税という形で課税すると、その負担が１０倍軽くても、総反対を食らうことになるだろう。
This arises from the fact that a sum relatively high, which will appear immense, and will in consequence strike the imagination, has been substituted for the unperceived fractions of a farthing.	日々の少額の徴収が、大きな総額にとってかわるということである。
The new tax would only appear light had it been saved farthing by farthing,	この新しい税も、ほんの少しずつ徴収されたなら気にならないであろう。
but this economic proceeding involves an amount of foresight of which the masses are incapable.	このような経済的な方法は、群集が持ち合わせていない洞察力を必要とするのである。
The example which precedes is of the simplest.	先述の例は、その簡単な例であり、
Its appositeness will be easily perceived.	容易に理解されるだろう。
It did not escape the attention of such a psychologist as Napoleon, but our modern legislators, ignorant as they are of the characteristics of a crowd, are unable to appreciate it.	ナポレオンのような心理学者はそのことに気づいていたが、多くの立法者たちは群集の性質について無知であり、理解することが出来ないであろう。
Experience has not taught them as yet to a sufficient degree that men never shape their conduct upon the teaching of pure reason.	人間は純粋理性の命令にしたがって行動するわけではないと言うことを、経験から知ることはなかったのである。
Many other practical applications might be made of the psychology of crowds.	群集心理学の応用は他にも考えることができるだろう。
A knowledge of this science throws the most vivid light on a great number of historical and economic phenomena totally incomprehensible without it.	群集心理学の知識は、これまで不可解なものとして解明できなかった歴史的・経済的現象に分析の光を投げかける。
I shall have occasion to show that the reason why the most remarkable of modern historians, Taine, has at times so imperfectly understood the events of the great French Revolution is, that it never occurred to him to study the genius of crowds.	私は、注目に値する歴史家タン（Hippolyte Adolphe Taine ,1828-1893）がフランス革命の記述に関して理解が不充分であったのは、群集の天分についての理解が足りなかったためだと見ている。
He took as his guide in the study of this complicated period the descriptive method resorted to by naturalists;	彼のとって方法は博物学者の方法であり、
but the moral forces are almost absent in the case of the phenomena which naturalists have to study.	道徳の力に関する分析に欠けていたのだ。
Yet it is precisely these forces that constitute the true mainsprings of history.	まさに歴史を展開してゆく力を構成するものであるにもかかわらず、である。
In consequence, merely looked at from its practical side, the study of the psychology of crowds deserved to be attempted.	結論として、現実的な観点からは、群集心理の研究は取り組むべき価値があると思われる。
Were its interest that resulting from pure curiosity only, it would still merit attention.	仮にそれが単に純粋な好奇心に起因するものであったとしても、注意を払うに値するのではないだろうか。
It is as interesting to decipher the motives of the actions of men as to determine the characteristics of a mineral or a plant.	人間の行為の動機を探求することは、鉱物や植物の特徴を研究することと同程度に興味深いものなのだ。
Our study of the genius of crowds can merely be a brief synthesis, a simple summary of our investigations.	著者が行った群集の性質に関する研究は、仮説であり、概要に過ぎない。
Nothing more must be demanded of it than a few suggestive views.	[この著作においては]示唆的な視点をいくつか与えた程度であり、それ以上のことを求められるべきものではない。
Others will work the ground more thoroughly.	他の人々が徹底的に踏査していくであろう。
To-day we only touch the surface of a still almost virgin soil.	私たちは今のところ、未踏であった領域にほんの少し踏み込んだだけに過ぎない。
[1] His most subtle advisers, moreover, did not understand this psychology any better.	悪いことに、彼の側近は、さらにこのこの心理学を理解していなかった。
Talleyrand wrote him that "Spain would receive his soldiers as liberators."	タレーラン（Charles Maurice de Talleyrand-Perigord ,1754-1838）はナポレオンに「スペインはナポレオン軍を解放軍として歓迎するだろう」と書簡を送ったが、
It received them as beasts of prey.	実際にはスペインでは野獣扱いであった。
A psychologist acquainted with the hereditary instincts of the Spanish race would have easily foreseen this reception.	スペイン民族の本能に熟知した心理学者なら、この反応を予測できたであろう。（本文へ戻る↑）
BOOK I	第１編
THE MIND OF CROWDS	群集の精神
CHAPTER I	第１章：
GENERAL CHARACTERISTICS OF CROWDS.	群集の一般的な特徴
--PSYCHOLOGICAL LAW OF THEIR MENTAL UNITY.	群集の心理的一体化に関する心理学的法則
What constitutes a crowd from the psychological point of view	心理学的見地からの群集の構成
--A numerically strong agglomeration of individuals does not suffice to form a crowd	−単に数が集まるだけでは群集にはならない
--Special characteristics of psychological crowds	−心理的群集の特性
--The turning in a fixed direction of the ideas and sentiments of individuals composing such a crowd, and the disappearance of their personality	−群集を構成する個人の思想や情念が一方向に傾くことと個性の喪失
--The crowd is always dominated by considerations of which it is unconscious	−群集は常に無意識に思い描いているものに支配されている
--The disappearance of brain activity and the predominance of medullar activity	−思考停止と脊髄反射的反応の優越
--The lowering of the intelligence and the complete transformation of the sentiments	−知性の低下と情念の完全な転換
--The transformed sentiments may be better or worse than those of the individuals of which the crowd is composed	−それは群集を構成する個人の情念とは異なるものとなる
--A crowd is as easily heroic as criminal.	−群集は容易に英雄的にも犯罪的にもなる。
In its ordinary sense the word "crowd" means a gathering of individuals	通常の意味では「群集（crowd）」という言葉は個人の集合を意味する。
of whatever nationality, profession, or sex, and whatever be the chances that have brought them together.	国籍も職業も性別も問わないし、なぜ集まっているのかも問題ではない。
From the psychological point of view the expression "crowd" assumes quite a different signification.	しかし心理学的な見地からは「群集」という表現には際立った意味がこめられる。
Under certain given circumstances, and only under those circumstances, an agglomeration of men presents new characteristics very different from those of the individuals composing it.	それは、人々の集合がそれを構成する個人の特性とは異なる新しい特性を示す場合で、かつその場合に限られる。
The sentiments and ideas of all the persons in the gathering take one and the same direction, and their conscious personality vanishes.	その場合、集まっている人々の情念や思想が１つの方向に傾き、
A collective mind is formed, doubtless transitory, but presenting very clearly defined characteristics.	一時的ではあるが集合精神（collective mind）とも言うべき状態が形成され、非常に際立った性質をあらわすものである。
The gathering has thus become what, in the absence of a better expression, I will call an organised crowd, or, if the term is considered preferable, a psychological crowd.	この集団は、適当な呼び方がないので「組織化された群集（organised crowd）」とでも言っておくが−心理的群集（psychological crowd）と呼んでもいいが−、そういったものになるのである。
It forms a single being, and is subjected to the LAW OF THE MENTAL UNITY OF CROWDS.	それは単一の存在として、群集の心理的一体化に関する心理学的法則に従うものである。
It is evident that it is not by the mere fact of a number of individuals finding themselves accidentally side by side that they acquire the character of an organised crowd.	たまたま多くの個人が集まったからと言って、組織化された群集の性質を帯びると言うものでもない。
A thousand individuals accidentally gathered in a public place without any determined object in no way constitute a crowd from the psychological point of view.	たまたまどこかで１０００人の人が、これといった目的もなく集まっているからと言って、心理学的見地から見た群集を構成するわけではない。
To acquire the special characteristics of such a crowd, the influence is necessary of certain predisposing causes of which we shall have to determine the nature.	そのような特質を得るためにはある種の刺激が必要なのである。*1
The disappearance of conscious personality and the turning of feelings and thoughts in a definite direction, which are the primary characteristics of a crowd about to become organised, do not always involve the simultaneous presence of a number of individuals on one spot.	これは、群集が組織化されていく際の最初の特徴でもあるのだが、意識的な個人が消滅し、感情と思考があるきまった方向に向かうときには、必ずしも多数の個人が同じ場所にいる必要はない。
Thousands of isolated individuals may acquire at certain moments, and under the influence of certain violent emotions--such, for example, as a great national event--the characteristics of a psychological crowd.	全く別々のところにいる数千の個人どうしであっても心理的群集の性質を示すことがありうるのだ。
It will be sufficient in that case that a mere chance should bring them together for their acts to at once assume the characteristics peculiar to the acts of a crowd.	もしそのときたまたま集まる機会がありさえすれば、群集としての特質をあらわす行動にでるだろう。
At certain moments half a dozen men might constitute a psychological crowd, which may not happen in the case of hundreds of men gathered together by accident.	半ダースくらいの人数でも心理的群集としての振る舞いをすることもあれば、何百人が集まったところで何も起こらないこともある。
On the other hand, an entire nation, though there may be no visible agglomeration, may become a crowd under the action of certain influences.	一方、一国全体が、それとわかる集団を形成しなくとも、ある種の影響下で群集となってしまうこともあるだろう。
A psychological crowd once constituted, it acquires certain provisional but determinable general characteristics.	心理的群集というものは、一旦形成されてしまうと、一時的ではあるが確固とした一般的性質を帯びる。
To these general characteristics there are adjoined particular characteristics which vary according to the elements of which the crowd is composed, and may modify its mental constitution.	この一般的性質に、群集の構成や心理構造によって異なる特殊な性質が付け加わってゆく。
Psychological crowds, then, are susceptible of classification;	心理的群集は［その性質によって］分類することができる。*2
and when we come to occupy ourselves with this matter, we shall see that a heterogeneous crowd--that is, a crowd composed of dissimilar elements--presents certain characteristics in common with homogeneous crowds--that is, with crowds composed of elements more or less akin (sects, castes, and classes)--and side by side with these common characteristics particularities which permit of the two kinds of crowds being differentiated.	異なった構成要素からなる異質的な群集であっても、［同じ］党派や身分や階級などからなる群集と同じように共通の性質を持っているものだし、これら２つを区別する特殊な性質を示すこともできる。
But before occupying ourselves with the different categories of crowds, we must first of all examine the characteristics common to them all.	群集のそれぞれのカテゴリーを見ていく前に、まず、全ての群集に共通の性質を見ていくこととしよう。
We shall set to work like the naturalist, who begins by describing the general characteristics common to all the members of a family before concerning himself with the particular characteristics which allow the differentiation of the genera and species that the family includes.	博物学者［の手法］にならって、ある科（family）に属する構成要素に共通する一般的性質を記述し、次いでその科に含まれる属（genera）や種（spiecies）を区別する特徴について触れていくものとする。
It is not easy to describe the mind of crowds with exactness,	群集の精神を正確に記述するのは容易なことではない。
because its organisation varies not only according to race and composition, but also according to the nature and intensity of the exciting causes to which crowds are subjected.	その機構（しくみ）が出自や構成によって異なるだけでなく、群集が影響を受けている実際の要因の性質や強度によっても千変万化するからである。
The same difficulty, however, presents itself in the psychological study of an individual.	とはいうものの、個人の心理を研究する場合にも同様の困難は発生するものである。
It is only in novels that individuals are found to traverse their whole life with an unvarying character.	ある人物が不変の性質で全人生を貫くということは小説の中だけの話だ。
It is only the uniformity of the environment that creates the apparent uniformity of characters.	環境が変わらなければ見かけ上は性質も変わらないように見えるということだけである。
I have shown elsewhere that all mental constitutions contain possibilities of character which may be manifested in consequence of a sudden change of environment.	どんな精神構造でも、環境の激変によって現出する可能性を秘めているものだ。
This explains how it was that among the most savage members of the French Convention were to be found inoffensive citizens who, under ordinary circumstances, would have been peaceable notaries or virtuous magistrates.	このことは［フランス革命時に粛清の嵐が吹き荒れた］国民公会の中に、［革命が起こっていなければ］温和な公証人や有徳な行政官であったであろう人々が参加していたことでも説明ができるだろう。
The storm past, they resumed their normal character of quiet, law-abiding citizens.	革命の嵐が去ると彼等は普段の性質に戻った。
Napoleon found amongst them his most docile servants.	ナポレオンは彼等の中に従順な僕（しもべ）を見たのである。
It being impossible to study here all the successive degrees of organisation of crowds, we shall concern ourselves more especially with such crowds as have attained to the phase of complete organisation.	群集による組織の一連の段階の全てを研究することは不可能であるから、特にすっかり組織化された段階*3の群集に特に焦点をあてて見ていくこととしよう。
In this way we shall see what crowds may become, but not what they invariably are.	こうすることによって群集の常態がどのようなものであるかということではなく、いったいどのようなものに変化するかということが明らかになるであろう。
It is only in this advanced phase of organisation that certain new and special characteristics are superposed on the unvarying and dominant character of the race;	民族の不変で支配的な性質にある新しい特殊な性質が重なって現れるのは、組織化が進んだ段階においてのみである。
then takes place that turning already alluded to of all the feelings and thoughts of the collectivity in an identical direction.	そしてその状態から、既に先ほどほのめかしておいた、集団の感情や思考が一定の方向に向けられるという性質が現れるのである。
It is only under such circumstances, too, that what I have called above the PSYCHOLOGICAL LAW OF THE MENTAL UNITY OF CROWDS comes into play.	そしてその環境でおいてのみ、先ほど群集の心理的一体化に関する心理学的法則と呼んだものが作動するのである。*4
Among the psychological characteristics of crowds there are some that they may present in common with isolated individuals, and others, on the contrary, which are absolutely peculiar to them and are only to be met with in collectivities.	群集の心理学的な性質の中でそれぞれの個体に共通に現れる性質もあれば、反対に集団を構成した時にしか現れない性質もある。
It is these special characteristics that we shall study, first of all, in order to show their importance.	まずその重要性を明らかにするために、集団を構成した場合にのみ現れる特殊な性質を解明していこう。
The most striking peculiarity presented by a psychological crowd is the following:	心理学的群集に際立って現れる特徴とは、
Whoever be the individuals that compose it, however like or unlike be their mode of life, their occupations, their character, or their intelligence, the fact that they have been transformed into a crowd puts them in possession of a sort of collective mind which makes them feel, think, and act in a manner quite different from that in which each individual of them would feel, think, and act were he in a state of isolation.	群集を構成する個人の生活様式や職業・性格・知性がどのようなものであれ、それぞればらばらに居るときとは全く異なる様式で感じ、思考し行動するという事実である。
There are certain ideas and feelings which do not come into being, or do not transform themselves into acts except in the case of individuals forming a crowd.	個人が集団を形成した時にしか現れない思想や感情というものも存在する。
The psychological crowd is a provisional being formed of heterogeneous elements, which for a moment are combined, exactly as the cells which constitute a living body form by their reunion a new being which displays characteristics very different from those possessed by each of the cells singly.	心理学的群集は異質な要素がある瞬間に接合したような暫定的な存在（provisional being）であって、ちょうど生体を構成する細胞が１つ１つの細胞のもち性質とは非常に異なる性質を示す新たな生体を構成するために再結合するようなものである。
Contrary to an opinion which one is astonished to find coming from the pen of so acute a philosopher as Herbert Spencer, in the aggregate which constitutes a crowd there is in no sort a summing-up of or an average struck between its elements.	スペンサー（Herbert Spencer;1855-1893）のような哲学者が主張する意見とは異なり、群集を構成する集合体には各要素の総和や平均値というものは存在しない。
What really takes place is a combination followed by the creation of new characteristics,	まさに化学における結合反応で新化合物が生成するようなものだ。
just as in chemistry certain elements, when brought into contact--bases and acids, for example--combine to form a new body possessing properties quite different from those of the bodies that have served to form it.	たとえば塩基と酸が結合する前と後とではまるで異なる性質を持つようなものである。
