Boycott Amazon!	Amazonをボイコットしよう!
(See http://lpf.ai.mit.edu/ for more information about the broader issue of software patents.)	(ソフトウェアの特許に関するより詳しい情報はhttp://lpf.ai.mit.edu/ を参照してください。)
Foolish government policies gave Amazon the opportunity--but an opportunity is not an excuse.	愚かしい政府の方針がAmazonに好機を与えました--しかしそれは言い訳にはなりません。
Amazon made the choice to obtain this patent, and the choice to use it in court for aggression.	Amazonは特許を取得するという選択をしました、そして、それを法廷での攻撃に利用しました。
The ultimate moral responsibility for Amazon's actions lies with Amazon's executives.	Amazonの行為の倫理的責任は、最終的にはAmazonの重役達が負うものです。
We can hope that the court will find this patent is legally invalid,	我々は、法廷がこの特許を法的に無効だと認めることを期待することもできます。
Whether they do so will depend on detailed facts and obscure technicalities.	法廷がそう認めるか どうかは、細かな事実と、解しがたい法廷技術によるでしょう。
The patent uses piles of semirelevant detail to make this "invention" look like something subtle.	この特許では、関連がないでもない 微細な事柄を山ほど用いて、この"発明"を何か巧妙な物のように仕立てあげているでしょう。
But we do not have to wait passively for the court to decide the freedom of E-commerce.	けれど法廷がE-commerceの自由を守る判決を下すのを、我々がただ待っている必要はありません。
There is something we can do right now: we can refuse to do business with Amazon.	いますぐ我々に出来ることがあります、Amazonと取引するのを拒否することです。
Please do not buy anything from Amazon	Amazonから何も買わないでください。
until they promise to stop using this patent to threaten or restrict other web sites.	この特許を使って、他のサイトを脅したり束縛したりするのを止めると約束するまでは。
If you are the author of a book sold by Amazon, you can provide powerful help to this campaign by putting this text into the "author comment" about your book, on Amazon's web site.	もしあなたがAmazonで売られている本の著者ならば、貴著のAmazonサイトでの"著者コメント" にこの文章を書くことで、このキャンペーンを大きく助けることができるでしょう。
(Alas, it appears they are refusing to post these comments for authors.)	(悲しいかな、どうも彼らはこうしたコメントの投稿を拒否しているようです。)
If you have suggestions, or if you simply support the boycott, please send mail to <amazon@gnu.org> to let us know.	あなたにご意見があったり、ボイコットを支持してくれるならば、ぜひ<amazon@gnu.org> までメールを送って我々に教えてください。
Amazon's response to people who write about the patent contains a subtle misdirection which is worth analyzing:	特許に関してAmazonに意見を送った人への、彼らの以下の返答は、巧妙に人を誤解させる内容を含んでおり、検討してみる価値があります。
The patent system is designed to encourage innovation, and we spent thousands of hours developing our 1-ClickR shopping feature.	特許の仕組みは発明を奨励するもので、我々は数千時間を1-ClickRショッピング機能の開発に費やしました。
If they did spend thousands of hours, they surely did not spend it thinking of the general technique that the patent covers.	もし彼らが本当に数千時間を費やしたとしても、決してこの技術自体を考えるのに費やしたわけではないでしょう。
So if they are telling the truth, what did they spend those hours doing?	では彼らの言うことが本当なら、彼らはいったい、なにに時間を費やしたのでしょう?
Perhaps they spent some of the time writing the patent application.	もしかしたら、彼らは特許申請書を書くのに幾らかの時間をかけたかもしれません。
That task was surely harder than thinking of the technique.	その作業は確実に、この技術を考えつくよりも時間が掛かるでしょう。
Or perhaps they are talking about the time it took designing, writing, testing, and perfecting the scripts and the web pages to handle one-click shopping.	さもなければ、1-クリックショッピングを扱えるようにウェブサイトやスクリプトを設計し、記述し、 テストし、確実に動作するように時間を費やしたかもしれません。
That was surely a substantial job.	それは実際に行われた作業でしょう。
Looking carefully at their words, it seems the "thousands of hours developing" could include either of these two jobs.	彼らの言葉を注意深く見てください、"数千時間の開発期間"には、これらの作業も含まれ得ます。
But the issue here is not about the details in their particular scripts (which they do not release to us) and web pages (which are copyrighted anyway).	しかし今回問題となったのは、彼らの(非公開の)スクリプトの詳細や(著作権で保護された)ウェブページの内容ではありません。
The issue here is the general idea, and whether Amazon should have a monopoly on that idea.	ここでの問題は、一般的なアイデアについて、Amazonがこのアイデアに独占権を持つべきであったかということです。
Are you, or I, free to spend the necessary hours writing our own scripts, our own web pages, to provide one-click shopping?	貴方や私は、必要な時間を費やして、1-クリックショッピングを提供する独自のスクリプトを 書いたり、独自のウェブページを自由に書けるでしょうか?
Even if we are selling something other than books, are we free to do this?	本以外の物を売るとしたら、 自由にできるのでしょうか?
That is the question.	それが疑問です。
Amazon seeks to deny us that freedom, with the eager help of a misguided US government.	Amazonは、心得違いの米国政府の熱心な助力を受けて、 我々の自由を否定しようとしています。
When Amazon sends out cleverly misleading statements like the one quoted above, it demonstrates something important:	Amazonが上述のような人を迷わせる声明を発するとすれば、それには重大な意味があります。
they do care what the public thinks of their actions.	人々が彼らの行動をどう思うかを気にしているということです。
They must care	とうぜん気にせねばなりません
--they are a retailer.	--彼らは 小売商ですから。
Public disgust can affect their profits.	人々に嫌悪されれば、利益に響きます。
People have pointed out that the problem of software patents is much bigger than Amazon,	人々は、ソフトウェア特許の問題は、Amazon一社の問題よりずっと大きいと指摘します。
that other companies might have acted just the same, and that boycotting Amazon won't directly change patent law.	他の企業も全く同じ行動をとったかもしれないし、Amazonをボイコットしても特許法を直ちに 変えることは出来ないだろうと言います。
Of course, these are all true.	勿論、これらは全て真実です。
But that is no argument against this boycott!	しかし、これはボイコットに 反対する論拠とはなりません!!
If we mount the boycott strongly and lastingly, Amazon may eventually make a concession to end it.	もし我々がボイコットを強力かつ長く行えば、Amazonはやがて譲歩をするでしょう。
And even if they do not, the next company which has an outrageous software patent and considers suing someone will realize there can be a price to pay.	彼らがせずとも、べつの無法なソフトウェア特許を持つ企業は、誰かを訴えるときには代償を 払わねばならないだろうと考えるでしょう。
They may have second thoughts.	そして考えを改めるかもしれません。
The boycott can also indirectly help change patent law	また、ボイコットは特許法の改正の助けになります
--by calling attention to the issue and spreading demand for change.	--問題に注意が向けられ、それを変える要求が広がることで。
And it is so easy to participate	そしてボイコットには簡単に参加することができます。
that there is no need to be deterred on that account.	何も引きとめる ものはありません。
If you agree about the issue, why not boycott Amazon?	もしあなたが賛同するなら、なぜAmazonをボイコットしないのですか?
To help spread the word, please put a note about the boycott on your own personal web page,	この話が広がるのに役立つように、あなたの個人的なウェブページに、Amazonのボイコットに関して 書いてください。
and on institutional pages as well if you can.	できるなら、あなたの所属する団体のページにも載せてください。
Make a link to this page; updated information will be placed here.	また、このページへのリンクを張ってください、新しい情報はここに掲載されます。
