CLAY	土くれ
Lizzie Fleming said Maria was sure to get the ring and, though Fleming had said that for so many Hallow Eves, Maria had to laugh and say she didn't want any ring or man either;	リジー・フレミングはマリアはきっと指輪を取るわと言い、長年ハロウイブにはフレミングがそう言ってきたけれども、マリアは笑って指輪も男も欲しくないと言わなければならなかった。
and when she laughed her grey-green eyes sparkled with disappointed shyness and the tip of her nose nearly met the tip of her chin.	そして彼女が笑う時、灰緑色の目は期待を裏切られた恥ずかしさにきらきら光り、彼女の鼻先はもう少しであごの先につきそうだった。
Then Ginger Mooney lifted her mug of tea and proposed Maria's health while all the other women clattered with their mugs on the table, and said she was sorry she hadn't a sup of porter to drink it in.	そこでジンジャー・ムーニーが、ほかの女たちみんながテーブルの上のマグをカタカタ鳴らす中、お茶のマグを持ち上げてマリアの健康を祝して乾杯を提議し、ポーターが一口も飲めないのは残念だと言った。
And Maria laughed again till the tip of her nose nearly met the tip of her chin and till her minute body nearly shook itself asunder because she knew that Mooney meant well though, of course, she had the notions of a common woman.	もちろん考えることは品のない女だけれども、ムーニーが善意で言っているのはわかっているので、マリアは再び、鼻先がもう少しであごの先につきそうなほどに、ごく小さな体が揺れてばらばらになりそうなほどに、笑った。
But wasn't Maria glad when the women had finished their tea and the cook and the dummy had begun to clear away the tea- things!	だが女たちが茶を終えてコックとだんまり屋が茶道具を片付け始めた時マリアの喜ばなかったことか！
She went into her little bedroom and, remembering that the next morning was a mass morning, changed the hand of the alarm from seven to six.	彼女は小さな自分の寝室へ行き、次の朝がミサの朝であることを思い出して目覚ましの針を七から六に変えた。
Then she took off her working skirt and her house-boots and laid her best skirt out on the bed and her tiny dress-boots beside the foot of the bed.	それから彼女は仕事用のスカートと上靴を脱ぎ、一張羅のスカートを出してベッドの上に、ちっぽけな礼装用の靴をベッドの足元に置いた。
She changed her blouse too and, as she stood before the mirror, she thought of how she used to dress for mass on Sunday morning when she was a young girl;	彼女はブラウスも変え、鏡の前に立って、若い娘だった頃、日曜の朝のミサにいつもどんな装いをしたかを考えた。
and she looked with quaint affection at the diminutive body which she had so often adorned,	そして彼女は何度も何度も飾り立ててきたとても小さな体を古風味な愛着を持って眺めた。
In spite of its years she found it a nice tidy little body.	年のわりにはすてきな、ふくよかで小柄な体だと彼女は思った。
When she got outside the streets were shining with rain and she was glad of her old brown waterproof.	彼女が外へ出ると街は雨に輝いていて、彼女は古い茶色のレインコートがありがたかった。
The tram was full and she had to sit on the little stool at the end of the car, facing all the people, with her toes barely touching the floor.	電車は満員で彼女は車両の端の小さなスツールに座らねばならず、つま先はかろうじて床につくかつかないか、顔は全員に向けることになった。
She arranged in her mind all she was going to do and thought how much better it was to be independent and to have your own money in your pocket.	彼女はこれからすることすべてを心の中で整理し、自立して自分の金が思い通りになることがどんなにいいことかを考えた。
She hoped they would have a nice evening.	彼女は彼らにとってすてきな宵になればいいと思った。
She was sure they would but she could not help thinking what a pity it was Alphy and Joe were not speaking.	彼女はそうなると確信していたがアルフィとジョーが口もきかないのはなんとも残念だと思わずにはいられなかった。
They were always falling out now but when they were boys together they used to be the best of friends:	彼らは今ではいつも仲たがいをしていたが、二人とも子供だった頃はいつもいちばんの友だった。
but such was life.	でも人生とはそういうものだ。
She got out of her tram at the Pillar and ferreted her way quickly among the crowds.	彼女はピラーで電車を降り、人込みの中に急いで進路を見つけた。
She went into Downes's cake-shop but the shop was so full of people that it was a long time before she could get herself attended to.	彼女はダウンズのケーキの店に入ったが店は人でいっぱいで彼女が接客してもらえるまでに長くかかった。
She bought a dozen of mixed penny cakes, and at last came out of the shop laden with a big bag.	彼女はペニーケーキの取り合わせを一ダース買い、大きな袋を抱えてやっと店から出た。
Then she thought what else would she buy:	それから彼女は他に何を買おうか考えた。
she wanted to buy something really nice.	彼女は本当にすてきなものを何か買いたかった。
They would be sure to have plenty of apples and nuts.	リンゴやナッツはきっと彼らのところにたくさんあるだろう。
It was hard to know what to buy and all she could think of was cake.	何を買うべきかは難しく、彼女に思いつくことができたのはケーキだけだった。
She decided to buy some plumcake but Downes's plumcake had not enough almond icing on top of it so she went over to a shop in Henry Street.	彼女はプラムケーキを買うことに決めたがダウンズのプラムケーキはてっぺんのアーモンドのアイシングが十分ではないのでヘンリー・ストリートの店まで行った。
Here she was a long time in suiting herself and the stylish young lady behind the counter, who was evidently a little annoyed by her, asked her was it wedding-cake she wanted to buy.	ここで彼女が長いこと気ままにしていると、カウンターの後ろの若い今風な婦人が、明らかに彼女に少しいらいらして、お求めのものはウェディングケーキかと彼女に尋ねた。
That made Maria blush and smile at the young lady;	それを聞いてマリアは顔を赤らめ、若い婦人に微笑みかけた。
but the young lady took it all very seriously and finally cut a thick slice of plumcake, parcelled it up and said:	しかし若い婦人はそれをすっかり本気にとり、最後にプラムケーキから厚い一切れを切り、それを包んで言った。
"Two-and-four, please."	「二シリング四ペンスです。」
She thought she would have to stand in the Drumcondra tram because none of the young men seemed to notice her but an elderly gentleman made room for her.	ドラムコンドラ行きの電車では若い男たちが誰も彼女に気がつかないらしく、彼女は立っていなければならないと思ったが、年配の紳士が彼女に席を譲った。
He was a stout gentleman and he wore a brown hard hat;	彼は太った紳士で茶色の安全帽をかぶっていた。
he had a square red face and a greyish moustache.	四角く赤い顔で灰色がかった口ひげがあった。
Maria thought he was a colonel-looking gentleman and she reflected how much more polite he was than the young men who simply stared straight before them.	マリアが思うに彼は見たところ大佐といった紳士で、ただじっとまっすぐ前を見ている若い男たちより彼の方がどれほど礼儀正しいことかと彼女は考えた。
The gentleman began to chat with her about Hallow Eve and the rainy weather.	紳士はハロウイブや雨降りの天気のことで彼女と雑談を交わし始めた。
He supposed the bag was full of good things for the little ones and said it was only right that the youngsters should enjoy themselves while they were young.	彼は袋の中は子供たちへのよいものでいっぱいだと考え、若い者は若いうちに楽しむべきだというのはまったく正しいと言った。
Maria agreed with him and favoured him with demure nods and hems.	マリアは彼に同意し、控えめにうなずき、咳払いをしてみせた。
He was very nice with her, and when she was getting out at the Canal Bridge she thanked him and bowed, and he bowed to her and raised his hat and smiled agreeably, and while she was going up along the terrace, bending her tiny head under the rain, she thought how easy it was to know a gentleman even when he has a drop taken.	彼はとても優しく、カナル・ブリッジで降りる時彼女は彼に礼を言ってお辞儀し、彼は彼女にお辞儀して帽子を挙げ、愛想良く笑い、そして彼女は河岸通りを、雨の中、小さな小さな頭を下げて上がって行く間も、一杯聞こし召している時だって紳士はすぐわかると考えた。
Everybody said:	ジョーの家に着くと皆が
"0, here's Maria!"	「おお、ほらマリアが来た！」
when she came to Joe's house.	と言った。
Joe was there, having come home from business, and all the children had their Sunday dresses on.	仕事から帰ったジョーがいて、子供たちは皆よそ行きを着ていた。
There were two big girls in from next door and games were going on.	隣からもう大きい娘たちが二人来て、ゲームが続いていた。
Maria gave the bag of cakes to the eldest boy, Alphy, to divide and Mrs. Donnelly said it was too good of her to bring such a big bag of cakes and made all the children say:	マリアはケーキの袋をいちばん年上の少年、アルフィに分けるようにと渡し、ドネリー夫人はそんなに大きなケーキの袋をいただいてほんとにありがとうと言い、子供たち皆にも言わせた。
"Thanks, Maria."	「ありがとう、マリア。」
But Maria said she had brought something special for papa and mamma, something they would be sure to like, and she began to look for her plumcake.	しかしマリアは彼女はパパとママに特別のものを、きっと彼らが好きなはずのものを持ってきたと言い、プラムケーキを捜し始めた。
She tried in Downes's bag and then in the pockets of her waterproof and then on the hallstand but nowhere could she find it.	ダウンズの袋を、それからレインコートのポケットを、それからコート掛けを見てみたが、どこにも見つからなかった。
Then she asked all the children had any of them eaten it	そこで彼女は子供たち皆に誰か食べてしまわなかったか
--by mistake, of course	−−もちろん、間違って
--but the children all said no and looked as if they did not like to eat cakes if they were to be accused of stealing.	−−と尋ねたが、子供たちは皆ノーと言い、盗んだと非難されてまでケーキを食べたくはないように見えた。
Everybody had a solution for the mystery and Mrs. Donnelly said it was plain that Maria had left it behind her in the tram.	誰の目にも謎は解け、ドネリー夫人がマリアが電車に置き忘れたのは明らかだと言った。
Maria, remembering how confused the gentleman with the greyish moustache had made her, coloured with shame and vexation and disappointment.	マリアはあの灰色がかった口ひげの紳士がどれだけ彼女をまごつかせたかを思い出し、恥ずかしさといまいましさと失望に顔を赤らめた。
At the thought of the failure of her little surprise and of the two and fourpence she had thrown away for nothing she nearly cried outright.	ちょっとしたびっくりが失敗したこと、徒に無駄にしてしまった二シリング四ペンスのことを考えると、もう少しで彼女は手放しで泣くところだった。
But Joe said it didn't matter and made her sit down by the fire.	しかしジョーは何でもないと言い、彼女を火のそばに座らせた。
He was very nice with her.	彼は彼女にとても優しかった。
He told her all that went on in his office, repeating for her a smart answer which he had made to the manager.	彼はオフィスで起こることを彼女にみんな聞かせ、自分がやってのけた経営者に対する気の利いた応酬を彼女のために繰り返し話した。
Maria did not understand why Joe laughed so much over the answer he had made but she said that the manager must have been a very overbearing person to deal with.	マリアは彼がやったというその応酬のことでジョーがなぜそんなに笑うのかわからなかったが、その経営者はとても威張って付き合いづらい人に違いないと言った。
Joe said he wasn't so bad when you knew how to take him, that he was a decent sort so long as you didn't rub him the wrong way.	ジョーは、扱い方を知っていれば彼はそう悪くないし、怒らせない限りまともな方だと言った。
Mrs. Donnelly played the piano for the children and they danced and sang.	ドネリー夫人が子供たちにピアノを弾き、彼らは踊り、歌った。
Then the two next-door girls handed round the nuts.	それから二人の隣家の娘がくるみを配った。
Nobody could find the nutcrackers and Joe was nearly getting cross over it and asked how did they expect Maria to crack nuts without a nutcracker.	誰もくるみ割りを見つけられず、ジョーはそれでもう少しで腹を立てるところで、どうしてくるみ割りなしでマリアにくるみが割れると思うんだと尋ねた。
But Maria said she didn't like nuts and that they weren't to bother about her.	しかしマリアはくるみは好きじゃないから彼女のことで思い悩むことはないと言った。
Then Joe asked would she take a bottle of stout and Mrs. Donnelly said there was port wine too in the house if she would prefer that.	それからジョーが彼女にスタウトを一瓶どうかと尋ね、ドネリー夫人がその方がよければ家にはポートワインもあると言った。
Maria said she would rather they didn't ask her to take anything:	マリアは彼女としては何かと勧めないでくれる方がいいのだがと言った。
but Joe insisted.	しかしジョーは言い張った。
So Maria let him have his way and they sat by the fire talking over old times and Maria thought she would put in a good word for Alphy.	それでマリアは彼の思うようにさせ、彼らは火のそばに座って昔話になり、マリアはアルフィのために口ぞえしようと思った。
But Joe cried that God might strike him stone dead if ever he spoke a word to his brother again and Maria said she was sorry she had mentioned the matter.	しかしジョーが、彼が一言でもまた弟に話しかけようものなら神に打たれて死んでもかまわないと叫び、マリアはその問題に触れてすまないと言った。
Mrs. Donnelly told her husband it was a great shame for him to speak that way of his own flesh and blood but Joe said that Alphy was no brother of his and there was nearly being a row on the head of it.	ドネリー夫人が夫に、自分の肉親のことをそんなふうに話すのはひどく恥ずべきことだと言ったが、ジョーはアルフィは決して弟なんかじゃないと言い、もう少しでそのためにけんかになるところだった。
But Joe said he would not lose his temper on account of the night it was and asked his wife to open some more stout.	しかしジョーはこんな夜だものかんしゃくを起こしたりしないと言い、もうちょっとスタウトを開けるように妻に頼んだ。
The two next-door girls had arranged some Hallow Eve games and soon everything was merry again.	隣家の娘二人がハロウイブのゲームをいくつか準備していたのですぐにまた何もかも愉快になった。
Maria was delighted to see the children so merry and Joe and his wife in such good spirits.	マリアは子供たちがそうやって愉快に、ジョーとその妻がそのように上機嫌にしているのを見て嬉しかった。
The next-door girls put some saucers on the table and then led the children up to the table, blindfold.	隣の娘たちはテーブルの上にいくつか受け皿を置き、それから目隠しされた子供たちをテーブルまで導いた。
One got the prayer-book and the other three got the water;	一人は祈祷書を手にし、他の三人は水を手にした。
and when one of the next-door girls got the ring Mrs. Donnelly shook her finger at the blushing girl as much as to say: 0, I know all about it!	そして隣の娘の一人が指輪を手にした時、ドネリー夫人は顔を赤らめた娘に、おお、すっかりわかってますよ！と言わんばかりに指を振った。
They insisted then on blindfolding Maria and leading her up to the table to see what she would get;	彼らはそれから無理やりマリアに目隠ししてテーブルまで導き、彼女が何を取るかを見た。
and, while they were putting on the bandage, Maria laughed and laughed again till the tip of her nose nearly met the tip of her chin.	彼らが布を巻く間、マリアはまた鼻の先がもう少しであごの先につきそうになるまで笑いに笑った。
They led her up to the table amid laughing and joking and she put her hand out in the air as she was told to do.	彼らが笑ったり冗談を言ったりしながら彼女をテーブルまで導き、彼女は言われるままに手を空中に差し出した。
She moved her hand about here and there in the air and descended on one of the saucers.	彼女は空中であちこちへと手を動かし、皿の一つに舞い降りた。
She felt a soft wet substance with her fingers and was surprised that nobody spoke or took off her bandage.	彼女は指に柔らかで湿った物質を感じ、誰も話をせず彼女の目隠し布を取り外さないので驚いた。
There was a pause for a few seconds;	数秒の間があった。
and then a great deal of scuffling and whispering.	そしてそれからたくさんのあわてた動きやひそひそ声。
Somebody said something about the garden, and at last Mrs. Donnelly said something very cross to one of the next-door girls and told her to throw it out at once:	誰かが庭のことで何か言い、そしてとうとうドネリー夫人がとても腹立たしげに何かを隣家の娘の一人に言い、彼女にはすぐにそれを放り出すように言った。
that was no play.	それはなしよ。
Maria understood that it was wrong that time and so she had to do it over again:	マリアはそれはまずかったのだと解し、それでもう一度やり直さなければならなかった。
and this time she got the prayer-book.	そして今度は祈祷書を手にした。
After that Mrs. Donnelly played Miss McCloud's Reel for the children and Joe made Maria take a glass of wine.	その後ドネリー夫人が子供たちのためにミス・マクロード・リールを演奏し、ジョーはマリアにワインを一杯飲ませた。
Soon they were all quite merry again and Mrs. Donnelly said Maria would enter a convent before the year was out because she had got the prayer-book.	すぐにまた彼らは皆すっかり陽気になり、ドネリー夫人がマリアは年内に修道院に入るだろう、祈祷書を手にしたのだからと言った。
Maria had never seen Joe so nice to her as he was that night, so full of pleasant talk and reminiscences.	マリアはその夜ほど彼女に優しく、楽しい話と思い出にあふれたジョーを見たことがなかった。
She said they were all very good to her.	彼女はみんなとても彼女に親切だと言った。
At last the children grew tired and sleepy and Joe asked Maria would she not sing some little song before she went, one of the old songs.	とうとう子供たちはだんだん疲れて眠くなり、ジョーがマリアに何かちょっと歌を帰る前に、懐かしい歌を一つ歌ってくれないかと頼んだ。
Mrs. Donnelly said	ドネリー夫人が
"Do, please, Maria!"	「ぜひお願い、マリア！」
and so Maria had to get up and stand beside the piano.	それでマリアは立ち上がってピアノのそばに立たなければならなかった。
Mrs. Donnelly bade the children be quiet and listen to Maria's song.	ドネリー夫人は子供たちに静かにしてマリアの歌を聞きなさいと命じた。
Then she played the prelude	それから彼女は前奏曲を演奏し、
and said	「さあ、マリア！」
"Now, Maria!"	と言い、マリアはとても顔を赤くして小さな震え声で歌い始めた。
She sang I Dreamt that I Dwelt, and when she came to the second verse she sang again:	彼女は『私が夢見たこと』を歌い、二番になると彼女は再び最初の一節に戻って歌った。
I dreamt that I dwelt in marble halls	マーブルホールに住む夢を見た
With vassals and serfs at my side,	家臣や農奴にかしずかれ
And of all who assembled within those walls	その家に集まるすべての人と
That I was the hope and the pride.	それが私の望みと誇り
I had riches too great to count; could boast	数え切れない大きな富と
Of a high ancestral name,	高貴な先祖の名前が自慢
But I also dreamt, which pleased me most,	いちばんうっとりした夢はでも
That you loved me still the same.	今もあなたが愛してたこと
But no one tried to show her her mistake;	しかし誰も彼女に間違いを教えようとしなかった。
and when she had ended her song Joe was very much moved.	そして彼女が歌い終えた時、ジョーはとても感動していた。
He said that there was no time like the long ago and no music for him like poor old Balfe, whatever other people might say;	彼は誰が何と言おうと、昔のような時代はないし、彼にとって今は亡きバルフのような音楽はないと言った。
and his eyes filled up so much with tears that he could not find what he was looking for and in the end he had to ask his wife to tell him where the corkscrew was.	そして彼の目は涙でいっぱいになり、捜しているものも見つけられず、とうとうコルクの栓抜きがどこか教えてくれと妻に頼まなければならなかった。
