Linus Torvalds Interview	リーヌス・トーヴァルド interview
HY:  We have seen many distributions of Linux that allows users to install Linux without knowing what's under the hood. While this has brought in tremendous new users to Linux, there are people who claim that this undermines the spirit of freeware because people are never forced to look under the hood and understand its workings. Is this a concern for you?	――するとLinuxはインストールが簡単になったのでブラックボックス化してけしからん、フリーソフトの精神に反する、というようなことは……
Linus:  No,	別に。
I think this is only for the best.	ありがたいことだと思う。
I don't think everybody should be interested in how an operating system works:	だってみんながOSの中身なんかに興味持つ必要はないもの。
it happens to be what _I_ am interested in, but I also think that any program is only as good as it is useful.	ぼくはもちろん興味あるけれど、でも一方で、プログラムってものは役にたたなきゃ始まらないよ。
So a useless program cannot be good, regardless of _how_ well it is implemented.	どんなに実装がよくても、それだけではいいソフトにはならない。
The fact that there are lots of Linux users who don't care how the kernel works but only want to use it is not only a tribute to how good Linux is, but it also brings up issues that I would never have thought of otherwise.	カーネルの中身に興味のないユーザの存在は、Linuxの優秀さの証だし、それにおかげで思いもよらなかった点に気がついたりもするし。
HY:  (I know you've been asked this question a million times, but...) Why did Linux become such a big success?	――もう嫌ってくらい聞かれた質問でしょうが、Linuxがここまで成功したのはなぜでしょう。
Some people say it's you, some people say it's just a matter of good timing and a lot of luck. What's your opinion?	単にタイミングの問題とか運がよかっただけとか言う人もいますが。
Linus:  There are lots of reasons. Good timing, lots of luck are certainly two obvious ones.	うん、それは絶対ある。
But at the same time I also like to think that I*ve been a good manager (and obviously a good programmer),	でも同時に、ぼくとしては自分がよきマネージャ（そしてもちろんよきプログラマ）だったのが大きいと思いたい。
and that that fact has also been very instrumental in making Linux a successful product.	それと、Linux開発モデルが優れていると思う。
I also think that the Linux development model in general is a very good model: Linux tends to have fewer rules than other developments, and anybody can chip in doing whatever they want.	何も縛りがなくて、みんな好き勝手に提案できて、非常に自由だ。
I act as a general "filter"  for all the patches,	ぼくが最後のフィルタ役を果たす。
HY:  Now that Linux has become so big, do you feel a great pressure about keeping it in "the right course"?	――こんだけ大きくなると、プレッシャーとかないですか？
What is the biggest concern that you have for the future of Linux?	Linuxの将来について心配とかは？
Linus:  I*ve always felt pressure about keeping Linux "right", but they have always been technical pressures, and as such I haven't worried too much about them. The good thing with technical pressures is that technical questions always have a good answer - it's only non-technical questions that sometimes don't have an answer at all. So technical concerns tend to eventually find a solution as long as there are good people working on them.	プレッシャーはずっとあったけど、それは主に技術的な面での話で、技術的な問題は必ずよい答えがあるんだ。
And Linux has the very best.	最高に優秀な連中が作業してるし。
So I*m not really worried about the future of Linux - technically I think Linux is going to only become better and better, and the non-technical side I don't personally worry all that much about.	だからまったく心配してないし、技術以外の面は、どうでもいいや。
HY:  Do you think of these other PC-Unix systems as rivals, or more of a colleague?	――ほかのPC-UNIXと比較したりします？
Do you often look at them to see what can be incorporated into Linux, or do they never bother you at all?	NetBSDなんかに比べてどこが長所でしょう。
HY:  Do you consider yourself (or Linux) as a threat to Microsoft?	――自分がマイクロソフトに対する脅威だと思いますか？
Do you try to be one? Or do you see Linux as occupying a separate niche from Windows?	LinuxはWindowsの競合相手なのか、それとも住み分けるのか……
Linus:  I don't try to be a threat to MicroSoft, mainly because I don't really see MS as competition.	マイクロソフトの脅威になるつもりはないし、競合とも思ってないなあ。
Especially not Windows - the goals of Linux and Windows are simply so different.	特にWindowsはぜんぜん目標がちがうから。
I used to be interested in Windows NT, but the more I see of it the more it looks like traditional Windows with a stabler kernel. I don't find anything technically interesting there.	前はNTに関心があったけれど、技術的に見るべきものはないね。
In my opinion MS is a lot better at making money than it is at making good operating systems.	かれらはOSづくりより金儲けのほうがうまいってことじゃない？
