A CHRISTMAS CAROL	クリスマス・カロル
no man or woman ever once in all his life inquired the way to such and such a place, of Scrooge.	男でも女でも、彼の生れてから未だ一度も、こうこういうところへはどう行きますかと、スクルージに道筋を訊ねた者はなかった。
Even the blind men's dogs appeared to know him;	盲人の畜犬ですら、彼を知っているらしく、
and when they saw him coming on, would tug their owners into doorways and up courts;	彼がやって来るのを見ると、その飼主を戸口の中や路地の奥へ引っ張り込んだものだ。
and then would wag their tails as though they said,	そして、それから
`No eye at all is better than an evil eye, dark master!'	「丸っ切り眼のないものはまだしも悪の眼を持っているより優（ま）しですよ、盲人の旦那」
But what did Scrooge care!	だが、何をそんな事スクルージが気に懸けようぞ！
It was the very thing he liked.	それこそ彼の望むところであった。
To edge his way along the crowded paths of life, warning all human sympathy to keep its distance, was what the knowing ones call `nuts' to Scrooge.	人情なぞは皆遠くに退いておれと警告しながら、人生の人ごみの道筋を押し分けて進んで行くことが、スクルージに取っては通人の所謂『大好物』であった。
Once upon a time	ある時
--of all the good days in the year, on Christmas Eve	――日もあろうに、聖降誕祭の前夜に
--old Scrooge sat busy in his counting-house.	――老スクルージは事務所に坐っていそがしそうにしていた。
It was cold, bleak, biting weather:	寒い、霜枯れた、噛みつくような日であった。
foggy withal:	おまけに霧も多かった。
and he could hear the people in the court outside, go wheezing up and down, beating their hands upon their breasts, and stamping their feet upon the pavement stones to warm them.	彼は戸外の路地で人々がふうふう息を吐いたり、胸に手を叩きつけたり、煖くなるようにと思って敷石に足をばたばた踏みつけたりしながら、あちらこちらと往来しているのを耳にした。
The city clocks had only just gone three, but it was quite dark already	街の時計は方々で今し方三時を打ったばかりだのに、もうすっかり暗くなっていた。
--it had not been light all day	――もっとも終日明るくはなかったのだ。
--and candles were flaring in the windows of the neighbouring offices, like ruddy smears upon the palpable brown air.	――隣近所の事務所の窓の中では、手にも触れられそうな鳶色をした空気の中に、赤い汚点の様に、蝋燭がはたはたと揺れながら燃えていた。
The fog came pouring in at every chink and keyhole,	霧はどんな隙間からも、鍵穴からも流れ込んで来た。
and was so dense without, that although the court was of the narrowest, the houses opposite were mere phantoms.	そして、この路地はごくごく狭い方だのに、向う側の家並はただぼんやり幻影の様に見えたほど、戸外は霧が濃密であった。
To see the dingy cloud come drooping down, obscuring everything, one might have thought that Nature lived hard by, and was brewing on a large scale.	どんよりした雲が垂れ下がって来て、何から何まで蔽い隠して行くのを見ると、自然がつい近所に住んでいて、素敵もない大きな烟の雲を吐き出しているんだと考える人があるかも知れない。
The door of Scrooge's counting-house was open that he might keep his eye upon his clerk, who in a dismal little cell beyond, a sort of tank, was copying letters.	スクルージの事務所の戸は、大桶のような、向うの陰気な小部屋で、沢山の手紙を写している書記を見張るために開け放しになっていた。
Scrooge had a very small fire,	スクルージはほんのちっとばかりの火を持っていた。
but the clerk's fire was so very much smaller that it looked like one coal.	が、書記の火はもっともっとちょっぽりで、一片の石炭かと見える位であった。
But he couldn't replenish it, for Scrooge kept the coal-box in his own room;	でも、彼は、スクルージが石炭箱を始終自分の部屋にしまって置いたので、それを継ぎ足す訳に行かなかった。
and so surely as the clerk came in with the shovel, the master predicted that it would be necessary for them to part.	書記が十能をもって這入って行くたんびに、きっと御主人様は、どうしても君と僕とは別れなくちゃなるまいねと予言したものだ。
Wherefore the clerk put on his white comforter, and tried to warm himself at the candle;	それが為に、書記は首に白い襟巻を巻きつけて、蝋燭で煖まろうとして見た。
in which effort, not being a man of a strong imagination, he failed.	が、元々想像力の強い人間ではなかったので、こんな骨折りをして見ても甲斐はなかった。
`A merry Christmas, uncle! God save you!'	「聖降誕祭でお目出とう、伯父さん！」
cried a cheerful voice.	と、一つの快活な声が叫んだ。
It was the voice of Scrooge's nephew,	これはスクルージの甥の声であった。
who came upon him so quickly that this was the first intimation he had of his approach.	彼は大急ぎで不意にスクルージの許へやって来たので、スクルージはこの声で始めて彼が来たことに気が附いた位であった。
`Bah!'	「何を、馬鹿々々しい！」
said Scrooge,	とスクルージは言った。
He had so heated himself with rapid walking in the fog and frost, this nephew of Scrooge's, that he was all in a glow;	彼は霧と霜の中を駆け出して来たので、身体が煖まって、どっからどこまで真赤になっていた。
his face was ruddy and handsome;	顔は赤く美しく、
his eyes sparkled, and his breath smoked again.	眼は輝いて、ほうほうと白い息を吐いていた。
`Christmas a humbug, uncle!'	「聖降誕祭が馬鹿々々しいんですって、伯父さん！」
said Scrooge's nephew.	と、スクルージの甥は云った。
`You don't mean that, I am sure?'	「まさかそう云う積りじゃないでしょうねえ？」
`I do,'	「そういう積りだよ」
said Scrooge.	とスクルージは云った。
`Merry Christmas!	「聖降誕祭お目出とうだって！
What right have you to be merry?	お前が目出たがる権利がどこにある？
What reason have you to be merry?	目出たがる理由がどこにあるんだよ？
You're poor enough.'	貧乏しきっている癖に。」
`Come, then,'	「さあ、それじゃ」
returned the nephew gaily.	と甥は快活に言葉を返した。
`What right have you to be dismal?	「貴方が陰気臭くしていらっしゃる権利がどこにあるんです？
What reason have you to be morose?	機嫌を悪くしていらっしゃる理由がどこにあるのですよ？
You're rich enough.'	立派な金持ちの癖に。」
Scrooge having no better answer ready on the spur of the moment, said `Bah!' again;	スクルージは早速に巧い返事も出来かねたから、また
and followed it up with `Humbug.'	そして、その後から
`Don't be cross, uncle!'	「伯父さん、そうぷりぷりしなさんな」
said the nephew.	と、甥は云った。
`What else can I be,'	「ぷりぷりせずにいられるかい」
returned the uncle,	と、伯父は云い返した、
`when I live in such a world of fools as this?	「こんな馬鹿者どもの世の中にいては。
Merry Christmas!	聖降誕祭お目出とうだって！
Out upon merry Christmas!	聖降誕祭お目出とうがちゃんちゃら可笑しいわい！
What's Christmas time to you	お前にとっちゃ聖降誕祭の時は一体何だ！
but a time for paying bills without money;	金子もないのに勘定書を払う時じゃないか。
a time for finding yourself a year older, but not an hour richer;	一つ余計に年を取りながら、一つだって余計に金持にはなれない時じゃないか。
a time for balancing your books and having every item in 'em through a round dozen of months presented dead against you?	お前の帳面の決算をして、その中のどの口座を見ても丸一年の間ずっと損にばかりなっていることを知る時じゃないか。
If I could work my will,'	俺の思う通りにすることが出来れば」
said Scrooge indignantly,	と、スクルージは憤然として云った、
`every idiot who goes about with "Merry Christmas" on his lips, should be boiled with his own pudding, and buried with a stake of holly through his heart.	「聖降誕祭お目出とうなどと云って廻っている鈍児（どじ）どもはどいつもこいつもそいつのプディングの中へ一緒に煮込んで、心臓に柊（ひいらぎ）の棒を突き通して、地面に埋めてやるんだよ。
He should!'	是非そうしてやるとも！」
`Uncle!'	「伯父さん！」
pleaded the nephew.	と甥は抗弁した。
`Nephew!'	「甥よ！」
returned the uncle sternly,	と、伯父は厳格に言葉を返した。
`Keep Christmas in your own way, and let me keep it in mine.'	「お前はお前の流儀で聖降誕祭を祝え、俺はまた俺の流儀で祝わせて貰おうよ。」
`Keep it!'	「祝うんですって！」
repeated Scrooge's nephew.	と、スクルージの甥は相手の言葉を繰り返した。
`But you don't keep it.'	「だが、ちっとも祝っていないじゃありませんか。」
`Let me leave it alone, then,'	「では、俺にはそんな物打遣（うっちゃ）らかして置かせて貰おうよ」
said Scrooge.	とスクルージは云った。
`Much good may it do you!	「聖降誕祭は大層お前の役に立つだろうよ！
Much good it has ever done you!'	これまでも大層お前の役に立ったからねえ！」
`There are many things from which I might have derived good, by which I have not profited, I dare say,'	「世の中には、私がそれから利益を掴もうとすれば掴めたんだが、敢てそれをしなかった事柄がいくらもありますよ、私は敢て云いますがね」
returned the nephew.	と甥は答えた。
`Christmas among the rest.	「聖降誕祭もその一つですよ。
But I am sure I have always thought of Christmas time, when it has come round	だが、私はいつも聖降誕祭が来ると、
--apart from the veneration due to its sacred name and origin, if anything belonging to it can be apart from that	その神聖な名前や由来に対する崇敬の念から離れて、いや、聖降誕祭に附属しているものが何にもせよ、その崇敬の念から切り離せるとしたらですよ、それから切り離しても、
--as a good time;	聖降誕祭の時期というものは結構な時期だと思っているのですよ。
a kind, forgiving, charitable, pleasant time:	親切な、人をゆるしてやる、慈悲心に富んだ、楽しい時期だと。
the only time I know of, in the long calendar of the year, when men and women seem by one consent to open their shut-up hearts freely, and to think of people below them as if they really were fellow-passengers to the grave, and not another race of creatures bound on other journeys.	男も女も一様に揃って、閉じ切っていた心を自由に開いて、自分達より目下の者どもも実際は一緒に墓場に旅行している道伴侶（づれ）で、決して他の旅路を指して出掛ける別の人種ではないと云うように考える、一年の長い暦の中でも、私の知っている唯一の時期だと思っているのですよ。
And therefore, uncle, though it has never put a scrap of gold or silver in my pocket, I believe that it has done me good, and will do me good;	ですから、ねえ伯父さん、この聖降誕祭というものは私の衣嚢の中へ金貨や銀貨の切れっぱし一つだって入れてくれたことがなくとも、私を益してくれた、またこれから先も益してくれるものだと、私は信じているんですよ。
and I say, God bless it!'	で、私は云うのです、神よ、聖降誕祭を祝福し給え！　と。」
The clerk in the Tank involuntarily applauded.	大桶の中にいた書記は我にもなく拍手喝采した。
Becoming immediately sensible of the impropriety, he poked the fire, and extinguished the last frail spark for ever.	が、すぐにその不穏当なことに気が附いて、火を突っついて、最後に残った有るか無いかの火種を永久に掻き消してしまった。
`Let me hear another sound from you,'	「もう一遍手を叩いて見ろ」
said Scrooge,	とスクルージは云った。
`and you'll keep your Christmas by losing your situation!	「君は地位を棒に振ることに依って、聖降誕祭を祝うだろうよ。
You're quite a powerful speaker, sir,'	貴方は中々大した雄弁家でいらっしゃるね、もし貴方」
he added, turning to his nephew.	と、彼は甥の方へ振り向いて附け足した。
`I wonder you don't go into Parliament.'	「貴方が議会へお出にならないのは不思議だよ。」
`Don't be angry, uncle.	「そう怒らないで下さい、伯父さん。
Come!	いらっしゃいよ、
Dine with us tomorrow.'	私どもの宅で一緒に食事をしましょうよ。」
Scrooge said that he would see him	スクルージは、自分は相手が地獄に落ちたのを見たいものだと云った、
--yes, indeed he did.	実際彼はそう云った。
He went the whole length of the expression,	彼はその言葉を始めから終いまで漏さず云ってしまった。
and said that he would see him in that extremity first.	そして、（自分がお前の宅へ行くよりは）先ずお前がそう云う怖ろしい目に遭っているのを見たいものだと云った。
`But why?'	「だが、何故です？」
cried Scrooge's nephew.	スクルージの甥は叫んだ。
`Why?'	「何故ですよ？」
`Why did you get married?'	「お前はまた何故結婚なぞしたのだ？」
said Scrooge.	と、スクルージは訊いた。
`Because I fell in love.'	「あの女を愛したからでさ。」
`Because you fell in love!'	「愛したからだと！」
growled Scrooge, as if that were the only one thing in the world more ridiculous than a merry Christmas.	と、世の中にお目出たい聖降誕祭よりも、もっと馬鹿々々しいものはこれ一つだと云わんばかりに、スクルージは唸った。
`Good afternoon!'	「では左様なら！」
`Nay, uncle, but you never came to see me before that happened.	「いや、伯父さん、貴方は結婚しない前だって一度も来て下すったことはないじゃありませんか。
Why give it as a reason for not coming now?'	何故今になってそれを来て下さらない理由にするんですよ？」
`Good afternoon,'	「左様なら」
said Scrooge.	と、スクルージは云った。
`I want nothing from you;	「私は貴方に何もして貰おうと思っちゃいませんよ。
I ask nothing of you;	何も貰おうと思っちゃいませんよ。
why cannot we be friends?'	どうして二人は仲好く出来ないのですかね。」
`Good afternoon,'	「左様なら」
said Scrooge.	と、スクルージは云った。
`I am sorry, with all my heart, to find you so resolute.	「貴方がそう頑固なのを見ると、私は心から悲しくなりますよ。
We have never had any quarrel,	二人はこれまで喧嘩をしたことは
to which I have been a party.	――私が相手になってしたことは一度だってありません。
But I have made the trial in homage to Christmas,	ですが、今度は聖降誕祭に敬意を表して、仲直りをして見ようと思ったのです。
and I'll keep my Christmas humour to the last.	私は最後まで聖降誕祭の気分を保って行くつもりですよ。
So A Merry Christmas, uncle!'	ですから、聖降誕祭お目出とう、伯父さん！」
`Good afternoon,'	「左様なら」
said Scrooge.	と、スクルージは云った。
`And A Happy New Year!'	「そして、新年お目出とう！」
`Good afternoon,'	「左様なら」
said Scrooge.	と、スクルージは云った。
His nephew left the room without an angry word, notwithstanding.	彼の甥はこう云われても、一語もつっけんどんな言葉は返さないでその部屋を出て行った。
He stopped at the outer door to bestow the greetings of the season on the clerk,	彼は表側の戸口の所で立ち停って、書記に時節柄の挨拶をした。
who cold as he was, was warmer than Scrooge;	書記は冷えていたが、スクルージより温かい心を持っていた。
for he returned them cordially.	と云うのは、彼も丁寧に挨拶を返したからである。
`There's another fellow,'	「まだ一人居るわい」
muttered Scrooge; who overheard him:	と、スクルージは彼の声を聞き附けて呟いた。
`my clerk, with fifteen shillings a week, and a wife and family, talking about a merry Christmas.	「一週間に十五シリング貰って、女房と子供を養っている書記の奴が、聖降誕祭お目出とうだなんて云っていやがる。
I'll retire to Bedlam.'	俺は瘋癲病院へ退き込もうかな。」
This lunatic, in letting Scrooge's nephew out, had let two other people in.	この狂人はスクルージの甥を送り出しながら、二人の他の男を導き入れた。
They were portly gentlemen, pleasant to behold,	彼等は見るから気持の好い、恰服（かっぷく）のいい紳士であった。
and now stood, with their hats off, in Scrooge's office.	そして、今や帽子を脱いで、スクルージの事務室に立っていた。
They had books and papers in their hands, and bowed to him.	彼等は手に帳簿と紙とを持って、彼にお辞儀をした。
`Scrooge and Marley's, I believe,'	「こちらはスクルージとマアレイ商会で御座いますね？」
said one of the gentlemen, referring to his list.	と、その中の一人が手に持った表に照し合わせながら訊ねた。
`Have I the pleasure of addressing Mr. Scrooge, or Mr. Marley?'	「失礼ながら貴方はスクルージさんでいらっしゃいますか、それともマアレイさんでいらっしゃいますか。」
`Mr. Marley has been dead these seven years,'	「マアレイ君は死んでから七年になりますよ」
Scrooge replied.	と、スクルージは答えた。
`He died seven years ago, this very night.'	「七年前のちょうど今夜亡くなったのです。」
`We have no doubt his liberality is well represented by his surviving partner,'	「もちろんマアレイさんの鷹揚なところは、生き残られたお仲間に依って代表されているので御座いましょうな」
said the gentleman, presenting his credentials.	と、紳士は委任状を差出しながら云った。
It certainly was;	確かにその通りであった。
for they had been two kindred spirits.	と云うのは、彼等二人は類似の精神であったからである。
At the ominous word `liberality,' Scrooge frowned,	鷹揚なところという気味の悪い言葉を聞いて、スクルージは顔を顰めた。
and shook his head, and handed the credentials back.	そして、頭を振って、委任状を返した。
`At this festive season of the year, Mr. Scrooge,'	「一年中のこのお祝い季節に当たりまして、スクルージさん」
said the gentleman, taking up a pen,	と、紳士はペンを取り上げながら云った。
`it is more than usually desirable that we should make some slight provision for the Poor and Destitute, who suffer greatly at the present time.	「目下非常に苦しんでいる貧窮者どものために、多少なりとも衣食の資を拵えてやると云うことは、平日よりも一層願わしいことで御座いますよ。
Many thousands are in want of common necessaries;	何千という人間が衣食に窮しているのです、
hundreds of thousands are in want of common comforts, sir.'	何十万という人間が有り触れた生活の慰楽に事を欠いているので御座いますよ、貴方。」
`Are there no prisons?'	「監獄はないのですかね」
asked Scrooge.	と、スクルージは訊ねた。
`Plenty of prisons,'	「監獄はいくらもありますよ」
said the gentleman, laying down the pen again.	と、紳士は再びペンを下に置きながら云った。
`And the Union workhouses?'	「そして共立救貧院は？」
demanded Scrooge.	とスクルージは畳みかけて訊いた。
`Are they still in operation?'	「あれは今でもやっていますか。」
`They are.	「やって居ります、
Still,'	今でも」
returned the gentleman,	と、紳士は返答した。
`I wish I could say they were not.'	「やっていないと申上げられると好う御座いますがね。」
`The Treadmill and the Poor Law are in full vigour, then?' said Scrooge.	「踏み車や救貧法も十分に活用されていますか。」
`Both very busy, sir.'	「両方とも盛に活動していますよ。」
`Oh!	「おお！
I was afraid, from what you said at first, that something had occurred to stop them in their useful course,'	私はまた貴方が最初に云われた言葉から見て、何かそう云う物の有益な運転を阻害するような事が起こったのではないかと心配しましたよ」
said Scrooge.	と、スクルージは云った。
`I'm very glad to hear it.'	「それを伺ってすっかり安心しました。」
`Under the impression that they scarcely furnish Christian cheer of mind or body to the multitude,'	「そう云う物ではとてもこの多数の人に対して基督教徒らしい心身の慰安を供給してやることが出来ないと云う所信の下に」
returned the gentleman,	と、その紳士は返辞をした。
`a few of us are endeavouring to raise a fund to buy the Poor some meat and drink, and means of warmth.	「私ども数人の物が貧民のために肉なり、飲料なり、燃料なりを買ってやる資金を募集しようと努力しているので御座います。
We choose this time, because it is a time, of all others, when Want is keenly felt, and Abundance rejoices.	私どもがこの際を選んだのは、それが特に、貧乏が痛感されていると共に、有福な方々が喜び楽しんでおいでの時だからで御座います。
What shall I put you down for?'	御寄附はいくらといたしましょうか。」
`Nothing!'	「皆無」
Scrooge replied.	と、スクルージは云った。
`You wish to be anonymous?'	「匿名がお望みで？」
`I wish to be left alone,'	「いや、私は打遣っといて貰いたいのだ」
said Scrooge.	と、スクルージは云った。
`Since you ask me what I wish, gentlemen, that is my answer.	「何が望みだとお尋ねになるから、こう御返辞をしたのです、
I don't make merry myself at Christmas	私は自分でも聖降誕祭だって愉快にはしていない。
and I can't afford to make idle people merry.	ですもの、怠惰者を愉快にしてやる訳には行きません。
I help to support the establishments I have mentioned	私は今挙げたような造営物の維持を助けている
--they cost enough;	――それだけでも随分費（かか）りますよ。
and those who are badly off must go there.'	暮しの立たない者はそこへ行くが可いのさ。」
`Many can't go there;	「多くの人がそこへ（行こうと思っても）行かれません。
and many would rather die.'	また多くの人は（そんな所へ行く位なら）いっそ死んだ方が優（ま）しだと思って居りましょう。」
`If they would rather die,'	「いっそ死んだ方がよけりゃ」
said Scrooge,	と、スクルージは云った、
`they had better do it, and decrease the surplus population.	「そうした方が可い、そして、過剰の人口を減らす方が可う御座んすよ。
Besides	それに
--excuse me	――失礼ですが
--I don't know that.'	――そう云う事実は知りませんね。」
`But you might know it,'	「でも、御存知の筈ですが」
observed the gentleman.	と、紳士は云った。
`It's not my business,'	「いや、そりゃ私の知った事じゃない」
Scrooge returned.	と、スクルージは答えた。
`It's enough for a man to understand his own business,	「人間は自分の仕事さえ好く心得てりゃ、それで沢山のものです。
and not to interfere with other people's.	他人の仕事に干渉するには及ばない。
Mine occupies me constantly.	私なぞは自分の仕事で年中暇なしですよ。
Good afternoon, gentlemen!'	左様なら、お二人さん！」
Seeing clearly that it would be useless to pursue their point, the gentlemen withdrew.	自分達の主旨を押して追求したところで、とても無駄だと明白に看て取ったので、紳士達は引き下がった。
Scrooge returned his labours with an improved opinion of himself, and in a more facetious temper than was usual with him.	スクルージは急に自分が偉くなったように感じながら、平生の彼よりはずっと気軽な気持で、再び仕事に取り掛った。
Meanwhile the fog and darkness thickened so, that people ran about with flaring links, proffering their services to go before horses in carriages, and conduct them on their way.	その間にも霧と闇とはいよいよ深くなったので、人々は馬車馬の前に立って、途中その馬を案内する御用を承わりたいと申し出でながら、ゆらゆら燃える松明を持って歩き廻った。
The ancient tower of a church,	年数を経た教会の塔は
whose gruff old bell was always peeping slily down at Scrooge out of a Gothic window in the wall, became invisible,	――その銅鑼声の古い鐘はいつも壁の中のゴシック型の窓から何喰わぬ顔してスクルージを見下ろしていたものだが、その塔も見えなくなった。
and struck the hours and quarters in the clouds, with tremulous vibrations afterwards as if its teeth were chattering in its frozen head up there.	そして、あの高い所にあるあの凍った頭の中で歯ががちがち噛み合ってでもいるように、後に顫えるような震声を曳いて、雲の中で一時間目毎、十五分目毎の鐘を打った。
The cold became intense.	寒さはいよいよ厳しくなった。
In the main street at the corner of the court, some labourers were repairing the gas-pipes,	大通りでは、路地の隅で、二三の労働者が瓦斯管の修繕をして居た。
and had lighted a great fire in a brazier, round which a party of ragged men and boys were gathered:	そして、火鉢の中に火を沢山燃して置いて、その周囲に襤褸を来た男達と子供達の一団が夢中になって
warming their hands and winking their eyes before the blaze in rapture.	手を煖めたり、火焔の前に眼をぱちつかせたりしながらむらがっていた。
The water-plug being left in solitude, its overflowing sullenly congealed, and turned to misanthropic ice.	水道の栓はひとり打遣って置かれたので、その溢れ出る水は急に凍って、厭世的な氷になってしまった。
The brightness of the shops where holly sprigs and berries crackled in the lamp heat of the windows, made pale faces ruddy as they passed.	柊の小枝や果実が窓の中の洋灯の熱にパチパチ弾けている店々の明るさは、通りがかりの人々の蒼い顔を真赧にした。
Poulterers' and grocers' trades became a splendid joke;	家禽屋だの食料品屋だのの商売は素晴らしい戯談になってしまった。
a glorious pageant, with which it was next to impossible to believe that such dull principles as bargain and sale had anything to do.	すなわち取引とか売買とかいうような面白くもない原則がこれと何かの関係があろうとは、到底信じられないような、華やかな観世物になってしまったのであった。
The Lord Mayor, in the stronghold of the mighty Mansion House, gave orders to his fifty cooks and butlers to keep Christmas as a Lord Mayor's household should;	市長閣下は堂々とした官邸の城砦の中で、何十人という料理番と膳部係とに、市長家として恥ずかしくないような、聖降誕祭の用意をするように吩咐けた。
and even the little tailor, whom he had fined five shillings on the previous Monday for being drunk and bloodthirsty in the streets, stirred up to-morrow's pudding in his garret, while his lean wife and the baby sallied out to buy the beef.	また前週の月曜日酒に酔って、血腥い真似をしたと云うかどで市長から五シリングの罰金に処せられた詰らない仕立屋すら、痩せた女房と赤ん坊とが牛肉を買いに駆け出して行った間に、屋根裏の部屋で明日のプディングを掻き廻していた。
Foggier yet, and colder!	いよいよ霧は深く、寒さも加わって来た。
Piercing, searching, biting cold.	突き刺すような、身に徹えるような、噛みつくような寒さであった。
