A Diagnosis of Death	死の診断
“Of course, I need not tell you that this was what you will call an hallucination and I call an apparition.	「もちろん言うまでもないことだけど、これはつまりきみらが妄想と呼び、ぼくが幻影と呼ぶものだ。
That room had only two doors, of which one was locked;	あの部屋にはドアが2つあって、うちひとつには鍵がかかっていた。
the other led into a bedroom, from which there was no exit.	もうひとつは寝室に繋がっていて、そこから外に出ることはできない。
My feeling on realizing this is not an important part of the incident.	これに気づいたときぼくがどう思ったか、ま、それはこの事件の重要なポイントじゃないな。
“Doubtless this seems to you a very commonplace ‘ghost story’ -	「疑いなく、これはきみらにとって陳腐な『幽霊話』にすぎないだろう――
one constructed on the regular lines laid down by the old masters of the art.	古い時代の大芸術家たちが定めたパターンどおりに組みたてられるやつ。
If that were so I should not have related it,	だけどもしそうだとしたら、わざわざ話して聞かせたりはしない。
even if it were true.	本当の話だったとしてもね。
The man was not dead;	その男は、死んでいなかったんだ。
I met him to-day in Union street.	今日ユニオン通りで出くわしたよ。
He passed me in a crowd.”	かれは人ごみの中ぼくとすれちがったんだ」
Hawver had finished his story and both men were silent.	ホーヴァーの物語が終わり、両者ともに沈黙した。
Dr. Frayley absently drummed on the table with his fingers.	ドクター・フレイリーは急にテーブルの上にを指でこつこつと叩いた。
“Did he say anything to-day?”	「かれは今日、何か言ったか？」
he asked -	と医者は尋ねた――
“anything from which you inferred that he was not dead?”	「何か、かれが生きている証拠になりそうなことを？」
Hawver stared and did not reply.	ホーヴァーは凝然として答えを返さない。
“Perhaps,”	「もしかして」
continued Frayley,	とフレイリーは話を続けた。
“he made a sign, a gesture -	「合図というか身振りというか――
lifted a finger, as in warning.	警告するように指を1本あげてみせなかったか？
It’s a trick he had -	何か重要なことを言うとき――
a habit when saying something serious -	たとえば診断の結果を告げるときの、あの男の癖なんだが」
“Yes, he did -	「ああ、そうした――
just as his apparition had done.	かれの幻影がやったように。
But, good God!	だけど、なぜ？
did you ever know him?”	かれのことを知っていたのかい？」
Hawver was apparently growing nervous.	ホーヴァーはどうやら不安になってきたようだった。
“I knew him.	「私はかれのことを知っていたんだ。
I have read his book,	かれの本を読んだこともある。
as will every physician some day.	そのうち、どんな医者だって読むようになるだろう。
It is one of the most striking and important of the century’s contributions to medical science.	今世紀でもっとも重要で、もっとも衝撃的な医療科学への貢献をした本のひとつだよ。
Yes, I knew him;	そう、私はかれのことを知っていた。
I attended him in an illness three years ago.	3年前、私はかれの病気を看た。
He died.”	かれは死んだ」
Hawver sprang from his chair, manifestly disturbed.	ホーヴァーは見るからに困惑して椅子から飛びあがった。
He strode forward and back across the room;	部屋の中をいったりきたりしはじめる。
then approached his friend, and in a voice not altogether steady, said:	やがて友人のそばに歩み寄ると、うわずった声で言った。
“Doctor, have you anything to say to me -	「ドクター、何かぼくに言っておくことはないか――
as a physician?”	医者として？」
“No, Hawver;	「ないね、ホーヴァー。
you are the healthiest man I ever knew.	きみはまったくの健康体だよ。
As a friend I advise you to go to your room.	友人として忠告させてもらうなら、部屋に戻るんだね。
You play the violin like an angel. Play it; 	得意のヴァイオリンをとって、
play something light and lively.	何か軽快なやつを演るんだ。
Get this cursed bad business off your mind.”	こんな気味の悪いできごと、さっさ忘れてしまえ」
The next day Hawver was found dead in his room,	翌日、ホーヴァーが自室で死んでいるのが見つかった。
the violin at his neck, the bow upon the strings, his music open before him at Chopin’s funeral march.	バイオリンを首にあて、弓を弦におき、目の前にショパンの葬送行進曲の楽譜を開いて。
