Bill Clinton's Inaugural Address	ビル・クリントン第一期大統領就任演説
offer more opportunity TO all and demand more responsibility FROM all.	全ての人により多くの機会をあたえ、全ての人に責任を求めよう。
It is time to break the bad habit of expecting something for nothing: from our government, or from each other.	われわれは、政府やお互いに何も提供せずに何かを求める悪い習慣を改める時だ。
Let us all take more responsibility, not only for ourselves and our families, but for our communities and our country.	もっと自分自身や家族だけではなく、コミュニティやわれわれの国に責任をもとうではないか。
To renew America we must revitalize our democracy.	アメリカを再生させるために、われわれは民主主義に新しい息吹をふきこまなければならない。
This beautiful capitol, like every capitol since the dawn of civilization, is often a place of intrigue and calculation.	文明の夜明けからのありとあらゆる首都と同様に、この美しい首都はしばしば陰謀と策略のうずまく場所だったりした。
Powerful people maneuver for position and worry endlessly about who is IN and who is OUT, who is UP and who is DOWN,	権力をもった人々が地位をあやつり、際限なく誰にこの地位を与え、誰から剥奪するか、誰を昇進させ、誰を降格するかで気をもんでいる。
forgetting those people whose toil and sweat sends us here and paves our way.	それも、その血と汗でわれわれをここに送り込み、自活している人々のことを忘れてである。
Americans deserve better,	アメリカ国民はよりよい待遇に値する。
and in this city today there are people who want to do better,	そして今日この首都には、よりよいことをしたいと考えている人々が集まっている。
and so I say to all of you here,	そして私は今日ここにいる全ての人にいいたい。
let us resolve to reform our politics, so that power and privilege no longer shout down the voice of the people.	われわれの政府を改革することを決意して欲しい、そうすれば、権力や特権が市井の人々の声をかき消すこともなくなるだろう。
Let us put aside personal advantage, so that we can feel the pain and see the promise of America.	個人的な利害は少しわきに置いてほしい、そうすれば痛みを感じることができ、アメリカの約束を理解できるだろう。
Let us resolve to make our government a place for what Franklin Roosevelt called "bold, persistent experimentation,	われわれの政府をフランクリン・ルーズベルト大統領が“大胆で、未来までつづく実験”とよんだ場所にすることを決意してほしい。
a government for our tomorrows, not our yesterdays."	われわれの将来のための政府であり、過去のための政府ではない。
Let us give this capitol back to the people to whom it belongs.	この首都をそこに属する人の手に戻そうではないか。
To the new America we must meet challenges abroad, as well as at home.	アメリカを新たにするために、われわれは国内同様、海外でも挑戦に直面しなければならない。
There is no longer a clear division between what is foreign and what is domestic.	もはや何が海外のもので何が国内のものか区別することはできない。
The world economy, the world environment, the world AIDS crisis, the world arms race:	世界の経済、世界の環境、世界のエイズ危機、世界の武器競争、
they affect us all.	それらがわれわれ全員に影響を与えるのだ。
Today as an old order passes, the new world is more free, but less stable.	今日、古い秩序が過去のものとなり、新しい世界はより自由に、しかしより不安定になっている。
Communism's collapse has called forth old animosities, and new dangers.	共産主義の崩壊は過去の反目と新たな危険を生み出してきた。
Clearly, America must continue to lead the world did so much to make.	明らかにアメリカは、今までやってきた以上に世界を導きつづけなければならない。
While America rebuilds at home, we will not shrink from the challenges nor fail to seize the opportunities of this new world.	国内でアメリカを立てなおす一方で、われわれは新しい世界をつくる挑戦にひるむこともなければ、また新しい世界を作るきっかけをつかみ損ねることもないだろう。
Together with our friends and allies, we will work together to shape change, lest it engulf us.	味方も敵もいっしょに、われわれは変化に飲みこまれることがないよう、変化を方向づけることに取り組みたいと思う。
When our vital interests are challenged, or the will and conscience of the international community is defied, we will act; with peaceful diplomacy whenever possible, with force when necessary.	われわれの生命を左右するような国益がおびやかされたり、国際社会の意思や良心が踏みにじられたとき、われわれはできるかぎり平和的なかけひきをもって、ただ必要なときは武力も辞さず、対処したいと思う。
The brave Americans serving our nation today in the Persian Gulf, in Somalia, and wherever else they stand are testament to our resolve,	われわれの国で今日、ペルシャ湾、ソマリア、その他どんな場所でも任務についている勇気のあるアメリカ人は、われわれの決意に対する表明である。
but our greatest strength is the power of our ideas, which are still new in many lands.	しかしわれわれのもっとも偉大な力は、その理想の力であり、それは多くの場所でまだ目新しいものである。
Across the world, we see them embraced and we rejoice.	世界中でその考えが受け入れられ、われわれもうれしく思う。
Our hopes, our hearts, our hands, are with those on every continent, who are building democracy and freedom.	われわれの希望も心も手も、全ての大陸で民主主義と自由を打ち立てている人の希望と心と手とともにある。
Their cause is America's cause.	彼らの大義はアメリカの大義である。
The American people have summoned the change we celebrate today.	アメリカの人々は、今日われわれが祝福している変化をすでにもたらしてきた。
You have raised your voices in an unmistakable chorus, you have cast your votes in historic numbers,	あなたたちは明らかに声をそろえてあげてきたし、歴史的な数の票を投じてきた。
you have changed the face of congress, the presidency, and the political process itself.	そして議会の顔である大統領、そして政治の手続きそれ自体を変えてきた。
Yes, YOU, my fellow Americans, have forced the spring.	そう、あなたたち、アメリカ国民は春の訪れを推し進めてきた。
Now WE must do the work the season demands.	さてわれわれはその季節がもとめる仕事をこなさなければならない。
To that work I now turn with ALL the authority of my office.	私はこの仕事に、私の執務室の全ての力をあわせて専念したい。
I ask the congress to join with me;	議会にも協力を要請したい。
but no president, no congress, no government can accomplish THIS mission alone.	しかし大統領だけでも、議会だけでも、政府だけでもこの仕事に着手することはできない。
My fellow Americans, you, too, must play your part in our renewal.	アメリカ国民よ、あなたがたもだ、われわれの改革において果たすべき役割を果たして欲しい。
I challenge a new generation of YOUNG Americans to a season of service,	私は新しい世代のアメリカ国民に奉仕を促したい。
to act on your idealism, by helping troubled children, keeping company with those in need, reconnecting our torn community.	困っている子供たちに手を貸したり、必要な時はいつでもそばにいてあげたり、ほころびたコミュニティを再び結びつけることで自分の理想に忠実に行動してみてはどうだろうか。
There is so much to be done.	まだまだすべきことはたくさんある。
Enough, indeed, for millions of others who are still young in spirit, to give of themselves in service, too.	まだ精神的に若く、奉仕する心にもあふれている何百万もの人々にとって本当に十分たくさんなほど、すべきことはある。
In serving we recognize a simple, but powerful, truth:	奉仕において、われわれはシンプルだが力強い真実に思い当たる。
we need each other,	つまりわれわれは、お互いを必要としているのだ。
and we must care for one another.	そしてわれわれは、お互いの世話をしなければならない。
Today we do more than celebrate America,	今日、われわれはアメリカを祝福する以上のことをしなければならない。
we rededicate ourselves to the very idea of America,	アメリカのまさにその意義に身を捧げなければならない。
an idea born in revolution, and renewed through two centuries of challenge,	その意義はアメリカ独立戦争で生まれ、２世紀におよぶ挑戦を通じて再び新たなものとなってきた。
an idea tempered by the knowledge that but for fate, we, the fortunate and the unfortunate, might have been each other;	その意義は、運命がかわっていれば、われわれは幸か不幸かお互いの立場を替えていたかもしれないと考えることによって鍛えられてきた。
an idea ennobled by the faith that our nation can summon from its myriad diversity, the deepest measure of unity;	その意義は、われわれの国は多様性にとても富んでいながらも、もっとも深いところまで一致することがもたらされるという信念によって品位をあげてきた。
an idea infused with the conviction that America's journey long, heroic journey must go forever upward.	その意義は、アメリカの英雄的な長旅が永遠に上向きでなければならないという確信を吹きこんできた。
And so, my fellow Americans, as we stand at the edge of the 21st Century, let us begin anew, with energy and hope, with faith and discipline,	そして、アメリカ国民よ、２１世紀を迎えるにあたってエネルギーと希望、そして信念と規律をもって始めようではありませんか。
and let us work until our work is done.	われわれの仕事を終えるまで、仕事に取り組もうではありませんか。
The Scripture says:	聖書にはこうかかれています。
"And let us not be weary in well-doing,	「いい行いにうんざりすることはない。
for in due season we shall reap,	なぜなら支払いの時がくれば、われわれは支払いをうけるからだ。
if we faint not."	もしわれわれが弱気にならなければ」
From this joyful mountaintop of celebration we hear a call to service in the valley.	この就任式の喜びにみちた頂上から、谷での奉仕をもとめる声が聞こえます。
We have heard the trumpet,	われわれにはトランペットの音が聞こえました。
we have changed the guard,	われわれは警備を交替しました。
and now each in our own way, and with God's help, we must answer the call.	そして今われわれそれぞれの立場で、神の助けをかりて、その声に答えなければならない。
Thank you, and God bless you all.	ありがとう、そして神のご加護がみなにありますように。
