The Hacker FAQ	管理職のためのハッカー FAQ
0.3: Wait, you just said "10 times", didn't you?	0.3: 待ってください、「１０倍」とおっしゃられましたよね？
You're not serious, right?	ご冗談でしょう？
Actually, I said "ten times".	本当に「１０倍」と申しました。
And yes, I am serious;	そうです、私は真剣です。
a hacker on a roll may be able to produce, in a period of a few months, something that a small development group (say, 7-8 people) would have a hard time getting together over a year.	好調時のハッカーなら、二三ヶ月で、小規模な開発グループ（７、８人の）が団結しながらも一年以上苦労しているものを作りうるのです。
He also may not. Your mileage will vary.	人によりますから、あなたのところのハッカーがそこまですごいかどうかはわかりませんが。
IBM used to report that certain programmers might be as much as 100 times as productive as other workers, or more.	IBM はかつて、特定のプログラマーが他の労働者の１００倍、もしくはそれ以上の生産性を示したことを報告しました。
This kind of thing happens.	この種のことが起こるのです。
0.4: I don't understand this at all.	0.4: 私には全く理解できません。
This is confusing.	困惑してます。
Is there a book on this?	それを示した書籍などありますか？
Not yet.	今のとこまだです。
In the meantime, check out The New Hacker's Dictionary (references below; also known as "the jargon file"), in particular some of the appendices.	当面は、「New Hacker's Dictionary」（下記参照、「ジャーゴン・ファイル」として知られている）を、特にアペンディクスをチェックしてください。
The entire work is full of clarifications and details of how hackers think.	全体にハッカーの思考法の説明と細目でいっぱいです。
Section 1: Social issues	1章： 社会性の問題
1.0: My hacker doesn't fit in well with our corporate society.	1.0: うちのハッカーは我々の企業社会とうまく調和してません。
She seems to do her work well, but she's not really making many friends.	仕事はうまくやってくれてるようなのですが、友達をあまり作ろうとしないのです。
This is common.	よくあることです。
Your hacker may not have found any people around who get along with hackers.	あなたの雇ったハッカーは、ハッカーと仲良くやれる人間を見つけてないのかもしれません。
You may wish to consider offering her a position telecommuting, or flexible hours (read: night shift),	あなたとしては在宅勤務やフレックス勤務（夜型への移行）を提案することを考えてみてはどうでしょう。
which may actually improve her productivity.	そうしてみれば生産性が向上するかもしれません。
Or hire another one.	さもなくば他のハッカーを雇うことですね。
1.1: My hacker seems to dress funny.	1.1: うちのハッカーは服装がヘンなんです。
Is there any way to impress upon him the importance of corporate appearance?	企業における風采の重要性を叩き込む方法はあるでしょうか？
Your hacker has a very good understanding of the importance of corporate appearance.	あなたのところのハッカーは団体における風采の重要性をとてもよく理解してますよ。
It doesn't help you get your job done.	つまりそれが仕事の助けにはならないということをです。
IBM, Ford, and Microsoft have all realized that people work better when they can dress however they want.	IBM、フォード、そしてマイクロソフトもみんな、従業員が望む服装をさせるのが仕事にもよいことを認識してますよ。
Your hacker is dressed comfortably.	あなたのところのハッカーはその人にとって気持ちのよい服装をしているのです。
A polite request to dress up some for special occasions may well be honored, and most hackers will cheerfully wear clothes without (unintentional) holes in them if specifically asked.	特別な機会にはいくらかドレスアップするよう礼儀正しく要求するのはもっともなことで、殆どのハッカーは丁重に求められれば、快活に（意図せざる）穴のあいてない服を着てくれます。
1.2: My hacker won't call me by my title,	1.2: うちのハッカーは私を肩書きで呼ぼうとしません。
and doesn't seem to respect me at all.	それどころか私に全く敬意を払ってないように見えるのです。
Your hacker doesn't respect your title.	ハッカーは肩書きに敬意を払いません。
Hackers don't believe that management is "above" engineering;	ハッカーというのは、マネージメントがエンジニアリングの「上位」にくるなんて思わないのです。
they believe that management is doing one job, and engineering is doing another.	つまり、彼らにとってマネージメントというのはある役目を果たすことであって、エンジニアリングもまたしかりです。
They may well frequently talk as if management is beneath them, but this is really quite fair;	彼らはあたかもマネージメントが彼らの下位にあるかのような口振りをすることも多分頻繁にあるかもしれませんが、これは実際公平だといえます。
your question implies that you talk as if engineering is beneath you.	つまり、あなたの問いによると、あなたはエンジニアリングがあなたの下位にあるかのようにほのめかしてるからです。
Treat your hacker as an equal,	ハッカーを対等な存在として扱うことです。
and she will probably treat you as an equal	そうしたら、彼女も恐らくはあなたを対等な存在として扱うでしょう。
-- quite a compliment!	全く光栄なことではないですか！
1.3: My hacker constantly insults the work of my other workers.	1.3: うちのハッカーは、うちの他の従業員の仕事をしょっちゅう侮辱するのです。
Take your hacker aside, and ask for details of what's wrong with the existing work.	あなたの雇っているハッカーをわきに連れて行き、現在の仕事のおかしいところを詳しいところまで助言を求めるのです。
It may be that there's something wrong with it.	何か問題があるのかもしれません。
Don't let the fact that it runs most of the time fool you;	大抵の場合うまくいっているという事実に騙されてはいけません。
your hacker is probably bothered by the fact that it crashes at all.	あなたのとこのハッカーは、その問題が全てを破綻させてしまうという事実が気になっているのかもしれません。
He may be able to suggest improvements which could dramatically improve performance, reliability, or other features.	彼はパフォーマンス、信頼性、そして他の主要点について劇的に向上させる改良点を指摘できるかもしれません。
It's worth looking into.	これは調べてみる価値があります。
You may be able to convince your hacker to be more polite, but if there appear to be major differences, it's quite possible that one or more of your existing staff are incompetent.	あなたはあなたのとこのハッカーに説得してもう少し礼儀正しくするようにさせることができるかもしれませんが、もし彼と他の従業員との間で大きな見解の相違があるようならば、あなたが現在抱えるスタッフの一人、もしくはそれ以上が無能である、ということも大いにありうることです。
Note that hackers, of course, have different standards of competence than many other people.	勿論のこと、ハッカーは他の多くの人達とは能力の基準が違うことに注意してください
(Read "different" as "much higher".)	（「基準が違う」を「基準がより高い」と読みかえてもよいです）。
Section 2: Productivity.	2章: 生産性
2.0: My hacker plays video games on company time.	2.0: うちのハッカーは就業時間にビデオゲームで遊ぶのです。
Hackers, writers, and painters all need some amount of time to spend "percolating" -- doing something else to let their subconscious work on a problem.	ハッカー、作家、そして画家は皆「浸透」のために費やす時間がいくらか必要で、彼らの潜在意識の働きを問題に向けるために何か他のことをしているのです。
Your hacker is probably stuck on something difficult.	あなたのとこのハッカーは多分何か困難に突き当たっているのでしょう。
Don't worry about it.	心配には及びません。
2.1: But it's been two weeks since I saw anything!	2.1: しかし見るところ二週間そればっかりなんですよ！
Your hacker is working, alone probably, on a big project, and just started, right?	あなたのとこのハッカーは、多分一人で、ビッグ・プロジェクトに従事していて、それは始まったばかり、でよろしいですか？
She's probably trying to figure it all out in advance.	彼女は多分その全容をあらかじめ理解しようとしているのです。
Ask her how it's going;	彼女に進捗を尋ねてみてください。
if she starts a lot of sentences, but interrupts them all with "no, wait..." or "drat, that won't work", it's going well.	もし彼女が次々とセンテンスを話しだすが、「いや、待って・・・」とか「ちぇっ、上手くいかないぞ」といった言葉で中断するようなら、順調です。
2.2: Isn't this damaging to productivity?	2.2: それって生産性にダメージを与えてませんか？
No.	いいえ、
Your hacker needs to recreate and think about things in many ways.	あなたのとこのハッカーは色々なやり方で気晴らしをし、物事を考える必要があるのです。
He will be more productive with this recreation than without it.	気晴らしをしないより、した方がより生産的であるでしょう。
Your hacker enjoys working;	あなたのとこのハッカーは仕事を楽しんでます。
don't worry about things getting done reasonably well and quickly.	合理的にかつ迅速に仕事がなされるかについて心配することはありません。
2.3: My hacker is constantly doing things unrelated to her job responsibilities.	2.3: うちのとこのハッカーはいつも自分の職責と関係のないことをやってます。
Do they need to be done?	その職責を果たす必要があるのですか？
Very few hackers can resist solving a problem when they can solve it, and no one else is solving it.	自分は問題を解けるが他の誰もそれを解けない場合、問題を解くことに抵抗できるハッカーはほとんどいません。
For that matter, is your hacker getting her job done?	この場合、あなたのとこのハッカーは仕事をうまくやってますか？
If so, consider these other things a freebie or perk (for you).	もしそうなら、そうした行動を（あなたへの）無償のサービス、チップと考えてみて下さい。
Although it may not be conventional, it's probably helping out quite a bit.	それは協定にはないかもしれないが、いくばかりか助力にはなるでしょう。
2.4: My hacker is writing a book, reading USENET news, playing video games, talking with friends on the phone, and building sculptures out of paper clips.	2.4: うちのとこのハッカーは本を書き、USENET を読み、ビデオゲームで遊び、電話で友人と話し、紙ばさみで彫刻を創っているんです。
On company time!	就業時間にですよ！
He sounds happy.	幸せそうですね。
The chances are he's in one of three states:	多分以下の三つのいずれかなのでしょう：
Basic job responsibilities are periodic (phone support, documentation, et al.) and there's a lull in incoming work.	基本的な職責が周期的なもの（電話サポート、文書調査など）で、次に来る仕事までの小康状態である。
Don't worry about it!	心配御無用です！
Your hacker is stuck on a difficult problem.	あなたのとこのハッカーは困難な問題に突き当たっている。
Your hacker is bored silly and is trying to find amusement.	あなたのとこのハッカーはひどく退屈していて、娯楽を見つけようとしている。
Perhaps you should find him more challenging work?	できましたら、あなたはよりやりがいのある仕事を見つけてやるべきではないでしょうか？
Any of these factors may be involved.	以上の要素のいずれかがあてはまるのかもしれません。
All of them may be involved.	全部があてはまるのかもしれません。
In general, if the work is challenging, and is getting done, don't worry too much about the process.	一般に、もし仕事にやりがいがあり、うまくいっているなら、そのプロセスについて心配することはありません。
You might ask for your corporation to be given credit in the book.	ハッカーが書いた本にクレジットが与えられるようかけあってみては如何でしょう。
2.5: But my other workers are offended by my hacker's success, and it hurts their productivity.	2.5: しかしですね、うちの他の従業員はハッカーの成功に気分を損ねてますし、彼らの生産性を損なっているのですが。
Do you really need to have workers around who would rather be the person getting something done, than have it done already?	あなたは本当に、既に何かをやってしまった労働者より、現在うまくやっている労働者を求めているのですか？
Ego has very little place in the workplace.	エゴなんて職場で重視するものではないでしょう。
If they can't do it well, assign them to something they can do.	もし連中がうまくできてないのなら、連中ができる仕事を割り当てることです。
Section 3: Stimulus and response	3章: 鼓舞と反応
3.0: My hacker did something good, and I want to reward him.	3.0: うちのハッカーはよくやってますので、私としては彼に報酬を与えたいのですが。
Good!	素晴らしい！
Here are some of the things most hackers would like to receive in exchange for their work:	多くのハッカーが自分の仕事と引き換えに受けたいと思うものの幾つかを以下に挙げます。
Discounts on expensive toys.	高価なおもちゃの割引
These are not necessarily in order.	必ずしも順番通りではありません。
The 4th item (understanding) is the most difficult.	４番目の項目（理解）が最も難しいでしょう。
Try to remember this good thing your hacker just did the next time you discover he just spent a day playing x-trek.	次回あなたのとこのハッカーが x-trek をやって遊んでいるのを見かけたときに、ハッカーが成し遂げたいい仕事のことを思い出そうとしてください。
Rather than complaining about getting work done, write it off as "a perk" that was granted (informally) as a bonus for a job well done.	仕事にぐちをこぼすよりは、うまくいった仕事へのボーナスとして（非公式に）与えられる「臨時収入」とみなすことです。
Don't worry;	心配御無用！
hackers get bored quickly when they aren't doing their work.	ハッカーというものは仕事をやらなければすぐに退屈してしまうものですから。
3.1: My hacker did something bad, and I want to punish him.	3.1: うちのとこのハッカーは仕事が上手くいってないので、私としては彼に処罰を与えたいところです。
Don't.	それはいけません。
30 years of psychological research has shown that punishment has no desirable long-term effects.	３０年に渡る心理学の調査によると、処罰では長期的には望ましい効果がでません。
Your hacker is not a lab rat.	あなたのとこのハッカーは実験用ネズミではないのです
(Even if he were a lab rat, punishment wouldn't work;	（あまつさえ彼が実験用ネズミであるとしても、処罰ではうまくいかないでしょう。
at least, not if he were one of the sorts of lab rats the psych research was done on.)	少なくとも、心理調査が有効な実験用ネズミの類だったとしたら）。
If you don't like something your hacker is doing, express your concerns.	もしあなたがそのハッカーのすることが気に食わないなら、あなたの考えを伝えることです。
Explain what it is that bothers you about the behavior.	振る舞いについて、あなたを悩ませていることを説明するのです。
Be prepared for an argument;	議論のための準備をすることです。
your hacker is a rational entity, and presumably had reasons.	あなたのとこのハッカーは道理をわきまえた存在であって、理由があったのでしょうね。
Don't jump on him too quickly;	彼を余りにも性急にこっぴどくしからないことです。
they may turn out to be good reasons.	ちゃんとした理由があったことが分かるかもしれません。
Don't be afraid to apologize if you're wrong.	もしあなたの方が間違っていたら、素直に謝りましょう。
If your hacker admits to having been wrong, don't demand an apology;	もしあなたのとこのハッカーが非を認めても、謝罪を要求しないように。
so far as the hacker is concerned, admitting to being wrong is an apology, most likely.	ハッカーにおいては、非を認めることは、大抵において謝罪なのです。
3.2: I don't get it.	3.2: 私には理解できません。
I offered my hacker a significant promotion, and she turned it down and acted offended.	私はうちのハッカーに著しい昇進をオファーしたのですが、彼女はそれを拒絶し、まるで傷つけられたかのように振る舞ったのです。
A promotion frequently involves spending more time listening to people describing what they're doing, and less time playing with computers.	昇進により、他人の仕事の説明を聞くために費やす時間が増え、コンピュータと戯れる時間が減るということが往々にして起こります。
Your hacker is enjoying her work;	あなたのとこのハッカーは現在の仕事を楽しんでいるのです。
if you want to offer a reward, consider an improvement in title, a possible raise, and some compliments.	つまり、もしあなたが報酬を申し出るなら、肩書きにおける昇進、可能な給料の引き上げ、そしてちょっとした賛辞を考慮することです。
Make sure your hacker knows you are pleased with her accomplishments	あなたが彼女の業績に満足していることを確かに知らしめること、
-- that's what she's there for.	それこそが彼女が求めるものなのです。
3.3: My company policy won't let me give my hacker any more raises until he's in management.	3.3: 我が社の規定では、管理職になってもらわないとハッカーに昇給を認めるわけにはいかないのです。
Your company policy is broken.	貴社の規定はおかしいですよ。
A hacker can earn as much as $200 an hour (sometimes more) doing freelance consulting.	フリーランスのコンサルティングをやって、時給 200 ドル（時にはそれ以上）も稼げるハッカーもいます。
You may wish to offer your hacker a contracted permanent consulting position with benefits, or otherwise find loopholes.	あなたのとこのハッカーに、手当て付きの終身のコンサルティングの地位を申し出てもよいでしょうし、それができないのなら抜け道を探すことです。
Or, find perks to offer	さもなければ、何か役得を見つけてやることですね。
- many hackers will cheerfully accept a discount on hardware from their favorite manufacturer as an effective raise.	多くのハッカーは、彼らのお気に入りのメーカー製のハードウェアの割引を、印象的な昇給として喜んで受け入れるでしょう。
3.4: I can't believe the hacker on my staff is worth as much as we're paying.	3.4: 私にはうちのスタッフのハッカーに給料分の価値があるとは信じられないのです。
Ask the other staff in the department what the hacker does, and what they think of it.	その部署の他のスタッフに、そのハッカーがやっている仕事や、それについての感想を尋ねなさい。
The chances are that your hacker is spending a few hours a week answering arcane questions that would otherwise require an expensive external consultant.	恐らく、あなたのとこのハッカーは週に二三時間、他だったら高額な外部のコンサルタントが必要な、難解な質問に答えるのに費やしているのでしょう。
Your hacker may be fulfilling another job's worth of responsibilities in his spare time around the office.	あなたのとこのハッカーは、時間を切りつめて、オフィスまわりでもう一人分の仕事に値する職責を果たしているのかもしれません。
Very few hackers aren't worth what they're getting paid;	給料分の価値のないハッカーなどごく少数です。
they enjoy accomplishing difficult tasks, and improving worker efficiency.	彼らは困難な仕事を成し遂げることを楽しみ、労働者の効率を改善しているのです。
Section 4: What does that mean?	4章: それはどういう意味？
4.0: My hacker doesn't speak English.	4.0: うちのハッカーは英語を喋りません。
At least, I don't think so.	少なくとも、私にはそうでないように思えます。
Your hacker is a techie.	あなたのとこのハッカーは techie（技術オタク）なんです。
Your best bet is to pick up a copy of TNHD (The New Hacker's Dictionary).	TNHD（The New Hacker's Dictionary）のコピーをピックアップすれば間違いないでしょう。
If you have trouble understanding that reference, ask your hacker if she has a copy, or would be willing to explain her terms.	そうした参考文献を理解するのが困難なら、あなたのとこのハッカーに、コピーを持ってないかとか、もし良ければ用語を説明してくれないかなと尋ねてみましょう。
Most hackers are willing to explain terms.	殆どのハッカーは専門用語を説明するのをいとわないです。
Be ready for condescension;	恩着せがましい態度をとられるかもしれません。
it's not intended as an insult,	でもそれは彼女があなたを侮辱しようと思っているわけではないのです。
but if you don't know the words, she probably has to talk down to you at first to explain them.	あなたがその単語を知らなければ、彼女はまずそれを説明するためにレベルを落として話さなければならないのですから。
It's a reasonably difficult set of words;	当然ながらそれは難しい単語の集まりです。
there are a lot of them, and their usage is much more precise than it sounds.	なにしろ沢山ありますし、それらの単語の用法はぱっと聞いた印象よりずっとより厳密です。
Hackers love word games.	ハッカーは言語ゲームが好きなんです。
[It is also possible that English is not your hacker's native language, and that it's not yours either.	[英語があなたのとこのハッカーのネイティブな言語でないこともまたありえますし、あなた自身がそうでないかもしれません。
Feel free to substitute a more appropriate language.]	その場合は上記の説明の English を適当な言語に置き換えて読んで下さい。]
4.1: I can't get an estimate out of my hacker.	4.1: うちのハッカーは見積もりを出してくれません。
Your hacker hasn't figured out how hard the problem is yet.	あなたのとこのハッカーは、まだその問題の困難さの程度を解析しきれていません。
Unlike most workers, hackers will try very hard to refuse to give an estimate until they know for sure that they understand the problem.	大部分の労働者と違い、ハッカーは問題を確かに理解したと納得できるまで、見積もりを出すことに大きな抵抗を示すでしょう。
This may include solving it.	時には、理解しようとしている間に問題を解いてしまうことさえありえます。
No good engineer goes beyond 95% certainty.	優秀な技術者は、決して95%以上の確信を持ちません。
Most hackers are good engineers.	そして大抵のハッカーは優秀な技術者です。
If you say you will not try to hold him to the estimate (and mean it!) you are much more likely to get an approximate estimate.	もしあなたが、無理に見積もり通りにやらせたりはしないと言えば（しかも本気で！）、大抵の場合は、おおまかな見積もりを出してくれるんじゃないでしょうか。
The estimate may sound very high or very low;	この見積もりはえらく高く思えたり、あるいはえらく低く思えるかもしれません。
it may be very high or very low.	実際、その通りなのかもしれません。
Still, it's an estimate,	結局それは見積もりでしかないんですから。
and you get what you ask for.	でもそれがあなたの欲しかったものでしょ。
4.2: My hacker makes obscure, meaningless jokes.	4.2: うちのハッカーは、はっきりしない、意味のないジョークをかますのです。
If you feel brave, ask for an explanation.	もしあなたが勇敢なら、説明を求めてみては。
Most of them can be explained.	そうしたものの殆どは説明可能です。
It may take a while, but it may prove interesting.	しばらくかかるかもしれないが、おもしろさが分かるかもしれません。
4.3: My hacker counts from zero.	4.3: うちのハッカーは、数字を０から数え始めます。
So does the computer.	コンピュータがそうするからです。
You can hide it, but computers count from zero.	あなたならそれを避けることもできますが、コンピュータは０から数え始めます。
Most hackers do by habit, also.	大部分のハッカーもまた、くせになっているのです。
