THE MERMAID DEN LILLE HAVFRUE	人魚のひいさま
the fruit of which shone like gold, while the flowers glowed like fire on their ceaselessly waving stalks.	その木の実は金のようにかがやいて、花はほのおのようにもえながら、しじゅうじくや葉をゆらゆらさせていました。
The ground was of the finest sand, but it was of a blue phosphorescent tint.	海の底は、地面からしてもうこまかい砂でしたが、それは硫黄（ゆおう）の火のように青く光りました。
Everything was bathed in a wondrous blue light down there; you might more readily have supposed yourself to be high up in the air, with only the sky above and below you, than that you were at the bottom of the ocean.	そこでは、なにもかも、ふしぎな、青い光につつまれているので、それはふかい海の底にいるというよりも、なにか宙（ちゅう）に浮いていて、上にも下にも青空をみているようでした。
In a dead calm you could just catch a glimpse of the sun	海のないでいるときには、お日さまが仰げました。
like a purple flower with a stream of light radiating from its calyx.	それはむらさきの花のようで、そのうてなからながれだす光が、海の底いちめんひろがるようにおもわれました。
Each little princess had her own little plot of garden, where she could dig and plant just as she liked.	ひいさまたちは、めいめい、花園のなかに、ちいさい花壇（かだん）をもっていて、そこでは、すき自由に、掘りかえすことも植えかえることもできました。
One made her flower-bed in the shape of a whale;	ひとりのひいさまは、花壇を、くじらの形につくりました。
another thought it nice to have hers like a little mermaid;	するともうひとりは、じぶんのは、かわいい人魚に似せたほうがいいとおもいました。
but the youngest made hers quite round like the sun, and she would only have flowers of a rosy hue like its beams.	ところが、いちばん下のひいさまは、それをまんまるく、そっくりお日さまのかたちにこしらえて、お日さまとおなじようにまっ赤に光る花ばかりを咲かせました。
She was a curious child, quiet and thoughtful,	このひいさまはひとりちがって、ふしぎとものしずかな、かんがえぶかい子でした。
and while the other sisters decked out their gardens with all kinds of extraordinary objects which they got from wrecks, she would have nothing besides the rosy flowers like the sun up above, except a statue of a beautiful boy.	ほかのおねえさまたちが、難船した船からとって来ためずらしい品物をならべたててよろこんでいるとき、このひいさまだけは、うつくしい大理石の像をひとつとって来て、大空のお日さまの色に似た、ばら色の花の下に、それをおいただけでした。
It was hewn out of the purest white marble and had gone to the bottom from some wreck.	それはまっ白にすきとおる石をきざんだ、かわいらしい少年の像で、難破（なんぱ）して海の底にしずんだ船のなかにあったものでした。
By the statue she planted a rosy red weeping willow which grew splendidly,	この像のわきに、ひいさまは、ばら色したしだれやなぎを植えました。
and the fresh delicate branches hung round and over it, till they almost touched the blue sand	それがうつくしくそだって、そのみずみずしい枝が像をこして、むこうの赤い砂地の上までたれました。
where the shadows showed violet, and were ever moving like the branches.	そこに濃（こ）いむらさきの影ができて、枝といっしょにゆれました。
It looked as if the leaves and the roots were playfully interchanging kisses.	それはまるで、こずえのさきと根とがからみあって、たわむれているようにみえました。
Nothing gave her greater pleasure than to hear about the world of human beings up above;	このひいさまにとつて、海の上にある人間の世界の話をきくほど、おおきなよろこびはありません。
she made her old grandmother tell her all that she knew about ships and towns, people and animals.	おばあさまにせがむと、船のことや、町のことや、人間やけもののことや、知っていらっしゃることはなにもかも話してくださいました。
But above all it seemed strangely beautiful to her that up on the earth the flowers were scented, for they were not so at the bottom of the sea;	とりわけ、ひいさまにとってめずらしくおもわれたのは、海の底ではついないことなのに、地の上では、お花がにおっているということでした。
also that the woods were green, and that the fish which were to be seen among the branches could sing so loudly and sweetly that it was a delight to listen to them.	それと、森がみどり色していて、その森のこずえのなかに、おさかなが、高い、かわいらしい声で歌がうたえて、それがきくひとの耳をたのしくするということでした。
You see the grandmother called little birds fish,	その、おばあさまがおさかなとおっしゃったのは、小鳥のことでした。
or the mermaids would not have understood her, as they had never seen a bird.	だって、ひいさまたちは、小鳥というものをみたことがないのですもの、そういって話さなければわからないでしょう。
'When you are fifteen,'	「まあ、あなたたち、十五になったらね。」
said the grandmother,	と、おばあさまはいいました。
'you will be allowed to rise up from the sea	「そのときは、海の上へ浮かび出ていいおゆるしをあげますよ。
and sit on the rocks in the moonlight, and look at the big ships sailing by, and you will also see woods and towns.'	そうすれば、岩に腰をかけて、お月さまの光にひたることもできるし、大きな船のとおるところもみられるし、森や町だってみられるようになるよ。」
One of the sisters would be fifteen in the following year,	来年は、いちばん上のおねえさまが、十五になるわけでした。
but the others,--well, they were each one year younger than the other, so that the youngest had five whole years to wait before she would be allowed to come up from the bottom, to see what things were like on earth.	でも、ほかのおねえさまたちは――そう、めいめい、一年ずつ年がちがっていましたから、いちばん下のひいさまが、海の底からあがっていって、わたしたちの世界のようすをみることになるまでには、まる五年も待たなければなりません。
But each one promised the others to give a full account of all that she had seen, and found most wonderful on the first day.	でも、ひとりがいけば、ほかのひとたちに、はじめていった日みたこと、そのなかでいちばんうつくしいとおもったことを、かえって来て話す約束ができました。
Their grandmother could never tell them enough, for there were so many things about which they wanted information.	なぜなら、おばあさまのお話だけでは、どうも物たりなくて、ひいさまたちの知りたいとおもうことが、だんだんおおくなって来ましたからね。
None of them was so full of longings as the youngest, the very one who had the longest time to wait, and who was so quiet and dreamy.	そのなかでも、いちばん下のひいさまは、あいにく、いちばんながく待たなくてはならないし、ものしずかな、かんがえぶかい子でしたから、それだけたれよりもふかくこのことをおもいつづけました。
Many a night she stood by the open windows and looked up through the dark blue water which the fish were lashing with their tails and fins.	いく晩もいく晩も、ひいさまは、あいている窓ぎわに、じっと立ったまま、くらいあい色した水のなかで、おさかながひれやしっぽをうごかして、およぎまわっているのをすかしてみていました。
She could see the moon and the stars, it is true;	お月さまと星もみえました。
their light was pale, but they looked much bigger through the water than they do to our eyes.	それはごくよわく光っているだけでしたが、でも水をすかしてみるので、おかでわたしたちの目にみえるよりは、ずっと大きくみえました。
When she saw a dark shadow glide between her and them,	ときおり、なにかまっ黒な影のようなものが、光をさえぎりました。
she knew that it was either a whale swimming above her, or else a ship laden with human beings.	それが、くじらがあたまの上をおよいでとおるのか、またはおおぜい人をのせた船の影だということは、ひいさまにもわかっていました。
I am certain they never dreamt that a lovely little mermaid was standing down below, stretching up her white hands towards the keel.	この船の人たちも、はるか海の底に人魚のひいさまがいて、その白い手を、船のほうへさしのべていようとは、さすがにおもいもつかなかったでしょう。
The eldest princess had now reached her fifteenth birthday,	さて、いちばん上のひいさまも、十五になりました。
and was to venture above the water.	いよいよ、海の上に出られることになりました。
When she came back she had hundreds of things to tell them, but the most delightful of all, she said, was to lie in the moonlight, on a sandbank in a calm sea, and to gaze at the large town close to the shore,	このおねえさまがかえって来ると、山ほどもおみやげの話がありましたが、でも、なかでいちばんよかったのは、波のしずかな遠浅（とおあさ）の海に横になりながら、すぐそばの海ぞいの大きな町をみていたことであったといいます。
where the lights twinkled like hundreds of stars; to listen to music and the noise and bustle of carriages and people,	そこでは、町のあかりが、なん百とない星の光のようにかがやいていましたし、音楽もきこえるし、車や人の通るとよめきも耳にはいりました。
to see the many church towers and spires, and to hear the bells ringing;	お寺のまるい塔と、とがった塔のならんでいるのが見えたし、そこから、鐘の音もきこえて来ました。
and just because she could not go on shore she longed for that most of all.	でも、そこへ上がっていくことはできませんから、ただなにくれと、そういうものへのあこがれで、胸をいっぱいにしてかえって来たということでした。
Oh, how eagerly the youngest sister listened!	まあ、いちばん下のひいさまは、この話をどんなに夢中できいたことでしょう。
and when, later in the evening she stood at the open window and looked up through the dark blue water, she thought of the big town with all its noise and bustle,	それからというもの、あいた窓ぎわに立って、くらい色の水をすかして上を仰ぐたんびに、このひいさまは、いろいろの物音ととよめきのする、その大きな町のことをかんがえました。
and fancied that she could even hear the church bells ringing.	するうち、そこのお寺の鐘の音が、つい海の底までも、ひびいてくるようにおもいました。
The year after, the second sister was allowed to mount up through the water and swim about wherever she liked.	そのあくる年、二ばんめのおねえさまが、海の上へあがって行って、好きな所へおよいでいっていい、おゆるしがでました。
The sun was just going down when she reached the surface, the most beautiful sight, she thought, that she had ever seen.	このあねえさまが、浮き上がると、そのときちょうどお日さまが沈みましたが、これこそいちばんうつくしいとおもったものでした。
The whole sky had looked like gold, she said, and as for the clouds! well, their beauty was beyond description;	大空がいちめん金をちらしたようにみえて、その光をうつした雲のきれいだったこと、とてもそれを書きあらわすことばはないといいました。
they floated in red and violet splendour over her head, and, far faster than they went,	くれないに、またむらさきに、それがあたまの上をすうすう通ってながれていきました。
a flock of wild swans flew like a long white veil over the water towards the setting sun;	けれども、その雲よりももっとはやく、野のはくちょう［＃「はくちょう」は底本では「はくちょう」］のむれが、それはながい、白いうすものが空にただようように、しずんで行く夕日を追って、波の上をとんでいきました。
she swam towards it, but it sank and all the rosy light on clouds and water faded away.	このおねえさまも、これについてまけずにおよいでいきましたが、そのうち、お日さまはまったくしずんで、ばら色の光は、海の上からも、雲の上からも消えていきました。
The year after that the third sister went up,	また次の年には、三ばんめのおねえさまが上がっていきました。
and, being much the most venturesome of them all, swam up a broad river which ran into the sea.	このおねえさまは、たれよりもむこうみずな子でしたから、大きな川が海にながれだしている、そこの川口をさかのぼっておよいでいってみました。
She saw beautiful green, vine-clad hills;	そこにはぶどうのつるにおおわれたうつくしいみどりの丘がみえました。
palaces and country seats peeping through splendid woods.	むかしのお城や荘園（しょうえん）が、みごとに茂った森のなかからちらちらしていました。
She heard the birds singing,	いろんな鳥のうたいかわす声も聞きました。
and the sun was so hot that she was often obliged to dive, to cool her burning face.	するうちお日さまが、照りつけて来たので、ほてった顔をひやすために、たびたび水にもぐらなくてはなりませんでした。
In a tiny bay she found a troop of little children	水がよどんでちいさな入江になった所で、かわいい人間のこどもたちのかたまって、あそんでいるのに出あいました。
running about naked and paddling in the water;	まるはだかで、かけまわって、ぼちゃぼちゃ水をはねかしました。
she wanted to play with them, but they were frightened and ran away.	いっしょにあそぼうとすると、みんなおどろいて逃げていってしまいました。
Then a little black animal came up;	するとそこへ、ちいさな、まっ黒な動物がでて来ました。
it was a dog, but she had never seen one before; it barked so furiously at her that she was frightened and made for the open sea.	これは犬でしたが、犬なんて、みたことはなかったし、いきなり、はげしくほえかかって来たので、こわくなって、またひろい海へおよいでもどりました。
She could never forget the beautiful woods, the green hills and the lovely children who could swim in the water although they had no fishes' tails.	でも、あのうつくしい森もみどりの丘も、それから、おさかなのしっぽももっていないくせに、水におよげるかわいらしいこどもたちのことをも、このひいさまは、いつまでもわすれることができませんでした。
The fourth sister was not so brave; she stayed in the remotest part of the ocean, and, according to her account, that was the most beautiful spot.	さて、四ばんめのおねえさまは、それほどむこうみずではありませんでしたから、そこで、ひろい大海のまんなかに居ずくまったままでしたが、でもそこがどこよりもいちばんうつくしかったと話しました。
You could see for miles and miles around you, and the sky above was lifke a great glass dome.	もうぐるりいちめん、なんマイルと先の知れないとおくまで見はらせて、あたまの上の青空は、とほうもなく大きなガラス鐘のようなものでした。
She had seen ships,	船というものもみました。
but only far away, so that they looked like sea-gulls.	でも、それはただ遠くにはなれていて、まるでかもめのようにみえていました。
There were grotesque dolphins turning somersaults, and gigantic whales squirting water through their nostrils like hundreds of fountains on every side.	それからおどけもののいるかが、とんぼがえりしたり、大きなくじらが鼻のあなから、しおをふきだして、そのへんいちめんに、なん百とない噴水がふきだしたようでした。
Now the fifth sister's turn came.	こんどは、五ばんめのおねえさまの番になりました。
Her birthday fell in the winter, so that she saw sights that the others had not seen on their first trips.	このひいさまは、おたん生日が、ちょうど冬のあいだでしたので、ほかのおねえさまたちのみなかったものをみました。
The sea looked quite green, and large icebergs were floating about,	海はふかいみどり色をたたえて、その上に、氷の山がまわりをとりまいて浮いていました。
each one of which looked like a pearl, she said, but was much bigger than the church towers built by men.	そのひとつびとつが白く光って、まるで真珠（しんじゅ）の山のようでしたが、それも人間の建てたお寺の塔よりもずっと高いものだつたといいました。
They took the most wonderful shapes, and sparkled like diamonds.	それがまたきみょうともふしぎともいいようのないかたちをして、どれもダイヤモンドのようにちかちか［＃「ちかちか」は底本では「ちかちが」］かがやいていました。
She had seated herself on one of the largest, and all the passing ships sheered off in alarm when they saw her sitting there with her long hair streaming loose in the wind.	このおねえさまは、そのなかのいちばん大きい山に腰をかけて、そのながい髪の毛を風のなぶるままにさせていますと、そのまわりに寄って来た帆船（ほぶね）の船頭は、みんなおどろいて、船をかえしました。
In the evening the sky became overcast with dark clouds; it thundered and lightened, and the huge icebergs glittering in the bright lightning, were lifted high into the air by the black waves.	でも、夕方になると空は雲でつつまれて、かみなりが鳴ったり、いなづまが走ったり、まっ黒な波が大きな氷の山を高くつき上げて、いなづまのつよい光にあてました。
All the ships shortened sail, and there was fear and trembling on every side,	のこらずの船が帆をおろして、そこには、おそれとおののきとがたかまっていました。
but she sat quietly on her floating iceberg watching the blue lightning flash in zigzags down on to the shining sea.	けれども、人魚のむすめは、へいきで、ちかちか光る氷の山の上に腰をのせたまま、かがやく海の上に、いなづま形に射かける稲光（いなびかり）の青い色をながめていました。
The first time any of the sisters rose above the water she was delighted by the novelties and beauties she saw;	さて、こうして、おねえさまたちは、めいめいに、はじめて海の上へ浮かんで出てみた当座（とうざ）こそ、まのあたりみた、めずらしいもの、うつくしいものに心をうばわれました。
but once grown up, and at liberty to go where she liked, she became indifferent and longed for her home;	けれども、いまは一人まえのむすめになって、いつどこへでも好きかってにいかれるとなると、もうそれも心をひかなくなりました。
in the course of a month or so they all said that after all their own home in the deep was best, it was so cosy there.	またうちがこいしくなって来て、やがて、ひと月もすると、やはり海の底ほどけしきのいい所はどこにもないし、うちほどけっこうな住居（すまい）はないわ、といいあうようになりました。
Many an evening the five sisters interlacing their arms would rise above the water together.	もういく晩も、夕方になると、五人のおねえさまたちは、おたがい手を組んで、つながって、水の上へあがっていきました。
They had lovely voices, much clearer than any mortal,	みんな、どんな人間もおよばないうつくしい声をもっていました。
and when a storm was rising, and they expected ships to be wrecked, they would sing in the most seductive strains of the wonders of the deep, bidding the seafarers have no fear of them.	あらしが来かけると、やがて船はしずむほかないことが分かっていますから、みんなして船のそばへおよいでいって、やさしい歌をうたってやりました。
But the sailors could not understand the words,	でも、そのことばは、人間には分かりません。
they thought it was the voice of the storm;	それをやはりあらしの音だとおもっていました。
nor could it be theirs to see this Elysium of the deep,	それにまた、しずんでいくひとたちが、しずみながら海の底をみるなんて、そんなうまいわけにはいかないのです。
for when the ship sank they were drowned,	なぜなら、船がしずむと、それなり船人はおぼれてしまいます。
and only reached the Merman's palace in death.	そうして、しかばねになって、人魚の王さまの御殿へはこばれてくるのですもの。
When the elder sisters rose up in this manner, arm-in-arm, in the evening, the youngest remained behind quite alone,	きょうだいたちが、こうして手をつないで、夕方、水の上へあがっていくとき、いちばん下のひいさまだけは、いつもひとりぼっちあとにのこっていました。
looking after them as if she must weep;	そうしてみんなのあとをみおくっていると、なんだか泣かずにいられない気持になりました。
but mermaids have no tears,	けれども［＃「けれども」は底本では「けれとも」］、海おとめには、涙というものがないのです。
and so they suffer all the more.	そのため、よけい、せつないおもいをしました。
'Oh! if I were only fifteen!'	「ああ、あたし、どうかしてはやく十五になりたいあ。」
she said,	と、このひいさまはいいました。
'I know	「あたしにはわかっている。
how fond I shall be of the world above, and of the mortals who dwell there.'	あの上の世界でも、そこにうちをつくって住んでいる人間でも、あたしきっと好きになれるでしょう。」
At last her fifteenth birthday came.	するうち、とうとう、ひいさまも十五になりました。
'Now we shall have you off our hands,'	「さあ、いよいよ、あなたも、わたしの手をはなれるのだよ。」
said her grandmother, the old queen-dowager.	と、ごいんきょのおばあさまがおっしゃいました。
'Come now, let me adorn you like your other sisters!'	「では、いらっしゃい、おねえさまたちとおなじように、あなたにもおつくりをしてあげるから。」
and she put a wreath of white lilies round her hair,	こういって、おばあさまは、白ゆりの花かんむりを、ひいさまの髪にかけました。
but every petal of the flowers was half a pearl;	でも、その花びらというのが、一枚一枚、真珠（しんじゅ）を半分にしたものでした。
then the old queen had eight oysters fixed on to the princess's tail to show her high rank.	それからまだおばあさまは、八つまで、大きなかきを、ひいさまのしっぽにすいつかせて、それを高貴（こうき）な身分のしるしにしました。
'But it hurts so!'	「そんなことをおさせになって、あたし、いたいわ。」
said the little mermaid.	と、ひいさまはいいました。
'You must endure the pain for the sake of the finery!'	「身分だけにかざるのです。
said her grandmother.	と、おばあさまは、おっしゃいました。
But oh! how gladly would she have shaken off all this splendour,	ああ、こんなかざりものなんか、どんなにふり捨てたかったでしょう。
and laid aside the heavy wreath.	おもたい花かんむりなんか、どんなにほうりだしたかったでしょう、
Her red flowers in her garden suited her much better,	ひいさまは、花壇に咲いている赤い花のほうが、はるかよく似合うことはわかっていました。
but she did not dare to make any alteration.	でも、いまさら、それをどうすることもてきません。
'Good-bye,'	「いってまいります。」
she said, and mounted as lightly and airily as a bubble through the water.	と、ひいさまはいって、それはかるく、ふんわりと、まるであわのように、水の上へのぼっていきました。
The sun had just set when her head rose above the water,	ひいさまが、海の上にはじめて顔をだしたとき、ちょうどお日さまはしずんだところでした。
but the clouds were still lighted up with a rosy and golden splendour,	でもどの雲もまだ、ばら色にも金色にもかがやいていました。
and the evening star sparkled in the soft pink sky,	そうして、ほの赤い空に、よいの明星（みょうじょう）が、それはうつくしくきらきら光っていました。
the air was mild and fresh, and the sea as calm as a millpond.	空気はなごやかに澄んでいて、海はすっかりないでいました。
A big three-masted ship lay close by with only a single sail set,	そこに三本マストの大きな船が横たわっていました。
for there was not a breath of wind, and the sailors were sitting about the rigging, on the cross-trees, and at the mast-heads.	そよとも風がないので、一本だけに帆が上げてあって、それをとりまいて、水夫たちが、帆綱（ほづな）や帆げたに腰をおろしていました。
There was music and singing on board,	そのうち、音楽と唱歌の声がして来ました。
and as the evening closed in hundreds of gaily coloured lanterns were lighted--they looked like the flags of all nations waving in the air.	やがて夕やみがせまってくると、なん百とない色がわりのランプに火がともって、それは各国の国旗が、風になびいているように見えました。
The little mermaid swam right up to the cabin windows,	人魚のひいさまは、その船室の窓の所までずんずんおよいでいきました。
and every time she was lifted by the swell she could see through the transparent panes crowds of gaily dressed people.	波にゆり上げられるたんびに、ひいさまは、水晶のようにすきとおった窓ガラスをすかして、なかをのぞくことができました。
The handsomest of them all was the young prince with large dark eyes;	そこには、おおぜい、晴着（はれぎ）を着かざった人がいました、でも、そのなかで目立ってひとりうつくしいのは、大きな黒目をしたわかい王子でした。
he could not be much more than sixteen,	王子はまだ満十六歳より上にはなっていません。
and all these festivities were in honour of his birthday.	ちょうどきょうがおたん生日で、このとおりさかんなお祝をしているしだいでした。
The sailors danced on deck,	水夫たちは、甲板でおどっていました。
and when the prince appeared among them hundreds of rockets were let off making it as light as day, and frightening the little mermaid so much that she had to dive under the water.	そこへ、わかい王子がでてくると、なん百とない花火が打ち上げられて、これがひるまのようにかがやいたので、ひいさまはびっくりして、いったん水のなかにしずみました。
She soon ventured up again, and it was just as if all the stars of heaven were falling in showers round about her.	けれどまたすぐ首をだすと、もうまるで大空の星が、いちどにおちかかってくるようにおもわれました。
She had never seen such magic fires.	こんな花火なんというものを、まだみたことはありませんでした。
Great suns whirled round,	大きなお日さまがいくつもいくつも、しゅうしゅういいながらまわりました。
gorgeous fire-fish hung in the blue air,	すばらしくきれいな火魚が青い中空（なかそら）にはね上がりました。
and all was reflected in the calm and glassy sea.	そうして、それがみんな鏡のようにたいらな海の上にうつりました。
It was so light on board the ship that every little rope could be seen, and the people still better.	それよりか船の上はとてもあかるくて、甲板の上の帆綱（ほづな）が、ごくほそいのまで一本一本わかるくらいだ、とみんなはいっていました。
Oh, how handsome the prince was!	でも、まあ、わかい王子のほんとうにりっぱなこと。
how he laughed and smiled as he greeted his guests,	王子はたれとも握手（あくしゅ）をかわして、にぎやかに、またにこやかにわらっていました。
while the music rang out in the quiet night.	そのあいだも、音楽は、この晴れがましい夜室にひびきつづけました。
It got quite late,	夜がふけていきました。
but the little mermaid could not take her eyes off the ship and the beautiful prince.	それでも、人魚のひいさまは、船からも、そこのうつくしい王子からも、目をはなそうとはしませんでした。
The coloured lanterns were put out, no more rockets were sent up,	色ランプは、とうに消され、花火ももう上がらなくなりました。
and the cannon had ceased its thunder,	祝砲もとどろかなくなりました。
but deep down in the sea there was a dull murmuring and moaning sound.	ただ、海の底で、ぶつぶつごそごそ、ささやくような音がしていました。
Meanwhile she was rocked up and down on the waves, so that she could look into the cabin;	ひいさまは、やはり水の上にのっかって、上に下にゆられながら、船室のなかをのぞこうとしていました。
but the ship got more and more way on, sail after sail was filled by the wind,	でも、船はだんだんはやくなり、帆は一枚一枚はられました。
the waves grew stronger, great clouds gathered,	するうち、波が高くなって来て、大きな黒雲がわきだしました。
and it lightened in the distance.	遠くでいなづまが、光りはじめました。
Oh, there was going to be a fearful storm!	やれやれ、おそろしいあらしになりそうです。
and soon the sailors had to shorten sail.	それで水夫たちはおどろいて、帆をまき上げました。
The great ship rocked and rolled as she dashed over the angry sea,	大きな船は、荒れる海の上をゆられゆられ、とぶように走りました。
the black waves rose like mountains, high enough to overwhelm her,	うしおが大きな黒山のようにたかくなって、マストの上にのしかかろうとしました。
but she dived like a swan through them and rose again and again on their towering crests.	けれど、船は高い波と波のあいだを、はくちょう［＃「はくちょう」は底本では「はくちょう」］のようにふかくくぐるかとおもうと、またもりあがる高潮の上につき上げられてでて来ました。
The little mermaid thought it a most amusing race, but not so the sailors.	これは海おとめの身にすると、なかなかおもしろい見ものでしたが、船の人たちはどうしてそれどころではありません。
The ship creaked and groaned;	船はぎいぎいがたがた鳴りました。
the mighty timbers bulged and bent under the heavy blows;	さしもがんじょうな船板も、ひどく横腹を当てられて曲りました。
the water broke over the decks, snapping the main mast like a reed;	マストはまんなかからぽっきりと、まるであしかなんぞのようにもろく折れました。
she heeled over on her side, and the water rushed into the hold.	船は横たおしになって、うしおがどどっと、所かまわず船にながれ込みました。
Now the little mermaid saw that they were in danger,	ここではじめて、人魚のひいさまも、船の人たちの身の上のあぶないことが分かりました。
and she had for her own sake to beware of the floating beams and wreckage.	そればかりかじぶんも、水の上におしながされた船のはりや板きれにぶつからない用心しなければなりませんでした。
One moment it was so pitch dark that she could not see at all,	ふと一時、すみをながしたようなやみ夜になって、まるでものがみえなくなりました。
but when the lightning flashed it became so light that she could see all on board.	するうち、いなびかりがしはじめるとまたあかるくなって、船の上のようすが手にとるようにわかりました。
Every man was looking out for his own safety as best he could;	みんなどうにかして助かろうとしてあがいていました。
but she more particularly followed the young prince with her eyes, and when the ship went down she saw him sink in the deep sea.	わかい王子のすがたを、ひいさまはさがしもとめて、それがちらりと目にはいったとたん、船がふたつにわれて、王子も海のそこふかくしずんでいきました。
At first she was quite delighted, for now he was coming to be with her,	はじめのうち、ひいさまはこれで王子がじぶんの所へ来てくれるとおもって、すっかりたのしくなりました。
but then she remembered that human beings could not live under water,	でも、すぐと、水のなかでは、人間が生きていけないことをおもいだしました。
and that only if he were dead could he go to her father's palace.	そうすると、この王子も死んで、おとうさまの御殿にいきつくほかはないとおもいました。
No! he must not die;	まあ、この人を死なせるなんて、とんでもないことです。
so she swam towards him all among the drifting beams and planks, quite forgetting that they might crush her.	そこで、波のうえにただようはりや板きれをかきわけかきわけ、万一、ぶつかってつぶされることなぞわすれて、夢中でおよいでいきました。
She dived deep down under the water, and came up again through the waves, and at last reached the young prince just as he was becoming unable to swim any further in the stormy sea.	で、いったん水のそこふかくしずんで、またたかく波のあいだに浮きあがったりして、やっと、わかい王子の所までおよいでいけましたが、王子は、もうとうに荒れくるう海のなかで、およぐ力がなくなっていて、
His limbs were numbed, his beautiful eyes were closing,	うつくしい目もとじていました。
and he must have died if the little mermaid had not come to the rescue.	人魚のひいさまが、そこへ来てくれなかったら、それなり死ぬところだったでしょう。
She held his head above the water and let the waves drive them whithersoever they would.	ひいさまは、王子のあたまを水の上にたかくささげて、あとは、波が、じぶんと王子とを、好きな所へはこぶままにまかせました。
By daybreak all the storm was over,	そのあけがた、ひどいあらしもやみました。
of the ship not a trace was to be seen;	船のものは、木（こ）ッぱひときれのこってはいませんでした。
the sun rose from the water in radiant brilliance, and his rosy beams seemed to cast a glow of life into the prince's cheeks,	お日さまが、まっかにかがやきながら、たかだかと海のうえにおのぼりになりますと、それといっしょに、王子のほおにもさっと血の気がさしてきたようにおもわれました。
