THE ADVENTURE OF THE EMPTY HOUSE	空家の冒険
There was none, however, which appealed to me like this tragedy of Ronald Adair.	ともあれ、―― このロナルド・アデイアの事件だけは、私にとっては全く何物にも比較されない、大悲劇であった。
As I read the evidence at the inquest, which led up to a verdict of willful murder against some person or persons unknown, I realized more clearly than I had ever done the loss which the community had sustained by the death of Sherlock Holmes.	私は予審調書を読んで、この事件は何者かあるいは、数人の謀殺であると知った時は、シャーロック・ホームズの死は、社会にとってはどんなに大きな損失であるかと云うことを、以前にもましてしみじみと痛感させられたのであった。
There were points about this strange business	私はこの事件にこそ、彼の敏腕に俟（ま）つものが、多々あると確信した。
which would, I was sure, have specially appealed to him, and the efforts of the police would have been supplemented, or more probably anticipated, by the trained observation and the alert mind of the first criminal agent in Europe.	大に警察の探査を補助し得たことはもちろん、更にあるいは、この欧羅巴（ヨーロッパ）最初の犯罪取扱業者の、精錬された観察と、周到な活動は、警察力以上もの偉力を発揮したかもしれなかった。
All day, as I drove upon my round, I turned over the case in my mind and found no explanation which appeared to me to be adequate.	私はこの事件に、一日一ぱい心身を傾倒して考えてみたが、しかし結局、何等の首肯される解釈も、発見することは出来なかった。
At the risk of telling a twice-told tale, I will recapitulate the facts as they were known to the public at the conclusion of the inquest.	このもう旧聞である、物語を繰返すことは、あるいは興味索然とするかもしれないがしかし審理の結果得られた事実を基（もとい）として、ここに概括してみようと思うのである。
The Honourable Ronald Adair was the second son of the Earl of Maynooth, at that time governor of one of the Australian colonies.	ロナルド・アデイアは、当時濠洲殖民地の、一知事であった、メイノース伯爵の次男であった。
Adair's mother had returned from Australia to undergo the operation for cataract, and she, her son Ronald, and her daughter Hilda were living together at 427 Park Lane.	そしてアデイアの母は、白内障（そこひ）の手術を受けるために帰国して、息子のロナルドと、娘のヒルダと一緒に、レーヌ公園の第四百二十七番に住んでいた。
The youth moved in the best society--had, so far as was known, no enemies and no particular vices.	この青年ロナルド・アデイアは、貴族階級の中に往来し、見受けるところ、別に敵と云うようなものもなく、また取り立てて、不徳義であると云ったようなこともないようであった。
He had been engaged to Miss Edith Woodley, of Carstairs, but the engagement had been broken off by mutual consent some months before, and there was no sign that it had left any very profound feeling behind it.	彼はカーステイアスの、エディス・ウードレー嬢と婚約の間柄であったのを、つい数ヶ月前に破棄となったのであったが、しかしこれも両方の和解の上にやったことであって、別に深い意趣をのこしたと思われるようなことも無いことであった。
For the rest {sic} the man's life moved in a narrow and conventional circle,	その他彼の私生活を見れば、それはごく狭い通俗な範囲であった。
for his habits were quiet and his nature unemotional.	この青年は元来、性格もごく静かで、決して激情的な若者ではなかった。
Yet it was upon this easy-going young aristocrat that death came, in most strange and unexpected form,	こうしたごく平凡な無難な生活をしている貴族の青年に、全く突然に、奇怪極まる死が襲いかかったと云うのであるから、全く不可思議千万であったのである。
between the hours of ten and eleven-twenty on the night of March 30, 1894.	この不可解な兇行は、一八九四年三月三十日の夜の、十時から十一時二十分までの間に行われたのであった。
Ronald Adair was fond of cards--playing continually, but never for such stakes as would hurt him.	ロナルド・アデイアは元来、骨牌（かるた）は好きでよくやっていたが、しかしと云っても、その賭け事のために、身の破滅を招くと云うほどのこととも思われなかった。
He was a member of the Baldwin, the Cavendish, and the Bagatelle card clubs.	彼はボールドウィン、キャバンディッシュ、バカテルと云う骨牌倶楽部（かるたくらぶ）の会員であったが、
It was shown that, after dinner on the day of his death, he had played a rubber of whist at the latter club.	彼は惨殺される当日は、昼食後バカテル倶楽部で、ホイストの勝負をやっていたと云うことがわかっている。
He had also played there in the afternoon.	そして引き続き午後一ぱいは、このバカテル倶楽部で過したのであった。
The evidence of those who had played with him-- Mr. Murray, Sir John Hardy, and Colonel Moran--showed that the game was whist, and that there was a fairly equal fall of the cards.	そして当日の相手としては、マーレー氏ジョン・ハーディ氏、モラン大佐で、賭け事は一貫してホイストで、勝負は実によく伯仲したと云うことも明瞭になっている。
Adair might have lost five pounds, but not more.	それでも結局はアデイアは五磅（ポンド）くらいは敗（ま）けになったろうか、――
His fortune was a considerable one, and such a loss could not in any way affect him.	しかし彼は元来相当の財産を持っていたので、こんな敗けくらいは彼にとっては何でもないことであった。
He had played nearly every day at one club or other, but he was a cautious player, and usually rose a winner.	大体彼はほとんど毎日のように、どこかの倶楽部で骨牌で敗けているのであったが、しかしなかなか上手なので、常に勝ち越しとなるのであった。
It came out in evidence that, in partnership with Colonel Moran, he had actually won as much as four hundred and twenty pounds in a sitting, some weeks before, from Godfrey Milner and Lord Balmoral.	それからまた数週間前に、彼はモラン大佐と組になって、コドフレー・ミルナー氏と、バルモーラル卿から、一開帳（ワンシッテング）に四百二十磅（ポンド）も勝ったこともあったのであった。
So much for his recent history as it came out at the inquest.	これだけが審理に現われた、彼の死ぬ前の情況である。
On the evening of the crime, he returned from the club exactly at ten.	兇行の行われた当夜は、彼はきっかり十時に倶楽部から帰宅した。
His mother and sister were out spending the evening with a relation.	母と妹は、親戚の者と一夕の交際（つきあい）のために、外出して居なかった。
The servant deposed that she heard him enter the front room on the second floor, generally used as his sitting-room.	女中の陳述に因れば、女中は彼が、彼の日常の居室になっている、表二階の室に入る気配を聞いたのであった。
She had lit a fire there, and as it smoked she had opened the window.	そしてしかもその表二階の室は、女中は前もって火を入れ、煙（けぶ）ったので窓を開けておいたのであったと。
No sound was heard from the room until eleven-twenty, the hour of the return of Lady Maynooth and her daughter.	それから十一時二十分まで、――すなわちメイノース夫人と娘が帰って来るまでは、全く何の音もしなかったのであった。
Desiring to say good-night, she attempted to enter her son's room.	アデイアの母は、「お寝（やす）み」を云おうと思って、息子の室に入ろうとすると、
The door was locked on the inside, and no answer could be got to their cries and knocking.	どうしたことか扉（ドア）には鍵がかかっており、それから驚いて激しくノックしたり、叫んだりしても、更に返事さえも無いのであった。
Help was obtained, and the door forced.	それから助力を借りて、扉（ドア）を無理に押し開いてみると、果然！
The unfortunate young man was found lying near the table.	この不幸な青年は、テーブルの近くに斃れているのであった。
His head had been horribly mutilated by an expanding revolver bullet, but no weapon of any sort was to be found in the room.	彼の頭は連発式拳銃の、拡大した弾丸で、見るも無惨に打ち砕かれているが、しかし兇器と云うべきものは、室の中に一物も遺留されてはいなかった。
On the table lay two banknotes for ten pounds each and seventeen pounds ten in silver and gold, the money arranged in little piles of varying amount.	そしてテーブルの上には、十磅（ポンド）の紙幣二枚と、金銀貨併せて十七磅（ポンド）十志（シルリング）の金が、それぞれ違った額に整頓されて、小さな堆（やま）に積まれてある。
There were some figures also upon a sheet of paper, with the names of some club friends opposite to them, from which it was conjectured that before his death he was endeavouring to make out his losses or winnings at cards.	それから紙片の上には、数字と倶楽部の名と友人の名を封書したものがあったが、これから推測してみると、彼は死の直前までは、骨牌の損益を計算していたに相違ないと思われるのであった。
A minute examination of the circumstances served only to make the case more complex.	これだけをちょっと見ただけでは、ただますます事態が不可解になるばかりであった。
In the first place, no reason could be given why the young man should have fastened the door upon the inside.	まず第一に、何のためにこの青年が、内側から扉（ドア）に鍵をかけたのかと云うことが、はなはだ解釈に苦しむ疑問である。
There was the possibility that the murderer had done this, and had afterwards escaped by the window.	もっとも犯人が兇行後、鍵を下して窓から遁（に）げ去ると云うことは、考えられることではあるが、
The drop was at least twenty feet, however, and a bed of crocuses in full bloom lay beneath.	しかし窓の高さは少なくとも二十呎（フィート）はあったし、かつその下には、蕃紅花（さふらん）の花床があって爛漫と咲き埋（うず）まっているのであったが、
Neither the flowers nor the earth showed any sign of having been disturbed, nor were there any marks upon the narrow strip of grass which separated the house from the road.	その花床にも、また地面にも、また家屋から道路までの間の狭い芝生にも、踏みしだかれたような形跡は全く認められなかったのであった。
Apparently, therefore, it was the young man himself who had fastened the door.	したがって扉（ドア）に鍵をかけたのは、青年自身に相違ないと云うことになるが、
But how did he come by his death?	しからばその死因はどこにあるのであろう？
No one could have climbed up to the window without leaving traces.	全然足跡をのこさずに、窓に這い上ると云うことは、人間にとっては全く不可能なことである。
Suppose a man had fired through the window, he would indeed be a remarkable shot who could with a revolver inflict so deadly a wound.	またあるいは窓の外から射撃したものとしてみれば、たかが拳銃くらいでこんな致命傷を負わせると云うことは、あまりに驚異すべきことと云ってよかろう。
Again, Park Lane is a frequented thoroughfare;	なお更にこのレーヌ公園と云うのは、大変人通りのある処である上に、
there is a cab stand within a hundred yards of the house.	更にその家から百碼（ヤード）もないくらいの処に、車の立場（たてば）もあるのであった。
No one had heard a shot.	しかし射撃の音響をきいたと云うものは一人もなかったのに、
And yet there was the dead man and there the revolver bullet,	たしかに死体が横たわっており、かつ連発式拳銃の弾丸がこぼれているのである。
which had mushroomed out, as soft-nosed bullets will, and so inflicted a wound which must have caused instantaneous death.	その弾丸と云うのは、先端の柔かな弾丸のように、茸のように張れ上った、明かに即死を思わしめる致命傷を与えたものに相違ないと思われるものであった。
Such were the circumstances of the Park Lane Mystery, which were further complicated by entire absence of motive, since, as I have said, young Adair was not known to have any enemy, and no attempt had been made to remove the money or valuables in the room.	これだけが、レーヌ公園の魔の事件の全部であったが、何しろアデイア青年にしては、惨殺を受けるような敵などがあるようにも思われないものであり、また室内の金や貴重品と云ったようなものにも、全然手を触れられた形跡もないので、事件は全く謎から謎へと、皆目見当がつかなくなるのであった。
All day I turned these facts over in my mind, endeavouring to hit upon some theory which could reconcile them all, and to find that line of least resistance which my poor friend had declared to be the starting-point of every investigation.	私は文字通り終日、この事件に対して、あらゆる智慧を絞って考えて、大体において辻褄の合う、一通りの条理ある解釈を見出そうとし、かつて私の哀れな友人の云った、
I confess that I made little progress.	正直のところ私は、ほとんど何物も進め得なかった。
In the evening I strolled across the Park, and found myself about six o'clock at the Oxford Street end of Park Lane.	私は夕刻になってから、公園を逍遥しながら横切って、午後六時頃には、私はレーヌ公園の外れである、オックスフォード街に現われていた。
A group of loafers upon the pavements, all staring up at a particular window, directed me to the house which I had come to see.	そこでは一群の弥次馬がペーブメントの上から一つの窓を見つめていたが、この人達は私が見に来た一軒の家を指さしてくれた。
A tall, thin man with coloured glasses,n	一人の脊の高い痩せた色眼鏡の男が、――
whom I strongly suspected of being a plain-clothes detective,	私はてっきり私服の刑事巡査に相違ないと思ったが、――
was pointing out some theory of his own, while the others crowded round to listen to what he said.	いろいろと自分の観察を云っているのに、人々は群がり集（あつま）って傾聴していた。
I got as near him as I could, but his observations seemed to me to be absurd, so I withdrew again in some disgust.	私も出来るだけその近くに進んでみたが、しかしその観察はどうも出鱈目（でたらめ）であるので、私はちょっと嫌気がさしてまた引き返した。
As I did so I struck against an elderly, deformed man, who had been behind me, and I knocked down several books which he was carrying.	と、――
I remember that as I picked them up, I observed the title of one of them, THE ORIGIN OF TREE WORSHIP, and it struck me that the fellow must be some poor bibliophile, who, either as a trade or as a hobby, was a collector of obscure volumes.	私はそれを拾い上げてやる時にちらりっと見ると、その中には、「樹木崇拝の起原」と云ったような名前の本もあったが、たぶんこの老人は、あるいは商売にしろ物好きにしろ、とにかく貧しい愛書家で、しかも珍本の蒐集家に相違ないと思った。
I endeavoured to apologize for the accident, but it was evident that these books which I had so unfortunately maltreated were very precious objects in the eyes of their owner.	私はこの粗忽を、大に陳謝したが、しかしこの珍本たるや、この所有主には、はなはだ貴重なものであったと見えて、その老人は憤然として、自分に罵詈の言葉を投げかけて、踵を返して立ち去った。
With a snarl of contempt he turned upon his heel, and I saw his curved back and white side-whiskers disappear among the throng.	私はその彎曲した姿勢の、頬髭の白い姿が、群集の中から遠ざかってゆくのを見守った。
My observations of No. 427 Park Lane did little to clear up the problem in which I was interested.	レーヌ公園の第四百二十七番の事件については、私はひどく興味を持たされながら、結局観察の上では、依然としてほとんど何物も進め得なかった。
The house was separated from the street by a low wall and railing, the whole not more than five feet high.	邸宅は五尺起（た）らずの塀で、道路から囲われていたから、まあ庭園内に忍びこもうと思えば、それはごく容易なことであった。
It was perfectly easy, therefore, for anyone to get into the garden, but the window was entirely inaccessible, since there was no waterpipe or anything which could help the most active man to climb it.	がしかし窓はひどく高いもので、極めて特殊の敏捷な者であったら、あるいはそれに伝って上ることも出来るかもしれないと思われる、水管と云ったようなものさえも無かった。
More puzzled than ever, I retraced my steps to Kensington.	私はいよいよ考察に窮してケンシントンの方に足を向け直した。
I had not been in my study five minutes when the maid entered to say that a person desired to see me.	そして私が書斎に入って、五分も経つか経たない中に、女中が面会人があると云って来たのであった。
To my astonishment it was none other than my strange old book collector, his sharp, wizened face peering out from a frame of white hair, and his precious volumes, a dozen of them at least, wedged under his right arm.	私も驚いたことには、私がまだ慇懃を通じない、先の珍本蒐集家で、鋭い凋（くぼ）んだ顔が、白髪の中から覗き出て、右腕には少なくとも一打（ダース）はあろうと思われるほどの、貴重な書籍をかかえていた。
"You're surprised to see me, sir,"	「いや、私に推参されて、吃驚なされたでしょう」
said he, in a strange, croaking voice.	その老人は、全くききなれない嗄（しわが）れた声で云って来た。
I acknowledged that I was.	私は、全くその通りと答えた。
"Well, I've a conscience, sir,	「いや、全く御無理もありません。
and when I chanced to see you go into this house, as I came hobbling after you,	私はあなたがこのお家にお入りになるのを見たので、跛（びっこ）を引きながら、あなたの後を追っかけて伺った次第です。
I thought to myself, I'll just step in and see that kind gentleman, and tell him that if I was a bit gruff in my manner there was not any harm meant, and that I am much obliged to him for picking up my books."	と云うのは、先きほどの御親切な紳士に親しくお目にかかって、さっきの私の態度に、もし乱暴すぎたと思召されたところがあるなら、それは決して何も悪意のあったわけではなかったことを申し上げて、またその上に、わざわざ本までも拾って下さった御親切に、お礼を申そうと思ってのことですよ」
"You make too much of a trifle,"	「いや、それはあんまり御叮嚀すぎますな、しかし失礼ですがあなたは、どうして私を御存じなのでした？」
said I.	私は訊ねた。
"Well, sir, if it isn't too great a liberty,	「御尤もです、いや、実はその、――
I am a neighbour of yours,	私は、御宅の御近所の者です。
for you'll find my little bookshop at the corner of Church Street,	あの教会の通りの角に、小さな本屋のあるのを御存じなされますか、――
and very happy to see you, I am sure.	あれが私の貧弱な店ですが、どうぞお訊ね下されば光栄の至りです。
Maybe you collect yourself, sir.	それでよく合点のゆかれたことと思いますが、
Here's BRITISH BIRDS, and CATULLUS, and THE HOLY WAR--a bargain, every one of them.	さて、ここに、「英国の禽鳥界」「カツラス」（訳者註、紀元直前頃のローマの大詩人）「宗教戦争」と云う本がございますが、これはいずれもなかなかの掘り出しものです。
With five volumes you could just fill that gap on that second shelf.	あの本棚の第二段目の空所（すき）は、せいぜい五六冊もあれば、きちんと埋まりますが、いかがですか？
It looks untidy, does it not, sir?"	あの空所（すき）は何ですか不体裁でございますよ」
I moved my head to look at the cabinet behind me.	私はこう云われて、頭をめぐらして、後の本棚を見た。
When I turned again, Sherlock Holmes was standing smiling at me across my study table.	そしてまた振り返ると、机の向うから、シャーロック・ホームズが、微笑しながらこっちを向いて立っている。
I rose to my feet,	私はすっくと立ち上った。
stared at him for some seconds in utter amazement,	そして数秒間の間、私は、混乱するような驚愕と共に、彼を見つめた。
and then it appears that I must have fainted for the first and the last time in my life.	そして私は見つめ見つめたがさて、私はたしかに後にも先にも生涯にただ一度の、気絶をしてしまったらしかった。
Certainly	たしかに気絶をしたに相違なかった、――
a gray mist swirled before my eyes,	私の目の前には、明かに灰色の霧が渦巻いた。
and when it cleared I found my collar-ends undone and the tingling after-taste of brandy upon my lips.	そしてその霧が晴れた時は、私のカラのボタンは外され、唇には、ブランデーの刺すような味感がのこっていた。
Holmes was bending over my chair, his flask in his hand.	そしてホームズは、彼の水筒を持って、私の椅子の上から、蔽いかぶさるようにのしかかっていた。
"My dear Watson,"	「おい、ワトソン君！」
said the well-remembered voice,	よく聞きおぼえのある声が響いた。
"I owe you a thousand apologies.	「すまない、すまない。
I had no idea that you would be so affected."	僕はまさか、君はそんなにまで驚くとは思わなかったのだ」
I gripped him by the arms.	私はしっかりと彼の両腕をとった。
"Holmes!"	「ホームズ君！」
I cried.	私は思わずも叫んだ。
"Is it really you?	「一たい本当に君なのかえ？
Can it indeed be that you are alive?	君が生きているなどと云うことは、有り得ることなのかえ？
Is it possible that you succeeded in climbing out of that awful abyss?"	君はあんな恐ろしい深淵から、這い上ることが出来たのかえ？」
"Wait a moment,"	「まあ、待ちたまえ」
said he.	彼は言葉をさしはさんだ。
"Are you sure that you are really fit to discuss things?	「一たい君は、物を云っても大丈夫かね？
I have given you a serious shock by my unnecessarily dramatic reappearance."	僕は全くつまらない、劇的な出現などをして、しっかり君を驚かしてしまったが、――」
"I am all right,	「いや、もう大丈夫だ。
but indeed, Holmes, I can hardly believe my eyes.	しかし、しかしホームズ君、僕はどうしても自分の目を信ずることは出来ないよ。
Good heavens!	おいこればかりは助けてくれよ。
to think that you--you of all men--should be standing in my study."	だって君、人もあろうに、シャーロック・ホームズが、僕の書斎に、現われるなどと云うことは、どうして信じられよう」
Again I gripped him by the sleeve,	こう云って私は再び、彼の袖の上から腕をつかんだ。
and felt the thin, sinewy arm beneath it.	つかんでみればたしかに、彼の筋張った痩せた腕が、袖の底に感じられた。
"Well, you're not a spirit anyhow,"	「いや、とにかく君は、幽霊ではないだろう。
"My dear chap,	おい懐しい変り者め。
I'm overjoyed to see you.	僕は君に逢って、全く無精（むしょう）に嬉しい。
Sit down,	さあとにかくそこに腰を下したまえ。
and tell me how you came alive out of that dreadful chasm."	そしてどうして君が、あんな恐ろしい断崖から生きて還ったか、その顛末を話してくれたまえ」
He sat opposite to me,	彼は私の向う側に腰を下した。
and lit a cigarette in his old, nonchalant manner.	そして例の人を食った冷やかな調子で、煙草（たばこ）に火をつけた。
He was dressed in the seedy frockcoat of the book merchant, but the rest of that individual lay in a pile of white hair and old books upon the table.	彼は書籍商らしい見すぼらしいフロックコートを着ていたが、その他、真白な頭髪と云い、また机の上に置いた古書籍と云いたしかに書籍商を思わしめるものであった。
Holmes looked even thinner and keener than of old, but there was a dead-white tinge in his aquiline face	ホームズは以前よりももっと痩せて、かつ鋭く見えたが、その鷲のような顔には、たしかに死相を思わしめる蒼白さがあった。
which told me that his life recently had not been a healthy one.	それで私は、彼は近頃は決して健康ではないのだと思った。
"I am glad to stretch myself, Watson,"	「ワトソン君、僕はぐーっと脊伸びをすることが出来て、こんな嬉しいことはないよ」
said he.	彼は語り出した。
"It is no joke when a tall man has to take a foot off his stature for several hours on end.	「君、この脊の高い男が、何時間かの間を、一呎（フィート）も身体を縮めていなければならないと云うことは、全く冗談ごとではないからね。
Now, my dear fellow,	しかしわが親愛な相棒君、――
in the matter of these explanations, we have, if I may ask for your cooperation, a hard and dangerous night's work in front of us.	この種々（いろいろ）の話をする前に、もし君が協力してくれるなら、ここに一つの困難な、かなり危険な夜の仕事があるのだが、
Perhaps it would be better if I gave you an account of the whole situation when that work is finished."	いずれそれをすましてからの方が、君に一切の顛末を話すのに、好都合だと思われるんだがね」
"I am full of curiosity.	「いやしかし僕は、好奇心で一ぱいなんだが、
I should much prefer to hear now."	今すぐにききたいものだがね」
"You'll come with me to-night?"	「じゃ君は今夜、僕と一緒に来てくれるかね？」
"When you like and where you like."	「ああ行くとも、――
"This is, indeed, like the old days.	「さて、これでまた昔通りになったわけだね。
We shall have time for a mouthful of dinner before we need go.	しかしまだちょっとした食事をとるだけの時間はあるのだが、出かける前にちょっとすまそうじゃないかね。
Well, then, about that chasm.	さてそうしていよいよ、断崖談としようさ。
I had no serious difficulty in getting out of it,	ところがね君、僕はあすこから遁（に）げ出すのには、決して大した苦労はしなかったのだ。
for the very simple reason that I never was in it."	と云うのは、実は僕は、あの中に落っこちはしなかったのさ」
"You never were in it?"	「落っこちはしなかったって？」
"No, Watson, I never was in it.	「もちろんさ、ワトソン君、僕は実は落っこちなかったのだ。
My note to you was absolutely genuine.	僕が君に与えた通諜は、たしかに正直正真のものさ。
I had little doubt that I had come to the end of my career when I perceived the somewhat sinister figure of the late Professor Moriarty standing upon the narrow pathway which led to safety.	しかし僕もあの遁（に）げ道の途中で、死んだモリアーティ教授の、何となく不吉な顔に目が止まった時は、ちょっと、これはいよいよ俺もこれまでかなとも思われた。
I read an inexorable purpose in his gray eyes.	彼の目には確に、凄愴な決心が充ち充ちていた。
I exchanged some remarks with him, therefore, and obtained his courteous permission to write the short note	それで僕は彼とちょっと二三語応酬し、あの短い通諜を書く、好意ある許しを得たのだった。
which you afterwards received.	が、つまりその時書いたのが、後に君のところに届いたものさ。
I left it with my cigarette-box and my stick, and I walked along the pathway,	それから僕はそれを、自分の煙草入れとステッキと一緒に置いて、その小径に沿うて歩き出した。
Moriarty still at my heels.	モリアーティ教授は、すぐに僕の後に尾（つ）いて来る、――
When I reached the end I stood at bay.	それから僕はいよいよ道がつきた時に、湾の縁に立ち止まった。
He drew no weapon, but he rushed at me and threw his long arms around me.	彼は武器の類はとらなかったが、僕に跳（おど）りかかって来て、その長い腕を僕に巻きつけた。
He knew that his own game was up, and was only anxious to revenge himself upon me.	彼はもう自暴自棄になり、ただひたすら復讐の念に燃えていた。
We tottered together upon the brink of the fall.	われわれ二人は、滝の縁で揉み合ったままよろめいた。
I have some knowledge, however, of baritsu, or the Japanese system of wrestling, which has more than once been very useful to me.	僕は、いわゆる日本の柔道と云ったようなものに、多少の心得があるが、これは一再ならず僕には有効であったものである。
I slipped through his grip, and he with a horrible scream kicked madly for a few seconds, and clawed the air with both his hands.	僕がするうっと彼の把握から抜け出ると、彼はもう死に物狂いの金切声を上げながら、ものの数秒間も無茶苦茶に僕を蹴り、それから両手で虚空をつかんだ。
But for all his efforts he could not get his balance, and over he went.	しかしそうして彼が、死に物狂いの努力をしたにもかかわらず、身体の平均はますます崩れて、遂に転落してしまったと云う始末さ。
With my face over the brink, I saw him fall for a long way.	僕は断崖の縁から顔をのぞかせて、長い距離を転落してゆくのを眺めた。
Then he struck a rock, bounded off, and splashed into the water."	彼の身体は一度は、大きな岩に打ちつけられ、それから大きく跳ね上りざま、ざんぶと水に落ちて行ってしまったのだ」
I listened with amazement to this explanation,	私はただ驚異の目を（みは）りながら、彼の言葉に傾聴した。
which Holmes delivered between the puffs of his cigarette.	ホームズはまた、煙草の煙をぷっぷっと上げながら話しつづける、――
"But the tracks!"	「しかし君あの足跡は、――？」
I cried.	私は言葉をさしはさんだ。
"I saw, with my own eyes, that two went down the path and none returned."	「僕はたしかにこの目で、二人が小径を下りて行って、あとそのどちらも帰って来ないことを、見届けたのだがね」
"It came about in this way.	「それはこう云うわけさ。
The instant that the Professor had disappeared, it struck me what a really extraordinarily lucky chance Fate had placed in my way.	モリアーティ教授が転落してもう姿が消えてしまった瞬間には、全く何と云う僥倖が恵まれたのであろうと思われたよ。
I knew that Moriarty was not the only man who had sworn my death.	しかし僕はまた、僕の命を狙いに狙っている者は、決してモリアーティ教授ばかりではないと云うことは知悉していた。
There were at least three others whose desire for vengeance upon me would only be increased by the death of their leader.	少なくとも三人以上の者が、その主領の死によって、ますます復讐の瞋恚（しんい）に燃えて、僕を呪い狙っているのであった。
They were all most dangerous men.	この連中はいずれも、恐るべき人間共だからね。
One or other would certainly get me.	その中の誰かは、たしかに僕を仕止め得たかもしれなかった。
On the other hand, if all the world was convinced that I was dead they would take liberties, these men, they would soon lay themselves open,	しかしまた、一面から云えば、もう全社会が僕の死を信ずるようになれば、この連中とても自儘になって、その行動も現（あらわ）になって来る、――
and sooner or later I could destroy them.	そうすると僕はいずれ早晩彼等を撃滅することが出来ることになる。
Then it would be time for me to announce that I was still in the land of the living.	こうしてから僕は自分が、たしかにまだ現世に踏み止まっていると云うことを世間に発表することにする。
So rapidly does the brain act that I believe I had thought this all out before Professor Moriarty had reached the bottom of the Reichenbach Fall.	僕は実際、人間の頭と云うものも、実に敏感に働くものだと思うが、僕はこれだけのことを、モリアーティ教授が、転落してライヘンバッハ瀑布の水底に、達するまでの間に考えついてしまったのだ。
"I stood up and examined the rocky wall behind me.	それから僕は起き上って、背後の岩壁を検（しら）べてみた。
In your picturesque account of the matter, which I read with great interest some months later, you assert that the wall was sheer.	僕が数ヶ月の後に、実に興味深く読んだ、君のこの事件に対する絵を見るような記録には、その岩壁は、切り立てたようであったと記されてあったが、
That was not literally true.	しかしあれは必ずしも、文字通りには正しくはなかったのだ。
A few small footholds presented themselves, and there was some indication of a ledge.	二三ヶ処、足掛りになるようなものもあったし、また、窪地さえもあったのだ。
The cliff is so high that to climb it all was an obvious impossibility, and it was equally impossible to make my way along the wet path without leaving some tracks.	確にその高さは大したもので、とても一気に上らるべきものでもなかったし、またあの湿った小径は、全く足跡を止めずに辿ると云うことも、明かに不可能なことであった。
I might, it is true, have reversed my boots, as I have done on similar occasions, but the sight of three sets of tracks in one direction would certainly have suggested a deception.	僕はこうした場合に、以前にもやったように、靴を後前（あとさき）を逆にしてはこうかとも思ったが、しかし同一方向に三つの足跡があると云うことになると、それはもう一目瞭然に、瞞著（まんちゃく）であると云うことが看破されてしもう。
