The String Quartet	弦楽四重奏
Was it the sound of the second violin tuning in the ante-room?	あれは控室でチューニングするセカンド・ヴァイオリンの音だったのだろうか？
Here they come;	さあ、彼らがやってきた。
four black figures, carrying instruments, and seat themselves facing the white squares under the downpour of light;	4つの人影、楽器をもち、降り注ぐ光を反射する白い一画にむかいあって腰を下ろす。
rest the tips of their bows on the music stand;	弓の先を譜面台にあてる。
with a simultaneous movement lift them;	一斉に持ち上げる。
lightly poise them, and, looking across at the player opposite, the first violin counts	中空軽やかにとどめ、対面する奏者と視線を交わし、そしてファースト・ヴァイオリンのカウントが始まる
one, two, three;	――ワン、ツー、スリー。
The pear tree on the top of the mountain.	山頂にたつナシの樹。
Fountains jet;	噴きあがる水流、
drops descend.	下りくる水滴。
But the waters of the Rhone flow swift and deep, race under the arches, and sweep the trailing water leaves, washing shadows over the silver fish, the spotted fish rushed down by the swift waters, now swept into an eddy where;	だが、ローヌの流れは激しくまた深く、アーチの下をくぐり、水草をたなびかせ、水面にうつる銀色の魚の影を洗い、まだらのある魚は急流にしたがって潜り、小さな渦に向かい、そこであらゆる魚が
it's difficult this;	――気楽なことではなかろうに
conglomeration of fish all in a pool;	――ひとつの水たまりにかたまっている。
leaping, splashing, scraping sharp fins;	とびはね、しぶきをあげ、鋭い尾びれをこすりあわせながら。
and such a boil of current that the yellow pebbles are churned round and round, round and round;	そして、流れが沸きたてば黄色い小石は、くるくる、くるくると洗れる
free now, rushing downwards, or even somehow ascending in exquisite spirals into the air;	――いまは自由、下方に殺到し、あるいは空にむかう優美な螺旋にのって上昇したりする。
curled like thin shavings from under a plane,	鉋の下からいでくる薄片のようにするすると。
up and up....	上へ上へ……
How lovely goodness is in those who, stepping lightly, go smiling through the world!	軽やかに歩み、世間をにこにことやりすごす人々に、なんと愛すべきよさがあることか！
Also in jolly old fishwives, squatted under arches, obscene old women, how deeply they laugh and shake and rollick, when they walk, from side to side, hum, hah!	老いてなお陽気ないぎたない女たち、橋の下にかがみこんだ猥雑な老女たち、彼女らのなんと深く笑い、体をゆすり、はしゃぎまわることか、道一杯に歩きながら、ふふふ、ははは！
"That's an early Mozart, of course;"	「あれは初期のモーツァルトです、もちろんのことですが――」
"But the tune, like all his tunes, makes one despair;	「でもあの調べは、かれの調べはぜんぶそうだけど、ある種がっかりくるようなところがあります
I mean hope.	――希望なんです。
What do I mean?	なにを言いたいのかって？
That's the worst of music!	あれは最悪の音楽ですよ！
I want to dance, laugh, eat pink cakes, yellow cakes, drink thin, sharp wine.	私は踊りたい、笑いたい、色とりどりのケーキが食べたい、淡麗なワインが飲みたい。
Or an indecent story, now;	それとも、みだらなお話をいま
I could relish that.	――いまなら、喜んでお聞きしますよ。
The older one grows the more one likes indecency.	年をとると猥談が好きになるものです。
Hah, hah!	はは、ははは！
I'm laughing.	私は笑っている。
What at?	何を？
You said nothing, nor did the old gentleman opposite....	あなたは何も言いませんでした、あの向かい側の老紳士も……
But suppose;	けれどもきっと
suppose;	――きっとね
Hush!"	――静かに！」
The melancholy river bears us on.	憂鬱な河が私たちにのしかかります。
When the moon comes through the trailing willow boughs, I see your face, I hear your voice and the bird singing as we pass the osier bed.	たなびく柳の大枝から月がいでくると、あなたのお顔が見えるようになることでしょう、あなたのお声を聞けることでしょう、そして私たちがコリヤナギのベッドのそばをすぎるころ、鳥たちは歌ってくれることでしょう。
What are you whispering?	何を呟いたのですか？
Woven together, like reeds in moonlight.	月下の葦のように織りあわせられて。
Woven together, inextricably commingled, bound in pain and strewn in sorrow;	まったく解くことができないほどに織りあわせられ、痛みで集まり、悲しみで散り
crash!	――激突！
The boat sinks.	ボートは沈む。
Rising, the figures ascend, but now leaf thin, tapering to a dusky wraith,	人々の影が昇りそして浮かぶが、いまはわずかに頭を出すだけで、おぼろにかすんで見える。
which, fiery tipped, draws its twofold passion from my heart.	その、燃え立つ先端は、私の心から二重の情熱を吸い出す。
For me it sings, unseals my sorrow, thaws compassion, floods with love the sunless world, nor, ceasing, abates its tenderness but deftly, subtly, weaves in and out until in this pattern, this consummation, the cleft ones unify;	私のためにそれは歌い、私の悲しみをあばきだし、慈しみをとかしだし、太陽なき世界に愛をあふれかえらせ、絶えることもなく、そのやさしさを失うも、巧妙に精妙に、このパターンへ、この消耗へ、かの裂け散った統一体へと織りあげていく。
soar, sob, sink to rest, sorrow and joy.	痛み、陰鬱、休息のための停滞、悲しみ、喜びを。
Why then grieve?	ではなぜ嘆く？
Ask what?	何を問う？
Remain unsatisfied?	満足できずにいる？
I say all's been settled;	言わば、すべてが凝り固まっている。
yes;	そう。
laid to rest under a coverlet of rose leaves, falling.	バラの葉の毛布にくるまって休み、落ちていく。
Falling.	落ちていく。
Ah, but they cease.	ああ、止まった。
One rose leaf, falling from an enormous height, like a little parachute dropped from an invisible balloon, turns, flutters waveringly.	バラの葉が一枚、とてつもない高さから落ちていく、見えない気球から飛んだちいさなパラシュートのように、ぐるぐると、ふらつきながらはためいて。
It won't reach us.	それは私たちには届かない。
"No, no.	「いいえ。
I noticed nothing.	何も気づきませんでした。
That's the worst of music;	あれは最悪の音楽です
these silly dreams.	――こうした馬鹿げた夢。
The second violin was late, you say?"	セカンド・ヴァイオリンが遅れました、そうでしょう？」
"There's old Mrs. Munro, feeling her way out;	「あそこにマンロウさんがおられますな、この滑りやすいフロアを
blinder each year, poor woman;	――年々目を悪くなさっているそうで
on this slippery floor."	――手探りで歩いておられます」
Eyeless old age, grey-headed Sphinx....	めくらの老女、白髪頭のスフィンクス……
There she stands on the pavement, beckoning, so sternly, the red omnibus.	向こうの舗道に立ち、いかめしく、赤い乗合車を手招きする。
"How lovely!	「なんと美しい調べ！
How well they play!	なんとすばらしい演奏！
How;how;how!"	なんと――なんと――なんと！」
The tongue is but a clapper.	舌はただの拍子木だ。
Simplicity itself.	それだけならば無邪気。
The feathers in the hat next me are bright and pleasing as a child's rattle.	私のとなりの帽子の羽飾りは、子どもらのおしゃべりみたいに快活だ。
The leaf on the plane-tree flashes green through the chink in the curtain.	プラタナスの葉っぱはカーテンの隙間のむこうに緑をひらめかせる。
Very strange, very exciting.	とても奇妙、とても刺激的。
"How;how;how!"	「なんと――なんと――なんと！」
Hush!	静かに！
These are the lovers on the grass.	そこに草原の恋人たち。
"If, madam, you will take my hand;"	「もしもマダム、あなたが私の手をとってくだされば」
"Sir, I would trust you with my heart.	「サー、心から信頼申しあげたいのです。
Moreover, we have left our bodies in the banqueting hall.	それに、私たちは体をあの広間に置いてきました。
Those on the turf are the shadows of our souls."	あの芝生の上にあるものは、私たちの魂の影なのです」
"Then these are the embraces of our souls."	「では、これらは私たちの魂の抱擁」
The lemons nod assent.	レモンの木々がうなずく。
The swan pushes from the bank and floats dreaming into midstream.	白鳥は土手を飛び出し、流れの真中を夢見て泳ぐ。
"But to return.	「でも話をもどしましょう。
He followed me down the corridor, and, as we turned the corner, trod on the lace of my petticoat.	私を追って廊下を走るかれは、曲がり角のところで、私のペティコートのレースをふみつけました。
What could I do but cry 'Ah!' and stop to finger it?	いったい、叫んで（「きゃあ！」）指差す以外の何が私にできましたでしょう。
At which he drew his sword, made passes as if he were stabbing something to death, and cried,	そうすると彼は剣を抜き、まるでなにかを刺し殺そうとするかのように突きかかっては叫ぶのです、
'Mad! Mad! Mad!'	『気違い！　気違い！　気違い！』って。
Whereupon I screamed,	私は悲鳴をあげました。
and the Prince, who was writing in the large vellum book in the oriel window, came out in his velvet skull-cap and furred slippers, snatched a rapier from the wall;	王子は、出窓のそばで上質皮紙の大冊にペンを走らせていたのですが、ビロードのスカルキャップに毛皮のスリッパといういでたちで出てきて、壁のレイピアを手にとりました
the King of Spain's gift, you know;	――スペインの王さまから贈られた剣です、ご存知でしょう
on which I escaped, flinging on this cloak to hide the ravages to my skirt;to hide...	――私は逃げました、マントをはおってスカートの破れ目とかを隠そうとしながら……
But listen!	でも聞いて！
The horns!"	あの角笛は！」
The gentleman replies so fast to the lady, and she runs up the scale with such witty exchange of compliment now culminating in a sob of passion, that the words are indistinguishable though the meaning is plain enough;	その紳士がその淑女にじつにすばやく返事をするために、そして彼女がじつに機知に富んだ、いまや情熱的なすすり泣きまでに昇華された社交辞令を応酬することで音階をかけあがるために、言葉は意味こそ十分なれど聞き分けることができなくなる
love, laughter, flight, pursuit, celestial bliss;	――愛、笑い、怖れ、説法、天界の祝福
all floated out on the gayest ripple of tender endearment;	――そのすべてがやさしい慕情のいちばん陽気な笑いの波に浮かんでいた
until the sound of the silver horns, at first far distant, gradually sounds more and more distinctly,	――やがて銀の角笛が、最初は遠くから、だんだんはっきりと鳴り響くまで。
as if seneschals were saluting the dawn or proclaiming ominously the escape of the lovers....	まるで、執僕たちが夜明けを迎え入れるかのように、あるいは恋人たちの逃亡を薄気味悪そうに告げるかのように……
The green garden, moonlit pool, lemons, lovers, and fish are all dissolved in the opal sky, across which, as the horns are joined by trumpets and supported by clarions there rise white arches firmly planted on marble pillars....	緑の庭、月光のプール、レモン、恋人たち、魚、そのすべてがオパールの空にとけてゆき、その向こうで、角笛とトランペットが繋がって、クラリオンに支えられて、そこで大理石の上にがっしりと植えつけられていた白いアーチが立ちあがる……
Tramp and trumpeting.	放言と放浪。
Clang and clangour.	残響と共鳴。
Firm establishment.	確固たる土台。
Fast foundations.	性急たる基礎。
March of myriads.	大群衆の行進。
Confusion and chaos trod to earth.	混乱と混沌が大地を踏み散らす。
But this city to which we travel has neither stone nor marble;	だが私たちがたどりついたこの街には石もなければ大理石もなく、
hangs enduring;	しつこく食い下がり、
stands unshakable;	ゆれなく存在し、
nor does a face, nor does a flag greet or welcome.	どの顔もどの旗も挨拶せず歓迎もしない。
Leave then to perish your hope;	では去れ、あなたの希望を死に至らしめるため。
droop in the desert my joy;	砂漠に私の喜びを枯らすため。
naked advance.	無防備な利点。
Bare are the pillars;	むきだしなのは列柱。
auspicious to none;	すべてにとって吉兆でない。
casting no shade;	影を投げない。
resplendent;	きらきら輝く。
severe.	辛辣。
Back then I fall, eager no more, desiring only to go, find the street, mark the buildings, greet the applewoman, say to the maid who opens the door:	もどった私は堕ち、もはや情熱を失い、ただただ逃げ出すことを欲しながら、通りを探し当て、建物を確認し、リンゴ売りの女に挨拶し、ドアを開けたメイドに言う：
A starry night.	星の夜。
"Good night, good night.	「おやすみなさい、おやすみなさい。
You go this way?"	あなたはこっちの道ですよね？」
"Alas.	「残念。
I go that."	私はあっちです」
