A SCANDAL IN BOHEMIA	ボヘミアの醜聞ボヘミアの醜聞
of his summons to Odessa in the case of the Trepoff murder, of his clearing up of the singular tragedy of the Atkinson brothers at Trincomalee, and finally of the mission which he had accomplished so delicately and successfully for the reigning family of Holland.	トレポフ殺人事件でオデッサ（※１）に招聘されたとか、トリンコマリィ（※２）でアトキンソン兄弟の奇妙な惨劇を解決したとか、ひいてはオランダ王室のために秘密裏に任務を遂行したとか。
Beyond these signs of his activity, however, which I merely shared with all the readers of the daily press, I knew little of my former friend and companion.	しかし私も日刊新聞の一読者として知るのみで、かつて友人でありパートナーであった男のことを知る由もなかったのだ。
One night--it was on the twentieth of March, 1888--I was returning from a journey to a patient (for I had now returned to civil practice), when my way led me through Baker Street.	ある夜、一八八八年三月二十日のことだが、私は患者の往診の帰途（元の開業医に戻っていたので）、ベイカー街を通りがかった。
As I passed the well-remembered door, which must always be associated in my mind with my wooing, and with the dark incidents of the Study in Scarlet,	あの見慣れた戸口を見ると、求婚時代や、陰惨な『緋のエチュード』事件のことがいつも心に甦ってくる。
I was seized with a keen desire to see Holmes again, and to know how he was employing his extraordinary powers.	私はふとホームズに会いたい、人並みならぬ能力を発揮するのを見たい、そんな衝動に駆られたのである。
His rooms were brilliantly lit, and, even as I looked up, I saw his tall, spare figure pass twice in a dark silhouette against the blind.	ホームズの部屋は煌々とし、私が見上げている間でさえ、ホームズの長身痩躯の影法師が二度窓に映った。
He was pacing the room swiftly, eagerly, with his head sunk upon his chest and his hands clasped behind him.	うつむき、手を後ろで組み、部屋をせかせかと力強く低回している。
To me, who knew his every mood and habit, his attitude and manner told their own story.	私は気心や癖を心得ているので、その態度や物腰からすべてが伺える。
He was at work again.	また仕事をしているのだ。
He had risen out of his drug-created dreams and was hot upon the scent of some new problem.	麻薬の夢からうつつに帰り、新しい事件の香りに興奮を隠せないでいる。
I rang the bell and was shown up to the chamber which had formerly been in part my own.	私は呼び鈴を鳴らすと、以前は私と共用していたあの部屋に案内された。
His manner was not effusive.	ホームズは感情こそあからさまではなかった。
It seldom was;	いつも通りだが、
but he was glad, I think, to see me.	再会を喜んではくれたようだ。
With hardly a word spoken, but with a kindly eye, he waved me to an armchair, threw across his case of cigars, and indicated a spirit case and a gasogene in the corner.	何も言わず、あたたかい目をし、安楽椅子（アーム・チェア）を手で示すと葉巻入れを投げてよこし、部屋の隅にあるアルコールとガソジン（※３）を指し示した。
Then he stood before the fire and looked me over in his singular introspective fashion.	そしてホームズは暖炉の前に立つと、内に秘めたまなざしで私を見るのである。
"Wedlock suits you,"	「幸せ太りか。」
he remarked.	とホームズ。
"I think, Watson, that you have put on seven and a half pounds since I saw you."	「思うにワトソン、以前より七ポンド半の増だ。（※４）」
"Seven!"	「七だよ。」
I answered.	と私は返答する。
"Indeed, I should have thought a little more.	「うむ、もう少し思考するべきだったか。
Just a trifle more, I fancy, Watson.	ややもすると、などと思ったのだワトソン。
And in practice again, I observe.	では次に思うは、君の開業だ。
You did not tell me that you intended to go into harness."	復帰するなど言ってくれなかったね。」
"Then, how do you know?"	「どうして知っているんだ？」
"I see it, I deduce it.	「わかる、演繹したからね。
How do I know that you have been getting yourself very wet lately, and that you have a most clumsy and careless servant girl?"	さもなくば、なぜに僕は君が最近ずぶぬれになったことや、不器用で不注意な女中がいることを知っているのかね？」
"My dear Holmes," said I, "this is too much.	「ホームズくん、完敗だ。
You would certainly have been burned, had you lived a few centuries ago.	数世紀前なら火あぶりものだよ。
It is true that I had a country walk on Thursday and came home in a dreadful mess,	実を言えば木曜日、田舎を歩いてね、泥水まみれで帰宅したんだ。
but as I have changed my clothes I can't imagine how you deduce it.	でも服は着替えたし、君がどう演繹したのかさっぱりだ。
As to Mary Jane, she is incorrigible, and my wife has given her notice,	メアリ・ジェインは、これがいかんともしがたくてね、妻が暇を出したよ。
but there, again, I fail to see how you work it out."	しかし、いや、まったく君は何をどう見つけたものか。」
He chuckled to himself and rubbed his long, nervous hands together.	ホームズは含み笑いし、長くきめ細やかな手をこすり合わせた。
"It is simplicity itself,"	「事はいたって簡単だ。
"my eyes tell me that on the inside of your left shoe, just where the firelight strikes it, the leather is scored by six almost parallel cuts.	僕の目に嫌でも入ってくるよ、君の革靴、左内側、ちょうど火灯りに照らされたあたりの、ほぼ平行な六つの傷がね。
Obviously they have been caused by someone who has very carelessly scraped round the edges of the sole in order to remove crusted mud from it.	これは明らかに、誰かが固化した泥を取り除こうと、靴底を何とも不用意にもこすったために出来たものだ。
Hence, you see, my double deduction	したがって、わかるかい、二つの演繹が可能だ。
that you had been out in vile weather, and that you had a particularly malignant boot-slitting specimen of the London slavey.	君は悪天候に見舞われ、かつ君のお抱えはロンドン女中の例に漏れず、靴を傷つけるほど不器用である、と。
As to your practice, if a gentleman walks into my rooms smelling of iodoform, with a black mark of nitrate of silver upon his right forefinger, and a bulge on the right side of his top-hat to show where he has secreted his stethoscope,	開業についてだが、とある紳士がヨードホルム（※５）を鼻につくほど匂わせ、右人差し指に硝酸銀（※６）の黒いシミをつけ、聴診器が入っていますよとこれみよがしにシルクハットの右側を膨らませて入ってきたのだよ。
I must be dull, indeed, if I do not pronounce him to be an active member of the medical profession."	その人物を医療に携わっていると指摘できなければ、僕は相当のうつけ者にちがいない。」
I could not help laughing at the ease with which he explained his process of deduction.	いとも簡単に演繹の道筋を説明してしまうので、私は笑うほかなかった。
"When I hear you give your reasons," I remarked, "the thing always appears to me to be so ridiculously simple that I could easily do it myself,	「君の推理を聞くと、いつも可笑しいほど簡単なので、私にもたやすいと思ってしまうんだ。
though at each successive instance of your reasoning I am baffled until you explain your process.	だけども君の引き出す論拠ひとつひとつが、説明を受けるまで何の事やら。
And yet I believe that my eyes are as good as yours."	これでも私の目も君には負けてないつもりなんだが。」
"Quite so,"	「無論。」
he answered, lighting a cigarette, and throwing himself down into an armchair.	とホームズは答え、紙巻き煙草に火をつけ、安楽椅子に腰を下ろした。
"You see, but you do not observe.	「見てはいるが、観察していない。
The distinction is clear.	差は歴然だ。
For example, you have frequently seen the steps which lead up from the hall to this room."	例えば、君も玄関からこの部屋までの階段は何度も見ているね。」
"Frequently."	「何度も。」
"How often?"	「幾度？」
"Well, some hundreds of times."	「ん、何百回となく。」
"Then how many are there?"	「では何段ある？」
"How many?	「何段とな？
I don't know."	知らんよ。」
"Quite so!	「無論！
You have not observed.	観察していないからね。
And yet you have seen.	だが見るだけは見ている。
That is just my point.	それが差だ。
Now, I know that there are seventeen steps,	さぁ、僕は十七段あると知っている。
because I have both seen and observed.	見、そして観察しているからだ。
By-the-way, since you are interested in these little problems, and since you are good enough to chronicle one or two of my trifling experiences,	ところで話のついでだが、君は瑣事が好きで、僕のつまらぬ体験をひとつふたつ記録に起こしただろう。
you may be interested in this."	そんな君ならこれも気に入ってくれよう。」
He threw over a sheet of thick, pink-tinted note-paper which had been lying open upon the table.	とホームズが投げてよこしたのは、開封済みでテーブルの上にあった薄紅色の厚手の便せんだった。
"It came by the last post,"	「つい先刻郵便でね。
"Read it aloud."	声を出して読んでみたまえ。」
The note was undated, and without either signature or address.	便せんに日付はなく、署名、住所すらなかった。
"There will call upon you to-night, at a quarter to eight o'clock,"	お訪ねするのは今夜、八時十五分前。
"a gentleman who desires to consult you upon a matter of the very deepest moment.	一人の紳士が貴下にある極まりない重要事に関して意見を承るべく、参上致します。
Your recent services to one of the royal houses of Europe have shown that you are one who may safely be trusted with matters which are of an importance which can hardly be exaggerated.	近時、貴下がヨーロッパのさるご王室に尽くされたことを見ても、貴下は世に見ぬ一大事でもためらいなく託せる方と存じます。
This account of you we have from all quarters received.	私どもも貴下のご活躍を聞くこと、諸方面にございます。
Be in your chamber then at that hour, and do not take it amiss if your visitor wear a mask."	何卒、その折はご在宅くださるよう、また当方が覆面をしておりましても、お気を悪くなさらぬよう、お願い致します。
"This is indeed a mystery,"	「実に不可思議だ。」
I remarked.	と私。
"What do you imagine that it means?"	「君は何を思い浮かべる？」
"I have no data yet.	「まだ材料（データ）がない。
It is a capital mistake to theorize before one has data.	材料なくして理論立てするのは、致命的な誤りだ。
Insensibly one begins to twist facts to suit theories, instead of theories to suit facts.	無意識のうちに、事実と符合するべく推理するのではなく、推理に符合するべく事実を歪曲することになる。
But the note itself.	しかしここに紙がある。
What do you deduce from it?"	演繹してごらん。」
I carefully examined the writing, and the paper upon which it was written.	私はその筆跡、紙質を綿密に調べた。
"The man who wrote it was presumably well to do,"	「これを書いた人物は、おそらく金持ちだね。」
I remarked, endeavouring to imitate my companion's processes.	と私は我がパートナーのやり方を出来るだけ模倣してみた。
"Such paper could not be bought under half a crown a packet.	「このような紙なら、一袋半クラウン（※７）はくだらない。
It is peculiarly strong and stiff."	独特の硬質感と丈夫さがある。」
"Peculiar	「独特、か。
--that is the very word,"	うまい言葉だ。」
said Holmes.	とホームズ。
"It is not an English paper at all.	「英国製ではないのだ。
Hold it up to the light."	灯りにかざしてみたまえ。」
I did so, and saw a large "E" with a small "g," a "P," and a large "G" with a small "t" woven into the texture of the paper.	その通りにすると、大文字のＥと小文字のｇ、続いてＰ、Ｇと小文字のｔが透かしで入っていた。
"What do you make of that?"	「これは何かな？」
asked Holmes.	とホームズが訊く。
"The name of the maker, no doubt;	「製紙会社の名前、間違いなくその頭文字だ。」
"Not at all.	「残念。
The 'G' with the small 't' stands for 'Gesellschaft,' which is the German for 'Company.'	GtはGesellschaft、ドイツ語で会社という意味だ。
It is a customary contraction like our 'Co.'	僕らがきまってCoと省略するのと同様。
'P,' of course, stands for 'Papier.'	Ｐはもちろん、Papierつまり紙のこと。
Now for the 'Eg.' Let us glance at our Continental Gazetteer."	さてEgだが、これは大陸地名辞典でも参照してみよう。」
He took down a heavy brown volume from his shelves.	ホームズは棚から褐色の分厚い本を取りだした。
"Eglow, Eglonitz--here we are, Egria.	「Eglow, Eglonitz……これだ、Eger（※８）。
It is in a German-speaking country--in Bohemia, not far from Carlsbad.	エイガといって、ドイツ語圏だね、ボヘミア（※９）にありカールスバットのほど近くだ。
'Remarkable as being the scene of the death of Wallenstein,	『ヴァレンシュタイン終焉の地として有名。
and for its numerous glass-factories and paper-mills.'	ガラス工房と製紙工場が多くある。』
Ha, ha, my boy, what do you make of that?"	ほらほら、君、これは何かな？」
His eyes sparkled, and he sent up a great blue triumphant cloud from his cigarette.	ホームズは目を炯々とさせ、勝ちどきの紫煙を煙草から上げたのだった。
"The paper was made in Bohemia,"	「この紙は、ボヘミアで作られました。」
I said.	とは私。
"Precisely.	「いかにも。
And the man who wrote the note is a German.	そしてこの手紙を書いたのはドイツ人だ。
Do you note the peculiar construction of the sentence	こんな奇妙な構文をした文章があっただろう、
--'This account of you we have from all quarters received.'	『私どもも貴下のご活躍を聞くこと、諸方面にございます』。
A Frenchman or Russian could not have written that.	フランス人やロシア人なら、このように書くまい。
It is the German who is so uncourteous to his verbs.	動詞の扱いが不躾なのは、ドイツ人だからだ。
It only remains, therefore, to discover what is wanted by this German who writes upon Bohemian paper and prefers wearing a mask to showing his face.	それゆえ残るところは、ボヘミアの紙で手紙を書き、覆面で顔見せを拒みたがるドイツ人が何を望んでいるか、その一点だ。
And here he comes, if I am not mistaken, to resolve all our doubts."	む、まさに今来たれり、勘違いでなければ、僕らの疑いはすぐに晴れる。」
As he spoke there was the sharp sound of horses' hoofs and grating wheels against the curb, followed by a sharp pull at the bell.	発言に間もなく、馬の蹄の鋭い音、車輪が歩道の縁石に当たって軋む音が聞こえ、続いてベルが強く鳴り響いた。
Holmes whistled.	ホームズは口笛を吹く。
"A pair, by the sound,"	「二頭立てだ、この音なら。」
"Yes,"	とホームズは窓の外をながめて、続ける。
he continued, glancing out of the window.	「当たりだ。
"A nice little brougham and a pair of beauties.	小型で立派なブルーム型馬車（※10）で、申し分ない馬だ。
A hundred and fifty guineas apiece.	片方で一五〇ギニィはする（※７）。
There's money in this case, Watson, if there is nothing else."	報酬だけはありそうだ、ワトソン、たとえつまらない仕事でもね。」
"I think that I had better go, Holmes."	「私は帰った方が良さそうだな、ホームズ。」
"Not a bit, Doctor.	「いいや、博士。
Stay where you are.	ここにいたまえ。
I am lost without my Boswell.	ボズウェル（※11）あってこその僕だ。
And this promises to be interesting.	それに今度の依頼、面白そうだ。
It would be a pity to miss it."	逃すと後悔の極みだよ。」
"But your client--"	「しかし依頼人は……」
"Never mind him.	「気にすることはない。
I may want your help, and so may he.	僕が君の助けを必要とするのだから、依頼人とて同じ事。
Here he comes.	ご来訪のようだ。
Sit down in that armchair, Doctor,	安楽椅子にかけたまえ、博士。
and give us your best attention."	そして最良の忠告を与えてくれ。」
A slow and heavy step, which had been heard upon the stairs and in the passage, paused immediately outside the door.	ゆっくりで重い足取りが、階段あるいは廊下から聞こえ、やがてドアの手前でやんだ。
Then there was a loud and authoritative tap.	それから大きく高圧的に叩く音がした。
"Come in!"	「お入りなさい！」
said Holmes.	とホームズ。
A man entered who could hardly have been less than six feet six inches in height, with the chest and limbs of a Hercules.	来訪した男は、背丈六フィート六インチはあり、ヘラクレスのごとき胸板の厚さと腕の太さがあった。
His dress was rich with a richness which would, in England, be looked upon as akin to bad taste.	召し物は豪奢だが、英国では悪趣味と見なされる類である。
Heavy bands of astrakhan were slashed across the sleeves and fronts of his double-breasted coat, while the deep blue cloak which was thrown over his shoulders was lined with flame-coloured silk and secured at the neck with a brooch which consisted of a single flaming beryl.	ダブル・コートの袖と襟にはアストラカン毛皮（※12）が広く付いていて、肩から羽織った濃紺のマントは裏地に炎（ほむら）色の絹を使い、首留めはきらびやかな緑柱石のブローチだった。
Boots which extended halfway up his calves, and which were trimmed at the tops with rich brown fur, completed the impression of barbaric opulence which was suggested by his whole appearance.	ふくらはぎの半分を包むブーツは、上部にふかふかした褐色の毛皮を施されていて、風采から醸し出される強引な豪華さを完璧なものにしていた。
He carried a broad-brimmed hat in his hand, while he wore across the upper part of his face, extending down past the cheekbones, a black vizard mask,	男は片手に鍔広の帽子を持ち、まびさし型の黒の覆面は顔の上半分を隠し、頬骨までに至っていた。
which he had apparently adjusted that very moment, for his hand was still raised to it as he entered.	どうも入室時に直したらしく、手はまだそこにあった。
From the lower part of the face he appeared to be a man of strong character, with a thick, hanging lip, and a long, straight chin suggestive of resolution pushed to the length of obstinacy.	顔の下半分から察するに、意志の強い男のようで、唇は厚くつり上がっており、下顎は長く通っていて、芯は曲げぬというような決意さえ感じさせた。
"You had my note?"	「手紙は見られましたな？」
he asked with a deep harsh voice and a strongly marked German accent.	と深く厳しい声、強いドイツ訛りで問いかける。
"I told you that I would call."	「来訪は連絡したはずだが、」
He looked from one to the other of us, as if uncertain which to address.	と、どちらに話したものかと思案した風に我々二人を比べ見た。
"Pray take a seat,"	「お掛けください。」
said Holmes.	とホームズ。
"This is my friend and colleague, Dr. Watson,	「こちらは我が友人でパートナーのワトソン博士。
who is occasionally good enough to help me in my cases.	時折、事件に助力してくれます。
Whom have I the honour to address?"	どなた様とお呼びすればよろしいですか？」
"You may address me as the Count Von Kramm,	「フォン・クラム伯爵とお呼び願おう。
a Bohemian nobleman.	ボヘミアの貴族だ。
I understand that this gentleman, your friend, is a man of honour and discretion, whom I may trust with a matter of the most extreme importance.	其方の友人たる紳士、かかる重要事をうち明けるに足る、まことに分別信義を備えた男であろうな？
If not, I should much prefer to communicate with you alone."	違うのであれば、其方一人に語るが良かろうかと存ずるが。」
I rose to go, but Holmes caught me by the wrist and pushed me back into my chair.	私は席を外そうとしたのだが、ホームズが腕を掴み、椅子に押し込んだのだ。
"It is both, or none,"	「二人でなければ、依頼はなかったことに。」
said he.	とホームズ。
"You may say before this gentleman anything which you may say to me."	「僕におっしゃってよいことは、この紳士の前でおっしゃっても何ら支障ありません。」
The Count shrugged his broad shoulders.	伯爵は広い肩をすくめる。
"Then I must begin,"	「まず断っておきたいのだが、
"by binding you both to absolute secrecy for two years;	二年間他言しないと約束されたい。
at the end of that time the matter will be of no importance.	その後は重要ではなくなるだろうが、
At present it is not too much to say that it is of such weight it may have an influence upon European history."	現時点、ヨーロッパの歴史に影響を及ぼしかねんと申しても、誇張はありますまいぞ。」
"I promise,"	「約束いたします。」
said Holmes.	とホームズ。
"And I."	「私も。」
"You will excuse this mask,"	「この覆面もお許し請う。」
continued our strange visitor.	と風変わりな客は話を続ける。
"The august person who employs me wishes his agent to be unknown to you, and I may confess at once that the title by which I have just called myself is not exactly my own."	「これは代理人を仰せつかわせたある高貴なお方のご希望であり、なお、実を申せば先ほど名乗った我が名も、本名ではあらぬ。」
"I was aware of it,"	「存じております。」
said Holmes dryly.	とホームズは冷ややかに言う。
"The circumstances are of great delicacy,	「事態は実に微妙である。
and every precaution has to be taken to quench what might grow to be an immense scandal and seriously compromise one of the reigning families of Europe.	どのような予防策を用いても、醜聞の種火が大きくなり、ヨーロッパのさる王室の名誉を毀損することを防がねばならぬ。
To speak plainly, the matter implicates the great House of Ormstein, hereditary kings of Bohemia."	飾らずに申すと、ボヘミア累代の王室、オルムシュタイン家が関与している事なのだ。」
"I was also aware of that,"	「それも存じております。」
murmured Holmes, settling himself down in his armchair and closing his eyes.	とホームズはささやくように答えると、安楽椅子に身を沈め、目をつむった。
Our visitor glanced with some apparent surprise at the languid, lounging figure of the man	我らの依頼人は驚きを隠せず、この物憂げに椅子に沈む男へ視線をやった。
who had been no doubt depicted to him as the most incisive reasoner and most energetic agent in Europe.	間違いなく、ホームズのことをヨーロッパ一切れる推理家で、活動的な私立探偵であると聞いて来たのであろう。
Holmes slowly reopened his eyes and looked impatiently at his gigantic client.	ホームズは緩やかに眼を開き、もどかしげに巨躯の依頼人を見た。
"If your Majesty would condescend to state your case,"	「陛下がご自身の事件を自らの口から語るのであれば、
"I should be better able to advise you."	僕も素晴らしい助言が出来ますものを。」
The man sprang from his chair and paced up and down the room in uncontrollable agitation.	男は椅子から立ち上がると、抑えきれぬ動揺のために部屋の中を行ったり来たりした。
Then, with a gesture of desperation, he tore the mask from his face and hurled it upon the ground.	やがて観念したような手つきで、顔から覆面をはぎ取り、床にたたきつけた。
"You are right,"	「いかにも。
"I am the King.	余は王である。
Why should I attempt to conceal it?"	どうして素性を偽ろうと企てたものか。」
"Why,	「どうして？
indeed?"	そうです。」
murmured Holmes.	とホームズは呟く。
"Your Majesty had not spoken before I was aware that I was addressing Wilhelm Gottsreich Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and hereditary King of Bohemia."	「陛下が一言もおっしゃらぬうちから、我が面前にあらせられるのは、ヴィルヘルム・ゴッツライヒ・ジギスモント・フォン・オルムシュタイン、つまりカッセル＝フェルシュタイン大公であり、ボヘミア累代の王であると存じておりました。」
"But you can understand,"	「しかし、わかっておろうな。」
said our strange visitor, sitting down once more and passing his hand over his high white forehead,	風変わりな客は再度椅子に腰掛け、広く白い額に手をかざす。
"you can understand that I am not accustomed to doing such business in my own person.	「わかっておろうな、余が直接参るというのは、ことのほか例外である。
Yet the matter was so delicate that I could not confide it to an agent without putting myself in his power.	しかれども、事はまことに微妙であるから、代理人をたてれば、弱みを握られたも同然である。
I have come incognito from Prague for the purpose of consulting you."	それゆえ余は其方に意見を求めようと、プラハ（※13）から微行で参ったのだ。」
"Then, pray consult,"	「それでは、お聞かせ願えますか。」
said Holmes, shutting his eyes once more.	とホームズは再び目をつむる。
"The facts are briefly these:	「事実を簡潔にするとこうだ。
Some five years ago, during a lengthy visit to Warsaw,	五年ほど遡る、余がワルシャワ（※14）に長期滞在したときのこと。
I made the acquaintance of the well-known adventuress, Irene Adler.	余はかの有名にして果断なる女、イレーナ・アードラーと親交を結んだのだ。
The name is no doubt familiar to you."	その名前こそご存じであろう。」
"Kindly look her up in my index, Doctor,"	「彼女の名を索引で調べてくれたまえ、博士。」
murmured Holmes without opening his eyes.	とホームズは目を開けずに呟いた。
For many years he had adopted a system of docketing all paragraphs concerning men and things, so that it was difficult to name a subject or a person on which he could not at once furnish information.	ホームズは多年にわたり、あらゆる人物や出来事にまつわる項目を要約した備忘録を作っているので、ほぼどんな情報でも即座に提供できるのであった。
In this case I found her biography sandwiched in between that of a Hebrew rabbi and that of a staff-commander who had written a monograph upon the deep-sea fishes.	索引を調べると、彼女の小伝は、ユダヤ教のラビ（※15）と深海魚関連の論文を書いた海軍中佐の間に挟まれていた。
"Let me see!"	「見せてくれたまえ。」
said Holmes.	とホームズ。
"Hum!	「ほぅ、
Born in New Jersey in the year 1858.	一八五八年アメリカのニュージャージィ州生まれ。
Contralto	コントラルト歌手（※16）、
--hum!	ほぅ。
La Scala, hum!	スカラ座出演、ほぅ。
Prima donna Imperial Opera of Warsaw--yes!	ワルシャワ帝国歌劇団のプリマドンナ、うむ。
Retired from operatic stage--ha!	歌劇界から引退、おや？
Living in London--quite so!	ロンドン在住、そういうことか。
Your Majesty, as I understand, became entangled with this young person, wrote her some compromising letters, and is now desirous of getting those letters back."	察するに陛下は、この若き女性と深いご関係になられ、不名誉なるお手紙をいくつかお送りになったので、今それらの手紙を取り戻したく願っておられる。」
"Precisely so.	「まさしくそうだが、
But how--"	いかにして……」
"Was there a secret marriage?"	「秘密裏に結婚でも？」
"None."	「あらぬ。」
"No legal papers or certificates?"	「法的に有効な書類、あるいは証書でも？」
"None."	「あらぬ。」
"Then I fail to follow your Majesty.	「それでは、陛下の危惧を察しかねます。
If this young person should produce her letters for blackmailing or other purposes, how is she to prove their authenticity?"	その若き女性が恐喝、その他の目的で手紙を使用したところで、いかにして本物と証明するものでありますか？」
"There is the writing."	「筆跡ではないか。」
"Pooh, pooh!	「模倣できますゆえ、
Forgery."	証拠不充分。」
"My private note-paper."	「私用の書簡せんだが。」
"Stolen."	「盗難。」
"My own seal."	「我が封緘では。」
"Imitated."	「偽造。」
"My photograph."	「余の写真だ。」
"Bought."	「購入。」
"We were both in the photograph."	「二人で撮った写真なのだ。」
"Oh, dear!	「なんと！
That is very bad!	まずうございます。
Your Majesty has indeed committed an indiscretion."	陛下は実に軽率なことをなさいました。」
"I was mad--insane."	「正気の沙汰ではなかったろう。」
"You have compromised yourself seriously."	「自分をおとしめることになりかねません。」
"I was only Crown Prince then.	「当時、余はほんの皇太子であった。
I was young.	若気の至りなのだ。
I am but thirty now."	今や三十になったが。」
"It must be recovered."	「奪還せねばなりませんね。」
"We have tried and failed."	「手を尽くしたが、失敗に終わったのだ。」
"Your Majesty must pay. It must be bought."	「陛下、お金で買い戻されるべきではありませんか。」
"She will not sell."	「頑として売るまい。」
"Stolen, then."	「盗まれては。」
"Five attempts have been made.	「五度試みた。
Twice burglars in my pay ransacked her house.	人を雇い、押し込んで家捜しをさせたのが二度。
Once we diverted her luggage when she travelled.	旅行中、荷物から目を離させようとしたのが一度。
Twice she has been waylaid.	道で待ち伏せをしたのが二度だ。
There has been no result."	いずれも成果はあげられなかったが。」
"No sign of it?"	「その形跡すら？」
"Absolutely none."	「まったくない。」
Holmes laughed.	ホームズは笑みをこぼし、
"It is quite a pretty little problem,"	「なんとも愛くるしい事件でございます。」
"But a very serious one to me,"	「余には深刻な問題であるぞ。」
returned the King reproachfully.	と王は非難がましく言い返した。
"Very, indeed.	「そうでしょうとも。
And what does she propose to do with the photograph?"	ところで彼女は写真を使ってどうするつもりなのですか？」
"To ruin me."	「余を破滅させるのだ。」
"But how?"	「して、どのように？」
"I am about to be married."	「余は近々婚姻を予定しておる。」
"So I have heard."	「そのようにうかがっております。」
"To Clotilde Lothman von Saxe-Meningen, second daughter of the King of Scandinavia.	「相手はクロティルド・ロトマン・フォン・ザクセ＝マイニンゲン、スカンディナヴィア王国の第二皇女である。
You may know the strict principles of her family.	かの王室の家憲が厳格なことは其方も存じておろう。
She is herself the very soul of delicacy.	王女自身の性格もまた、繊細そのものであるのだ。
A shadow of a doubt as to my conduct would bring the matter to an end."	余の品行にいささかの影あらば、事は終局へと進んでいくだろう。」
"And Irene Adler?"	「するとイレーナ・アードラーは。」
"Threatens to send them the photograph.	「写真を先方に送りつけると脅迫をな。
And she will do it.	あの女ならやりかねん。
I know that she will do it.	そのことは余がよく存じておる。
You do not know her, but she has a soul of steel.	知らぬであろうが、鉄の心を持つ女なのだ。
She has the face of the most beautiful of women, and the mind of the most resolute of men.	外見こそは美しい女性であるが、内に秘めたる心たるや、不屈の男であるぞ。
Rather than I should marry another woman, there are no lengths to which she would not go--none."	余が別の女と結婚するくらいなら、いかなる手段にでも訴え出るであろう……いかなる、な。」
"You are sure that she has not sent it yet?"	「写真はまだ手元にあると確信しておられますね。」
"I am sure."	「いかにも。」
"And why?"	「なにゆえですか？」
"Because she has said that she would send it on the day when the betrothal was publicly proclaimed.	「婚姻が公式発表になる日に送ると言いおったからな。
That will be next Monday."	発表は次の月曜に予定されておる。」
"Oh, then we have three days yet,"	「あぁ、では三日の猶予がございます。」
said Holmes with a yawn.	とホームズはあくびをする。
