The " Gloria Scott "	グロリア・スコット号
``You never heard me talk of Victor Trevor?''	「君は僕がビクター・トレヴォの話をしたのをきいたことがなかったかね？」
he asked.	彼はきいた。
``He was the only friend I made during the two years I was at college.	「その男は僕が大学にいた二年間に出来た、たった一人の友達だったのだ。
I was never a very sociable fellow, Watson, always rather fond of moping in my rooms and working out my own little methods of thought,	僕は決して社交家じゃなかったから、いつもむしろ自分の部屋の中にとじこもって、推理方法の研究を積むことを好んでいた。
so that I never mixed much with the men of my year.	だから僕は決して自分と同年輩のものとつき合ったことはなかったよ。
Bar fencing and boxing I had few athletic tastes, and then my line of study was quite distinct from that of the other fellows, so that we had no points of contact at all.	棒剣術だとかボキシングだとか云うようなものにもほとんど興味がなかったし、従って研究していること柄が、他の連中とは全く違っていて、全然接触する点なんかなかったのだ。
Trevor was the only man I knew,	しかしそうした中にあって、僕が知り合いになったのはトレヴォだけだったんだ。
and that only through the accident of his bull terrier freezing on to my ankle one morning as I went down to chapel.	しかもそれも、ある朝、教会へ出かけて行く途中で、彼のブルテリヤが僕の踝（くるぶし）にかじりついてね、そんな偶然な出来事からだったんだ。
``It was a prosaic way of forming a friendship, but it was effective.	それは友情なんかの出来る経路としちゃ、殺風景な話だが、しかしそれだけに深かったんだね。
I was laid by the heels for ten days,	――僕は犬にかまれたおかげで十日ばかり寝ちまったのだ。
and Trevor used to come in to inquire after me.	するとトレヴォは始終容態をたずねに来てくれるんだ。
At first it was only a minute's chat but soon his visits lengthened, and before the end of the term we were close friends.	それも初めのうちは二三分話して行くにすぎなかったけれど、まもなく長くなって、足が直る頃までには僕たちはすっかり仲よしになっちまったんだ。
He was a hearty, full-blooded fellow, full of spirits and energy,	――トレヴォは真心のある熱情漢で、元気と勢力とに満ち満ちていた。
the very opposite to me in most respects,	すべての点で僕とは全く反対だった。
but we had some subjects in common,	けれど僕たちは何か共通な所があるような気がした。
and it was a bond of union when I found that he was as friendless as I.	そして彼もまた私と同じように友達がないのだと云うことが分かった時、それが更に二人を結ぶ絆となったわけだ。
Finally he invited me down to his father's place at Donnithorpe, in Norfolk,	――彼はとうとう僕をノルフォーク州のドンニソープにある彼の父親の家に、僕を招待してくれた。
and I accepted his hospitality for a month of the long vacation.	そして私は長い休暇に一ヶ月の間、彼の厄介になったものだ。
``Old Trevor was evidently a man of some wealth and consideration, a J. P., and a landed proprietor.	彼の父親のトレヴォは、幾らか財産も名誉もある男で、治安判事で地主でもあった。
Donnithorpe is a little hamlet just to the north of Langmere, in the country of the Broads.	このドンニソープと云う町は、ブロートの田舎、ラングメルの北方にある小さな村なんだ。
The house was an old-fashioned, widespread, oak-beamed brick building, with a fine lime-lined avenue leading up to it.	彼の父の家と云うのは、古風な広い樫の梁をもった煉瓦造りで、玄関までずっと、見事なしなの木の並木がつづいていた。
There was excellent wild-duck shooting in the fens, remarkably good fishing, a small but select library, taken over, as I understood, from a former occupant, and a tolerable cook,	池の中ではたくさんのあひるが鳴いていたし、見事に育った魚もたくさんいたし、家の中には、私の想像ではたぶん先代から受けついだものだろうと思うのであるが、ちょっとした文庫もあり、お料理も決してまずくはなかった。
so that he would be a fastidious man who could not put in a pleasant month there.	だからよほど気むずかしい男でない限り、そこで愉快に一ヶ月暮すことは何でもないことだった。
``Trevor senior was a widower, and my friend his only son.	トレヴォの父親は男やもめで、私の友達は彼の独り息子だったのだ。
``There had been a daughter, I heard, but she had died of diphtheria while on a visit to Birmingham.	もっとも私のきいた所によると娘さんが一人あったんだそうだが、バーミングハムへいった時、ジフテリアで死んじまったのだそうだ。
The father interested me extremely.	――この父親と云う人に、大変、僕は興味を持った。
He was a man of little culture, but with a considerable amount of rude strength, both physically and mentally.	彼は余り学問はしていなかったが、しかし肉体的にも精神的にも素晴らしい原始的な力を持っていた。
He knew hardly any books, but he had travelled far, had seen much of the world, and had remembered all that he had learned.	彼はほとんど、どんな本も読んではいなかったけれど、方々へ旅行し、世界のいろんな所を見聞し、そうして一度見たり聞いたりしたことはみんなちゃんと覚えていた。
In person he was a thick-set, burly man with a shock of grizzled hair, a brown, weather-beaten face, and blue eyes which were keen to the verge of fierceness.	外見は頑丈な逞しく太った男で、灰色の頭の毛を生えるままにしておいて、日光にやけた赫ら顔で、碧い眼は、狂暴に近くさえ見えるほどに鋭かった。
Yet he had a reputation for kindness and charity on the countryside, and was noted for the leniency of his sentences from the bench.	しかも彼はその田舎地方では、慈悲心と親切心とで有名であり、彼の判事席からかける言葉のやさしいことは、周知の所だったのだ。
``One evening, shortly after my arrival, we were sitting over a glass of port after dinner,	僕がそこへいってからまもなくある夕方のこと僕たちはお夕飯後に葡萄酒を飲みながら腰かけていた。
when young Trevor began to talk about those habits of observation and inference which I had already formed into a system,	と、その時トレヴォの息子は、僕が既に系統立ててあった、僕のこんな探偵的な観察や推理の癖について話しだしたんだ。
although I had not yet appreciated the part which they were to play in my life.	もっとも僕はその時まだ一度も、それらを実際に応用しためしてみたことはなかったのだけれど。
The old man evidently thought that his son was exaggerating in his description of one or two trivial feats which I had performed.	――ところが、老人は明かに、彼の息子が、僕のしたつまらない一つか二つの功績の話を、誇張して話しているんだとでも思ったのだね。
```Come, now, Mr. Holmes,'	「じゃ、ホームズ君」
said he, laughing good-humouredly.	と、彼はニコニコ笑いながら云うんだ。
`I'm an excellent subject, if you can deduce anything from me.'	「私は大事件にぶつかっとるんじゃが、それがどんなことか分かるかね」
```I fear there is not very much,'	「うまく当らないかもしれませんよ」
I answered.	と僕は答えた。
`I might suggest that you have gone about in fear of some personal attack within the last twelvemonth.'	「この一年間のあいだ、あなたは誰かに襲われやしないかと云う恐怖をお持ちになっていたと思いますが」
``The laugh faded from his lips, and he stared at me in great surprise.	と、彼の唇からは笑いが消えてなくなり、彼はひどく驚いて僕の顔をじっと見詰めたのだ。
```Well,	「そうです。
that's true enough,'	その通りです」
said he.	彼は答えた。
`You know, Victor,'	「ヴクトウ、お前は知っとるじゃろう」
turning to his son,	と、彼の息子のほうを見ながら
`when we broke up that poaching gang they swore to knife us,	「あの密猟者隊を解散させた時、あいつ等が私を殺ろすと云ったのを。
and Sir Edward Holly has actually been attacked.	――そうしてエドワード・ホビー君は本当にやられたのじゃ。
I've always been on my guard since then,	だから私はそれ以来、常に自分の身を用心しとる。
though I have no idea how you know it.'	――だが、君はどうしてそれが分かったのかね」
```You have a very handsome stick,'	「あなたは実に素晴らしいステッキを持ってらっしゃるじゃありませんか」
I answered.	僕は答えた。
`By the inscription I observed that you had not had it more than a year.	「僕はそこにある銘刻を見て、まだそれはあなたがお持ちになって一年とはたたないと思ったのです。
But you have taken some pains to bore the head of it and pour melted lead into the hole so as to make it a formidable weapon.	だがあなたはそのステッキの頭に穴をおあけになって、それを頑丈な武器にお作りになるため、その穴の中に鉛をおつぎ込みになるには、ずいぶんお骨折りになったでしょう。
I argued that you would not take such precautions unless you had some danger to fear.'	――そんなわけで、もしあなたが何か身に危険を持っていらっしゃらない限り、そんな御用心をなさるわけはないと思ったのです」
```Anything else?'	「それからまだほかには？」
he asked, smiling.	彼は笑いながらきいた。
'' `You have boxed a good deal in your youth.'	「あなたはお若い頃に、かなりはげしくボキシングをなさった」
```Right again.	「それも君の云う通りじゃ。
How did you know it?	――どうしてそれが分かったかね？
Is my nose knocked a little out of the straight?'	私の鼻すじでも少しねじれとるからね？」
```No,'	「いいえ、そうじゃありません」
said I.	僕は云ったよ。
`It is your ears.	「あなたのお耳です。
They have the peculiar flattening and thickening which marks the boxing man.'	それはボキシングをやる人特有の、独特な平たさと薄さとを持っていますよ」
```Anything else?'	「それからまだほかには？」
'' `You have done a good deal of digging	「あなたは鉱山で採鉱をかなりなすった。
by your callosities.'	その手のタコで分かります」
```Made all my money at the gold fields.'	「私は私の財産は金鉱でつくったのです」
'' `You have been in New Zealand.'	「ニュウジーランドにいらしったことがおありでしょう」
```Right again.'	「それもその通りじゃ」
'' `You have visited Japan.'	「日本へいらしったでしょう」
```Quite true.'	「行きました」
'' `And you have been most intimately associated with someone whose initials were J. A.,	「それからあなたは、頭文字がＪ・Ａと云う方と、非常に近しくなすっていらっしゃったでしょう。
and whom you afterwards were eager to entirely forget.'	そうしてその後あなたは、その方のことはほとんどお忘れになっていらしった」
``Mr. Trevor stood slowly up, fixed his large blue eyes upon me with a strange wild stare,	トレヴォ氏は静かに立ち上って彼の大きな碧い両眼を、不思議そうに僕の上に注いだ。
and then pitched forward, with his face among the nutshells which strewed the cloth, in a dead faint.	が、やがて、彼は気が遠くなったもののように、バタと前へのめって、そこに出してあった胡桃（くるみ）の中に顔を突っ込んだ。
``You can imagine, Watson, how shocked both his son and I were.	その時、彼の息子と僕とは、どんなにびっくりしたか分かるだろう。
His attack did not last long, however,	――けれどこの激動はまもなくなおった。
-- for when we undid his collar and sprinkled the water from one of the finger-glasses over his face, he gave a gasp or two and sat up.	僕たちが彼のカラーをはずしてコップから水を彼の顔の上にふきかけてやると、一二度呼吸をひいていたが、やがて起き上った。
```Ah, boys,'	「ああ、お前たち！」
said he, forcing a smile,	彼は無理に笑いながら云った。
`I hope I haven't frightened you.	「もう大丈夫だから安心して下さい。
Strong as I look, there is a weak place in my heart,	――私は強そうに見えて、心に弱い所があるのですな。
and it does not take much to knock me over.	でも、私の命をとるほどではないのです。
I don't know how you manage this, Mr. Holmes, but it seems to me that all the detectives of fact and of fancy would be children in your hands.	――ホームズ君、私は君がどうしてこれを推論されたのか知らんのじゃが、しかし君にはこんな事の探偵は、なんでもないことのように私には見えるのう。
That's your line of life, sir,	――あなたはその方面をおやりなさるがよい。
and you may take the word of a man who has seen something of the world.'	そうすればきっとあなたは何かを発見なすって、世界的な人物になれますぞ――」
``And that recommendation, with the exaggerated estimate of my ability with which he prefaced it, was, if you will believe me, Watson, the very first thing which ever made me feel that a profession might be made out of what had up to that time been the merest hobby.	そうして実に、ワトソン、この時彼に無暗（むやみ）に私の才能をほめ上げられたことが、それまでは道楽にやっていた仕事を、これは商売になるかなと思わせられるようになった、そもそも最初の原因だったのさ。
At the moment, however, I was too much concerned at the sudden illness of my host to think of anything else.	けれど無論その時は、私はその家の主人の急病で夢中だったから、そんな他のことなどは考える所じゃなかったのだ。
```I hope that I have said nothing to pain you?'	「僕はあなたをこんなにお苦しませするようなことは、何も云うつもりはなかったのです」
said I.	僕は云った。
```Well, you certainly touched upon rather a tender point.	「いやいや、君はかえって僕をなぐさめてくれているんだよ。
Might I ask how you know, and how much you know?'	――それより、どうして君はそれが分かったか、またどのくらいの程度まで分かってるのか話してくれんかね」
He spoke now in a half-jesting fashion,	彼は冗談半分にまぎらせながら云った。
but a look of terror still lurked at the back of his eyes.	けれども彼の眼の蔭には恐怖の色がありありとひそめられていた。
```It is simplicity itself,'	「ごく簡単なんです」
said I.	僕は云った。
`When you bared your arm to draw that fish into the boat I saw that J. A. had been tattooed in the bend of the elbow.	「あなたが魚をボートの中に引上げようとして腕をおまくりになった時、僕はあなたの肱の所にＪ・Ａと刺青（いれずみ）してあるのを見たんです。
The letters were still legible,	その字は今でも読めます。
but it was perfectly clear from their blurred appearance, and from the staining of the skin round them, that efforts had been made to obliterate them.	けれども字をブルブルさせて分からないようにしてあったり、その字の周囲の皮膚を汚してあったりしてある所から見ると、確かにそれを消してしまおうとなすったことがハッキリ分かります。
It was obvious, then, that those initials had once been very familiar to you, and that you had afterwards wished to forget them.'	そこで、それらの頭文字は、かつてはあなたに大変親しい方であったが、後にはそれを忘れようとなすったと云うことが明かになります」
```What an eye you have!'	「君は何と云う眼を持ってるんだ」
he cried with a sigh of relief.	と彼は、幾分ホッとしたような溜いきをついて云った。
`It is just as you say.	「君の云う通りじゃ。
But we won't talk of it.	だが、私はその話をするのはいやじゃ。
Of all ghosts the ghosts of our old loves are the worst.	この世のすべての幽霊の中でも、私の過去の恋の幽霊は最も悪い幽霊じゃ。
Come into the billiard-room	玉突部屋へ行こう。
and have a quiet cigar.'	そしてゆっくり煙草でも吸いながら話そう」
``From that day, amid all his cordiality, there was always a touch of suspicion in Mr. Trevor's manner towards me.	その日から、トレヴォ氏の私に対する態度は、親切でありながら、その中に何か常に疑惑の目を含ませてあるようになった。
Even his son remarked it.	彼の息子さえそれを認めたくらいなんだ。
`You've given the governor such a turn,'	「君は僕の親じの態度をかえさせちまったねえ」
said he,	と彼は云った。
`that he'll never be sure again of what you know and what you don't know.'	「親じはもう君には何もきかんよ」
He did not mean to show it,	彼はその理由は説明しなかった。
I am sure, but it was so strongly in his mind that it peeped out at every action.	しかし私の言葉が、彼の父親の心を強く打ったことは、彼の父親の行動の一つ一つに現れているのを見ても確かだった。
At last I became so convinced that I was causing him uneasiness that I drew my visit to a close.	そうして遂に、私は彼の父親の不安の原因になっていると云うことが分かったので、もうそろそろそこから引き上げようと思った。
On the very day, however, before I left, an incident occurred which proved in the sequel to be of importance.	ところが、ちょうど、私が帰る前日のこと、後になって非常に重大事件を引き起こした所の、ある出来ごとが持ち上ったんだ。
``We were sitting out upon the lawn on garden chairs, the three of us, basking in the sun and admiring the view across the Broads,	僕たち三人は、庭の芝生の上の椅子に腰かけて、沈み行く太陽を眺めながら、広々としたそこからの眺望を楽しんでいた。
when a maid came out to say that there was a man at the door who wanted to see Mr. Trevor.	と、その時女中が来て、トレヴォ氏に会いたいと云う人が玄関に来ていると知らせた。
```What is his name?'	「何と云う名前じゃ？」
asked my host.	その家の主人はたずねた。
'' `He would not give any.'	「何ともおっしゃらないのでございます」
```What does he want, then?'	「なんだって云わないのじゃ？」
'' `He says that you know him,	「あなたが御存じだ［＃「だ」は底本では「た」］と云っております。
and that he only wants a moment's conversation.'	そしてただ、ちょっとお話したいんだって」
```Show him round here.'	「こっちへ通してくれ」
An instant afterwards there appeared a little wizened fellow with a cringing manner and a shambling style of walking.	しばらくすると、おどおどした様子の、小さな干からびたような男が、足を引きずって歩きながらそこに現れた。
He wore an open jacket, with a splotch of tar on the sleeve, a red-and-black check shirt, dungaree trousers, and heavy boots badly worn.	その男は袖に一ぱいコールタールの汚点のついた、赤と黒との市松模様になった胸のあいたジャケツを着て、水兵ズボンをつけ、ぼろぼろに破れた重そうな靴をはいていた。
His face was thin and brown and crafty, with a perpetual smile upon it, which showed an irregular line of yellow teeth,	彼の顔は痩せて日にやけてずるそうで、ニヤニヤ始終笑って、不揃な黄色い歯を見せていた。
and his crinkled hands were half closed in a way that is distinctive of sailors.	そして皺だらけの腕は、船乗り独特のやり方で、半分だけ組んでいた。
As he came slouching across the lawn I heard Mr. Trevor make a sort of hiccoughing noise in his throat,	その男が芝生を横切って僕たちのほうへ近寄って来た時、僕はトレヴォ氏が咽喉（のど）の中で、あッと云うようなシャックリをする時のような声を出したのを耳にした。
and, jumping out of his chair, he ran into the house.	そして彼は椅子から立ち上ると、家の中に走り込んだ。
He was back in a moment, and I smelt a strong reek of brandy as he passed me.	が、すぐ引き返して来た彼が、僕の側（そば）を通る時、僕は強いブランデーの臭いをかいだのだ。
```Well, my man,'	「おい、君」
said he.	と、彼は云った。
`What can I do for you?'	「どうしろと云うんだい？」
``The sailor stood looking at him with puckered eyes, and with the same loose-lipped smile upon his face.	船乗りは立ち止って、じっと目を据え、同じようにだらしなく口をひらいてニヤニヤ笑いながら、彼を見詰めた。
```You don't know me?'	「俺を忘れたかね？」
he asked.	彼は云った。
'' `Why, dear me,	「何を云うんだ、おい。
it is surely Hudson,'	ハドソンじゃないか」
said Mr. Trevor in a tone of surprise.	トレヴォ氏は驚いたような口調で云った。
```Hudson it is,	「ハドソンだよ。
sir,'	檀那」
said the seaman.	船乗りは云った。
`Why, it's thirty year and more since I saw you last.	「三十年、もっとにもなるな、お前さんに別れてから。
Here you are in your house, and me still picking my salt meat out of the harness cask.'	お前はこうやって今じゃお前の家にいるが、おいらまだ塩漬樽の中から、塩臭え肉をつまみ出して喰ってるのよ」
```Tut,	「チェッ。
you will find that I have not forgotten old times,'	君は、僕が昔のことを忘れとりアせんと云うことが分かったろう」
cried Mr. Trevor, and, walking towards the sailor,	トレヴォ氏は船乗りのほうへ歩いて行きながら叫んだ。
he said something in a low voice.	そして何か低い声でささやいた。
`Go into the kitchen,'	「台所へ行きたまえ」
he continued out loud,	それから大きな声で続けた。
`and you will get food and drink.	「そして充分食べたり飲んだりしたまえ。
I have no doubt that I shall find you a situation.'	何か君の仕事をきっとさがしてやるよ」
```Thank you, sir,'	「有難えなア、檀那」
said the seaman, touching his forelock.	船乗りは頭をかきながら云った。
`I'm just off a two-yearer in an eight-knot tramp, short-handed at that, and I wants a rest.	「ひょいと考えなしに荷物船に乗っかって、三年余り突っ走っちゃったもんでね、おいらぐっすり休みてえんでさあ。
I thought I'd get it either with Mr. Beddoes or with you.'	で、お前さんとこか、ベドウスの所か、どっちかへ行こうと思ってね」
```Ah!'	「あ、君はベドウスがどこにいるか知ってるのか？」
cried Mr. Trevor.	トレヴォ氏は叫んだ。
```Bless you, sir, I know where all my old friends are,'	「知ってますとも、お前さん、おいら古い友達のいる所はみんな知ってまさあ」
said the fellow with a sinister smile,	その男は皮肉な笑いを浮べながら答えた。
and he slouched off after the maid to the kitchen.	そして女中に連れられて台所のほうへ足をひきずりながら歩いて行った。
Mr. Trevor mumbled something to us about having been shipmate with the man when he was going back to the diggings, and then, leaving us on the lawn, he went indoors.	トレヴォ氏は僕たちに、鉱山へ行く途中、その男と一しょに船乗りをしていたのだと、曖昧なことを云ってから、僕たちを芝生に残したまま、家の中に這入っていってしまった。
An hour later, when we entered the house, we found him stretched dead drunk upon the dining-room sofa.	それからちょうど一時間ばかり後、僕たちが家の中に這入って行くと、例の男はグデグデに酔っ払って食堂のソファーの上につぶれていた。
The whole incident left a most ugly impression upon my mind,	――こうした事件は、僕の心の上に一番いやな印象をやきつけた。
and I was not sorry next day to leave Donnithorpe behind me,	で僕は、その翌日、断然ダンニソープを引き上げることにした。
for I felt that my presence must be a source of embarrassment to my friend.	なぜなら僕のいることが、僕の友達を困らすことになりはしないかと思ったからだ。
``All this occurred during the first month of the long vacation.	こうした事件はみんな、永い休暇の最初の月の間に持ち上ったのだ。
I went up to my London rooms, where I spent seven weeks working out a few experiments in organic chemistry.	僕はロンドンの自分の部屋に帰って来て、それから七週間ばかり、組織化学の実験を少しばかりやって暮した。
One day, however, when the autumn was far advanced and the vacation drawing to a close, I received a telegram from my friend imploring me to return to Donnithorpe,	と、秋が近くなり、休みが終りに近づいたある日、僕は、僕の友達から、ダンニソープへ来てくれと云う電報を受取ったんだ。
and saying that he was in great need of my advice and assistance.	そしてそれには僕の援助がぜひ欲しいと書いてあるんだ。
Of course I dropped everything and set out for the North once more.	無論僕は一切を放擲して再びダンニソープに向けて出発したさ。
``He met me with the dog-cart at the station, and I saw at a glance that the last two months had been very trying ones for him.	彼は二輪馬車を以って停車場に迎えに来ていてくれたが、僕は一目見るなり、この二ヶ月の間に、彼はいろいろな大事件にぶつかったな、と云うことがすぐ分かった。
He had grown thin and careworn, and had lost the loud, cheery manner for which he had been remarkable.	彼は痩せて、憂欝になって、誰も知らないもののなかった彼のほがらかな愉快な様子は全く失われていた。
```The governor is dying,'	「親じが死にそうなんだ」
were the first words he said.	彼が云った最初の言葉はこれだった。
```Impossible!'	「そんなことはあるものか」
I cried.	僕は叫んだ。
`What is the matter?'	「どうしたって云うんだい？」
```Apoplexy.	「卒中。
Nervous shock.	――神経性虚脱だ。
He's been on the verge all day.	――一日中昏睡状態なんだ。
I doubt if we shall find him alive.'	とてももうだめだろうと思ってるんだ」
``I was, as you may think, Watson, horrified at this unexpected news.	僕は、ワトソン、君も想像してくれるだろうが、この思いがけない話をきいて、全く驚いちまったよ。
```What has caused it?'	「一体何が原因なんだい？」
I asked.	僕はきいた。
'' `Ah, that is the point.	「ああ、問題はそれなんだよ。
Jump in	――まあ、乗りたまえ。
and we can talk it over while we drive.	馬車の中で話せるから。
You remember that fellow who came upon the evening before you left us?'	――ホウ、君は、君が帰る前の日の夕方、やって来た男を覚えているだろう？」
```Perfectly.'	「ああ、覚えている」
'' `Do you know who it was that we let into the house that day?'	「あの日、僕たちの家に入れてやったあの男を、君は何ものだと思うね？」
```I have no idea.'	「分からないね」
'' `It was the devil, Holmes,'	「彼奴（かやつ）は悪魔なんだよ、ホームズ」
he cried.	彼は叫んだ。
``I stared at him in astonishment.	僕は驚いて彼を見詰めた。
'' `Yes,	「そうなんだ。
it was the devil himself.	――彼奴（かやつ）は悪魔そのものなんだ。
We have not had a peaceful hour since -- not one.	あれ以来と云うもの、僕たちはただの一日だって、平和だったことはありアしないんだ。
The governor has never held up his head from that evening,	親じはあの夕方以来、頭を上げたことがないんだ。
and now the life has been crushed out of him	そして今や、命をなくそうとしている。
and his heart broken, all through this accursed Hudson.'	親じの心はこの呪うべきハドソンのおかげですっかり滅茶々々になってしまったんだ」
```What power had he, then?'	「どんな力を彼奴（かやつ）は持ってるんだろう？」
'' `Ah, that is what I would give so much to know.	「それこそ、僕が知りたいと思ってることなんだよ。
The kindly, charitable good old governor	――ああ、あの親切な、情深い、人のよかった老いた親じ。
-- how could he have fallen into the clutches of such a ruffian!	――一体、どうしてあの親じが、あんな無頼漢につかまったんだろう？
But I am so glad that you have come,	――だが、僕は君が来てくれたので本当に嬉しいよ。
Holmes.	ホームズ。
I trust very much to your judgment and discretion,	――僕は君の判断と分別とに絶対信頼しているんだ。
and I know that you will advise me for the best.'	そして君は僕に、きっと一番いい方法を教えてくれるだろうと信じているんだよ」
``We were dashing along the smooth white country road,	僕たちは滑らかな白い田舎道を走っていった。
with the long stretch of the Broads in front of us glimmering in the red light of the setting sun.	僕たちの前には、広い川の長々と延びた流れを越して、沈みかかった太陽の赤い光りが輝いていた。
From a grove upon our left I could already see the high chimneys and the flagstaff which marked the squire's dwelling.	僕たちの左手（ゆんで）にある森の上には、もう大地主であるトレヴォの家の高い煙突と旗竿とが見えていた。
```My father made the fellow gardener,'	「僕の父親は奴を庭番にしたんだよ」
-- said my companion, '	と友達は云った。
and then, as that did not satisfy him, he was promoted to be butler.	「だが奴（やっこ）さんそれでは満足しなかったので、賄方（まかないがた）に出世させてもらったんだ。
The house seemed to be at his mercy,	まるで家の中は彼奴（かやつ）の思うように左右されてるようなものなんだ。
and he wandered about and did what he chose in it.	彼奴（かやつ）は家の中をぶらぶら歩き廻って、何でも自分勝手な事をしてしまうんだよ、
The maids complained of his drunken habits and his vile language.	女中たちは彼奴（かやつ）の酔っ払らいと乱暴な言葉使いに腹を立ててブツブツ云う。
The dad raised their wages all round to recompense them for the annoyance.	親じは仕方なしに、その不平を押えるためにみんなの月給を上げてやると云う始末なのだ。
The fellow would take the boat and my father's best gun and treat himself to little shooting trips.	それなのに奴さんは、ボートを引っぱり出し、親じの一番いい鉄砲を持ち出して、打ちに出かけるんだ。
And all this with such a sneering, leering, insolent face that I would have knocked him down twenty times over if he had been a man of my own age.	しかもそう云う我が儘を、何んだか人を小馬鹿にしたような、いかにも意地の悪そうに見える横柄な顔をしてやるんじゃないか、僕はもし彼奴（かやつ）が、僕と同年輩ぐらいの男だったら、もう二十度は叩きのめしてやってるんだ。
I tell you, Holmes, I have had to keep a tight hold upon myself all this time and now I am asking myself whether, if I had let myself go a little more, I might not have been a wiser man.	けれどホームズ、僕はこうした出来事のある間、じっと辛抱していた、そして自分が進んで何かことを起こすのは、悧巧（りこう）なことじゃないのだろうかどうかと、始終迷っていたんだ。
``' Well, matters went from bad to worse with us,	ところが事態は、ますます悪くなって行くんだ。
and this animal Hudson became more and more intrusive, until at last, on his making some insolent reply to my father in my presence one day,	この獣（けだもの）のような男のハドソンは、ますます出しゃばるようになって来て、とうとうしまいには、ある日のこと僕の目の前で僕の父親に傲慢な乱暴なことを云ったんだ。
I took him by the shoulders and turned him out of the room.	で僕はむっとして、彼奴（かやつ）の肩をひっ掴むと、部屋から外へほうり出してやったんだよ。
He slunk away with a livid face and two venomous eyes which uttered more threats than his tongue could do.	すると彼奴（かやつ）は、真蒼な顔をして、毒々しい両眼にびっくりしたらしい表情を浮べて、ものも云わずに逃げてってしまったんだ。
I don't know what passed between the poor dad and him after that, but the dad came to me next day and asked me whether I would mind apologizing to Hudson.	が、それからあとで、僕の哀れな親じと彼奴（かやつ）との間に、どんな交渉があったか知らないけれど、翌日親じは僕の所へやって来て、彼奴（かやつ）に詫びてくれるかどうかと云うんだ。
I refused, as you can imagine,	無論君の想像通り断ったんだよ。
and asked my father how he could allow such a wretch to take such liberties with himself and his household.	そして僕は親じに、どうしてああ云う無頼漢に、親じに対してもまた家庭の内ででも、こんなに勝手なことをさせておくのかときいてみたんだ。
``''' Ah, my boy, ``	「ああ、お前！」
said he,''	と親じは云った。
it is all very well to talk,	「話してしまえば、それが一番いいんじゃ。
but you don't know how I am placed.	しかしお前は私がどんな立場にいるか知らんのじゃ、
But you shall know,	だが、今に話してやろう。
