BOTCHAN (MASTER DARLING)	坊っちゃん
Nevertheless he had the temerity to come over the fence to our yard and steal my chestnuts.	弱虫の癖（くせ）に四つ目垣を乗りこえて、栗を盗（ぬす）みにくる。
One certain evening I hid myself behind a folding-gate of the fence and caught him in the act.	ある日の夕方折戸（おりど）の蔭（かげ）に隠（かく）れて、とうとう勘太郎を捕（つら）まえてやった。
Having his retreat cut off he grappled with me in desperation.	その時勘太郎は逃（に）げ路（みち）を失って、一生懸命（いっしょうけんめい）に飛びかかってきた。
He was about two years older than I,	向（むこ）うは二つばかり年上である。
and, though weak-kneed, was physically the stronger.	弱虫だが力は強い。
While I wallopped him, he pushed his head against my breast and by chance it slipped inside my sleeve.	鉢（はち）の開いた頭を、こっちの胸へ宛（あ）ててぐいぐい押（お）した拍子（ひょうし）に、勘太郎の頭がすべって、おれの袷（あわせ）の袖（そで）の中にはいった。
As this hindered the free action of my arm, I tried to shake him loose, though, his head dangled the further inside,	邪魔（じゃま）になって手が使えぬから、無暗に手を振（ふ）ったら、袖の中にある勘太郎の頭が、右左へぐらぐら靡（なび）いた。
and being no longer able to stand the stifling combat, he bit my bare arm.	しまいに苦しがって袖の中から、おれの二の腕（うで）へ食い付いた。
It was painful.	痛かったから
I held him fast against the fence, and by a dexterous foot twist sent him down flat on his back.	勘太郎を垣根へ押しつけておいて、足搦（あしがら）をかけて向うへ倒（たお）してやった。
Kantaro broke the fence and as the ground belonging to Yamashiro-ya was about six feet lower than the vegetable yard, he fell headlong to his own territory with a thud.	山城屋の地面は菜園より六尺がた低い。
As he rolled off he tore away the sleeve in which his head had been enwrapped, and my arm recovered a sudden freedom of movement.	勘太郎が落ちるときに、おれの袷の片袖がもげて、急に手が自由になった。
That night when my mother went to Yamashiro-ya to apologize, she brought back that sleeve.	その晩母が山城屋に詫（わ）びに行ったついでに袷の片袖も取り返して来た。
Besides the above, I did many other mischiefs.	この外いたずらは大分やった。
With Kaneko of a carpenter shop and Kaku of a fishmarket, I once ruined a carrot patch of one Mosaku.	大工の兼公（かねこう）と肴屋（さかなや）の角（かく）をつれて、茂作（もさく）の人参畠（にんじんばたけ）をあらした事がある。
The sprouts were just shooting out and the patch was covered with straws to ensure their even healthy growth.	人参の芽が出揃（でそろ）わぬ処（ところ）へ藁（わら）が一面に敷（し）いてあったから、
Upon this straw-covered patch, we three wrestled for fully half a day, and consequently thoroughly smashed all the sprouts.	その上で三人が半日相撲（すもう）をとりつづけに取ったら、人参がみんな踏（ふ）みつぶされてしまった。
Also I once filled up a well which watered some rice fields owned by one Furukawa, and he followed me with kicks.	古川（ふるかわ）の持っている田圃（たんぼ）の井戸（いど）を埋（う）めて尻（しり）を持ち込まれた事もある。
The well was so devised that from a large bamboo pole, sunk deep into the ground, the water issued and irrigated the rice fields.	太い孟宗（もうそう）の節を抜いて、深く埋めた中から水が湧（わ）き出て、そこいらの稲（いね）にみずがかかる仕掛（しかけ）であった。
Ignorant of the mechanical side of this irrigating method at that time, I stuffed the bamboo pole with stones and sticks, and satisfied that no more water came up, I returned home and was eating supper when Furukawa, fiery red with anger, burst into our house with howling protests.	その時分はどんな仕掛か知らぬから、石や棒（ぼう）ちぎれをぎゅうぎゅう井戸の中へ挿（さ）し込んで、水が出なくなったのを見届けて、うちへ帰って飯を食っていたら、古川が真赤（まっか）になって怒鳴（どな）り込んで来た。
I believe the affair was settled on our paying for the damage.	たしか罰金（ばっきん）を出して済んだようである。
Father did not like me in the least,	おやじはちっともおれを可愛（かわい）がってくれなかった。
and mother always sided with my big brother.	母は兄ばかり贔屓（ひいき）にしていた。
This brother's face was palish white, and he had a fondness for taking the part of an actress at the theatre.	この兄はやに色が白くって、芝居（しばい）の真似（まね）をして女形（おんながた）になるのが好きだった。
"This fellow will never amount to much," father used to remark when he saw me.	おれを見る度にこいつはどうせ碌（ろく）なものにはならないと、おやじが云った。
"He's so reckless that I worry about his future, " I often heard mother say of me.	乱暴で乱暴で行く先が案じられると母が云った。
Exactly; I have never amounted to much.	なるほど碌なものにはならない。
I am just as you see me;	ご覧の通りの始末である。
no wonder my future used to cause anxiety to my mother.	行く先が案じられたのも無理はない。
I am living without becoming but a jailbird.	ただ懲役（ちょうえき）に行かないで生きているばかりである。
Two or three days previous to my mother's death, I took it into my head to turn a somersault in the kitchen, and painfully hit my ribs against the corner of the stove.	母が病気で死ぬ二三日（にさんち）前台所で宙返りをしてへっついの角で肋骨（あばらぼね）を撲（う）って大いに痛かった。
Mother was very angry at this and told me not to show my face again, so I went to a relative to stay with.	母が大層怒（おこ）って、お前のようなものの顔は見たくないと云うから、親類へ泊（とま）りに行っていた。
While there, I received the news that my mother's illness had become very serious, and that after all efforts for her recovery, she was dead.	するととうとう死んだと云う報知（しらせ）が来た。
I came home thinking that I should have behaved better if I had known the conditions were so serious as that.	そう早く死ぬとは思わなかった。
Then that big brother of mine denounced me as wanting in filial piety, and that I had caused her untimely death.	そうしたら例の兄がおれを親不孝だ、おれのために、おっかさんが早く死んだんだと云った。
Mortified at this, I slapped his face, and thereupon received a sound scolding from father.	口惜（くや）しかったから、兄の横っ面を張って大変叱（しか）られた。
After the death of mother, I lived with father and brother.	母が死んでからは、おやじと兄と三人で暮（くら）していた。
Father did nothing, and always said "You're no good" to my face.	おやじは何にもせぬ男で、人の顔さえ見れば貴様は駄目（だめ）だ駄目だと口癖のように云っていた。
What he meant by "no good" I am yet to understand.	何が駄目なんだか今に分らない。
A funny dad he was.	妙（みょう）なおやじがあったもんだ。
My brother was to be seen studying English hard, saying that he was going to be a businessman.	兄は実業家になるとか云ってしきりに英語を勉強していた。
He was like a girl by nature, and so "sassy" that we two were never on good terms,	元来女のような性分で、ずるいから、仲がよくなかった。
and had to fight it out about once every ten days.	十日に一遍（いっぺん）ぐらいの割で喧嘩（けんか）をしていた。
When we played a chess game one day, he placed a chessman as a "waiter,"--a cowardly tactic this,--and had hearty laugh on me by seeing me in a fix.	ある時将棋（しょうぎ）をさしたら卑怯（ひきょう）な待駒（まちごま）をして、人が困ると嬉（うれ）しそうに冷やかした。
His manner was so trying that time that I banged a chessman on his forehead	あんまり腹が立ったから、手に在った飛車を眉間（みけん）へ擲（たた）きつけてやった。
which was injured a little bit and bled.	眉間が割れて少々血が出た。
He told all about this to father,	兄がおやじに言付（いつ）けた。
who said he would disinherit me.	おやじがおれを勘当（かんどう）すると言い出した。
Then I gave up myself for lost, and expected to be really disinherited.	その時はもう仕方がないと観念して先方の云う通り勘当されるつもりでいたら、
But our maid Kiyo, who had been with us for ten years or so, interceded on my behalf, and tearfully apologized for me, and by her appeal my father's wrath was softened.	十年来召し使っている清（きよ）という下女が、泣きながらおやじに詫（あや）まって、ようやくおやじの怒（いか）りが解けた。
I did not regard him, however, as one to be afraid of in any way,	それにもかかわらずあまりおやじを怖（こわ）いとは思わなかった。
but rather felt sorry for our Kiyo.	かえってこの清と云う下女に気の毒であった。
I had heard that Kiyo was of a decent, well-to-do family, but being driven to poverty at the time of the Restoration, had to work as a servant.	この下女はもと由緒（ゆいしょ）のあるものだったそうだが、瓦解（がかい）のときに零落（れいらく）して、つい奉公（ほうこう）までするようになったのだと聞いている。
So she was an old woman by this time.	だから婆（ばあ）さんである。
This old woman,--by what affinity, as the Buddhists say, I don't know,--loved me a great deal.	この婆さんがどういう因縁（いんえん）か、おれを非常に可愛がってくれた。
Strange, indeed!	不思議なものである。
She was almost blindly fond of me,--me, whom mother, became thoroughly disgusted with three days before her death;	母も死ぬ三日前に愛想（あいそ）をつかした
whom father considered a most aggravating proposition all the year round, and whom the neighbors cordially hated as the local bully among the youngsters.	――おやじも年中持て余している
I had long reconciled myself to the fact that my nature was far from being attractive to others, and so didn't mind if I were treated as a piece of wood;	おれは到底（とうてい）人に好かれる性（たち）でないとあきらめていたから、他人から木の端（はし）のように取り扱（あつか）われるのは何とも思わない、
so I thought it uncommon that Kiyo should pet me like that.	かえってこの清のようにちやほやしてくれるのを不審（ふしん）に考えた。
Sometimes in the kitchen, when there was nobody around, she would praise me saying that I was straightforward and of a good disposition.	清は時々台所で人の居ない時に
What she meant by that exactly, was not clear to me, however.	しかしおれには清の云う意味が分からなかった。
If I were of so good a nature as she said, I imagined those other than Kiyo should accord me a better treatment.	好（い）い気性なら清以外のものも、もう少し善くしてくれるだろうと思った。
So whenever Kiyo said to me anything of the kind, I used to answer that I did not like passing compliments.	清がこんな事を云う度におれはお世辞は嫌（きら）いだと答えるのが常であった。
Then she would remark; "That's the very reason I say you are of a good disposition,"	すると婆さんはそれだから好いご気性ですと云っては、
and would gaze at me with absorbing tenderness.	嬉しそうにおれの顔を眺（なが）めている。
She seemed to recreate me by her own imagination, and was proud of the fact.	自分の力でおれを製造して誇（ほこ）ってるように見える。
I felt even chilled through my marrow at her constant attention to me.	少々気味がわるかった。
After my mother was dead, Kiyo loved me still more.	母が死んでから清はいよいよおれを可愛がった。
In my simple reasoning, I wondered why she had taken such a fancy to me.	時々は小供心になぜあんなに可愛がるのかと不審に思った。
Sometimes I thought it quite futile on her part, that she had better quit that sort of thing,	つまらない、廃（よ）せばいいのにと思った。
which was bad for her.	気の毒だと思った。
But she loved me just the same.	それでも清は可愛がる。
Once in, a while she would buy, out of her own pocket, some cakes or sweetmeats for me.	折々は自分の小遣（こづか）いで金鍔（きんつば）や紅梅焼（こうばいやき）を買ってくれる。
When the night was cold, she would secretly buy some noodle powder, and bring all unawares hot noodle gruel to my bed;	寒い夜などはひそかに蕎麦粉（そばこ）を仕入れておいて、いつの間にか寝（ね）ている枕元（まくらもと）へ蕎麦湯を持って来てくれる。
or sometimes she would even buy a bowl of steaming noodles from the peddler.	時には鍋焼饂飩（なべやきうどん）さえ買ってくれた。
Not only with edibles,	ただ食い物ばかりではない。
but she was generous alike with socks,	靴足袋（くつたび）ももらった。
pencils, note books, etc.	鉛筆（えんぴつ）も貰った、帳面も貰った。
And she even furnished me,--this happened some time later,--with about three yen,	これはずっと後の事であるが金を三円ばかり貸してくれた事さえある。
I did not ask her for the money;	何も貸せと云った訳ではない。
she offered it from her own good will by bringing it to my room, saying that I might be in need of some cash.	向うで部屋へ持って来てお小遣いがなくてお困りでしょう、お使いなさいと云ってくれたんだ。
This, of course, embarrassed me, but as she was so insistent I consented to borrow it.	おれは無論入らないと云ったが、是非使えと云うから、借りておいた。
I confess I was really glad of the money.	実は大変嬉しかった。
I put it in a bag, and carried it in my pocket.	その三円を蝦蟇口（がまぐち）へ入れて、懐（ふところ）へ入れたなり
While about the house, I happened to drop the bag into a cesspool.	便所へ行ったら、すぽりと後架（こうか）の中へ落（おと）してしまった。
Helpless, I told Kiyo how I had lost the money, and at once she fetched a bamboo stick, and said she will get it for me.	仕方がないから、のそのそ出てきて実はこれこれだと清に話したところが、清は早速竹の棒を捜（さが）して来て、取って上げますと云った。
After a while I heard a splashing sound of water about our family well, and going there, saw Kiyo washing the bag strung on the end of the stick.	しばらくすると井戸端（いどばた）でざあざあ音がするから、出てみたら竹の先へ蝦蟇口の紐（ひも）を引き懸（か）けたのを水で洗っていた。
I opened the bag and found the edict of the three one-yen bills turned to faint yellow and designs fading.	それから口をあけて壱円札（いちえんさつ）を改めたら茶色になって模様が消えかかっていた。
Kiyo dried them at an open fire and handed them over to me, asking if they were all right.	清は火鉢で乾（かわ）かして、これでいいでしょうと出した。
I smelled them and said; "They stink yet."	ちょっとかいでみて臭（くさ）いやと云ったら、
"Give them to me;	それじゃお出しなさい、
I'll get them changed."	取り換（か）えて来て上げますからと、
She took those three bills, and,--I do not know how she went about it,--brought three yen in silver.	どこでどう胡魔化（ごまか）したか札の代りに銀貨を三円持って来た。
I forget now upon what I spent the three yen.	この三円は何に使ったか忘れてしまった。
"I'll pay you back soon," I said at the time, but didn't.	今に返すよと云ったぎり、返さない。
I could not now pay it back even if I wished to do so with ten times the amount.	今となっては十倍にして返してやりたくても返せない。
When Kiyo gave me anything she did so always when both father and brother were out.	清が物をくれる時には必ずおやじも兄も居ない時に限る。
Many things I do not like, but what I most detest is the monopolizing of favors behind some one else's back.	おれは何が嫌いだと云って人に隠れて自分だけ得をするほど嫌いな事はない。
Bad as my relations were with my brother, still I did not feel justified in accepting candies or color-pencils from Kiyo without my brother's knowledge.	兄とは無論仲がよくないけれども、兄に隠して清から菓子（かし）や色鉛筆を貰いたくはない。
"Why do you give those things only to me and not to my brother also?" I asked her once,	なぜ、おれ一人にくれて、兄さんには遣（や）らないのかと清に聞く事がある。
and she answered quite unconcernedly that my brother may be left to himself as his father bought him everything.	すると清は澄（すま）したものでお兄様（あにいさま）はお父様（とうさま）が買ってお上げなさるから構いませんと云う。
That was partiality;	これは不公平である。
father was obstinate, but I am sure he was not a man who would indulge in favoritism.	おやじは頑固（がんこ）だけれども、そんな依怙贔負（えこひいき）はせぬ男だ。
To Kiyo, however, he might have looked that way.	しかし清の眼から見るとそう見えるのだろう。
There is no doubt that Kiyo was blind to the extent of her undue indulgence with me.	全く愛に溺（おぼ）れていたに違（ちが）いない。
She was said to have come from a well-to-do family, but the poor soul was uneducated, and it could not be helped.	元は身分のあるものでも教育のない婆さんだから仕方がない。
All the same,	単にこればかりではない。
you cannot tell how prejudice will drive one to the extremes.	贔負目は恐ろしいものだ。
Kiyo seemed quite sure that some day I would achieve high position in society and become famous.	清はおれをもって将来立身出世して立派なものになると思い込んでいた。
Equally she was sure that my brother, who was spending his hours studiously, was only good for his white skin, and would stand no show in the future.	その癖勉強をする兄は色ばかり白くって、とても役には立たないと一人できめてしまった。
Nothing can beat an old woman for this sort of thing, I tell you.	こんな婆さんに逢（あ）っては叶（かな）わない。
She firmly believed that whoever she liked would become famous, while whoever she hated would not.	自分の好きなものは必ずえらい人物になって、嫌いなひとはきっと落ち振れるものと信じている。
I did not have at that time any particular object in my life.	おれはその時から別段何になると云う了見（りょうけん）もなかった。
But the persistency with which Kiyo declared that I would be a great man some day, made me speculate myself that after all I might become one.	しかし清がなるなると云うものだから、やっぱり何かに成れるんだろうと思っていた。
How absurd it seems to me now when I recall those days.	今から考えると馬鹿馬鹿（ばかばか）しい。
I asked her once what kind of a man I should be,	ある時などは清にどんなものになるだろうと聞いてみた事がある。
but she seemed to have formed no concrete idea as to that;	ところが清にも別段の考えもなかったようだ。
only she said that I was sure to live in a house with grand entrance hall, and ride in a private rikisha.	ただ手車（てぐるま）へ乗って、立派な玄関（げんかん）のある家をこしらえるに相違（そうい）ないと云った。
And Kiyo seemed to have decided for herself to live with me when I became independent and occupy my own house.	それから清はおれがうちでも持って独立したら、一所（いっしょ）になる気でいた。
"Please let me live with you," --she repeatedly asked of me.	どうか置いて下さいと何遍も繰（く）り返して頼んだ。
Feeling somewhat that I should eventually be able to own a house, I answered her "Yes," as far as such an answer went.	おれも何だかうちが持てるような気がして、うん置いてやると返事だけはしておいた。
This woman, by the way, was strongly imaginative.	ところがこの女はなかなか想像の強い女で、
She questioned me what place I liked,--Kojimachi-ku or Azabu-ku?--and suggested that I should have a swing in our garden, that one room be enough for European style, etc., planning everything to suit her own fancy.	あなたはどこがお好き、麹町（こうじまち）ですか麻布（あざぶ）ですか、お庭へぶらんこをおこしらえ遊ばせ、西洋間は一つでたくさんですなどと勝手な計画を独りで並（なら）べていた。
I did not then care a straw for anything like a house;	その時は家なんか欲しくも何ともなかった。
so neither Japanese nor European style was much of use to me, and I told her to that effect.	西洋館も日本建（にほんだて）も全く不用であったから、そんなものは欲しくないと、いつでも清に答えた。
Then she would praise me as uncovetous and clean of heart.	すると、あなたは欲がすくなくって、心が奇麗だと云ってまた賞めた。
Whatever I said, she had praise for me.	清は何と云っても賞めてくれる。
I lived, after the death of mother, in this fashion for five or six years.	母が死んでから五六年の間はこの状態で暮していた。
I had kicks from father,	おやじには叱られる。
had rows with brother,	兄とは喧嘩をする。
and had candies and praise from Kiyo.	清には菓子を貰う、時々賞められる。
I cared for nothing more;	別に望みもない。
I thought this was enough.	これでたくさんだと思っていた。
I imagined all other boys were leading about the same kind of life.	ほかの小供も一概（いちがい）にこんなものだろうと思っていた。
As Kiyo frequently told me, however, that I was to be pitied, and was unfortunate, I imagined that that might be so.	ただ清が何かにつけて、あなたはお可哀想（かわいそう）だ、不仕合（ふしあわせ）だと無暗に云うものだから、それじゃ可哀想で不仕合せなんだろうと思った。
There was nothing that particularly worried me	その外に苦になる事は少しもなかった。
except that father was too tight with my pocket money, and this was rather hard on me.	ただおやじが小遣いをくれないには閉口した。
In January of the 6th year after mother's death, father died of apoplexy.	母が死んでから六年目の正月におやじも卒中で亡くなった。
In April of the same year, I graduated from a middle school,	その年の四月におれはある私立の中学校を卒業する。
and two months later, my brother graduated from a business college.	六月に兄は商業学校を卒業した。
Soon he obtained a job in the Kyushu branch of a certain firm and had to go there,	兄は何とか会社の九州の支店に口があって行（ゆ）かなければならん。
while I had to remain in Tokyo and continue my study.	おれは東京でまだ学問をしなければならない。
He proposed the sale of our house and the realization of our property,	兄は家を売って財産を片付けて任地へ出立（しゅったつ）すると云い出した。
to which I answered "Just as you like it."	おれはどうでもするがよかろうと返事をした。
I had no intention of depending upon him anyway.	どうせ兄の厄介（やっかい）になる気はない。
Even were he to look after me, I was sure of his starting something which would eventually end in a smash-up as we were prone to quarrel on the least pretext.	世話をしてくれるにしたところで、喧嘩をするから、向うでも何とか云い出すに極（きま）っている。
It was because in order to receive his protection that I should have to bow before such a fellow,	なまじい保護を受ければこそ、こんな兄に頭を下げなければならない。
that I resolved that I would live by myself even if I had to do milk delivery.	牛乳配達をしても食ってられると覚悟（かくご）をした。
Shortly afterwards he sent for a second-hand dealer and sold for a song all the bric-a-bric which had been handed down from ages ago in our family.	兄はそれから道具屋を呼んで来て、先祖代々の瓦落多（がらくた）を二束三文（にそくさんもん）に売った。
Our house and lot were sold, through the efforts of a middleman to a wealthy person.	家屋敷（いえやしき）はある人の周旋（しゅうせん）である金満家に譲った。
This transaction seemed to have netted a goodly sum to him, but I know nothing as to the detail.	この方は大分金になったようだが、詳（くわ）しい事は一向知らぬ。
For one month previous to this, I had been rooming in a boarding house in Kanda-ku, pending a decision as to my future course.	おれは一ヶ月以前から、しばらく前途の方向のつくまで神田の小川町（おがわまち）へ下宿していた。
Kiyo was greatly grieved to see the house in which she had lived so many years change ownership, but she was helpless in the matter.	清は十何年居たうちが人手に渡（わた）るのを大いに残念がったが、自分のものでないから、仕様がなかった。
"If you were a little older, you might have inherited this house," she once remarked in earnest.	あなたがもう少し年をとっていらっしゃれば、ここがご相続が出来ますものをとしきりに口説いていた。
If I could have inherited the house through being a little older, I ought to have been able to inherit the house right then.	もう少し年をとって相続が出来るものなら、今でも相続が出来るはずだ。
She knew nothing, and believed the lack of age only prevented my coming into the possession of the house.	婆さんは何（なんに）も知らないから年さえ取れば兄の家がもらえると信じている。
Thus I parted from my brother, but the disposal of Kiyo was a difficult proposition.	兄とおれはかように分れたが、困ったのは清の行く先である。
My brother was, of course, unable to take her along, nor was there any danger of her following him so far away as Kyushu, while I was in a small room of a boarding house, and might have to clear out anytime at that.	兄は無論連れて行ける身分でなし、清も兄の尻にくっ付いて九州下（くんだ）りまで出掛ける気は毛頭なし、と云ってこの時のおれは四畳半（よじょうはん）の安下宿に籠（こも）って、それすらもいざとなれば直ちに引き払（はら）わねばならぬ始末だ。
There was no way out,	どうする事も出来ん。
so I asked her	清に聞いてみた。
if she intended to work somewhere else.	どこかへ奉公でもする気かねと云ったら
Finally she answered me definitely that she would go to her nephew's and wait until I started my own house and get married.	あなたがおうちを持って、奥（おく）さまをお貰いになるまでは、仕方がないから、甥（おい）の厄介になりましょうとようやく決心した返事をした。
This nephew was a clerk in the Court of Justice, and being fairly well off, had invited Kiyo before more than once to come and live with him, but Kiyo preferred to stay with us, even as a servant, since she had become well used to our family.	この甥は裁判所の書記でまず今日には差支（さしつか）えなく暮していたから、今までも清に来るなら来いと二三度勧めたのだが、清はたとい下女奉公はしても年来住み馴（な）れた家（うち）の方がいいと云って応じなかった。
But now I think she thought it better to go over to her nephew than to start a new life as servant in a strange house.	しかし今の場合知らぬ屋敷へ奉公易（ほうこうが）えをして入らぬ気兼（きがね）を仕直すより、甥の厄介になる方がましだと思ったのだろう。
Be that as it may, she advised me to have my own household soon, or get married, so she would come and help me in housekeeping.	それにしても早くうちを持ての、妻（さい）を貰えの、来て世話をするのと云う。
I believe she liked me more than she did her own kin.	親身（しんみ）の甥よりも他人のおれの方が好きなのだろう。
My brother came to me, two days previous to his departure for Kyushu, and giving me 600 yen, said that I might begin a business with it, or go ahead with my study, or spend it in any way I liked, but that that would be the last he could spare.	九州へ立つ二日前兄が下宿へ来て金を六百円出してこれを資本にして商買（しょうばい）をするなり、学資にして勉強をするなり、どうでも随意（ずいい）に使うがいい、その代りあとは構わないと云った。
It was a commendable act for my brother.	兄にしては感心なやり方だ、
What! about only 600 yen! I could get along without it, I thought, but as this unusually simple manner appealed to me, I accepted the offer with thanks.	何の六百円ぐらい貰わんでも困りはせんと思ったが、例に似ぬ淡泊（たんばく）な処置が気に入ったから、礼を云って貰っておいた。
Then he produced 50 yen, requesting me to give it to Kiyo next time I saw her, which I readily complied with.	兄はそれから五十円出してこれをついでに清に渡してくれと云ったから、異議なく引き受けた。
Two days after, I saw him off at the Shimbashi Station, and have not set my eyes on him ever since.	二日立って新橋の停車場（ていしゃば）で分れたぎり兄にはその後一遍も逢わない。
Lying in my bed, I meditated on the best way to spend that 600 yen.	おれは六百円の使用法について寝ながら考えた。
A business is fraught with too much trouble, and besides it was not my calling.	商買をしたって面倒（めんど）くさくって旨（うま）く出来るものじゃなし、
Moreover with only 600 yen no one could open a business worth the name.	ことに六百円の金で商買らしい商買がやれる訳でもなかろう。
Were I even able to do it, I was far from being educated, and after all, would lose it.	よしやれるとしても、今のようじゃ人の前へ出て教育を受けたと威張れないからつまり損になるばかりだ。
Better let investments alone, but study more with the money.	資本などはどうでもいいから、これを学資にして勉強してやろう。
Dividing the 600 yen into three, and by spending 200 yen a year, I could study for three years.	六百円を三に割って一年に二百円ずつ使えば三年間は勉強が出来る。
If I kept at one study with bull-dog tenacity for three years, I should be able to learn something.	三年間一生懸命にやれば何か出来る。
Then the selection of a school was the next problem.	それからどこの学校へはいろうと考えたが、
By nature, there is no branch of study whatever which appeals to my taste.	学問は生来（しょうらい）どれもこれも好きでない。
Nix on languages or literature!	ことに語学とか文学とか云うものは真平（まっぴら）ご免（めん）だ。
The new poetry was all Greek to me; I could not make out one single line of twenty.	新体詩などと来ては二十行あるうちで一行も分らない。
Since I detested every kind of study, any kind of study should have been the same to me.	どうせ嫌いなものなら何をやっても同じ事だと思ったが、
Thinking thus, I happened to pass front of a school of physics, and seeing a sign posted for the admittance of more students, I thought this might be a kind of "affinity," and having asked for the prospectus, at once filed my application for entrance.	幸い物理学校の前を通り掛（かか）ったら生徒募集の広告が出ていたから、何も縁だと思って規則書をもらってすぐ入学の手続きをしてしまった。
When I think of it now, it was a blunder due to my hereditary recklessness.	今考えるとこれも親譲りの無鉄砲から起（おこ）った失策だ。
For three years I studied about as diligently as ordinary fellows, but not being of a particularly brilliant quality, my standing in the class was easier to find by looking up from the bottom.	三年間まあ人並（ひとなみ）に勉強はしたが別段たちのいい方でもないから、席順はいつでも下から勘定（かんじょう）する方が便利であった。
Strange, isn't it, that when three years were over, I graduated?	しかし不思議なもので、三年立ったらとうとう卒業してしまった。
I had to laugh at myself, but there being no reason for complaint, I passed out.	自分でも可笑（おか）しいと思ったが苦情を云う訳もないから大人しく卒業しておいた。
Eight days after my graduation, the principal of the school asked me to come over and see him.	卒業してから八日目に校長が呼びに来たから、
I wondered what he wanted, and went.	何か用だろうと思って、出掛けて行ったら、
A middle school in Shikoku was in need of a teacher of mathematics	四国辺のある中学校で数学の教師が入る。
for forty yen a month, and he sounded me to see if I would take it.	月給は四十円だが、行ってはどうだという相談である。
I had studied for three years, but to tell the truth, I had no intention of either teaching or going to the country.	おれは三年間学問はしたが実を云うと教師になる気も、田舎（いなか）へ行く考えも何もなかった。
Having nothing in sight, however, except teaching, I readily accepted the offer.	もっとも教師以外に何をしようと云うあてもなかったから、この相談を受けた時、行きましょうと即席（そくせき）に返事をした。
This too was a blunder due to hereditary recklessness.	これも親譲りの無鉄砲が祟（たた）ったのである。
I accepted the position, and so must go there.	引き受けた以上は赴任（ふにん）せねばならぬ。
The three years of my school life I had seen confined in a small room,	この三年間は四畳半に蟄居（ちっきょ）して小言はただの一度も聞いた事がない。
but with no kick coming or having no rough house.	喧嘩もせずに済んだ。
It was a comparatively easy going period in my life.	おれの生涯のうちでは比較的呑気（ひかくてきのんき）な時節であった。
But now I had to pack up.	しかしこうなると四畳半も引き払わなければならん。
