FATTY COON AT HOME	ふとっちょあらいぐまの家
"and I should think that it was enough for a young coon like you."	.「お前くらいの子どもはこれで十分なはずだろう」
Fatty said nothing more.	13 ふとっちょはそれ以上なにも言いませんでした。
He wiped his moustache on the back of his hand (I hope you'll never do that!) and without another word he started off to see what he could find to eat.	彼は口ひげを手の甲でぬぐうと（みなさんは真似しないでくださいね！）、ひと言もいわずに、食べものをさがしに出かけました。
FATTY LEARNS SOMETHING ABOUT EGGS	ふとっちょ、卵について学ぶ
When Fatty Coon started off alone to find something more to eat, after finishing the fish that his mother had brought home for him, he did not know that he was going to have an adventure.	1 お母さんが持ちかえった魚を食べおわり、もっとたくさんの食べものをさがしにひとりで出かけたとき、ふとっちょあらいぐまはこれが冒険になることを知りませんでした。
He nosed about among the bushes and the tall grasses and caught a few bugs and a frog or two.	彼はやぶや背の高い草のあいだをかぎまわり、数ひきの虫と、一、二ひきのカエルをつかまえました。
But he didn't think that THAT was much.	でもそんなものではもの足りないと思いました。
He didn't seem to have much luck, down on the ground.	地面をはいずりまわっていても、あまり幸運にめぐまれそうにありませんでした。
So he climbed a tall hemlock, to see if he could find a squirrel's nest, or some bird's eggs.	そこでリスの巣か鳥の卵をさがそうと、背の高いヘムロックの木に登りました。
Fatty loved to climb trees.	2 ふとっちょは木登りが大好きでした。
Up in the big hemlock he forgot, for a time, that he was still hungry.	ヘムロックの大木に登り、ほどなくすると、彼は腹ぺこを忘れてしまいました。
It was delightful to feel the branches swaying under him, and the bright sunshine was warm upon his back.	枝がゆらゆらとゆれ、あかるい陽光が背中をぽかぽかと温めて、とてもよい心地でした。
He climbed almost to the very tip-top of the tree and wound himself around the straight stem.	木のてっぺん近くまで登ると、ふとっちょはまっすぐな木の幹に体を巻きつけました。
The thick, springy branches held him safely,	木の葉が厚くしげり、ばねのようにしなる枝が、彼の体を安全に包みこみました。
and soon Fatty was fast asleep.	彼はまもなくぐっすりと眠りこみました。
Next to eating, Fatty loved sleeping.	ふとっちょは食べることの次に眠ることが好きでした。
And now he had a good nap.	彼はまもなく大きないびきをかきはじめました。
Fatty Coon woke up at last,	3 ようやくふとっちょあらいぐまは目をさましました。
yawned, and slowly unwound himself from the stem of the tree.	あくびをし、木の幹に巻きつけていた体をそろそろとほどきました。
He was terribly hungry now.	今ではとてつもなくお腹が空いていました。
And he felt that he simply MUST find something to eat at once.	ただちに食べものを見つけなくてはだめだと感じました。
Without going down to the ground, Fatty climbed over into the top of another big tree and his little beady, bright eyes began searching all the branches carefully.	4 ふとっちょは地面に下りることなしに隣りの大木のてっぺんにわたり、すべての枝のあいだをくまなくさがそうと、つぶらなビーズのような目を光らせました。
Pretty soon Fatty smiled.	彼はすぐさま笑みをうかべました。
He smiled because he was pleased.	どうしてかというと、よろこんだからです。
And he was pleased because he saw exactly what he had been looking for.	どうしてよろこんだのかというと、まさにお目当てのものを見つけたからです。
Not far below him was a big nest, built of sticks and lined with bark and moss.	それほど離れていない下方に、小枝を組んで木の皮とコケをしきつめた大きな鳥の巣がありました。
It was a crow's nest, Fatty decided,	カラスの巣だ、とふとっちょは考えました。
and he lost no time in slipping down to the crotch of the tree where the nest was perched.	彼は木のまたにかかった巣に向かって、さっさとすべり下りていきました。
There were four white eggs in the nest	5 巣の中には四個の白い卵がありました
--the biggest crow's eggs Fatty had ever seen.	――ふとっちょがこれまで見たうちで一番大きなカラスの卵でした。
And he began to eat them hungrily.	彼は意地きたなく食べはじめました。
His nose became smeared with egg, but he didn't mind that at all.	鼻が卵まみれになりましたが、ぜんぜん気にしませんでした。
He kept thinking how good the eggs tasted	なんておいしい卵なんだろう、とばかり考えていました
--and how he wished there were more of them.	――そして、この卵がもっとたくさんあればいいのになあと思いました。
There was a sudden rush through the branches of the tall tree.	6 とつぜん、なにかが高い木の枝えだのあいだをぬって襲いかかってきました。
And Fatty Coon caught a hard blow on his head.	ふとっちょあらいぐまの頭上を、強い風がさっと吹きぬけました。
He felt something sharp sink into his back, too.	同時に、なにかするどいものがふとっちょの背中をぐさりと突きさしました。
And he clutched at the edge of the nest to keep from falling.	ふとっちょは落っこちないように巣のはしにしがみつきました。
Fatty was surprised,	7 ふとっちょはおどろきました。
to say the least, for he had never known crows to fight like that.	ひかえ目に言っても、カラスがこんなふうに攻撃してくるとは聞いたこともありませんでしたから。
And he was frightened,	彼はこわくなりました。
because his back hurt.	背中を傷つけられたからです。
He couldn't fight, because he was afraid he would fall if he let go of the nest.	巣から手を放したら下に落っこちそうでおそろしかったので、戦えそうにありませんでした。
There was nothing to do but run home as fast as he could.	8 できるかぎりはやく走って、家に逃げかえるよりほかにありません。
Fatty tried to hurry;	ふとっちょは急ごうとしました。
but there was that bird, beating and clawing his back, and pulling him first one way and then another.	けれど鳥が、彼の背中を叩いたり引っかいたり、あっちに引っぱったりこっちに引っぱったりしました。
He began to think he would never reach home.	ふとっちょは二度と家にかえれないのだと思いはじめました。
But at last he came to the old poplar where his mother lived.	けれどとうとうお母さんのいる古いポプラの木にたどり着きました。
And soon, to his great joy, he reached the hole in the big branch;	大きな枝のうろにたどり着くと、まもなくふとっちょは大いに安心しました。
and you may well believe that Fatty was glad to slip down into the darkness	暗がりの中にすべり込んでふとっちょが大よろこびしたのを、みなさんもご想像がつくでしょう。
where his mother, and his brother Blackie, and Fluffy and Cutey his sisters, were all fast asleep.	そこではお母さんと、弟の黒っちょと、ふわっちょとかわいっちょの妹たちが、そろってぐっすりと眠っていました。
He was glad, because he knew that no crow could follow him down there.	カラスはここまでついて来られないのだとわかり、ふとっちょはよろこんだのです。
Mrs. Coon waked up.	9 あらいぐま夫人が目をさましました。
She saw that Fatty's back was sadly torn	彼女は、ふとっちょの背中がいたましく切りさかれているのに目を止めました
(for coons, you know, can see in the dark just as well as you can see in the daylight).	（あらいぐまというものは、みなさんもご存知でしょうが、みなさんが昼中に見るのと同じくらいに暗がりがよく見えるのです）。
"What on earth is the matter?"	10 「一体ぜんたいなにがあったんだい？」
she exclaimed.	あらいぐま夫人はさけびました。
Poor Fatty told her.	11 ふとっちょはあわれっぽくわけを話しました。
He cried a little,	彼はちょっぴり泣きました。
because his back hurt him, and because he was so glad to be safe at home once more.	背中が痛むのと、ふたたび安全なわが家にかえることができたうれしさのためでした。
"What color were those eggs?"	12 「その卵はなに色だったの？」
Mrs. Coon inquired.	あらいぐま夫人がたずねました。
"White!"	13 「白だよ！」
said Fatty.	ふとっちょは答えました。
"Ah, ha!"	14 「ハハア！」
Mrs. Coon said.	あらいぐま夫人は言いました。
"Don't you remember that crows' eggs are a blueish green?	「カラスの卵は青みがかった緑色だということを忘れたのかい？
That must have been a goshawk's nest.	それはオオタカの巣にちがいないよ。
And a goshawk is the fiercest of all the hawks there are.	オオタカはすべてのタカの中でも一番どうもうなんだよ。
It's no wonder your back is clawed.	背中を引っかかれてもふしぎはないよ。
Come here and let me look at it."	こっちに来て見せてごらん」
Fatty Coon felt quite proud,	15 ふとっちょあらいぐまはすっかり誇らしくなりました。
as his mother examined the marks of the goshawk's cruel claws.	お母さんが調べているのは、オオタカにむごたらしく切りさかれた傷あとなのです。
And he didn't feel half as sorry for himself as you might think,	彼は、おそらくみなさんが考えている半分も、自分をかわいそうだと思っていませんでした。
for he remembered how good the eggs had tasted.	卵の味がどれほどおいしかったかを思い出していたからです。
He only wished there had been a dozen of them.	彼はただ、あの卵を一ダースも食べられたらよかったのになあ、とばかり考えていました。
FATTY DISCOVERS MRS. TURTLE'S SECRET	ふとっちょ、かめ夫人のひみつを発見する
After his adventure with the goshawk Fatty Coon did not go near the tree-tops for a long time.	1 オオタカの冒険があってから長いあいだ、ふとっちょあらいぐまは、木のてっぺんに近寄りませんでした。
Whenever he left home he would crawl down the old poplar tree in which he lived;	自分の住んでいる家である古いポプラの木のうろから出るときは、かならず下におりました。
and he wouldn't climb a single tree until he came home again.	家にかえるのでなければ、ただの一本の木にも登りませんでした。
Somehow, he felt safer on the ground.	地面の上にいれば、とにかく安心できました。
You see, he hadn't forgotten the fright he had had, nor how the goshawk's claws had hurt his back.	だって、木のてっぺんで恐ろしい思いをしたことも、オオタカのかぎづめで背中を傷つけられたことも、忘れてはいなかったのですからね。
It was just three days after his scare, to be exact,	2 正確に言えば、恐ろしい目にあってから、ちょうど三日目のことでした。
when Fatty Coon found himself on the bank of the creek which flowed slowly into Swift River.	ふとっちょあらいぐまは、スウィフト川のゆるい流れにできた入江の浅瀬に、ひょっこり出くわしました。
Fatty had been looking for frogs, but he had had no luck at all.	カエルをさがしていたのですが、まったくつきに恵まれていませんでした。
To tell the truth, Fatty was a little too young to catch frogs easily, even when he found one;	本当のことを言いますと、ふとっちょはまだ小さすぎて、カエルを見つけられたときだって、簡単につかまえることはできませんでした。
and he was a good deal too fat, for he was so plump that he was not very spry.	それに、うんと太っており、体がたいそう丸かったので、あまりすばしっこくなかったのです。
Now, Fatty was hiding behind some tall rushes, and his sharp little eyes were looking all about him,	3 入江に出くわしたふとっちょは、背の高いイグサの草むらのかげに隠れ、するどいつぶらな目で辺りをぐるりと見まわしました。
and his nose was twitching as he sniffed the air.	鼻をひくつかせ、空気のにおいをかぎました。
He wished he might find a frog.	カエルはいないかしらと思いました。
But not one frog appeared.	けれど、一ぴきの姿も見あたりませんでした。
Fatty began to think that some other coon must have visited the creek just before him and caught them all.	ほかのあらいぐまが、ふとっちょが来るちょっと前にやって来て、ここのカエルを全部とってしまったにちがいない、と、ふとっちょは考えはじめました。
And then he forgot all about frogs.	つづいて、ふとっちょはカエルのことをすっかり忘れてしまいました。
Yes!	4 そうですとも！
Frogs passed completely out of Fatty Coon's mind.	カエルのことなど、ふとっちょあらいぐまは、頭からすっかり追い出してしまいました。
For whom should he spy	そんなものより、もっと興味深いものに目を注いでいたのです。
but Mrs. Turtle!	かめ夫人です！
He saw her little black head first,	最初にふとっちょが見つけたのは、かめ夫人の小さな黒い頭でした。
bobbing along through the water of the creek.	それは、入江の岸にそって、ぷかぷかと流れていました。
She was swimming toward the bank where Fatty was hidden.	かめ夫人は、ふとっちょが隠れている岸辺にむかって、泳いできました。
And pretty soon she pulled herself out of the water and waddled a short distance along the sand at the edge of the creek.	泳ぎつくと、かめ夫人はすぐさま水から上がり、入江のほとりの砂の上を、よちよち歩き出しました。
Mrs. Turtle stopped then;	5 かめ夫人は、少し歩いたところで、立ち止まりました。
and for a few minutes she was very busy about something.	そして少しのあいだ、とても忙しそうになにかをしました。
First she dug a hole in the sand.	最初、彼女は砂に穴をほりました。
And Fatty wondered what she was looking for.	ふとっちょは、彼女はなにをさがしているのかしら、と思いました。
But he kept very quiet.	でも、ふとっちょはじっと静かに隠れつづけました。
And after a time Mrs. Turtle splashed into the creek again and paddled away.	しばらくすると、かめ夫人はまた入江の水にざぶんと入り、泳いで去っていきました。
But before she left she scooped sand into the hole she had dug.	けれど、彼女は立ち去る前に、ほった穴に砂をかけていきました。
Before she left the place she looked all around,	それから、辺りをぐるりと見まわしました。
as if to make sure that no one had seen her.	まるで、だれか彼女を見ていた者はいないかと、確かめるように。
And as she waddled slowly to the water Fatty could see that she was smiling	それから、川にむかってよちよちとゆっくり歩いていくとき、ふとっちょは、彼女がほほ笑んでいるのを見ました。
as if she was very well pleased about something.	まるで、大いに満足しているというように。
She seemed to have a secret.	かめ夫人は、ひみつを隠しているように見えました。
Fatty Coon had grown very curious, as he watched Mrs. Turtle.	6 かめ夫人をぬすみ見ているうちに、ふとっちょあらいぐまは、ひどく興味をかき立てられました。
And just as soon as she was out of sight he came out from his hiding place in the tall reeds and trotted down to the edge of the creek.	彼女の姿が見えなくなると、ふとっちょはすぐさま隠れていた背の高いイグサの草むらからとび出し、小走りで入江のほとりに下りていきました。
He went straight to the spot where Mrs. Turtle had dug the hole and filled it up again.	かめ夫人が穴をほり、また埋めもどした場所に、まっすぐに向かいました。
And Fatty was so eager to know what she had been doing	彼女がしたことがなんだったのか、知りたくてたまりませんでした。
that he began to dig in the very spot where Mrs. Turtle had dug before him.	足元のかめ夫人がほった場所を、ほり返しはじめました。
It took Fatty Coon only about six seconds to discover Mrs. Turtle's secret.	7 ほんの六つ数えるうちに、ふとっちょあらいぐまは、かめ夫人のひみつを発見しました。
For he did not have to paw away much of the sand	そこは深い砂でできた川岸だったので、前足のかぎづめを使わなくても、かんたんにほれました。
before he came upon	目の前にあらわれたのは
--what do you suppose?	――なんだと思いますか？
Eggs!	卵です！
Turtles' eggs!	かめの卵です！
Twenty-seven round, white eggs,	二十七個の、丸くて白い卵です。
which Mrs. Turtle had left there in the warm sand to hatch.	かめ夫人は、卵をかえすために、あたたかい砂の中に埋めておいたのです。
THAT was why she looked all around to make sure that no one saw her.	それこそが、彼女がだれも見ていないかと、辺りをぐるりと確かめたわけだったのです。
THAT was why she seemed so pleased.	それこそが、とても満足そうだったわけなのです。
For Mrs. Turtle fully expected	かめ夫人は、期待で胸をふくらませていたのです。
that after a time twenty-seven little turtles would hatch from those eggs	しばらくしたら、これらの卵から二十七ひきの子がめがかえるのだと思って
--just as chickens do	――ちょうどニワトリのようにね
--and dig their way out of the sand.	――そして、自分で砂をかき分けて、穴の中から出てくるでしょう。
But it never happened that way at all.	8 けれど、決してそうはなりませんでした。
For as soon as he got over his surprise at seeing them, Fatty Coon began at once to eat those twenty- seven eggs.	ふとっちょあらいぐまは、卵を見つけたおどろきからさめるやいなや、ただちに二十七個の卵にぱくつきはじめました。
They were delicious.	おいしい卵でした。
And as he finished the last one he couldn't help thinking how lucky he had been.	最後のひとつを食べおわるころには、なんて幸運だったんだろうと思わずにはいられませんでした。
FATTY COON'S MISTAKE	ふとっちょあらいぐまのしくじり
Fatty Coon was very fond of squirrels.	1 ふとっちょあらいぐまは、リスが大好きでした。
And you may think it strange when I tell you	そして、こんなふうにお話すると、おかしいと思うでしょう。
that not one of the squirrels anywhere around Blue Mountain was the least bit fond of Fatty Coon.	ブルー山に住んでいるリスたちの中で、ふとっちょあらいぐまをほんの少しでも好いている者は、一ぴきもいませんでした、なんて。
But when I say that Fatty Coon was fond of squirrels, I mean that he liked to eat them.	しかし、ふとっちょあらいぐまがリスが好きだというときは、食べるのが好きだという意味なのです。
So of course you will understand now why the squirrels did not care for Fatty at all.	ですから、リスたちがふとっちょのことを嫌っているわけは、もちろん、もうおわかりでしょう。
In fact, they usually kept just as far away from him as they could.	実際のところ、リスたちはいつも、ふとっちょからできるだけ遠ざかっているようにしていました。
It was easy, in the daytime, for the squirrels to keep out of Fatty's way, when he wandered through the tree-tops,	2 昼中ならば、木のてっぺんからてっぺんへとうろつき回るふとっちょを避けているのは、リスたちには簡単でした。
for the squirrels were much sprier than Fatty.	リスたちは、ふとっちょよりもずっとよく、相手を見つけ出すことができました。
But at night	けれど、夜は
--ah!	――ああ！
that was a very different matter.	事情がずいぶんちがうのです。
For Fatty Coon's eyes were even sharper in the dark than they were in the daylight;	ふとっちょあらいぐまの目は、昼中のリスたちよりも、夜の暗やみのほうが、いっそうするどいのです。
but the poor squirrels were just as blind as you are when you are safely tucked in bed and the light is put out.	しかし、哀れなリスたちは、みなさんが寝室の明かりを消し、ベッドの毛布に安全にくるまっているときと同じくらい、なんにも見えないのです。
Yes	3 そうなのです
--when the squirrels were in bed at night, up in their nests in the trees,	――夜になると、リスたちは、木の上の巣穴の寝どこに入ります。
they could see very little.	彼らはほんの少ししか、見ることができません。
And you couldn't say they were SAFE in bed,	そして、彼らが寝どこの中にいるときは、安全とは言えません。
because they never knew when Fatty Coon,	なぜなら、ふとっちょあらいぐまがリスをつかまえにやって来ても、彼らには決してわからないからです。
or his mother, or his brother, or one of his sisters, or some cousin of his, might come along and catch them before they knew it.	または、ふとっちょのお母さんや、弟や、妹のどちらかか、あるいはふとっちょのいとこがやって来ても、つかまえられる前にそうと知ることができないのです。
Fatty thought it great sport to hunt squirrels at night.	4 ふとっちょは、夜のリス狩りを、とても楽しい気晴らしと考えていました。
Whenever he tried it he usually managed to get a good meal.	リス狩りをすれば、いつでもつねに、おいしい肉を手に入れることができました。
And after he had almost forgotten about the fright the goshawk had given him in the tall hemlock he began to roam through the tree-tops every night in search of squirrels and sleeping birds.	ヘムロックの大木でオオタカにおそわれた恐ろしさを、おおかた忘れかけてからは、彼はリスや眠っている鳥をさがして、毎晩のように木のてっぺんをうろつき回るようになりました。
But a night came at last when Fatty was well punished for hunting squirrels.	5 しかし昨日の晩は、リス狩りをしていて、こりごりする目にあいました。
He had climbed half-way to the top of a big chestnut tree, when he spied a hole in the trunk.	ふとっちょは、大きなクリの木を半分ほど登ったところで、幹に空いた穴をのぞき込みました。
He rather thought that some squirrels lived inside that hole.	その穴の中に、リスが住んでいるにちがいないと思い込んだのです。
And as he listened for a few seconds he could hear something moving about inside.	しばらく耳をすませていると、中でなにかが動く物音が聞こえました。
Yes!	しめしめ！
Fatty was sure that there was a squirrel in there	ふとっちょは、中にリスがいると確信しました
--probably several squirrels.	――数ひきのリスがいるのだろうと。
Fatty Coon's eyes turned green.	6 ふとっちょあらいぐまの目が、緑色に変わりました。
It was a way they had,	それがあらいぐまのくせなのです。
whenever he was about to eat anything, or whenever he played with his brother Blackie, or Fluffy and Cutey, his sisters; or whenever he was frightened.	食べるときや、弟の黒っちょや妹のふわりっちょやかわいっちょと遊ぶとき、おびえているときなど、どんなときでも、こうなるのです。
And now Fatty was so sure that he was going to have a fine lunch that his eyes turned as green as a cat's.	今は、おいしいおやつを食べられるのだと確信したので、ネコみたいに目が緑色に変わったのです。
He reached a paw inside the hole and felt all around.	彼は前足を穴の中に入れ、中をさぐり回りました。
WOW!	7 ウワア！
Fatty gave a cry;	ふとっちょはさけび声を上げました。
and he pulled his paw out much faster than he had put it in.	前足を、入れたときよりもはるかにはやく、出しました。
Something had given him a cruel dig.	なにかが、彼の手をひどく強く突きとばしたのです。
And in a jiffy Fatty saw what that "something" was.	〝なにか〟はすぐにわかりました。
It was a grumpy old tramp coon, whom Fatty had never seen before.	ふとっちょがこれまで見かけたことのない、気むずかしそうな顔をした、年老いた浮浪あらいぐまでした。
"What do you mean, you young rascal,	8 「どういうつもりだ、いたずらっ子め。
by disturbing me like this?"	こんなふうに休んでいるところを邪魔するのは？」
the ragged stranger cried.	みすぼらしいよそ者が、さけびました。
"Please, sir,	9 「ごめんなさい。
I never knew it was you,"	あなただとは思いもしなかったんです」
Fatty stammered.	ふとっちょは、口ごもりながら言いました。
"Never knew it was me!	10 「思いもしなかっただと！
Who did you think it was?"	だれだと思ったんだ？」
"A--a squirrel!"	11 「リ……リスだと思って！」
Fatty said faintly.	ふとっちょは、消え入りそうな声で言いました。
And he whimpered a little,	彼はちょっぴりべそをかきました。
because his paw hurt him.	前足で、浮浪あらいぐまを引っかいてしまったからです。
"Ho, ho!	12 「ほ、ほう！
That's a good one!	そりゃあいい！
That's a good joke!"	おもしろい冗談だ！」
The tramp coon laughed heartily.	浮浪あらいぐまは、心の底からおかしそうに笑い声を立てました。
And then he scowled so fiercely that poor Fatty nearly tumbled out of the tree.	それから、恐ろしい顔でふとっちょをにらみつけたので、ふとっちょはあやうく木から転がり落ちそうになりました。
"You go home,"	「家へ帰れ」
he said to Fatty.	浮浪あらいぐまは、ふとっちょに言いました。
"And don't you let me catch you around here again.	「今度ここに来たら、ただじゃおかんぞ。
You hear?"	聞こえたか？」
"Yes, sir!"	13 「はい、わかりました！」
Fatty said.	ふとっちょは言いました。
And home he went.	そして、家に帰りました。
And you may be sure that he let THAT tree alone after that.	その後、ふとっちょがその木をそうっとしておいたことを、みなさんも疑わないでしょう。
He never went near it again.	ふとっちょは、二度とその木に近づきませんでした。
FATTY COON GOES FISHING	ふとっちょあらいぐまと魚つり
One day Fatty Coon was strolling along the brook which flowed not far from his home.	1 ある日、ふとっちょあらいぐまは、家からそれほど遠くないところを流れる小川をうろついていました。
He stopped now and then, to crouch close to the water's edge,	水辺のふちで、あっちこっちで立ち止まっては、うずくまりました。
in the hope of catching a fish.	魚は取れないかと思っていたのです。
And one time, when he lay quite still among the rocks, at the side of a deep pool,	あるとき彼は、小川の深いよどみのほとりの岩のあいだに横たわり、静かにじっとしていました。
with his eyes searching the clear water,	目は、すきとおった水の中をさぐっていました。
Fatty Coon suddenly saw something bright,	ふいに、なにやら光るものを見つけました。
all yellow and red, that lighted on the water right before him.	全身が黄色と赤色をしたものが、ふとっちょあらいぐまの右手前方の水の上で、ぴかぴか光っていました。
It was a bug,	カブトムシだ。
or a huge fly.	それか、大きなハエだ。
And Fatty was very fond of bugs	ふとっちょは、カブトムシが大好きでした
--to eat, you know.	――食べるのが、ね。
So he lost no time.	ですから、ぐずぐずしませんでした。
The bright thing had scarcely settled on the water	その光るものは、水の上でちょこちょこ動きまわり、少しもじっとしていませんでした。
when Fatty reached out and seized it.	ふとっちょは、すきを見て前足を伸ばし、それをつかみ取りました。
He put it into his mouth, when the strangest thing happened.	それを口の中にほうり込むと、たいそうおかしなことが起こりました。
Fatty felt himself pulled right over into the water.	ふとっちょの体が右側にぐいと引っぱられ、水の中に引きずり込まれたのです。
He was surprised,	2 ふとっちょはおどろきました。
for he never knew a bug or a fly to be so strong as that.	カブトムシやハエの力がこれほど強いとは、聞いたこともありませんでしたから。
Something pricked his cheek	なにかがふとっちょのほっぺたをちくりと刺しました。
and Fatty thought that the bright thing had stung him.	彼は、光るものが刺したのだと思いました。
He tried to take it out of his mouth, and he was surprised again.	光るものを口から出そうとして、またおどろきました。
Whatever the thing was, it seemed to be stuck fast in his mouth.	光るものは、彼の口の中にしっかりと突きささり、なにがなんでも離れないようでした。
And all the time Fatty was being dragged along through the water.	そのあいだ、ふとっちょは、水の中を引きずられ続けていました。
He began to be frightened.	彼は、恐くなってきました。
And for the first time he noticed that there was a slender line	最初に気づいたのは、細い糸でした。
which stretched from his mouth straight across the pool.	それは、彼の口から伸びて、小川のよどみの向こうへとまっすぐに続いていました。
As he looked along the line Fatty saw a man at the other end of it	糸をずっとたどっていきますと、糸のとぎれれた先に、人間がいるのが見えました
--a man, standing on the other side of the brook!	――人間が、小川の反対岸に立っていました！
And he was pulling Fatty toward him as fast as he could.	人間は、できるかぎりのはやさで糸をたぐり、ふとっちょを自分のほうに引きよせていました。
Do you wonder that Fatty Coon was frightened?	3 みなさんは、ふとっちょあらいぐまが、ただおびえていただけだったと思いますか？
