THE BOARDING HOUSE	下宿屋
Mrs. Mooney sat in the straw arm-chair and watched the servant Mary remove the breakfast things.	ミセス・ムーニーは麦わらの肘掛椅子に座り、女中のメアリーが朝食の道具を片付けるのを見ていた。
She mad Mary collect the crusts and pieces of broken bread to help to make Tuesday's bread- pudding.	彼女は火曜日にパンプディングを作る助けにしようとメアリーにちぎれたパンの皮やかけらを集めさせていた。
When the table was cleared, the broken bread collected, the sugar and butter safe under lock and key, she began to reconstruct the interview which she had had the night before with Polly.	テーブルがきれいになり、パン屑が集められ、砂糖とバターが厳重にしまいこまれると、彼女は前夜ポリーとした対話を再現し始めた。
Things were as she had suspected:	事態は彼女がにらんでいた通りだった。
she had been frank in her questions and Polly had been frank in her answers.	彼女は率直に質問し、ポリーは率直に答えた。
Both had been somewhat awkward, of course.	もちろん、どちらもいくぶんぎこちなかった。
She had been made awkward by her not wishing to receive the news in too cavalier a fashion or to seem to have connived and Polly had been made awkward not merely because allusions of that kind always made her awkward but also because she did not wish it to be thought that in her wise innocence she had divined the intention behind her mother's tolerance.	彼女がぎこちない思いをさせられたのはあまり無頓着にそのニュースを受け取ったり、見て見ぬふりをしてきたと思われたりしたくなかったからであり、ポリーがぎこちない思いをさせられたのは単にその種のことをほのめかされるといつもぎこちなくなるからというだけでなく、母親の我慢の背後にある意図を無邪気なふりをして見抜いていたと思われたくないからでもあった。
Mrs. Mooney glanced instinctively at the little gilt clock on the mantelpiece as soon as she had become aware through her revery that the bells of George's Church had stopped ringing.	ミセス・ムーニーはもの思いの中、ジョージ教会の鐘が鳴り止んでいることに気づくとすぐにマントルピースの上の小さな金色の時計を本能的ににちらと見やった。
It was seventeen minutes past eleven:	十一時十七分。
she would have lots of time to have the matter out with Mr. Doran and then catch short twelve at Marlborough Street.	彼女にはミスター・ドーランと問題の決着をつける時間はたっぷりあるし、それからでもマールボロウ・ストリートの十二時のミサに間に合うだろう。
She was sure she would win.	彼女は自分が勝つと確信していた。
To begin with she had all the weight of social opinion on her side:	まず第一に社会一般の意見は彼女の側に圧倒的に有利だ。
she was an outraged mother.	彼女は蹂躙された母親なのだ。
She had allowed him to live beneath her roof, assuming that he was a man of honour and he had simply abused her hospitality.	彼女は彼が信義を重んずる人と思い込んで彼女の家の屋根の下に暮らすことを許し、彼はまったくのところ彼女の親切なもてなしを悪用したのだ。
He was thirty-four or thirty-five years of age, so that youth could not be pleaded as his excuse;	彼は三十四か三十五歳だから、若さは彼の弁解の口実にはできない。
nor could ignorance be his excuse since he was a man who had seen something of the world.	また彼はちょっとは世間を見てきた人だから無知も口実にはできない。
He had simply taken advantage of Polly's youth and inexperience:	彼はまったくのところポリーの若さと未経験を利用した、
that was evident.	それは明らかだ。
The question was: What reparation would he make?	問題は、どんな償いを彼がするつもりか？だった。
There must be reparation made in such case.	そういう場合の償いというものがあるにちがいない。
It is all very well for the man:	何もかもまったく男に都合がいい。
he can go his ways as if nothing had happened, having had his moment of pleasure, but the girl has to bear the brunt.	彼は楽しい時を過ごしておいて、何事もなかったかのように好きなようにできるが、娘は矢面に立たなければならない。
Some mothers would be content to patch up such an affair for a sum of money;	ある金額と引き換えにこういう事態を収拾して満足する母親もいるだろう。
she had known cases of it.	彼女はその例を知っていた。
But she would not do so.	しかし彼女にそうするつもりはなかった。
For her only one reparation could make up for the loss of her daughter's honour:	彼女にとって失われた娘の名誉を取り戻すことができる償いは唯一つ、
marriage.	結婚だった。
She counted all her cards again before sending Mary up to Doran's room to say that she wished to speak with him.	彼女はメアリーを上のドーランの部屋へやって彼と話がしたいと言わせる前にもう一度自分のカードをすべて数え上げた。
She felt sure she would win.	彼女は自分が勝つ自信があった。
He was a serious young man, not rakish or loud-voiced like the others.	彼はまじめな若い男であり、他の連中のように道楽者でもないし、騒々しくもない。
If it had been Mr. Sheridan or Mr. Meade or Bantam Lyons her task would have been much harder.	これがミスター・シェリダンやミスター・ミードやバンタム・ライアンズだったら彼女の仕事はずっと難しかっただろう。
She did not think he would face publicity.	彼は世間の目に立ち向かうようなことをするまいと彼女は思った。
All the lodgers in the house knew something of the affair;	家中の下宿人が、二人の関係をいくらか知っていた。
details had been invented by some.	誰かがいろいろ仔細をでっち上げていたのだ。
Besides, he had been employed for thirteen years in a great Catholic wine-merchant's office and publicity would mean for him, perhaps, the loss of his job.	その上、彼は十三年間、熱心なカトリックのワイン商の事務所に雇われてきたが、世間に知れることは彼にとって、たぶん仕事を失うことを意味するだろう。
Whereas if he agreed all might be well.	ところが彼が同意すれば万事が申し分ないかもしれない。
She knew he had a good screw for one thing and she suspected he had a bit of stuff put by.	一つには彼がいい稼ぎをしているのを彼女は知っていたし、彼が小金を貯めているのではないかと彼女は思っていた。
Nearly the half-hour!	もう少しで三十分！
She stood up and surveyed herself in the pier-glass.	彼女は立ち上がり、姿見で我が身をしげしげと見た。
The decisive expression of her great florid face satisfied her and she thought of some mothers she knew who could not get their daughters off their hands.	大きな血色のよい顔の断固とした表情に彼女は満足し、彼女の知る、自分の娘を片付けることができない母親たちのことを考えた。
Mr. Doran was very anxious indeed this Sunday morning.	ミスター・ドーランはこの日曜の朝、実際ひどく不安だった。
He had made two attempts to shave but his hand had been so unsteady that he had been obliged to desist.	彼は二度までひげをそろうとしたが、手が定まらず、仕方なしによしてしまった。
Three days' reddish beard fringed his jaws and every two or three minutes a mist gathered on his glasses so that he had to take them off and polish them with his pocket-handkerchief.	三日分の赤みがかったひげがあごを縁取り、二分か三分ごとにメガネに水滴が集まるので彼はポケットハンカチでそれを取り除いて磨かなければならなかった。
The recollection of his confession of the night before was a cause of acute pain to him;	前夜の告解の記憶が彼の鋭い痛みの原因だった。
the priest had drawn out every ridiculous detail of the affair and in the end had so magnified his sin that he was almost thankful at being afforded a loophole of reparation.	司祭が情事のばかばかしい仔細までいちいち聞き出し、しまいには彼の罪をあまり大げさに言うものだから、彼は償いという逃げ道を与えられてほとんど感謝しないばかりだった。
The harm was done.	被害が生じた。
What could he do now but marry her or run away?	今となっては彼女と結婚するか逃げ出すほか、彼に何ができる？
He could not brazen it out.	彼には鉄面皮で押し通すことはできない。
The affair would be sure to be talked of and his employer would be certain to hear of it.	このことはきっと話題になるだろうし彼の雇い主はそれを聞きつけるだろう。
Dublin is such a small city:	ダブリンはこんな小さな都市だ。
everyone knows everyone else's business.	みんなが他のみんなに関することを知っている。
He felt his heart leap warmly in his throat as he heard in his excited imagination old Mr. Leonard calling out in his rasping voice:	想像をかき立てられてミスター・レオナルド老人があのギーギー言う声で
"Send Mr. Doran here, please."	「ミスター・ドーランをここへ寄越してください」
All his long years of service gone for nothing!	長年の勤めがすべて無駄になってしまった！
All his industry and diligence thrown away!	勤勉、精励をすべて棒にふってしまった！
As a young man he had sown his wild oats, of course;	若い男だもの、もちろん若気の至りから道楽をしたこともあった。
he had boasted of his free-thinking and denied the existence of God to his companions in public- houses.	パブで仲間に自由思想を吹聴したり、神の存在を否定したりしたこともあった。
But that was all passed and done with... nearly.	しかしそれはみんなすっかり終わったことだ・・・ほとんど。
He still bought a copy of Reynolds's Newspaper every week but he attended to his religious duties and for nine-tenths of the year lived a regular life.	彼はまだ毎週レイノルズ新聞を一部買っていたが、宗教上の勤めには精を出していたし一年の九割がたは規則正しい生活を送っていた。
He had money enough to settle down on;	彼は身を固めるだけの金は持っていた。
it was not that.	そのことではない。
But the family would look down on her.	しかし家族は彼女を見下すだろうな。
First of all there was her disreputable father and then her mother's boarding house was beginning to get a certain fame.	まず第一に彼女には外聞の悪い父親がいるし、その上母親の下宿にもある評判が立ち始めていた。
He had a notion that he was being had.	彼はだまされているという考えを抱いた。
He could imagine his friends talking of the affair and laughing.	彼は友人たちがこのことを話しながら笑っているのを想像できた。
She was a little vulgar;	彼女はちょっと低俗だ。
some times she said	「見れれる」
"I seen"	「あたしが知ってたたら」
and	とか言う。
But what would grammar matter if he really loved her?	しかし彼が本当に彼女を愛しているなら文法などかまうものか。
He could not make up his mind whether to like her or despise her for what she had done.	彼は彼女のしたことで彼女を好きになるべきかそれとも軽蔑すべきか、心を決めかねていた。
Of course he had done it too.	もちろんそれは彼のしたことでもある。
His instinct urged him to remain free, not to marry.	彼の本能はしきりに自由のままでいろ、結婚するなと言っていた。
Once you are married you are done for, it said.	一度結婚させられたらお前はもうだめだぞ、と言っていた。
While he was sitting helplessly on the side of the bed in shirt and trousers she tapped lightly at his door and entered.	彼が力なく、ベッドの傍らにシャツとズボンの姿で座っていると、彼女が軽くドアをたたいて入ってきた。
She told him all, that she had made a clean breast of it to her mother and that her mother would speak with him that morning.	彼女はすべてを、母親にあれをすっかり打ち明けたこと、母親がその朝彼と話すつもりでいることを彼に語った。
She cried and threw her arms round his neck, saying:	彼女は泣いて彼の首に抱きつき、言った。
"O Bob!	「おお、ボブ！
Bob!	ボブ！
What am I to do?	あたしどうしたらいいの？
What am I to do at all?"	いったいどうしたらいいの？」
She would put an end to herself, she said.	彼女は死ぬつもりだと言った。
He comforted her feebly, telling her not to cry, that it would be all right, never fear.	彼は、泣かないで、大丈夫だから、心配しないでと言って、弱々しく彼女を慰めた。
He felt against his shirt the agitation of her bosom.	彼はシャツに当たる彼女の胸の動揺を感じた。
It was not altogether his fault that it had happened.	そうなってしまったのは彼ばかりの責任ではなかった。
He remembered well, with the curious patient memory of the celibate, the first casual caresses her dress, her breath, her fingers had given him.	彼女の服、彼女の息、彼女の指による最初のさりげない愛撫を、独身者のうずうずするような我慢の記憶とともに、彼はよく覚えていた。
Then late one night as he was undressing for she had tapped at his door, timidly.	あれはある夜遅くのこと、彼が服を脱いでいるとき彼女がおずおずとドアをノックした。
She wanted to relight her candle at his for hers had been blown out by a gust.	彼女は突風でろうそくが吹き消されてしまったので彼のところで火をつけ直したいと思ったんだ。
It was her bath night.	彼女が入浴する夜だった。
She wore a loose open combing- jacket of printed flannel.	彼女はゆったりしたオープンの、模様のついたフランネルのコーミングジャケットを着けていた。
Her white instep shone in the opening of her furry slippers and the blood glowed warmly behind her perfumed skin.	彼女の白い足の甲が毛皮の室内履きの隙間に輝き、芳香を放つ肌の奥で血が熱く燃えていた。
From her hands and wrists too as she lit and steadied her candle a faint perfume arose.	ろうそくに火をつけて固定する彼女の手や手首からもほのかな香りが立ち上っていた。
On nights when he came in very late it was she who warmed up his dinner.	彼がすっかり遅くなった夜に夕食を温めたのは彼女だった。
He scarcely knew what he was eating feeling her beside him alone, at night, in the sleeping house.	夜、家中眠っている中、彼女のそばにいるのは自分ひとりと思うと、彼は何を食べているのかほとんどわからなかった。
And her thoughtfulness!	それに彼女の思いやり！
If the night was anyway cold or wet or windy there was sure to be a little tumbler of punch ready for him.	とにかく寒い夜、雨の夜、風の夜には必ず彼のために小さなタンブラーにパンチが用意されていた。
Perhaps they could be happy together....	たぶん彼らは共に幸せになれるだろう・・・
They used to go upstairs together on tiptoe, each with a candle, and on the third landing exchange reluctant goodnights.	彼らはいつもこっそりと一緒に、それぞれろうそくを持って階段を上がり、三番目の踊り場でしぶしぶおやすみを言い合ったものだ。
They used to kiss.	彼らはいつもキスをした。
He remembered well her eyes, the touch of her hand and his delirium....	彼はすっかり思い出した、彼女の目、彼女の手の感触、そして彼の興奮・・・
But delirium passes.	しかし興奮は過ぎ去る。
He echoed her phrase, applying it to himself:	彼は彼女の言葉をなぞって、自分自身に当てはめた。
"What am I to do?"	「どうしたらいい？」
The instinct of the celibate warned him to hold back.	独身者の本能は自制せよと警告した。
But the sin was there;	しかし罪はあった。
even his sense of honour told him that reparation must be made for such a sin.	彼の廉恥心までがそのような罪に対しては償いがなされなければならないと告げた。
While he was sitting with her on the side of the bed Mary came to the door and said that the missus wanted to see him in the parlour.	彼が彼女とともにベッドの傍らに座っていると、メアリーが戸口に来ておかみさんが客間で彼に会いたがっていると言った。
He stood up to put on his coat and waistcoat, more helpless than ever.	彼はさらにいっそう力なく立ち上がって上着とベストを着た。
When he was dressed he went over to her to comfort her.	服を着る時彼は彼女を慰めるために繰り返した。
It would be all right, never fear.	大丈夫、心配しないで。
He left her crying on the bed and moaning softly:	彼が立ち去る時彼女はベッドの上で泣きながら静かにうめいていた。
"O my God!"	「ああ、神様！」
Going down the stairs his glasses became so dimmed with moisture that he had to take them off and polish them.	階段を下り行く彼のメガネが湿気でぼんやりとしてきたので、彼はそれを取り除いて磨かなければならなかった。
wHe longed to ascend through the roof and fly away to another country where he would never hear again of his trouble, and yet a force pushed him downstairs step by step.	彼は屋根の上に抜け、彼のもめごとなど二度と耳にすることの無い別の国へ飛び去りたいと強く思ったが、それにもかかわらずある力が彼を一歩一歩階下へ押しやった。
The implacable faces of his employer and of the Madam stared upon his discomfiture.	雇い主の、そしてマダムの容赦のない顔が彼の狼狽ぶりをじっと見つめていた。
On the last flight of stairs he passed Jack Mooney who was coming up from the pantry nursing two bottles of Bass.	最後の階段で、彼は食料貯蔵室からバスを二瓶、大事に抱えて上がってくるジャック・ムーニーとすれ違った。
They saluted coldly;	彼らは冷ややかに挨拶した。
and the lover's eyes rested for a second or two on a thick bulldog face and a pair of thick short arms.	そして恋人の目は一二秒、ずんぐりしたブルドッグのような顔や太く短い二本の腕に向けられた。
When he reached the foot of the staircase he glanced up and saw Jack regarding him from the door of the return-room.	階段の下に着いた彼はちらと見上げ、ジャックが小部屋のドアのところから彼を見つめているのを見た。
Suddenly he remembered the night when one of the musichall artistes, a little blond Londoner, had made a rather free allusion to Polly.	不意に彼は、ミュージックホールの芸人で、小柄なブロンドのロンドンの男がちょっとなれなれしくポリーのことを口にした夜のことを思い出した。
The reunion had been almost broken up on account of Jack's violence.	懇親会はジャックの乱暴のためにほとんどお開きになった。
Everyone tried to quiet him.	皆が彼をなだめようとした。
The music-hall artiste, a little paler than usual, kept smiling and saying that there was no harm meant:	ミュージックホールの芸人はいつもより少し青くなり、微笑みながら悪意があってのことではないと言い続けていた。
but Jack kept shouting at him that if any fellow tried that sort of a game on with his sister he'd bloody well put his teeth down his throat, so he would.	しかしジャックは彼に向かって、誰だって妹をそんなふうにからかうやつはこっぴどくその歯をのどにおしこんでやるとどなり続け、そうしようとした。
Polly sat for a little time on the side of the bed, crying.	ポリーは少しの間泣きながらベッドの傍らに座っていた。
Then she dried her eyes and went over to the looking-glass.	それから彼女は目を拭い、姿見の方へ行った。
She dipped the end of the towel in the water-jug and refreshed her eyes with the cool water.	彼女は水差しの水にタオルの端を浸し、冷たい水で目をすっきりさせた。
She looked at herself in profile and readjusted a hairpin above her ear.	彼女は自分の横顔を見て、耳の上のヘアピンを直した。
Then she went back to the bed again and sat at the foot.	それから彼女は再びベッドに戻り、その足元に座った。
She regarded the pillows for a long time and the sight of them awakened in her mind secret, amiable memories.	彼女が長いこと枕を眺めているとその眺めが秘密の心地よい思い出を呼び起こした。
She rested the nape of her neck against the cool iron bed-rail and fell into a reverie.	彼女はうなじを冷たい鉄のベッド柵にもたせかけ、もの思いにふけった。
There was no longer any perturbation visible on her face.	彼女の顔にもはや心の動揺は見られなかった。
She waited on patiently, almost cheerfully, without alarm.	彼女は気長に、ほとんど楽しげに、不安もなく待ち続け、
her memories gradually giving place to hopes and visions of the future.	思い出は次第に未来への希望や夢想に場所を譲っていった。
Her hopes and visions were so intricate that she no longer saw the white pillows on which her gaze was fixed or remembered that she was waiting for anything.	彼女の希望や夢想はとても入り組んでいたので、彼女は視線をじっと据えている白い枕をもはや見もせず、何かを待っていることも覚えていなかった。
At last she heard her mother calling.	とうとう彼女は母親の呼ぶ声を聞いた。
She started to her feet and ran to the banisters.	彼女は跳び上がって階段の手すりへ走った。
"Polly!	「ポリー！
Polly!"	ポリー！」
"Yes, mamma?"	「なに、ママ？」
"Come down, dear.	「おりていらっしゃいな。
Mr. Doran wants to speak to you."	ミスター・ドーランがあなたと話をしたいそうよ。」
Then she remembered what she had been waiting for.	それで彼女は自分が何を待っていたのか思い出した。
