THE YELLOW FACE	黄色な顔
but to reach it you have to go along the road and then turn down a lane.	けれどその離れ家に行くには、グルグルと路（みち）を廻って、狭い路（みち）をおりて行かなくてはならないんです。
Just beyond it is a nice little grove of Scotch firs,	ちょうどその狭い路（みち）の辺（あたり）は、樅（もみ）の小森になっているんです。
and I used to be very fond of strolling down there,	私はよくその辺（へん）をブラブラしました。
for trees are always a neighbourly kind of thing.	実際木の繁っている所っていいものですからね。
The cottage had been standing empty this eight months,	――ところで、その離れ家ですが、八ヶ月もの間｜空家になっていたんです。
and it was a pity, for it was a pretty two-storied place, with an old-fashioned porch and a honeysuckle about it.	空家にしておくには本当に惜しいんで、小綺麗な二階があって、古風な入口で、周囲にはスイカツラがからみついていました。
I have stood many a time and thought what a neat little homestead it would make.	私は何回となくその前に立止っては、これでちょっと気のきいた農園住宅風なものを作れると考えました。
``Well, last Monday evening I was taking a stroll down that way when I met an empty van coming up the lane	すると先週の月曜日の夕方のことでしたが、私が例によってその辺（へん）をブラブラしておりますと、その狭い途（みち）を何も積んでいない幌附（ほろつ）きの運搬車がやって来るのに出合いました。
and saw a pile of carpets and things lying about on the grass-plot beside the porch.	そしてその離れ家の入口の側（そば）にある芝生の上には、カーペットとかその他そんなものがおいてありました。
It was clear that the cottage had at last been let.	――たしかに誰かがその離れ家に引越して来たんです。
I walked past it,	私はそれの前を通りすぎて立ち止りました。
and then stopping, as an idle man might, I ran my eye over it and wondered what sort of folk they were who had come to live so near us.	そしてよくブラブラしている人がやるように、その離れ家をボンヤリ眺めながら、私たちのすぐ近くへ来て住む人たちは、どんな種類の人なんだろうと想像してみました。
And as I looked I suddenly became aware that a face was watching me out of one of the upper windows.	と、私は、ふと、その家（うち）の二階の窓から、私をじっと見詰めている人の顔のあるのに気がつきました。
``I don't know what there was about that face, Mr. Holmes, but it seemed to send a chill right down my back.	私はその顔を見た瞬間、どう云うわけか知りませんけれど、ゾッとしましたよ、ホームズさん。
I was some little way off, so that I could not make out the features, but there was something unnatural and inhuman about the face.	――私はその家（うち）からかなり離れていたので、その顔をはっきり見定めることは出来ませんでしたけれど、何かこう気持ちの悪い惨忍そうな所がありました、それが私の受けた印象でした。
That was the impression that I had, and I moved quickly forward to get a nearer view of the person who was watching me.	――私は、私を見詰めているその顔をもっと近くでよく見てやろうと思って、いそいで近寄っていったんです。
But as I did so the face suddenly disappeared,	すると急にその顔は引込んじまいました。
so suddenly that it seemed to have been plucked away into the darkness of the room.	まるで不意に部屋の暗（やみ）の中に（も）ぎ取られたように、急に見えなくなってしまったんです。
I stood for five minutes	けれど私はまだ五分間ばかりそこにじっと立っていました。
thinking the business over and trying to analyze my impressions.	そしてその顔から受けた印象についていろいろ考えてみました。
I could not tell if the face was that of a man or a woman.	――私はそれが男だったか女だったか、どうしてもはっきりしないんです。
It had been too far from me for that.	けれどもその色だけははっきり覚えています。
But its colour was what had impressed me most.	それは死人の顔のような、青ざめた黄色でした。
It was of a livid chalky white, and with something set and rigid about it which was shockingly unnatural.	そしてその中（うち）に何か人をゾッとさせるようなものを含んでいるのです。
So disturbed was I that I determined to see a little more of the new inmates of the cottage.	私は不思議さのあまりとうとう、その離れ家の新しい住み手がどんな人間か見とどけてやろうと決心しました。
I approached and knocked at the door, which was instantly opened by a tall, gaunt woman with a harsh, forbidding face.	そこで私は近づいて行ってノックしますと、すぐ入口の戸は開けられて背の高い痩せこけた不愛憎（ぶあいそう）ないやらしい顔をした女が現れました。
```What may you be wantin'?'	「何か御用ですか」
she asked in a Northern accent.	と、その女は、北方（ほくぼう）なまりまるだしできいた。
``I am your neighbour over yonder, `	「私は原の向う側に、あなたとお隣同志にに住んでいるものでございますが」
said I, nodding towards my house.	と、私は自分の家（うち）のほうを指さしながらそう云った。
' I see that you have only just moved in, so I thought that if I could be of any help to you in any -- '	「ちょうどお越しになっていらしったのを見ましたもので、何かお手伝いでもするようなことがあったらと思いましたもので……」
```Ay, We'll just ask ye when we want ye,'	「いえ、お願いしたい時はこちらから上がります」
said she, and shut the door in my face.	そう云うと彼女は、ピシャッと私の目の前で戸を閉めてしまいました。
Annoyed at the churlish rebuff, I turned my back and walked home.	私はこの無作法な断りかたに腹が立ちましたが、そのまま家（うち）に帰って来ました。
All evening, though I tried to think of other things, my mind would still turn to the apparition at the window and the rudeness of the woman.	――その夜（よ）は一晩中、何か他のことを考えようとしても、私の心はあの窓に現れた女の顔と、それから戸口に出て来たあの女の無作法さとにばかりかえって行くのでした。
I determined to say nothing about the former to my wife,	が私はこんなことについては、妻には何も云うまいと決心しました。
for she is a nervous, highly strung woman,	なぜなら私の妻はとても神経過敏な女ですから。
and I had no wish that she should share the unpleasant impression which had been produced upon myself.	そして私が幾らそうさせまいと思っても、彼女は私が受けたあの不快な気持と同じものを受けるのに違いないのですから。
I remarked to her, however, before I fell asleep, that the cottage was now occupied, to which she returned no reply.	――けれど私は寝る前に、例の離れ家がふさがったことを彼女に話したところ、彼女は返事もしないのです。
``I am usually an extremely sound sleeper.	私は不断からぐっすりと安眠する男で、
It has been a standing jest in the family that nothing could ever wake me during the night.	よくうちで、私はかつがれたって目をさまさないだろうなんて、冗談を云ってるくらいです。
And yet somehow on that particular night,	ところが、その晩に限ってどうしたわけか、
whether it may have been the slight excitement produced by my little adventure or not I know not, but I slept much more lightly than usual.	――昼間の例の事件のために少々昂奮していたものかどうか知りませんが、不断のようにぐっすりと寝つかれなかったんです。
Half in my dreams I was dimly conscious that something was going on in the room,	――うとうとしていると、何かが部屋の中に這入って来たらしいような気が、ぼんやりしました。
and gradually became aware that my wife had dressed herself and was slipping on her mantle and her bonnet.	そして続いて、私の妻が着物を着て、マントをひっかけ、帽子を冠（かぶ）っていることが、だんだんはっきり分って来ました。
My lips were parted to murmur out some sleepy words of surprise or remonstrance at this untimely preparation,	私はこの時ならぬ時間に妻が外へ出て行くような恰好をしているので驚いて、
when suddenly my half-opened eyes fell upon her face, illuminated by the candle-light, and astonishment held me dumb.	がその次の瞬間、目を細くあけて、蝋燭（ろうそく）の光りで照らされている彼女の顔を見た時、私はハッとして咽喉（のど）がつまってしまいました。
She wore an expression such as I had never seen before	私は彼女のそんな顔つきを未（いま）だかつて見たことはありませんでした。
-- such as I should have thought her incapable of assuming.	――それはどう見ても彼女だとは思えないような顔つきでした。
She was deadly pale and breathing fast, glancing furtively towards the bed as she fastened her mantle to see if she had disturbed me.	――まるで死人のような真蒼（まっさお）な顔色をして、呼吸（いき）をはずませて、私の目をさまさせはしないだろうかと、マントを着てしまうと、コッソリと私の寝台のはしをうかがうのでした。
Then thinking that I was still asleep, she slipped noiselessly from the room,	がやがて、私がグッスリ寝込んでいるものと思いこんで、ソッと音のしないように部屋から滑り出していってしまいました。
