AFTER THE RACE	レースの後に
Then he had been sent for a term to Cambridge to see a little life.	それから彼は少しばかり世間を見るために一学期の間ケンブリッジに行かされた。
His father, remonstrative, but covertly proud of the excess, had paid his bills and brought him home.	父親は、行き過ぎを諌めはしたもののひそかに誇りに思いつつ、彼のつけを払い、彼を故郷へ連れ帰った。
It was at Cambridge that he had met Segouin.	ケンブリッジで彼はセグアンに出会った。
They were not much more than acquaintances as yet but Jimmy found great pleasure in the society of one who had seen so much of the world and was reputed to own some of the biggest hotels in France.	彼らはまだ知り合いの域をあまり出なかったが、世界のあちこちを見てきた人、フランスでも最大級のホテルをいくつか所有するという噂の人との交際に、ジミーは大きな喜びを感じた。
Such a person (as his father agreed) was well worth knowing, even if he had not been the charming companion he was.	そのような人物は（彼の父親も同意したように）十分知り合いになる価値があり、たとえそれが彼のような魅力的な友ではなかったとしてもだ。
Villona was entertaining also	ヴィローナも愉快な男だ
--a brilliant pianist	−−すばらしいピアニストだ
--but, unfortunately, very poor.	−−が、不幸にも、非常に貧しかった。
The car ran on merrily with its cargo of hilarious youth.	車は浮かれ騒ぐ青年たちを積んで陽気に走り続けた。
The two cousins sat on the front seat;	二人のいとこは前の座席に、
Jimmy and his Hungarian friend sat behind.	ジミーとハンガリー人の友は後ろに座った。
Decidedly Villona was in excellent spirits;	確かにヴィローナは上機嫌だった。
he kept up a deep bass hum of melody for miles of the road	彼は道中何マイルも太いバスで鼻歌を歌い続けていた。
The Frenchmen flung their laughter and light words over their shoulders and often Jimmy had to strain forward to catch the quick phrase.	フランス人たちは肩越しに笑い声や屈託のない言葉を投げかけ、たびたびジミーは前方の早口の言葉を懸命に聞き取ろうとしなければならなかった。
This was not altogether pleasant for him,	これは彼にとってあまり楽しくなかった。
as he had nearly always to make a deft guess at the meaning and shout back a suitable answer in the face of a high wind.	たいていその意味を手際よく推測しては強い風に向かって適切な答えを叫び返さなければならなかったからだ。
Besides Villona's humming would confuse anybody;	その上ヴィローナのハミングには誰だって心が乱れるし、
the noise of the car, too.	車の騒音も、だ。
Rapid motion through space elates one;	空間をすっ飛ばすことで人は舞い上がる。
so does notoriety;	有名になることもそうだ。
so does the possession of money.	金を持つこともそうだ。
These were three good reasons for Jimmy's excitement.	これらがジミーの興奮の三つの正当なる理由だ。
He had been seen by many of his friends that day in the company of these Continentals.	その日彼はこの大陸人たちと一緒のところを多くの友人に見られていた。
At the control Segouin had presented him to one of the French competitors and, in answer to his confused murmur of compliment, the swarthy face of the driver had disclosed a line of shining white teeth.	コントロールではセグアンが彼をライバルのフランス人の一人に紹介し、彼がまごつきながら賛辞をつぶやくのに応えて、ドライバーの浅黒い顔は輝く白い歯並びをあらわにした。
It was pleasant after that honour to return to the profane world of spectators amid nudges and significant looks.	この光栄なことに続いて、ひじでつつき意味ありげな顔つきをする見物人たちの俗世界へと戻るのは愉快だった。
Then as to money--he really had a great sum under his control.	それから金に関しては−−彼は実際、大金が自由になった。
Segouin, perhaps, would not think it a great sum but Jimmy who, in spite of temporary errors, was at heart the inheritor of solid instincts knew well with what difficulty it had been got together.	セグアンはたぶんそれを大金と考えないだろうが、ジミーは、一時の過ちはあったけれども、本来は堅実な本能を受け継いでいて、それだけのものを手に入れるにはどれだけ困難があったかよくわかっていた。
This knowledge had previously kept his bills within the limits of reasonable recklessness, and if he had been so conscious of the labour latent in money when there had been question merely of some freak of the higher intelligence, how much more so now when he was about to stake the greater part of his substance!	この認識があらかじめ彼の請求書の金額を無謀と言っても行き過ぎない範囲に抑えたし、彼が、より高度な知的存在のほんの気まぐれと考えられる時にも金の陰にある労働についてそれほど意識していたとすれば、彼の資産の大部分を賭けようとしている今はなおさらのこと、どれほどであったろう！
It was a serious thing for him.	それは彼にとって重大事だった。
Of course, the investment was a good one and Segouin had managed to give the impression that it was by a favour of friendship the mite of Irish money was to be included in the capital of the concern.	もちろんこの投資は確実なものだったし、セグアンは巧みに、アイルランドのわずかな金を事業の資本に含めることにしたのは友達としての好意だという印象を与えた。
Jimmy had a respect for his father's shrewdness in business matters and in this case it had been his father who had first suggested the investment;	ジミーは事業に関する父親の抜け目なさに敬意を持っており、またこの場合最初に投資を提案したのは父親だった。
money to be made in the motor business, pots of money.	自動車産業でできる金は大金であると。
Moreover Segouin had the unmistakable air of wealth.	その上セグアンが見るからに富裕なのは間違いのないところだった。
Jimmy set out to translate into days' work that lordly car in which he sat.	ジミーは自分が座っているその豪奢な車を労働日数に換算し始めた。
How smoothly it ran.	何と滑らかに走ることか。
In what style they had come careering along the country roads!	田舎道を疾走してきたそのスタイル！
The journey laid a magical finger on the genuine pulse of life and gallantly the machinery of human nerves strove to answer the bounding courses of the swift blue animal.	旅の魔法の指が生命の純粋な鼓動に触れ、勇敢にも人間の神経機関は高速の青い動物の跳ぶような進行に応えようと奮闘した。
They drove down Dame Street.	彼らはデイム・ストリートを走らせた。
The street was busy with unusual traffic, loud with the horns of motorists and the gongs of impatient tram-drivers.	通りは異常な往来で活気があり、ドライバーの鳴らす警笛や短気なトラムの運転手の鳴らすベルで騒々しかった。
Near the Bank Segouin drew up and Jimmy and his friend alighted.	銀行の近くでセグアンは止め、ジミーと友人は降りた。
A little knot of people collected on the footpath to pay homage to the snorting motor.	人々は小さな群れとなって歩道に集まり、鼻息荒い自動車に敬意を表した。
The party was to dine together that evening in Segouin's hotel and, meanwhile, Jimmy and his friend, who was staying with him, were to go home to dress.	一行はその晩セグアンのホテルで一緒に食事することになっており、それまでに、ジミーと彼の家に泊まっている友人は家に帰って身支度するのだった。
The car steered out slowly for Grafton Street while the two young men pushed their way through the knot of gazers.	車はゆっくりとグラフトン・ストリートに向かい、一方二人の若い男はじろじろ見つめる人の群れを押し分けて進んだ。
They walked northward with a curious feeling of disappointment in the exercise, while the city hung its pale globes of light above them in a haze of summer evening.	彼らは徒歩で、その運動に奇妙な失望を感じながら北に向かい、市は彼らの頭上の夏の夕暮れのかすみの中に青白い球形の明かりをつるしていた。
In Jimmy's house this dinner had been pronounced an occasion.	ジミーの家ではこのディナーは特別行事であると宣言されていた。
A certain pride mingled with his parents' trepidation, a certain eagerness, also, to play fast and loose for the names of great foreign cities have at least this virtue.	彼の両親のおののきには得意な気持ちがいくらか、また、うまく立ち回りたいという切なる思いもいくらか混じっていて、というのも外国の大都市の名にはともかくその徳があるわけである。
Jimmy, too, looked very well when he was dressed and, as he stood in the hall giving a last equation to the bows of his dress tie, his father may have felt even commercially satisfied at having secured for his son qualities often unpurchaseable.	ジミーだって正装したところは非常に立派だったし、彼が玄関ホールで出掛けに蝶ネクタイの左右を等しくしようとしている時、父親は多くの場合買うことのできない資質を息子のために手に入れてやったことに営利的にも満足していたかもしれない。
His father, therefore, was unusually friendly with Villona and his manner expressed a real respect for foreign accomplishments;	そういうわけで、父親はヴィローナに対して異様に友好的で、その態度は外国の教養に対する心からの敬意を表していた。
but this subtlety of his host was probably lost upon the Hungarian, who was beginning to have a sharp desire for his dinner.	しかし接待役のこの微妙なところは、たぶん、旺盛な食欲を感じ始めたハンガリー人には効果がなかった。
The dinner was excellent, exquisite.	ディナーは極上、すばらしかった。
Segouin, Jimmy decided, had a very refined taste.	セグアンは非常に洗練された好みを持っているとジミーは結論した。
The party was increased by a young Englishman named Routh whom Jimmy had seen with Segouin at Cambridge.	集まりにはジミーがケンブリッジでセグアンといるのを見かけたことのあるラウスという名の若いイギリス人が加わった。
The young men supped in a snug room lit by electric candle lamps.	若い男たちは電気ローソクの明かりのともる気持ちのよい部屋で夕食をとった。
They talked volubly and with little reserve.	彼らはおしゃべりになってほとんど遠慮なしに話した。
Jimmy, whose imagination was kindling, conceived the lively youth of the Frenchmen twined elegantly upon the firm framework of the Englishman's manner.	想像力を掻き立てられたジミーに、フランス人たちのはつらつとした若さがイギリス人の物腰の堅固な骨組みに優雅にからみつくというイメージが浮かんだ。
A graceful image of his, he thought, and a just one.	彼の優美な比喩表現であり、ぴったりだ、と彼は思った。
He admired the dexterity with which their host directed the conversation.	彼は会話を導く主人の手際に感服した。
The five young men had various tastes and their tongues had been loosened.	五人の若者にはさまざまな趣味があり、彼らの口は軽くなっていた。
Villona, with immense respect, began to discover to the mildly surprised Englishman the beauties of the English madrigal, deploring the loss of old instruments.	ヴィローナは限りない尊敬の面持ちで、いささか驚き気味のイギリス人に、イギリスのマドリガルの美しさについて明らかにし始め、古い楽器が失われることを嘆いていた。
Riviere, not wholly ingenuously, undertook to explain to Jimmy the triumph of the French mechanicians.	リヴィエールは何もかも正直にではなかったが、ジミーに向かってフランスの機械技師の勝利の説明に取り掛かった。
The resonant voice of the Hungarian was about to prevail in ridicule of the spurious lutes of the romantic painters when Segouin shepherded his party into politics.	ロマン主義の画家のいんちきリュートをあざける話題でハンガリー人の響き渡る声が圧倒的になりかけた時、セグアンは一座を政治に導いた。
Here was congenial ground for all.	ここに全員趣味を同じくする話題があった。
Jimmy, under generous influences, felt the buried zeal of his father wake to life within him:	ジミーは、気前のよい酒が効いて、父親が葬り去った熱情が心に蘇るのを感じた。
he aroused the torpid Routh at last.	とうとう彼は鈍感なラウスも目覚めさせた。
The room grew doubly hot and Segouin's task grew harder each moment:	部屋は倍して熱くなり、セグアンの仕事は刻々難しくなった。
there was even danger of personal spite.	個人的怨恨を生む可能性さえあった。
The alert host at an opportunity lifted his glass to Humanity and, when the toast had been drunk, he threw open a window significantly.	機敏な主人は機会を捉えて人類のためにグラスを上げ、そして乾杯が済むと、意味をこめてさっと窓を開けた。
That night the city wore the mask of a capital.	その夜、市は首都の仮面をつけていた。
The five young men strolled along Stephen's Green in a faint cloud of aromatic smoke.	五人の若い男たちはかすかに立ちこめる芳しい煙の中をスティーブンス・グリーンに沿ってぶらぶらと歩いた。
They talked loudly and gaily and their cloaks dangled from their shoulders.	彼らは大声で陽気に話し、肩から下がったマントが揺れていた。
The people made way for them.	人々は彼らに道を譲った。
At the corner of Grafton Street a short fat man was putting two handsome ladies on a car in charge of another fat man.	グラフトン・ストリートの角で背の低い太った男が二人の魅力的な婦人を車に乗せて別の太った男に委ねていた。
The car drove off and the short fat man caught sight of the party.	車は走り去り、背の低い太った男は一行を見つけた。
"Andre."	「アンドレ。」
"It's Farley!"	「ファーリーじゃないか！」
A torrent of talk followed.	おしゃべりの奔流がそれに続いた。
Farley was an American.	ファーリーはアメリカ人だった。
No one knew very well what the talk was about.	皆何を話しているのかよくわからなかった。
Villona and Riviere were the noisiest, but all the men were excited.	ヴィローナとリヴィエールがいちばん騒々しかったが、皆が興奮していた。
They got up on a car, squeezing themselves together amid much laughter.	彼らは笑いころげながら、ぎゅーぎゅー詰めになって車に乗り込んだ。
They drove by the crowd, blended now into soft colours, to a music of merry bells.	彼らは、今では地味な色に溶け込んだ群衆のそばを、陽気なベルの音楽に合わせて走った。
They took the train at Westland Row and in a few seconds, as it seemed to Jimmy, they were walking out of Kingstown Station.	ウェストランド・ロウで列車に乗り、数秒のうちに、とジミーには思われたが、彼らはキングスタウン・ステーションから歩み出ていた。
The ticket-collector saluted Jimmy;	改札係がジミーに挨拶した。
he was an old man:	年取った男だった。
"Fine night, sir!"	「すばらしい夜で、旦那！」
It was a serene summer night;	よく晴れた夏の夜だった。
the harbour lay like a darkened mirror at their feet.	黒ずんだ鏡のような港が彼らの足元にあった。
They proceeded towards it with linked arms, singing Cadet Roussel in chorus, stamping their feet at every:	彼らはそこへ向かって腕を組み、カデット・ルーセルを合唱し、リフレインのたびに足を踏み鳴らしながら進んだ。
"Ho!	「ホー！
Ho!	ホー！
Hohe, vraiment!"	ホーエ、本当に！」
They got into a rowboat at the slip and made out for the American's yacht.	彼らはスリップで手漕ぎのボートに乗り込み、アメリカ人のヨットに向かって出発した。
There was to be supper, music, cards.	そこに夕食、音楽、カードがあるのだ。
Villona said with conviction:	ヴィローナが確信を持って言った。
"It is delightful!"	「そいつは愉快だ！」
There was a yacht piano in the cabin.	キャビンにはヨットピアノがあった。
Villona played a waltz for Farley and Riviere, Farley acting as cavalier and Riviere as lady.	ヴィローナがファーリーとリヴィエールのためにワルツを弾き、リヴィエールがレディを、ファーリーがお相手役を演じた。
Then an impromptu square dance, the men devising original figures.	それから即興のスクエアダンス、男たちは独創的なフィギュアを考案した。
What merriment!	陽気でにぎやかなこと！
Jimmy took his part with a will;	ジミーは本気になって自分の役を演じた。
this was seeing life, at least.	少なくともこれが世間を見るということだ。
Then Farley got out of breath and cried	それからファーリーが息を切らして
"Stop!"	「ストップ！」
A man brought in a light supper, and the young men sat down to it for form's sake.	男が軽い夜食を持ってきて、若い男たちはそのために形だけ腰を下ろした。
They drank, however:	しかし彼らは飲んだ。
it was Bohemian.	それがボヘミアンだ。
They drank Ireland, England, France, Hungary, the United States of America.	彼らはアイルランド、イングランド、フランス、ハンガリー、アメリカ合衆国のために乾杯した。
Jimmy made a speech, a long speech, Villona saying:	ジミーが演説をして、長い演説をして、一息つくたびにヴィローナが
"Hear!	「賛成！
hear!"	賛成！」
whenever there was a pause.	と言った。
There was a great clapping of hands when he sat down.	彼が座ると大きな拍手が起こった。
It must have been a good speech.	いい演説だったにちがいなかった。
Farley clapped him on the back and laughed loudly.	ファーリーが彼の背中をたたいて大声で笑った。
What jovial fellows!	何て愉快な仲間だろう！
What good company they were!	何て楽しい連中だろう！
Cards!	カードだ！
cards!	カードだ！
The table was cleared.	テーブルが片付けられた。
Villona returned quietly to his piano and played voluntaries for them.	ヴィローナは静かにピアノに戻り、彼らのために即興で演奏した。
The other men played game after game, flinging themselves boldly into the adventure.	他の男たちは大胆に冒険に身を投じ、次々と勝負した。
They drank the health of the Queen of Hearts and of the Queen of Diamonds.	彼らはハートのクイーンとダイヤのクイーンの健康を祝して乾杯した。
Jimmy felt obscurely the lack of an audience:	ジミーはぼんやりと観客がいればなと感じた。
the wit was flashing.	機知がひらめいているのに。
Play ran very high and paper began to pass.	勝負が非常に大きくなり、手形が回り始めた。
Jimmy did not know exactly who was winning but he knew that he was losing.	ジミーは誰が勝っているのか正確には知らなかったが、彼が負けているのはわかっていた。
But it was his own fault for he frequently mistook his cards and the other men had to calculate his I.O.U.'s for him.	しかしそれはしばしばカードを間違えた彼自身の落ち度であり、他の者たちが彼のために彼の借用証を計算しなければならなかった。
They were devils of fellows but he wished they would stop:	彼らは向こう見ずな連中だが、やめにしてほしいと彼は思った。
it was getting late.	遅くなりつつあった。
Someone gave the toast of the yacht The Belle of Newport and then someone proposed one great game for a finish.	誰かがヨット、ザ・ベル・オブ・ニューポートに祝杯を挙げ、それから誰かが最後の大勝負を提案した。
The piano had stopped;	ピアノは止んでいた。
Villona must have gone up on deck.	ヴィローナはデッキに上がったに違いなかった。
It was a terrible game.	恐ろしい勝負だった。
They stopped just before the end of it to drink for luck.	彼らは勝負のつく直前に中断し、幸運を祈って乾杯した。
Jimmy understood that the game lay between Routh and Segouin.	勝利はラウスかセグアンのいずれかにあるとジミーは判断した。
What excitement!	なんという興奮！
Jimmy was excited too;	ジミーも興奮していた。
he would lose, of course.	もちろん彼は負けるだろう。
How much had he written away?	どれくらい彼は証文を書いたのか？
The men rose to their feet to play the last tricks. talking and gesticulating.	男たちは立ち上がり、しゃべり、ジェスチャーを交えながら、最後の一巡を争った。
Routh won.	ラウスが勝った。
The cabin shook with the young men's cheering and the cards were bundled together.	キャビンは若い男たちの喝采に揺れ、カードは集めて束ねられた。
They began then to gather in what they had won.	彼らはそれから勝った分を集め始めた。
Farley and Jimmy were the heaviest losers.	ファーリーとジミーがいちばん大金を失った。
He knew that he would regret in the morning but at present he was glad of the rest, glad of the dark stupor that would cover up his folly.	彼は朝には後悔することがわかっていたが、今は休息が嬉しく、彼の愚かさを覆い隠す暗い麻痺状態が嬉しかった。
He leaned his elbows on the table and rested his head between his hands, counting the beats of his temples.	彼はテーブルに肘を突き、両手の間に頭を休め、こめかみの脈動を数えていた。
The cabin door opened and he saw the Hungarian standing in a shaft of grey light:	キャビンのドアが開き、彼は一条の灰色の光の中に立つハンガリー人を見た。
"Daybreak, gentlemen!"	「夜明けだ、諸君！」
