THE PIT AND THE PENDULUM	落穴と振子
but still will not say that all of consciousness was lost.	しかしそれでも意識がすっかり失われていたとは言いたくない。
What of it there remained I will not attempt to define, or even to describe;	それがどれくらい残っていたかということは、ここで断定しようとは思わないし、書こうとも思わない。
yet all was not lost.	だがすべてが失われていたのではなかった。
In the deepest slumber -- no!	深い眠りのなかでも――いや！
In delirium -- no!	無我夢中のときでも――いや！
In a swoon -- no!	気絶しているときでも――いや！
In death -- no!	死んでいても――いや！
Even in the grave all was not lost.	墓のなかにあってさえも、すべてが失われるものではないのだ。
Else there is no immortality for man.	でなければ人間にとって不滅ということがなくなる。
Arousing from the most profound of slumbers, we break the gossamer web of some dream.	もっとも深い眠りから覚めるとき、我々はなにかしら薄紗（うすもの）のような夢を破るものである。
Yet in a second afterwards (so frail may that web have been) we remember not that we have dreamed.	しかし一秒もたつと（その薄いものはそれほど脆（もろ）いものであろう）我々はいままで夢をみていたことをもう覚えていない。
In the return to life from the swoon there are two stages;	気絶からよみがえるまでには二つの段階がある。
first, that of the sense of mental or spiritual;	第一は、心的もしくは精神的存在の知覚の段階であり、
secondly, that of the sense of physical existence.	第二は、肉体的存在の知覚のそれである。
It seems probable that if, upon reaching the second stage, we could recall the impressions of the first, we should find these impressions eloquent in memories of the gulf beyond.	もし我々がこの第二の段階に達したときに、第一の段階の印象を思い起すことができるとするなら、これらの印象が彼岸の深淵（しんえん）の記憶を雄弁に語っていると言ってもよいようだ。
And that gulf is, what?	そしてその深淵とは――なんであるか？
How at least shall we distinguish its shadows from those of the tomb?	我々はどうして、少なくともその深淵の影を死の影と区別したらいいか？
But if the impressions of what I have termed the first stage are not at will recalled, yet, after long interval, do they not come unbidden, while we marvel whence they come?	しかし私が第一の段階と名づけたものの印象がもし意のままに思い起されないものとしても、長いあいだたったのちに、それらの印象が自然にやってきて、どこからやってきたのかと怪しむようなことはあるまいか？
He who has never swooned is not he who finds strange palaces and wildly familiar faces in coals that glow;	かつて一度も気絶したことのない人は、赤々と燃え輝いている石炭のなかに、不思議な宮殿やどこか見知ったような顔などを見る人ではない。
is not he who beholds floating in mid-air the sad visions that the many may not view;	世の多くの人々の眼にはうつらないような悲しげな幻影が空中に浮んでいるのを見る人でもない。
is not he who ponders over the perfume of some novel flower;	なにかの珍しい花の香を嗅（か）いでもの思いにふける人でもない。
is not he whose brain grows bewildered with the meaning of some musical cadence which has never before arrested his attention.	いままではなんの注意もひいたことのないような音楽の韻律の意味を考えて頭が乱される人でもない。
Amid frequent and thoughtful endeavours to remember, amid earnest struggles to regather some token of the state of seeming nothingness into which my soul had lapsed, there have been moments when I have dreamed of success;	思い出そうとする考え深いいくたびもの試みの最中に、私の霊魂が落ちていったあの虚無らしい状態の形跡をよせ集めようとする熱心な努力の最中に、ときどきうまく思い出せたと思う瞬間があった。
there have been brief, very brief periods when I have conjured up remembrances which the lucid reason of a later epoch assures me could have had reference only to that condition of seeming unconsciousness.	あとになって明晰（めいせき）な理性の保証するところによると、その無意識らしい状態にだけ関している記憶を、呼び起した短い、ごく短い時期があった。
These shadows of memory tell indistinctly of tall figures that lifted and bore me in silence down -- down -- still down -- till a hideous dizziness oppressed me at the mere idea of the interminableness of the descent.	この影のような記憶がぼんやりと語っているところによると、背の高い者たちが、無言のまま私の体を持ち上げて、下の方へ――下の方へ――なおも下の方へと運んでいったので、とうとう私はその果てしない下降ということを考えただけで気持の悪い眩暈（めまい）に圧倒されてしまったのだ。
They tell also of a vague horror at my heart on account of that heart's unnatural stillness.	また私は、心が不自然なほど静かだったので、漠然とした恐怖を感じたのだ。
Then comes a sense of sudden motionlessness throughout all things;	次にはすべてのものがみな急に動かなくなったという知覚がきた。
as if those who bore me (a ghastly train!) had outrun, in their descent, the limits of the limitless , and paused from the wearisomeness of their toil.	まるで私を運んでいる者たち（恐ろしい一行！）が下降しながらとっくに限りないものの限界をも越えてしまって、彼らの労苦に疲れはてた歩みをとどめたかのように。
After this I call to mind flatness and dampness;	そののちに思い起すのは平坦と湿気との感じである。
and then all is MADNESS -- the madness of a memory which busies itself among forbidden things.	それからはすべてが狂乱――考えることを許されないいまわしいもののあいだを忙しくとびまわる記憶の狂乱である。
Very suddenly there came back to my soul motion and sound -- the tumultuous motion of the heart, and in my ears the sound of its beating.	まったくとつぜんに、私の魂に運動と音とが――心臓のはげしい運動と、耳に響くその鼓動の音とが、戻ってきた。
Then a pause in which all is blank.	それからいっさいが空白である合間。
Then again sound, and motion, and touch, a tingling sensation pervading my frame.	やがてまた音と、運動と、触覚――体じゅうにしみわたるぴりぴり疼（うず）く感覚。
Then the mere consciousness of existence, without thought, a condition which lasted long.	次に思考力を伴わない単なる生存の意識、――この状態は長くつづいた。
Then, very suddenly, THOUGHT, and shuddering terror, and earnest endeavour to comprehend my true state.	それからまったくとつぜんに、思考力と、戦慄するような恐怖感と、自分のほんとうの状態を知りつくそうとする熱心な努力。
Then a strong desire to lapse into insensibility.	つぎには無感覚になってしまいたいという強烈な願望。
Then a rushing revival of soul and a successful effort to move.	それから魂の急速なよみがえりと、動こうとする努力の成功。
And now a full memory of the trial, of the judges, of the sable draperies, of the sentence, of the sickness, of the swoon.	そして今度は審問や、裁判官たちや、黒い壁掛けや、宣告や、衰弱や、気絶などの完全な記憶。
Then entire forgetfulness of all that followed; of all that a later day and much earnestness of endeavour have enabled me vaguely to recall.	それからは、その後につづいたすべてのことの、後日になって熱心な努力でやっと漠然と思い起すことのできたすべてのことの、完全な忘却。
So far I had not opened my eyes.	これまでは私は眼を開かなかった。
I felt that I lay upon my back unbound.	私は縛めを解かれて仰向けに横たわっているのを感じた。
I reached out my hand, and it fell heavily upon something damp and hard.	手を伸ばすと、何かじめじめした硬いものにどたりと落ちた。
There I suffered it to remain for many minutes, while I strove to imagine where and what I could be.	何分間もそこに手を置いたまま、自分がどこにいてどうなっているのか想像しようと努めた。
I longed, yet dared not, to employ my vision.	眼を開いて見たかったが、そうするだけの勇気がなかった。
I dreaded the first glance at objects around me.	身のまわりのものを最初にちらと見ることを私は恐れたのだ。
It was not that I feared to look upon things horrible,	恐ろしいものを見るのを恐れたのではない。
but that I grew aghast lest there should be NOTHING to see.	なにも見るものがないのではあるまいかと思って恐ろしくなったのだった。
At length, with a wild desperation at heart, I quickly unclosed my eyes.	とうとう、はげしい自暴自棄の気持で、眼をぱっとあけてみた。
My worst thoughts, then, were confirmed.	すると私のいちばん恐れていた考えが事実となってあらわれた。
The blackness of eternal night encompassed me.	永遠の夜の暗黒が私を包んでいるのだ。
I struggled for breath.	私は息をしようとしてもがいた。
The intensity of the darkness seemed to oppress and stifle me.	濃い暗闇は私を圧迫し窒息させるように思われた。
The atmosphere was intolerably close.	空気は堪えがたいほど息づまるようであった。
I still lay quietly, and made effort to exercise my reason.	私はなおじっと横たわって、理性を働かせようと努めた。
I brought to mind the inquisitorial proceedings, and attempted from that point to deduce my real condition.	宗教裁判官のやり方を思い出して、その点から自分のほんとうの状態を推定してみようと試みた。
The sentence had passed, and it appeared to me that a very long interval of time had since elapsed.	宣告が言いわたされ、それから非常に長い時間がたっているような気がした。
Yet not for a moment did I suppose myself actually dead.	しかし自分が実際に死んでいると想像したことは一瞬時もなかった。
Such a supposition, notwithstanding what we read in fiction , is altogether inconsistent with real existence;	そのような想像は、物語では読むことはあるが、ほんとうの生存とはぜんぜん矛盾するものである。
-- but where and in what state was I?	――だが、いったい私はどこに、どんな状態でいるのであろう？
The condemned to death, I knew, perished usually at the auto-da-fes,	死刑を宣告された者が通常 autos-da-f（「信仰の行為（２）」）で殺されることは私も知っていた。
and one of these had been held on the very night of the day of my trial.	そしてそれが私の審問された日のちょうどその夜にも執行されたのであった。
Had I been remanded to my dungeon, to await the next sacrifice, which would not take place for many months?	私は自分の牢（ろう）へ送りかえされて幾月ものあいだ起りそうにもない次の犠牲を待つことになったのであろうか？
This I at once saw could not be.	そんなことがあるはずはないと私はすぐ悟った。
Victims had been in immediate demand.	犠牲者はすぐに必要なのだ。
Moreover my dungeon, as well as all the condemned cells at Toledo, had stone floors, and light was not altogether excluded.	そのうえ、私の前の牢は、トレード（３）にあるすべての監房と同じように、石の床であって、光線がぜんぜんさえぎられてはいなかった。
A fearful idea now suddenly drove the blood in torrents upon my heart,	恐ろしい考えがこのとき急に念頭に浮び、血は奔流のように心臓へ集まった。
and for a brief period I once more relapsed into insensibility.	そして少しのあいだ、私はもう一度無感覚の状態にあともどりした。
Upon recovering, I at once started to my feet, trembling convulsively in every fibre.	我に返るとすぐ、全身の繊維が痙攣（けいれん）的に震えながらも、すっと立ち上がった。
I thrust my arms wildly above and around me in all directions.	頭の上や身のまわりやあらゆる方向に両腕を乱暴に突き出してみた。
I felt nothing;	なんにも触れなかった。
yet dreaded to move a step, lest I should be impeded by the walls of a TOMB.	それでも墓穴の壁に突き当りはしないかと思って、一歩でも動くことを恐れた。
Perspiration burst from every pore, and stood in cold big beads upon my forehead.	汗が体じゅうの毛孔から流れ出て、額には冷たい大きな玉がたまった。
The agony of suspense grew at length intolerable,	この不安な苦痛にとうとう堪えられなくなった。
and I cautiously moved forward, with my arms extended , and my eyes straining from their sockets, in the hope of catching some faint ray of light.	そこで両手をひろげ、かすかな光線でもとらえようと思って眼を眼窩（がんか）から突き出すようにしながら、注意深く前へ動いた。
I proceeded for many paces, but still all was blackness and vacancy.	私は何歩も進んだ、しかしやはりすべてが暗黒と空虚とであった。
I breathed more freely.	私はいままでよりも自由に呼吸をした。
It seemed evident that mine was not, at least, the most hideous of fates.	私の運命が少なくともいちばん恐ろしいものではないことはまず明らかであるように思われた。
And now, as I still continued to step cautiously onward, there came thronging upon my recollection a thousand vague rumours of the horrors of Toledo.	そしてなおも注意深く前へ歩きつづけているあいだに、今度はトレードの恐怖についてのいろいろの漠然とした噂（うわさ）が、私の記憶に群がりながら浮んできた。
Of the dungeons there had been strange things narrated	牢については前から奇妙なことが言い伝えられていた。
-- fables I had always deemed them	――つくり話だと私はいつも思っていたが
-- but yet strange, and too ghastly to repeat, save in a whisper.	――しかしいかにも奇妙な、声をひそめてでなければくりかえして話すことができないくらいにもの凄（すご）い話であった。
Was I left to perish of starvation in this subterranean world of darkness;	私はこの地下の暗黒の世界で餓死させられるのであろうか？
or what fate perhaps even more fearful awaited me?	さもなければ、たぶん、それよりもっと恐ろしいものではあろうが、どんな運命が私を待っているのであろうか？
That the result would be death, and a death of more than customary bitterness, I knew too well the character of my judges to doubt.	その結果が死であり、それも普通の苦しさ以上の死であろうということは、あの裁判官らの性質をよく知っている私には疑う余地もなかった。
The mode and the hour were all that occupied or distracted me.	ただその方法と時間とが、私を考えさせ、あるいは悩ましたすべてであった。
My outstretched hands at length encountered some solid obstruction.	ひろげていた手はとうとうなにか固い障害物につき当った。
It was a wall, seemingly of stone masonry -- very smooth, slimy, and cold.	それは壁であったが、石造らしく――ひどくなめらかで、ぬらぬらしていて、冷たかった。
I followed it up;	私はそれについて行った。
stepping with all the careful distrust with which certain antique narratives had inspired me.	ある昔の物語が教えてくれた注意深い警戒の念をもって、一歩一歩進んだ。
This process, however, afforded me no means of ascertaining the dimensions of my dungeon;	しかし、この方法は牢の広さを確かめる手段とはならなかった。
as I might make its circuit, and return to the point whence I set out, without being aware of the fact, so perfectly uniform seemed the wall.	というのは、一まわりしてもとの出発点に戻っていても、そのことがわからないからであって、それほどその壁は完全に一様なものらしかった。
I therefore sought the knife which had been in my pocket when led into the inquisitorial chamber,	そこで私は、宗教裁判所の部屋のなかへ連れて行かれたときにポケットのなかにあったナイフを探した。
but it was gone;	がそれはなかった。
my clothes had been exchanged for a wrapper of coarse serge.	私の衣服は粗末なセルの着物にかわっていたのだ。
I had thought of forcing the blade in some minute crevice of the masonry, so as to identify my point of departure.	出発点を認められるようにそのナイフの刀身をどこか石の小さい隙間にさしこんでおこうと思ったのであったが。
The difficulty, nevertheless, was but trivial, although, in the disorder of my fancy, it seemed at first insuperable.	しかしこの困難は、心が乱れていたので初めはどうにもできないもののように思われたが、実はちょっとしたものにすぎなかった。
I tore a part of the hem from the robe, and placed the fragment at full length, and at right angles to the wall.	私は着物のへりを一部分ひき裂いてその布片（きれ）をずっと伸ばして、壁と直角に置いた。
In groping my way around the prison, I could not fail to encounter this rag upon completing the circuit.	牢獄のまわりを手さぐりして回っているうちに、完全に一周すればこの布片に出会うことはまちがいない。
So, at least, I thought,	少なくともそう私は考えた。
but I had not counted upon the extent of the dungeon, or upon my own weakness.	だが、この牢の広さや、または自分の衰弱を、勘定に入れていなかった。
The ground was moist and slippery.	地面はじめじめしてすべった。
I staggered onward for some time, when I stumbled and fell.	私はしばらくのあいだ前へよろめきながら進んでいたが、そのうちにつまずいて倒れた。
My excessive fatigue induced me to remain prostrate,	ひどい疲労のために倒れたまま起き上がれなかった。
and sleep soon overtook me as I lay.	そして横になるとすぐ眠りが私をおそった。
Upon awaking, and stretching forth an arm, I found beside me a loaf and a pitcher with water.	目が覚めて、片腕を伸ばすと、かたわらには一塊のパンと水の入った水差しとが置いてあった。
I was too much exhausted to reflect upon this circumstance , but ate and drank with avidity.	ひどく疲れきっていたので、私はこの事がらを十分考えてみることもなく、がつがつと貪（むさぼ）るように食ったり飲んだりした。
Shortly afterwards I resumed my tour around the prison, and with much toil came at last upon the fragment of the serge.	それから間もなく牢獄のなかをまた回りはじめ、かなり骨を折ってやっとあのセルの布片のところへやってきた。
Up to the period when I fell I had counted fifty-two paces, and upon resuming my walk I had counted forty-eight more, when I arrived at the rag.	つまずいて倒れるときまでに五十二歩を数え、また歩きはじめてからさらに四十八歩を数えて――そのときに布片のところへ着いたのであった。
There were in all, then, a hundred paces;	してみると全体で百歩あることになる。
and, admitting two paces to the yard, I presumed the dungeon to be fifty yards in circuit.	そして二歩を一ヤードとして私はこの牢獄の周囲を五十ヤードと推定した。
I had met, however, with many angles in the wall, and thus I could form no guess at the shape of the vault, for vault I could not help supposing it to be.	しかし壁のところで多くの角に出会ったので、この窖（あなぐら）――窖であろうということは想像しないわけにはゆかなかった――の形状を推測することはできなかった。
I had little object -- certainly no hope -- in these researches,	このような調査には私はほとんど目的を――たしかに希望などは少しも――持っていなかった。
but a vague curiosity prompted me to continue them.	けれども漠然とした好奇心が私を駆ってその調査をつづけさせた。
Quitting the wall, I resolved to cross the area of the enclosure.	私は壁のところを離れて、この構内の地域を横断してみようと決心した。
At first I proceeded with extreme caution,	初めは非常に用心しながら進んだ。
for the floor although seemingly of solid material was treacherous with slime.	床は固い物質でできているらしかったが、ねばねばしていて油断がならなかったからだ。
At length, however, I took courage and did not hesitate to step firmly -- endeavouring to cross in as direct a line as possible.	しかしとうとう勇気を出して、ためらわずにしっかりと足を踏み出した、――できるだけ一直線によぎろうと努めながら。
I had advanced some ten or twelve paces in this manner, when the remnant of the torn hem of my robe became entangled between my legs.	こんなふうにして十歩か十二歩ばかり進んだときに、さっきひき裂いた着物のへりの残片が両足のあいだに絡まった。
I stepped on it, and fell violently on my face.	私はそれを踏みつけて、ばったりと俯向（うつむ）けに倒れてしまった。
In the confusion attending my fall, I did not immediately apprehend a somewhat startling circumstance , which yet, in a few seconds afterward, and while I still lay prostrate, arrested my attention.	倒れた当座は狼狽（ろうばい）していたので、一つのちょっと驚くべき事がらにすぐ気づくわけにはゆかなかったが、何秒かたつと、まだ倒れているあいだに、それが私の注意をひいた。
It was this:	それはこういうことであった。
my chin rested upon the floor of the prison, but my lips, and the upper portion of my head, although seemingly at a less elevation than the chin, touched nothing.	私の頤（おとがい）は牢獄の床の上についていたが、唇や頭の上部が、顎よりも低くなっているらしいのに、なににも触れていないのである。
At the same time, my forehead seemed bathed in a clammy vapour, and the peculiar smell of decayed fungus arose to my nostrils.	同時に額がしっとりとした湿気にひたっているように思われ、腐った菌類の独得の臭いが鼻をついてきた。
I put forward my arm,	私は片手を突き出した。
and shuddered to find that I had fallen at the very brink of a circular pit,	すると自分が円い落穴（おとしあな）のちょうど縁のところに倒れていることに気がついたので、ぞっと身ぶるいした。
whose extent of course I had no means of ascertaining at the moment.	その落穴の大きさはもちろん、そのときには確かめる方法もなかったが。
Groping about the masonry just below the margin, I succeeded in dislodging a small fragment, and let it fall into the abyss.	私はその縁のすぐ下の石細工のあたりを手さぐりして、うまく小さな石のかけらを取り出し、それをその深淵のなかへ落してみた。
For many seconds I hearkened to its reverberations as it dashed against the sides of the chasm in its descent;	何秒ものあいだ、石が落ちてゆくとき落穴の壁につき当る反響に、私はじっと耳を傾けていた。
at length there was a sullen plunge into water, succeeded by loud echoes.	とうとう陰鬱に水のなかへ落ちて、高い反響がそのあとにつづいた。
At the same moment there came a sound resembling the quick opening, and as rapid closing of a door overhead, while a faint gleam of light flashed suddenly through the gloom, and as suddenly faded away.	それと同時に、頭上で戸をぱっとあけ、また同じようにすばやくしめるような音がして、一すじの弱い光線がとつぜん暗闇のなかにひらめいたかと思うと、またたちまちにして消えてしまった。
I saw clearly the doom which had been prepared for me,	私は自分のために用意されてあった運命をはっきりと知った。
and congratulated myself upon the timely accident by which I had escaped.	そしてちょうど折よく偶然に起った出来事によって助かったことを喜んだ。
Another step before my fall, and the world had seen me no more	倒れる前にもう一歩進む、すると私はふたたびこの世に出ることができなかったのだ。
and the death just avoided was of that very character which I had regarded as fabulous and frivolous in the tales respecting the Inquisition.	そしていままぬかれた死こそは、宗教裁判所に関する話のなかで荒唐無稽な愚にもつかぬものと私のそれまで思いこんでいた種類のものであったのだ。
To the victims of its tyranny, there was the choice of death with its direst physical agonies, or death with its most hideous moral horrors.	宗教裁判の暴虐の犠牲者には、もっとも恐るべき肉体的の苦痛を伴う死か、またはもっともいまわしい精神的の恐怖を伴う死か、どちらかを選ぶのである。
I had been reserved for the latter.	私はその後者を受けることになっていたのだ。
By long suffering my nerves had been unstrung, until I trembled at the sound of my own voice, and had become in every respect a fitting subject for the species of torture which awaited me.	長いあいだの苦痛のために、私の神経は自分の声にさえ身ぶるいするほど衰弱し、どんな点からでも、自分を待ち受けているこの種の迫害にはたいへん適当な材料となっていたのであった。
Shaking in every limb, I groped my way back to the wall	手足をぶるぶる震わせながら、私は壁の方へ手さぐりで戻った、
-- resolving there to perish rather than risk the terrors of the wells, of which my imagination now pictured many in various positions about the dungeon.	――私の想像力がいまこの牢獄のいろいろな位置にたくさん描き出した落穴の恐怖をおかすよりも、むしろその壁のところで死のうと心を決めながら。
In other conditions of mind I might have had courage to end my misery at once by a plunge into one of these abysses;	もっとも他の心持ちでいたときなら、私はこれらの深淵の一つへ跳びこんで一思いに自分の惨めな運命の結末をつけてしまう勇気があったろう。
but now I was the veriest of cowards.	だがそのとき私はもっとも完全な臆病者であった。
Neither could I forget what I had read of these pits -- that the SUDDEN extinction of life formed no part of their most horrible plan.	私はまたこれらの落穴について前に読んだこと――とっさに生命を絶つということは彼らの恐ろしい計画のなかには少しもないということ――も忘れることができなかった。
Agitation of spirit kept me awake for many long hours;	精神の興奮は幾時間も私を眠らせなかった。
but at length I again slumbered.	がとうとう私はふたたび眠りに落ちた。
Upon arousing, I found by my side, as before, a loaf and a pitcher of water.	目を覚ますと、前と同じように一塊のパンと水の入った水差しとが置いてあった。
A burning thirst consumed me, and I emptied the vessel at a draught.	焼くような渇きを覚えたので、私はその水差しの水を一飲みに飲みほした。
It must have been drugged,	それには薬がまぜてあったにちがいない、
for scarcely had I drunk before I became irresistibly drowsy.	――飲むか飲まないうちにたまらなく睡くなったから。
A deep sleep fell upon me	深い眠りが私におそいかかってきた、
-- a sleep like that of death.	――死の眠りのような深い眠りが。
How long it lasted of course I know not;	どれだけ長くそれがつづいたか、もちろん私にはわからない。
but when once again I unclosed my eyes the objects around me were visible.	しかしまた眼を開いたときには、今度は身のまわりのものが見えるようになっていた。
By a wild sulphurous lustre, the origin of which I could not at first determine, I was enabled to see the extent and aspect of the prison.	どこにその光源があるのか初めはわかりかねた異様な硫黄色の微光によって、この牢獄の広さや様子を見ることができたのだ。
In its size I had been greatly mistaken.	牢獄の大きさについて私はひどく思い違いをしていた。
The whole circuit of its walls did not exceed twenty-five yards.	壁の全周囲は二十五ヤードを超えていなかった。
For some minutes this fact occasioned me a world of vain trouble;	この事実は数分のあいだ、私に役にも立たない非常な苦労をさせた。
vain indeed	まったく役にも立たない、
-- for what could be of less importance, under the terrible circumstances which environed me than the mere dimensions of my dungeon?	――なぜなら、私の取りまかれているこの恐ろしい事情のもとにあって、牢獄の面積などということよりも下らないことがあろうか？
But my soul took a wild interest in trifles,	だが、私の心はつまらないことに異常な興味を持っていた。
and I busied myself in endeavours to account for the error I had committed in my measurement.	そして、測量をするときに自分が犯した誤ちの理由を明らかにしようとする努力に没頭した。
The truth at length flashed upon me.	とうとう真相が頭に閃（ひらめ）いた。
In my first attempt at exploration I had counted fifty-two paces up to the period when I fell;	最初に探索しようと試みたときには、倒れるまでに五十二歩を数えていた。
I must then have been within a pace or two of the fragment of serge;	そのときはセルの布片へもう一歩か二歩というところへまで来ていたにちがいない。
in fact I had nearly performed the circuit of the vault.	実際、私はほとんど窖を一周していたのだ。
I then slept,	それから眠った、
and upon awaking, I must have returned upon my steps,	――そして眼が覚めると、前に歩いたところを逆に戻ったにちがいない、
thus supposing the circuit nearly double what it actually was.	――こうして周囲を実際のほとんど二倍に想像したのだ。
My confusion of mind prevented me from observing that I began my tour with the wall to the left, and ended it with the wall to the right.	心が混乱していたので、私は壁を左にして歩きだし、戻ったときには壁を右にしていたことに気づかなかったのだ。
I had been deceived too in respect to the shape of the enclosure.	私はまた、この構内の形についてもだまされていた。
In feeling my way I had found many angles, and thus deduced an idea of great irregularity,	手さぐりながら歩いたときに角がたくさんあったので、ずいぶん不規則な形だという考えを持っていたのであった。
so potent is the effect of total darkness upon one arousing from lethargy or sleep!	昏睡（こんすい）や睡眠からさめた者に与えるまったくの暗闇の効果というものはこんなに強いものなのだ！
The angles were simply those of a few slight depressions or niches at odd intervals.	角というのはただ、不規則な間隔をおいたいくつかの凹み、あるいは壁龕（へきがん）にすぎなかった。
The general shape of the prison was square.	牢獄の全体の形は四角であった。
What I had taken for masonry seemed now to be iron, or some other metal in huge plates, whose sutures or joints occasioned the depression.	私が前に石細工だと考えたものは、今度は鉄かあるいはなにか他の金属の大きな板らしく思われ、その継目（つぎめ）が凹みになっているのであった。
The entire surface of this metallic enclosure was rudely daubed in all the hideous and repulsive devices to which the charnel superstition of the monks has given rise.	この金属板を張った構内の壁の全面には、修道僧の気味の悪い迷信が生みだした恐ろしく厭（いと）わしい意匠の画が、不器用に描きなぐってあった。
The figures of fiends in aspects of menace, with skeleton forms and other more really fearful images, overspread and disfigured the walls.	骸骨（がいこつ）の形をして脅すような容貌をした悪鬼の姿や、そのほか実に恐ろしい画像などが、一面にひろがって壁をよごしていた。
I observed that the outlines of these monstrosities were sufficiently distinct, but that the colours seemed faded and blurred, as if from the effects of a damp atmosphere.	私は、これらの怪物の輪郭は十分はっきりしているが、その色彩が湿った空気のためであろうか、褪（あ）せてぼんやりしているらしいことを認めた。
I now noticed the floor, too,	それから今度は床にも注意してみた
which was of stone.	――が、それは石造だった。
