Cracking DES	DESをクラック
The basic system might be ok, but the keyspace was on the small side.	基本的なシステムはOKだったけれど、でもキー空間は小さめだ。
It would be hard to search, but not impossible.	キーをさがすのはむずかしいけれど、不可能ではない。
My first estimate was that a machine could be built for $650M that would break DES in a week.	最初の見積もりでは、6.5 億ドルあれば、DES を一週間で破る機械をつくれると思った。
I discussed the idea with Marty Hellman and he took it on with a vengance.	この考えをMarty Hellmanと話し合うと、かれは夢中になってこの計算にとりくんだ。
Before we were through, the estimated cost had fallen to $20M and the time had declined to a day. [3]	話が終わるまでに、見積もりは 2,000 万ドル、時間は一日まで下がった。 [3]
Our paper started a game in the cryptographic community and many papers on searching through DES keys have since been written.	われわれの論文を発端にして、暗号コミュニティではゲームがはじまって、それ以来、DES 鍵を探す論文がたくさん書かれるようになった。
About three years after the publication of our paper, Robert Jueneman --- then at Satellite Business Systems in McLean, Virginia --- wrote "The Data Encryption Standard vs. Exhaustive Search." [4]	われわれの論文発表から 3 年くらいして、Robert Jueneman（当時はバージニア州マクリーンの Satellite Business Systems に所属）が「The Data Encryption Standard vs. Exhaustive Search」という論文を書いた。 [4]
This opus was substantially more optimistic about the chances for DES breaking.	この力作は、DES を破る見通しについて、われわれよりもずっと楽観的だった。
It predicted that by 1985 a half-million dollar investment would get you a DES key every hour and that by 1995, $10 million similarly spent would reduce that time to two seconds, an estimate remarkably close to one made fifteen years later.	この論文の予言では、1985 年までに 50 万ドルの投資で、一時間で DES 鍵を見つけられるようになるし、1995 年までには 1,000 万ドルの投資で、それが 2 秒にまで短縮されるとなっているが、これは 15 年後に実際にできたものを、実に見事に予言している。
A decade later, Yvo Desmedt and Jean-Jaques Quisquater made two contibutions,	10年たって、Yvo DesmedtとJean-Jaques Quisquaterが貢献を 2 つ行ってくれた。
one whimsical, one serious.	一つは冗談交じりで、ひとつは真剣だ。
Using a related "birthday problem" sort of approach, they proposed a machine for attacking many cryptographic problems at a time. [5]	これは関連した「誕生日問題」みたいなアプローチを使ったもので、多数の暗号問題を同時にとけるようなマシンが提案されている。[5]
Their whimsical suggestion took advantage of the fact that the population of China was about the square root of the size of the DES key space.	冗談交じりの提案のほうは、中国の人口が DES 鍵空間の平方根と同じくらいだ、という事実を利用したものだ。
The year 1993 brought a watershed.	1993年は、注目すべき年だった。
Michael Wiener of Bell-Northern Research designed the most solid paper machine yet. [6]	Michael Wiener （Bell-Northern Research）が、最高にしっかりした紙上のマシンを設計したのである。[6]
It would not be too far off to describe it as a Northern Telecom DMS100 telephone switch, specialized to attacking DES.	ノーザンテレコムの　DMS100　電話交換機を　DES　攻撃用に特化したもの、といえばあたらずといえども遠からずだろう。
What made the paper noteworthy was that it used standard Northern Telecom design techniques from the chips to the boards to the cabinets.	この論文が特筆すべきなのは、これがチップから基板からキャビネットまで、すべてノーザンテレコムの標準設計技法を使ったということだ。
It anticipated an investment of under a million dollars for a machine that would recover a key every three hours.	3 時間で鍵を発見するマシンが、100　万ドル以下でできると予想している。
A provocative aside was the observation that the required budget could be hidden in a director's budget at BNR.	非常に挑発的な付記として、この程度の予算なら　Bell-Northern Research 社の部長決裁に入れてしまえる、という点があげられている。
Finally, in 1996, an estimate was prepared by not one or two cryptographers but by a group	最後に 1996 年になると、暗号学者一人や二人ではなく、暗号学者グループによって推定が発表されている。
later, and not entirely sympathetically, called the magnificent seven. [7]	かれらは後に（多少の嫌みもこめて）the magnificent seven [7] と呼ばれている。
This estimate outlined three basic approaches loosely correlated with three levels of resources.	この推定は、必要となるリソース 3 段階とゆるく関連した、3 つのアプローチの概略を述べている。
At the cheap end was scrounging up time on computers you didn't need to own.	いちばん安いものとしては、必ずしも自分が所有しているとは限らないコンピュータ時間をかき集めるやりかた。
In the middle was using programmable logic arrays,	真ん中は、プログラマブルな論理アレイを使うことだ。
possibly PLA machines built for some other purpose such as chip simulation.	たとえば、チップシミュレーションなどほかの目的につくられた PLA マシンを使うことだ。
The high end was the latest refinement of the custom chip approach.	ハイエンドでは、カスタムチップ方式に最新の改良を加えたものがあがっている。
Exhaustive key search is a surprising problem to have enjoyed such popularity.	しらみつぶし式の鍵探索は、こんなに人気がでるとは意外な問題だ。
If it a is mystery why so many of them, myself included, have worked to refine and solidify their estimates, it is an even greater mystery that in the late 1990s, some people have actually begun to carry out key searches.	わたしを含む多くの人たちが、なぜこの推定を精緻にして厳密にしようとがんばったのかもなぞだけれど、それよりさらに大きな謎は、1990年代後半になって、ほんとうにその鍵探索をやりだした人たちがいる、ということだ。
At the 1997 annual RSA cryptographic trade show in San Francisco, a prize was announced for cracking a DES cryptogram [8].	1997 年にサンフランシスコで開かれた、年次 RSA 暗号業界ショーで、DES暗号文をクラックした者に賞金を出すというアナウンスがされた[8]。
The prize was claimed in five months by a loose consortium using computers scattered around the Internet.	5ヶ月後にその賞金を獲得したのは、インターネット中にちらばったコンピュータを使ったゆるい連合体だった。
It was the most dramatic success so far for an approach earlier applied to factoring and to breaking cryptograms in systems with 40-bit keys.	このアプローチは、これまで 40 ビットの鍵をもった暗号文や因数分解には適用されていたものだが、その劇的な成功だった。
At the 1998 RSA show, the prize was offered again. This time the prize was claimed in 39 days [9]	1998年の RSA ショーで、また賞金がだされた。今回、賞金は39日で獲得された [9]。
a result that actually represents a greater improvement than it appears to.	この結果は、実は見た目よりも大きな改善を示している。
The first key was found after a search of only 25% of the key space;	最初の鍵がみつかったのは、鍵空間を 25% しかつぶしていない時点でだった。
the second was not recovered until the 85% mark.	二番目の鍵は、85% をさがし終えてやっと見つかった。
Had the second team been looking for the first key, they would have found it in a month.	つまり二番目のチームが最初のキーを見つけようとしたら、たぶん一月でそれが達成できたことになる。
These efforts used the magnificent seven's first approach.	こうした試みは the magnificent seven の最初のアプローチを使っている。
No application of the second has yet come to light.	二番目のアプローチを使ったものは、いまのところ公表されていない。
This book skips directly to the third.	本書はすぐに三番目のアプローチに飛んで、
It describes a computer built out of custom chips.	カスタムチップを使ったコンピュータについて述べている。
A machine that 'anyone' can build;	「だれでも」つくれるマシンだ。
from the plans it presents --- a machine that can extract DES keys in days at reasonable prices,	本書にでてくる図面をつかえば、そこそこの値段で DES 鍵をものの数日で見つけられる。
or hours at high prices.	金さえかければ、ほんの数時間で。
With the appearance of this book and the machine it represents, the game changes forever.	本書と、本書に書かれたマシンの登場で、事態は完全にかわってしまった。
It is not a question of whether DES keys can be extracted by exhaustive search;	もはや、しらみつぶし探索で DES 鍵が見つかるか、という話ではない。
it is a question of how cheaply they can be extracted and for what purposes.	それがどういう目的で、どれだけ安上がりに見つけられるか、という問題になってきている。
Using a network of general purpose machines that you do not own or control is a perfectly fine way of winning cryptanalytic contests, but it is not a viable way of doing production cryptanalysis.	自分の持っていない、あるいはコントロールできない汎用マシンをネットワーク化する、というのは暗号解析コンテストに勝つには、とてもよい方法ではあるけれど、業務レベルの暗号解析には役にたたない。
For that, you have to be able to keep your activities to yourself.	これをやるには、自分の活動を自分だけにとどめておく必要がある。
You need to be able to run on a piece of hardware that you can protect from unwanted scrutiny.	無用な注意をひかないように保護できるハードでそれを動かせなくてはならない。
This is such a machine.	本書に書かれているのは、まさにそういうマシンだ。
It is difficult to know how many messages have been encrypted with DES in the more than two decades that it has been a standard.	DES は過去 20 年以上、標準となっていたわけだけれど、それでどれだけのメッセージが暗号化されたかは見当もつかない。
Even more difficult is knowing how many of those messages are of enduing interest and how many have already been captured or remain potentially accessible on disks or tapes,	もっと見当がつかないのは、そのなかにいまだに重要性をもつものがどれだけあって、さらにそのどれだけがディスクやテープ上に落とされて、アクセス可能となっているか、ということだ。
but the number, no matter precisely how the question is framed must be large.	でもその数は、この質問をどれだけ限定的に考えたにしても、かなり大きいにちがいない。
All of these messages must now be considered to be vulnerable.	こうしたメッセージのすべてが、いまや弱点にさらされていると考えるべきである。
The vulnerability does not end there, however,	しかしながら、弱点はこれで絶えたわけではない。
for cryptosystems have nine lives.	というのも、暗号システムというのは殺しても死なないくらいしぶといものだからだ。
The most convincing argument that DES is insecure would not outweigh the vast investment in DES equipment that has accumulated throughout the world.	DES が安全ではないとどんなに強力に論じたとしても、世界中でDES機器に大量の投資が行われてしまっているために、それをひっくり返すわけにはいかない。
People will continue using DES whatever its shortcomings, convincing themselves that it is adequate for their needs.	人々はどんなに短所があっても DES を使い続け、自分のニーズにはこれでじゅうぶんだと考え続けるわけだ。
And DES, with its glaring vulnerabilities, will go on pretending to protect information for decades to come.	そして DES は、これだけはっきりと弱点を抱えているのに、今後何十年も情報を守っているかのようなふりを続けるだろう。
[1] Louis Kao's Hsi-Nan restaurant in Town and Country Village, Palo Alto.	[1]パロアルトのTown and Country Villageにある、Louis Kaoの Hsi-Nan レストラン
[5] Yvo Desmedt, "An Exhaustive Key Search Machine Breaking One Million DES Keys", presented at Eurocrypt 1987.	[5] Yvo Desmedt, "An Exhaustive Key Search Machine Breaking One Million DES Keys",Eurocrypt 1987で発表。
Chapter 9 of this book (Cracking DES).	本書(Cracking DES)の第9章。
[6] Michael Wiener, "Efficient DES Key Search", presented at the rump session of Crypto '93.	[6] Michael Wiener, "Efficient DES Key Search", Crypto '93 のrump sessionで発表。
Reprinted in Practical Cryptography for Data Internetworks, W. Stallings, editor, IEEE Computer Society Press, pp. 31-79 (1996).	Practical Cryptography for Data Internetworks, W. Stallings, editor, IEEE Computer Society Press, pp. 31-79 (1996)　に再録。
Currently available at	現在は以下で入手可能：
[9] June 17, 1997, See the announcements at http://www.rsa.com/des/ and http://www.frii.com/‾rcv/deschall.htm (February 24, 1998), http://www.wired.com/news/news/technology/story/10544.html and http://www.distributed.net	[9] June 17, 1997, http://www.rsa.com/des/、 http://www.frii.com/‾rcv/deschall.htm (February 24, 1998)、 http://www.wired.com/news/news/technology/story/10544.html、 http://www.distributed.netでの発表を参照。
Preface	はじめに
In privacy and computer security, real information is too hard to find.	プライバシーとコンピュータ・セキュリティの分野では、まともな情報を見つけるのは実にむずかしい。
Most people don 't know what's really going on, and many people who do know aren't telling.	ほとんどの人は本当に何が起こっているか知らないし、知っている人たちはかたろうとしない。
This book was written to reveal a hidden truth.	この本は、隠された真実を暴露するために書かれた。
The standard way that the US Government recommends that we make information secure and private, the "Data Encryption Standard" or DES, does not actually make that information secure or private.	アメリカ政府が、情報を安全かつプライベートにするために使いなさいと推奨している標準的な手段「Data Encryption Standard」またはDESは、実は情報を安全にもプライベートにもしてくれないのである。
The government knows fairly simple ways to reveal the hidden information	政府は、隠したはずの情報を復号するそこそこ簡単な方法をちゃんと知っているのだ
(called "cracking" or "breaking" DES).	（これはDESのクラッキングとか解読とか呼ばれる）。
Many scientists and engineers have known or suspected this for years.	多くの科学者やエンジニアは、この事実を知っていたか、あるいはうすうす感じてはいた。
The ones who know exactly what the government is doing have been unable to tell the public, fearing prosecution for revealing "classified" information.	政府が何をしているかはっきり知っていた人たちは、「機密」情報漏洩で処罰されるのがこわくて、知っていることをみんなに話すことができなかった。
Those who are only guessing have been reluctant to publish their guesses, for fear that they have guessed wrong.	うすうす感づいただけの人たちは、その推測がまちがっているのではないかと思って、その推測を公表してこなかった。
This book describes a machine which we actually built to crack DES.	この本では、われわれがDESクラック用に実際に作ったマシンを説明している。
The machine exists, and its existence can easily be verified.	このマシンは実在するし、その存在も簡単に確認できる。
You can buy one yourself, in the United States;	アメリカではすぐに買えるし、
or can build one yourself if you desire.	なんなら自分で作ることもできる。
The machine was designed and built in the private sector, so it is not classified.	このマシンは民間で設計製造されたものなので、機密にはなっていない。
We have donated our design to the public domain, so it is not proprietary.	われわれはこのマシンをパブリックドメインに寄付したので、もはや独占権が主張されることもない。
There is no longer any question that it can be built or has been built.	このマシンが作れるものであり、実際に作られたということも、もはや疑問の余地はない。
We have published its details so that other scientists and engineers can review, reproduce, and build on our work.	細部まで公開してあるので、ほかの科学者やエンジニアたちもわれわれの作業をレビューし、再現し、さらに発展させることもできる。
There can be no more doubt.	もう疑問の余地はない。
DES is not secure.	DESは安全ではない。
Chapters	各章の概要
The first section of the book describes the Electronic Frontier Foundation's research project to build a machine to crack DES.	本書の最初の部分は、DESクラック用マシンをつくろうというElectronic Frontier Foundationの研究プロジェクトについての説明である。
The next section provides full technical details on the machine that we designed:	次の部分では、われわれのデザインしたマシンの技術的な詳細がすべて記述してある。
for review, critique, exploration, and further evolution by the cryptographic research community.	これは暗号研究コミュニティによるレビュー、批判、検討、そしてさらなる発展のためにやったことだ。
The final section includes several hard-to-find technical reports on brute force methods of cracking DES.	最後の部分では、DESを解読するための総当たり方式について、見つけにくい技術報告をいくつか含んでいる。
Technical description	技術的な説明
Chapter 1, Overview, introduces our project and gives the basic architecture of the Electronic Frontier Foundation's DES-cracking machine.	第一章 概論ではプロジェクトを紹介して、EFFのDESクラック用マシンの基本的なアーキテクチャを説明している。
Chapter 2, Design Specification, by Paul Kocher of Cryptography Research, provides specifications for the machine from a software author's point of view.	第二章 設計仕様（Paul Kocher著、Cryptography Research）は、ソフト作者の観点からマシンの仕様を述べている。
Chapter 3, Hardware Specification, by Advanced Wireless Technologies, provides specifications for the custom gate array chips, and the boards that carry them, from a hardware designer's point of view.	第三章ハード仕様（Advanced Wireless Technologies著）は、ゲートアレイのカスタムチップと、それをのせるボードについて、ハード設計者の観点から説明している。
Technical design details	技術的な設計詳細
Chapter 4, Scanning the Source Code, explains how you can feed this book through an optical scanner and regenerate the exact source code needed to build the software and the specialized gate array chip that we designed.	第４章 ソースコードのスキャンでは、この本を光学式のスキャナに通して、われわれの設計したソフトと、専用ゲートアレイチップをつくるためのソースコードを正確に再現する方法を説明している。
Chapter 5, Software Source Code, contains a complete listing of the C-language software that runs on a PC and controls the DES-Cracker.	第5章ソフトのソースコードには、PC上で走ってDESクラッカーの制御をするC言語のソフトのソースの完全なリストがある。
Chapter 6, Chip Source Code, contains a complete listing of the chip design language (VHDL) code that specifies how we designed the custom gate array chip.	第6章チップソースコードには、ゲートアレイのカスタムチップを設計したときのチップデザイン言語（VHDL）コードの完全なリストがある。
Chapter 7, Chip Simulator Source Code, contains a complete listing of the C-language software that simulates the operation of the chip,	第7章チップシミュレータのソースコードには、チップの働きをシミュレートするC言語のソフトの完全なリストがおかれている。
for understanding how the chip works, and for generating test-vectors to make sure that the chips are properly fabricated.	これはチップの機能を理解して、チップがきちんとつくられたかどうか確認するためのテストベクトルを生成するのに使う。
Chapter 8, Hardware Board Schematics, provides schematic diagrams of the boards which provide power and a computer interface to the custom chips, as well as information on the layout of the boards and the backplanes that connect them.	第8章ハード基板の構成では、カスタムチップに電力とコンピュータ用インターフェースを提供する基板の回路図と、基板レイアウトやそれをつなぐバックプレーンの配置などがかかれている。
Related Research Papers	関連研究論文
Chapter 9,	第9章
Breaking One Million DES Keys, by Yvo Desmedt, is a 1987 paper proposing an interesting design for a machine that could search for many DES keys simultaneously.	百万DESキーを破るには（Yvo Desmedt著）は1987年の論文で、多くのDESキーを同時に探索できるマシンについて、おもしろいデザインを提案している。
Chapter 10,	第10章
Architectural considerations for cryptanalytic hardware, by Ian Goldberg and David Wagner, is a 1996 study that explores cracking DES and related ciphers by using field-programmable gate array chips.	暗号分析ハードのアーキテクチャに関する検討（Ian Goldberg and David Wagner）は1996年の研究で、DESなどの暗号をプログラマブル・ゲートアレイチップを使ってクラックする方法を検討している。
Chapter 11,	第11章
Efficient DES Key Search - An Update, by Michael J. Wiener, revises for 1998 the technology estimates from his seminal 1993 paper,	効率のよいDESキー探索：追補（Michael J. Wiener）は、1993年にかれが発表した重要な論文に含まれた技術的な推定を、1998年のものにアップデートしたものである。
which was the first to include full schematic diagrams of a custom chip designed to crack DES.	この論文は、DESクラック用のカスタムチップについて、完全な回路図を載せた初のものである。
Chapter 12,	第12章
About the Authors, describes the foundation and the companies which collaborated to build this project.	著者たちについてはこのプロジェクトの構築で協力した組織や企業について説明している。
In this chapter:	本章の内容:
Politics of Deception	解読の政治性
Goals	ねらい
History of DES Cracking	DES クラッキングの歴史
EFF's DES Cracker Project	EFFのDESクラッカープロジェクト
Architecture	アーキテクチャ
Who Else Is Cracking DES?	ほかにはだれがDESをクラックしているだろう？
What To Do If You Depend On DES	DESを使っていたらどうすればいいの？
Politics of Decryption	解読の政治性
We began the Electronic Frontier Foundation's DES Cracker project because of our interest in the politics of decryption.*	Electronic Frontier FoundationのDESクラッカープロジェクトを開始したのは、解読の政治性に興味があったからだ（脚注）。
The vulnerability of widely used encryption standards like DES is important for the public to understand.	DESのように広く使われている暗号規格がどれだけ弱いものかということを社会が理解するのは重要なことである。
A "DES Cracker" is a machine that can read information encrypted with the Data Encryption Standard (DES), by finding the key that was used to encrypt it.	「DESクラッカー」というのは、データ暗号化規格（DES）で暗号化された情報を、暗号化の際に使われた鍵を発見することで読める機械である。
"Cracking DES" is a name for this search process.	「DESクラッキング」はこの探索プロセスの名前だ。
It is most simply done by trying every possible key until the right one is found,	これをいちばん簡単に行うには、正しいものがみつかるまで、可能な鍵を片っぱしから試していくことだ。
a tedious process called "brute-force search".	手間のかかるやり方で「ばか力探索（brute-force search）」と呼ばれる。
If DES-encrypted information can easily be decrypted by those who are not intended to see it, the privacy and security of our infrastructures that use DES are at risk.	もしDESで暗号化された情報が、それを見ていいことになっていない人物によって、簡単に解読できてしまうなら、DESを使うインフラのプライバシーとセキュリティはリスクにさらされることになる。
Many political, social, and technological decisions depend on just how hard it is to crack DES.	多くの政治的、社会的、技術的な意志決定は、DESを解読するのがとてもむずかしいという前提で行われている。
We noticed an increasing number of situations in which highly talented and respected people from the U.S. Government were making statements about how long it takes to crack DES.	われわれは、いろいろな状況で、アメリカ政府のとても有能で尊敬も受けている人々が、DESをクラックするのにどれだけかかるか、という発言を行う事例が増えているのに気がついた。
In all cases, these statements were at odds with our own estimates and those of the cryptographic research community.	いずれの場合にも、こうした発言はわれわれの推定や、暗号研究者たちの見解とはかなりちがっていた。
A less polite way to say it is that these government officials were lying, incompetent, or both.	もっとひらたく言ってしまうと、こうした政府の役人は、うそをついているか、無能か、あるいはその両方なわけだ。
They were stating that cracking DES is much more expensive and time-consuming than we believed it to be.	かれらは、DESのクラックがわれわれの考えるよりもずっとずっと高価で時間がかかる、と発言していた。
A very credible research paper had predicted that a machine could be built for $1.5 million, including development costs, that would crack DES in 3-1/2 hours.	非常に信頼性の高い研究論文の予言では、DESを3-1/2時間でクラックするマシンは、開発コストまでいれても150万ドルでつくれる、と推計している。
Yet we were hearing estimates of thousands of computers and weeks to years to crack a single message.	それなのに政府からでてくる推定では、メッセージ一つを解読するのにコンピュータ何千台も使って、数週間から数年はかかる、ということになっていた。
the Data Encryption Standard, encrypts a confidential message into scrambled output under the control of a secret key.	（データ暗号化規格）は秘密鍵を使って機密メッセージを暗号化し、スクランブルされた出力に変える。
The input message is also known as "plaintext", and the resulting output as "ciphertext".	この入力メッセージは「平文」とも呼ばれ、結果的な出力を「暗号文」とも言う。
The idea is that only recipients who know the secret key can decrypt the ciphertext to obtain the original message.	考え方としては、その秘密鍵を知っている受け手だけが暗号文を復号し、もとのメッセージを入手できる、というものだ。
DES uses a 56-bit key, so there are 256 possible keys.	DESは56ビットの鍵を使っているので、鍵の可能性は 256 通りある。
On Thursday, June 26, 1997 the U.S. House of Representatives' Committee on International Relations heard closed, classified testimony on encryption policy issues.	1997年6月26日木曜日、アメリカ議会下院の国際関係委員会が、非公開の機密証言を受けている。
The Committee was considering a bill to eliminate export controls on cryptography.	この委員会は、暗号についての輸出規制を廃止する法案を検討していた。
After hearing this testimony, the Committee gutted the bill and inserted a substitute intended to have the opposite effect.	この証言のあとで委員会は法案は書き換え、正反対の内容の代替案をかわりに入れた。
A month later, a censored transcript of the hearing was provided;	一ヶ月後に、公聴会の検閲を受けた議事録が提供された。
see http://jya.com/hir-hear.htm.	全文は http://jya.com/hir-hear.htmを見てほしい。
Here are excerpts:	ここに抜粋を載せる。
