IN MIDSUMMER DAYS	真夏の夢
for then the window-panes could not show her anything so beautiful as the reality.	いかな窓でも夏の景色ほどな景色は見せてくれませんから。
And now, on Midsummer Eve, the most beautiful time of all the year, she lay there and looked at the meadows and towards the wood, where the dove was singing its song.	さて夏の中でもすぐれた美しい聖ヨハネ祭に、そのおばあさんが畑と牧場とを見わたしていますと、ひょっくり鳩が歌い始めました。
It sang most beautifully of the Lord Jesus, and the joy and splendour of the Kingdom of Heaven, where all are welcome who are weary and heavy laden.	声も美しくエス・キリスト、さては天国の歓喜をほめたたえて、重荷に苦しむものや、浮き世のつらさの限りをなめたものは、残らず来いとよび立てました。
The old woman listened to the song for a little while, and then she laid that she was much obliged, but that Heaven could be no more beautiful than the earth itself, and she wanted nothing better.	おばあさんはそれを聞きましたが、その日はこの世も天国ほどに美しくって、これ以上のものをほしいとも思いませんでしたから、礼を言って断（こと）わってしまいました。
Thereupon the dove flew away over the meadow into the mountain glen, where the farmer stood digging a well.	で鳩は今度は牧場を飛（と）び越（こ）して、ある百姓（ひゃくしょう）がしきりと井戸を掘っている山の中の森に来ました。
He stood in a deep hole which he had dug, three yards below the surface;	その百姓は深い所にはいって、頭の上に六尺（しゃく）も土のある様子（ようす）は
it was just as if he were standing in his grave.	まるで墓のあなの底にでもいるようでした。
The dove settled on a fir tree and sung of the joy of Heaven, quite  convinced that the man in the hole, who could see neither sky, nor sea, nor meadow, must be longing for Heaven.	あなの中にいて、大空も海も牧場も見ないこんな人こそは、きっと天国に行きたいにちがいないと思いましたから、鳩は木の枝（えだ）の上で天国の歓喜を鳩らしく歌い始めました。
"No,"	ところが百姓は、
said the farmer,	「いやです。
"I must first dig a well;	私はまず井戸を掘らんければなりません。
otherwise my summer guest will have no water, and the unhappy little mother will take her child and go and live elsewhere."	でないと夏分のお客さんは水にこまるし、あのかわいそうな奥（おく）さんと子ども衆もいなくなってしまいますからね」
The dove flew down to the strand,	で鳩は今度は海岸に飛んで行きました。
when the farmer's brother was busy hauling in the fishing-nets;	そこではさきほどの百姓の兄弟にあたる人が引（ひ）き網（あみ）をしていました。
it sat among the rushes and began to sing.	鳩は蘆（あし）の中にとまって歌いました。
"No,"	その男も言いますには、
said the farmer's brother,	「いやです。
"I must provide food for my family,	私は何より先に家で食うだけのものを作らねばなりません。
otherwise my children will cry with hunger.	でないと子どもらがひもじいって泣（な）きます。
Later on!	あとの事、
Later on,	あとの事。
I tell you!	まだ天国の事なんか考えずともよろしい。
Let's live first and die afterwards."	死ぬ前には生きるという事があるんだから」
And the dove flew to the pretty cottage, where the unhappy little mother had taken rooms for the summer.	で鳩はまた百姓の言ったかわいそうな奥さんが夏を過ごしている、大きないなかの住宅にとんで行きました。
She sat on the verandah, working at a sewing machine;	その時奥さんは縁側（えんがわ）に出て手ミシンで縫物（ぬいもの）をしていました。
her face was as white as a lily, and her red felt hat looked like a huge poppy on her hair, which was as black as a mourning veil.	顔は百合（ゆり）の花のような血の気のない顔、頭の毛は喪（も）のベールのような黒い髪（かみ）、しかして罌粟（けし）のような赤い毛の帽子（ぼうし）をかぶっていました。
She was busy making a pinafore which her little girl was to wear on Midsummer Eve,	奥さんは聖ヨハネの祭日にむすめに着せようとして、美しい前掛（まえか）けを縫っていました。
and the child sat at her feet on the floor, cutting up little pieces of material which were not wanted.	むすめはお母さんの足もとの床（ゆか）の上にすわって、布切れの端（はし）を切りこまざいて遊んでいました。
"Why isn't daddy coming home?"	「なぜパパは帰っていらっしゃらないの」
asked the little girl, looking up.	とその小さい子がたずねます。
That was a very difficult question, so difficult that the young mother could not answer it;	これこそはそのわかいおかあさんにはいちばんつらい問いであるので、答えることができませんかった。
and very possibly daddy could not have answered it either, for he was far away in a foreign country with his grief, which was twice as great as mammy's.	おとうさんはおかあさんよりもっと深い悲しみを持って、今は遠い外国に行っているのでした。
The sewing machine was not in good order, but it stitched and stitched;	ミシンはすこし損じてはいますが、それでも縫い進みました。
it made as many pricks as a human heart can bear before it breaks, but every prick only served to pull the thread tighter	――人の心臓（しんぞう）であったら出血のために動かなくなってしまうほどたくさん針（はり）が布をさし通して、一縫いごとに糸をしめてゆきます
--it was curious!	――不思議な。
"I want to go to the village, mammy,"	「ママ今日（きょう）私は村に行って太陽が見たい、ここは暗いんですもの」
said the little girl.	とその小さな子が申しました。
"You shall go and play in the sunshine this afternoon, darling."	「昼過ぎになったら、太陽を拝みにつれて行ってあげますからね」
I must tell you that it was very dark between the high cliffs on this side of the island;	そう言えばここは、この島の海岸の高いがけの間にあって暗い所でした。
the cottage stood in a gloomy pine-grove, which completely hid the view of the sea.	おまけに住宅は松（まつ）の木陰（こかげ）になっていて、海さえ見えぬほどふさがっていました。
"And I want you to buy me a lot of toys, mammy."	「それからたくさんおもちゃを買ってちょうだいなママ」
"Darling, we have so little money to buy toys with,"	「でもたくさん買うだけのお金がないんですもの」
answered the mother, bending her head still lower over their work.	とおかあさんは言いながらひときわあわれにうなだれました。
And that was the truth; for their comfort had changed into penury.	昔（むかし）は有り余った財産も今はなけなしになっているのです。
But when she saw the sad face of the little girl, she took her on her knees.	でも子どもが情けなさそうな顔つきになると、おかあさんはその子をひざに抱（だ）き上（あ）げました。
"Put your little arms round mammy's neck," she said.	「さあ私の頸（くび）をお抱き」
The little one obeyed.	子どもはそのとおりにしました。
"Now give mammy a kiss!"	「ママをキスしてちょうだい」
The rosy little half-open mouth, which looked like the mouth of a little bird, was pressed against her lips;	しかして小鳥のように半分開いたこの子の口からキスを一つもらいました。
and when the blue eyes, blue as the flower of the flax, smiled into hers, her beautiful face reflected the sweet innocence of the little one, and made her look like a happy child herself, playing in the sunshine.	しかしてヒヤシンスのように青いこの子の目で見やられると、母の美しい顔は、子どもと同じな心置きのない無邪気（むじゃき）さに返って、まるで太陽の下に置かれた幼児（ようじ）のように見えました。
"No use my singing to them of the Kingdom of Heaven," thought the dove,	「ここで私は天国の事などは歌うまい。
"but if I can in any way serve them, I will."	しかしできるなら何かこの二人（ふたり）の役にたちたいものだ」
And then it flew away towards the sunny village, for it had work to do there.	しかして鳩は、この奥さんがこれから用足しに行く「日の村」へと飛んで行きました。
It was afternoon now;	そのうちに午後になりましたから、
the little mother took a basket on one arm and the child's little hand into hers, and they left the cottage.	このかわいい奥さんは腕（うで）に手かごをかけて、子どもの手を引いて出かける用意をしました。
She had never been to the village, but she knew that it was situated somewhere towards sunset, on the other side of the island,	奥さんはまだ一度もその村に行った事はありませんが、島の向こう側で日の落ちる方にあるという事は知っていました。
and the farmer had told her that she would have to get over six stiles and walk through six latticed gates before she could get there.	またそこに行く途中には柵（さく）で囲まれた六つの農場と、六つの門とがあるという事を、百姓から聞かされていました。
And on they went.	でいよいよ出かけました。
Their way lay along a footpath, full of stones and old tree-roots, so that she was obliged to carry the little girl, and that was very hard work.	やがて二人は石ころや木株のある険しい坂道（さかみち）にかかりましたので、おかあさんは子どもを抱きましたが、なかなか重い事でした。
The doctor had told her that the child must not strain her left foot, because it was so weak that it might easily have grown deformed.	この子どもの左足はたいへん弱くって、うっかりすると曲がってしまいそうだから、ひどく使わぬようにしなければならぬと、お医者の言った事があるのでした。
The young mother staggered along, under her beloved burden, and large beads of perspiration stood like pearls on her forehead, for it was very hot in the wood.	わかいおかあさんはこの大事な重荷のために息を切って、森の中は暑いものだから、汗（あせ）の玉が顔から流れ下りました。
"I am so thirsty, mammy,"	「のどがかわきました、ママ」
whispered the little, complaining voice.	とおさないむすめは泣きつくのでした。
"Have patience, darling,	「いい子だからこらえられるだけこらえてごらんなさい。
there will be plenty of water when we get there."	あちらに着きさえすれば水をあげますからね」
And she kissed the little parclied mouth, and the child smiled and forgot all about her thirst.	とおかあさんは言いながら、赤（あか）ん坊（ぼう）のようなかわいたその子の口をすうてやりますと、子どもはかわきもわすれてほおえみました。
But the scorching rays of the sun burned their skin and there was not a breath of air in the wood.	でも日は照り切って、森の中の空気はそよともしません。
"Try and walk a little, darling,"	「さあおりてすこし歩いてみるんですよ」
said the mother, putting the child down.	と言いながらおかあさんはむすめをおろしました。
"I am so tired, mammy,"	「もうくたびれてしまったんですもの」
she laid, sitting down and beginning to cry.	子どもは泣（な）く泣くすわりこんでしまいます。
But the prettiest little flowers, which looked like rose-coloured bells and smelt of sweet almonds, grew all over the spot where she was sitting.	ところでそこにきれいなきれいな赤薔薇（ばら）の色をした小さい花がさいて巴旦杏（はたんきょう）のようなにおいをさせていました。
She smiled when she saw them, for she had never seen anything half as lovely, and her smile strengthened the heart of the mother so that she could continue her walk with the child in her arms.	子どもはこれまでそんな小さな花を見た事がなかったものですから、またにこにことほおえみましたので、それに力を得て、おかあさんは子どもを抱き上げて、さらに行く手を急ぎました。
Now they had arrived at the first gate.	そのうちに第一の門に来ました。
They passed through it and carefully re-fastened the latch.	二人はそこを通って跡（あと）に（かきがね）をかけておきました。
All of a sudden they heard a noise like a loud neighing;	するとどこかで馬のいななくような声が聞こえたと思うと、
a horse galloped towards them, blocked the path and neighed again;	放れ馬が行く手に走り出て道のまん中にたちふさがって鳴きました。
its neighing was answered on the right and the left and from all sides of the wood;	その鳴き声に応ずる声がまた森の四方にひびきわたって、
the ground trembled, the branches of the trees cracked, and the stones were scattered in all directions by the approaching hoofs.	大地はゆるぎ、枝はふるい、石は飛びました。
In less than no time the poor, frightened travellers were surrounded on all sides by a herd of savage horses.	しかして途方にくれた母子二人は二十匹（ぴき）にも余る野馬の群れに囲まれてしまいました。
The child hid her face on her mother's shoulder, and her little heart ticked with fear like a watch.	子どもは顔をおかあさんの胸（むね）にうずめて、心配で胸の動悸（どうき）は小時計（しょうどけい）のようにうちました。
"I am so frightened!"	「私こわい」
she whispered.	と小さな声で言います。
"Oh! Father in Heaven,	「天に在（ま）します神様
help us!"	――お助けください」
prayed the mother.	とおかあさんはいのりました。
At the same moment a blackbird, sitting on a fir tree, began to sing;	と黒鳥の歌が松の木の間で聞こえるとともに
the horses scudded away as fast as they could, and there was once more silence in the wood.	馬どもはてんでんばらばらにどこかに行ってしまって、四囲（あたり）は元の静けさにかえりました。
They came to the second gate, walked through and re-fastened the latch.	そこで二人は第二の門を通ってまた（かきがね）をかけました。
They were on fallow ground now, and the sun scorched them even worse than it had done before.	その先には作物を作らずに休ませておく畑があって、森の中よりもずっと熱い日がさしていました。
They saw before them rows and rows of dull clods of earth, but in a steep place the clods suddenly began to move, and then they knew that what they had taken for clods of earth were really the backs of a flock of sheep.	灰色（はいいろ）の土塊（どかい）が長く幾畦（いくあぜ）にもなっているかと思うと、急にそれが動きだしたので、よく見ると羊（ひつじ）の群れの背（せ）が見えていたのでした。
Sheep are quite gentle and inoffensive, especially the little lambs, but that is a good deal more than can be said of the ram, who is a savage brute and often takes a delight in attacking those who have never done him any harm.	羊、その中にも小羊はおとなしいけものですが、雄羊（おひつじ）はいじめもしないのにむやみに人にかかるいたずらをするやつで、うっかりはしていられません。
There he was already, jumping over a ditch right into the middle of their path.	ところがその雄羊が一匹（ぴき）小溝（こみぞ）を飛（と）び越（こ）えて道のまん中にやって来ました。
He lowered his head and walked a few steps backwards.	しかして頭を下げたなりであとしざりをします。
"I am so frightened, mammy,"	「私こわいママ」
said the little girl, and her heart began to beat fast.	と胸をどきつかせながらむすめが申します。
"Oh! Merciful Father in Heaven, help us!"	「めぐみ深い在天の神様、私どもをお助けください」
sighed the mother, with an imploring look upwards.	と言って天の一方を見上げながらおかあさんがいのりますと、
And high up, in the blue vault of the sky, fluttering its wings like a butterfly, a little lark began to sing.	そこに蝶（ちょう）のような羽ばたきをさせながら、小さな雲雀（ひばり）がおりていました。
And as it sang the ram disappeared among the grey clods.	そしてそれが歌をうたいますと、雄羊は例の灰色の土塊の中にすがたをかくしてしまいました。
They stood before the third gate.	そこで今度は第三の門に来ましたが、
the ground was swampy and before long they came to a crevice.	ここはじゅくじゅくの湿地（しっち）ですから、うっかりすると足が滅入（めい）りこみます。
The hillocks looked like little graves, overgrown with vetch or white cotton-flowers	所々の草むらは綿の木の白い花でかざった壁のようにも思われます。
and they had to be careful to avoid sinking into the swamp.	なにしろどろの中に落ちこまないようにまっすぐに歩かなければなりませんでした。
Black berries of a poisonous kind grew in abundance everywhere;	おまけにここには、子どもたちがうっかりすると取ってしかられる、毒のある黒木いちごがはえていました。
she began to cry,	むすめは情けなさそうにそれを見ました。
for she did not understand what poisonous meant.	まだこの子は毒とはなんのことだか知りませんでしたから。
And as they walked on, they noticed a white sheet, which looked as if it had been drawn in and out through the trees;	なお歩いて行きますと、木の間から何か白いものがやって来るのに気がつきました。
the sun disappeared behind a bank of clouds and a white darkness, which was very went towards them,	見るうちに太陽はかくれて、白霧（はくむ）が四囲（あたり）を取りまきました。
On their way they passed a white cottage, behind a green fence with a white gate;	途中には生けがきに取りめぐらされて白い門のある小さな住居のあるのを見ましたが、
the gate stood hospitably open.	戸は開いたままになって快く二人のはいるに任せてありました。
They entered and found themselves in a garden where peonies and colombines grew.	おかあさんは門をはいって、芍薬（しゃくやく）と耘斗葉（おまき）の園（その）に行きました。
The mother noticed that the curtains in the lower storey were all drawn before the windows, and that all the curtains were white.	見ると窓にはみんなカーテンが引いてありまして、しかもそれがことごとく白い色でした。
But one of the attic windows stood open and a white hand appeared above the pots of touch-me-nots.	ただ一つの屋根窓だけが開いていて、二つの棕櫚（しゅろ）の葉の間から白い手が見えて、
It waved a little white handkerchief, as if it were waving a last farewell to one who was going on a long journey.	小さなハンケチを別れをおしんでふるかのようにふっていました。
They walked as far as the cottage;	おかあさんはまた入り口の階段（かいだん）を上ってみますと、
in the high grass lay a wreath of myrtle and white roses.	はえしげった草の中に桃金嬢（てんにんか）と白薔薇との花輪が置いてありましたが、
But it was too big for a bridal wreath.	花よめの持つのにしては大き過ぎて見えました。
They went through the front door and the mother called out if anybody were in?	それから露縁（ぬれえん）に上って案内をこうてみました。
As there was no reply they went into the parlour.	答える人はありませんので住居の中にはいって行きました。
On the floor, surrounded by a whole forest of flowers, stood a black coffin with silver feet	床の上に薔薇にうめられて、銀の足を持って黒綾（くろあや）の棺（ひつぎ）が置いてありました。
and in the coffin lay a young girl with a bridal crown on her head.	しかしてその棺の中には、頭に婚礼のかんむりを着けたわかいむすめがねかしてありました。
The walls of the room were made of new pinewood and only varnished with oil, so that all the knots were visible.	その室のかべというのは新しい荒（あら）けずりの松板でヴァニスをかけただけですから、節がよく見えていました。
And the knots in the knot-holes looked for all the world like so many eyes.	黒ずんだ枝の切り去られたなごりのたまご形の節の数々は目の玉のように思いなされました。
"Oh!  Just look at all the eyes, mammy,"	「まあたくさんな目が」
exclaimed the little girl.	とそう言いだしました。
Yes, there were eyes of every descriptio;	なるほどいろいろな目がありました。
big eyes, eloquent eyes, grave eyes;	大きくって親切らしいまじめな目や、
little shining baby eyes, with a lurking smile in the corner;	小さくかがやくあいきょうのある子どもの目や、
wicked eyes, which showed too much white;	白目の多過ぎるおこったらしい目や、
frank and candid eyes, which looked one straight into the heart;	心の中まで見ぬきそうなすきのない目などがありました。
and, over there, a big, gentle mother's eye, which regarded the dead girl lovingly;	またそこに死んでいるむすめをなつかしそうに打ち見やる、大きなやさしい母らしい目もありまして、
and a transparent tear of resin trembled on the lid, and sparkled in the setting sun like a green and red diamond.	その眼中にはすき通るような松やにの涙が宿って、夕日の光をうけて金剛石（こんごうせき）のようにきらきら光っていました。
"Is she asleep?"	「そこにいるお嬢（じょう）さんはねむっていらっしゃるの」
asked the child, looking into the face of the dead girl.	と子どもははじめて死骸（しがい）に気がついて、おかあさんにたずねました。
"Yes, she is asleep."	「そうです、ねむっていらっしゃるんです」
"Is she a bride, mammy?"	「花よめさんでしょうか、ママ」
"Yes, darling."	「そうです花よめさんです」
The mother had recognised her.	よく見るとおかあさんはそのむすめを見知っているのでした。
It was the girl who was to be a bride on Midsummer day, when her sailor lover would return home;	そのむすめは真夏のころ帰って来るあの船乗りの花よめとなるはずでしたが、
but the sailor had written to say that he would not be home until the autumn, and his letter had broken her heart;	その船乗りが秋にならなければ帰れないという手紙をよこしたので、落胆（らくたん）してしまったのでした。
for she could not bear to wait until the autumn, when the leaves would drop dead from the trees	木の葉が落ちつくして、こがらしのふき始める秋まで待つ事はたえ切れなかったのです。
She had heard the song of the dove and taken it to heart.	おかあさんは鳩の歌に耳をかたむけて、その言うことばがよくわかっていたのですから、
The young mother left the cottage;	この屋敷（やしき）を出て行くにつけても
now she knew where she would go.	行く先が知れていました。
She put the heavy basket down outside the gate and took the child into her arms;	重い手かごを門の外に置いて、子どもを抱き上げて、
and so she walked across the meadow which separated her from the shore.	自分と海岸との間に横たわる広野をさしておかあさんは歩きだしました。
and the pollen water was calm and blue;	むすめはかくまで海がおだやかで青いのに大喜びをしましたが、
and presently it was not water through which they sailed, but the blue blossoms of the flax,	よく見ると二人の帆走っているのは海原（うなばら）ではなくって美しくさきそろった矢車草（やぐるまそう）の花の中でした。
which she gathered in her outstretched hands.	むすめは手をのばしてそれを摘み取りました。
And the flowers bent down and rose up again, whispering, lapping against the sides of the boat like little waves.	花は起きたり臥（ふ）したりしてさざなみのように舷（げん）に音をたてました。
but presently a white mist enveloped them, and they heard the plashing of real waves,	しばらくすると二人はまた白い霧に包まれました上にほんとうの波の声さえ聞こえてきました。
but above the mist they heard a lark singing.	しかし霧の上では雲雀が高くさえずっていました。
"How does the lark come to sing on the sea?"	「どうして雲雀は海の上なんぞで鳴くんでしょう」
asked the child.	と子どもが聞きました。
"The sea is so green that the lark takes it for a meadow,"	「海があんまり緑ですから、雲雀は野原だと思っているんでしょう」
answered the mother.	とおかあさんは説き明かしました。
The mist had dispersed again.	とたちまち霧は消えてしまって、
The sky was blue and the lark was still singing.	空は紺青（こんじょう）に澄（す）みわたって、その中を雲雀がかけていました。
Then they saw, straight before them, in the middle of the sea, a green island	遠い遠い所に木のしげった島が見えます。
with a white, sandy beach, and people, dressed all in pure white, walking hand in hand.	白砂（しらすな）の上を人々が手を取り合って行きかいしております。
The setting sun shone on the golden roof of a colonnade, where white fires burnt in sacred sacrificial vessels;	祭壇（さいだん）から火の立ち登る柱廊下（ちゅうろうか）の上にそびえた黄金の円屋根（まるやね）に夕ぐれの光が反映（うつ）って、
and the green island was spanned by a rainbow, the colour of which was rose-red and sedge-green.	島の空高く薔薇色と藍緑色とのにじがかかっていました。
"What is it, mammy?"	「あれはなんですか、ママ」
The mother could make no reply.	おかあさんはなんと答えていいか知りませんでした。
"Is it the Kingdom of Heaven of which the dove sang?	「あれが鳩の歌った天国ですか、
What is the Kingdom of Heaven, mammy?"	いったい天国とはなんでしょう、ママ」
"A place, darling, where all people love one another," answered the mother, "where there is neither grief nor strife."	「そこはね、みんながおたがいに友だちになって、悲しい事も争闘（あらそい）もしない所です」
"Then let us go there,"	「私はそこに行きたいなあ」
said the child.	と子どもが言いました。
"Yes, we will go,"	「私もですよ」
said the tired, forsaken little mother.	と憂（う）さ辛（つら）さに浮（う）き世（よ）をはかなんださびしいおかあさんも言いました。
