The Man and the Snake	男と蛇
A snake in a bedroom of a modern city dwelling of the better sort is, happily, not so common a phenomenon as to make explanation altogether needless.	説明の必要はなかろうが、幸いにも、近代都市の寝室という快適なすみかをもつ蛇は、それほど一般的な存在ではない。
Harker Brayton, a bachelor of thirty-five, a scholar, idler, and something of an athlete, rich, popular, and of sound health, had returned to San Francisco from all manner of remote and unfamiliar countries.	ハーカー・ブレイトン――35歳、独身、学者、遊民、何らかのスポーツをし、資産があり、評判もよく、健康も悪しからず――は、とにかくなじめない片田舎からサンフランシスコにもどっていた。
His tastes, always a trifle luxurious, had taken on an added exuberance from long privation; and the resources of even the Castle Hotel being inadequate for their perfect gratification,	彼の嗜好――何の意味もない贅沢――は長い欠乏生活によってさらに助長されてしまい、キャッスル・ホテルですら彼の嗜好は完全な満足にいたらなかった。
he had gladly accepted the hospitality of his friend, Dr. Druring, the distinguished scientist.	そんな折、彼は、友人であり著名な科学者でもあるドラーリング博士の招待を快諾した。
Dr. Druring's house, a large, old-fashioned one in what was now an obscure quarter of the city, had an outer and visible aspect of reserve.	市内でも辺鄙な場所に建てられたドラーリング博士の古風な屋敷は、見るからに何かの指定地のようだった。
It plainly would not associate with the contiguous elements of its altered environment, and appeared to have developed some of the eccentricities which come of isolation.	隣近所の変わりようにはつきあわず、孤立から生じた数種の奇癖が発現されていた。
One of these was a "wing," conspicuously irrelevant in point of architecture, and no less rebellious in the matter of purpose;	たとえばその「翼（よく）」は、明らかに建築学的観点とは無関係で、目的に従うものとは言えなかった。
for it was a combination of laboratory, menagerie, and museum.	なぜなら、それは研究室と管理室と博物館を合わせたものだったからだ。
It was here that the doctor indulged the scientific side of his nature in the study of such forms of animal life as engaged his interest and comforted his taste--which, it must be confessed, ran rather to the lower forms.	博士はそこで、興味の赴くままに、そうした種類――つまり、言ってしまえば下等種類に向けられた、動物生態学研究における博士生来の科学的な面にふけって、その嗜好を満足させるのだった。
For one of the higher types nimbly and sweetly to recommend itself unto his gentle senses, it had at least to retain certain rudimentary characteristics allying it to such "dragons of the prime" as toads and snakes.	博士の繊細な感性に、自らを高等種類形態として機敏にかつ優しく売りこむには、蛇や蛙のように、「原始のドラゴン」に連なる未発達な特徴を少なくとも維持していなければならなかった。
His scientific sympathies were distinctly reptilian; he loved nature's vulgarians and described himself as the Zola of zoology.	博士の科学的共感はきっぱりと爬虫類に向けられていて、この大自然の俗物どもを愛し、自身を動物学のゾラと描写していた。
His wife and daughters, not having the advantage to share his enlightened curiosity regarding the works and ways of our ill-starred fellow-creatures, were, with needless austerity, excluded from what he called the Snakery, and doomed to companionship with their own kind;	このように、博士は我らが悪役生物どもについて啓蒙された好奇心からくる観点と研究意欲とを持っていたが、しかし、妻と娘たちにはそれを共有しようとする美質がなかったので、博士が蛇園（スネイクリー）と呼ぶ場所から必要以上の厳しさで締め出され、友情を同一種間に限定されるという運命を背負わされた。
though, to soften the rigors of their lot, he had permitted them, out of his great wealth, to outdo the reptiles in the gorgeousness of their surroundings and to shine with a superior splendor.	しかし、博士はその莫大な資産をもって周囲を豪華さで出しぬくこと、見事な壮麗さで輝かせることを許し、妻子の過酷な運命を和らげようとした。
Architecturally, and in point of "furnishing," the Snakery had a severe simplicity befitting the humble circumstances of its occupants,	建築学および「快適な住まい」という点で見ると、蛇園（スネイクリー）は、居住者の質素な境遇に似つかわしい、地味で簡素なものだった。
many of whom, indeed, could not safely have been intrusted with the liberty which is necessary to the full enjoyment of luxury,	贅沢を愉しむためには自由が必要だったが、実際のところ、多くの連中はあまり自由な境遇ではなかった。
for they had the troublesome peculiarity of being alive.	なぜなら、連中は生に付随して、相手を飲みこんでしまう有害で迷惑な特性を持っていたからだ。
In their own apartments, however, they were under as little personal restraint as was compatible with their protection from the baneful habit of swallowing one another;	しかしながら、自分の部屋に入れば、自分の身を守りつつ、それでいてほとんど束縛のない時間を過ごすことができた。
and, as Brayton had thoughtfully been apprised, it was more than a tradition that some of them had at divers times been found in parts of the premises where it would have embarrassed them to explain their presence.	そして、ブレイトンが注意深く通告されたように、場合によっては、理由の説明が困難な場所にこの連中が現れることもあるのだった。
Despite the Snakery and its uncanny associations--to which, indeed, he gave little attention--Brayton found life at the Druring mansion very much to his mind.	蛇園（スネイクリー）とその気味の悪いメンバー――実際のところ、彼はほとんど気にしていなかったが――にもかかわらず、ブレイトンはドラーリング荘が非常に気に入っていた。
Beyond a smart shock of surprise and a shudder of mere loathing, Mr. Brayton was not greatly affected.	うずくような驚きの衝撃と単純な嫌悪からくる震えはあったが、ミスター・ブレイトンはほぼ冷静さを保っていた。
His first thought was to ring the call bell and bring a servant;	彼が最初に考えたのは、ベルを鳴らして使用人を呼ぶことだった。
but, although the bell cord dangled within easy reach, he made no movement toward it;	が、ベルの紐は簡単に手が届く場所にぶら下がっていたのに、彼は手を伸ばさなかった。
it had occurred to his mind that the act might subject him to the suspicion of fear, which he certainly did not feel.	彼の心に起こったのは、その行動が自分を恐怖感や嫌悪感に服従させるのではないかという考えで、それは確かに彼が感じているものではなかった。
He was more keenly conscious of the incongruous nature of the situation than affected by its perils;	彼はその危険性に動揺しているわけではなく、今の状態に対して、ややバランスを欠いた生来の意識をするどく保っていた。
it was revolting, but absurd.	状況は不快であったが、何より理に叶っていなかった。
The reptile was of a species with which Brayton was unfamiliar.	ブレイトンは爬虫類という生物種に精通していなかった。
Its length he could only conjecture; the body at the largest visible part seemed about as thick as his forearm.	その体長は推測することしかできなかったが、目に入る中でもっとも太い部分は、だいたい彼の二の腕くらいの太さがありそうだった。
In what way was it dangerous, if in any way?	もし危険なものであるとすれば、どこが危険なんだろう？
Was it venomous?	毒があるのか？
Was it a constrictor?	締めつけてくるのか？
His knowledge of nature's danger signals did not enable him to say;	彼の、自然の危険信号に関する知識からは、答えがえられなかった。
he had never deciphered the code.	彼はその暗号を解読したことがなかったのだ。
If not dangerous, the creature was at least offensive.	仮に危険でないとしても、この生き物が攻撃的であることは間違いない。
It was de trop--"matter out of place"--an impertinence.	それはあまりにもその場に相応しくない存在だった。
The gem was unworthy of the setting.	台座に据えつける価値のない宝石。
Even the barbarous taste of our time and country, which had loaded the walls of the room with pictures, the floor with furniture, and the furniture with bric-a-brac, had not quite fitted the place for this bit of the savage life of the jungle.	我が地方と我が時代の粗野な嗜好――たとえば部屋の壁という壁に絵を並べ、床には家具を、家具には骨董品を、といった具合の――にとってさえも、密林の野蛮な生命の欠片はあまり趣味に合わなかっただろう。
Besides--insupportable thought!--the exhalations of its breath mingled with the atmosphere which he himself was breathing!	そのうえ、それが吐き出す息は、彼自身が吸っている空気と混ざり合うのだ！我慢ならないことだ！
These thoughts shaped themselves with greater or less definition in Brayton's mind, and begot action.	これらの思考が大なり小なりブレイトンの頭の中で砥ぎあげられ、行動を生じた。
The process is what we call consideration and decision.	このプロセスが、熟慮と決断とかいうやつなのだ。
It is thus that we are wise and unwise.	こうやって、我々は賢く行動したり、賢く行動しなかったりする。
It is thus that the withered leaf in an autumn breeze shows greater or less intelligence than its fellows, falling upon the land or upon the lake.	こうやって、秋風に舞う枯葉は、他の地面や湖の上に落ちる枯葉より多少なりとも知的だと思わせたりする。
The secret of human action is an open one--something contracts our muscles.	人間の行動に関する秘密は明らかで――何かが我々の筋肉と契約するということだ。
Does it matter if we give to the preparatory molecular changes the name of will?	行動の下地となる分子的変化に意思という名称を与えて何の問題があろうか？
Brayton rose to his feet and prepared to back softly away from the snake,	ブレイトンは立ちあがって、その蛇から静かに遠ざかるべく身構えた。
without disturbing it, if possible, and through the door.	可能ならばそれを刺激することなく、ドアのところまで。
People retire so from the presence of the great,	人はこのようにして偉大な存在――
for greatness is power, and power is a menace.	偉大さを決めるのは力、そして力とはつまり脅威――の前から撤退する。
He knew that he could walk backward without obstruction, and find the door without error.	彼には妨害も支障もなくドアのところまで後退できることが分かっていた。
Should the monster follow, the taste which had plastered the walls with paintings had consistently supplied a rack of murderous Oriental weapons from which he could snatch one to suit the occasion.	怪物があとを追ってきたとしても、壁を絵で漆喰するような嗜好は、首尾一貫して、海の向こう、東洋から奪ってきた強力な武器の棚を作りつけるものなのだ。
In the meantime the snake's eyes burned with a more pitiless malevolence than ever.	その一方、蛇の眼はこれまでないほどの無慈悲さと悪意を燃えあがらせた。
Brayton lifted his right foot free of the floor to step backward.	ブレイトンは後ろに下がるべく右足を宙に持ち上げた。
That moment he felt a strong aversion to doing so.	その瞬間、彼は後退することに強烈な嫌悪感を覚えた。
"I am accounted brave,"	「私は勇気があると評価されている」
he murmured;	呟き声。
"is bravery, then, no more than pride?	「では、勇敢さとは自尊心以上のものではないのか？
Because there are none to witness the shame shall I retreat?"	この恥を目撃しているものがいないからといって逃げ出してよいものか？」
He was steadying himself with his right hand upon the back of a nchair, his foot suspended.	彼は足を宙吊りにしたまま、右手を後ろの椅子に伸ばして体を支えた。
"Nonsense!"	「馬鹿らしい！」
he said aloud;	と、大声で言った。
"I am not so great a coward as to fear to seem to myself afraid."	「自分が恐がっているように見えるのを恐れるほど、私はひどい臆病者じゃない」
He lifted the foot a little higher by slightly bending the knee, and thrust it sharply to the floor	彼は膝をやや曲げることで足を少しだけ上にあげ、鋭く床に突き出した
--an inch in front of the other!	――もう一方の足の1インチ前へ！
He could not think how that occurred.	なぜそうなったのか、彼は考えなかった。
A trial with the left foot had the same result;	左足を使った試行もまた同じ結果になった。
it was again in advance of the right.	つまりふたたび右足の前へ。
The hand upon the chair back was grasping it; the arm was straight, reaching somewhat backward.	腕はまっすぐ後ろへと伸ばされ、手は背後の椅子をしっかりと掴んでいた。
One might have seen that he was reluctant to lose his hold.	彼は手を離すのを嫌がっていたと見ることもできたかもしれない。
The snake's malignant head was still thrust forth from the inner coil as before, the neck level.	悪魔の頭は前と変わらず、とぐろの中心から首の高さで彼の方に突き出されていた。
It had not moved, but its eyes were now electric sparks, radiating an infinity of luminous needles.	動いてはいなかったが、その眼はいまや電光を帯び、無数の輝く針を放射していた。
The man had an ashy pallor.	男は青ざめていた。
Again he took a step forward,	ふたたび彼は一歩前に進んだ。
and another, partly dragging the chair,	椅子を引きずるようにしてさらに次の一歩を。
which, when finally released, fell upon the floor with a crash.	椅子は彼の手から離れ、音を立てて床に転がった。
The man groaned;	男はうめいた。
the snake made neither sound nor motion, but its eyes were two dazzling suns.	蛇は音も立てず、身動きもしなかったが、両眼はそれぞれ太陽のような幻惑的な輝きを放っていた。
The reptile itself was wholly concealed by them.	その輝きによって爬虫性は完全に隠されていた。
They gave off enlarging rings of rich and vivid colors, which at their greatest expansion successively vanished like soap bubbles;	鮮やかな色の輪が放射され、大きく膨張して、石鹸の泡のようにきれいに消え去った。
they seemed to approach his very face, and anon were an immeasurable distance away.	それらは彼の顔へとぎりぎりまで近づくようにも見え、計り知れないほど離れた位置にあるかのようにも見えた。
He heard, somewhere, the continual throbbing of a great drum,	どこからともなく、遠い音楽の奔流とともに巨大なドラムが刻む連続的な鼓動が聞こえてきた。
with desultory bursts of far music, inconceivably sweet, like the tones of an aeolian harp.	その音楽は不条理なほど美しく、風のハープの音色のようだった。
He knew it for the sunrise melody of Memnon's statue, and thought he stood in the Nileside reeds, hearing, with exalted sense, that immortal anthem through the silence of the centuries.	彼はそれがメムノンの像が奏でる日の出の旋律であることを悟り、自分がナイル河の葦原に立っているのだと思いこんで、感覚を昂ぶらせながら世紀の沈黙を抜けだした永遠の賛美歌を聞いていた。
The music ceased;	音楽がやんだ。
rather, it became by insensible degrees the distant roll of a retreating thunderstorm.	もっと正確に言えば、ごくわずかずつ、去りゆく雷雨の遠いうねりとなっていった。
A landscape, glittering with sun and rain, stretched before him, arched with a vivid rainbow, framing in its giant curve a hundred visible cities.	雨と太陽できらめく風景が彼の前に広がり、そこに色鮮やかな虹がかかって、数百のはっきりとした都市群が巨大な曲線の中にはめこまれた。
In the middle distance a vast serpent, wearing a crown, reared its head out of its voluminous convolutions and looked at him with his dead mother's eyes.	中程度の距離から、王冠をかぶった巨大な蛇がかさばった渦巻きの中から首をもたげ、死んだ母親の瞳で彼を見つめていた。
Suddenly this enchanting landscape seemed to rise swiftly upward, like the drop scene at a theater, and vanished in a blank.	突如、まるで映画の墜落シーンのようにこの魅惑的な風景が上に飛んだかと思うと、空白の中に消えていった。
Something struck him a hard blow upon the face and breast.	何かが彼の頭と胸を激しく打った。
He had fallen to the floor;	彼は床に倒れ、折れた鼻と裂けた唇から血を流した。
the blood ran from his broken nose and his bruised lips.	折れた鼻と裂けた唇から血を流した。
For a moment he was dazed and stunned, and lay with closed eyes, his face against the door.	しばらくの間、彼は朦朧としながら瞳を閉じ、顔をドアの方に向けて寝そべっていた。
In a few moments he had recovered, and then realized that his fall, by withdrawing his eyes, had broken the spell which held him.	やがて我にかえった彼は、自分が倒れていることに気付き、瞳を閉じることで彼を捕らえた呪文を断とうとした。
He felt that now, by keeping his gaze averted, he would be able to retreat.	彼は、視線を断つことで逃げ出せるようになるだろうと感じていた。
But the thought of the serpent within a few feet of his head, yet unseen--perhaps in the very act of springing upon him and throwing its coils about his throat--was too horrible.	だが、彼の頭から数フィートのところに蛇がいることを想像すると、実際には見えないにもかかわらず、まさにいま飛びかかってきてそのとぐろを彼の首に巻きつけようとしているのではないかという恐怖感が襲ってきた。
He lifted his head, stared again into those baleful eyes, and was again in bondage.	彼は首を持ち上げてその悪意に満ちた瞳をにらみ返し、ふたたび捕われた。
The snake had not moved,	蛇は動かなかった。
and appeared somewhat to have lost its power upon the imagination;	何かがその幻惑力を失わせたかのようだった。
the gorgeous illusions of a few moments before were not repeated.	数秒前に見たあの華麗な幻影は繰り返されなかった。
Beneath that flat and brainless brow its black, beady eyes simply glittered, as at first, with an expression unspeakably malignant.	中身のなさそうな平べったい額の下では、黒数珠のような瞳が事の始めと変わらず輝いており、筆舌に尽しがたい悪意を明らかにしていた。
It was as if the creature, knowing its triumph assured, had determined to practice no more alluring wiles.	勝利を確信し、これ以上の催眠術を使わないと決めたかのように。
Now ensued a fearful scene.	恐ろしい光景が展開した。
The man, prone upon the floor, within a yard of his enemy,	敵との距離はおよそ1ヤード。
raised the upper part of his body upon his elbows, his head thrown back, his legs extended to their full length.	うつぶせに倒れた男は肘をついて体を起こし、頭をのけぞらせ、足を限界までまっすぐに伸ばした。
His face was white between its gouts of blood;	真っ白い顔は血に汚れ、
his eyes were strained open to their uttermost expansion.	瞳は極限まで見開かれていた。
There was froth upon his lips; it dropped off in flakes.	唇からは泡を吹きだしていた。
Strong convulsions ran through his body, making almost serpentine undulations.	強い痙攣が全身を駆け巡り、まるで蛇のようにうねった。
He bent himself at the waist, shifting his legs from side to side.	足を左右に動かしながら腰から体を折る。
And every movement left him a little nearer to the snake.	身動きするたびに、少しずつ蛇に近づいていくようだった。
He thrust his hands forward to brace himself back, yet constantly advanced upon his elbows.	体を後ろに押し戻そうと前に手をついたが、それでも絶えず蛇に向かって前進していった。
Dr. Druring and his wife sat in the library.	ドラーリング博士夫妻が研究室に座っていた。
The scientist was in rare good humor.	博士は珍しく上機嫌だった。
"I have just obtained, by exchange with another collector,"	「ちょうど手に入れたんだ、別のコレクションと交換にね」
he said,	と、彼は言った。
"a splendid specimen of the Ophiophagus."	「Ophiophagus のみごとな標本だよ」
"And what may that be?"	「それって何ですの？」
the lady inquired with a somewhat languid interest.	と、夫人は尋ねたが、熱意ある態度とは言いがたかった。
"Why, bless my soul, what profound ignorance!	「なんだって、なんて恐るべき無知さ加減なんだろう！
My dear, a man who ascertains after marriage that his wife does not know Greek, is entitled to a divorce.	ねえおまえ、ギリシャ語を知らない妻を娶った男は離婚に踏み切る資格があるんだよ。
The Ophiophagus is a snake which eats other snakes."	Ophiophagus とは蛇を食う蛇という意味だ」
"I hope it will eat all yours,"	「あなたの蛇をぜんぶ食べてくれればいいのに」
she said, absently shifting the lamp.	と、彼女はぼんやりとランプを動かしながら言った。
"But how does it get the other snakes?	「でもどうやって他の蛇を捕まえるの？
By charming them, I suppose."	きっと魅惑して捕まえるのね」
"That is just like you, dear,"	「ちょうどおまえみたいにね」
said the doctor, with an affectation of petulance.	と、不機嫌を装って言った。
"You know how irritating to me is any allusion to that vulgar superstition about the snake's power of fascination."	「蛇の魅惑能力に関する低俗な迷信を口にされることがどれほど私を苛立たせるか、知っているだろう」
The conversation was interrupted by a mighty cry which rang through the silent house	会話は屋敷中に響き渡った大きな悲鳴によって中断された。
like the voice of a demon shouting in a tomb.	まるで、悪魔が墓の中から叫んでいるような声。
Again and yet again it sounded, with terrible distinctness.	2度、3度とはっきりした悲鳴があがった。
They sprang to their feet, the man confused, the lady pale and speechless with fright.	彼らは飛びあがり、男は混乱し、女は表現不可能な恐怖に青ざめた。
Almost before the echoes of the last cry had died away the doctor was out of the room, springing up the staircase two steps at a time.	最後の悲鳴の残響が消えるころ、博士は部屋を出て、階段を2段ずつ駆け登った。
In the corridor, in front of Brayton's chamber, he met some servants who had come from the upper floor.	ブレイトンの寝室前の廊下には、上の階にいた使用人たちが降りてきていた。
Together they rushed at the door without knocking.	彼らは、ノックもせずに、揃ってドアに体当たりした。
It was unfastened, and gave way.	ドアはきしみ、破られた。
Brayton lay upon his stomach on the floor, dead.	ブレイトンは床にうつぶせになって死んでいた。
His head and arms were partly concealed under the foot rail of the bed.o	頭と腕の一部はベッドの下に隠れてしまっている。
They pulled the body away, turning it upon the back.	彼らは死体をベッドの下から引きずり出して仰向けにした。
The face was daubed with blood and froth, the eyes were wide open, staring	顔は血と泡にまみれ、大きく見開かれた目が虚空を睨みつけている。
--a dreadful sight!	おぞましい光景だった！
"Died in a fit," said the scientist, bending his knee and placing his hand upon the heart.	科学者は膝を折り、ブレイトンの胸に手を当てた。「発作で死んだんだな」
While in that position he happened to glance under the bed.	そのままの姿勢で、彼はふとベッドの下に目を向けた。
"Good God!" he added;	「主よ！
"how did this thing get in here?"	なぜこいつがこんなところに？」
He reached under the bed, pulled out the snake, and flung it, still coiled, to the center of the room,	彼はベッドの下に手を伸ばし、いまだにとぐろを巻いている蛇を引きずり出して部屋の中央に放り出した。
whence, with a harsh, shuffling sound, it slid across the polished floor till stopped by the wall,	ざらつくような音をたてながら蛇は床を滑り、壁にぶつかって止まった。
where it lay without motion.	そして、そのまま身動きすることはなかった。
It was a stuffed snake;	それは剥製の蛇で
its eyes were two shoe buttons.	――両眼はふたつの靴ボタンだったのだ。
