STORY OF THE DOOR	ドアにまつわる話
"I let my brother go to the devil in his quaintly:	「私は自分の兄弟だって、本人の趣くままに地獄にだって行かせるよ」
own way.	といった風に言うのだった。
In this character, it was frequently his fortune to be the last reputable acquaintance and the last good influence in the lives of down-going men.	こういう性格なので、よく堕落していく人の人生に最後まで良く付き合い、いい影響を与えるめぐりあわせになったりした。
And to such as these, so long as they came about his chambers, he never marked a shade of change in his demeanour.	そしてこれらの人が、彼の事務所に姿を現しても、まゆ一つしかめるでもなかった。
No doubt the feat was easy to Mr. Utterson;	疑いもなく、こういったことはアターソン氏にはなんでもないことだった。
for he was undemonstrative at the best, and even his friendship seemed to be founded in a similar catholicity of good-nature.	なぜならできるだけ外に感情を出さないようにしていたし、友情さえ同じような寛大な性格の上に築かれたものだったから。
It is the mark of a modest man to accept his friendly circle ready-made from the hands of opportunity;	つつしみ深い人の常として、機会があったときの交友範囲を受け入れ、
and that was the lawyer's way.	この弁護士の流儀も全くそのとおりだった。
His friends were those of his own blood or those whom he had known the longest;	友達は、親戚か長い間の知り合いかのいずれかというわけだ。
his affections, like ivy, were the growth of time, they implied no aptness in the object.	友情は、つたのように、長い時間をかけたもので、友達としてふさわしいかどうかは別問題だった。
Hence, no doubt, the bond that united him to Mr. Richard Enfield,	したがって疑いなくリチャード・エンフィールド氏との交友関係もこのようなものだった。
his distant kinsman, the well-known man about own.	彼は遠い親戚で、町の名士だった。
It was a nut to crack for many, what these two could see in each other, or what subject they could find in common.	多くの人には、この２人がお互いをどう思っているのか、どんなことを共通の話題にしているのかは、ちょっとした謎だった。
It was reported by those who encountered them in their Sunday walks, that they said nothing, looked singularly dull, and would hail with obvious relief the appearance of a friend.	日曜の散歩で出くわした人が話すのによれば、２人はだまってつまらなそうで、友達にでも会うと明らかにほっとしたように挨拶をするらしい。
For all that, the two men put the greatest store by these excursions, counted them the chief jewel of each week, and not only set aside occasions of pleasure, but even resisted the calls of business, that they might enjoy them uninterrupted.	それにもかからわず、２人はこの散歩を非常に大事なものと考えていて、毎週をかざりたてる物のように思い、散歩をじゃまされずに楽しむためなら、他の娯楽をかえりみないばかりか、必要な用事もそっちのけなのだった。
It chanced on one of these rambles that their way led them down a by-street in a busy quarter of London.	そんな散歩をしていたときに、たまたま２人はロンドンの繁華街の裏通りにさしかかった。
The street was small and what is called quiet, but it drove a thriving trade on the week-days.	道はせまく、まあ閑静であるといってよかったが、ウィークデーにはまずまず商売も繁盛しているようだった。
The inhabitants were all doing well, it seemed, and all emulously hoping to do better still, and laying out the surplus of their gains in coquetry;	住人はみな金持ちらしく、見栄えがよいように、かせぎの余剰が装飾につぎこまれているのだった。
so that the shop fronts stood along that thoroughfare with an air of invitation, like rows of smiling saleswomen.	だから店がならんで競い、客を誘う様子は、微笑みながら売り子が列をなしているようにも見えた。
Even on Sunday, when it veiled its more florid charms and lay comparatively empty of passage, the street shone out in contrast to its dingy neighbourhood, like a fire in a forest;	日曜日なのでばら色の容色はベールでおおわれ、人通りもすくなかったが、それにもかかわらず森の中の火事のように目をひき、薄汚れた近辺とはくらべものにならなかった。
and with its freshly painted shutters, well-polished brasses, and general cleanliness and gaiety of note, instantly caught and pleased the eye of the passenger.	塗りたてのシャッターやみがきあげられた看板、そしてとにかくきれいで、ひどく艶やかな感じがして、すぐ通る人の目をひきつけ楽しませるのだった。
Two doors from one corner, on the left hand going east, the line was broken by the entry of a court;	東にむかった左手の、ある角から２軒目で、家並みは中庭への入り口で途切れていた。
and just at that point, a certain sinister block of building thrust forward its gable on the street.	そしてちょうどその場所に、ある不吉な感じの建物がその屋根を道に向かって突き出していた。
It was two stories high; showed no window, nothing but a door on the lower story and a blind forehead of discoloured wall on the upper;	２階建てで、１階には入り口が１つきりで、２階にも前面には窓がなく、壁もよごれていた。
and bore in every feature, the marks of prolonged and sordid negligence.	それはどこからみても、長いあいだ無頓着にほっておいたしるしとしか思えなかった。
The door, which was equipped with neither bell nor knocker, was blistered and distained.	ドアにはベルもノッカーもなく、さびがでて変色していた。
Tramps slouched into the recess and struck matches on the panels;	浮浪者たちはくぼみにかがみこんで、壁でマッチを擦っていた。
children kept shop upon the steps;	子供たちは階段で店番をしたり、
the schoolboy had tried his knife on the mouldings;	建物の出っ張ったかざりでナイフを研いだりした。
Mr. Enfield and the lawyer were on the other side of the by-street;	エンフィールド氏とアターソン氏はその裏通りの道の反対側を歩いていたが、
but when they came abreast of the entry, the former lifted up his cane and pointed.	その家の入り口のすぐ近くにくると、エンフィールド氏がステッキをもちあげ指し示した。
"Did you ever remark that door?"	「あのドアに気づいていましたか？」
he asked;	エンフィールド氏はたずねた。
and when his companion had replied in the affirmative,	そしてアターソン氏がうなずくと、
"It is connected in my mind," added he, "with a very odd story."	「とても奇妙でかわった話があるんですがね」とつけ加えた。
"Indeed?"	「本当かい？」
said Mr. Utterson, with a slight change of voice,	アターソン氏は少し声の調子をかえて言った。
"and what was that?"	「で、何なんだい？」
"Well, it was this way,"	「あぁ、こんな調子です」
returned Mr. Enfield:	エンフィールド氏は答えた。
"I was coming home from some place at the end of the world,	「私はどこか果てしなく遠いところから、家にかえるところでした。
about three o' clock of a black winter morning, and my way lay through a part of town where there was literally nothing to be seen but lamps.	真っ暗な冬の夜明けの３時くらいで、帰る道すがらではまさしく街灯以外で見えるものは何もないんです。
Street after street, and all the folks asleep	どこまで行っても、街はすっかり寝静まっていて、
-- street after street, all lighted up as if for a procession and all as empty as a church	どこまでいっても、教会での行列のようにあかりがともり、それでいて教会みたいにがらんとしていたんです。
-- till at last I got into that state of mind when a man listens and listens and begins to long for the sight of a policeman.	とうとう私は耳を熱心にすましながら、警官の一人でも目に入らないかと強く望みはじめる気持ちになりましたよ。
All at once, I saw two figures:	そうするとすぐに、私は２人の人影を見ました。
one a little man who was stumping along eastward at a good walk, and the other a girl of maybe eight or ten who was running as hard as she was able down a cross street.	一人は小さな男で急ぎ足で東へとどんどん歩いていき、もう一人はたぶん８才か１０才の少女で大き
Well, sir,	それでです。
the two ran into one another naturally enough at the corner;	その２人が角で、もちろんぶつかってしまったんです。
and then came the horrible part of the thing;	それからが、この話の恐ろしいところです。
for the man trampled calmly over the, child's body and left her screaming on the ground.	というのも、その男は平然と、子供の体の上を踏み越えていったんです、子供を地面につっぷして泣き叫んだままにしてね。
It sounds nothing to hear, but it was hellish to see.	なんでもないことに聞こえるかもしれないですが、見ていればまるで地獄といった感じです。
It wasn't like a man;	人のすることじゃないです。
it was like some damned Juggernaut.	あの忌まわしいクリシュナ神みたいなものですな。
I gave a view-halloa, took to my heels, collared my gentleman, and brought him back to where there was already quite a group about the screaming child.	私は大声をあげて、逃げようとしたその男にタックルし、そのときにはすでに大勢が取り囲んでいた泣き叫ぶ子供のところまでその男をつれていきました。
He was perfectly cool and made no resistance,	その男は落ち着きはらって、抵抗らしい抵抗もしませんでした。
but gave me one look, so ugly that it brought out the sweat on me like running.	私の方を一べつしたんですが、その醜いことといったら、おもわず汗が流れ落ちるくらいものでした。
The people who had turned out were the girl's own family;	その少女の家族のものも往来にでてきて、
and pretty soon, the doctor, for whom she had been sent, put in his appearance.	すぐあとに少女が呼びにいかされた医者が姿を現しました。
Well, the child was not much the worse, more frightened, according to the Sawbones;	そして、その医者が診たところ、少女のけがはひどいことはなく、ただひどく驚いているということだったんです。
and there you might have supposed would be an end to it.	これで一件落着と思われるでしょう。
But there was one curious circumstance.	でも、まだ一つだけ不思議なことがあるんです。
I had taken a loathing to my gentleman at first sight.	私は一目見てその紳士がいけ好かないやつだってことは分かりましたし、
So had the child's family, which was only natural.	子供の家族もそうだったのは、当然のなりゆきでしょう。
But the doctor's case was what struck me.	でも医者のようすが、私の心をひどくゆさぶりました。
He was the usual cut-and-dry apothecary, of no particular age and colour, with a strong Edinburgh accent, and about as emotional as a bagpipe.	その医者というのはどこにでもいるような薬剤師で、年格好にもこれといって特徴はなく、ひどいエジンバラ訛りがあったんですが、ただバグパイプとおなじくらい感情的な男でした。
Well, sir, he was like the rest of us;	だから彼ときたら、私たちと全く同じ気持ちだったんです。
every time he looked at my prisoner, I saw that Sawbones turn sick and white with the desire to kill him.	私がつかまえた男をみるたびに、その医者は殺してやりたいとばかりに顔色をかえました。
I knew what was in his mind,	気持ちが手にとるようにわかりました。
just as he knew what was in mine;	私とまったく同じです。
and killing being out of the question, we did the next best.	殺すなんていうのは実際には出来ない相談だから、次善の策をとりました。
We told the man	この男にこういってやったんです。
we could and would make such a scandal out of this, as should make his name stink from one end of London to the other.	このことをスキャンダルにして、ロンドンの隅から隅までおまえの評判を貶めてやると。
If he had any friends or any credit, we undertook that he should lose them.	それからもしおまえに友達なり信用なんてものがあるとしたら、それらを失うことはうけあってもいいとね。
And all the time, as we were pitching it in red hot, we were keeping the women off him as best we could,	そのあいだ、私たちは激怒してそうまくしたてながらも、女性たちはできるかぎりその男には近づけないようにしました。
for they were as wild as harpies.	というのも女性たちもギリシア神話に出てくる怪物のハルピュイアみたいに手におえない状態でしたから。
I never saw a circle of such hateful faces;	あんなに険悪な集団は見たことがありませんよ。
and there was the man in the middle, with a kind of black, sneering coolness	しかもそのまんなかにいる男は、なんというか平然と悪意のこもったうすら笑いをうかべているんですから。
-- frightened too, I could see that	もちろんあせってはいるんでしょうが、私にはそれがわかりましたよ、
-- but carrying it off, sir,	でも平然とやりすごそうとしてるんです。
really like Satan.	まったく悪魔ですよ。
'If you choose to make capital out of this accident,' said he, 'I am naturally helpless.	その男がいうには“もし君たちがこの事件に乗じようとしてるなら、私にはまったくもってどうしようもない。
No gentleman but wishes to avoid a scene,' says he. 'Name your figure.'	紳士なら醜態はさけたいものだし、金額をいいたまえ”ですから。
Well, we screwed him up to a hundred pounds for the child's family;	そして私たちも子供の家族のために、１００ポンドをしぼりとってやりました。
he would have clearly liked to stick out;	その男は明らかにがんばり通そうともしましたが、
but there was something about the lot of us that meant mischief, and at last he struck.	私たちが多勢に無勢でやっかいとでも思ったんでしょう、とうとう折れましたよ。
The next thing was to get the money;	次の問題はどうやって金を回収するかです。
and where do you think he carried us but to that place with the door?	そこで、その男がどこに私たちをつれていったと思います、他でもないあのドアの場所ですよ。
-- whipped out a key, went in, and presently came back with the matter of ten pounds in gold and a cheque for the balance on Coutts's, drawn payable to bearer	鍵を取り出すと、中に入って、すぐに１０ポンドぐらいと持参人払いの小切手をもってもどってきました。
and signed with a name that I can't mention, though it's one of the points of my story, but it was a name at least very well known and often printed.	その小切手のサインの主は、私の口からは名前をいえないような、まあそれがこの話の重要な点の一つなんですが、少なくとも著名人でよく新聞にものる人なんですよ。
The figure was stiff; but the signature was good for more than that, if it was only genuine.	金額も大きいが、署名が本物なら、それ以上でも問題なかったでしょう。
I took the liberty of pointing out to my gentleman	私は傍若無人にも指摘してやりました。
that the whole business looked apocryphal, and that a man does not, in real life, walk into a cellar door at four in the morning and come out of it with another man's cheque for close upon a hundred pounds.	一体どうなってるんだと、ふつうの生活では、朝の４時に地下室のドアみたいなところに入っていって、他人が署名した１００ポンド近くもの小切手をもってくるなんてありえないぞとね。
But he was quite easy and sneering.	でもその男ときたら落ち着きはらって、にやにやしているだけなんです。
'Set your mind at rest,'	“落ち着きたまえ”
says he,	なんていうんですから、
'I will stay with you till the banks open and cash the cheque myself.'	そして“銀行が開いて、自分で小切手を現金化するまで、いっしょにいてやるから”と続けたんです。
So we all set off, the doctor, and the child's father, and our friend and myself, and passed the rest of the night in my chambers;	そこで私たちは、医者も、子供の父親も、その男も私も連れ立って、私の部屋で朝までを過ごしました。
and next day, when we had breakfasted, went in a body to the bank.	次の日になり、朝食をとって、そろって銀行にでかけていきました。
I gave in the check myself, and said I had every reason to believe it was a forgery.	私は自分でその小切手をさしだして、どうにも偽造らしいと思うんだがと言いました。
Not a bit of it.	でも、偽造ではなかったんです。
The cheque was genuine."	小切手は本物でした」
"Tut-tut,"	「ちぇ、ちぇ」
said Mr. Utterson.	アターソン氏は舌打ちした。
"I see you feel as I do,"	「どうやら、私と同じ気持ちですな」
said Mr. Enfield.	エンフィールド氏は言った。
"Yes, it's a bad story.	「そうです、ひどい話ですよ。
For my man was a fellow that nobody could have to do with, a really damnable man;	話にでてきた男ときたら、まあ、相手にする人はだれもいません、憎むべきやつです。
and the person that drew the cheque is the very pink of the proprieties, celebrated too, and (what makes it worse) one of your fellows who do what they call good.	そして小切手に署名した人は、本当の財産家で、有名人、なお悪いことには、いわゆる高潔なことをしているあなた方の仲間の一人でもあるわけです。
Black-mail, I suppose;	恐喝、だと思います。
an honest man paying through the nose for some of the capers of his youth.	正義の士が若気のいたりかなにかで、目の玉が飛び出るほどの金額を払ってるんですよ。
Black-Mail House is what I call that place with the door, in consequence.	あのドアの家を、私は恐喝の館と呼んでます。
Though even that, you know, is far from explaining all,"	そうだとしても、もちろん全部が全部説明がつくわけでもないですが、」
he added, and with the words fell into a vein of musing.	とつけ加えたが、その後、もの思いにふけってしまった。
From this he was recalled by Mr. Utterson asking rather suddenly:	アターソン氏がややだしぬけに質問すると、エンフィールド氏はもの思いから覚めた。
"And you don't know if the drawer of the cheque lives there?"	「小切手の署名をした人が、そこに住んでるかどうかは知らないのかい？」
"A likely place, isn't it?"	「ありそうなことです」
returned Mr. Enfield.	エンフィールド氏は答えた。
"But I happen to have noticed his address;	「たまたま私は、その人の住んでるところを知ってるんです。
he lives in some square or other."	どこかの街区に住んでたと思います」
"And you never asked about the -- place with the door?"	「君は、あのドアの場所については尋ねたことはないんだね？」
said Mr. Utterson.	アターソン氏は聞いた。
"No, sir: I had a delicacy,"	「いいえ、私にも慎みってものがありますから」
was the reply.	というのが答えだった。
"I feel very strongly about putting questions;	「いろいろ質問するには、強い抵抗があるんです。
it partakes too much of the style of the day of judgment.	最後の審判の真似でもするみたいじゃないですか。
You start a question, and it's like starting a stone.	一つでも質問をはじめれば、一つの石を転がすようなもので。
You sit quietly on the top of a hill;	自分は、丘の上に静かに腰かけてね。
and away the stone goes, starting others;	そして石は転がって、他の石を巻き込んでいく。
and presently some bland old bird (the last you would have thought of) is knocked on the head in his own back-garden	やがて思いもよらないような、穏やかで年とった人が自分の裏庭で頭に石が当たってしまう。
and the family have to change their name.	そしてその家族が名前を変えなければならない。
No, sir, I make it a rule of mine:	いやいや、私は自分に規則を課しているんです。
the more it looks like Queer Street, the less I ask."	困っているように見えれば見えるほど、私は質問をしないことにしてるんです」
" A very good rule, too,"	「いい規則だとも」
said the lawyer.	アターソン氏は言った。
"But I have studied the place for myself,"	「でもその場所については、私なりに調べてみました」
continued Mr. Enfield.	エンフィールド氏は続けた。
"It seems scarcely a house.	「家には見えないくらいです。
There is no other door, and nobody goes in or out of that one but, once in a great while, the gentleman of my adventure.	他にはドアはないし、あの男がほんの稀に出入りする以外には、出入りするものもなし。
There are three windows looking on the court on the first floor;	２階には中庭に向けた窓が３つあるが、
none below;	１階には１つもない。
the windows are always shut but they're clean.	窓はいつも閉め切りだが、きれいに磨かれている。
And then there is a chimney which is generally smoking;	それから煙突があってそこから煙がでているので、
so somebody must live there.	誰かが住んでるにちがいないんだが。
And yet it's not so sure;	とにかくはっきりしません。
for the buildings are so packed together about that court, that it's hard to say where one ends and another begins."	あのあたりは区画がごちゃごちゃしていて、どこからどこまでが１軒かわからないくらいです」
The pair walked on again for a while in silence;	２人は再び黙って歩き始めた。
and then,	それから
"Enfield,"	「エンフィールド君」
said Mr. Utterson,	とアターソン氏が口を開いた。
"that's a good rule of yours."	「君のあの規則はいいね」
"Yes, I think it is,"	「あぁ、そう思います」
returned Enfield.	エンフィールド氏は答えた。
"But for all that,"	「そうなんだが、」
continued the lawyer,	アターソン氏は続けた。
"there's one point I want to ask:	「一つだけ質問してもいいかい。
I want to ask the name of that man who walked over the child."	私は子供を踏み越えた男の名前が知りたいんだ」
"Well,"	「いいですよ」
said Mr. Enfield,	エンフィールド氏は答えた。
"I can't see what harm it would do.	「別に問題もないでしょうし、
It was a man of the name of Hyde."	ハイドというのがその男の名前です」
"H'm,"	「ふーむ」
said Mr. Utterson.	アターソン氏は言った。
"What sort of a man is he to see?"	「外見はどういった感じなんだ？」
"He is not easy to describe.	「なんとも言いがたいんです。
There is something wrong with his appearance;	外見に、どこかしら邪悪なところがあるんです。
something displeasing, something downright detestable.	不愉快な、まったく憎悪すべきところが。
I never saw a man I so disliked, and yet I scarce know why.	あんなにむかむかさせる男には、今まで会ったことがない、どうしてむかむかさせるのかはさっぱりわかりません。
He must be deformed somewhere;	どこか奇形なところがあるに違いありません。
he gives a strong feeling of deformity,	奇形といった感じを強く与えるんです。
although I couldn't specify the point.	どこが、ということはいえないんですがね。
He's an extraordinary-looking man, and yet I really can name nothing out of the way.	まったく途方もない外見の持ち主で、私にはなんとも言葉で言い表しようがないんです、
No, sir; I can make no hand of it;	えぇ、まったく出来ません。
I can't describe him.	表現しようがないんです。
And it's not want of memory;	忘れたわけではなく、
for I declare I can see him this moment."	今でも目の前にその姿がありありと浮かぶくらいなんですがねぇ」
Mr. Utterson again walked some way in silence and obviously under a weight of consideration.	アターソン氏は再びだまって歩き出すと、明らかに深く考え込んでいるようだった。
"You are sure he used a key?"	「確かに、その男が鍵をつかったんだね？」
he inquired at last.	アターソン氏はとうとう、そう尋ねた。
"My dear sir..."	「いったい、」
began Enfield, surprised out of himself.	エンフィールド氏は驚いてわれを忘れ、そう口走った。
"Yes, I know,"	「あぁ、わかってる」
said Utterson;	アターソン氏は言った。
"I know it must seem strange.	「変に思うのはね。
The fact is, if I do not ask you the name of the other party, it is because I know it already.	実際、私がもう一方の名前を尋ねないのも、私には分かってるからなんだよ。
You see, Richard, your tale has gone home.	リチャード、君の話で合点がいったよ。
If you have been inexact in any point, you had better correct it."	もし少しでも不正確な点があれば、訂正してくれないか」
"I think you might have warned me,"	「前もって言ってくれればいいのに」
returned the other, with a touch of sullenness.	エンフィールド氏は、いくぶんむっとして答えた。
"But I have been pedantically exact, as you call it.	「あなたの質問に答えておけば、学者ほども正確な話をしましたとも。
The fellow had a key; and what's more, he has it still.	その男は鍵を持っていました、それどころか、今でも持っていますよ。
I saw him use it, not a week ago.	私はその男が鍵を使うところを、この一週間以内にも見たんですから」
Mr. Utterson sighed deeply but said never a word;	アターソン氏は深いため息をついたが、何も言わなかった。
and the young man presently resumed.	エンフィールド氏はすぐに口を開いた。
"Here is another lesson to say nothing," said he.	「なにも言わないことというのが教訓ですね。
"I am ashamed of my long tongue.	長々とお話しして恥ずかしいばかりです。
Let us make a bargain never to refer to this again."	この話には二度とふれない約束をしましょう」
"With all my heart,"	「そのとおりだ」
said the lawyer.	アターソン氏は言った。
"I shake hands on that, Richard."	「約束のしるしとして握手しよう、リチャード」
SEARCH FOR MR. HYDE	ハイド氏をさがせ
THAT evening Mr. Utterson came home to his bachelor house in sombre spirits and sat down to dinner without relish.	その晩に、アターソン氏は憂鬱な気分で一人きりのわが家にもどり、暗澹たる気持ちで食卓についた。
It was his custom of a Sunday, when this meal was over, to sit close by the fire, a volume of some dry divinity on his reading-desk,	食事が終ると、だんろの側に座って、無味乾燥とした神学の本を読書台にひろげて読むのが日曜の晩の習慣だった。
until the clock of the neighbouring church rang out the hour of twelve, when he would go soberly and gratefully to bed.	それはだいたい近所の教会の１２時の鐘がなるまでで、それから厳粛に神に感謝をささげ、床に向かうのだった。
On this night, however, as soon as the cloth was taken away, he took up a candle and went into his business-room.	しかしながらその夜は、食卓のテーブルクロスを片付けると、ろうそくを持って事務室へと入っていった。
There he opened his safe, took from the most private part of it a document endorsed on the envelope as Dr. Jekyll's Will,	そこで金庫をあけ、そのなかでも一番プライベートな場所から、ジキル氏の遺言と封筒に裏書された文書をとりだした。
and sat down with a clouded brow to study its contents.	そしてその中身を調べるために、まゆをひそめ座りこんだ。
The will was holograph, for Mr. Utterson, though he took charge of it now that it was made, had refused to lend the least assistance in the making of it;	遺言は自筆でかかれたもので、というのはアターソン氏はジキル氏の遺言の作成の管理を引き受けていたのだが、その遺言を作るのに少しでも協力することは断ったのだ。
it provided not only that, in case of the decease of Henry Jekyll, M.D., D.C.L., LL.D., F.R.S., etc., all his possessions were to pass into the hands of his "friend and benefactor Edward Hyde,"	その遺言には、医学博士、民法学博士、法学博士、王立協会会員等たるヘンリー・ジキル氏が死亡した場合には、すべての所有物を“友人であり、恩があるエドワード・ハイド氏”に譲ること、
but that in case of Dr. Jekyll's "disappearance or unexplained absence for any period exceeding three calendar months," the said Edward Hyde should step into the said Henry Jekyll's shoes without further delay and free from any burthen or obligation, beyond the payment of a few small sums to the members of the doctor's household.	ただしジキル博士の“３ヶ月を越える失踪や行方不明”の場合にも、前述のエドワード・ハイド氏は、ヘンリー・ジキル氏の財産を、遅滞なく、また少額を博士の使用人たちに払う以外はなんの障害も妨害もなしに引き継ぐこと。
This document had long been the lawyer's eyesore.	この書類は弁護士にとっては、このうえなく不愉快なものだった。
It offended him both as a lawyer and as a lover of the sane and customary sides of life, to whom the fanciful was the immodest.	弁護士としても、人生の正しい慣習に従うことを愛するものとしても、もっとも奇抜といえるようなこれは、不快以外のなにものでもなかった。
And hitherto it was his ignorance of Mr. Hyde that had swelled his indignation;	そして今まで、ハイド氏を知らなかったことも怒りに火をそそいでいた。
now, by a sudden turn, it was his knowledge.	さて、一転して、その男を知るようになったわけだ。
It was already bad enough when the name was but a name of which he could learn no more.	名前が名前だけでそれ以上知らないときは、十分悪いことのように思われたが、
It was worse when it began to be clothed upon with detestable attributes;	その忌まわしい人柄がわかるといよいよ始末におえなかった。
and out of the shifting, insubstantial mists that had so long baffled his eye, there leaped up the sudden, definite presentment of a fiend.	そして長い間、目の前にもやもやとしてきた想像上の霧がはれ、とつぜんはっきりした悪魔が姿を現したわけだ。
"I thought it was madness,"	「気が狂ってるとしか思えん」
he said, as he replaced the obnoxious paper in the safe,	アターソン氏は、不快になる書類を金庫にもどしながら言った。
"and now I begin to fear it is disgrace."	「不名誉なことにならなければいいが」
With that he blew out his candle,	そうしてから、ろうそくを吹き消した。
put on a great-coat, and set forth in the direction of Cavendish Square,	外套をはおって、キャベンディッシュ街に出かけていった。
that citadel of medicine, where his friend, the great Dr. Lanyon, had his house and received his crowding patients.	そこは医学の中心地なのだが、友達のラニョン医師が居をかまえていて、押し寄せる患者に対応していた。
"If any one knows, it will be Lanyon,"	「誰か知っているものがいるとしたら、ラニョンだけだろう」
he had thought.	と考えたのだった。
The solemn butler knew and welcomed him;	厳粛な執事がアターソン氏と認め、中へとおしてくれた。
he was subjected to no stage of delay, but ushered direct from the door to the dining-room where Dr. Lanyon sat alone over his wine.	少しも待たずに、直接食堂に案内され、そこではラニョン医師が一人ですわってワインを傾けていた。
This was a hearty, healthy, dapper, red-faced gentleman, with a shock of hair prematurely white, and a boisterous and decided manner.	ラニョン医師は親切で、体も丈夫、こざっぱりとした赤ら顔の紳士で、もじゃもじゃの髪の毛はそんな年でもないのに白くなっており、騒々しく、断固たる性格の持ち主である。
At sight of Mr. Utterson, he sprang up from his chair and welcomed him with both hands.	アターソン氏が目に入ると、ラニョン医師は席から立ち上がり、両手をひろげ歓迎した。
The geniality, as was the way of the man, was somewhat theatrical to the eye;	その歓迎は、いつものことだったが、芝居がかってみえるのだが、
but it reposed on genuine feeling.	心からの気持ちにまかせたものだった。
For these two were old friends, old mates both at school and college, both thorough respecters of themselves and of each other,	２人は学校、大学を通した古くからの友人で、それぞれ自尊心もつよかったが、お互いも同じくらい尊敬しあっていた。
and, what does not always follow, men who thoroughly enjoyed each other's company.	そして必ずしもそうとは限らないことも多いのだが、お互いの交際を心から楽しむのが常だった。
After a little rambling talk, the lawyer led up to the subject which so disagreeably pre-occupied his mind.	何ということはない会話を少しした後、弁護士は先ほどからあれほど不愉快に心を占めていた話題の方へ話をふった。
"I suppose, Lanyon,"	「私が思うには、ラニョン君」
said he	アターソン氏は言った。
"you and I must be the two oldest friends that Henry Jekyll has?"	「君と私はヘンリー・ジキルの一番の古くからの友達だろ？」
"I wish the friends were younger,"	「その友達とやらが、もっと若ければよかったんだがなぁ」
chuckled Dr. Lanyon.	ラニョン医師は含み笑いをした。
"But I suppose we are.	「でもそうだと思う。
And what of that?	それがどうかしたのかい？
I see little of him now."	私は最近はほとんどジキルとは会ってないんだが」
Indeed?"	「本当かい？」
said Utterson.	アターソン氏は言った。
"I thought you had a bond of common interest."	「私は、君たちが同業者としてのつながりがあると思ってたが」
"We had,"	「かつてはね」
was the reply.	というのが答えだった。
"But it is more than ten years since Henry Jekyll became too fanciful for me.	「でも１０年来になるかなぁ、私からみるとヘンリー・ジキルが少し空想にふけるようになったと思うんだ。
He began to go wrong, wrong in mind;	間違った方向へ行ったんだ、精神的にね。
and though of course I continue to take an interest in him for old sake's sake, as they say, I see and I have seen devilish little of the man.	そうはいっても、もちろん昔のよしみで注意は払ってきたんだが、ほとんど会ってない。
Such unscientific balderdash,"	あんな非科学的なたわごとをいってるようでは、」
added the doctor, flushing suddenly purple,	医者は顔を真っ赤にしてつけ加えた。
"would have estranged Damon and Pythias."	「デーモンとピシアスだって断交しただろうよ」
This little spirit of temper was somewhat of a relief to Mr. Utterson.	このちょっとした気分の高揚は、アターソン氏にはいい気休めとなった。
"They have only differed on some point of science,"	「２人はなにか科学上の問題で衝突しただけなんだ」
he thought;	と思ったのだ。
and being a man of no scientific passions (except in the matter of conveyancing), he even added:	そして科学にはまったく興味がなかった（財産譲渡証書以外は）ので、こうつけ加えたくらいだった。
"It is nothing worse than that!"	「それだけのことか！」
He gave his friend a few seconds to recover his composure, and then approached the question he had come to put.	それから友達が平静をとりもどすのを待って、自分がたずねようと思っていた質問へと移った。
"Did you ever come across a protege of his -- one Hyde?" he asked.	「彼の弟子というか、ハイドという男を知っているかい？」
"Hyde?"	「ハイドだって？」
repeated Lanyon.	ラニョンは答えた。
"No. Never heard of him. Since my time."	「いや、聞いたこともないな、私は」
That was the amount of information that the lawyer carried back with him to the great, dark bed	そして弁護士がその大きな暗いベッドまで持ち帰った情報は、これだけだった。
on which he tossed to and fro, until the small hours of the morning began to grow large.	ベッドでアターソン氏はあちこち寝返りをうち、そうこうしている間に朝になってしまった。
It was a night of little ease to his toiling mind, toiling in mere darkness and besieged by questions.	まったくの暗闇のなかで、心は乱れに乱れ、まんじりともせず、次から次へと疑問がわきおこるのだった。
