THE STORY OF MIMI-NASHI-HOICHI	耳無芳一の話
and it is said that when he sang the song of the battle of Dan-no-ura "even the goblins [kijin] could not refrain from tears."	そして壇ノ浦の戦の歌を謡うと鬼神すらも涙をとどめ得なかったという事である。
At the outset of his career, Hoichi was very poor;	芳一には出世の首途（かどで）の際、はなはだ貧しかったが、
but he found a good friend to help him.	しかし助けてくれる深切な友があった。
The priest of the Amidaji was fond of poetry and music;	すなわち阿彌陀寺の住職というのが、詩歌や音楽が好きであったので、
and he often invited Hoichi to the temple, to play and recite.	たびたび芳一を寺へ招じて弾奏させまた、吟誦さしたのであった。
Afterwards, being much impressed by the wonderful skill of the lad, the priest proposed that Hoichi should make the temple his home;	後になり住職はこの少年の驚くべき技倆にひどく感心して、芳一に寺をば自分の家とするようにと云い出したのであるが、
and this offer was gratefully accepted.	芳一は感謝してこの申し出を受納した。
Hoichi was given a room in the temple-building;	それで芳一は寺院の一室を与えられ、
and, in return for food and lodging, he was required only to gratify the priest with a musical performance on certain evenings, when otherwise disengaged.	食事と宿泊とに対する返礼として、別に用のない晩には、琵琶を奏して、住職を悦ばすという事だけが注文されていた。
One summer night the priest was called away, to perform a Buddhist service at the house of a dead parishioner;	ある夏の夜の事、住職は死んだ檀家の家で、仏教の法会を営むように呼ばれたので、
and he went there with his acolyte, leaving Hoichi alone in the temple.	芳一だけを寺に残して納所を連れて出て行った。
It was a hot night;	それは暑い晩であったので、
and the blind man sought to cool himself on the verandah before his sleeping-room.	盲人芳一は涼もうと思って、寝間の前の縁側に出ていた。
The verandah overlooked a small garden in the rear of the Amidaji.	この縁側は阿彌陀寺の裏手の小さな庭を見下しているのであった。
There Hoichi waited for the priest's return, and tried to relieve his solitude by practicing upon his biwa.	芳一は住職の帰来を待ち、琵琶を練習しながら自分の孤独を慰めていた。
Midnight passed;	夜半も過ぎたが、
and the priest did not appear.	住職は帰って来なかった。
But the atmosphere was still too warm for comfort within doors;	しかし空気はまだなかなか暑くて、戸の内ではくつろぐわけにはいかない、
and Hoichi remained outside.	それで芳一は外に居た。
At last he heard steps approaching from the back gate.	やがて、裏門から近よって来る跫音が聞えた。
Somebody crossed the garden, advanced to the verandah, and halted directly in front of him --	誰れかが庭を横断して、縁側の処へ進みより、芳一のすぐ前に立ち止った――
but it was not the priest.	が、それは住職ではなかった。
A deep voice called the blind man's name --	底力のある声が盲人の名を呼んだ――
abruptly and unceremoniously, in the manner of a samurai summoning an inferior:--	出し抜けに、無作法に、ちょうど、侍が下下（したじた）を呼びつけるような風に――
"Hoichi!"	『芳一！』
"Hai!" (1)	『はい！』
answered the blind man, frightened by the menace in the voice,--	と威嚇する声に縮み上って盲人は返事をした――
"I am blind! --	『私は盲目で御座います！――
I cannot know who calls!"	どなたがお呼びになるのか解りません！』
"There is nothing to fear,"	見知らぬ人は言葉をやわらげて言い出した、
the stranger exclaimed, speaking more gently.	『何も恐わがる事はない、
"I am stopping near this temple, and have been sent to you with a message.	拙者はこの寺の近処に居るもので、お前の許（とこ）へ用を伝えるように言いつかって来たものだ。
My present lord, a person of exceedingly high rank, is now staying in Akamagaseki, with many noble attendants.	拙者の今の殿様と云うのは、大した高い身分の方で、今、たくさん立派な供をつれてこの赤間ヶ関に御滞在なされているが、
He wished to view the scene of the battle of Dan-no-ura;	壇ノ浦の戦場を御覧になりたいというので、
and to-day he visited that place.	今日、そこを御見物になったのだ。
Having heard of your skill in reciting the story of the battle, he now desires to hear your performance:	ところで、お前がその戦争（いくさ）の話を語るのが、上手だという事をお聞きになり、お前のその演奏をお聞きになりたいとの御所望である、
so you will take your biwa and come with me at once to the house where the august assembly is waiting."	であるから、琵琶をもち即刻拙者と一緒に尊い方方の待ち受けておられる家へ来るが宜い』
In those times, the order of a samurai was not to be lightly disobeyed.	当時、侍の命令と云えば容易に、反くわけにはいかなかった。
Hoichi donned his sandals, took his biwa, and went away with the stranger, who guided him deftly, but obliged him to walk very fast.	で、芳一は草履をはき琵琶をもち、知らぬ人と一緒に出て行ったが、その人は巧者に芳一を案内して行ったけれども、芳一はよほど急ぎ足で歩かなければならなかった。
The hand that guided was iron;	また手引きをしたその手は鉄のようであった。
and the clank of the warrior's stride proved him fully armed,--	武者の足どりのカタカタいう音はやがて、その人がすっかり甲冑を著けている事を示した――
probably some palace-guard on duty. Hoichi's first alarm was over:	定めし何か殿居（とのい）の衛士ででもあろうか、芳一の最初の驚きは去って、
he began to imagine himself in good luck; --	今や自分の幸運を考え始めた――
for, remembering the retainer's assurance about a "person of exceedingly high rank," he thought that the lord who wished to hear the recitation could not be less than a daimyo of the first class.	何故かというに、この家来の人の「大した高い身分の人」と云った事を思い出し、自分の吟誦を聞きたいと所望された殿様は、第一流の大名に外ならぬと考えたからである。
Presently the samurai halted;	やがて侍は立ち止った。
and Hoichi became aware that they had arrived at a large gateway; --	芳一は大きな門口に達したのだと覚った――
and he wondered, for he could not remember any large gate in that part of the town, except the main gate of the Amidaji.	ところで、自分は町のその辺には、阿彌陀寺の大門を外にしては、別に大きな門があったとは思わなかったので不思議に思った。
"Kaimon!" [4]	「開門！」
the samurai called,--	と侍は呼ばわった――
and there was a sound of unbarring;	すると閂を抜く音がして、
and the twain passed on.	二人は這入って行った。
They traversed a space of garden, and halted again before some entrance;	二人は広い庭を過ぎ再びある入口の前で止った。
and the retainer cried in a loud voice,	そこでこの武士は大きな声で
"Within there!	「これ誰れか内のもの！
I have brought Hoichi."	芳一を連れて来た」
Then came sounds of feet hurrying, and screens sliding, and rain-doors opening, and voices of women in converse.	すると急いで歩く跫音、襖のあく音、雨戸の開く音、女達の話し声などが聞えて来た。
By the language of the women Hoichi knew them to be domestics in some noble household;	女達の言葉から察して、芳一はそれが高貴な家の召使である事を知った。
but he could not imagine to what place he had been conducted.	しかしどういう処へ自分は連れられて来たのか見当が付かなかった。
Little time was allowed him for conjecture.	が、それをとにかく考えている間もなかった。
After he had been helped to mount several stone steps, upon the last of which he was told to leave his sandals, a woman's hand guided him along interminable reaches of polished planking, and round pillared angles too many to remember, and over widths amazing of matted floor,--	手を引かれて幾箇かの石段を登ると、その一番最後（しまい）の段の上で、草履をぬげと云われ、それから女の手に導かれて、拭（ふ）き込んだ板鋪のはてしのない区域を過ぎ、覚え切れないほどたくさんな柱の角をり、驚くべきほど広い畳を敷いた床を通り――
into the middle of some vast apartment.	大きな部屋の真中に案内された。
There he thought that many great people were assembled:	そこに大勢の人が集っていたと芳一は思った。
the sound of the rustling of silk was like the sound of leaves in a forest.	絹のすれる音は森の木の葉の音のようであった。
He heard also a great humming of voices,--	それからまた何んだかガヤガヤ云っている大勢の声も聞えた――
talking in undertones;	低音で話している。
and the speech was the speech of courts.	そしてその言葉は宮中の言葉であった。
Hoichi was told to put himself at ease, and he found a kneeling-cushion ready for him.	芳一は気楽にしているようにと云われ、座蒲団が自分のために備えられているのを知った。
After having taken his place upon it, and tuned his instrument, the voice of a woman --	それでその上に座を取って、琵琶の調子を合わせると、女の声が――
whom he divined to be the Rojo, or matron in charge of the female service --	その女を芳一は老女すなわち女のする用向きを取り締る女中頭だと判じた――
addressed him, saying,--	芳一に向ってこう言いかけた――
"It is now required that the history of the Heike be recited, to the accompaniment of the biwa."	『ただ今、琵琶に合わせて、平家の物語を語っていただきたいという御所望に御座います』
Now the entire recital would have required a time of many nights:	さてそれをすっかり語るのには幾晩もかかる、
therefore Hoichi ventured a question:--	それ故芳一は進んでこう訊ねた――
"As the whole of the story is not soon told, what portion is it augustly desired that I now recite?"	『物語の全部は、ちょっとは語られませぬが、どの条下（くさり）を語れという殿様の御所望で御座いますか？』
The woman's voice made answer:--	女の声は答えた――
"Recite the story of the battle at Dan-no-ura,--	『壇ノ浦の戦（いくさ）の話をお語りなされ――
for the pity of it is the most deep." [5]	その一条下（ひとくさり）が一番哀れの深い処で御座いますから』
Then Hoichi lifted up his voice, and chanted the chant of the fight on the bitter sea,--	芳一は声を張り上げ、烈しい海戦の歌をうたった――
wonderfully making his biwa to sound like the straining of oars and the rushing of ships, the whirr and the hissing of arrows, the shouting and trampling of men, the crashing of steel upon helmets, the plunging of slain in the flood.	琵琶を以て、あるいは橈を引き、船を進める音を出さしたり、はッしと飛ぶ矢の音、人々の叫ぶ声、足踏みの音、兜にあたる刃の響き、海に陥る打たれたもの音等を、驚くばかりに出さしたりして。
And to left and right of him, in the pauses of his playing, he could hear voices murmuring praise:	その演奏の途切れ途切れに、芳一は自分の左右に、賞讃の囁く声を聞いた、――
"How marvelous an artist!" --	「何という巧（うま）い琵琶師だろう！」――
"Never in our own province was playing heard like this!" --	「自分達の田舎ではこんな琵琶を聴いた事がない！」――
"Not in all the empire is there another singer like Hoichi!"	「国中に芳一のような謡い手はまたとあるまい！」
Then fresh courage came to him, and he played and sang yet better than before;	するといっそう勇気が出て来て、芳一はますますうまく弾きかつ謡った。
and a hush of wonder deepened about him.	そして驚きのため周囲は森としてしまった。
But when at last he came to tell the fate of the fair and helpless,--the piteous perishing of the women and children,--and the death-leap of Nii-no-Ama, with the imperial infant in her arms,--	しかし終りに美人弱者の運命――婦人と子供との哀れな最期――双腕に幼帝を抱き奉った二位の尼の入水を語った時には――
then all the listeners uttered together one long, long shuddering cry of anguish;	聴者はことごとく皆一様に、長い長い戦（おのの）き慄える苦悶の声をあげ、
and thereafter they wept and wailed so loudly and so wildly that the blind man was frightened by the violence and grief that he had made.	それから後というもの一同は声をあげ、取り乱して哭き悲しんだので、芳一は自分の起こさした悲痛の強烈なのに驚かされたくらいであった。
For much time the sobbing and the wailing continued.	しばらくの間はむせび悲しむ声が続いた。
But gradually the sounds of lamentation died away;	しかし、おもむろに哀哭の声は消えて、
and again, in the great stillness that followed, Hoichi heard the voice of the woman whom he supposed to be the Rojo.	またそれに続いた非常な静かさの内に、芳一は老女であると考えた女の声を聞いた。
She said:--	その女はこう云った――
"Although we had been assured that you were a very skillful player upon the biwa, and without an equal in recitative, we did not know that any one could be so skillful as you have proved yourself to-night.	『私共は貴方が琵琶の名人であって、また謡う方でも肩を並べるもののない事は聞き及んでいた事では御座いますが、貴方が今晩御聴かせ下すったようなあんなお腕前をお有ちになろうとは思いも致しませんでした。
Our lord has been pleased to say that he intends to bestow upon you a fitting reward.	殿様には大層御気に召し、貴方に十分な御礼を下さる御考えである由を御伝え申すようにとの事に御座います。
But he desires that you shall perform before him once every night for the next six nights --	が、これから後六日の間毎晩一度ずつ殿様の御前（ごぜん）で演奏（わざ）をお聞きに入れるようとの御意に御座います――
after which time he will probably make his august return-journey.	その上で殿様にはたぶん御帰りの旅に上られる事と存じます。
To-morrow night, therefore, you are to come here at the same hour.	それ故明晩も同じ時刻に、ここへ御出向きなされませ。
The retainer who to-night conducted you will be sent for you...	今夜、貴方を御案内いたしたあの家来が、また、御迎えに参るで御座いましょう……
There is another matter about which I have been ordered to inform you.	それからも一つ貴方に御伝えするように申しつけられた事が御座います。
It is required that you shall speak to no one of your visits here, during the time of our lord's august sojourn at Akamagaseki.	それは殿様がこの赤間ヶ関に御滞在中、貴方がこの御殿に御上りになる事を誰れにも御話しにならぬようとの御所望に御座います。
As he is traveling incognito, [6] he commands that no mention of these things be made...	殿様には御忍びの御旅行ゆえ、かような事はいっさい口外致さぬようにとの御上意によりますので。……
You are now free to go back to your temple."	ただ今、御自由に御坊に御帰りあそばせ』
After Hoichi had duly expressed his thanks, a woman's hand conducted him to the entrance of the house, where the same retainer, who had before guided him, was waiting to take him home.	芳一は感謝の意を十分に述べると、女に手を取られてこの家の入口まで来、そこには前に自分を案内してくれた同じ家来が待っていて、家につれられて行った。
The retainer led him to the verandah at the rear of the temple, and there bade him farewell.	家来は寺の裏の縁側の処まで芳一を連れて来て、そこで別れを告げて行った。
It was almost dawn when Hoichi returned;	芳一の戻ったのはやがて夜明けであったが、
but his absence from the temple had not been observed,--	その寺をあけた事には、誰れも気が付かなかった――
as the priest, coming back at a very late hour, had supposed him asleep.	住職はよほど遅く帰って来たので、芳一は寝ているものと思ったのであった。
During the day Hoichi was able to take some rest;	昼の中芳一は少し休息する事が出来た。
and he said nothing about his strange adventure.	そしてその不思議な事件については一言もしなかった。
In the middle of the following night the samurai again came for him, and led him to the august assembly, where he gave another recitation with the same success that had attended his previous performance.	翌日の夜中に侍がまた芳一を迎えに来て、かの高貴の集りに連れて行ったが、そこで芳一はまた吟誦し、前囘の演奏が贏ち得たその同じ成功を博した。
But during this second visit his absence from the temple was accidentally discovered;	しかるにこの二度目の伺候中、芳一の寺をあけている事が偶然に見つけられた。
and after his return in the morning he was summoned to the presence of the priest,	それで朝戻ってから芳一は住職の前に呼びつけられた。
who said to him, in a tone of kindly reproach:--	住職は言葉やわらかに叱るような調子でこう言った、――
"We have been very anxious about you, friend Hoichi.	『芳一、私共はお前の身の上を大変心配していたのだ。
To go out, blind and alone, at so late an hour, is dangerous.	目が見えないのに、一人で、あんなに遅く出かけては険難だ。
Why did you go without telling us?	何故、私共にことわらずに行ったのだ。
I could have ordered a servant to accompany you.	そうすれば下男に供をさしたものに、
And where have you been?"	それからまたどこへ行っていたのかな』
Hoichi answered, evasively,--	芳一は言いれるように返事をした――
"Pardon me kind friend!	『和尚様、御免下さいまし！
I had to attend to some private business;	少々私用が御座いまして、
and I could not arrange the matter at any other hour."	他の時刻にその事を処置する事が出来ませんでしたので』
The priest was surprised, rather than pained, by Hoichi's reticence:	住職は芳一が黙っているので、心配したというよりむしろ驚いた。
he felt it to be unnatural, and suspected something wrong.	それが不自然な事であり、何かよくない事でもあるのではなかろうかと感じたのであった。
He feared that the blind lad had been bewitched or deluded by some evil spirits.	住職はこの盲人の少年があるいは悪魔につかれたか、あるいは騙されたのであろうと心配した。
He did not ask any more questions;	で、それ以上何も訊ねなかったが、
but he privately instructed the men-servants of the temple to keep watch upon Hoichi's movements, and to follow him in case that he should again leave the temple after dark.	ひそかに寺の下男に旨をふくめて、芳一の行動に気をつけており、暗くなってから、また寺を出て行くような事があったなら、その後を跟けるようにと云いつけた。
On the very next night, Hoichi was seen to leave the temple;	すぐその翌晩、芳一の寺を脱け出して行くのを見たので、
and the servants immediately lighted their lanterns, and followed after him.	下男達は直ちに提灯をともし、その後を跟けた。
But it was a rainy night, and very dark;	しかるにそれが雨の晩で非常に暗かったため、
and before the temple-folks could get to the roadway, Hoichi had disappeared.	寺男が道路へ出ない内に、芳一の姿は消え失せてしまった。
Evidently he had walked very fast,--	まさしく芳一は非常に早足で歩いたのだ――
a strange thing, considering his blindness;	その盲目な事を考えてみるとそれは不思議な事だ、
for the road was in a bad condition.	何故かと云うに道は悪るかったのであるから。
The men hurried through the streets, making inquiries at every house which Hoichi was accustomed to visit;	男達は急いで町を通って行き、芳一がいつも行きつけている家へ行き、訊ねてみたが、
but nobody could give them any news of him.	誰れも芳一の事を知っているものはなかった。
At last, as they were returning to the temple by way of the shore, they were startled by the sound of a biwa, furiously played, in the cemetery of the Amidaji.	しまいに、男達は浜辺の方の道から寺へ帰って来ると、阿彌陀寺の墓地の中に、盛んに琵琶の弾じられている音が聞えるので、一同は吃驚した。
Except for some ghostly fires -- such as usually flitted there on dark nights -- all was blackness in that direction.	二つ三つの鬼火――暗い晩に通例そこにちらちら見えるような――の外、そちらの方は真暗であった。
But the men at once hastened to the cemetery;	しかし、男達はすぐに墓地へと急いで行った、
and there, by the help of their lanterns, they discovered Hoichi,--	そして提灯の明かりで、一同はそこに芳一を見つけた――
sitting alone in the rain before the memorial tomb of Antoku Tenno, making his biwa resound, and loudly chanting the chant of the battle of Dan-no-ura.	雨の中に、安徳天皇の記念の墓の前に独り坐って、琵琶をならし、壇ノ浦の合戦の曲を高く誦して。
And behind him, and about him, and everywhere above the tombs, the fires of the dead were burning, like candles.	その背後（うしろ）と周囲（まわり）と、それから到る処たくさんの墓の上に死者の霊火が蝋燭のように燃えていた。
Never before had so great a host of Oni-bi appeared in the sight of mortal man...	いまだかつて人の目にこれほどの鬼火が見えた事はなかった……
"Hoichi San! --	『芳一さん！――
Hoichi San!"	芳一さん！』
the servants cried,--	下男達は声をかけた
"you are bewitched!...	『貴方は何かに魅（ばか）されているのだ！……
Hoichi San!"	芳一さん！』
But the blind man did not seem to hear.	しかし盲人には聞えないらしい。
Strenuously he made his biwa to rattle and ring and clang; --	力を籠めて芳一は琵琶を錚錚と鳴らしていた――
more and more wildly he chanted the chant of the battle of Dan-no-ura.	ますます烈しく壇ノ浦の合戦の曲を誦した。
They caught hold of him;	男達は芳一をつかまえ――
-- they shouted into his ear,--	耳に口をつけて声をかけた――
"Hoichi San! --	『芳一さん！――
Hoichi San! --	芳一さん！――
come home with us at once!"	すぐ私達と一緒に家にお帰んなさい！』
Reprovingly he spoke to them:--	叱るように芳一は男達に向って云った――
"To interrupt me in such a manner, before this august assembly, will not be tolerated."	『この高貴の方方の前で、そんな風に私の邪魔をするとは容赦はならんぞ』
Whereat, in spite of the weirdness of the thing, the servants could not help laughing.	事柄の無気味なに拘らず、これには下男達も笑わずにはいられなかった。
Sure that he had been bewitched, they now seized him, and pulled him up on his feet, and by main force hurried him back to the temple,--	芳一が何かに魅（ばか）されていたのは確かなので、一同は芳一を捕（つかま）え、その身体（からだ）をもち上げて起たせ、力まかせに急いで寺へつれ帰った――
where he was immediately relieved of his wet clothes, by order of the priest.	そこで住職の命令で、芳一は濡れた著物を脱ぎ、新しい著物を著せられ、食べものや、飲みものを与えられた。
Then the priest insisted upon a full explanation of his friend's astonishing behavior.	その上で住職は芳一のこの驚くべき行為をぜひ十分に説き明かす事を迫った。
Hoichi long hesitated to speak.	芳一は長い間それを語るに躊躇していた。
But at last, finding that his conduct had really alarmed and angered the good priest, he decided to abandon his reserve;	しかし、遂に自分の行為が実際、深切な住職を脅かしかつ怒らした事を知って、自分の緘黙を破ろうと決心し、
and he related everything that had happened from the time of first visit of the samurai.	最初、侍の来た時以来、あった事をいっさい物語った。
The priest said:--	すると住職は云った……
"Hoichi, my poor friend,	『可哀そうな男だ。
you are now in great danger!	芳一、お前の身は今大変に危ういぞ！
How unfortunate that you did not tell me all this before!	もっと前にお前がこの事をすっかり私に話さなかったのはいかにも不幸な事であった！
Your wonderful skill in music has indeed brought you into strange trouble.	お前の音楽の妙技がまったく不思議な難儀にお前を引き込んだのだ。
By this time you must be aware that you have not been visiting any house whatever, but have been passing your nights in the cemetery, among the tombs of the Heike; --	お前は決して人の家を訪れているのではなくて、墓地の中に平家の墓の間で、夜を過していたのだという事に、今はもう心付かなくてはいけない――
and it was before the memorial-tomb of Antoku Tenno that our people to-night found you, sitting in the rain.	今夜、下男達はお前の雨の中に坐っているのを見たが、それは安徳天皇の記念の墓の前であった。
All that you have been imagining was illusion --except the calling of the dead.	お前が想像していた事はみな幻影（まぼろし）だ――死んだ人の訪れて来た事の外は。
By once obeying them, you have put yourself in their power.	で、一度死んだ人の云う事を聴いた上は、身をその為（す）るがままに任したというものだ。
If you obey them again, after what has already occurred, they will tear you in pieces.	もしこれまであった事の上に、またも、その云う事を聴いたなら、お前はその人達に八つ裂きにされる事だろう。
But they would have destroyed you, sooner or later, in any event...	しかし、いずれにしても早晩、お前は殺される……
Now I shall not be able to remain with you to-night:	ところで、今夜私はお前と一緒にいるわけにいかぬ。
I am called away to perform another service.	私はまた一つ法会をするように呼ばれている。
But, before I go, it will be necessary to protect your body by writing holy texts upon it."	が、行く前にお前の身体を護るために、その身体に経文を書いて行かなければなるまい』
Before sundown the priest and his acolyte stripped Hoichi:	日没前住職と納所とで芳一を裸にし、
then, with their writing-brushes, they traced upon his breast and back, head and face and neck, limbs and hands and feet,-- even upon the soles of his feet, and upon all parts of his body,-- the text of the holy sutra called Hannya-Shin-Kyo. [7]	筆を以て二人して芳一の、胸、背、頭、顔、頸、手足――身体中どこと云わず、足の裏にさえも――般若心経というお経の文句を書きつけた。
When this had been done, the priest instructed Hoichi, saying:--	それが済むと、住職は芳一にこう言いつけた。――
"To-night, as soon as I go away, you must seat yourself on the verandah, and wait.	『今夜、私が出て行ったらすぐに、お前は縁側に坐って、待っていなさい。
You will be called.	すると迎えが来る。
But, whatever may happen, do not answer, and do not move.	が、どんな事があっても、返事をしたり、動いてはならぬ。
Say nothing and sit still --	口を利かず静かに坐っていなさい――
as if meditating.	禅定に入っているようにして。
If you stir, or make any noise, you will be torn asunder.	もし動いたり、少しでも声を立てたりすると、お前は切りさいなまれてしまう。
Do not get frightened;	恐（こ）わがらず、
and do not think of calling for help --	助けを呼んだりしようと思ってはいかぬ。――
because no help could save you.	助けを呼んだところで助かるわけのものではないから。
If you do exactly as I tell you, the danger will pass, and you will have nothing more to fear."	私が云う通りに間違いなくしておれば、危険は通り過ぎて、もう恐わい事はなくなる』
After dark the priest and the acolyte went away;	日が暮れてから、住職と納所とは出て行った、
and Hoichi seated himself on the verandah, according to the instructions given him.	芳一は言いつけられた通り縁側に座を占めた。
He laid his biwa on the planking beside him, and, assuming the attitude of meditation, remained quite still,--	自分の傍の板鋪の上に琵琶を置き、入禅の姿勢をとり、じっと静かにしていた――
taking care not to cough, or to breathe audibly.	注意して咳もせかず、聞えるようには息もせずに。
For hours he stayed thus.	幾時間もこうして待っていた。
Then, from the roadway, he heard the steps coming.	すると道路の方から跫音のやって来るのが聞えた。
They passed the gate, crossed the garden, approached the verandah, stopped -- directly in front of him.	跫音は門を通り過ぎ、庭を横断り、縁側に近寄って止った――すぐ芳一の正面に。
"Hoichi!"	『芳一！』
the deep voice called.	と底力のある声が呼んだ。
But the blind man held his breath, and sat motionless.	が盲人は息を凝らして、動かずに坐っていた。
"Hoichi!"	『芳一！』
grimly called the voice a second time.	と再び恐ろしい声が呼ばわった。
Then a third time --savagely:--	ついで三度――兇猛な声で――
"Hoichi!"	『芳一』
Hoichi remained as still as a stone,--	芳一は石のように静かにしていた――
and the voice grumbled:--	すると苦情を云うような声で――
"No answer! --	『返事がない！――
that won't do!...	これはいかん！……
Must see where the fellow is."...	奴、どこに居るのか見てやらなけれやア』……
There was a noise of heavy feet mounting upon the verandah.	縁側に上る重もくるしい跫音がした。
The feet approached deliberately,--	足はしずしずと近寄って――
halted beside him.	芳一の傍に止った。
Then, for long minutes,--	それからしばらくの間――
during which Hoichi felt his whole body shake to the beating of his heart,--	その間、芳一は全身が胸の鼓動するにつれて震えるのを感じた――
there was dead silence.	まったく森閑としてしまった。
At last the gruff voice muttered close to him:--	遂に自分のすぐ傍（そば）であらあらしい声がこう云い出した――
"Here is the biwa;	『ここに琵琶がある、
but of the biwa-player I see --	だが、琵琶師と云っては――
only two ears!...	ただその耳が二つあるばかりだ！……
So that explains why he did not answer:	道理で返事をしないはずだ、
he had no mouth to answer with --	返事をする口がないのだ――
there is nothing left of him but his ears...	両耳の外、琵琶師の身体は何も残っていない……
Now to my lord those ears I will take --	よし殿様へこの耳を持って行こう――
in proof that the august commands have been obeyed, so far as was possible"...	出来る限り殿様の仰せられた通りにした証拠に……』
At that instant Hoichi felt his ears gripped by fingers of iron, and torn off!	その瞬時に芳一は鉄のような指で両耳を掴まれ、引きちぎられたのを感じた！
Great as the pain was, he gave no cry.	痛さは非常であったが、それでも声はあげなかった。
The heavy footfalls receded along the verandah,-- descended into the garden,-- passed out to the roadway,-- ceased.	重もくるしい足踏みは縁側を通って退いて行き――庭に下り――道路の方へ通って行き――消えてしまった。
From either side of his head, the blind man felt a thick warm trickling;	芳一は頭の両側から濃い温いものの滴って来るのを感じた。
but he dared not lift his hands...	が、あえて両手を上げる事もしなかった……
Before sunrise the priest came back.	日の出前に住職は帰って来た。
He hastened at once to the verandah in the rear, stepped and slipped upon something clammy, and uttered a cry of horror; --	急いですぐに裏の縁側の処へ行くと、何んだかねばねばしたものを踏みつけて滑り、そして慄然（ぞっ）として声をあげた――
for he say, by the light of his lantern, that the clamminess was blood.	それは提灯の光りで、そのねばねばしたものの血であった事を見たからである。
But he perceived Hoichi sitting there, in the attitude of meditation -- with the blood still oozing from his wounds.	しかし、芳一は入禅の姿勢でそこに坐っているのを住職は認めた――傷からはなお血をだらだら流して。
"My poor Hoichi!"	『可哀そうに芳一！』
cried the startled priest,--	と驚いた住職は声を立てた――
"what is this?...	『これはどうした事か……
You have been hurt?	お前、怪我をしたのか』……
At the sound of his friend's voice, the blind man felt safe.	住職の声を聞いて盲人は安心した。
He burst out sobbing,	芳一は急に泣き出した。
and tearfully told his adventure of the night.	そして、涙ながらにその夜の事件を物語った。
"Poor, poor Hoichi!"	『可哀そうに、可哀そうに芳一！』
the priest exclaimed,--	と住職は叫んだ――
