The Cop and the Anthem	警官と賛美歌
The policeman saw a man half way down the block running to catch a car.	警官は、電車に飛び乗るために半ブロック先を走って行く1人の男を目にした。
With drawn club he joined in the pursuit.	警棒を引きぬき、追跡にかかる。
Soapy, with disgust in his heart, loafed along, twice unsuccessful.	ソーピーは、2回に及ぶ失敗にうんざりした気分で、ぶらぶら歩きはじめた。
On the opposite side of the street was a restaurant of no great pretensions.	通りの向かいに、さほど見栄えのしないレストランがあった。
It catered to large appetites and modest purses.	食欲は旺盛ながら財布の紐は固いといった連中のためにあるようなレストランである。
Its crockery and atmosphere were thick;	皿と雰囲気は重苦しく、
its soup and napery thin.	スープとテーブル掛けは薄かった。
Into this place Soapy took his accusive shoes and telltale trousers without challenge.	ソーピーは店内へと、難だらけの靴とおしゃべりなズボンを身につけたまま、咎められることなく入っていった。
At a table he sat and consumed beefsteak, flapjacks, doughnuts and pie.	テーブルについたかれは、ビーフステーキ、パンケーキ、ドーナッツにパイを平らげた。
And then to the waiter be betrayed the fact that the minutest coin and himself were strangers.	それからウェイターを呼び、自分が小銭とすら縁のない人間だという事実を打ち明けた。
"Now, get busy and call a cop,"	「さ、急いでお巡りを呼びな」
said Soapy.	とソーピーは言った。
"And don't keep a gentleman waiting."	「紳士を待たせるもんじゃないぜ」
"No cop for youse,"	「きさまにお巡りなんぞいるもんか」
said the waiter, with a voice like butter cakes and an eye like the cherry in a Manhattan cocktail.	とウェイターは、マンハッタン・カクテルに浮かぶサクランボのような目つきでバターケーキのような声をだした。
"Hey, Con!"	「おい、コン！」
Neatly upon his left ear on the callous pavement two waiters pitched Soapy.	2人のウェイターは、巧妙にも左耳がきちんと下にくるようにして、ソーピーを無情な歩道の上に放り出した。
He arose, joint by joint, as a carpenter's rule opens, and beat the dust from his clothes.	ソーピーは、大工が定規を折り広げるように関節一つ一つを伸ばしていき、最後に服の埃を払った。
Arrest seemed but a rosy dream.	逮捕はバラ色の夢にすぎないかのように思えた。
The Island seemed very far away.	アイランドは遠く彼方にあるように思えた。
A policeman who stood before a drug store two doors away laughed and walked down the street.	2軒先のドラッグストアの前に立っていた警官が笑って通りを歩いて行った。
Five blocks Soapy travelled before his courage permitted him to woo capture again.	5ブロック歩いたところで、ソーピーの心に逮捕を求める勇気がふたたびわきだしてきた。
This time the opportunity presented what he fatuously termed to himself a "cinch."	今回は、かれが愚かにも「楽勝」なことと呼びつけていた機会が訪れたのである。
A young woman of a modest and pleasing guise was standing before a show window gazing with sprightly interest at its display of shaving mugs and inkstands,	若い女性がショー・ウィンドウの前に立って、中に陳列されている髭剃り用のマグカップやインクスタンドを興味深そうに見つめながら、慎ましく、また楽しげに立っていた。
and two yards from the window a large policeman of severe demeanour leaned against a water plug.	ウィンドウから2メートルのところでは、生真面目な態度の大柄な警官が給水栓にもたれかかっていた。
It was Soapy's design to assume the role of the despicable and execrated "masher."	ソーピーの意図は、見下げはてるべき「ナンパ師」の役割を演じるところにあった。
The refined and elegant appearance of his victim and the contiguity of the conscientious cop encouraged him to believe that he would soon feel the pleasant official clutch upon his arm that would insure his winter quarters on the right little, tight little isle.	被害者の上品で優美な外見は、すぐそばの良心的な警官の心に、いますぐにでもソーピーの腕に心地よい逮捕の手をさし伸ばすであろうし、そこまでくればささやかで窮屈な冬の避難所は保証されたようなものであった。
Soapy straightened the lady missionary's ready-made tie, dragged his shrinking cuffs into the open, set his hat at a killing cant and sidled toward the young woman.	ソーピーは婦人伝道師がくれたお仕着せのネクタイをぴんと伸ばし、引っ込み思案なカフスを表に引きずり出し、帽子を傾げて若い女性にすりよった。
He made eyes at her, was taken with sudden coughs and "hems," smiled, smirked and went brazenly through the impudent and contemptible litany of the "masher."	色目を使い、だしぬけに「えへん」と咳払いしてみせ、にっこりほほえみ、なれなれしく笑いかけ、ずうずうしく恥知らずな、無作法きわまる「ナンパ師」の手管を一通り演じてみせた。
With half an eye Soapy saw that the policeman was watching him fixedly.	視界の隅で、警官がこちらに注目しているのを捕らえた。
The young woman moved away a few steps, and again bestowed her absorbed attention upon the shaving mugs.	若い女性は何歩か距離を取り、ふたたび、うっとりするような視線を髭剃り用のマグカップに注いだ。
Soapy followed, boldly stepping to her side, raised his hat and said:	ソーピーはその後を追い、あつかましくも女のそばに立ち、帽子を取って口を開いた。
"Ah there, Bedelia!	「おや、ベデリアじゃないか！
Don't you want to come and play in my yard?"	うちに遊びにくる気はないか？」
The policeman was still looking.	警官はまだ様子を見ていた。
The persecuted young woman had but to beckon a finger and Soapy would be practically en route for his insular haven.	迷惑をこうむっている若い女性が指をほんの少し動かすだけで、ソーピーは安息の島へのチケットをほぼ手にしたことになる。
Already he imagined he could feel the cozy warmth of the station-house.	もうすでに、ソーピーは拘置所の心地よい温もりを感じることができるほどだった。
The young woman faced him and, stretching out a hand, caught Soapy's coat sleeve.	若い女性はソーピーと顔を合わせ、手を伸ばして、上着の袖を捕らえた。
"Sure, Mike,"	「行くわよ、マイク」
she said joyfully,	と、彼女はうれしそうに言った。
"if you'll blow me to a pail of suds.	「ビールをおごってくれるんなら。
I'd have spoke to you sooner, but the cop was watching."	あたしはすぐにでも話したかったんだけど、お巡りが見てたもんだから」
With the young woman playing the clinging ivy to his oak Soapy walked past the policeman overcome with gloom.	樫にしっかりと絡みついた蔦みたいな格好の若い女を連れたソーピーは、打ちひしがれた気分で警官のそばを通りすぎた。
He seemed doomed to liberty.	自由の身であることを宿命づけられているように思えた。
At the next corner he shook off his companion and ran.	次の角を曲がったところで、かれは連れをふりほどいて逃げだした。
He halted in the district where by night are found the lightest streets, hearts, vows and librettos.	もっとも明るい街並と歌ともっとも軽い心と約束が、夜までの間あちこちで見うけられる地区で、足を止める。
Women in furs and men in greatcoats moved gaily in the wintry air.	毛皮の女たち、コートの男たちが、冬の空気の中を楽しげに動きまわっていた。
A sudden fear seized Soapy	ソーピーはだしぬけに恐怖を覚えた。
that some dreadful enchantment had rendered him immune to arrest.	自分はなにか恐ろしい魔法をかけられて、逮捕されない体になってしまったのではないだろうか。
The thought brought a little of panic upon it, and when he came upon another policeman lounging grandly in front of a transplendent theatre he caught at the immediate straw of "disorderly conduct."	そう考えてやや取り乱したソーピーは、派手に飾りつけられた劇場の正面をえらそうにぶらついている、さっきとは別の警官に出くわすと、「治安紊乱行為」という手っ取り早い藁にすがった。
On the sidewalk Soapy began to yell drunken gibberish at the top of his harsh voice.	舗道の上でソーピーは自分がだせるかぎりの不快な声を励まして酔いどれ騒ぎの真似事をはじめた。
He danced, howled, raved and otherwise disturbed the welkin.	踊り、咆え、喚き、とにかくひたすら、天地を轟かさんばかりの勢いで騒ぎまくった。
The policeman twirled his club, turned his back to Soapy and remarked to a citizen.	警官は警棒をくるくると回しながら、ソーピーに背を向け、一通行人に説明した。
"'Tis one of them Yale lads celebratin' the goose egg they give to the Hartford College.	「エール大学の連中ですよ、ハートフォード大に完勝したってんでお祝い騒ぎ中なんですな。
Noisy;	騒がしくはありますが、
but no harm.	害はないですから。
We've instructions to lave them be."	上からも放っておけと言われてますんで」
Disconsolate, Soapy ceased his unavailing racket.	悲しみに沈み、ソーピーは無益な馬鹿騒ぎを中止した。
Would never a policeman lay hands on him?	警官はおれを捕らえてはくれないのか？
In his fancy the Island seemed an unattainable Arcadia.	アイランドは到達不可能なアルカディアのように思えてきた。
He buttoned his thin coat against the chilling wind.	凍てつくような風に、かれは薄い上着のボタンをとめた。
In a cigar store he saw a well-dressed man lighting a cigar at a swinging light.	煙草屋の中で、身なりのいい男が揺れる灯りの下で煙草に火をつけようとしているのをソーピーは目にした。
His silk umbrella he had set by the door on entering.	男のシルクの傘が入り口のドアのそばに立てかけられていた。
Soapy stepped inside, secured the umbrella and sauntered off with it slowly.	ソーピーは中に入り、傘を手にすると、そのままゆっくりと外に出た。
The man at the cigar light followed hastily.	煙草に火をつけようとしていた男が慌てて追いかけてきた。
"My umbrella,"	「私の傘になにをする」
he said, sternly.	と男は詰るように言った。
"Oh, is it?"	「ほう、そうかい？」
sneered Soapy,	と言ってソーピーはにやにや笑った。
adding insult to petit larceny.	このけちな窃盗に侮辱まで上乗せしようというわけだ。
"Well, why don't you call a policeman?	「じゃあ、どうして警察を呼ばないのかね？
I took it.	おれはあんたの傘をとった。
Your umbrella!	あんたの傘をね！
Why don't you call a cop?	なんでお巡りを呼ばない？
There stands one on the corner."	あそこの角に立ってるぜ」
The umbrella owner slowed his steps.	傘の持ち主の足が鈍った。
Soapy did likewise,	ソーピーもまたそれに合わせた。
with a presentiment that luck would again run against him.	幸運がまた逃げて行きそうな予感を覚えながら。
The policeman looked at the two curiously.	警官は興味津々で2人を見つめていた。
"Of course,"	「もちろん」
said the umbrella man--	と傘の持ち主は言った――
"that is--	「それはその――
well, you know how these mistakes occur--	なんというか、この手のまちがいがどうしておきるものか、ご承知だとは思いますけれど――
I--	私としては――
if it's your umbrella I hope you'll excuse me--	その、もしそちらの傘なのでしたらどうかご勘弁ください――
I picked it up this morning in a restaurant--	今朝、レストランで拾ったものでして――
If you recognise it as yours, why--	それを、ご自分の傘だと分かったのでしたなら、そのう――
I hope you'll--"	どうか――」
"Of course it's mine,"	「もちろんおれのだよ」
said Soapy, viciously.	とソーピーは意地悪く言ってのけた。
The ex-umbrella man retreated.	傘の前持ち主は退散した。
The policeman hurried to assist a tall blonde in an opera cloak across the street in front of a street car that was approaching two blocks away.	警官は、2ブロック先から近づいてくる電車の正面を横切ろうとしている夜会服をまとった背の高いブロンドの女に手を貸すべく、走っていった。
Soapy walked eastward through a street damaged by improvements.	ソーピーは、道路工事中の通りを東に抜けた。
He hurled the umbrella wrathfully into an excavation.	かれは憤怒のあまり傘を工事現場の穴の中に放りこんだ。
He muttered against the men who wear helmets and carry clubs.	ヘルメットをかぶり警棒を携える連中への不満をつぶやく。
Because he wanted to fall into their clutches, they seemed to regard him as a king who could do no wrong.	こっちは向こうに捕まえてほしがっているというのに、向こうはこっちを誤りを犯すことなどありえない絶対君主とでも思っているらしい。
At length Soapy reached one of the avenues to the east	やがてソーピーは、東区に向かう大通りのひとつにたどりついた。
where the glitter and turmoil was but faint.	飾り気の少ないひっそりとしたところだ。
He set his face down this toward Madison Square,	かれはマジソン・スクエアの方角に顔を向けた。
for the homing instinct survives even when the home is a park bench.	帰巣本能というものは、公園のベンチをねぐらとしている場合であってさえ消えないものなのだ。
But on an unusually quiet corner Soapy came to a standstill.	だが、とある奇妙に閑静な街角にきたところで、ソーピーは足を止めた。
Here was an old church, quaint	そこには、趣のある古い教会があった。
and rambling and gabled.	切妻造りで、あちこちに張り出している。
Through one violet-stained window a soft light glowed,	菫色のステンドグラスから柔らかな光が溢れだしていた。
where, no doubt, the organist loitered over the keys, making sure of his mastery of the coming Sabbath anthem.	窓の中では、疑いようもなく、オルガン奏者が、鍵盤をもてあそんでは安息日の賛美歌をきっちり奏でることができるかどうかを確認しているのだ。
For there drifted out to Soapy's ears sweet music that caught and held him transfixed against the convolutions of the iron fence.	耳をくすぐる甘美な音楽がソーピーを捕らえ、ソーピーを金網のそばへと吸い寄せた。
The moon was above, lustrous and serene;	月は夜空高く、穏やかに輝いていた。
vehicles and pedestrians were few;	交通量も人通りもほとんどなかった。
sparrows twittered sleepily in the eaves--	ツバメが軒下で眠たそうにさえずっていた――
for a little while the scene might have been a country churchyard.	ごくわずかのことだったが、その光景は田舎の教会の敷地を思わせた。
And the anthem that the organist played cemented Soapy to the iron fence,	オルガン奏者が奏でる賛美歌を耳にしたソーピーは金網にしがみついた。
for he had known it well in the days	というのも、かれは以前にその賛美歌を知っていたからだ。
when his life contained such things as mothers and roses and ambitions and friends and immaculate thoughts and collars.	かつての、母とかバラとか大望とか友人とか汚れない思想とか純白といったものがあった日々に。
The conjunction of Soapy's receptive state of mind and the influences about the old church wrought a sudden and wonderful change in his soul.	感極まった精神状態と古めかしい教会の感化力が相重なって、ソーピーの魂は、突如として不思議なまでの変化を遂げた。
He viewed with swift horror the pit into which he had tumbled,	たちまち、自分の存在を形作っていた数々のものごとに恐怖を感じた。
the degraded days, unworthy desires, dead hopes, wrecked faculties and base motives that made up his existence.	自分が足を突っこんでいた陥穽、堕落した日々、取るにたりない願望、潰えた希望、だめになった才能、卑しい目的。
And also in a moment his heart responded thrillingly to this novel mood.	そしてまた、かれの心もこの新鮮な雰囲気への感動に打ち震えた。
An instantaneous and strong impulse moved him to battle with his desperate fate.	瞬間的な強い衝動が、かれを絶望的な運命との戦いに走らせた。
He would pull himself out of the mire;	かれは自分の身上を泥沼から引きずりだした。
he would make a man of himself again;	かれはふたたび自分をとりもどした。
he would conquer the evil that had taken possession of him.	かれは自分を支配していた邪悪を打ち払ったのだ。
There was time;	時間はある。
he was comparatively young yet;	かれはまだそれなりに若い。
he would resurrect his old eager ambitions and pursue them without faltering.	よみがえってきたかつての熱意に満ちた大望を、しくじることなく追いかけよう。
Those solemn but sweet organ notes had set up a revolution in him.	あの厳粛でありながら甘美なオルガンの調べがかれの決意を固めさせた。
To-morrow he would go into the roaring downtown district and find work.	明日は、喧騒に満ちたダウンタウンに赴き、仕事を見つけるのだ。
A fur importer had once offered him a place as driver.	とある毛皮貿易商が、以前に御者としての仕事を持ちかけてきたことがあった。
He would find him to-morrow and ask for the position.	明日はそこにいって、まだその勤め口が残っているか、尋ねてみよう。
He would be somebody in the world.	世間に顔向けできる生活をはじめるのだ。
He would--	そして――
Soapy felt a hand laid on his arm.	ソーピーは自分の腕にだれかが手をかけたのに気づいた。
He looked quickly around into the broad face of a policeman.	あわててふりむいたかれの目に、警官の大きな顔が映った。
"What are you doin' here?"	「ここでなにをしているのかね？」
asked the officer.	と警官は言った。
"Nothin',"	「なにも」
said Soapy.	とソーピーは言った。
"Then come along,"	「じゃあ、ちょっときてもらおうか」
said the policeman.	と警官は言った。
"Three months on the Island,"	「アイランドに3ヶ月」
said the Magistrate in the Police Court the next morning.	と、翌朝、治安判事は刑事法廷で言った。
