A Tale about a Queer Client	奇妙な依頼人
in days when it was no figure of speech to say that debtors rotted in prison,	言葉のあやでもなんでもなく、債務者は監獄でくさるのだよ。
with no hope of release, and no prospect of liberty!	釈放の希望もなく、自由の期待もなく。
The atrocity in its full extent no longer exists, but there is enough of it left to give rise to occurrences that make the heart bleed.	もう、残虐行為そのものはなくなっているようだが、心の痛む事件を引き起こすだけの残酷さは今もある。
'Twenty years ago,	20年前のことだ。
that pavement was worn with the footsteps of a mother and child, who, day by day, so surely as the morning came, presented themselves at the prison gate;	毎朝毎朝飽きることなく、舗道に足音を響かせ、監獄の門前までやってくる1組の母子がいた。
often after a night of restless misery and anxious thoughts, were they there, a full hour too soon,	眠れないほど惨めで不安な想いを抱えて一晩を過ごした日は特に、開門時間の1時間も前にきたりしていた。
and then the young mother turning meekly away, would lead the child to the old bridge, and raising him in her arms	そういうとき、若い母親は弱々しく道をひきかえし、あの昔の橋のところで子供を腕に抱えて、見せてやる。
to show him the glistening water, tinted with the light of the morning's sun, and stirring with all the bustling preparations for business and pleasure that the river presented at that early hour,	朝日を浴びてきらきらと輝く水面を、朝早くから商売や享楽の準備にせわしない街の喧騒にざわめく河を。
endeavour to interest his thoughts in the objects before him.	その目に映るものへの興味が絶えてしまうことのないようにと。
But she would quickly set him down, and hiding her face in her shawl, give vent to the tears that blinded her;	だが大抵はすぐに下に降ろしてやって、ショールで顔を隠し、前も見えないほどに涙を流すのだった。
for no expression of interest or amusement lighted up his thin and sickly face.	というのも、その子は痩せ細った顔に興味や喜びの色を見せないからだ。
His recollections were few enough,	その子にとっての想い出はごくわずか。
but they were all of one kind	しかもどれも同じ類の思い出
--all connected with the poverty and misery of his parents.	――すべて、両親の貧乏と不幸に関連したものだった。
Hour after hour had he sat on his mother's knee, and with childish sympathy watched the tears that stole down her face, and then crept quietly away into some dark corner, and sobbed himself to sleep.	何時間も母親の膝の上で過ごし、母の頬を伝う涙を無邪気な同情をこめて見つめ、物静かに薄暗い部屋の隅に身を移し、しくしくと泣きながら眠りにつく。
The hard realities of the world, with many of its worst privations-- hunger and thirst, and cold and want--had all come home to him,	この世の過酷な現実、貧困の中の貧困――飢えに渇き、寒さに欠乏――そのすべてが、物心ついた頃にはもうその子の上にのしかかっていた。
from the first dawnings of reason;	形だけの少年時代。
and though the form of childhood was there, its light heart, its merry laugh, and sparkling eyes were wanting.	子どもらしい夢もなく、陽気な笑い声もない、瞳をきらめかせることもない男の子。
'The father and mother looked on upon this, and upon each other, with thoughts of agony they dared not breathe in words.	父と母はこれを見ては痛ましい思いに駆られ、一言も口にする力もないまま顔を見交わしあうのだった。
The healthy, strong-made man, who could have borne almost any fatigue of active exertion, was wasting beneath the close confinement and unhealthy atmosphere of a crowded prison.	健康で屈強だったその男はたいがいの肉体的な疲れには耐えることができたものの、人いきれした監獄の狭苦しく不健康な環境に屈しようとしていた。
The slight and delicate woman was sinking beneath the combined effects of bodily and mental illness.	華奢で繊細なその女は、肉体的な病に精神的な病が重なり、衰弱していった。
The child's young heart was breaking.	幼い子どもの小さな心は張り裂けんばかりだった。
'Winter came,	冬がきた。
and with it weeks of cold and heavy rain.	何週間も続く寒気と鬱陶しい雨をもたらした冬が。
The poor girl had removed to a wretched apartment close to the spot of her husband's imprisonment;	哀れな若い女は、夫の拘置所に近い、みすぼらしい部屋に越した。
and though the change had been rendered necessary by their increasing poverty, she was happier now, for she was nearer him.	それは貧乏が酷くなったがゆえの変化だったのだけれども、前より夫の近くにいられるようになったのは妻として幸せなことだった。
For two months, she and her little companion watched the opening of the gate as usual.	2ヶ月の間、母子はいつもどおり門が開かれるのを毎朝見つめてきた。
One day she failed to come,	ところがある日、母子はとうとうやってこなかった。
for the first time.	初めてのことだった。
Another morning arrived, and she came alone.	その次の朝、母はひとりでやってきた。
The child was dead.	子は死んだのだ。
'They little know, who coldly talk of the poor man's bereavements, as a happy release from pain to the departed, and a merciful relief from expense to the survivor	貧乏人の肉親の死について、死者にとっては苦痛から解放される幸福であり、生者にとってはさらなる費えを抑える慈悲だ、などと冷たいことを言う者は、分かっていないのだ
--they little know, I say, what the agony of those bereavements is.	――何も分かっていないのだ、そう、肉親に先立たれるのがどんなにつらいことかを。
A silent look of affection and regard when all other eyes are turned coldly away	他のあらゆる人々から見放されても注がれつづける敬意と愛情に満ちた眼差し
--the consciousness that we possess the sympathy and affection of one being when all others have deserted us	――他のあらゆる人々から省かれてしまっても同情と愛情を注いでくれる人がたしかにいるという自覚
--is a hold, a stay, a comfort, in the deepest affliction,	――それは、どんなに深い苦しみの底でも確かな支えであり慰めなのだ。
which no wealth could purchase, or power bestow.	それはどれほどの富をもってしてもあがなえず、どれほどの権力をもってしても授けることができない。
The child had sat at his parents' feet for hours together, with his little hands patiently folded in each other, and his thin wan face raised towards them.	子どもは両親の足元に何時間も座ったまま、我慢強くその小さな手を組んで、両親に、痩せ細った青白い顔を向けつづけた。
They had seen him pine away, from day to day;	両親は日に日に子どもがやつれていくのを目の当たりにしていた。
and though his brief existence had been a joyless one, and he was now removed to that peace and rest which, child as he was, he had never known in this world,	その短い一生は喜びのないものだったが、ようやく、子どもでありながらそれまで知ることのなかった平穏と安寧の世界へ身を移したのだ。
they were his parents, and his loss sank deep into their souls.	その子の死は、人の親である以上当然だが、両親の心に深い影を落とした。
'It was plain to those who looked upon the mother's altered face, that death must soon close the scene of her adversity and trial.	母親の衰えた顔つきを見れば、死が彼女の不幸で苦難に満ちた人生に幕を下ろそうとしているのは明白だった。
Her husband's fellow-prisoners shrank from obtruding on his grief and misery, and left to himself alone, the small room he had previously occupied in common with two companions.	夫の同室者たちは相方の嘆きや苦悩に立ち入ろうとはせず、それまでは3人共同で使っていた小さな部屋を明渡してひとりきりにしてやった。
She shared it with him; and lingering on without pain, but without hope, her life ebbed slowly away.	妻はそこで過ごすようになり、傷つくことのない、けれども希望もない日々を送っているうちに、その生命力も潮が引くように失われていった。
'She had fainted one evening in her husband's arms, and he had borne her to the open window, to revive her with the air,	ある晩、夫は、気を失った妻を腕に抱き、開けさらしの窓の側で支えてやり、新鮮な空気をすわせて意識を取りもどさせてやろうとしていた。
when the light of the moon falling full upon her face,	月明かりが妻の顔を照らしだした。
showed him a change upon her features, which made him stagger beneath her weight, like a helpless infant.	その変わり果てた容貌に、夫は、まるで無力な幼児のようによろめいた。
'"Set me down, George,"	「降ろして頂戴、ジョージ」
she said faintly.	と妻は微かな声で言った。
He did so, and seating himself beside her, covered his face with his hands, and burst into tears.	夫は妻を降ろすと傍らに腰を下ろし、顔を両手で覆ってぼろぼろと涙を流しはじめた。
'"It is very hard to leave you, George," she said; 	「本当につらいことだわ、ジョージ、あなたを置いていかなきゃいけないなんて。
"but it is God's will, and you must bear it for my sake.	でも、神さまがそうお望みなんだもの、お願いだからこらえて頂戴。
Oh!	ああ神さま！
how I thank Him for having taken our boy!	あの子を先に連れだしていてくださってありがとうございます。
He is happy, and in heaven now.	あの子、今はきっと天国で幸せにしてるはずですよね。
What would he have done here, without his mother!"	本当によかった、もしあの子がこの世に残されたとしたら、母親もないのに、どうなっていたことでしょう！」
'"You shall not die, Mary, you shall not die;"	夫はのけぞるようにして立ちあがった。
said the husband, starting up.	「大丈夫だ、メアリー、君は死んだりなんかしない」
He paced hurriedly to and fro, striking his head with his clenched fists;	そう言うと、握り締めた両の拳で頭を殴りつけながらせわしなく部屋の中を往復した。
then reseating himself beside her, and supporting her in his arms, added more calmly,	やがてふたたび妻の側に腰を下ろすと、両腕で妻の体を支えながら、いくぶん落ちついた声で言い足した。
"Rouse yourself, my dear girl.	「がんばるんだ、メアリー。
Pray, pray do.	どうか、どうか。
You will revive yet."	すぐまた元気になるんだから」
'"Never again, George;	「無理よ、ジョージ、
never again,"	もう無理」
said the dying woman.	と、死に瀕した妻は言った。
"Let them lay me by my poor boy now,	「あの子と一緒のお墓に眠らせて頂戴ね。
but promise me, that if ever you leave this dreadful place, and should grow rich, you will have us removed to some quiet country churchyard,	でも約束して、とにかくこんなところを抜け出して、きっとお金持ちになって、どこか静かな片田舎の教会に私たちのお墓を移してくれるって。
a long, long way off--very far from here--where we can rest in peace.	遠く遠く――ここからずっと離れた場所――安らかに眠れそうなところに。
Dear George, promise me you will."	お願い、ジョージ、そうしてくれると約束して」
'"I do, I do,"	「約束する、約束するとも」
said the man, throwing himself passionately on his knees before her.	と夫は言い、感情を昂ぶらせて妻の傍らに膝をついた。
"Speak to me, Mary, another word;	「声を聞かせてくれ、メアリー、もう一言でもいいから。
one look	一目でもこのぼくを見つめてくれ
--but one!"	―― 一目でもいいから！」
'He ceased to speak:	夫はそこで口を閉ざした。
for the arm that clasped his neck grew stiff and heavy.	自分の首を抱きしめていた妻の腕が、強張って重くなったのだ。
A deep sigh escaped from the wasted form before him;	深いため息が目前のやつれた姿から吐き出された。
the lips moved, and a smile played upon the face;	唇が動き、顔には微笑が浮かんだ。
but the lips were pallid, and the smile faded into a rigid and ghastly stare.	だが、その唇は青ざめ、微笑からは生気が失われてゆき、やがて両眼が虚空をじっと見つめているだけになった。
He was alone in the world.	男はひとりこの世に取り残されたのだ。
'That night, in the silence and desolation of his miserable room, the wretched man knelt down by the dead body of his wife, and called on God to witness a terrible oath, that from that hour,	その夜、静寂と荒廃に包まれた惨めな部屋で、哀れなその男は妻の傍らにひざまづいて、神の名を唱え、その時から始まったおぞましい誓いを立てた。
he devoted himself to revenge her death and that of his child;	その身を妻子の復讐に捧げようと。
that thenceforth to the last moment of his life, his whole energies should be directed to this one object;	今このときより息絶えるその瞬間まで、その全精力をひとつの目的のために注ぎこむのだと。
that his revenge should be protracted and terrible;	その復讐をじわじわと苛烈に果たしてみせると。
that his hatred should be undying and inextinguishable;	その憎悪を決して忘れたりしないと。
and should hunt its object through the world.	その獲物を世界の果てまででも追い仕留めるのだと。
'The deepest despair, and passion scarcely human, had made such fierce ravages on his face and form, in that one night, that his companions in misfortune shrank affrighted from him as he passed by.	この上ない絶望と人情味の失われかけた感情が男の容姿を一晩のうちに変えてしまい、彼に出くわした監獄の胞輩たちは恐ろしさのあまり後ずさりするほどだった。
His eyes were bloodshot and heavy, his face a deadly white, and his body bent as if with age.	両目を真っ赤に腫らし、死人のような顔色で、老いさらばえたかのように背中が曲がっていた。
He had bitten his under lip nearly through in the violence of his mental suffering, and the blood which had flowed from the wound had trickled down his chin, and stained his shirt and neckerchief.	激しい精神的苦悩に噛み切ってしまった下唇からはどくどくと血が流れ、あごから滴り落ちてシャツとネッカチーフを染めていた。
No tear, or sound of complaint escaped him;	涙も見られず、呪詛も聞かれなかった。
but the unsettled look, and disordered haste with which he paced up and down the yard, denoted the fever which was burning within.	ただ、どうにも不安定な様子や、庭をいったりきたりする際の不規則な動きを見れば、その胸を焦がす激しい想いのほどが知れた。
'It was necessary that his wife's body should be removed from the prison, without delay.	妻の遺体はすぐにでも監獄の外に出す必要があった。
He received the communication with perfect calmness, and acquiesced in its propriety.	男はそう伝え聞かされたときも、まったく平然としてその処置を受け入れた。
Nearly all the inmates of the prison had assembled to witness its removal;	ほとんどすべての囚人が遺体が運び出されるのを見送るために集まった。
they fell back on either side when the widower appeared;	夫が現れると、人々は脇によけて通してやった。
he walked hurriedly forward, and stationed himself, alone, in a little railed area close to the lodge gate,	男はずかずかと前に出て、宿舎の門の近くにあった垣根に囲われた小さなスペースに陣取った。
from whence the crowd, with an instinctive feeling of delicacy, had retired.	群集は本能的ないたわりからその場所をあけてやっていたのだ。
The rude coffin was borne slowly forward on men's shoulders.	粗末な棺を肩に担いだ何人かの男たちがゆっくりと進み出た。
A dead silence pervaded the throng, broken only by the audible lamentations of the women, and the shuffling steps of the bearers on the stone pavement.	群集はひっそりと静まり返り、ただ女たちの啜り泣きと、砂利道を歩く運搬人の足音だけが響いている。
They reached the spot where the bereaved husband stood: and stopped.	いまや独り者になった夫の前で、棺は止まった。
He laid his hand upon the coffin, and mechanically adjusting the pall with which it was covered, motioned them onward.	夫は棺に顔をこすりつけ、機械的に棺を覆う布をととのえ、行ってくれ、という身振りをした。
The turnkeys in the prison lobby took off their hats as it passed through,	監獄の廊下にいた看守たちは、棺がそばを通ると、帽子を取って見送った。
and in another moment the heavy gate closed behind it.	そして次の瞬間、棺の背後で重い門は閉ざされた。
He looked vacantly upon the crowd, and fell heavily to the ground.	男は虚ろな目つきで群集を見渡すと、ばったりと地面に倒れてしまった。
'Although for many weeks after this, he was watched, night and day, in the wildest ravings of fever,	それから数週間、男は高熱を出し激しくうなされて、昼も夜も看病してもらっていた。
neither the consciousness of his loss, nor the recollection of the vow he had made, ever left him for a moment.	その間も、自分が失ったもの、自分が立てた誓いのことは片時も忘れなかった。
Scenes changed before his eyes, place succeeded place, and event followed event, in all the hurry of delirium;	錯乱した心の中に、次から次へといろいろな景色が浮かび上がり、次から次へといろいろな出来事が起こった。
but they were all connected in some way with the great object of his mind.	だがそれらはみな、あるひとつの大きな目的に多少なりとも繋がりをもつものだった。
He was sailing over a boundless expanse of sea,	どこまでも続く海の上を男を乗せた船がゆく。
with a blood-red sky above,	頭上には血のように赤い空。
and the angry waters, lashed into fury beneath, boiling and eddying up, on every side.	下にはいきり立って荒れ狂う海。泡立ち渦巻いて両舷を洗う。
There was another vessel before them,	目の前から違う船が近づいてきていた。
toiling and labouring in the howling storm;	なんとか頑張ってこの激しい嵐を乗り切ろうとしている。
her canvas fluttering in ribbons from the mast, and her deck thronged with figures who were lashed to the sides, over which huge waves every instant burst, sweeping away some devoted creatures into the foaming sea.	はためく帆は帯状に裂けており、甲板は休むまもなく大波で洗われ、人々を両の船端に押し流し、運に見放された一部の者たちを海原に投げ込んでいく。
Onward they bore, amidst the roaring mass of water, with a speed and force which nothing could resist;	荒れ狂う大海の上、男の船はなにものも抵抗できぬほどの力と速度を得て突き進んだ。
and striking the stem of the foremost vessel, crushed her beneath their keel.	やがて前にあった船の船首に激突し、相手を竜骨の下に粉砕してしまった。
From the huge whirlpool which the sinking wreck occasioned, arose a shriek so loud and shrill	沈みゆく船が生み出した巨大な渦巻きから、大きくて鋭い悲鳴
--the death-cry of a hundred drowning creatures, blended into one fierce yell	――溺れゆく何十人もの人々の悲鳴が混ぜ合わさった死の叫び
--that it rung far above the war-cry of the elements,	――が響き渡り、精霊たちの勝鬨を打ち消した。
and echoed,	こだまがかえってくる。
and re-echoed till it seemed to pierce air, sky, and ocean.	そのこだまがさらに、大気を、空を、海を貫くかと思えるほどにこだました。
But what was that	だが、あれは
--that old gray head that rose above the water's surface, and with looks of agony, and screams for aid, buffeted with the waves!	――あの、海面に浮かぶ白髪頭、苦しそうに顔をゆがめ、助けを求める悲鳴をあげ、波にうたれているあれは！
One look, and he had sprung from the vessel's side, and with vigorous strokes was swimming towards it.	それを目にしたとたん、男は舷から海中に飛びこんで、それにむかってがむしゃらに泳いだ。
He reached it;	それに達した。
he was close upon it.	それは目の前にあった。
They were HIS features.	あの顔、あいつだ。
The old man saw him coming, and vainly strove to elude his grasp.	老人は男が掴みかかってくるのを見て、それをかわそうというむなしい努力を試みた。
But he clasped him tight, and dragged him beneath the water.	男は老人の体をがっしりと掴み、水の中に引きずりこんだ。
Down, down with him, fifty fathoms down;	老人の体をとらえたまま深く深く潜る、水深50のところまで。
his struggles grew fainter and fainter, until they wholly ceased.	老人の抵抗はどんどん弱まっていき、やがて、完全にやんだ。
He was dead;	やつは死んだ。
he had killed him,	殺してやった。
and had kept his oath.	誓いを守ったのだ。
'He was traversing the scorching sands of a mighty desert, barefoot and alone.	男は広大で焼けつくような砂漠を靴もなく連れもなく旅していた。
The sand choked and blinded him;	砂が喉と目を苦しめた。
its fine thin grains entered the very pores of his skin, and irritated him almost to madness.	全身の毛穴に飛びこんでくる細かい砂粒への苛立ちに気が狂いそうだ。
Gigantic masses of the same material, carried forward by the wind, and shone through by the burning sun, stalked in the distance like pillars of living fire.	遠方では夥しい量の砂が、風に舞い、燃えさかる太陽に照らされ、火柱のようになってゆっくりと動いてゆく。
The bones of men, who had perished in the dreary waste, lay scattered at his feet;	この荒涼とした土地で息絶えた人々の骨が足元に散らばっていた。
a fearful light fell on everything around;	周囲の光景はどれも恐怖に満ちていた。
so far as the eye could reach, nothing but objects of dread and horror presented themselves.	目に映るものみな、恐怖と絶望を感じさせるものばかり。
Vainly striving to utter a cry of terror, with his tongue cleaving to his mouth,	悲鳴をあげようとしたものの、舌がうまく動いてくれない。
he rushed madly forward.	それでもなんとか声をあげようとしながら、狂ったように突き進んだ。
Armed with supernatural strength, he waded through the sand, until, exhausted with fatigue and thirst, he fell senseless on the earth.	人知を超えた力を振り絞って砂漠を進んでいったが、やがて疲れと渇きのために意識を失い、倒れた。
What fragrant coolness revived him; what gushing sound was that?	何だろう、意識を呼び覚ましてくれたあのひんやりとした香りは、あのざばざばと音をたてているものは？
It was indeed a well;	それは本当に泉だった。
and the clear fresh stream was running at his feet.	澄んだ新鮮な水が足元を流れている。
He drank deeply of it, and throwing his aching limbs upon the bank, sank into a delicious trance.	男は心ゆくまでその水を飲み、痛む足を水に浸し、その心地よさに我を忘れていった。
The sound of approaching footsteps roused him.	そこに何者かの足音が近づいてきて、男は我にかえった。
An old gray-headed man tottered forward to slake his burning thirst.	激しい渇きを癒そうとしてよろよろと近づいてくる白髪頭の老人。
It was HE again!	またあいつか！
Fe wound his arms round the old man's body, and held him back.	男は老人を羽交い締めにした。
He struggled, and shrieked for water	老人はもがき、水をくれ、と叫んだ
--for but one drop of water to save his life!	――一滴でもいいから生命を救う水を！　と。
But he held the old man firmly, and watched his agonies with greedy eyes;	だが男は老人を捕らえたまま放さず、その苦しみもがくさまをじっと見ていた。
and when his lifeless head fell forward on his bosom, he rolled the corpse from him with his feet.	やがて力尽きた老人の首ががっくりと前に落ちると、その屍を足で払いのけた。
'When the fever left him, and consciousness returned, he awoke to find himself rich and free,	熱がひき、意識がもどると、男は自分が金も自由もある身になっているのを知った。
to hear that the parent who would have let him die in jail--WOULD! who HAD let those who were far dearer to him than his own existence die of want, and sickness of heart that medicine cannot cure--had been found dead in his bed of down.	聞くと、親がベッドの上で死んでいたということだった。
He had had all the heart to leave his son a beggar, but proud even of his health and strength, had put off the act till it was too late,	かれにしてみれば息子が乞食になろうと知ったことではなかったのだが、自分の健康を過信するあまり手続きを先延ばした結果、手遅れになってしまったのだ。
and now might gnash his teeth in the other world, at the thought of the wealth his remissness had left him.	手続きを怠ったせいで息子に遺してしまった財産のことを思って、草葉の陰で悔しがっていたかもしれない。
He awoke to this, and he awoke to more.	男はこうしたことを知り、そして、もっと大切なことを思いだした。
To recollect the purpose for which he lived, and to remember that his enemy was his wife's own father	生きているその目的を、そして、報いるべき仇は妻の父親だということを
--the man who had cast him into prison, and who, when his daughter and her child sued at his feet for mercy, had spurned them from his door.	――義理の息子を監獄に引き渡し、娘と孫が足元にひざまづいて慈悲を乞うたときもにべなく負い帰したあの義父だということを。
Oh, how he cursed the weakness that prevented him from being up, and active, in his scheme of vengeance!	ああ、男は復讐計画を実行に移せない自分の衰弱した体をどれほど呪ったことだろう！
'He caused himself to be carried from the scene of his loss and misery, and conveyed to a quiet residence on the sea-coast;	男は苦い想い出がこびりついた土地を離れ、静かな海岸地帯に居を移すことにした。
not in the hope of recovering his peace of mind or happiness,	が、それは心の平穏や幸福を取りもどせるかもという希望を抱いてのことではない。
for both were fled for ever;	両方とももはや完璧に失われてしまっていたのだから。
but to restore his prostrate energies, and meditate on his darling object.	そうではなく、英気を養い、最愛の者を想いつづけんがため。
And here, some evil spirit cast in his way the opportunity for his first, most horrible revenge.	そしてその地に、いかなる悪魔の悪戯か、第一の、おぞましい復讐を果たす機会が与えられたのだ。
'It was summer-time;	夏のことだった。
and wrapped in his gloomy thoughts, he would issue from his solitary lodgings early in the evening, and wandering along a narrow path beneath the cliffs, to a wild and lonely spot that had struck his fancy in his ramblings, seat himself on some fallen fragment of the rock, and burying his face in his hands, remain there for hours	暗澹たる想いを抱えた男は、ふだんから、夕闇押し迫る時間に人里離れた住まいからでると、崖下の細道を通り、散策中に見つけて気に入っていた寂しい場所に行き、手頃な落石の残骸に腰を下ろして両手に顔をうずめ、何時間も
--sometimes until night had completely closed in, and the long shadows of the frowning cliffs above his head cast a thick, black darkness on every object near him.	――ときには真夜中頃、頭上に立ちはだかる崖の影が周囲のものすべてに漆黒の闇で覆う頃まで
'He was seated here, one calm evening, in his old position,	その晩もいつもの場所に腰を下ろしていた。
now and then raising his head to watch the flight of a sea-gull, or carry his eye along the glorious crimson path, which, commencing in the middle of the ocean, seemed to lead to its very verge where the sun was setting, when the profound stillness of the spot was broken by a loud cry for help;	時折顔をあげては空を飛ぶ海鳥を眺めたり、海のさなかから沈みゆく太陽に向かって続いているように見える、輝かしい深紅の道を目でたどったりしていると、助けを求める大きな声があたりの静寂をうちやぶった。
he listened, doubtful of his having heard aright, when the cry was repeated with even greater vehemence than before,	男が空耳ではなかったかと疑っているうちに、さきほどのよりも大きな、さきほどのよりも悲痛な叫びがふたたび聞こえてきた。
and, starting to his feet, he hastened in the direction whence it proceeded.	男は反射的に立ちあがると、悲鳴が聞こえてきた方に走り出した。
'The tale told itself at once:	状況を見れば事情はすぐにのみこめた。
some scattered garments lay on the beach;	浜辺に散乱している衣服。
a human head was just visible above the waves at a little distance from the shore;	岸から少し離れたところで波間に浮き沈みしている人の頭。
and an old man, wringing his hands in agony, was running to and fro, shrieking for assistance.	1人の老人が苦悩のあまり手を組み、あちこち走りまわりながら金切り声で助けを求めている。
The invalid, whose strength was now sufficiently restored, threw off his coat, and rushed towards the sea,	病みあがりの男は、もう体力も十分に回復していたので、コートを脱ぎ捨て、海に向かって走りだした。
with the intention of plunging in, and dragging the drowning man ashore.	飛び込んで行って、溺れている男を岸まで引っ張ってくるつもりだった。
'"Hasten here, Sir, in God's name;	「急いでください、
help, help, sir, for the love of Heaven.	どうか力を貸してください。
He is my son, Sir, my only son!"	あれは私の息子なんです、たったひとりの息子なんです！」
said the old man frantically, as he advanced to meet him.	男が老人のそばまできたときもまだ、老人は取り乱していた。
"My only son, Sir, and he is dying before his father's eyes!"	「たったひとりの息子なんです、それが父親の目の前で命を落とそうとしているんです」
'At the first word the old man uttered, the stranger checked himself in his career, and, folding his arms, stood perfectly motionless.	男は、老人の声を聞いたとたん立ちどまり、腕を組んで仁王立ちになった。
'"Great God!" exclaimed the old man, recoiling,	老人はあっと叫んで後ずさりした。
"Heyling!"	「ヘイリング！」
'The stranger smiled, and was silent.	男は一言も発することなく、ただにやりと笑った。
'"Heyling!"	「ヘイリング！」
said the old man wildly;	老人は狂ったようにわめいた。
"my boy, Heyling, my dear boy, look, look!"	「あれを見てくれ、ヘイリング、ほら！」
Gasping for breath, the miserable father pointed to the spot	と、哀れな父親は息も絶え絶えになりながら指差した。
where the young man was struggling for life.	そこにはおぼれかけている若い男がいた。
'"Hark!"	「聞こえないか？」
said the old man.	と老人は言った。
"He cries once more.	「また叫んでいる。
He is alive yet.	まだ生きてるんだ。
Heyling, save him, save him!"	ヘイリング、あれを助けてやってくれ、どうか助けてやってくれ！」
'The stranger smiled again, and remained immovable as a statue.	男はふたたびにやりと笑い、なお動こうとしない。
'"I have wronged you,"	「あんたには本当に悪いことをした」
shrieked the old man, falling on his knees, and clasping his hands together.	老人はひざまずき、祈るように両手を組み合わせた。
"Be revenged;	「恨まれて当然だ、
take my all, my life;	わしのすべてを、わしの命を奪いさってくれ。
cast me into the water at your feet, and, if human nature can repress a struggle, I will die, without stirring hand or foot.	わしを水の中に投げ込んでくれ、人間として理性の続くかぎり、指一本動かさずに溺れ死んでみせる。
Do it, Heyling, do it,	そうしてくれ、ヘイリング、そうするんだ。
but save my boy;	だが、息子は助けてやってくれ、
he is so young, Heyling, so young to die!"	ヘイリング、あれはまだ死ぬには若すぎる！」
'"Listen,"	「聞け」
said the stranger, grasping the old man fiercely by the wrist;	と言いながら男は老人の手首をつかんだ。
