Homesteading the Noosphere	ノウアスフィアの開墾
I exist to create useful, beautiful programs and information resources, and then give them away.''	ぼくが存在しているのは、便利で美しいソフトや情報リソースをつくってそれをあげてしまうためなんだ！」
A person of moderate zeal might say	そこそこの熱狂性をもった人間なら
``Open source is a good thing, which I am willing to spend significant time helping happen''.	「オープンソースはいいことだし、だからその実現のために相当量の時間を喜んで割きますよ」
A person of little zeal might say	そんなに熱狂的でない人間なら、こういうかもしれない。
``Yes, open source is okay sometimes.	「うん、オープンソースはいいときもあるわよね。
I play with it and respect people who build it''.	たまにいじってみたりもするし、それをつくった人たちには敬意を払ってるわ」
Another degree of variation is in hostility to commercial software and/or the companies perceived to dominate the commercial software market.	ほかに差があるところは、商用ソフトへの敵意と、商用ソフト市場を支配しているとみられる企業への敵意だ。
A very anticommercial person might say	すごく反商業主義的な人間はこういうだろう。
``Commercial software is theft and hoarding.	「商用ソフトは窃盗行為で秘匿行為だ。
I write free software to end this evil.''	ぼくがフリーソフトを書くのはこの悪行を止めさせるためだ」。
A moderately anticommercial person might say	そこそこ反商業主義的な人間はこういう。
``Commercial software in general is OK	「商業ソフトそのものはおおむねOKよ。
because programmers deserve to get paid,	だってプログラマには対価が支払われるべきだもん。
but companies that coast on shoddy products and throw their weight around are evil.''	でも、いい加減な製品にあぐらをかいて、数をたのみにごりおししてまわる企業はろくでもないわね」
An un-anticommercial person might say	そして反商業主義でない人間ならこういう。
``Commercial software is okay,	「商用ソフトだってよいではないの。
I just use and/or write open-source software because I like it better''.	ぼくがオープンソースソフトを書く／使うのは、そっちが好きだからってだけよ」
All nine of the attitudes implied by the cross-product of the categories mentioned earlier are represented in the open-source culture.	以上のカテゴリーをかけあわせて出てくる9つの態度すべてがオープンソース文化の中には登場している。
It is worthwhile to point out the distinctions because they imply different agendas, and different adaptive and cooperative behaviors.	こういうちがいを指摘しておくことが大事なのは、それが異なった目的を意味するからで、したがって適応行動や協調行動もちがってくるからだ。
Historically, the most visible and best-organized part of the hacker culture has been both very zealous and very anticommercial.	歴史的にいうと、もっとも目に見えて、いちばんよく組織化されていたハッカー文化の部分は、きわめて熱狂的で、非常に反商業的だった。
The Free Software Foundation founded by Richard M. Stallman (RMS) supported a great deal of open-source development from the early 1980s forward,	リチャード・M・ストールマン（Richard M. Stallman, RMS）の創設したフリーソフトウェア財団（Free Software Foundation, FSF）は 1980 年代初期以来、大量のオープンソース開発を支援してきた。
including tools like Emacs and GCC which are still basic to the Internet open-source world, and seem likely to remain so for the forseeable future.	そのなかには、Emacs や GCC のような、インターネット・オープンソース界にとって、いまでも、そしてこの先当分の間も、基本となるツールであり続けるようなものも含まれている。
For many years the FSF was the single most important focus of open-source hacking, producing a huge number of tools still critical to the culture.	何年ものあいだ、FSF はオープンソース・ハッキングに唯一最大の焦点だったし、いまだにこの文化にとってきわめて重要なツールを生み出し続けてきている。
The FSF was also long the only sponsor of open source with an institutional identity visible to outside observers of the hacker culture.	FSF はまた、ハッカー文化を外から見ている者にとっては、ながいことオープンソースを支援している組織的な身分をもった唯一のスポンサーだった。
They effectively defined the term `free software', deliberately giving it a confrontational weight	かれらこそ実質的に「フリーソフト」という用語を定義し、このことばに意図的に挑戦的な含みを持たせるようになった。
(which the newer label `open source' just as deliberately avoids).	（新しいラベルの「オープンソース」は同じくらい意図的にそういう含みをさけるようにしている。）
Thus, perceptions of the hacker culture from both within and without it tended to identify the culture with the FSF's zealous attitude and perceived anticommercial aims.	だからハッカー文化に対する認識は、内からも外からも、FSF の熱狂的な態度と反商業主義的な目標と同一視されがちだった
RMS himself denies he is anticommercial,	（RMS 自身は、自分が反商業主義であることを否定している。
but his program has been so read by most people, including many of his most vocal partisans.	でもかれの活動は、そのもっとも活発な支持者たちを含め、ほとんどの人からそのように受け取られている）。
The FSF's vigorous and explicit drive to ``Stamp Out Software Hoarding!'' became the closest thing to a hacker ideology, and RMS the closest thing to a leader of the hacker culture.	FSF の「ソフトウェアの隠匿をつぶせ！」という精力的ではっきりした運動は、ハッカー・イデオロギーにいちばん近いものとなったし、RMSはハッカー文化のリーダーにいちばん近い存在となった。
The FSF's license terms, the ``General Public License'' (GPL), expresses the FSF's attitudes.	FSF のライセンス条項「General Public License (GPL)」は FSF の熱狂的で反商業主義的な態度を表現している。
It is very widely used in the open-source world.	これはオープンソース界では広く使われているライセンス方式だ。
North Carolina's Metalab (formerly Sunsite) is the largest and most popular software archive in the Linux world.	ノースカロライナ大の Sunsiteは、Linux 界で最大かついちばん人気のあるソフトアーカイブだけれど、
In July 1997 about half the Sunsite software packages with explicit license terms used GPL.	1997年7月にはSunsiteのソフトパッケージではっきりしたライセンス条項を持つもののうち、半数がGPLを使っている。
But the FSF was never the only game in town.	でも、FSF はいつの時点でも決してこの世界唯一の団体なんかじゃなかった。
There was always a quieter, less confrontational and more market-friendly strain in the hacker culture.	ハッカー文化にはつねに、もっと静かで挑戦性の低い、もっと市場を敵視しない流れがあった。
The pragmatists were loyal not so much to an ideology as to a group of engineering traditions founded on early open-source efforts which predated the FSF.	このプラグマティストたちは、イデオロギーよりはむしろ、 FSF に先立つ初期のオープンソース的な動きに基づいた工学的な伝統に対して忠誠を感じていた。
These traditions included, most importantly, the intertwined technical cultures of Unix and the pre-commercial Internet.	この伝統でいちばん重要なものとしては、Unix と商業主義以前のインターネットの、相互にからみあった技術文化が含まれる。
The typical pragmatist attitude is only moderately anticommercial, and its major grievance against the corporate world is not `hoarding' per se.	典型的なプラグマティスト的態度は、ごく穏健な反商業主義で、それが企業世界に対して持っている不満の大部分は「秘匿」そのものじゃあない。
Rather it is that world's perverse refusal to adopt superior approaches incorporating Unix and open standards and open-source software.	むしろそれは、企業世界がUnixやオープン規格やオープンソースなんかが採用している優れたアプローチをなぜか拒むという点だ。
If the pragmatist hates anything, it is less likely to be `hoarders' in general than the current King Log of the software establishment;	プラグマティストたちが嫌うのは何かといえば、それは「隠匿者たち」一般よりはむしろ、ソフトウェア主流派の目下の帝王だろう。
formerly IBM, now Microsoft.	これはかつては IBM だったし、いまはマイクロソフト だ。
To pragmatists the GPL is important as a tool, rather than as an end in itself.	プラグマティストたちにとって、GPL はそれ自体が目的なんじゃなくて、ツールとして重要だ。
Its main value is not as a weapon against `hoarding',	その主な価値は「秘匿」に対する武器としてのものじゃない。
but as a tool for encouraging software sharing and the growth of bazaar-modebazaar-mode development communities.	むしろソフトの共有とバザール様式の開発コミュニティ成長を奨励するためのツールとして大事になる。
The pragmatist values having good tools and toys more than he dislikes commercialism, and may use high-quality commercial software without ideological discomfort.	プラグマティストは、商業主義を嫌うよりはいいツールやおもちゃを手に入れるほうを重視するし、商業製品を使う場合でも、それが高品質なら別にイデオロギー上の不快感は感じない。
At the same time, his open-source experience has taught him standards of technical quality that very little closed software can meet.	同時に、オープンソース界での経験でおぼえた技術的な品質は、閉鎖的なソフトではほとんど実現困難なほど高い。
For many years, the pragmatist point of view expressed itself within the hacker culture mainly as a stubborn current of refusal to completely buy into the GPL in particular or the FSF's agenda in general.	何年にもわたって、ハッカー文化の中のプラグマティスト的な視点は、特に GPL を完全に受け入れたり、あるいはFSFの目標一般を受け入れることを頑固に拒否する流れとして己を主張しつづけていた。
Through the 1980s and early 1990s, this attitude tended to be associated with fans of Berkeley Unix, users of the BSD license, and the early efforts to build open-source Unixes from the BSD source base.	1980 年代と1990 年代初期には、この態度はバークレー Unix のファンや BSD ライセンスの使用者、そして BSD ソースをもとにオープンソースの各種 Unix をつくろうという初期の努力と結びつけられていた。
These efforts, however, failed to build bazaar communities of significant size, and became seriously fragmented and ineffective.	でもこうした試みは、しかるべき規模のバザール・コミュニティ形成に失敗し、きわめて断片化されて力の弱いものとなってしまった。
Not until the Linux explosion of early 1993?1994 did pragmatism find a real power base.	プラグマティストたちが本物の勢力基盤を見つけるには、1993 年初期から 1994 年にかけての Linux の爆発を待たなくてはならなかった。
Although Linus Torvalds never made a point of opposing RMS, he set an example by looking benignly on the growth of a commercial Linux industry, by publicly endorsing the use of high-quality commercial software for specific tasks, and by gently deriding the more purist and fanatical elements in the culture.	Linus Torvalds は決してあえて RMS に反対したりはしなかったけれど、でも商業 Linux 産業が成長するのをだまって見過ごし、特定の仕事には高品質な商業ソフトの利用を推奨し、そしてハッカー文化のもっと純粋主義で狂信的な部分を軽く嘲笑することで、先例を確立したわけだ。
A side effect of the rapid growth of Linux was the induction of a large number of new hackers	Linux 急成長の副作用として、新しいハッカーたちが多数登場したことが挙げられる。
for which Linux was their primary loyalty and the FSF's agenda primarily of historical interest.	かれらにとって、主な忠誠は Linux に対してのものであって、FSF の目標はもっぱら歴史的興味でしかなかった。
Though the newer wave of Linux hackers might describe the system as ``the choice of a GNU generation'', most tended to emulate Torvalds more than Stallman.	Linux ハッカーのもっと新しい波は、Linux システムを「GNU 世代の選択」と表現はするけれど、でもその多くはストールマンよりはトーヴァルズをまねがちだ。
Increasingly it was the anticommercial purists who found themselves in a minority.	しだいに、むしろ反商業的な純潔主義者たちのほうが少数派においやられていった。
How much things had changed would not become apparent until the Netscape announcement in February 1998 that it would distribute Navigator 5.0 in source.	事態がどれだけ変わったかがはっきりしたのは、1998年2月に Netscape 社が Navigator 5.0 をソースコードで配布すると発表したときだった。
This excited more interest in `free software' within the corporate world.	これは企業世界での「フリーソフト」に対する興味をかきたてることになった。
The subsequent call to the hacker culture to exploit this unprecedented opportunity and to re-label its product from `free software' to `open source' was met with a level of instant approval that surprised everybody involved.	これに続いてハッカー文化に対し、このかつてない機会を利用しつくすとともに、その成果を「フリーソフト」から「オープンソース」と命名しなおそうという呼びかけが行われたけれど、これに対しては即座にものすごい支持が得られたので、関係者はだれしもびっくりしたほどだ。
In a reinforcing development, the pragmatist part of the culture was itself becoming polycentric by the mid-1990s.	これをさらに補強する展開として、ハッカー文化のプラグマティスト部分そのものも、1990年代半ばにはだんだん多心型になっていった。
Other semi-independent communities with their own self-consciousness and charismatic leaders began to bud from the Unix/Internet root stock.	Unix/インターネットの根っこの株からは、ほかにも半独立のコミュニティが生まれるようになり、それぞれが独自の自意識とカリスマ的なリーダーを持っている。
Of these, the most important after Linux was the Perl culture under Larry Wall.	なかでも Linux 以降でいちばん重要なのは、Larry Wall 率いる Perl 文化だ。
Smaller, but still significant, were the traditions building up around John Osterhout's Tcl and Guido van Rossum's Python languages.	もっと小さいながらも重要なものとしては、 John Osterhoutの Tcl や Guido Van Rossum の Python 言語を取り巻く伝統が挙げられる。
All three of these communities expressed their ideological independence by devising their own, non-GPL licensing schemes.	この三つとも独自の GPL でないライセンス方式を編み出すことで、イデオロギー的な独立性を主張している。
Promiscuous Theory, Puritan Practice	3　放縦な理論と純潔な実践
Through all these changes, nevertheless, there remained a broad consensus theory of what `free software' or `open source' is.	とはいえこうした変化すべてを通じて、「フリーソフト」や「オープンソース」がなんであるかについては、おおまかな合意を得た理論が維持され続けていた。
The clearest expression of this common theory can be found in the various open-source licenses,	この共通理論のいちばんはっきりした表現は、いろんなオープンソース・ライセンスにみることができる。
all of which have crucial common elements.	そのすべてにはきわめて重要な共通要素があるんだ。
In 1997 these common elements were distilled into the Debian Free Software Guidelines, which became the Open Source Definition.	1997年に、こういう共通要素が蒸留されて Debian フリーソフトウェア・ガイドラインとなり、これがOpen Source Definitionになった。
Under the guidelines defined by the OSD, an open-source license must protect an unconditional right of any party to modify (and redistribute modified versions of) open-source software.	OSD の定義したガイドラインのもとでは、オープンソースのライセンスはオープンソース・ソフトを変更（そしてその変更版を再配布）する権利をだれにでも無条件に認めなくてはならない。
Thus, the implicit theory of the OSD (and OSD-conformant licenses such as the GPL, the BSD license, and Perl's Artistic License) is that anyone can hack anything.	だから OSD（そして GPL、BSD ライセンス、Perl の Artisitic License など OSD 対応のライセンス群）の暗黙の理論というのは、だれもがなんでもハックできるというものだ。
Nothing prevents half a dozen different people from taking any given open-source product (such as, say the Free Software Foundations's gcc C compiler), duplicating the sources, running off with them in different evolutionary directions, but all claiming to be the product.	どんなオープンソース製品（たとえば FSFの gcc C コンパイラとか）でも、6人くらいがソースを複製してそれを勝手にちがった発展方向に向けて変えてしまい、しかもみんなが「これぞ本家本元」と主張する、といったことは十分可能だし、それを止めるものはなにもない。
This kind of divergence is called a fork.	でも実際には、こんな「分裂」はほとんど絶対に起きないといっていい。
The most important characteristic of a fork is that it spawns competing projects that cannot later exchange code, splitting the potential developer community.	大プロジェクトの分裂はすごくまれだし、いつも名前が変わるうえ、世間的にもなぜそれが正当かについて、大量の説明が行われる。
In fact (and in contradiction to the anyone-can-hack-anything consensus theory) the open-source culture has an elaborate but largely unadmitted set of ownership customs.	実際問題として（そして「だれでもなんでもハックできる」という合意があるという理屈とは正反対に）、オープンソース文化は入念ながらほとんど認識されていない所有権の慣習を持っている。
These customs regulate who can modify software, the circumstances under which it can be modified, and (especially) who has the right to redistribute modified versions back to the community.	この慣習によって、だれがソフトを変更できるか、どういう状況でそれが変更できるか、そして（特に）だれが変更バージョンを再配布してコミュニティに戻せるか、が規定されているんだ。
The taboos of a culture throw its norms into sharp relief.	ある文化の禁忌（タブー）は、そこでの規範をシャープに浮かび上がらせる。
Therefore, it will be useful later on if we summarize some important ones here:	だから、だいじなタブーをここでまとめておくと、あとあと役にたつだろう。
There is strong social pressure against forking projects.	プロジェクトの分岐に対してはすごく強い社会的な圧力がある。
It does not happen except under plea of dire necessity, with much public self-justification, and requires a renaming.	どうしてもこれが必要なんだという請願のもとで、世間に対してもその行為を正当化する訴えがたくさん行われ、そしてプロジェクトの名前も変えない限り、それは起こらない。
Distributing changes to a project without the cooperation of the moderators is frowned upon,	プロジェクトへの変更を、モデレータたちの協力なしに行うといい顔をされない。
except in special cases like essentially trivial porting fixes.	ただし、基本的に些末な移植上のフィックスなどはのぞく。
Removing a person's name from a project history, credits, or maintainer list is absolutely not done without the person's explicit consent.	ある人の名前をプロジェクトの歴史やクレジットや管理者リストからのぞくのは、当人のはっきりした合意なしには絶対に行われない。
In the remainder of this essay, we shall examine these taboos and ownership customs in detail.	この論文ではこれから、こうしたタブーと所有についての慣習を検討する。
We shall inquire not only into how they function but what they reveal about the underlying social dynamics and incentive structures of the open-source community.	それらがどう機能するかというだけでなく、それが明らかにしているオープンソース・コミュニティの根底にある社会的な力学やインセンティブ構造についても見ていこう。
Ownership and Open Source	4　所有権とオープンソース
What does `ownership' mean when property is infinitely reduplicable, highly malleable, and the surrounding culture has neither coercive power relationships nor material scarcity economics?	ある物件が無限に複製可能で、いくらでも変えられて、そしてそれをとりまく文化が脅せるような権力関係や財の希少性に基づく経済に基づいていないとき、なにかの「所有権」を持つっていうのはどういうことだろうか。
Actually, in the case of the open-source culture this is an easy question to answer.	実はオープンソース文化に関するかぎり、この質問には簡単に答えられる。
The owner of a software project is the person who has the exclusive right, recognized by the community at large, to distribute modified versions.	ソフトウェア・プロジェクトの所有者というのは、変更したバージョンを公式に再配布する独占的な権利をコミュニティ全般から認められている人物である。
(In discussing `ownership' in this section I will use the singular,	（この章で「所有権」を論じるときには、その所有者については単数形を使う。
as though all projects are owned by some one person.	これだとまるですべてのプロジェクトは一人の人物が所有しているかのようだけれど、
It should be understood, however, that projects may be owned by groups.	プロジェクトをグループで所有している場合もあるということは承知してほしい。
We shall examine the internal dynamics of such groups later on.)	こういうグループ内の力学についても、この論文で見ていくことにする。）
According to the standard open-source licenses, all parties are equals in the evolutionary game.	標準的なオープンソースのライセンスのもとなら、ソフト進化のゲームではみんなが平等なはずだ。
But in practice there is a very well-recognized distinction between `official' patches, approved and integrated into the evolving software by the publicly recognized maintainers, and `rogue' patches by third parties.	でも現実には、公認の管理者が承認して進化するソフトに統合した「公式」パッチと、第三者による「非公式」パッチとははっきり区別して認識されている。
Rogue patches are unusual, and generally not trusted [RP].	非公式パッチはあまりないし、一般には信用のおけないものとされる[RP]。
That public redistribution is the fundamental issue is easy to establish.	公式な再配布こそが根本的な問題なんだというのは、簡単に示せる。
Custom encourages people to patch software for personal use when necessary.	ハッカー文化の慣習は、みんなが自分だけのためにソフトをパッチするのは推奨している。
Custom is indifferent to people who redistribute modified versions within a closed user or development group.	この習慣は、閉じたユーザグループや開発グループ内で変更バージョンを再配布する人々も問題にはしない。
It is only when modifications are posted to the open-source community in general, to compete with the original, that ownership becomes an issue.	そういう変更がオープンソース・コミュニティ一般に対してポストされ、オリジナル版と競合するようになったときにだけ、所有権が問題になってくる。
There are, in general, three ways to acquire ownership of an open-source project.	一般的にいって、オープンソース・プロジェクトの所有権を獲得するには3つの方法がある。
One, the most obvious, is to found the project.	第一の方法はいちばん自明だろうけれど、プロジェクトを創始することだ。
When a project has had only one maintainer since its inception and the maintainer is still active, custom does not even permit a question as to who owns the project.	プロジェクトの開始以来、管理者が一人しかいなくて、その管理者が活動を続けているなら、ハッカー慣習はそのプロジェクトをだれが所有しているのかについて疑問視することすら許さない。
The second way is to have ownership of the project handed to you by the previous owner (this is sometimes known as `passing the baton').	プロジェクトの所有権を獲得する第二の方法は、前の所有者からそれを引き継ぐことだ（いわゆる「バトンタッチ」）。
It is well understood in the community that project owners have a duty to pass projects to competent successors when they are no longer willing or able to invest needed time in development or maintenance work.	プロジェクトの所有者は開発や保守作業に必要な時間を割けなかったり割く気がなかったりするときには、有能な後継者にプロジェクトを引き継ぐ義務がある。
It is significant that in the case of major projects, such transfers of control are generally announced with some fanfare.	大きなプロジェクトの場合、こういうコントロールの引き継ぎは一般に派手なファンファーレつきでアナウンスされていることはだいじだ。
While it is unheard of for the open-source community at large to actually interfere in the owner's choice of succession, customary practice clearly incorporates a premise that public legitimacy is important.	オープンソースコミュニティ全体として、所有者の後継者選びに実際に文句がついた例はまったくないけれど、慣習的な行為は明らかに、世間的に見た正当性がだいじなんだという認識を含んでいる。
For minor projects, it is generally sufficient for a change history included with the project distribution to note the change of ownership.	小規模なプロジェクトでは、プロジェクトの配布パッケージの中に変更履歴を含めておいて、そこで所有者の変化を明記しておけばふつうは十分だ。
The clear presumption is that if the former owner has not in fact voluntarily transferred control, he or she may reassert control with community backing by objecting publicly within a reasonable period of time.	ここでの明らかな過程は、もし前の所有者が自発的にコントロールをゆずったのでなければ、その人はそれなりの期間内に公開の場で抗議することで、コミュニティの支援のもとでコントロールを奪回できる、というものだ。
The third way to acquire ownership of a project is to observe that it needs work and the owner has disappeared or lost interest.	所有権を獲得する第三の方法は、そのソフトに作業が必要だとみてとって、しかももとの所有者が消えたか興味を失ったかしたときだ。
If you want to do this, it is your responsibility to make the effort to find the owner.	もしこれをやるなら、所有者を見つけようとするのがきみの責任だ。
If you don't succeed, then you may announce in a relevant place (such as a Usenet newsgroup dedicated to the application area) that the project appears to be orphaned, and that you are considering taking responsibility for it.	それがうまくいかなければ、しかるべき関係した場所（たとえばそのアプリケーション分野専門の Usenet ニュースグループなんか）でそのプロジェクトがどうも放棄されたらしくて、だから引き継ごうと思うんだけど、と宣言することになる。
Custom demands that you allow some time to pass before following up with an announcement that you have declared yourself the new owner.	慣習は、自分が新しい所有者だと宣言するまえに、しばらく様子を見ろと要求している。
In this interval, if someone else announces that they have been actually working on the project, their claim trumps yours.	このあいだに、だれかが実は自分はそのプロジェクトで作業を続けるんだけど、と申し出れば、その人たちの申し立てが優先されることになる。
It is considered good form to give public notice of your intentions more than once.	プロジェクトを引き継ぎたいという意志発表は、何回かやるのがいいとされる。
You get more points for good form if you announce in many relevant forums (related newsgroups, mailing lists),	それも、複数の場でやったほうがポイントは高い（関連ニュースグループ、メーリングリストなど）。
and still more if you show patience in waiting for replies.	そして返事を待つのに辛抱強ければもっといい。
In general, the more visible effort you make to allow the previous owner or other claimants to respond, the better your claim if no response is forthcoming.	一般に、前の所有者やほかの権利保持者が反応できるようになるべく努力をしたほうが、反応がないときの自分の権利主張が通りやすい。
If you have gone through this process in sight of the project's user community, and there are no objections, then you may claim ownership of the orphaned project and so note in its history file.	このプロセスを、プロジェクトのユーザコミュニティにも見えるところでやって、反対がなければ、その捨て子プロジェクトの所有権を主張して、その旨を履歴ファイルに記入できる。
This, however, is less secure than being passed the baton, and you cannot expect to be considered fully legitimate until you have made substantial improvements in the sight of the user community.	でもこの方法は、バトンタッチされるよりも危ういもので、ユーザコミュニティから見て相当な改良を加えない限り、正式に認められたと思っちゃいけない。
I have observed these customs in action for 20 years, going back to the pre-FSF ancient history of open-source software.	ぼくはこういう慣習が実際に働くのを、FSF 以前のオープンソースの古代にさかのぼる 20 年前から見てきている。
They have several very interesting features.	これにはいくつかとてもおもしろい性質がある。
One of the most interesting is that most hackers have followed them without being fully aware of doing so.	なによりもおもしろいことの一つは、ほとんどのハッカーたちは、実際に自分がそうしていると完全に意識していないのに、これにしたがってきたということだ。
Indeed, this may be the first conscious and reasonably complete summary ever to have been written down.	この文章は、実際に文になった意識的でそれなりに網羅的なまとめとしては、史上初のものかもしれない。
Another is that, for unconscious customs, they have been followed with remarkable (even astonishing) consistency.	もう一つ挙げられるのは、無意識の慣習だというのに、それはきわめて（それどころか驚異的なほど）一貫して守られてきている、ということだ。
I have observed the evolution of literally hundreds of open-source projects,	ぼくは文字通り何百ものオープンソースプロジェクトの進化を見てきた。
and I can still count the number of significant violations I have observed or heard about on my fingers.	それなのに、見聞きした大きな逸脱行為はまだ両手の指で数えられるほどしかない。
Yet a third interesting feature is that as these customs have evolved over time, they have done so in a consistent direction.	でも、第三のおもしろい性質というのは、こういう慣習が時を追って発展してくるとき、それは一貫した方向性を持っていたということだ。
That direction has been to encourage more public accountability, more public notice, and more care about preserving the credits and change histories of projects in ways that (among other things) establish the legitimacy of the present owners.	この方向性というのは、もっと公共的なアカウンタビリティや通達を奨励し、プロジェクトのクレジットや変更履歴の保存についてもっと配慮を増やして（なににもまして）いまの所有者の正当性を確立しようというものだった。
These features suggest that the customs are not accidental, but are products of some kind of implicit agenda or generative pattern in the open-source culture that is utterly fundamental to the way it operates.	こういう性質が示唆しているのは、こうした慣習が偶然の産物ではなくて、オープンソース文化でのなにか暗黙の目的や生成パターンの産物で、その機能方法にとってきわめて根本的なものなんだということだ。
An early respondent pointed out that contrasting the Internet hacker culture with the cracker/pirate culture (the ``warez d00dz'' centered around game-cracking and pirate bulletin-board systems) illuminates the generative patterns of both rather well.	この論文に早い時期にコメントをよせたある人は、インターネット・ハッカー文化とクラッカー・海賊文化（ゲームのクラッキングと海賊ソフト BBS を中心に活動する、「Warez D00dz」）を対比させると双方の生成パターンがなかなかはっきりすることを指摘してくれた。
We'll return to the d00dz for contrast later in this essay.	d00dz との対比は後出。
Locke and Land Title	5　ロックと土地所有権
To understand this generative pattern, it helps to notice a historical analogy for these customs that is far outside the domain of hackers' usual concerns.	この生成パターンを理解するには、ハッカーの通常の関心領域をはるかに離れて、こうした慣習と歴史的に類似した例を見るのが役に立つ。
