BLUE BEARD.	青ひげ
"are the keys of the two great warehouses wherein I have my best furniture:	「これはふたつとも、わたしのいちばん大事（だいじ）な道具（どうぐ）のはいっている大戸棚（おおとだな）のかぎだ。
these are of the room where I keep my silver and gold plate, which is not in everyday use;	これはふだん使わない金銀の皿を入れた戸棚のかぎだ。
these open my safes, which hold my money, both gold and silver;	これは金貨（きんか）と銀貨をいっぱい入れた金庫（きんこ）のかぎだ。
these my caskets of jewels;	これは宝石（ほうせき）箱のかぎだ。
and this is the master-key to all my apartments.	これはへやのこらずの合いかぎだ。
But as for this little key, it is the key of the closet at the end of the great gallery on the ground floor.	さて、ここにもうひとつ、ちいさなかぎがあるが、これは地下室（ちかしつ）の大ろうかの、いちばん奥（おく）にある、小べやをあけるかぎだ。
Open them all; go everywhere; but as for that little closet, I forbid you to enter it,	戸棚という戸棚、へやというへやは、どれをあけてみることも、中にはいってみることも、おまえの勝手（かって）だが、ただひとつ、この小べやだけは、けっしてあけてみることも、まして、はいってみることはならないぞ。
and I promise you surely that,	これはかたく止めておく。
if you open it, there's nothing that you may not expect from my anger."	万一にもそれにそむけば、おれはおこって、なにをするか分からないぞ。」
She promised to obey exactly all his orders;	奥がたは、おいいつけのとおり、かならず守りますと、やくそくしました。
and he, after having embraced her, got into his coach and proceeded on his journey.	やがて青ひげは、奥がたにやさしくせっぷんして、四輪馬車に乗って、旅だって行きました。
Her neighbors and good friends did not stay to be sent for by the new-married lady, so great was their impatience to see all the riches of her house,	すると、おくがたの知りあいや、お友だちは、お使を待つまも、もどかしがって、われさきにあつまって来ました。
not daring to come while her husband was there, because of his blue beard, which frightened them.	ただ主人がうちにいるときは、れいの青ひげがこわくて、たれも寄りつけなかったのでございます。
They at once ran through all the rooms, closets, and wardrobes, which were so fine and rich, and each seemed to surpass all others.	みんなは、居間（いま）、客間（きゃくま）、大広間から、小べや、衣裳（いしょう）べやと、片っぱしから見てあるきましたが、いよいよ奥ぶかく見て行くほど、だんだんりっぱにも、きれいにもなっていくようでした。
They went up into the warehouses,	とうとうおしまいに、いっぱい家具（かぐ）のつまった、大きなへやに来ました。
where was the best and richest furniture;	そのなかの道具（どうぐ）やおきものは、このやしきのうちでも、一等りっぱなものでした。
and they could not sufficiently admire the number and beauty of the tapestry, beds, couches, cabinets, stands, tables, and looking-glasses, in which you might see yourself from head to foot.	かべかけでも、ねだいでも、長いすでも、たんすでも、つくえや、いすでも、頭のてっぺんから、足の爪（つま）さきまでうつるすがたみでも、それはむやみにたくさんあって、むやみにぴかぴか光って、きれいなので、たれもかれも、ただもう、かんしんして、ふうと、ため息をつくだけでした。
Some of them were framed with glass,	すがたみのなかには、水晶（すいしょう）のふちのついたものもありました。
others with silver, plain and gilded,	金銀めっきのふちのついたものもありました。
the most beautiful and the most magnificent ever seen.	なにもかも、この上もなくけっこうずくめなものばかりでした。
They ceased not to praise and envy the happiness of their friend, who, in the meantime, was not at all amused by looking upon all these rich things,	お客たちは、まさかこれほどまでともおもわなかった、お友だちの運のよさに、いまさら感心したり、うらやましがったり、いつまでもはてしがありませんでしたが、ご主人の奥がたは、いくらりっぱなおへやや、かざりつけを見てあるいても、じれったいばかりで、いっこうにおもしろくも楽しくもありませんでした。
because of her impatience to go and open the closet on the ground floor.	それというのが、夫（おっと）が出がけにきびしくいいつけておいていった、地下室のひみつの小べやというのが、しじゅう、どうも気になって気になって、ならないからでございます。
Her curiosity was so great that, without considering how uncivil it was to leave her guests, she went down a little back staircase, with such excessive haste that twice or thrice she came near breaking her neck.	いけないというものは、とかく見たいのが、人間のくせですから、そのうちいよいよ、がまんがしきれなくなってくると、この奥（おく）がたは、もうお客にたいして、失礼（しつれい）のなんのということを、おもってはいられなくなって、ひとりそっと裏（うら）ばしごをおりて、二ども三ども、首の骨がおれたかとおもうほど、はげしく、柱や梁（はり）にぶつかりながら、むちゅうでかけ出して行きました。
Having reached the closet-door, she stood still for some time, thinking of her husband's orders,	でも、いよいよ小べやの戸の前に立ってみると、さすがに夫（おっと）のきびしいいいつけを、はっとおもい出しました。
and considering that unhappiness might attend her if she was disobedient;	それにそむいたら、どんなふしあわせな目にあうかしれない、そうおもって、しばらくためらいました。
but the temptation was so strong she could not overcome it.	でも、さそいの手が、ぐんぐんつよくひっぱるので、それをはらいきることは、できませんでした。
She then took the little key, and opened the door, trembling.	そこで、ちいさいかぎを手にとって、ぶるぶる、ふるえながら、小べやの戸をあけました。
At first she could not see anything plainly, because the windows were shut.	窓がしまっているので、はじめはなんにも見えませんでした。
After some moments she began to perceive that several dead women were scattered about the floor.	そのうち、だんだん、くらやみに目がなれてくると、どうでしょう、そこの床（ゆか）の上には、いっぱい血のかたまりがこびりついていて、五六人の女の死がいを、ならべてかべに立てかけたのが、血の上にうつって見えていました。
(These were all the wives whom Blue Beard had married and murdered, one after the other,	これは、みんな青ひげが、ひとりひとり、結婚（けっこん）したあとで殺してしまった女たちの死がいでした。
She thought she surely would die for fear, and the key,	これを見たとたん、奥がたは、あっといったなり、息がとまって、からだがすくんで動けなくなりました。
which she pulled out of the lock, fell out of her hand.	そうして、戸のかぎ穴からぬいて、手にもっていたかぎが、いつか、すべり落ちたのも知らずにいたくらいです。
After having somewhat recovered from the shock, she picked up the key, locked the door, and went upstairs into her chamber to compose herself;	しばらくして、やっとわれにかえると、奥がたはあわてて、かぎを拾いあげて、戸をしめて、いそいで二階の居間にかけてかえると、ほっと息をつきました。
but she could not rest, so much was she frightened.	でも、いつまでも胸がわくわくして、正気（しょうき）がつかないようでした。
Having observed that the key of the closet was stained, she tried two or three times to wipe off the stain, but the stain would not come out.	見ると、かぎに血がついているので、二三ど、それをふいてとろうとしましたが、どうしても血がとれません。
In vain did she wash it, and even rub it with soap and sand.	水につけて洗ってみても、せっけんとみがき砂をつけて、といしで、ごしごし、こすってみても、いっこうにしるしがみえません。
The stain still remained, for the key was a magic key, and she could never make it quite clean;	血のついたあとは、いよいよ、こくなるばかりでした。
when the stain was gone off from one side, it came again on the other.	ですから、おもてがわのほうの血を落したかとおもうと、それはうらがわに、いつか、よけいこく、にじみ出していました。
Blue Beard returned from his journey that same evening,	すると、その日の夕方、青ひげが、ひょっこり、うちへかえって来ました。
and said he had received letters upon the road, informing him that the business which called him away was ended to his advantage.	それは、まだむこうまで行かないうち、とちゅうで、用むきが、つごうよく片づいた、という知らせを聞いたからだと、青ひげは話しました。
His wife did all she could to convince him she was delighted at his speedy return.	だしぬけにかえってこられたとき、奥がたは、ぎょっとしましたが、いっしょうけんめい、うれしそうな顔をして見せていました。
Next morning he asked her for the keys, which she gave him,	さて、そのあくる朝、青ひげは、さっそく、奥がたに、あずけたかぎをお出しといいました。
but with such a trembling hand that he easily guessed what had happened.	そういわれて、奥がたがかぎを出したとき、その手のふるえようといったらありませんでしたから、青ひげは、すぐとかんづいてしまいました。
"How is it,"	「おや。」
said he,	と、青ひげはいいました。
"that the key of my closet is not among the rest?"	「小べやのかぎがひとつないぞ。」
"I must certainly,"	「じゃあ、きっと、あちらのつくえの上におきわすれたのでしょう。」
said she,	と、奥がたはこたえました。
"Do not fail,"	「すぐ持ってこい。」
said Blue Beard,	と、青ひげは、おこった声を出しました。
After having put off doing it several times, she was forced to bring him the key.	五六ど、あちらへ行ったり、こちらへ行ったり、まごまごしたあとで、奥がたは、しぶしぶかぎを出しました。
Blue Beard, having examined it,	青ひげは、かぎを受けとると、こわい目をして、じっとながめていましたが、
said to his wife:--	「このかぎの血はどうしたのだ。」
"How comes this stain upon the key?"	といいました。
"I do not know,"	「知りません。」
cried the poor woman, paler than death.	と、泣くような声でこたえた奥がたの顔は、死人よりも青ざめていました。
"You do not know!"	「なに、知りませんだと。」
replied Blue Beard.	と、青ひげはいいました。
"I very well know.	「おれはよく知っているよ。
You wished to go into the cabinet?	おまえはよくもおもいきって、小べやの中にはいったな。
Very well, madam;	えらいどきょうだ。
you shall go in, and take your place among the ladies you saw there."	よし、そんなにはいりたければ、あそこへはいれ、はいって、そこにいる奥さんたちのなかまになれ。」
She threw herself weeping at her husband's feet, and begged his pardon with all the signs of a true repentance for her disobedience.	こういわれると、奥がたは、いきなり夫（おっと）の足もとにつっぷして、いかにもまごころから、くいあらためたようすで、もうけっして、おいいつけにはそむきませんから、といって、わびました。
She would have melted a rock, so beautiful and sorrowful was she;	このうえもなく美しい人の、このうえもなく悲しいすがたを見ては、岩でもとろけ出したでしょう。
but Blue Beard had a heart harder than any stone.	けれど、この青ひげの心は、岩よりも、かねよりも、かたかったのでございます。
"You must die, madam,"	「奥さん、あなたは死ななければならない。
said he,	今すぐに。」
"and that at once."	と、青ひげはいいました。
"Since I must die,"	「わたくし、どうしても死ななければならないのでしたら。」
answered she, looking upon him with her eyes all bathed in tears,	と、奥がたはこたえて、目にいっぱい涙をうかべて、夫の顔を見ました。
"give me some little time to say my prayers."	「せめてしばらく、おいのりをするあいだだけ、待ってくださいまし。」
"I give you,"	「しかたがない、七分半だけ待ってやる。
replied Blue Beard,	だがそれから、一秒（びょう）もおくれることはならないぞ。」
"half a quarter of an hour, but not one moment more."	と、青ひげはいいました。
When she was alone she called out to her sister,	ひとりになると、奥がたは、女のきょうだいの名を呼びました。
"Sister Anne,"	「アンヌねえさま
--for that was her name,--	（アンヌというのは、きょうだいのなまえでした。）
"go up, I beg you, to the top of the tower, and look if my brothers are not coming;	アンヌねえさま、後生（ごしょう）です、塔（とう）のてっぺんまであがって、にいさまたちが、まだおいでにならないか見てください。
they promised me they would come to-day,	にいさまたちは、きょう、たずねてくださるやくそくになっているのです。
and if you see them, give them a sign to make haste."	見えたら、大いそぎでくるように、合図（あいず）をしてください。」
Her sister Anne went up to the top of the tower,	アンヌねえさまは、すぐ塔のてっぺんまであがって行きました。
and the poor afflicted wife cried out from time to time:--	半分きちがいのようになった奥がたは、かわいそうに、しじゅう、さけびつづけていました。
"Anne, sister Anne, do you see any one coming?"	「アンヌねえさま、アンヌねえさま、まだなにもこないの。」
And sister Anne said:--	すると、アンヌねえさまはいいました。
"I see nothing but the sun, which makes a dust,	「日が照（て）って、ほこりが立っているだけですよ。
and the grass, which looks green."	草が青く光っているだけですよ。」
In the meanwhile Blue Beard, holding a great sabre in his hand, cried to his wife as loud as he could:--	そのうちに青ひげが、大きな剣（けん）をぬいて手にもって、ありったけのわれがね声（ごえ）を出して、どなりたてました。
"Come down instantly,	「すぐおりてこい。
or I shall come up to you."	おりてこないと、おれのほうからあがって行くぞ。」
"One moment longer, if you please,"	「もうちょっと待ってください、後生（ごしょう）ですから。」
said his wife;	と、奥がたはいいました。
and then she cried out very softly,	そうして、ごくひくい声で、
"Anne, sister Anne, dost thou see anybody coming?"	「アンヌねえさま、アンヌねえさま、まだなにも見えないの。」
And sister Anne answered:--	アンヌねえさまはこたえました。
"I see nothing but the sun, which makes a dust,	「日が照（て）って、ほこりが立っているだけですよ。
and the grass, which is green."	草が青く光っているだけですよ。」
"Come down quickly,"	「早くおりてこい。」
cried Blue Beard,	と、青ひげはさけびました。
"or I will come up to you."	「おりてこないと、あがって行くぞ。」
"I am coming,"	「今まいります。」
answered his wife;	と、奥がたはこたえました。
and then she cried,	そうして、そのあとで、
"Anne, sister Anne, dost thou not see any one coming?"	「アンヌねえさま、まだなにも見えないの。」
"I see,"	「ああ。
replied sister Anne,	でも、大きな砂けむりが、こちらのほうにむかって、立っていますよ。」
"a great dust, which comes from this side."	と、アンヌねえさまはこたえました。
"Are they my brothers?"	「それはきっと、にいさまたちでしょう。」
"Alas!	「おやおや、
no, my sister,	そうではない。
I see a flock of sheep."	ひつじのむれですよ。」
"Will you not come down?"	「こら、おりてこないか、きさま。」
cried Blue Beard.	と、青ひげはさけびました。
"One moment longer,"	「今すぐに。」
said his wife,	と、奥がたはいいました。
and then she cried out,	そうして、そのあとで、
"Anne, sister Anne, dost thou see nobody coming?"	「アンヌねえさま、アンヌねえさま、まだ、だあれもこなくって。」
"I see," said she, "two horsemen,	「ああ、ふたり馬に乗った人がやってくるわ。
but they are yet a great way off."	けれど、まだずいぶん遠いのよ。」
"God be praised,"	「ああ、ありがたい。」
replied the poor wife, joyfully;	と、奥がたは、うれしそうにいいました。
"they are my brothers;	「それこそ、にいさまたちですよ。
I will make them a sign, as well as I can, for them to make haste."	わたし、にいさまたちに、いそいでくるように合図（あいず）しましょう。」
Then Blue Beard bawled out so loud that he made the whole house tremble.	そのとき、青ひげは、家ごとふるえるほどの大ごえでどなりました。
The distressed wife came down	奥がたは、しおしお、下へおりて行きました。
and threw herself at his feet, all in tears, with her hair about her shoulders.	涙をいっぱい目にためて、かみの毛を肩にたらして、夫（おっと）の足もとにつっぷしました。
"All this is of no help to you,"	「今さらどうなるものか。」
says Blue Beard:	と、青ひげはあざわらいました。
"you must die;"	「はやく死ね。」
then, taking hold of her hair with one hand, and lifting up his sword in the air with the other, he was about to take off her head.	こういって、片手に、奥がたのかみの毛をつかみながら、片手で、剣（けん）をふりあげて、首をはねようとしました。
The poor lady, turning about to him, and looking at him with dying eyes, desired him to afford her one little moment to her thoughts.	おくがたは、夫のほうをふりむいて、今にもたえ入りそうな目つきで、ほんのしばらく、身づくろいするあいだ、待ってくださいと、たのみました。
"No, no,"	青ひげはこういって、剣をふりあげました。
said he,	「ならん、ならん。
"commend thyself to God,"	神さまにまかせてしまえ。」
At this moment there was such a loud knocking at the gate that Blue Beard stopped suddenly.	そのとたん、おもての戸に、ドンと、はげしくぶつかる音がしたので、青ひげはおもわず、ぎょっとして手をとめました。
The gate was opened, and presently entered two horsemen, who, with sword in hand, ran directly to Blue Beard.	とたんに、戸があいたとおもうと、すぐ騎兵（きへい）がふたりはいって来て、いきなり、青ひげにむかって来ました。
He knew them to be his wife's brothers, one a dragoon, the other a musketeer.	これは奥がたの兄弟（きょうだい）で、ひとりは竜騎兵（りゅうきへい）、ひとりは近衛騎兵（このえきへい）だということを、青ひげはすぐと知りました。
He ran away immediately, but the two brothers pursued him so closely that they overtook him before he could get to the steps of the porch.	そこで、あわてて逃げ出そうとしましたが、兄弟はもう、うしろから追いついて、青ひげが、くつぬぎの石に足をかけようとするところを、
There they ran their swords through his body, and left him dead.	胴中（どうなか）をひとつきつきさして、ころしてしまいました。
The poor wife was almost as dead as her husband, and had not strength enough to arise and welcome her brothers.	でもそのときには、もう奥がたも気が遠くなって、死んだようになっていましたから、とても立ちあがって、兄弟（きょうだい）たちを迎（むか）える気力（きりょく）はありませんでした。
Blue Beard had no heirs, and so his wife became mistress of all his estate.	さて、青ひげには、あとつぎの子がありませんでしたから、その財産（ざいさん）はのこらず、奥がたのものになりました。
She made use of one portion of it to marry her sister Anne to a young gentleman who had loved her a long while; another portion to buy captains' commissions for her brothers; 	奥がたはそれを、ねえさまやにいさまたちに分けてあげました。
