THE FALL OF THE HOUSE OF USHER	アッシャー家の崩壊
I was aware, however, that his very ancient family had been noted, time out of mind, for a peculiar sensibility of temperament, displaying itself, through long ages, in many works of exalted art, and manifested, of late, in repeated deeds of munificent yet unobtrusive charity, as well as in a passionate devotion to the intricacies, perhaps even more than to the orthodox and easily recognisable beauties, of musical science.	だが私は、ごく古い家がらの彼の一家が、遠い昔から特別に鋭敏な感受性によって世に聞えていて、その感受性は長い時代を通じて多くの優秀な芸術にあらわれ、近年になっては、それが音楽理論の正統的なたやすく理解される美にたいするよりも、その錯綜（さくそう）した美にたいする熱情的な献身にあらわれているし、また一方では、幾度もくりかえされた莫大（ばくだい）な、しかし人目にたたぬ慈善行為にあらわれている、ということは知っていた。
I had learned, too, the very remarkable fact, that the stem of the Usher race, all time-honored as it was, had put forth, at no period, any enduring branch ;	また、アッシャー一族の血統は非常に由緒（ゆいしょ）あるものではあるが、いつの時代にも決して永続する分家を出したことがない、
in other words, that the entire family lay in the direct line of descent, and had always, with very trifling and very temporary variation, so lain.	いいかえれば全一族は直系の子孫だけであり、ごく些細（ささい）なごく一時的の変化はあっても今日まで常にそうであった、というまことに驚くべき事実をも知っていた。
It was this deficiency, I considered, while running over in thought the perfect keeping of the character of the premises with the accredited character of the people, and while speculating upon the possible influence which the one, in the long lapse of centuries, might have exercised upon the other	その屋敷の特質と、一般に知られているこの一家の人々の特質とが、完全に調和していることを思い浮べながら、また数世紀も経過するあいだにその一方が他方に与えた影響について思いめぐらしながら、私は次のように考えた、
- it was this deficiency, perhaps, of collateral issue, and the consequent undeviating transmission, from sire to son, of the patrimony with the name, which had, at length, so identified the two as to merge the original title of the estate in the quaint and equivocal appellation of the "House of Usher"- an appellation which seemed to include, in the minds of the peasantry who used it, both the family and the family mansion.	――この分家がないということと、世襲財産が家名とともに父から子へと代々よそへ逸（そ）れずに伝わったということのために、とうとうその世襲財産と家名との二つが同一のものと見られて、領地の本来の名を「アッシャー家」という奇妙な、両方の意味にとれる名称――この名称は、それを用いる農夫たちの心では、家族の者と一家の邸宅との両方を含んでいるようであった――のなかへ混同させてしまったのではなかろうか、と。
I have said that the sole effect of my somewhat childish experiment - that of looking down within the tarn - had been to deepen the first singular impression.	私のいささか子供らしい試みの――沼のなかをのぞきこんだことの――唯一（ゆいいつ）の効果がただ最初の奇怪な印象を深めただけであったことはすでに述べた。
There can be no doubt that the consciousness of the rapid increase of my superstition - for why should I not so term it ?  - served mainly to accelerate the increase itself.	私が自分の迷信――そういってはいけない理由がどこにあろう？――の急速に増してゆくことを意識していることが、かえってますますそれを深めることになったということは、なんの疑いもないことだ。
Such, I have long known, is the paradoxical law of all sentiments having terror as a basis.	こんなことは、前から知っていたことだが、恐怖を元としているすべての感情に通ずる逆説的な法則である。
And it might have been for this reason only, that, when I again uplifted my eyes to the house itself, from its image in the pool, there grew in my mind a strange fancy	そして、私が池のなかにうつっている家の影からふたたび本物の家に眼を上げたとき、自分の心のなかに一つの奇妙な空想の湧（わ）き起ったのも、あるいはただこの理由からであるかもしれない。
- a fancy so ridiculous, indeed, that I but mention it to show the vivid force of the sensations which oppressed me.	――その空想というのは実は笑うべきもので、ただ私を悩ました感情の強烈な力強さを示すためにしるすにすぎない。
I had so worked upon my imagination as really to believe that about the whole mansion and domain there hung an atmosphere peculiar to themselves and their immediate vicinity - an atmosphere which had no affinity with the air of heaven, but which had reeked up from the decayed trees, and the gray wall, and the silent tarn - a pestilent and mystic vapor, dull, sluggish, faintly discernible, and leaden-hued.	私は想像力を働かして、この屋敷や地所のあたりには、そこらあたりに特有な雰囲気（ふんいき）――大空の大気とはちっとも似てない、枯木や、灰色の壁や、ひっそりした沼などから立ちのぼる雰囲気――どんよりした、鈍（のろ）い、ほとんど眼に見えない、鉛色の、有毒で神秘的な水蒸気――が一面に垂れこめているのだ、とほんとうに信ずるようになったのである。
Shaking off from my spirit what _must_ have been a dream, I scanned more narrowly the real aspect of the building.	夢であったにちがいない［＃「ちがいない」に傍点］、こんな気持を心から振りおとして、私はもっと念入りにその建物のほんとうの様子を調べてみた。
Its principal feature seemed to be that of an excessive antiquity.	まず、その第一の特徴はひどく古いということであるらしい。
The discoloration of ages had been great.	幾時代もたっているのでまったく古色蒼然（そうぜん）としていた。
Minute fungi overspread the whole exterior, hanging in a fine tangled web-work from the eaves.	微細な菌が、こまかに縺（もつ）れた蜘蛛（くも）の巣のようになって檐（のき）から垂れさがり、建物の外側一面を蔽（おお）いつくしている。
Yet all this was apart from any extraordinary dilapidation.	しかし、こんなことはみな、ひどく破損しているということではない。
No portion of the masonry had fallen ;	石細工のどの部分も崩れたところはなかった。
and there appeared to be a wild inconsistency between its still perfect adaptation of parts, and the crumbling condition of the individual stones.	そしてその各部分がまだ完全にしっくりしていることと、一つ一つの石のぼろぼろになった状態とのあいだには、妙な不調和があるように見えた。
In this there was much that reminded me of the specious totality of old wood-work which has rotted for long years in some neglected vault, with no disturbance from the breath of the external air.	その有様を見ているとなんとなく、どこかのうち捨てられた窖（あなぐら）のなかで、外気にあたることもなく、永年のあいだ朽ちるがままになっていた、見かけだけはそっくり完全な、古い木細工を思い出させるのであった。
Beyond this indication of extensive decay, however, the fabric gave little token ofinstability.	しかし、この広大な荒廃のきざしのほかには、その建物はべつに脆（もろ）そうな有様をほとんど示していなかった。
Perhaps the eye of a scrutinizing observer might have discovered a barely perceptible fissure, which, extending from the roof of the building in front, made its way down the wall in a zigzag direction, until it became lost in the sullen waters of the tarn.	ただおそらく、念入りに観察する人の眼には、ほとんど眼につかないくらいの一つのひびわれが、建物の前面の屋根のところから電光状に壁を這（は）いさがり、沼の陰気な水のなかへ消えているのを、見つけることができたであろう。
Noticing these things, I rode over a short causeway to the house.	こんなことに眼をとめながら、私は短い土手道を家の方へと馬を進めた。
A servant in waiting took my horse, and I entered the Gothic archway of the hall.	そして待ち受けていた召使に馬をとらせると、玄関のゴシック風の拱廊（きょうろう）に入った。
A valet, of stealthy step, thence conducted me, in silence, through many dark and intricate passages in my progress to the _studio_ of his master.	そこからはしのび足の侍者が、無言のまま、多くのうす暗い入り組んだ廊下を通って主人の書斎へと私を導いた。
Much that I encountered on the way contributed, I know not how, to heighten the vague sentiments of which I have already spoken.	その途中で出会った多くのものは、なぜかは知らないが、前に述べたあの漠然（ばくぜん）とした感情を高めるだけであった。
While the objects around me - while the carvings of the ceilings, the sombre tapestries of the walls, the ebon blackness of the floors, and the phantasmagoric armorial trophies which rattled as I strode, were but matters to which, or to such as which, I had been accustomed from my infancy - while I hesitated not to acknowledge how familiar was all this - I still wondered to find how unfamiliar were the fancies which ordinary images were stirring up.	私のまわりの事物が――天井の彫刻、壁のくすんだ掛毛氈（かけもうせん）、黒檀（こくたん）のように真っ黒な床、歩くにつれてがたがた音をたてる幻影のような紋章付きの戦利品などが、自分の幼少のころから見慣れていたもの、あるいはそれに類したものであるにもかかわらず、――どれもみな自分のよく見知っているものであることをすぐと認められるにもかかわらず、――平凡な物の形が自分の心に煽（あお）りたてる空想のあまり奇怪なのに私は驚いた。
On one of the staircases, I met the physician of the family.	ある一つの階段のところで、私はこの一家の医者に会った。
His countenance, I thought, wore a mingled expression of low cunning and perplexity.	彼の容貌（ようぼう）は卑屈な狡猾（こうかつ）と当惑とのまじった表情を帯びているように私には思われた。
He accosted me with trepidation and passed on.	彼はおどおどしながら挨拶（あいさつ）して通りすぎて行った。
The valet now threw open a door and ushered me into the presence of his master.	やがて侍者は扉（とびら）をさっと開いて、主人の前に私を案内した。
The room in which I found myself was very large and lofty.	その部屋は非常に広くて天井が高かった。
The windows were long, narrow, and pointed, and at so vast a distance from the black oaken floor as to be altogether inaccessible from within.	窓は細長く、尖（とが）っていて、内側からはぜんぜん手がとどかないくらい、黒い樫（かし）の床から高く離れたところにあった。
Feeble gleams of encrimsoned light made their way through the trellissed panes, and served to render sufficiently distinct the more prominent objects around ;	よわよわしい真紅色の光線が、格子形（こうしがた）にはめてある窓ガラスを通して射（さ）しこんで、あたりの一きわ目立つものを十分はっきりとさせていた。
the eye, however, struggled in vain to reach the remoter angles of the chamber, or the recesses of the vaulted and fretted ceiling.	しかし、部屋の遠くのすみずみや、あるいは組子細工の円天井の奥の方は、どんなに眼を見張っても視力がとどかなかった。
Dark draperies hung upon the walls.	黒ずんだ壁掛けが壁にかかっていた。
The general furniture was profuse, comfortless, antique, and tattered.	家具はたいがい大がかりで、わびしく、古びて、ぼろぼろにこわれかけていた。
Many books and musical instruments lay scattered about, but failed to give any vitality to the scene.	書物や楽器がたくさんあたりに散らばっていたが、それはこの場面になんの生気を与えることもできなかった。
I felt that I breathed an atmosphere of sorrow.	私は悲しみの空気を呼吸しているのを感じた。
An air of stern, deep, and irredeemable gloom hung over and pervaded all.	きびしい、深い、救いがたい憂鬱の気が一面に漂い、すべてのものにしみわたっていた。
Upon my entrance, Usher arose from a sofa on which he had been lying at full length, and greeted me with a vivacious warmth which had much in it, I at first thought, of an overdone cordiality - of the constrained effort of the _ennuye_ ;  man of the world.	私が入ってゆくと、アッシャーはながながと横たわっていた長椅子（ソファ）から立ち上がって、快活な親しみをもって迎えたが、そこには度をすぎた懇切――人生に倦怠（アンニュイ）を感じている俗人のわざとらしい努力――が大分あるように、初め私には思われた。
A glance, however, at his countenance, convinced me of his perfect sincerity.	だが一目彼の顔を見るとすぐ、彼の完全な誠実を信ずるようになった。
We sat down ;	二人は腰を下ろした。
and for some moments, while he spoke not, I gazed upon him with a feeling half of pity, half of awe.	そして彼がまだ話し出さないあいだ、私はしばらくなかば憐（あわ）れみの、なかば怖（おそ）れの情をもって彼を見まもった。
Surely, man had never before so terribly altered, in so brief a period, as had Roderick Usher !	たしかに、ロデリック・アッシャーほど、こんなに短いあいだにこんなに恐ろしく変りはてた人間はいまい！
It was with difficulty that I could bring myself to admit the identity of the wan being before me with the companion of my early boyhood.	いま自分の前にいるこの蒼（あお）ざめた男と自分の幼年時代のあの友達とが同一の人間であるとは、私にはちょっと信じられなかった。
Yet the character of his face had been at all times remarkable.	それでも彼の顔の特徴は昔と変らず目立つものであった。
A cadaverousness of complexion ;	死人のような顔色。
an eye large, liquid, and luminous beyond comparison ;	大きい、澄んだ類（たぐ）いなく輝く眼。
lips somewhat thin and very pallid, but of a surpassingly beautiful curve ;	すこし薄く、ひどく蒼いが、非常に美しい線の唇（くちびる）。
a nose of a delicate Hebrew model, but with a breadth of nostril unusual in similar formations ;	優美なヘブライ型の、しかしそのような形のものにしては珍しい鼻孔の幅を持っている鼻。
a finely moulded chin, speaking, in its want of prominence, of a want of moral energy;	よい格好ではあるが、突き出ていないために精神力の欠乏を語っている顎（あご）。
hair of a more than web-like softness and tenuity ;	蜘蛛の巣よりも柔かく細い髪の毛。
these features, with an inordinate expansion above the regions of the temple, made up altogether a countenance not easily to be forgotten.	それらの特徴は、顳※（こめかみ）のあたりの上部が異常にひろがっていることとともに、まったくたやすくは忘れられぬ容貌を形づくっている。
And now in the mere exaggeration of the prevailing character of these features, and of the expression they were wont to convey, lay so much of change that I doubted to whom I spoke.	そしていま、私が誰に話しかけているのだろうと疑ったほどのひどい変化は、これらの容貌の主な特徴と、それがいつもあらわしている表情とが、ただいっそう強くなっているという点にあったのだ。
The now ghastly pallor of the skin, and the now miraculous lustre of the eye, above all things startled and even awed me.	なによりも、いまのもの凄く蒼ざめている皮膚の色と、いまの不思議な眼の輝きとが、私を驚かせ恐れさせさえした。
The silken hair, too, had been suffered to grow all unheeded, and as, in its wild gossamer texture, it floated rather than fell about the face, I could not, even with effort, connect its Arabesque expression with any idea of simple humanity.	絹糸のような髪の毛もまた、まったく手入れもされずに生えのびて、それが小蜘蛛の巣の乱れたようになって顔のあたりに垂れさがる、というよりも漂うているのであったから、どうしても私は、この奇異な容貌と、普通の人間という観念とを結びつけることができなかったのである。
In the manner of my friend I was at once struck with an incoherence - an inconsistency ;	友の態度にどこか辻褄（つじつま）の合わぬこと――矛盾のあることに、私はすぐに気がついた。
and I soon found this to arise from a series of feeble and futile struggles to overcome an habitual trepidancy - an excessive nervous agitation.	そして間もなく、それが絶え間のない痙攣（けいれん）――極度の神経興奮を、抑えつけようとする力弱い無駄（むだ）な努力からくるものであることがわかった。
For something of this nature I had indeed been prepared, no less by his letter, than by reminiscences of certain boyish traits, and by conclusions deduced from his peculiar physical conformation and temperament.	もっともこんなことがあろうとは、彼の手紙だけでなく、子供のころの特性の回想や、彼の特殊な体質と気質とから考えて、かねて私の期していたところであった。
His action was alternately vivacious and sullen.	彼の挙動は快活になったり陰気になったりした。
His voice varied rapidly from a tremulous indecision (when the animal spirits seemed utterly in abeyance) to that species of energetic concision - that abrupt, weighty, unhurried, and hollow-sounding enunciation - that leaden, self-balanced and perfectly modulated guttural utterance, which may be observed in the lost drunkard, or the irreclaimable eater of opium, during the periods of his most intense excitement.	声ははっきりしない震え声（活気がまるで無いように思われるときの）から急に、酔いつぶれてしまった酔いどれや手のつけられぬ阿片喫煙者などの極度の興奮状態にあるときに認められるような、あの力のある歯切れのよい声――あの突然な、重々しい、落ちついた、洞声（うろごえ）の発音――鈍い、よく釣（つ）りあいのとれた、完全に調節された喉音（こうおん）――に変ったりした。
It was thus that he spoke of the object of my visit, of his earnest desire to see me, and of the solace he expected me to afford him.	私の訪問の目的や、私に会いたいという切望や、私から得ようと期待している慰安などについて、彼の語ったのはこのような調子であったのだ。
He entered, at some length, into what he conceived to be the nature of his malady.	彼は自分の病気の性質と考えていることを少し詳しく話しだした。
It was, he said, a constitutional and a family evil, and one for which he despaired to find a remedy	彼のいうところによると、それは生れつきの遺伝的な病であり、治療法を見出（みいだ）すことは絶望だというのであった。
- a mere nervous affection, he immediately added, which would undoubtedly soon pass off.	――もっともただの神経の病気で、いまにきっと癒（なお）ってしまうだろう、と彼はすぐつけ加えたが。
It displayed itself in a host of unnatural sensations.	その病気は多くの不自然な感覚となってあらわれた。
Some of these, as he detailed them, interested and bewildered me ; although, perhaps, the terms, and the general manner of the narration had their weight.	そのなかの二、三は、彼が詳しく話しているあいだに、おそらくその言葉づかいや全体の話しぶりの関係からだったろうが、私にたいへん興味を感じさせ、また驚かしたのであった。
He suffered much from a morbid acuteness of the senses ;	彼は感覚の病的な鋭さにひどく悩まされているのだ。
the most insipid food was alone endurable;	もっとも淡泊な食物でなければ食べられない。
he could wear only garments of certain texture ;	ある種の地質の衣服でなければ着られない。
the odors of all flowers were oppressive ;	花の香はすべて息ぐるしい。
his eyes were tortured by even a faint light ;	眼は弱い光線にさえ痛みを感じた。
and there were but peculiar sounds, and these from stringed instruments, which did not inspire him with horror.	彼に恐怖の念を起させない音はある特殊な音ばかりで、それは絃楽器（げんがっき）の音であった。
To an anomalous species of terror I found him a bounden slave.	私には彼がある異常な種類の恐怖の虜（とりこ）になっているのがわかった。
"I shall perish,"	「僕は死ぬのだ」
said he,	と彼は言うのだった。
"I must perish in this deplorable folly.	「こんな惨（みじ）めなくだらないことで僕は死なねばならん［＃「ねばならん」に傍点］のだ。
Thus, thus, and not otherwise, shall I be lost.	こうして、ほかのことではなくかならずこうして、死ぬことになるだろう。
I dread the events of the future, not in themselves, but in their results.	僕は未来に起ることを、それだけとしてはべつに恐れないが、その結果が恐ろしい。
I shudder at the thought of any, even the most trivial, incident, which may operate upon this intolerable agitation of soul.	この堪えがたい心の動揺に影響するようなことは、どんなに小さなことでも、考えただけでぞっとする。
I have, indeed, no abhorrence of danger, except in its absolute effect - in terror.	実際、僕は危険が厭（いや）なのではない、ただその絶対的の結果――恐怖、というものが厭なんだ。
In this unnerved - in this pitiable condition - I feel that the period will sooner or later arrive when I must abandon life and reason together, in some struggle with the grim phantasm, FEAR."	こんな弱りはてた――こんな哀れな有様で――あのもの凄い『恐怖』という幻影とたたかいながら、生命も理性もともに棄（す）てなければならんときが、遅かれ早かれかならず来るのを感ずるのだ」
I learned, moreover, at intervals, and through broken and equivocal hints, another singular feature of his mental condition.	なお私はときどき、きれぎれの曖昧（あいまい）な暗示によって、彼の精神状態のもう一つの奇妙な特質を知った。
He was enchained by certain superstitious impressions in regard to the dwelling which he tenanted, and whence, for many years, he had never ventured forth - in regard to an influence whose supposititious force was conveyed in terms too shadowy here to be re-stated - an influence which some peculiarities in the mere form and substance of his family mansion, had, by dint of long sufferance, he said, obtained over his spirit - an effect which the _physique_ of the gray walls and turrets, and of the dim tarn into which they all looked down, had, at length, brought about upon the _morale_ of his existence.	彼は長年のあいだ一歩も出ずに住んでいる自分の住居に関して、――ここでもう一度述べることのできないくらいに漠然とした言葉で話した、ある想像的な力の影響――つまり、彼の言うところでは、先祖からの屋敷の単なる形態と実質とのある特異性が、長いあいだの放任によって彼の心に及ぼした影響――灰色の壁と塔とそれらのものが見下ろしているうす暗い沼との形象（フィジィク）が、とうとう彼の精神（モラル）にもたらした効果――に関して、ある迷信的な印象にとらわれているのであった。
He admitted, however, although with hesitation, that much of the peculiar gloom which thus afflicted him could be traced to a more natural and far more palpable origin - to the severe and long-continued illness - indeed to the evidently approaching dissolution - of a tenderly beloved sister - his sole companion for long years - his last and only relative on earth.	しかし、ためらいながらも彼の認めたところによれば、このように彼を悩ましている特殊な憂鬱の大部分は、もっと自然で、よりもっと明らかな原因として、――長年のあいだ彼のただ一人の伴侶（はんりょ）であり――この世における最後にして唯一の血縁である――深く愛している妹の、長いあいだの重病を、――またはっきり迫っている死を、――挙げることができるというのであった。
"Her decease,"	「彼女が死んでしまえば」
he said, with a bitterness which I can never forget,	と、彼は私の決して忘れることのできない痛ましさで言うのであった。
"would leave him (him the hopeless and the frail) the last of the ancient race of the Ushers."	「僕は（なんの望みもない虚弱な僕は）旧（ふる）いアッシャー一族の最後の者となって残されるのだ」
While he spoke, the lady Madeline (for so was she called) passed slowly through a remote portion of the apartment, and, without having noticed my presence, disappeared.	彼がこう話しているあいだにマデリン嬢（というのが彼女の名であった）は、ゆっくりと部屋の遠くの方を通り、私のいるのに気もつかずに、やがて姿を消してしまった。
I regarded her with an utter astonishment not unmingled with dread	私は、恐怖をさえまじえた非常な驚きの念をもって、彼女をじっと見まもった。
- and yet I found it impossible to account for such feelings.	――しかもそのような感情をどうにも説明することができなかった。
A sensation of stupor oppressed me, as my eyes followed her retreating steps.	眼が彼女の去りゆく歩調を追うとき、私は茫然（ぼうぜん）としびれるような感覚におそわれた。
When a door, at length, closed upon her, my glance sought instinctively and eagerly the countenance of the brother - but he had buried his face in his hands,	とうとう、扉がしまって彼女の姿が見えなくなると、私の視線は本能的に熱心にその兄の顔の方に向けられた、――が、彼は顔を両手のなかに埋めていた。
and I could only perceive that a far more than ordinary wanness had overspread the emaciated fingers through which trickled many passionate tears.	そして私はただ、ひどく蒼ざめた色が痩（や）せおとろえた指にひろがり、そのあいだから熱い涙がしたたり落ちるのを認めることができただけであった。
The disease of the lady Madeline had long baffled the skill of her physicians.	マデリン嬢の病には、熟練した医師たちもはやずっと前から匙（さじ）を投げていた。
A settled apathy, a gradual wasting away of the person, and frequent although transient affections of a partially cataleptical character, were the unusual diagnosis.	慢性の無感覚、体の漸進（ぜんしん）的衰弱、短期ではあるが頻繁（ひんぱん）な類癇（るいかん）性の疾患などが、世にも稀（まれ）なその病の症状であった。
Hitherto she had steadily borne up against the pressure of her malady, and had not betaken herself finally to bed ;	これまでは彼女はけなげに自分の病気の苦痛をしのんで、決して床につかなかったのだが、
but, on the closing in of the evening of my arrival at the house, she succumbed (as her brother told me at night with inexpressible agitation) to the prostrating power of the destroyer ;	私がこの家に着いた日の夕暮れ、（その夜、彼女の兄が言いようもなく興奮して私に語ったところによれば）病魔の力に屈してしまったのであった。
and I learned that the glimpse I had obtained of her person would thus probably be the last I should obtain	そして、さっき私が彼女の姿をちらりと見たのがおそらく見おさめとなるだろう
- that the lady, at least while living, would be seen by me no more.	――少なくとも彼女の生きているうちに二度と見られぬだろう、ということを私は知った。
For several days ensuing, her name was unmentioned by either Usher or myself:	その後四、五日間は、彼女の名をアッシャーも私も口にしなかった。
and during this period I was busied in earnest endeavors to alleviate the melancholy of my friend.	そのあいだ私は友の憂鬱（ゆううつ）をやわらげようとする熱心な努力に忙しかった。
We painted and read together ;	私たちはともに画（え）を描（か）き本を読み、
or I listened, as if in a dream, to the wild improvisations of his speaking guitar.	あるいは彼の奏する流れるように巧みなギターの奇怪な即興曲を夢み心地で聞いた。
And thus, as a closer and still closer intimacy admitted me more unreservedly into the recesses of his spirit, the more bitterly did I perceive the futility of all attempt at cheering a mind	こうしてだんだんと深く親密になって、隔てなく彼の心の奥へ入れば入るほど、痛ましくも彼の心をひきたてようとする企てのすべてが無駄であることがわかった。
from which darkness, as if an inherent positive quality, poured forth upon all objects of the moral and physical universe, in one unceasing radiation of gloom.	彼の心からは暗黒が、生来の絶対的な特性であるかのように、一すじの休むことのない憂鬱の放射となって、精神界と物質界とのあらゆる事物の上に注ぎかかるのであった。
I shall ever bear about me a memory of the many solemn hours I thus spent alone with the master of the House of Usher.	アッシャー家の主人とただ二人だけでこうして過した多くのもの淋（さび）しい時の記憶を、私はいつまで心にとめているであろう。
Yet I should fail in any attempt to convey an idea of the exact character of the studies, or of the occupations, in which he involved me, or led me the way.	しかも彼が私を誘い、あるいは導いてくれた研究、あるいは仕事の正確な性質を、どんなに伝えようと試みてもできそうにもない。
An excited and highly distempered ideality threw a sulphureous lustre over all.	興奮した非常に病的な想像力が、すべてのものの上に硫黄のような光を投げていた。
His long improvised dirges will ring forever in my ears.	彼の即興の長い挽歌（ばんか）は、永久に私の耳のなかに鳴りひびくであろう。
Among other things, I hold painfully in mind a certain singular perversion and amplification of the wild air of the last waltz of Von Weber.	その他のものでは、フォン・ウェーベルの最後のワルツのあの奔放な旋律を奇妙に変えて複雑にしたものが、痛ましく心に残っている。
From the paintings over which his elaborate fancy brooded, and which grew, touch by touch, into vaguenesses at which I shuddered the more thrillingly, because I shuddered knowing not why ;	彼の精緻（せいち）な空想がこもり、また一筆ごとにおぼろげなものとなった、なぜとも知らず身ぶるいするために、なおさらぞっとするような画
