Linux and GNU - GNU Project	Linux と GNU - GNU プロジェクト
What they found was no accident	彼らが見つけたのは偶然の産物ではありません。
--it was the GNU system.	それは GNU システムだったのです。
The available free software added up to a complete system because the GNU Project had been working since 1984 to make one.	当時完全なシステムを構成するのに十分なだけの フリーソフトウェア が入手可能だったのは、 GNU プロジェクトが 1984 年以来そうした完全なシステムを作るべく作業してきたからでした。
The GNU Manifesto (31k characters) had set forth the goal of developing a free Unix-like system, called GNU.	GNU 宣言(31k キャラクタ) によって GNU と呼ばれるフリーの Unix ライクなシステムを開発するという目標が打ち出されました。
The Initial Announcement of the GNU Project also outlines some of the original plans for the GNU system.	また、GNU プロジェクトの 当初の声明に於いて、 GNU システムの原案の一部が概説されています。
By the time Linux was written, the system was almost finished.	Linux が書かれるまでに、システムはほとんど完成していたのです。
Most free software projects have the goal of developing a particular program for a particular job.	多くのフリーソフトウェアプロジェクトでは、ある特定の目的を持ったある特定のプログラムを開発するというのが目標になっています。
For example, Linus Torvalds set out to write a Unix-like kernel (Linux);	例えば、Linus Torvalds は Unix ライクなカーネル(Linux)を書くことを目指していましたし、
Donald Knuth set out to write a text formatter (TeX);	Donald Knuth はテキストフォーマッタ(TeX)を書くことを目標にしていました。
Bob Scheifler set out to develop a window system (the X Window system).	Bob Scheifler はウィンドウシステム( X Windows) の開発に取り組みました。
It's natural to measure the contribution of this kind of project by specific programs that came from the project.	これらのプロジェクトからある特定のプログラムがもたらされたということで、この種のプロジェクトが社会にどれだけ貢献したかというのを測るというのはごく自然なことです。
If we tried to measure the GNU Project's contribution in this way, what would we conclude?	しかしもし私たちがこのようなやり方で GNU プロジェクトの貢献を測ろうとすると、どういう結論に至るでしょう?
One CD-ROM vendor found that in their ``Linux distribution'', GNU software was the largest single contingent, around 28% of the total source code, and this included some of the essential major components without which there could be no system.	ある CD-ROM 販売業者によると、彼らの「Linux ディストリビューション」中ではGNU ソフトウェア が全ソースコードの約 28 % という、単一のグループとしては最大の割合を占めており、またその中には、それ無しではシステムが成立しない本質的かつ重要なコンポーネントが含まれています。
Linux itself was about 3%.	Linux 自体は大体 3 % を占めていました。
So if you were going to pick a name for the system based on who wrote the programs in the system, the most appropriate single choice would be ``GNU''.	ですから、誰がそのシステム内のプログラムを書いたかという判断基準でそのシステムの名前を一つ選ぶということであれば、もっともふさわしい選択は「GNU」ということになるでしょう。
But we don't think that is the right way to consider the question.	しかし、私たちはこの問題をそのように考えるのが正しいとは思いません。
The GNU Project was not, is not, a project to develop specific software packages.	GNU プロジェクトはなにか特定のソフトウェアパッケージを開発するプロジェクトではありませんでしたし、今もそうではありません。
It was not a project to develop a C compiler, although we did.	GNU プロジェクトは、C コンパイラ を開発しましたが、GNU は C コンパイラを開発するプロジェクトではありませんでした。
It was not a project to develop a text editor, although we developed one.	同様に、私たちはテキストエディタを開発しましたが、 GNU はテキストエディタを開発するプロジェクトではなかったのです。
The GNU Project's aim was to develop a complete free Unix-like system: GNU.	GNU プロジェクトの目標は、完全なフリーの Unix ライクなシステム を開発することです。
Many people have made major contributions to the free software in the system, and they all deserve credit.	多くの人々がシステムに含まれるフリーソフトウェアに多大な貢献をしてきましたし、それらはみな称賛に値します。
But the reason it is an integrated system--and not just a collection of useful programs--is because the GNU Project set out to make it one.	しかしそれが単なる有用なプログラムの寄せ集めではなく、システムであるのは、GNU プロジェクトがそれをシステムとしてまとめ上げたからです。
We made a list of the programs needed to make a complete free system, and we systematically found, wrote, or found people to write everything on the list.	私たちはフリーの完全なシステムを構成するのに必要なプログラムのリストを作り、そのリストに載っているものすべてを組織的に探し、書き、あるいは書いてくれる人を探しました。
We wrote essential but unexciting (1) components	私たちは、アセンブラやリンカといった、不可欠だけれどもあまりエキサイティングであるとは言えない重要なコンポーネントを書きました。
because you can't have a system without them.	それら無しではシステムを用意することができないからです。
By the early 90s we had put together the whole system aside from the kernel	90 年代初頭までに、私たちはカーネルを除いたシステム全体を組み立てていました
(and we were also working on a kernel, the GNU Hurd, which runs on top of Mach).	(また、私たちは Mach の上で動く GNU Hurd というカーネルを開発していました)。
Developing this kernel has been a lot harder than we expected;	このカーネルの開発の困難さは予想をはるかに超えるもので、
We're now starting to prepare the actual release of the GNU system, with the GNU Hurd.	私たちは依然 完成に向け開発中 です。
Fortunately, you didn't have to wait for the Hurd,	幸運なことに、あなたは Hurd の完成を待つ必要はありません。
because Linux was available.	なぜなら、Linux が現在動いているからです。
When Linus Torvalds wrote Linux, he filled the last major gap.	Linus Torvalds が Linux を書いたとき、彼は最後の大きな欠落を埋めました。
People could then put Linux together with the GNU system to make a complete free system:	そして人びとは、Linux を GNU システムと一緒にすることで完全なフリーのシステムを手に入れることができたのです。
a Linux-based version of the GNU system; the GNU/Linux system, for short.	それこそが、Linux をベースとした GNU システム(短くは GNU/Linux システム) にほかなりません。
Putting them together sounds simple, but it was not a trivial job.	一緒にするというと簡単なことのように聞こえますが、それはなみたいていの仕事ではありません。
Some GNU components(3) needed substantial change to work with Linux.	GNU C ライブラリ(短く glibc と呼ばれます)には相当な変更が必要となりました。
Integrating a complete system as a distribution that would work ``out of the box'' was a big job, too.	完全なシステムをディストリビューションとして「インストールすればすぐ使える」というレベルにまでするのも大変な作業でした。
It required addressing the issue of how to install and boot the system	どうシステムをインストールし、起動するかという問題を解決しなければならなかったからです。
--a problem we had not tackled, because we hadn't yet reached that point.	Linux が登場する前は、まだそういう段階には到達していなかったので、私たちはそれまでその種の問題に取り組んだことがありませんでした。
The people who developed the various system distributions made a substantial contribution.	この件に関しては様々なシステムディストリビューションを開発した人々が重要な貢献をしてくれました。
Addendum: Aside from GNU, one other project has independently produced a free Unix-like operating system.	GNU の他に、Unix ライクなオペレーティングシステムを独立に作り上げてきたプロジェクトがもう一つあります。
This system is known as BSD, and it was developed at UC Berkeley.	このシステムは BSDとして知られており、カリフォルニア大学バークリー校に於いて開発されました。
The BSD developers were inspired to make their code free software by the example of the GNU Project, and explicit appeals from GNU activists helped persuade them, but the code had little overlap with GNU.	GNU プロジェクトにならって BSD の開発者たちは彼らの作品をフリーソフトウェアとし、またしばしば GNU の活動家によって励まされてきましたが、彼らの実際の成果は GNU とほとんど重複するところがありません。
BSD systems today use some GNU programs, just as the GNU system and its variants use some BSD programs;	GNU システムとその変種が BSD ソフトウェアのいくつかを使っているのと同様、今日の BSD システムも GNU ソフトウェアの一部を使っています。
however, taken as wholes, they are two different systems that evolved separately.	しかし、全体から見れば、この二つは別々に進化してきた異なったシステムです。
A free operating system that exists today is almost certainly either a variant of the GNU system, or a kind of BSD system.	今日存在するフリーなオペレーティングシステムは GNU システムの変種か、BSD システムの一種と考えてまず間違いありません。
The GNU Project supports GNU/Linux systems as well as the GNU system--even with funds.	GNU プロジェクトは、GNU システムそれ自体 同様 GNU/Linux システム もサポートしており、資金的な援助すらしています。
We funded the rewriting of the Linux-related extensions to the GNU C library,	私たちは GNU C ライブラリに対する Linux 関係の拡張の書き直しを資金援助しました。
so that now they are well integrated, and the newest GNU/Linux systems use the current library release with no changes.	結果として現在それらはうまく統合され、最新の GNU/Linux システムは現在のライブラリをなんら変更することなく使用しています。
We also funded an early stage of the development of Debian GNU/Linux.	私たちはまた Debian GNU/Linuxに対して、その開発の初期において資金を提供しました。
We use Linux-based GNU systems today for most of our work, and we hope you use them too.	私たちは今日作業の大半に Linux をベースとする GNU システムを使っており、またみなさんもそうして下さることを望んでいます。
But please don't confuse the public by using the name ``Linux'' ambiguously.	しかし、どうか「Linux」という名称をあいまいに使うことで一般大衆を混乱させないでください。
Linux is the kernel, one of the essential major components of the system.	Linux はカーネルであり、システムに不可欠の重要な一部分ですが、
The system as a whole is more or less the GNU system, with Linux added.	全体としてのシステムは多かれ少なかれ GNU システムなのです。
Return to GNU's home page.	GNU のホームページに戻る。
Please send FSF & GNU inquiries & questions to gnu@gnu.org.	FSF または GNU へのお問い合わせやご質問は gnu@gnu.orgにお送りください。.
There are also other ways to contact the FSF.	FSF と連絡を取るには他の手段もあります。
Please send comments on these web pages to webmasters@www.gnu.org,	これらのウェブページに対するご意見は webmasters@www.gnu.org までお送りください。
send other questions to gnu@gnu.org.	その他のご質問は gnu@gnu.org までお願いします。
Verbatim copying and distribution of this entire article is permitted in any medium, provided this notice is preserved.	本文に一切の変更を加えず、この著作権表示を残す限り、この文章全体のいかなる媒体における複製および配布も許可する。
Updated: 10 Dec 2000 mhatta	Toshiki Minakuchi 氏の訳を元に、八田真行 <mhatta@gnu.org> が修正を加えました。
