The Nighthawk’s Star	よだかの星
Hummingbird sipped the nectar of flowers and Kingfisher ate fish, but Nighthawk caught and ate bugs.	蜂すずめは花の蜜（みつ）をたべ、かわせみはお魚を食べ、夜だかは羽虫をとってたべるのでした。
Nighthawk didn’t have sharp talons or a sharp beak, either, so not even the weakest bird was afraid of him.	それによだかには、するどい爪（つめ）もするどいくちばしもありませんでしたから、どんなに弱い鳥でも、よだかをこわがる筈（はず）はなかったのです。
So one might wonder why he was named so, and the reason is because his wings were inordinately strong, and so he resembled a hawk when he soared upon the wind.	それなら、たかという名のついたことは不思議なようですが、これは、一つはよだかのはねが無暗（むやみ）に強くて、風を切って翔（か）けるときなどは、まるで鷹のように見えたことと、
He also had a powerful cry that was not unlike that of a hawk.	も一つはなきごえがするどくて、やはりどこか鷹に似ていた為（ため）です。
Hawk, of course, was very conscious of this, and hated it.	もちろん、鷹は、これをひじょうに気にかけて、いやがっていました。
Every time he saw Nighthawk he would tell him, “Change your name! Change your name!”	それですから、よだかの顔さえ見ると、肩（かた）をいからせて、早く名前をあらためろ、名前をあらためろと、いうのでした。
One evening, Hawk even came to Nighthawk’s home.	ある夕方、とうとう、鷹がよだかのうちへやって参りました。
“Hey!	「おい。
You there!	居るかい。
You still haven’t changed your name!	まだお前は名前をかえないのか。
You should be ashamed.	ずいぶんお前も恥（はじ）知らずだな。
We’re completely different, you and I.	お前とおれでは、よっぽど人格がちがうんだよ。
I can fly through the blue sky all day long,	たとえばおれは、青いそらをどこまででも飛んで行く。
and you only come out when the sun is clouded over, or at dark.	おまえは、曇（くも）ってうすぐらい日か、夜でなくちゃ、出て来ない。
Just look at this beak and these talons,	それから、おれのくちばしやつめを見ろ。
and then look at your own!”	そして、よくお前のとくらべて見るがいい。」
“Mr. Hawk,	「鷹さん。
I can’t change my name!	それはあんまり無理です。
I didn’t take this name myself,	私の名前は私が勝手につけたのではありません。
God gave it to me.”	神さまから下さったのです。」
“No,	「いいや。
I’m the one who got his name from God.	おれの名なら、神さまから貰（もら）ったのだと云（い）ってもよかろうが、
In a sense, you’re just borrowing my name. And Night’s.	お前のは、云わば、おれと夜と、両方から借りてあるんだ。
Now give them back.”	さあ返せ。」
“I can’t do that, Mr. Hawk!”	「鷹さん。
“Of course you can.	「無理じゃない。
I’ll give you a good name to take its place.	おれがいい名を教えてやろう。
How about Leonard?	市蔵（いちぞう）というんだ。
Yeah, Leonard.	市蔵とな。
I like that.	いい名だろう。
So to officially change your name you have to make it public,	そこで、名前を変えるには、改名の披露（ひろう）というものをしないといけない。
right?	いいか。
To do that you need to hang a sign that says ‘Leonard’around your neck, and go around to everyone’s home, bowing and saying ‘From this day on, I am to be known as Leonard.’”	それはな、首へ市蔵と書いたふだをぶらさげて、私は以来市蔵と申しますと、口上（こうじょう）を云って、みんなの所をおじぎしてまわるのだ。」
“I could never do that!”	「そんなことはとても出来ません。」
“Sure you can!	「いいや。
So do it!	そうしろ。
If you haven’t done it by the morning of the day after tomorrow, I’ll come and squeeze you to death in my claws.	もしあさっての朝までに、お前がそうしなかったら、もうすぐ、つかみ殺すぞ。
To death, I say!	つかみ殺してしまうから、そう思え。
On the morning of the day after tomorrow I’m going to go to every house and ask if you’ve been by.	おれはあさっての朝早く、鳥のうちを一軒（けん）ずつまわって、お前が来たかどうかを聞いてあるく。
If I find even one home that you haven’t visited, that will be the end of you!”	一軒でも来なかったという家があったら、もう貴様もその時がおしまいだぞ。」
“But there’s no way I could do it!	「だってそれはあんまり無理じゃありませんか。
I would rather die!	そんなことをする位なら、私はもう死んだ方がましです。
Please, just kill me now!”	今すぐ殺して下さい。」
“Oh, come now, think it over.	「まあ、よく、あとで考えてごらん。
Leonard is a pretty good name.”	市蔵なんてそんなにわるい名じゃないよ。」
The hawk spread out his wings and flew back towards his nest.	鷹は大きなはねを一杯（いっぱい）にひろげて、自分の巣（す）の方へ飛んで帰って行きました。
The nighthawk stood there with his eyes closed in thought.	よだかは、じっと目をつぶって考えました。
Why do they hate me so?	（一たい僕（ぼく）は、なぜこうみんなにいやがられるのだろう。
Because my face looks like it’s been splattered with miso, and because my beak is odd?	僕の顔は、味噌をつけたようで、口は裂（さ）けてるからなあ。
Even so, I haven’t done anything wrong!	それだって、僕は今まで、なんにも悪いことをしたことがない。
I remember that day when I helped the Whiteeye chick back to its nest after it fell out.	赤ん坊（ぼう）のめじろが巣から落ちていたときは、助けて巣へ連れて行ってやった。
Its mother snatched it from me as if rescuing her baby from a thief.	そしたらめじろは、赤ん坊をまるでぬす人からでもとりかえすように僕からひきはなしたんだなあ。
And then she just laughed so hard at me.	それからひどく僕を笑ったっけ。
And now I have to change my name to Leonard?	それにああ、今度は市蔵だなんて、
Hang a sign about my neck?	首へふだをかけるなんて、
Oh, how terrible…	つらいはなしだなあ。）
It was already getting dark.	あたりは、もううすくらくなっていました。
Nighthawk flew from his nest.	夜だかは巣から飛び出しました。
The clouds glowed menacingly, and hung low in the sky.	雲が意地悪く光って、低くたれています。
The nighthawk seemed to almost rub against them as he silently flew about.	夜だかはまるで雲とすれすれになって、音なく空を飛びまわりました。
Nighthawk suddenly opened his mouth wide, held his wings out straight, and cut across the sky like an arrow.	それからにわかによだかは口を大きくひらいて、はねをまっすぐに張って、まるで矢のようにそらをよこぎりました。
He trapped countless small insects in his mouth.	小さな羽虫が幾匹（いくひき）も幾匹もその咽喉（のど）にはいりました。
Almost as soon as he touched ground he lit off again.	からだがつちにつくかつかないうちに、よだかはひらりとまたそらへはねあがりました。
The clouds had turned gray, and the setting sun colored the faraway mountaintops with crimson fire.	もう雲は鼠色（ねずみいろ）になり、向うの山には山焼けの火がまっ赤です。
Nighthawk flew so forcefully that he seemed to slice the sky into two.	夜だかが思い切って飛ぶときは、そらがまるで二つに切れたように思われます。
A beetle flew into his mouth and squirmed about.	一疋（ぴき）の甲虫（かぶとむし）が、夜だかの咽喉にはいって、ひどくもがきました。
The nighthawk swallowed it down, but for some reason doing so sent a chill down his back.	よだかはすぐそれを呑（の）みこみましたが、その時何だかせなかがぞっとしたように思いました。
The clouds were now pitch black, and only the mountains to the East cast the frightening reflection of the red setting sun.	雲はもうまっくろく、東の方だけ山やけの火が赤くうつって、恐（おそ）ろしいようです。
Feeling an ache in his chest, Nighthawk again took off into the sky.	よだかはむねがつかえたように思いながら、又そらへのぼりました。
Again a beetle flew into his mouth,	また一疋の甲虫が、夜だかののどに、はいりました。
and there it squirmed, scratching his throat.	そしてまるでよだかの咽喉をひっかいてばたばたしました。
After great effort Nighthawk managed to swallow the beetle, but doing so caused his heart to leap, and he cried out in a loud voice.	よだかはそれを無理にのみこんでしまいましたが、その時、急に胸がどきっとして、夜だかは大声をあげて泣き出しました。
Crying, he flew around and around, making circles in the sky.	泣きながらぐるぐるぐるぐる空をめぐったのです。
Oh, I kill so many beetles and insects every night.	（ああ、かぶとむしや、たくさんの羽虫が、毎晩僕に殺される。
And now I’m to be killed by the hawk.	そしてそのただ一つの僕がこんどは鷹に殺される。
So this is what it feels like.	それがこんなにつらいのだ。
Oh, I can’t stand this.	ああ、つらい、つらい。
I’ll stop eating insects, and starve to death.	僕はもう虫をたべないで餓（う）えて死のう。
No, Hawk will kill me before that happens.	いやその前にもう鷹が僕を殺すだろう。
No, before that happens I’ll fly far, far away.	いや、その前に、僕は遠くの遠くの空の向うに行ってしまおう。）
The red light from the sun spread like water, setting the clouds on fire.	山焼けの火は、だんだん水のように流れてひろがり、雲も赤く燃えているようです。
Nighthawk flew straight to the home of his brother, Kingfisher.	よだかはまっすぐに、弟の川せみの所へ飛んで行きました。
When he got there Kingfisher had just awoken, and was looking at the burning mountains.	きれいな川せみも、丁度起きて遠くの山火事を見ていた所でした。
Seeing Nighthawk land, he spoke:	そしてよだかの降りて来たのを見て云いました。
“Well hello, brother.	「兄さん。
To what do I owe the pleasure?”	何か急のご用ですか。」
“Nothing. I just came to say goodbye. I’m leaving for a place far, far away.”	「いいや、僕は今度遠い所へ行くからね、その前一寸（ちょっと）お前に遭（あ）いに来たよ。」
“Brother!	「兄さん。
You can’t leave!	行っちゃいけませんよ。
With Hummingbird so far away now, I’ll be left all alone!”	蜂雀（はちすずめ）もあんな遠くにいるんですし、僕ひとりぼっちになってしまうじゃありませんか。」
“I’m sorry,	「それはね。
it can’t be helped.	どうも仕方ないのだ。
Please, speak no further on this today.	もう今日は何も云わないで呉（く）れ。
And please, try not to kill any more fish than is absolutely necessary.	そしてお前もね、どうしてもとらなければならない時のほかはいたずらにお魚を取ったりしないようにして呉れ。
Good bye, now.”	ね、さよなら。」
“Brother,	「兄さん。
what’s wrong with you?	どうしたんです。
Please, stay a little longer.”	まあもう一寸お待ちなさい。」
“No, staying any longer won’t change things.	「いや、いつまで居てもおんなじだ。
Please give my regards to Hummingbird.	はちすずめへ、あとでよろしく云ってやって呉れ。
Goodbye.	さよなら。
I’m afraid we’ll never meet again.	もうあわないよ。
Goodbye.”	さよなら。」
Nighthawk returned to his home in tears.	よだかは泣きながら自分のお家（うち）へ帰って参りました。
The short summer night was already coming to an end.	みじかい夏の夜はもうあけかかっていました。
The fern leaves absorbed the mist as they waved blue and cold.	羊歯（しだ）の葉は、よあけの霧（きり）を吸って、青くつめたくゆれました。
Nighthawk gave a high twitter.	よだかは高くきしきしきしと鳴きました。
He then thoroughly straightened up his nest, preened his feathers, and flew from his nest again.	そして巣の中をきちんとかたづけ、きれいにからだ中のはねや毛をそろえて、また巣から飛び出しました。
The mist had cleared, and the sun had just risen in the East.	霧がはれて、お日さまが丁度東からのぼりました。
Ignoring the dizzying brightness, Nighthawk flew like an arrow in that direction.	夜だかはぐらぐらするほどまぶしいのをこらえて、矢のように、そっちへ飛んで行きました。
“Mr. Sun, Mr. Sun!	「お日さん、お日さん。
Please bring me to you!	どうぞ私をあなたの所へ連れてって下さい。
I don’t care that I’ll burn and die.	灼（や）けて死んでもかまいません。
Even an ugly body like mine will shine as it burns!	私のようなみにくいからだでも灼けるときには小さなひかりを出すでしょう。
Please, take me!”	どうか私を連れてって下さい。」
But no matter how far he flew, he didn’t get any closer to the sun.	行っても行っても、お日さまは近くなりませんでした。
The sun seemed to get smaller and farther, even, and said	かえってだんだん小さく遠くなりながらお日さまが云いました。
“Nighthawk, isn’t it?	「お前はよだかだな。
Yes, yes, I know your pain.	なるほど、ずいぶんつらかろう。
But you should try talking to the stars.	今度そらを飛んで、星にそうたのんでごらん。
You’re not a day bird, you know.”	お前はひるの鳥ではないのだからな。」
Nighthawk tried to give a bow, but suddenly became dizzy and fell back down into the fields.	夜だかはおじぎを一つしたと思いましたが、急にぐらぐらしてとうとう野原の草の上に落ちてしまいました。
He felt as if he were having a dream.	そしてまるで夢（ゆめ）を見ているようでした。
He saw his body climbing up to between the red and yellow stars, he saw himself blown endlessly by the wind, he saw himself trapped in Hawk’s talons.	からだがずうっと赤や黄の星のあいだをのぼって行ったり、どこまでも風に飛ばされたり、又鷹が来てからだをつかんだりしたようでした。
Something cold plopped on his face.	つめたいものがにわかに顔に落ちました。
He opened his eyes.	よだかは眼（め）をひらきました。
The dew from the pampas grass had dripped on him.	一本の若いすすきの葉から露（つゆ）がしたたったのでした。
It was already night, and the sky was blue-black and filled with blinking stars.	もうすっかり夜になって、空は青ぐろく、一面の星がまたたいていました。
Nighthawk flew back up into the sky.	よだかはそらへ飛びあがりました。
The mountains were again red with the setting sun.	今夜も山やけの火はまっかです。
Nighthawk flew about in that faint glow and among the cold light of the stars.	よだかはその火のかすかな照りと、つめたいほしあかりの中をとびめぐりました。
Then he flew off again.	それからもう一ぺん飛びめぐりました。
He headed west, straight towards the beautiful constellation of Orion, shouting	そして思い切って西のそらのあの美しいオリオンの星の方に、まっすぐに飛びながら叫（さけ）びました。
“Oh, star!	「お星さん。
Blue-white star of the West!	西の青じろいお星さん。
Please take me to you!	どうか私をあなたのところへ連れてって下さい。
I don’t care that I will be burned to death!”	灼けて死んでもかまいません。」
But Orion just continued singing his heroic song, and didn’t pay Nighthawk the least bit of attention.	オリオンは勇ましい歌をつづけながらよだかなどはてんで相手にしませんでした。
The Nighthawk almost began to cry, and spiraled back to the ground.	よだかは泣きそうになって、よろよろと落ちて、
He finally landed and took off again, circling once.	それからやっとふみとまって、もう一ぺんとびめぐりました。
Then he flew straight towards Canis Major in the south, shouting,	それから、南の大犬座の方へまっすぐに飛びながら叫びました。
“Oh, Star!	「お星さん。
Blue star of the South!	南の青いお星さん。
Please take me to you!	どうか私をあなたの所へつれてって下さい。
I don’t care that I will be burned to death!”	やけて死んでもかまいません。」
The Great Dog blinked blue and purple and yellow and said,	大犬は青や紫（むらさき）や黄やうつくしくせわしくまたたきながら云いました。
“Silence with such foolishness.	「馬鹿を云うな。
Who do you think you are?	おまえなんか一体どんなものだい。
You’re just a bird.	たかが鳥じゃないか。
It would take you millions, billions, trillions of years to fly this far with those wings of yours!”	おまえのはねでここまで来るには、億年兆年億兆年だ。」
and with that, he turned away.	そしてまた別の方を向きました。
Disappointed again, Nighthawk spiraled back to the Earth.	よだかはがっかりして、よろよろ落ちて、
He then flew back up and circled twice.	それから又二へん飛びめぐりました。
This time he flew north towards Ursa Major, shouting	それから又思い切って北の大熊星（おおぐまぼし）の方へまっすぐに飛びながら叫びました。
“Blue star of the North!	「北の青いお星さま、
Please take me to you!”	あなたの所へどうか私を連れてって下さい。」
The Great Bear answered,	大熊星はしずかに云いました。
“Don’t waste your time with such silliness.	「余計なことを考えるものではない。
You should go cool your head.	少し頭をひやして来なさい。
Jumping into an iceberg-filled ocean might help, or if there is no ocean near you, try diving into a cup filled with ice water.”	そう云うときは、氷山の浮（う）いている海の中へ飛び込（こ）むか、近くに海がなかったら、氷をうかべたコップの水の中へ飛び込むのが一等だ。」
Disappointed again, Nighthawk spiraled back to the Earth, and then flew back up and circled four times.	よだかはがっかりして、よろよろ落ちて、それから又、四へんそらをめぐりました。
He then flew east again, towards the eagle Aquila on the far bank of the just-risen the Milky Way, shouting,	そしてもう一度、東から今のぼった天（あま）の川（がわ）の向う岸の鷲（わし）の星に叫びました。
“White star of the East!	「東の白いお星さま、
Please take me to you!	どうか私をあなたの所へ連れてって下さい。
I don’t care that I will be burned to death!”	やけて死んでもかまいません。」
The Eagle proudly stated,	鷲は大風（おおふう）に云いました。
“No, no, that will never happen.	「いいや、とてもとても、話にも何にもならん。
You need a certain level of birth to become a star.	星になるには、それ相応の身分でなくちゃいかん。
That and a lot of money.”	又よほど金もいるのだ。」
Nighthawk lost all hope, and closing his wings began to fall to the ground.	よだかはもうすっかり力を落してしまって、はねを閉じて、地に落ちて行きました。
When his weak legs were just a yard from the ground he suddenly twisted back up into the heavens like a whirlwind.	そしてもう一尺で地面にその弱い足がつくというとき、よだかは俄（にわ）かにのろしのようにそらへとびあがりました。
Upon reaching the high heavens he spun around like an eagle attacking a bear and stood his feathers on end.	そらのなかほどへ来て、よだかはまるで鷲が熊を襲（おそ）うときするように、ぶるっとからだをゆすって毛をさかだてました。
He let out a high, high screech.	それからキシキシキシキシキシッと高く高く叫びました。
His voice was like a hawk’s.	その声はまるで鷹でした。
The other birds asleep in the fields and the forest all woke up and, shaking, looked curiously up into the starry sky.	野原や林にねむっていたほかのとりは、みんな目をさまして、ぶるぶるふるえながら、いぶかしそうにほしぞらを見あげました。
Nighthawk continued on higher and higher, straight up into the sky.	夜だかは、どこまでも、どこまでも、まっすぐに空へのぼって行きました。
The sun on the mountains looked like the glowing end of a cigarette.	もう山焼けの火はたばこの吸殻（すいがら）のくらいにしか見えません。
Nighthawk climbed and climbed.	よだかはのぼってのぼって行きました。
The cold froze his breath upon his breast.	寒さにいきはむねに白く凍（こお）りました。
The air became thinner, causing him to beat his wings faster and faster.	空気がうすくなった為に、はねをそれはそれはせわしくうごかさなければなりませんでした。
Nonetheless, the stars grew no larger.	それだのに、ほしの大きさは、さっきと少しも変りません。
His chest pumped like a bellows.	つくいきはふいごのようです。
The cold and frost pierced him like a sword.	寒さや霜（しも）がまるで剣のようによだかを刺（さ）しました。
His wings grew numb.	よだかははねがすっかりしびれてしまいました。
He opened tear-filled eyes and once again looked up at the heavens.	そしてなみだぐんだ目をあげてもう一ぺんそらを見ました。
And yes,	そうです。
that was the end of him.	これがよだかの最後でした。
He no longer knew if he was falling or climbing, upside down or right side up, or if he was still looking up.	もうよだかは落ちているのか、のぼっているのか、さかさになっているのか、上を向いているのかも、わかりませんでした。
But peace filled his heart, and though his bloody beak was slightly bent to one side, there was a slight smile on it.	ただこころもちはやすらかに、その血のついた大きなくちばしは、横にまがっては居ましたが、たしかに少しわらって居（お）りました。
After a time Nighthawk opened his eyes wide.	それからしばらくたってよだかははっきりまなこをひらきました。
He saw that his body had become a beautiful light, blue like a phosphorous flame, burning silently.	そして自分のからだがいま燐（りん）の火のような青い美しい光になって、しずかに燃えているのを見ました。
Just next to him was Cassiopeia.	すぐとなりは、カシオピア座でした。
From just behind him shined the blue-white light of the Milky Way.	天の川の青じろいひかりが、すぐうしろになっていました。
And Nighthawk’s Star burned on.	そしてよだかの星は燃えつづけました。
It burned on and forever on.	いつまでもいつまでも燃えつづけました。
It continues to burn, even now.	今でもまだ燃えています。
