The Stock-Broker's Clerk	株式仲買店々員
and could hardly find the stamps to answer the advertisements or the envelopes to stick them to.	そして求人広告に応募して手紙を出したくてもその切手もまた切手を貼る封筒もなくなってしまったんです。
I had worn out my boots	私は歩き廻りました。
paddling up office stairs,	靴の底がすり切れるまでほうぼうの事務所の階段を上ったり下ったりしました。
and I seemed just as far from getting a billet as ever.	私はもう前のような職にありつくことは出来ないかと思いました。
``At last	ところがとうとう見つけたんです。
I saw a vacancy at Mawson & Williams's, the great stock-broking firm in Lombard Street.	ロンバルト街の大きな株式仲買店で、モーソン・ウィリアム商会と云う所に欠員を。
I dare say E. C. is not much in your line, but I can tell you that this is about the richest house in London.	そりア、そんなロンドンの中央東部郵便区なんて云う場所は、あなたの趣味には合わないでしょうけれど、しかしその商会はロンドンでも最も金持ちのほうなんです。
The advertisement was to be answered by letter only.	――それは前に、広告を見て手紙を出しといたんですけど、たったそこ一軒だけから返事が来たんです。
I sent in my testimonial and application,	そこで私は証明書と願書とを送りました。
but without the least hope of getting it.	でもその職業に有りつけようなどとは考えてもいなかったんです。
Back came an answer by return, saying that if I would appear next Monday I might take over my new duties at once, provided that my appearance was satisfactory.	――ところが返事が来て、次の月曜日に間違いなく時間までに来てくれれば、その日からすぐに私に仕事につかしてくれると云って来ました。
No one knows how these things are worked.	――どうしてそんな風にして、思いがけなく仕事にありつけたものか、誰にも分かりません。
Some people say that the manager just plunges his hand into the heap and takes the first that comes.	ある人は、たぶんそこの支配人が、山と積まれている願書の中へ手を突っ込んで、最初に手に触れたものを引っ張り出したんだろうと申しています。
Anyhow it was my innings that time,	が、とにかく私の所へ順番があたったんです。
and I don't ever wish to feel better pleased.	私はこんなに嬉しかったことはありません。
The screw was a pound a week rise, and the duties just about the same as at Coxon's.	――給料も一週に一磅（ポンド）のぼりましたし、それでいて仕事はコクソンの店とちょうど同じようなことなんです。
``And now I come to the queer part of the business.	さあ、いよいよ話の本題にやって来ました。
I was in diggings out Hampstead way,	――私はハムステッド町に間借をしてたんです。
17 Potter's Terrace.	ポーター・テラス十七番地です。
Well, I was sitting doing a smoke that very evening after I had been promised the appointment,	――ちょうど、私の勤めがきまった日の夕方、私は煙草を吸いながら腰かけておりました。
when up came my landlady with a card which had `Arthur Pinner, Financial Agent,' printed upon it.	するとそこへ下宿のおかみさんが、『アーサー・ピナー会計代理店』と印刷してある名刺を持って昇って来ました。
I had never heard the name before and could not imagine what he wanted with me,	私はそんな名前を耳にしたことがなかったので、その男が何の用でやって来たのか想像が出来ませんでした。
but of course I asked her to show him up.	けれど無論私は、おかみさんに中へ通すように云いました。
In he walked,	その男は這入って来ました。
a middle-sized dark-haired, dark-eyed, black-bearded man, with a touch of the sheeny about his nose.	――中肉中脊で、髪の毛の濃い、目の黒い、そして黒い髭を生やして、鼻のそばに何か光る筋を持った男でした。
He had a brisk kind of way with him and spoke sharply, like a man who knew the value of time.	彼は時間の尊さを知ってる男であるかのように、はきはきした男で、はっきりどんどん思うことをしゃべるのでした。
```Mr. Hall Pycroft,	「ホール・ピイクロフトさん、
I believe?'	――でいらっしゃいましたね」
said he.	と彼は云いました。
'' `Yes, sir,'	「ええ、そうです」
I answered, pushing a chair towards him.	私はそう答えて、彼のほうに椅子を押しやりました。
```Lately engaged at Coxon & Woodhouse's?'	「最近までコクソン・ウッドハウスの店にいらっしゃいましたか？」
'' `Yes, sir.'	「ええ、おりました」
```And now on the staff of Mawson's.'	「で、ただいまは、モウソンの所に？」
'' `Quite so.'	「そうです」
```Well,'	「ああそうですか」
said he,	と彼は申しました。
`the fact is that I have heard some really extraordinary stories about your financial ability.	「実はあなたの会計的才能につきまして、実に素晴らしいお噂をうかがいましたもので、
You remember Parker, who used to be Coxon's manager.	あなたはコクソンの支配人だったパーカーを御存じですか？
He can never say enough about it.'	――彼が別にあなたのことを云ったと云うわけじゃありませんけど……」
``Of course I was pleased to hear this.	無論私はこの話をきいて喜びました。
I had always been pretty sharp in the office, but I had never dreamed that I was talked about in the City in this fashion.	私は事務所では実際いつも如才なくキビキビと働いてはいましたけれど、しかし世間でこんな風に私の噂をしていようとは夢にも思っていませんでした。
```You have a good memory?'	「あなたは大変記憶がおよろしいんですって？」
said he.	と彼が云いました。
'' `Pretty fair,'	「少しばかり」
I answered modestly.	と、私は慎み深く答えました。
```Have you kept in touch with the market while you have been out of work?'	「職にお離れになってた間も、株のことに関心をお持ちでしたか？」
he asked.	彼はききました。
```Yes.	「ええ、
I read the stock-exchange list every morning.'	毎朝、株式取引の高低表は見ております」
```Now that shows real application!'	「そうだ、それが本当の適不適を示してくれる」
he cried.	と、彼は叫びました。
`That is the way to prosper!	「これが一番いい方法だ。
You won't mind my testing you, will you?	――あなたを試験するようなことをしても気にしないで、
Let me see.	私にやらせて下さい、ね。
How are Ayrshires?'	――アイルシャイアーの株はどのくらいですか？」
```A hundred and six and a quarter to a hundred and five and seven-eighths.'	「百五磅（ポンド）から百五磅（ポンド）四分ノ一まで」
```And New Zealand consolidated?'	「では、ニュウジーランド国庫公債は？」
'' `A hundred and four.'	「百四磅（ポンド）」
```And British Broken Hills?'	「ブリティッシ・ブローラン・ヒルは？」
'' `Seven to seven-and-six.'	「七磅（ポンド）から七磅（ポンド）六まで」
```Wonderful!'	「素適だ！」
he cried with his hands up.	と、彼は両手を振り上げて叫びました。
`This quite fits in with all that I had heard.	「私がきいたのと、すっかりみんな合ってる。
My boy, my boy,	ねえ、ねえ、あなた。
you are very much too good to be a clerk at Mawson's!'	――あなたはモーソンの店の事務員になるなんて勿体なさすぎますよ」
``This outburst rather astonished me,	この叫びはむしろ私を驚かしたんです。
as you can think.	あなたもそうお思いになるでしょう。
`Well,'	「いや、どうも」
said I,	と、私は申しました。
`other people don't think quite so much of me as you seem to do,	「世間の人はあなたが考えるようには、私を買い被ってくれませんよ。
Mr. Pinner.	ピナーさん。
I had a hard enough fight to get this berth, and I am very glad to have it.'	――私はこの地位を得るのにずいぶん苦労したんですから、私はこの職にありつけたのを喜んでおりますよ」
```Pooh, man; you should soar above it.	「馬鹿な、世間の人、こんなものからは超越すべきですね。
You are not in your true sphere.	あなたはあなたの真価に応（ふさわ）しい位置にはいませんよ。
Now, I'll tell you how it stands with me.	――そこで私はあなたに御相談があるんですが、私と一しょに仕事をしていただきたいと思って。
What I have to offer is little enough when measured by your ability, but when compared with Mawson's it's light to dark.	――そりア私があなたについていただきたいと思ってる地位だって、あなたの才能に比しては不充分なものなんですけれど、でもモウソンの所の地位と較べたら、暗（やみ）と光ほどの相違です。
Let me see.	まあ、お話しましょう。
When do you go to Mawson's?'	――あなたはいつ［＃「いつ」は底本では「いつも」］モウソンの所へいらっしゃいますか［＃「いらっしゃいますか」は底本では「いらっやいますか」］？」
```On Monday.'	「月曜日です」
'' `Ha, ha!	「ハッハッ！
I think I would risk a little sporting flutter that you don't go there at all.'	――あなたはあそこへは断じていらっしゃいませんよ。
```Not go to Mawson's'? `	「モウソンの所へいかないって？」
''' No, sir.	「そうですよ。
By that day you will be the business manager of the Franco-Midland Hardware Company, Limited,	――その日までに、あなたはフランス中部鉄器株式会社の営業支配人におなりになるでしょう。
with a hundred and thirty-four branches in the towns and villages of France, not counting one in Brussels and one in San Remo. '	その会社はフランスの町や村に百三十四の支店と、その他に、ブラッセルに一つとサン・レモに一つ支店を持っています」
``This took my breath away.	この話は私を呼吸（いき）づまらせるほど驚かせました。
`I never heard of it.'	「私はそんな会社の話はききませんよ」
said I.	私は申しました。
```Very likely not.	「そりア、話をきこうわけはありません。
It has been kept very quiet,	それは非常に秘密にされたんです。
for the capital was all privately subscribed, and it's too good a thing to let the public into.	なぜなら資本家がみんな匿名だったからですが、しかし公にしたほうがいいんです。
My brother, Harry Pinner, is promoter, and joins the board after allotment as managing director.	――私の兄弟のハリー・ピナーは発企人（ほっきにん）なんですが、選挙の結果、専務取締として評議員に加わっています。
He knew I was in the swim down here and asked me	彼は私がこちらへやって来ることを知ってたものですから、私に申しました。
to pick up a good man cheap.	不遇な才能ある人間を抜擢して来てくれとね。
A young, pushing man with plenty of snap about him.	――元気のいい前途有望な若い人をね。
Parker spoke of you,	――あなたのことはパーカーが話してくれたんです。
and that brought me here to-night.	そして今夜こちらへつれて来てくれた人です。
We can only offer you a beggarly five hundred to start with.'	私たちは初任給として、あなたに五百磅（ポンド）さし上げることが出来るにすぎませんが――」
```Five hundred a year!'	「五百磅（ポンド）、一年に！」
I shouted.	と私は叫びました。
'' `Only that at the beginning;	「それは最初だけの話です。
but you are to have an overriding commission of one per cent on all business done by your agents,	しかしあなたの周旋でされた取引に対してはすべて、一パーセントの過勤割戻しをとることが出来るんです。
and you may take my word for it that this will come to more than your salary.'	そして正直の所、これがあなたの俸給より多くなることは受合いです」
```But I know nothing about hardware.'	「けれど私は鉄器類のことについては何も知りませんよ」
'' `Tut, my boy,	「しようがないな、君は。
you know about figures.'	――形は分かるでしょう」
``My head buzzed, and I could hardly sit still in my chair.	私の頭の中は騒然として、私は静かに椅子に腰かけていられなくなりました。
But suddenly a little chill of doubt came upon me.	けれど、ふとかすかな疑いが、私におこりました。
```I must be frank with you,'	「ざっくばらんに申上げますが……」
said I.	と私は云いました。
`Mawson only gives me two hundred,	「モウソンは私に二百磅（ポンド）くれるだけです。
but Mawson is safe.	けれどモウソンのほうは確かなんです。
Now, really, I know so little about your company that -- '	が、真実の所、私はあなたの会社についてはほとんど知らないのですからね、――」
```Ah, smart, smart!'	「ああ、あなたは実にきびきびしている！」
he cried in a kind of ecstasy of delight.	と、彼は喜びで夢中になっているような調子で叫びました。
`You are the very man for us.	「あなたは私たちがほしいと思ってた通りの方です。
You are not to be talked over, and quite right, too.	それ以上おっしゃらなくても、ちゃんと分かっています。
Now, here's a note for a hundred pounds,	さあ、ここに百磅（ポンド）の小切手があります。
and if you think that we can do business you may just slip it into your pocket as an advance upon your salary.'	――もしあなたが私達の仕事をしようとお思いになったら、これを給料の前渡し分としてお納めになって下さい」
```That is very handsome,'	「分かりました。
said I.	私は申しました。
`When should I take over my new duties?'	「で、いつから私は仕事にかかったらいいんでしょう？」
```Be in Birmingham to-morrow at one,'	「すぐに明日、バーミングハムへいってもらいたいんです」
said he.	と、彼は云いました。
`I have a note in my pocket here which you will take to my brother.	「ポケットの中へ、私は手紙を持って来てますから、それを私の兄弟の所へ持って行って下さい。
You will find him at 126B Corporation Street,	コーポレーション街一二六番地ですから、分かります。
where the temporary offices of the company are situated.	そこに会社の仮事務所があるんです。
Of course he must confirm your engagement, but between ourselves it will be all right.'	――もちろん、あなたとのお約束は彼が確実に取きめてくれるでしょうが、しかし私たちの間にはちゃんと話がしてあるんですから……」
```Really, I hardly know how to express my gratitude,	「本当に、私は、あなたにどう云ってお礼を申上げたらいいか分かりません。
Mr. Pinner,'	ピナーさん」
said I.	私は申しました。
```Not at all,	「そんなお礼なんかなさることはありませんよ。
You have only got your deserts.	あなたはただあなたが当然受くべきものを受けたにすぎないんですもの。
There are one or two small things	――だが、ちょっとしといていただかなければならない、
-- mere formalities	――単なる形式なんですが、
-- which I must arrange with you.	――つまらないことが一つ二つあるんです。
You have a bit of paper beside you there.	そこへ紙を一枚お出しになって下さいませんか。
Kindly write upon it	そしてすみませんが、
'' I am perfectly willing to act as business manager to the Franco-Midland Hardware Company, Limited, at a minimum salary of 500 pounds. ``'	「最低俸給五百磅（ポンド）にて、フランス中部鉄器株式会社営業支配人として働くことに同意致し候」
``I did as he asked,	私は彼の云う通りにしました。
and he put the paper in his pocket.	そして彼はその紙をポケットの中へしまい込みました。
```There is one other detail,'	「それからもう一つ精（くわ）しくおききしたいのは、あなたはモウソンのほうはどうなさるおつもりですか？」
said he.	彼は云いました。
``I had forgotten all about Mawson's in my joy.	――私はモウソンのことについては、余り喜んだので、すっかり忘れてしまっていたんです。
`I'll write and resign,'	「手紙を書いて、辞職しましょう」
said I.	私は答えました。
``' Precisely what I don't want you to do.	「私がお願いしないことはなさらないように。
I had a row over you with Mawson's manager.	――私はあなたをモウソンの店の支配人として知ったわけです。
I had gone up to ask him about you,	そこで私はモウソンにあなたのことをきいてみました。
and he was very offensive;	すると彼は大変機嫌を悪くして、
accused me of coaxing you away from the service of the firm, and that sort of thing.	――あなたを私が誘惑してあそこの店からつれ出すか、何かそんなことをするのだと云って私を非難しました。
At last I fairly lost my temper.	そんなわけで私はとうとう我慢がしきれなくなってしまったんです。
'' If you want good men you should pay them a good price, ``	「もしあなたが有為な人がほしいなら、もっとたくさん報酬をお払いにならなくてはなりませんよ」
said I.	と私は云っちまったんです。
``''' He would rather have our small price than your big one, ``	すると彼は
said he.	と云うんです。
``''' I'll lay you a fiver, ``	そこで私は
said I,	「あらかじめお断りしておきますが、あの男が私の店へ来るようになっても、あなたはお咎めになさらないでしょうな」
'' that when he has my offer you'll never so much as hear from him again. ``	と云うと
``''' Done! `` said he. '' We picked him out of the gutter, and he won't leave us so easily. ``	「僕はあの男をどぶの中から引き抜いてやったんだから、そんなに容易（たやす）くは僕の店から出て行きあしないよ」
Those were his very words. '	と、こう云う彼の云い草なんですよ」
```The impudent scoundrel!'	「失敬な奴だな」
I cried.	私は叫びました。
`I've never so much as seen him in my life.	「もう生涯あいつん所へは行くものか。
Why should I consider him in any way?	どんな点から云ったって、何故（なにゆえ）私は彼に気兼ねをしなくちゃならないでしょう。
I shall certainly not write	――私は何も云ってやりますまい。
if you would rather I didn't.'	あなたがそうすることに賛成して下さるなら」
```Good!	「賛成！
That's a promise,'	じゃ、お約束しましたよ」
said he, rising from his chair.	彼は椅子から立ち上りながら云いました。
`Well, I'm delighted to have got so good a man for my brother.	「本当に、私は私の兄弟のためにあなたのような有為な人を得られて喜んでいます。
Here's your advance of a hundred pounds,	――これは俸給の前払いの百磅（ポンド）です。
and here is the letter.	それからこれは手紙です。
Make a note of the address,	向うの所番地をお書とめになって下さい。
126B Corporation Street,	コーポレーション街一二六番地。
and remember that one o'clock to-morrow is your appointment.	それから明日の一時までにいらっして下さる［＃「下さる」は底本では「下る」］ことをお忘れにならないように――。
Good-night,	じゃおいとまします。
and may you have all the fortune that you deserve!'	万事うまくおやりになるように」
``That's just about all that passed between us,	これがその時、私たちの間に起きたことの、ほとんどそのままなんです。
as near as I can remember.	私はごく最近のことなんではっきり覚えているんです。
You can imagine, Dr. Watson, how pleased I was at such an extraordinary bit of good fortune.	――ワトソンさん、私がその素敵な幸運に出会って、どんなに喜んだかは、想像していただけるでしょう。
I sat up half the night hugging myself over it,	私はその夜嬉しく夜中すぎまで起きてました。
and next day I was off to Birmingham in a train that would take me in plenty time for my appointment.	そしてその翌日、私は約束の時間に充分間に合うような汽車に乗ってバーミングハムへ出かけて行きました。
I took my things to a hotel in New Street, and then I made my way to the address which had been given me.	私はひとまず新開通りにあるホテルに荷物を届けて、それから指定通りの所番地へ出かけました。
``It was a quarter of an hour before my time, but I thought that would make no difference,	私はそこへ約束の時間より十五分前に着いたんですが、前の晩にきいたことに何の間違いもないと思いました。
126B was a passage between two large shops, which led to a winding stone stair, from which there were many flats, let as offices to companies or professional men.	一二六番地と云うのは大きな二軒の商店の間にある出入口で、曲りくねって石の階段がありましたが、そこから何階もある各階の、会社や商人の事務所へ行けるらしいのでした。
