A DOG OF FLANDERS	フランダースの犬
but that had been in its infancy, half a century or more earlier,	しかし、それは、まだ風車小屋ができた頃の話で、もう半世紀以上も前のことでした。
when it had ground wheat for the soldiers of Napoleon;	当時は、この小屋はナポレオン将軍の兵士のために小麦を挽いていたのでした。
and it was now a ruddy brown,	今や、風車小屋は赤茶色でした。
tanned by wind and weather.	長年の風や日射しで色あせてしまったのです。
It went queerly by fits and starts,	風車は、時々奇妙な具合に動きました。
as though rheumatic and stiff in the joints from age;	それは、まるで年取って痛風や関節炎になったみたいでした。
but it served the whole neighborhood,	けれども、近隣一帯の人たちはみな、この風車小屋で小麦を挽いていました。
which would have thought it almost as impious to carry grain elsewhere as to attend any other religious service than the mass that was performed at the altar of the little old gray church,	きっと、よそに小麦を持っていくことは、村の小さな灰色の教会で行われるミサに行かず、よその教会のミサに行くのとほとんど同じくらいに不信心なことであると村人たちは考えていたに違いありません。
with its conical steeple, which stood opposite to it,	その教会は、丸いとがった尖塔があって、風車小屋の反対側に建っていました。
and whose single bell rang morning, noon, and night with that strange, subdued, hollow sadness which every bell that hangs in the Low Countries seems to gain as an integral part of its melody.	教会の一つしかない鐘が、この地方一帯の鐘に共通した、奇妙に沈んだ、うつろな悲しい響きを響かせながら、朝昼晩に鳴らされました。
Within sound of the little melancholy clock almost from their birth upward, they had dwelt together, Nello and Patrasche,	ネロとパトラッシュは、ほとんどの生涯を、時を告げるもの悲しい鐘の音が聞こえる場所で一緒に暮らしていました。
in the little hut on the edge of the village, with the cathedral spire of Antwerp rising in the northeast, beyond the great green plain of seeding grass and spreading corn that stretched away from them like a tideless, changeless sea.	二人が住んだ村のはずれの小屋の北側にはアントワープの大聖堂の尖塔がそびえ、小屋との間には、どこまでも続く緑の草原ととうもろこし畑とが、まるで満ち引きすることのない海のように広がっていました。
It was the hut of a very old man, of a very poor man	そこは、とても年をとったまずしい老人の小屋でした。
--of old Jehan Daas, who in his time had been a soldier,	ジェハン・ダースは、若い頃は兵士でした。
and who remembered the wars that had trampled the country as oxen tread down the furrows,	ジェハンじいさんは、牛が畑のあぜを掘り返すように国土を蹂躙（じゅうりん）した戦争のことを憶えていました。
and who had brought from his service nothing except a wound, which had made him a cripple.	老人は、兵士として祖国に奉仕しましたが、奉仕で得たものは、老人をびっこにした傷だけでした。
When old Jehan Daas had reached his full eighty, his daughter had died in the Ardennes, hard by Stavelot, and had left him in legacy her two-year-old son.	年老いたジェハン・ダースが八十歳になったとき、娘がアルデンヌ地方のスタヴロ近くで亡くなり、形見に二歳になる孫が残されました。
The old man could ill contrive to support himself,	ジェハンじいさんは自分一人で食べていくことすらままならない状態でした。
but he took up the additional burden uncomplainingly,	けれども、ジェハンじいさんはぐち一つこぼさずにその重荷を引き受けました。
and it soon became welcome and precious to him.	そして、孫はすぐにジェハンじいさんにとって歓迎すべき、かけがえのない存在になりました。
Little Nello, which was but a pet diminutive for Nicolas, throve with him,	小さなネロは、ジェハンじいさんと一緒に成長しました。
and the old man and the little child lived in the poor little hut contentedly.	老人と子供は、貧しい小さな小屋で、満ち足りた日々を過ごしていました。
It was a very humble little mud hut indeed,	その小屋は、実際とても粗末で小さく、泥でできていました。
but it was clean and white as a sea-shell, and stood in a small plot of garden ground that yielded beans and herbs and pumpkins.	けれども、きちんと整頓され、貝殻のように真っ白で、豆とハーブとカボチャが植えられた小さな菜園がありました。
They were very poor, terribly poor;	二人は、本当にひどく貧しかったのでした。
many a day they had nothing at all to eat.	まったく食べるものがない日もたくさんありました。
They never by any chance had enough;	満腹するまで食べる機会など、決してありませんでした。
to have had enough to eat would have been to have reached paradise at once.	満腹するまで食べられるだけで、天にも昇るような心地になったことでしょう。
But the old man was very gentle and good to the boy,	けれども、老人は非常に穏やかで、少年に優しくしました。
and the boy was a beautiful, innocent, truthful, tender-natured creature;	そして、少年はかわいく、純真で、正直で、優しい性格の子でした。
and they were happy on a crust and a few leaves of cabbage,	彼らはパンのかけらと数枚のキャベツの葉っぱだけで幸せでした。
and asked no more of earth or heaven	そして、天にかけても地にかけても、それ以上のものを求めませんでした。
--save indeed that Patrasche should be always with them,	パトラッシュがいつも一緒にいてくれることを除いて。
since without Patrasche where would they have been?	パトラッシュなしでどこに安住できるのでしょうか？
For Patrasche was their alpha and omega;	二人にとって、パトラッシュは、すべてでした。
their treasury and granary;	二人の宝庫であり、穀倉。
their store of gold and wand of wealth;	二人の黄金の店であり、富の杖。
their bread-winner and minister;	二人のパンーーかせぎ手であり、召使い。
their only friend and comforter.	二人の唯一の友だちであり、慰め。
Patrasche dead or gone from them, they must have laid themselves down and died likewise.	パトラッシュが死ぬか、二人からとりあげられてしまうと、二人とも倒れて死んでしまったにちがいありません。
Patrasche was body, brains, hands, head, and feet to both of them;	パトラッシュは、二人にとって、胴体であり、頭であり、手足でした。
Patrasche was their very life, their very soul.	パトラッシュは、二人にとって人生であり、魂でした。
For Jehan Daas was old and a cripple, and Nello was but a child;	というのは、ジェハン　ダースは老人でびっこで、ネロはほんの子どもに過ぎなかったからです。
and Patrasche was their dog.	そして、パトラッシュは彼らの飼い犬でした。
A dog of Flanders--yellow of hide, large of head and limb, with wolf-like ears that stood erect, and legs bowed and feet widened in the muscular development wrought in his breed by many generations of hard service.	フランダースの犬は、皮は黄色で、頭と手足は大きく、まっすぐに立ったおおかみのような耳をして、足は曲がり、何世代にもわたる厳しい労働によって発達した筋肉を持っていました。
Patrasche came of a race which had toiled hard and cruelly from sire to son in Flanders many a century	パトラッシュは、フランダース地方で何世紀にもわたって先祖代々酷使される種族の子孫でした。
--slaves of slaves, dogs of the people, beasts of the shafts and the harness,	奴隷の中の奴隷であり、人々にこき使われる犬畜生であり、荷車を引くのに使われる獣でした。
creatures that lived straining their sinews in the gall of the cart, and died breaking their hearts on the flints of the streets.	彼らは、荷車の苦々しさに筋肉を痛め、道の敷石で心臓が破裂して死んでいったのでした。
Patrasche had been born of parents who had labored hard all their days over the sharp-set stones of the various cities and the long, shadowless, weary roads of the two Flanders and of Brabant.	パトラッシュの両親は、東西フランダース・ブラバントの、あちこちの町のするどいとがった敷石と、長く、日陰のない、うんざりするような道を、一生働きに働き通したのでした。
He had been born to no other heritage than those of pain and of toil.	パトラッシュが両親から受け継いだものと言えば、同じような苦しみと重労働だけでした。
He had been fed on curses and baptized with blows.	パトラッシュは、悪態を食べ、殴打で洗礼を受けました。
Why not?	なぜそれがいけないのでしょう？
It was a Christian country,	ここは文明国、キリスト教国です。
and Patrasche was but a dog.	そして、パトラッシュは犬に過ぎません。
Before he was fully grown he had known the bitter gall of the cart and the collar.	パトラッシュは大人になる前に、荷車と首輪のにがさを味わっていました。
Before he had entered his thirteenth month he had become the property of a hardware dealer, who was accustomed to wander over the land north and south, from the blue sea to the green mountains.	生後１３か月も経たないうちに、パトラッシュは、北の果てから南の果てまで、青い海から緑の山まで行商するのに慣れていた金物の行商人の持ち物になりました。
They sold him for a small price, because he was so young.	パトラッシュはまだ小さかったので、安い値段で売られました。
This man was a drunkard and a brute.	この行商人は、大酒飲みで獣のような人間でした。
The life of Patrasche was a life of hell.	パトラッシュの生活は、地獄の生活でした。
To deal the tortures of hell on the animal creation is a way which the Christians have of showing their belief in it.	まるで動物に対して地獄の拷問を行うことが「地獄は本当にある」という自分の信仰を示す方法であるかのように思っている人々がいます。
His purchaser was a sullen, ill-living, brutal Brabantois, who heaped his cart full with pots and pans and flagons and buckets, and other wares of crockery and brass and tin, and left Patrasche to draw the load as best he might,	パトラッシュの買い手は、陰気で、邪悪で、残忍なブラバント生まれの男で、荷車につぼ・なべ・びん・ばけつやいろいろな瀬戸物や金属類をいっぱいに積んで、パトラッシュひとりに力の限り荷物を引かせていました。
while he himself lounged idly by the side in fat and sluggish ease, smoking his black pipe and stopping at every wineshop or cafe on the road.	その間、男はといえば、太った体でのんびりとパイプをふかしながらのろのろと荷車のそばを歩き、街道沿いにある酒屋や茶屋を通り過ぎるたびにきまって腰をおろすのでした。
Happily for Patrasche, or unhappily, he was very strong;	幸か不幸か、パトラッシュはとても丈夫だったのです。
he came of an iron race,	パトラッシュは、鉄の種族の生まれでした。
long born and bred to such cruel travail;	その種族は、情け容赦のない労苦に従事するために長年繁殖させられたものでした。
so that he did not die, but managed to drag on a wretched existence under the brutal burdens, the scarifying lashes, the hunger, the thirst, the blows, the curses, and the exhaustion	そういうわけでパトラッシュはひどい重荷を負わされ、むちうたれ、飢えと渇きに苦しめられ、なぐられ、ののしられて、すっかり疲れ切ってしまっても、何とかみじめに生き長らえることができたのでした。
which are the only wages with which the Flemings repay the most patient and laborious of all their four-footed victims.	こうした苦しみが、もっとも忍耐強く、よく働く四つ足の犠牲者に対してフランダースの人間が与える唯一の報酬でした。
One day, after two years of this long and deadly agony, Patrasche was going on as usual along one of the straight, dusty, unlovely roads that lead to the city of Rubens.	この長くて死にそうな苦しみを味わって二年経ったある日のこと、パトラッシュはルーベンスの住んだアントワープに通じるまっすぐな、埃っぽい、不快な道をいつも通り進んでいました。
It was full midsummer, and very warm.	真夏で、とても暑い日でした。
His cart was very heavy, piled high with goods in metal and in earthenware.	荷車はとても重く、金物や、せとものの商品がうず高く積まれていました。
His owner sauntered on without noticing him otherwise than by the crack of the whip as it curled round his quivering loins.	パトラッシュの持ち主は、ときどきパトラッシュの腰に鞭をぴしっと打つ以外は、パトラッシュのことなど気にもとめずにぶらぶらと歩いていました。
The Brabantois had paused to drink beer himself at every wayside house,	このブラバント生まれの男は、道ばたで居酒屋をみつけるたびにビールを飲むために立ち寄りました。
but he had forbidden Patrasche to stop a moment for a draught from the canal.	けれども、パトラッシュが運河で水を一口飲むために一瞬でも立ち止まるようなことは、許したりはしませんでした。
Going along thus, in the full sun, on a scorching highway,	パトラッシュは、こんな状態で、かんかんでりの中、焼けるような街道を歩いていきました。
having eaten nothing for twenty-four hours, and, which was far worse to him, not having tasted water for near twelve,	パトラッシュは二十四時間何も食べず、もっと悪いことには、十二時間近くも水も飲んでいなかったのでした。
being blind with dust, sore with blows, and stupefied with the merciless weight which dragged upon his loins, Patrasche staggered and foamed a little at the mouth, and fell.	ほこりで目がくらみ、むち打たれた傷は痛み、情け容赦のない重荷に感覚がなくなり、パトラッシュはよろめいて口から少しあわをふいて倒れました。
He fell in the middle of the white, dusty road, in the full glare of the sun;	パトラッシュが倒れたのは、日差しの強烈なまぶしい光を浴びた、白い、埃っぽい道の真ん中でした。
he was sick unto death, and motionless.	パトラッシュは病気で死にそうになり、動かなくなりました。
His master gave him the only medicine in his pharmacy	彼の主人は彼が持っていたただ一つの薬を与えました
--kicks and oaths and blows with a cudgel of oak,	ーーそれは、パトラッシュを蹴り、ののしり、そして、樫の木の棍棒でなぐることでした。
which had been often the only food and drink, the only wage and reward, ever offered to him.	これらは、これまでもしばしばパトラッシュに提供されるただ一つの食べ物であり、報酬でもあったのです。
But Patrasche was beyond the reach of any torture or of any curses.	しかし、パトラッシュはどんな拷問も悪態も、手の届かないところにいました。
Patrasche lay, dead to all appearances, down in the white powder of the summer dust.	夏の白いほこりの中で、パトラッシュはどう見ても、死んだように横たわっていました。
After a while, finding it useless to assail his ribs with punishment and his ears with maledictions, the Brabantois--deeming life gone in him, or going, so nearly that his carcass was forever useless, unless, indeed, some one should strip it of the skin for gloves	しばらくして、いくら肋骨をけとばしても、いくら耳元でどなりつけても役に立たないと分かり、このブラバンド生まれの男は、パトラッシュが死んでしまったか、死にかけていて、誰か死体の皮を剥いで手袋を作らない限りはもう役に立たない、と思いました。
--cursed him fiercely in farewell, struck off the leathern bands of the harness, kicked his body aside into the grass,	そこで、別れのはなむけにはげしくののしり、引き具の皮ひもをとりはずし、パトラッシュの体を道路の脇の草むらまでけとばしました。
and, groaning and muttering in savage wrath, pushed the cart lazily along the road uphill,	それから激しく怒り、ぶつぶつと不平をこぼしながら、上り坂をのろのろと荷車を押していきました。
and left the dying dog for the ants to sting and for the crows to pick.	このように死にかけた犬は置き去りにして、ありがかんだり、カラスがつついたりするのに任せておきました。
It was the last day before kermess away at Louvain,	翌日は、ルヴァンの町で祭りの市が開かれる日でした。
and the Brabantois was in haste to reach the fair and get a good place for his truck of brass wares.	だから、ブラバンド生まれの男は、早く市のたつ場所にかけつけて、金物の商品をつんだ自分の荷車に、いい場所を確保しようと躍起になっていました。
He was in fierce wrath,	彼は激しく怒りました。
because Patrasche had been a strong and much-enduring animal, and because he himself had now the hard task of pushing his /charette/ all the way to Louvain.	というのは、パトラッシュは今まで頑丈で辛抱強い動物だったのに、今度はルヴァンまでの遠い道のりを重い荷車を引いていくというきつい仕事を自分でやらなくてはならなくなったからです。
But to stay to look after Patrasche never entered his thoughts;	けれども、パトラッシュの看病をするためにとどまることなど、思いもよらないことでした。
the beast was dying and useless,	獣は死にかけていて役に立ちませんでした。
and he would steal, to replace him, the first large dog that he found wandering alone out of sight of its master.	この行商人は、主人からはぐれた大きな犬を見つけたら、盗んでパトラッシュの替わりにしたでしょう。
Patrasche had cost him nothing, or next to nothing,	彼がパトラッシュに費やしたお金はほとんどないに等しい状態でした。
and for two long, cruel years he had made him toil ceaselessly in his service from sunrise to sunset, through summer and winter, in fair weather and foul.	そして、２年もの長い、残酷な月日を、朝から晩まで、夏も冬も、天気のよい日も悪い日も、絶え間なく酷使し続けたのです。
He had got a fair use and a good profit out of Patrasche;	彼は、パトラッシュを利用するだけ利用しつくし、けっこうな利益をパトラッシュから得ていました。
being human, he was wise, and left the dog to draw his last breath alone in the ditch,	しかし、彼は人間らしくずる賢く、犬が溝で最後の息を引き取るにまかせておきました。
and have his bloodshot eyes plucked out as they might be by the birds, whilst he himself went on his way to beg and to steal, to eat and to drink, to dance and to sing, in the mirth at Louvain.	カラスがパトラッシュの血走った目をえぐりだすかもしれませんが、彼は、ルヴァンで物乞いをしたり盗んだり食べたり飲んだり、踊ったり歌ったり、楽しむために、道を進んでいきました。
A dying dog, a dog of the cart	死にかけた犬、荷車引きの犬
--why should he waste hours over its agonies at peril of losing a handful of copper coins, at peril of a shout of laughter?	ーーなぜそんなものの苦しみに付き合って時間を無駄にし、少しばかりの銅貨を稼ぎそこなったり、笑うような楽しい思いをふいにしなければならない危険をおかさなければならないのでしょうか。
Patrasche lay there, flung in the grass-green ditch.	パトラッシュは、道ばたの草むらが茂るみぞに投げ捨てられたまま、そこで横たわっていました。
It was a busy road that day,	その日は人通りが多い日でした。
and hundreds of people, on foot and on mules, in waggons or in carts, went by, tramping quickly and joyously on to Louvain.	何百人もの人々が歩いたりらばに乗ったり、荷馬車や荷車に乗ったりしてルヴァンに向かって急ぎ足で陽気に通り過ぎていました。
Some saw him;	何人かはパトラッシュを見ました。
most did not even look;	ほとんどの人は、見向きさえしませんでした。
all passed on.	皆、通り過ぎていきました。
A dead dog more or less--it was nothing in Brabant;	死んだも同然の犬ーーそれは、ベルギー人にとって無価値でした。
it would be nothing anywhere in the world.	いや、世界中のどこだって、何の価値もなかったでしょう。
After a time, among the holiday-makers, there came a little old man	しばらくして、休暇中の人々に混ざって、小柄の老人がやってきました。
who was bent and lame, and very feeble.	その老人は、腰が曲がり、足が不自由で、とても弱々しそうでした。
He was in no guise for feasting; he was very poorly and miserably clad,	彼はとてもまずしく、みすぼらしい服を着ていて、とても祭りに行くような格好ではありませんでした。
and he dragged his silent way slowly through the dust among the pleasure-seekers.	そして、彼は祭りを楽しもうとしている人たちの群れでほこりが立っている中を、とぼとぼとゆっくりと歩いていきます。
He looked at Patrasche, paused, wondered, turned aside, then kneeled down in the rank grass and weeds of the ditch, and surveyed the dog with kindly eyes of pity.	老人は、パトラッシュを見て立ち止まり、不思議に思って脇により、溝の草むらにうずくまって、同情のこもった優しい目で犬を調べました。
There was with him a little rosy, fair-haired, dark-eyed child of a few years old,	二、三歳くらいの、少しバラ色で金髪の、黒目をした子どもが老人と一緒にいました。
who pattered in amid the bushes, that were for him breast-high, and stood gazing with a pretty seriousness upon the poor, great, quiet beast.	子どもは、胸の高さもある草むらの中をぱたぱたと走って、このかわいそうな、大きな、じっとしている動物を、立ったまま、かわいらしくまじめにじっと見つめました。
Thus it was that these two first met--the little Nello and the big Patrasche.	彼ら二人ーー小さいネロと大きいパトラッシューーはこのようにして出会ったのでした。
The upshot of that day was, that old Jehan Daas, with much laborious effort, drew the sufferer homeward to his own little hut,	その日の結末はというと、年老いたジェハンじいさんは、大層骨を折って苦しんでいるパトラッシュをジェハンじいさんが住んでいる小さな小屋に引きずっていったのでした。
which was a stone's throw off amidst the fields;	その小屋は、パトラッシュが倒れていた場所から、石を投げれば届くような、ごく近いところにありました。
and there tended him with so much care that the sickness,	そこでパトラッシュはじゅうぶんに介抱されました。
which had been a brain seizure brought on by heat and thirst and exhaustion, with time and shade and rest passed away, and health and strength returned,	病気は、熱と渇きと疲れによる脳発作でしたから日陰で時間をかけてゆっくりと休むと、健康と力が戻ってきました。
and Patrasche staggered up again upon his four stout, tawny legs.	そして、パトラッシュは、四本の丈夫な黄褐色の足で、再びよろめきながらも立ち上がることができるようになったのでした。
Now for many weeks he had been useless, powerless, sore, near to death;	何週間もパトラッシュは使い物にならず、無力で、体中が痛み、ほとんど死にかけていました。
but all this time he had heard no rough word, had felt no harsh touch,	けれども、この間、パトラッシュは粗いことばを耳にしませんでしたし、残酷にぶたれることもありませんでした。
but only the pitying murmurs of the child's voice and the soothing caress of the old man's hand.	そのかわりにただ、同情のこもった子どものつぶやきと、老人のいたわるような愛撫だけを感じたのでした。
In his sickness they two had grown to care for him, this lonely man and the little happy child.	パトラッシュが病気の間、この孤独な男と小さな幸せな子供は、パトラッシュが好きになりました。
He had a corner of the hut, with a heap of dry grass for his bed;	小屋の片隅に干し草を積んで、パトラッシュのベッドにしました。
and they had learned to listen eagerly for his breathing in the dark night, to tell them that he lived;	そして、二人は、パトラッシュが生きているかどうか確かめるために、暗闇の中でパトラッシュの息づかいに聞き耳をたてるようになりました。
and when he first was well enough to essay a loud, hollow, broken bay, they laughed aloud, and almost wept together for joy at such a sign of his sure restoration;	そして、パトラッシュがはじめて大きな、うつろな切れ切れの鳴き声をたてた時、パトラッシュが回復したという確かなしるしに、二人は声をたてて笑い、一緒に喜んで、ほとんど泣き出しそうになりました。
and little Nello, in delighted glee, hung round his rugged neck chains of marguerites, and kissed him with fresh and ruddy lips.	そして、小さなネロは、喜びのあまり、マーガレットの花輪をパトラッシュの頑丈な首にかけて、新鮮な赤い唇で彼にキスしました。
So then, when Patrasche arose, himself again, strong, big, gaunt, powerful, his great wistful eyes had a gentle astonishment in them	それから、パトラッシュがたくましい、大きな、やせた、力のある犬として再び立ち上がったとき、大きな熱心な目は、穏やかな驚きに満たされました。
that there were no curses to rouse him and no blows to drive him;	なぜなら、二人は、パトラッシュをののしって駆り立てたり、ぶって歩かせたりはしなかったからです。
and his heart awakened to a mighty love,	パトラッシュの心に強い愛が芽生えました。
which never wavered once in its fidelity while life abode with him.	そして、この忠実な愛は、パトラッシュの命ある限り、決して揺らぐことがありませんでした。
But Patrasche, being a dog, was grateful.	しかし、パトラッシュは、犬らしく、恩の心も忘れませんでした。
Patrasche lay pondering long with grave, tender, musing brown eyes, watching the movements of his friends.	パトラッシュは横たわり、まじめな、優しい、茶色い目で友人たちの動きを見つめながら、じっと物思いにふけっていました。
Now, the old soldier, Jehan Daas, could do nothing for his living but limp about a little with a small cart, with which he carried daily the milk-cans of those happier neighbours who owned cattle away into the town of Antwerp.	年をとった元兵士のダースじいさんが生計を立てるための仕事といえば、今や毎日小さな荷車でミルクをアントワープの町まで足を引きずりながら運ぶこと以外ありませんでした。
The villagers gave him the employment a little out of charity;	村人たちは、ジェハンじいさんに同情してちょっとした仕事を彼に与えたのでした。
more because it suited them well to send their milk into the town by so honest a carrier, and bide at home themselves to look after their gardens, their cows, their poultry, or their little fields.	もう一つ、とても正直な運び手に町までミルクを運んでもらって、その間自分たちは家にいて、牛やアヒルの世話をしたり、庭や小さい田畑の仕事をする方が好都合だった、というのがもっと大きな理由でした。
But it was becoming hard work for the old man.	しかし、この仕事は、老人にとっては大変骨の折れる仕事になってきました。
He was eighty-three,	彼は八十三歳でした。
and Antwerp was a good league off, or more.	そして、アントワープまでは五キロか、もっとありました。
Patrasche watched the milk-cans come and go that one day when he had got well and was lying in the sun with the wreath of marguerites round his tawny neck.	パトラッシュが回復して、マーガレットの花輪を黄褐色の首にかけられて日なたぼっこしていたある日のこと、パトラッシュはミルクの缶を積んだ荷車が家を出て行って、帰ってくるのを見つけました。
The next morning, Patrasche, before the old man had touched the cart, arose and walked to it and placed himself betwixt its handles,	翌朝、老人が荷車に触れる前に、パトラッシュは起きて、荷車に歩いて行って、ハンドルの間に自分の体を置きました。
and testified as plainly as dumb-show could do his desire and his ability to work in return for the bread of charity that he had eaten.	こうすることで、食べさせてくれたお返しに働かせてほしい、それに自分には働く能力もある、とはっきりと訴えたのでした。
Jehan Daas resisted long,	ジェハンじいさんは、ずいぶんと抵抗しました。
for the old man was one of those who thought it a foul shame to bind dogs to labor for which Nature never formed them.	というのは、老人は、犬に労働させるのは犬の本性に反していて、恥ずべき行為だ、と考えていたからです。
But Patrasche would not be gainsaid;	しかし、パトラッシュはあきらめませんでした。
finding they did not harness him, he tried to draw the cart onward with his teeth.	引き具をつけてくれないとわかると、パトラッシュは歯でかじって荷車を前に引っ張ろうとしました。
At length Jehan Daas gave way,	ついに、ジェハンじいさんは根負けしました。
vanquished by the persistence and the gratitude of this creature whom he had succored.	彼が助けたこの動物の一徹さと感謝に降参したのです。
He fashioned his cart so that Patrasche could run in it,	ジェハンじいさんは、パトラッシュが引っ張れるように荷車を改造しました。
and this he did every morning of his life thenceforward.	その日以降一生の間、毎日荷車を引っ張ることがパトラッシュの仕事となりました。
When the winter came, Jehan Daas thanked the blessed fortune that had brought him to the dying dog in the ditch that fair-day of Louvain;	冬が来たとき、ジェハンじいさんは、ルヴァンの祭りの時に溝で死にかけていた犬を、自分の小屋に連れ帰ってきた幸運に感謝しました。
through the deep ruts in the mud if it had not been for the strength and the industry of the animal he had befriended.	というのは、老人はとても年をとっていて、年を経る毎に弱っていったので、老人が助けたこの動物の力とがんばりがなかったら、雪と泥の中の深いわだちの中で、どのようにすればミルク缶の荷物を引っ張ることができるか、きっと途方に暮れていたに違いなかったからです。
As for Patrasche, it seemed heaven to him.	パトラッシュの方はと言えば、天国のようなものでした。
After the frightful burdens that his old master had compelled him to strain under, at the call of the whip at every step, it seemed nothing to him but amusement to step out with this little light, green cart, with its bright brass cans, by the side of the gentle old man who always paid him with a tender caress and with a kindly word.	前の主人は、それこそ一歩ごとに鞭をつかってパトラッシュに無理矢理恐るべき重荷を引っ張らせましたが、そのような経験した後で、いつもパトラッシュを優しく撫で、優しいことばをかけてくれる穏やかな老人と一緒に真ちゅうの缶を積んだこの小さな軽い緑の荷車で出かけることは、パトラッシュにとっては、お遊びのようなものでした。
Besides, his work was over by three or four in the day, and after that time he was free to do as he would	その上、仕事は３時か４時には終わり、その後、パトラッシュは自分のやりたいように過ごせたのです。
--to stretch himself, to sleep in the sun, to wander in the fields, to romp with the young child, or to play with his fellow-dogs.	のびをしたり、日なたで眠ったり、野原をぶらついたり、ネロといっしょに飛び回ったり、仲間の犬と遊んだり、何でもすることができました。
Patrasche was very happy.	パトラッシュは、とても幸せでした。
Fortunately for his peace, his former owner was killed in a drunken brawl at the kermess of Mechlin,	パトラッシュにとって幸いなことに、元の主人は、メクレンの祭りの市で大酒を飲んで暴れ、死んでしまいました。
and so sought not after him nor disturbed him in his new and well-loved home.	だから、元の主人が新しい、愛情に満ちた家にパトラッシュを追いかけてきたり、じゃまをしたりする心配はなかったのです。
A few years later, old Jehan Daas, who had always been a cripple,	年とったジェハンじいさんは、いつもびっこを引いていました。
became so paralyzed with rheumatism that it was impossible for him to go out with the cart any more.	数年経ってひどい痛風で足がほとんど動かなくなってしまい、もうこれ以上荷車につきそって外出することもできなくなってしまいました。
Then little Nello, being now grown to his sixth year of age,	そのとき、ネロは六歳になっていました。
and knowing the town well from having accompanied his grandfather so many times,	ネロは、何度もおじいさんに連れられて一緒に町に行ったことがあるので、町をよく知っていました。
took his place beside the cart,	それで、ネロが代わりに町に荷車をはこぶことになりました。
and sold the milk and received the coins in exchange, and brought them back to their respective owners with a pretty grace and seriousness	町でミルクを売ってその代金を受け取り、今度はそのお金をかわいらしくもけなげに、それぞれの牛の持ち主のところにとどけるのでした。
which charmed all who beheld him.	そうしたネロの様子に、ネロを見る人は皆、魅せられたのでした。
The little Ardennois was a beautiful child,	小さいアルデンネ生まれの少年は、きれいな子供でした。
with dark, grave, tender eyes, and a lovely bloom upon his face, and fair locks that clustered to his throat;	黒目がちの、まじめな、優しい目をして、金髪がふさふさして、肩までのびていました。
and many an artist sketched the group as it went by him	そして、多くの画家が、ネロたちが通り過ぎるとき、その姿をスケッチしました。
--the green cart with the brass flagons of Teniers and Mieris and Van Tal, and the great, tawny-colored, massive dog,	テーニルスやミーリスや、ファン＝ダイク（１７世紀の画家）の絵に出てくるような、真ちゅう製のミルク缶を積んだ緑の荷車と黄褐色の大きな犬。
with his belled harness that chimed cheerily as he went,	引き具には鈴がつけられていて、進むたびにちりんちりんとなったのでした。
and the small figure that ran beside him which had little white feet in great wooden shoes, and a soft, grave, innocent, happy face	そして、そばには、小さい白い足に大きな木ぐつをはいて、柔和で、まじめで、無邪気で、幸せそうな表情を浮かべた小さな少年がいるのでした。
like the little fair children of Rubens.	それは、まるでルーベンスの絵に出てくる、小さい金髪の少年のようでした。
Nello and Patrasche did the work so well and so joyfully together	ネロとパトラッシュはとても立派に、楽しそうに仕事をしました。
