Asking about American Customs	F. アメリカの商慣行を尋ねる
At a Business Meeting	G. ビジネスミーティングで
Going to College	24. 大学へ留学
Checking into the Dorm	A. 入寮
Seeing the Foreign Student Advisor	B. 外国人学生のアドバイザーに会う
Arranging for an English Test	C. 英語の試験を受験する手続きをする
Seeing Your Advisor	D. アドバイザーに会う
At Your Professor's Office	E. 教授のオフィスで
Extending your Stay	F. 滞在許可を延長する
Going Home	25. 帰国
Packing	A. 荷造りをする
Checking out of the Hotel	B. ホテルをチェックアウトする
Getting to the Airport	C. 空港に行く
Checking in	D. チェックイン
Buying Duty Free Items	E. 免税品を買う
Saying Good-by	F. 別れを告げる
Going Through Security	G. 手荷物と身体検査場を通る
Greetings/Leave-Takings	1. 挨拶
Greetings in Daily Life)	（日常の挨拶
Hello. Hi.	やあ（こんにちは）
Good morning.	おはようございます。
Good afternoon.	こんにちは。
Good evening.	こんばんは。
How are you?	ごきげんいかがですか。
Fine, thank you.  How about you?	はい、いいです。あなたは。
How's everything? How's everything going?	うまくいっていますか。
It's good to see you again.	またお会いできてうれしいです。
The First Meeting）	（初対面
How do you do?	どうぞよろしく。
I'm glad to meet you.	お会いできてうれしいです。
It's nice to meet you.	お知合いになれてうれしいです。
The pleasure's mine. It's my pleasure.	こちらこそ。
Leave-Taking）	（別れの挨拶
Well, I have to get going.	ええっと、もう行かなければなりません。
Goodｰby. See you (later).	さようなら。
Hope to see you again.	またお会いしたいです。
It was nice to have met you.	お会いできてよかったです。
Take care.	気を付けて。
Please give my regards to your family. Please say hello to your family for me.	ご家族に宜しく。
A: Good morning.  How are you?	A: おはようございます。ごきげんいかがですか。
B: Fine, thanks.  How about you?	B: はい、いいです。あなたは。
A: Just fine.	A: 元気です。
Introduction	2. 紹介
Mr. Johnson, this is Mr. Hattori.	ジョンソンさん、こちらは服部さんです。
Mr. Hughes, have you met Mr. Yamada?	ヒューズさん、山田さんに会ったことがありますか。
Ms. Jones, let me introduce my friend Mr. Suzuki.	ジョーンズさん、友人の鈴木さんを紹介させてください。
I know him by name, but I don't think we've met.	彼の名前だけは知っています。しかし、まだお会いしたことはないと思います。
I've heard a lot about you.	あなたのことはいろいろうかがっております。
My name is Kenji Kitao.	私の名前は北尾謙治です。
Here's my card.	これが私の名刺です。
Let me give you my card.	名詞を差し上げます。
This is a letter of introduction from Dr. Edwards.	これがエドワードズ博士からの紹介状です。
A: Mary, this is Mr. Nakagawa, my friend from Japan.	A: メアリー、こちらが日本の友人の中川さんです。
This is Mary, my co-worker.	こちらは同僚のメアリーです。
B: It's nice to meet you.	B: お会いできてうれしいです。
C: It's my pleasure.	C: こちらこそ。
Asking for Information	3. 尋ねる
Excuse me.	すみません。
Pardon me.	失礼します。
Could you tell me where the men's room is?	男性用のトイレはどちらでしょうか。
What time is it?	何時でしょうか。
What is the best way to get downtown?	ダウンタウンに行く最もよい方法は何ですか。
I'm looking for a hotel.  Can you tell me how to find one?	ホテルを探しています。どのようにして探せばよいでしょうか。
What time does the pool open?	プールは何時にオープンしますか。
Where can I buy a newspaper?	新聞はどこで買えますか。
When does the next airport bus leave?	次の空港バスはいつ出発しますか。
What is this extra charge here?	この課金は何ですか。
Who should I see about registering for this conference?	この会議に登録することに関して誰と会えばよろしいでしょうか。
How do I get to Fifth and Vessey?	５番街とベッセイ通の交差点へはどのように行けばよいでしょうか。
Thank you.	ありがとうございます。
A: Excuse me.  Could you tell me where the restroom is?	A: すみません。トイレはどちらでしょうか。
B: There's one down the hall on the right.	B: この廊下の先の右側にあります。
A: Thank you.	A: ありがとうございます。
Expressing Appreciation	4. 感謝する
Thanks.	ありがとう。
Thanks a lot.	どうもありがとう。
Thank you.	ありがとうございます。
Thank you very much.	どうもありがとうございます。
Thank you for taking care of that.	お世話をしていただいてありがとうございます。
It was nice of you to pick me up.	車で出迎えありがとうございます。
I really appreciate this.	これを非常に感謝しています。
I appreciate your thoughtfulness.	あなたのご好意に感謝しています。
You're welcome. You're very welcome. Don't mention it.	どういたしまして。
No problem.	問題ありません。
I was happy to do it.	してあげられて幸いでした。
A: Thanks for picking me up.  I really appreciate it.	A: 車で出迎えありがとう。とても感謝しています。
B: No problem.	B: どういたしまして。
Complaining	5. 苦情を言う
Could I get you to move these boxes out of the doorway?	ドアの所の箱をどけていただけませんか。
Would you mind turning the TV down?	テレビのボリュームを下げてくださいませんか。
This steak is cold.	このステーキは冷めています。
I think there's a mistake on this bill.	この勘定書きは間違っていると思います。
Shouldn't the total be $129.54 instead of $139.54?	合計は139ドル54セントではなく、129ドル54セントではないですか。
You've been late for work several times this month.	今月あなたは仕事に数回遅刻しています。
Could you make an effort to be on time in the future?	これからは時間に間に合うように努力できますか。
My room is very hot.	私の部屋は非常に暑いです。
Is there something wrong with the air conditioning?	エアコンが故障しているのではありませんか。
Oh, I'm sorry, I didn't know it was bothering you.	ああ、すみません。
I'm sorry, you're right.	すみません。あなたが正しいです。
I'll take care of it.	それをちゃんとしておきます。
I'll have someone check on it right away.	すぐに誰かにそれを確かめさせます。
A: Would you mind turning your radio down?	A: ラジオのボリュームを下げてくださいませんか。
B: Oh, I'm sorry, I didn't realize that it was bothering you.	B: ああ、すみません。
A: Thank you.	A: ありがとうございます。
Apologizing	6. 謝る
I'm so sorry.	すみません。
I'm really very sorry.	どうもすみません。
I'm sorry to be late. Sorry I'm late.	遅れてすみません。
I really must apologize for not talking to you about this sooner.	これについてもっと早く話さなかったことを心より謝らなければなりません。
Please forgive me.	どうか許してください。
It won't happen again.	それは２度と起こりません。
Did I keep you waiting long?	長くお待たせしましたか。
Is there anything I can do?	私にできることは何かありますか。
I'll pay to have it cleaned.	それの洗濯代金をお支払いします。
That's all right.	いいですよ。
Oh, that's OK.	いいですよ。
No problem.	問題ありません。
Don't worry about it.	心配しないでください。
A: I'm sorry I was late.	A: 遅くなってすみません。
I got a phone call just as I was leaving.	出かける時に電話がかかってきましたので。
B: Oh, that's OK.	B: ああ、いいですよ。
A: Did I keep you waiting long?	A: 長く待たせましたか。
B: No, I was a little late myself.	B: いいえ、私も少し遅れました。
Making Requests	7. 頼む
Give this to the clerk.	これを店員に渡してください。
Please send this fax.	これをファックスで送ってください。
Bring me another copy of this, will you?	これのコピーをもう１枚持ってきてください。
Will you tell me how to use this machine?	この機械の使い方を教えてくださいますか。
Could you bring the bill, please?	勘定書きを持ってきていただけますか。
Do you think you could mail these for me?	これらをポストに投函してくださいますか。
I'd appreciate it if you would retype this letter.	この手紙をもう１度タイプしていただければありがたいのですが。
Would you mind picking up some batteries for me?	電池を私のために買ってきてくださいますか。
A: Please send this fax and charge it to my room.	A: これをファックスで送り、料金は部屋代につけておいてください。
B: OK.	B: 承知しました。
A: And could you let me know if there's a reply?	A: そして、返事があれば知らせていただけますか。
B: Certainly.	B: もちろんです。
Accepting and Agreeing	8. 承諾する、同意する
Accepting Offers and Invitations	申し出や招待を受ける
Thank you.	ありがとうございます。
Yes, please.	はい、よろしく。
That's very kind of you.	どうもご親切にありがとうございます。
I'd appreciate that.	それに感謝します。
That sounds like fun.	それは楽しそうですね。
That sounds good.	それはよさそうですね。
I'd love to go.	喜んで参ります。
Thanks for inviting me.	招待していただいてありがとうございます。
Agreeing to Requests	依頼を引き受ける
Sure.	ええ。
Certainly.	もちろん。
I'd be happy to.	よろこんで。
No, not at all.	いいえ、どういたしまして。
OK.	承知しました。
A: Would you like a cup of coffee?	A: コーヒーをもう１杯いかがですか。
B: Thank you.	B: ありがとうございます。
A: How about some cake?	A: ケーキはいかがですか。
B: That sounds good.	B: いいですね。
Refusing	9. 断わる
No, thank you.	いいえ、けっこうです。
No, that's OK.	いいえ、それでけっこうです。
I'm full.	おなかがいっぱいです。
I'm not a coffee drinker.	コーヒーは飲みません。
That's OK, I can manage.	それでよいのです。
Thanks for inviting me, but I'm afraid I have a meeting that night.	招待していただいてありがとうございます。
I'm afraid I'm tied up right now.	すみませんが、今は非常に忙しいです。
Sorry, but the copier is broken.	すみませんが、コピー機が故障しています。
I can't make copies for you until tomorrow.	明日まではコピーはできません。
Sorry, but I can't make it.	すみませんが行けません。
I already have plans for Friday.	金曜日には他の予定がございます。
A: Could you help me carry these boxes out to the car?	A: これらの箱を車まで運ぶのを手伝ってくださいますか。
B: I'm afraid I'm busy right now.	B: すみませんが、今は忙しいです。
Why don't you ask Jeanne?	ジーンに頼んでは如何ですか。
A: OK.	A: 分かりました。
Giving Feedback and Asking for Clarification	10. 返事をする。確かめる
Uh huh.	はい。
I see.	そうですか。
Pardon me?	ええ？
Excuse me?	すみません。
What did you say?	何とおっしゃいましたか。
What do you mean by "unintentional?"	"unintentional"とはどういう意味ですか。
Sorry, I didn't understand that last part.	すみません。
Do you mean this button here?	ここのボタンのことをですか。
Do you mean on this street right here or the next one?	ここの通りのことですか、次の通りですか。
Is that the grey building or the brown one?	それは灰色のビルですか、茶色のビルですか。
Where did you say I should turn in the form?	この書類をどこに提出するとおっしゃいましたか。
A: Excuse me. Could you tell me where Dunham's Department Store is?	A: すみませんが、ダンハム百貨店はどこですか。
B: Well, you turn left at the next corner...	B: ええっと、次の角を左に曲がって...
A: Do you mean on this corner right here or the next one?	A: ここの角ですか、それとも、次の角ですか。
B: The next one.	B: 次の角です。
Dunham's is on your left in the middle of the block.	ダンハムは左側で、次の通りとのまん中くらいにあります。
A: I see.	A: ああ、そうですか。
Thank you.	ありがとうございます。
On the Plane	1. 機内で
Finding Your Seat）	A. （席を探す
Excuse me, but where's my seat?	すみませんが、私の席はどこですか。
Here's my boarding pass.	これが私の搭乗券です。
Where's seat 15K?	15Kの席はどこですか。
It's the window seat.	窓側の席です。
It's an aisle seat.	通路側の席です。
Use this aisle, please.	この通路からどうぞ。
That way, please.	あちらの通路からどうぞ。
Follow that gentleman, please.	その男性について行ってください。
Is my seat next to that lady's?	私の席はあの婦人の横ですか。
May I put my coat here?	ここにコートを入れてもいいですか。
A: (showing the boarding pass)　Where is my seat?	A: （搭乗券を見せて）　私の席はどこですか。
B: It's over there.	B: あそこですよ。
Use the next aisle, please.	次の通路からどうぞ。
A: Thank you.	A: 承知しました。
Sitting Down）	B. （着席
Excuse me, but I think you're sitting in my seat.	すみませんが、私の席にお座りのようですが。
Here's my boarding pass, and it says 37H.	私の搭乗券には37Hと書かれています。
I think this is my seat. Could I see your boarding pass?	これは私の席と思うのですが、搭乗券を見せて頂けますか。
Can I change to a seat in the non-smoking section, if possible?	もしできれば、禁煙席にかえてもらえますか。
That's my seat.	それが私の席です。
Could I get in?	入れてもらえますか。
Would you mind exchanging seats? I prefer the aisle seat.	通路側の席の方がよいので、代わって頂けませんか。
Could you get me a blanket and a pillow?	毛布と枕を取っていただけますか。
Could you put this in the overhead bin?	これを頭上の荷物棚に入れてくださいますか。
How do I turn on the overhead light?	どのようにすれば頭上のライトがつきますか。
Which channel is the movie on in Japanese?	どのチャンネルで映画の日本語のせりふが聞けますか。
Do you have any Japanese magazines?	日本の雑誌はありますか。
A: Excuse me, but I think this is my seat. Could I see your boarding pass?	A: すみませんが、これは私の席と思うのですが、搭乗券を見せて頂けますか。
B: (looking at the boarding pass) Oh, sorry.	B: （搭乗券を見ながら）　ああすみません。
My seat is H.	私の席はＨです。
A: Could I get in?	A: 入れてもらえますか。
B: Sure, go ahead.	B: ええ、どうぞ。
A: Thank you.	A: どうもすみません。
Taking Off）	C. （離陸
Please take your seat.	座ってください。
Fasten your seat belt, please.	シートベルトをお締めください。
Put your seat back upright, please.	座席を立ててください。
Please put your bag in the overhead bin.	バッグを頭上の荷物棚に入れてください。
Put your tray table up, please.	テーブルを元に戻してください。
Is this all right?	これでよろしいでしょうか。
Sure.　（OK.）	はい。
Shall I put this in the overhead bin?	これを頭上の荷物棚に入れましょうか。
A: Please fasten your seat belt.	A: シートベルトをお締めください。
B: (fastens the seat belt)	B: （シートベルトを締める）
A: Put your seat back up, please.	A: 座席を立ててください。
B: Is this all right?	B: これでよろしいでしょうか。
A: Sure.	A: はい。
Please put your bag under the seat.	バッグを座席の下に入れてください。
Serving drinks）	D. （飲物のサービス
Would you care for a drink?	何かお飲物を召し上がりますか。
Do you have complimentary alcoholic drinks?	アルコールはサービスですか。
What kind of beverages do you have?	どんな飲物がありますか。
We have orange juice, Coke, 7-up, ginger ale, beer, and wine.	オレンジジュース、コーラ、セブンアップ、ジンジャーエール、ビール、ワインがございます。
We charge for alcoholic drinks.	アルコール類は有料になっています。
Do you have any diet drinks?	低カロリーのダイエット飲料はありますか。
I'd like a Scotch and water, please.	スコッチの水割りをお願いします。
Here you are.	はい、どうぞ。
I'd like to have wine.	ワインをいただきます。
That's three dollars.	３ドルです。
A: Would you care for something to drink?	A: 何かお飲物を召しあがりますか。
B: Scotch and water, please.	B: スコッチの水割りをお願いします。
A: Here you are.	A: はい、どうぞ。
B: Thank you.	B: ありがとうございます。
Serving meals）	E. （食事のサービス
Would you like chicken or beef?	チキンかビーフのどちらを召し上がりますか。
Beef, please.	ビーフをください。
What would you like to drink?	お飲物は何になさいますか。
Coffee or tea?	コーヒーか紅茶は如何ですか。
Cream or sugar?	砂糖とクリームは如何ですか。
May I have another cup of tea?	もう１杯紅茶をいただけますか。
Could I have another beer?	もう１本ビールをください。
No, thank you.	けっこうです。
I'm sorry, but I spilled some coffee.	すみません。
I'm still hungry. Do you have a leftover meal?	私はまだおなかがすいていますが、残った食事はございませんか。
A: Would you like chicken or beef?	A: チキンかビーフのどちらを召し上がりますか。
B: Beef, please.	B: ビーフをください。
C: Coffee or tea?	C: コーヒーか紅茶は如何ですか。
B: Coffee, please.	B: コーヒーをください。
C: Cream or sugar?	C: クリームと砂糖は如何ですか。
B: No, thank you.	B: けっこうです。
Duty Free Shopping）	F. （免税サービス
Would you like any duty free items?	免税品はいかがですか。
I'll take two cartons of Seven Star.	セブンスターを２カートンください。
Do you have any Old Parr?	オールドパーはありますか。
How many bottles of whiskey can I take to the States without paying duty?	免税でアメリカへはウイスキーは何本持ち込めますか。
You're allowed only one bottle.	１本のみです。
How much is it?　(How much are they?)	いくらですか。
Do you take traveler's checks?	トラベラーズチェックでお支払いできますか。
Can I pay with yen?	日本円で支払えますか。
Here's 10 dollars.	はい、10ドルです。
Here's your change.	お釣りです。
A: Would you like any duty free items?	A: 免税品は如何ですか。
B: I'd like to have a carton of Kents.	B: ケントを１カートンお願いします。
A: Here you are.	A: はい。
Seven dollars, please.	７ドルです。
B: O.K.	B: はい。
Here's 10 dollars.	１０ドルです。
A: Here's your change.	A: お釣りです。
B: Thank you.	B: どうもありがとう。
Miscellaneous　）	G. （機内の種々のできごと
There's no smoking in the aisle.	通路では禁煙です。
This is not the smoking section.	ここは喫煙席ではありません。
Please refrain from smoking.	タバコはご遠慮ください。
Could you pull the shade down?	窓のシェードを閉めてください。
Could you return to your seat, please?	座席にお戻りください。
The fasten seat belt sign is on.	シートベルトのサインが付きました。
What time does the movie start?	映画はいつ始まりますか。
What's today's movie?	今日の映画は何ですか。
Are we going to arrive on time?	予定通りに着きますか。
How long will this flight be delayed?	どれくらいこの飛行機は遅れますか。
What time do we arrive in San Francisco?	サンフランシスコには何時に着きますか。
We'll arrive at 11:00 local time.	現地時間の11時に着きます。
A: The fasten seat belt sign is on.	A: シートベルトのサインが付きました。
B: (fastening the seat belt)  Are we arriving on time?	B: （シートベルトを締めながら）予定通りに着きますか。
A: Yes, we'll arrive at 11:00 local time.	A: はい、現地時間の11時に着きます。
Problems on the Plane）	H. （機内でのトラブル
I feel sick. I'm not feeling well.	気分が悪いのですが。
What's the problem?	どのように具合いが悪いのですか。
I feel nauseated.	むかむかするのです。
I have a headache.	頭痛がします。
Do you have any aspirin?	アスピリンはありますか。
I don't feel well.	気分が悪いのですが。
It's probably airsickness.	多分乗り物酔いでしょう。
Can I have some medicine for nausea?	乗り物酔いに利く薬をください。
I'll bring you some medicine.	薬をお持ちしましょう。
Excuse me, but do you have medicine for a stomach ache?	すみませんが、腹痛の薬がありますか。
A: I don't feel well.	A: 気分が悪いのですが。
B: What's the matter?	B: どのように具合いが悪いのですか。
A: I feel nauseated.	A: むかむかするのです。
B: It's probably airsickness.	B: 多分、乗り物酔いでしょう。
I'll bring some medicine for you.	薬をお持ちしましょう。
At the Airport	2. 空港で
Changing Planes）	A. （トランジット
Where is the lounge for transit passengers?	トランジット用のラウンジはどちらですか。
Follow that sign, please.	あのサイン通りに行ってください。
You need to go to South Terminal.	南ターミナルに行かなければなりません。
I'm connecting to Northwest Flight 20.	ノースウエスト航空20便に接続するのですが。
Which gate is JAL Flight 102 leaving from?	日本航空102便のゲートはどちらですか。
Gate 53.	53番ゲートです。
You can check it on those monitors.	あのテレビスクリーンで確かめてください。
Go downstairs and take a bus.	階段を降りて、バスに乗ってください。
I've missed my connecting flight. What can I do?	接続便に乗り遅れたのですが、どうすればよいでしょうか。
We'll put you on the next flight.	次の便に席をお取りします。
A: I'm connecting to United Flight 10.	A: ユナイティッド航空10便に乗り継ぎたいのですが。
B: It's at Gate 5.	B: それは5番ゲートです。
Go this way, please.	こちらの方へ行ってください。
A: Thank you.	A: すみません。
Immigration）	B. （入国審査
Your passport, please.	パスポートをお願いします。
Yes, sir (miss).	はい。
You're from Japan?	日本から来られましたね。
What is the purpose of your visit?	訪問の目的は何ですか。
Sightseeing.	観光です。
Are you on business or on vacation?	ビジネスですか、休暇ですか。
How long are you going to stay?	どれくらい滞在しますか。
About one week.	1週間ほどです。
Where are you going to stay in New York?	ニューヨークではどこに宿泊しますか。
At the Sheraton.	シェラトンホテルです。
A: What is the purpose of your visit?	A: 訪問の目的は何ですか。
B: Sightseeing.	B: 観光です。
A: How long are you going to stay?	A: どれくらい滞在しますか。
B: About two weeks.	B: ２週間ほどです。
A: Where are you going to stay in New York?	A: ニューヨークではどこに宿泊しますか。
B: At the Hilton.	B: ヒルトンホテルです。
Picking up Luggage）	C. （荷物の受け取り
Where can I pick up luggage from ANA Flight 1?	全日空１便の荷物はどこですか。
No. 4.	４番テーブルです。
Where can I find it?	それはどこですか。
The one after that one.	あのテーブルの次のです。
May I see your baggage claim ticket?	荷物の預かり証を見せてください。
Are there any baggage carts?	カーとはありますか。
Over there against the wall.	あそこの壁のところです。
Can I take this cart out to the taxi stand?	このカートをタクシースタンドまで持っていってもよいですか。
You have to leave your cart here.	カートはここまでしか使用できません。
A: Where can I pick up luggage from JAL Flight 1?	A: 日本航空１便の荷物はどこですか。
B: No. 3.	B: ３番テーブルです。
A: Can you tell me where that is?	A: それはどこですか。
B: The one after this one.	B: このテーブルの次のです。
At Customs）	D. （税関で
Do you have anything to declare?	申告するものはありますか。
I don't have anything to declare.	申告するものは何もありません。
These are all personal effects.	すべて個人使用のものばかりです。
Do you have any alcohol or cigarettes?	アルコールかタバコをお持ちですか。
No, Ma'am.	いいえ（女性に）。
Do you have any fruit or meat?	フルーツか肉類をお持ちですか。
I have a small gift for my friend.	友人への小さい土産を持っています。
What is the approximate value?	どれくらいの価値のあるものですか。
About $30.	30ドル程度です。
All right. Go ahead.	どうぞ、行ってください。
A: Do you have anything to declare?	A: 申告するものはありますか。
B: No, sir. These are all personal effects.	B: いいえ（男性に）、すべて個人使用のものばかりです。
A: Do you have any alcohol or cigarettes?	A: アルコールかタバコをお持ちですか。
B: No, sir.	B: いいえ。
At the Money Exchange）	E. （両替所にて
Is there a money changer around here?	この辺に両替所はありますか。
I'd like to change Japanese yen into dollars, please.	円をドルに替えたいのですが。
How much would you like to change?	いくら替えたいのですか。
What's the exchange rate today?	今日の為替レートはいくらですか。
What's the exchange rate for yen?	円の為替レートはいくらですか。
One dollar is 130 yen.	１ドル130円です。
One yen is .00769 dollars.	１円が.00769ドルです。
That's good.	結構です。
Could you include some small change?	小銭も混ぜていただけますか。
Please sign here.	ここにサインしてください。
A: I'd like to change Japanese yen into dollars, please.	A: 円をドルに替えたいのですが。
B: Sure.	B: はい。
How much?	いくらですか。
A: Fifty thousand yen.	A: ５万円です。
What's the exchange rate?	為替レートはいくらですか。
B: One dollar is 130 yen.	B: １ドル130円です。
A: That's good.	A: 結構です。
Meeting Someone at the Airport	F. 出迎え
I'm Ms. Matsumura.	私は松村です。（女性の場合）
I believe you're waiting for me.	私を待っていてくださったのですか。
Excuse me, are you Mr. Matsumura?	すみませんが、松村さんですか。（男性の場合）
I'm Ms. Donaldson's assistant.	私はドナルドソンさんの助手の者です。
I'm glad to meet you, Ms. Royce.	ロイスさん、おめにかかれて嬉しいです。
It's a pleasure to meet you, Ms. Royce.	ロイスさんお会いできて嬉しいです。
It's my pleasure.	こちらこそ。
Please call me Linda.	リンダと呼んでください。
Can I carry your suitcase?	スーツケースをお持ちしましょうか。
Is there something I can carry?	何か持つものはありますか。
No, that's OK, I've got it.	いいえ、結構です。すべて持っていますから。
Would you mind carrying this one?	これを持っていただけますか。
A: Excuse me, are you Ms. Murakami?	A: すみませんが、村上さんですか。
B: Yes, I am.	B: はい、そうです。
A: My name is Jenny Todd.	A: 私はジェニー・トッドです。
