The Resident Patient	入院患者
On my remarking that I was constantly in the habit of doing the same thing you expressed incredulity.''	――僕に云わせれば、僕は君が怪しいと疑っているような癖がいつもあるんだよ」
``Oh, no!''	「いや、そんなことはないよ」
``Perhaps not with your tongue, my dear Watson, but certainly with your eyebrows.	「たぶん、これは君の言葉からじゃなくって、君の目つきから気づいたことなんだろうと思うのだけど、ワトソン君。
So when I saw you throw down your paper and enter upon a train of thought,	――君は今新聞をほうりなげて、何か考え出したろう。
I was very happy to have the opportunity of reading it off,	それを見た時、僕はそれに気がつくことが出来たんだ。
and eventually of breaking into it, as a proof that I had been in rapport with you.''	そして結局君の意見に同意することになったんだよ」
But I was still far from satisfied.	けれども私はまだ満足しなかった。
``In the example which you read to me,'' said I, ``the reasoner drew his conclusions from the actions of the man whom he observed.	「今、君は、ある推理家が、彼が注意して見守っている一人の男の動作から、彼の結論を引き出したと云う例をひいていたね。
If I remember right, he stumbled over a heap of stones, looked up at the stars, and so on.	もし僕の記憶に間違いがないとしたら、たぶんその場合には、その相手の男は石につまずいたり、星を眺めたり何かそんなことをしたはずだ。
But I have been seated quietly in my chair, and what clues can I have given you?''	ところが僕は静かに僕の椅子に腰かけていたのだけれど、でも、何か手がかりになるようなものを、君にあげることが出来たのかしら？」
``You do yourself an injustice.	「君は故意にゆがめて考えているよ。
The features are given to man as the means by which he shall express his emotions,	――一体人間の顔と云うものは、感情を現わす道具として人間に与えられたものなんだ。
and yours are faithful servants.''	そのうちでも君の顔なんかは、最もよく感情を現わす顔なんだよ」
``Do you mean to say that you read my train of thoughts from my features?''	「と云うと、つまり君は、僕の顔から僕の思索の筋みちを読んだと云うわけなんだね」
``Your features, and especially your eyes.	「そうだ、君の顔から、と云うよりも特に君の目からだ。
Perhaps you cannot yourself recall how your reverie commenced?''	――君はどんな風にして君の瞑想が始まったか、もう一度思い出してくれることは出来ないかしら？」
``No, I cannot.''	「そうだね、出来ないなあ」
``Then I will tell you.	「それなら君に話して上げよう。
After throwing down your paper,	――君は、新聞をほうりなげてから、
which was the action which drew my attention to you,	――実を云えば君がそうしたからこそ、僕は君に注意したのではあるが、
you sat for half a minute with a vacant expression.	――ぽかんとしたような表情をして、しばらく坐っていた。
Then your eyes fixed themselves upon your newly framed picture of General Gordon,	その時君の両眼（りょうがん）は、新しく額縁［＃「縁」は底本では「椽」］に入れたゴルドン将軍の絵の上にじっとそそがれていたろう。
and I saw by the alteration in your face that a train of thought had been started.	そして君の顔を見ると、たしかに何か瞑想しているらしい表情の流れのあるのに気がついたんだ。
Your eyes turned across to the unframed portrait of Henry Ward Beecher, which stands upon the top of your books.	――やがて君は、君の本棚の上にあるヘンリー・ワァード・ビーチャーの額縁なしの肖像画へ目を移した。
You then glanced up at the wall,	それから壁へ目をやった。
and of course your meaning was obvious.	無論、君がそう云う風に目を移していった目的はハッキリしているさ。
You were thinking that if the portrait were framed it would just cover that bare space and correspond with Gordon's picture over there.''	君はその肖像画を額縁に入れたら、壁のむき出しになっている所へかけて、ゴルドンの肖像画とつり合いのとれるようにしようと思っていたんだろう」
``You have followed me wonderfully!''	「実に君は気味の悪いように僕の気持ちをよく見といたんだね」
I exclaimed.	私は叫んだ。
``So far I could hardly have gone astray.	「迷うことなくハッキリ分かったよ。
But now your thoughts went back to Beecher,	――いいかね、それから君の考えはまたビーチャーに戻って来た。
and you looked hard across as if you were studying the character in his features.	そして君はビーチャーの性格を研究でもするかのように、じっと熱心にそれを見詰め出したろう。
Then your eyes ceased to pucker,	がやがて君は目をすぼめるのをやめにした。
but you continued to look across, and your face was thoughtful.	しかし君は依然としてその肖像画を眺めつづけていたが、その時の君の顔は何かものを考え耽ってる顔つきだった。
You were recalling the incidents of Beecher's career.	――君はビーチャーの生涯におきたいろいろな出来事を思い起していたに違いないんだ。
I was well aware that you could not do this without thinking of the mission which he undertook on behalf of the North at the time of the Civil War,	僕には、君が、ビーチャーがあの革命戦争の時、北方の利益のために企てた使命のことを考えていたと云うことが、確かに分かってるんだよ。
for I remember you expressing your passionate indignation at the way in which he was received by the more turbulent of our people.	なぜなら君はいつだったか、彼が我々国民の動乱を蒙らされたと云うことについて、ひどく慷慨（こうがい）していたことのあったのを、僕は覚えてるから。
You felt so strongly about it that I knew you could not think of Beecher without thinking of that also.	だから君が、もしビーチャーのことを考え起こす時は、必ずそのことを考えないではいられないと、僕は思うんだ。
When a moment later I saw your eyes wander away from the picture,	――それからその次の瞬間だが、僕は君がその肖像画から目を離したのに気がついたんだ。
I suspected that your mind had now turned to the Civil War,	僕は君の心が、革命戦争のことにむいて来たな、と推測したね。
and when I observed that your lips set, your eyes sparkled, and your hands clinched,	とそう思うと、君は唇を固く結んで、眼を輝かし、両手をきつく握りしめていたじゃないか。
I was positive that you were indeed thinking of the gallantry which was shown by both sides in that desperate struggle.	僕はそれを見て、君はあの革命戦争の戦いの時、両軍によって示された華々しさを夢見てるんだな、とそう想像したよ。
But then, again, your face grew sadder;	――ところがその時、君の顔は再び物悲しそうになった。
you shook your head.	そして君は頭を振ったろう。
You were dwelling upon the sadness and horror and useless waste of life.	君はその時たしかに、悲しさと恐ろしさと、それから人生の淋しさを感じていたに相違ないんだ。
Your hand stole towards your own old wound,	君の手は君の古い傷痕（きずあと）のほうへのびていった。
and a smile quivered on your lips,	そして君の唇にはかすかな笑いがふるえていた。
which showed me that the ridiculous side of this method of settling international questions had forced itself upon your mind.	こうしたことは僕に、君の心の上におかれたこの国際的な問題を解決する上に、不思議な珍らしい一面を見せてくれたんだ。
At this point I agreed with you that it was preposterous, and was glad to find that all my deductions had been correct.	――つまりこういう点から、僕はそれが不自然なやり方だと云う君の意見に同意したわけなんだが、僕は喜んでいるよ、僕の推断の間違いをすべて正された事を……」
``Absolutely!''	「全くその通りだ」
said I.	私は云った。
``And now that you have explained it, I confess that I am as amazed as before.''	「君にそう説明されてみると、僕は実際前の時と同様、驚かされるね」
``It was very superficial, my dear Watson, I assure you.	「ワトソン君、それは表面だけのことだよ。
I should not have intruded it upon your attention had you not shown some incredulity the other day.	もし君がこの間、君の注意深い所を見せてくれなかったら、僕はおそらく君の注意の動きなんかに目をつけやしなかったろう。
But the evening has brought a breeze with it.	――それはそうと、夕方になったら、少し風が出て来たらしいね。
What do you say to a ramble through London?''	どうかね、ロンドン中をぶらつくのは？」
I was weary of our little sitting-room and gladly acquiesced.	私はその狭い部屋に疲れていたので、喜んでそれに同意した。
For three hours we strolled about together, watching the everchanging kaleidoscope of life as it ebbs and flows through Fleet Street and the Strand.	私たちは三時間ばかり、一しょに、フリート・ストリートや川の岸などを、さまざまな生活相を眺めながらぶらついて廻った。
His characteristic talk, with its keen observance of detail and subtle power of inference, held me amused and enthralled.	ホームズの細かい鋭い観察力を持った、そしてまた推理の深い力を持った独特な話は、私を楽ませ少しも飽きさせなかった。
It was ten o'clock before we reached Baker Street again.	そうして私たちがベーカー街に帰って来たのは十時すぎだった。
A brougham was waiting at our door.	――と、入口のそとに一台の一頭だての箱馬車がとまっていた。
``Hum!	「ふうん、――分かった」
A doctor's -- general practitioner, I perceive,''	と、ホームズは云った。
said Holmes.	「医者、――内科も外科もやる開業医の馬車らしいな。
Come to consult us, I fancy!	ちょっと調べてみたまえ。
Lucky we came back!''	いい所へ帰って来たね」
I was sufficiently conversant with Holmes's methods	私はホームズがそう推定したことについて、話し合った。
to be able to follow his reasoning, and to see that the nature and state of the various medical instruments in the wicker basket	そしてその馬車の内側に、ランプの光りの中にかけられてあった編細工（あみざいく）のバスケットの中に這入っているいろいろな医者の器械を調らべてみた。
which hung in the lamp-light inside the brougham had given him the data for his swift deduction.	それはホームズに、彼の敏速な推断を下す材料を与えたものだったのだが。
The light in our window above showed that this late visit was indeed intended for us.	――私たちの部屋からもれる明かりは、この夜遅い訪問客が、私たちを待ちもうけていると云うことを物語っているように見えた。
With some curiosity as to what could have sent a brother medico to us at such an hour, I followed Holmes into our sanctum.	私はそんな時間に、私の仲間の医者を、ホームズの所へ寄越した事件と云うのはどんな事件なのだろうと、ある好奇心を以って、ホームズのあとから私たちの居間に這入っていった。
A pale, taper-faced man with sandy whiskers rose up from a chair by the fire as we entered.	私たちが這入って行くと、火の側（そば）の椅子から、顔色の蒼い細面の髭をはやした男が立ち上った。
His age may not have been more than three or four and thirty, but his haggard expression and unhealthy hue told of a life which had sapped his strength and robbed him of his youth.	年の頃は三十三四才より上ではなさそうだったが、彼のやつれた表情と不健康そうな顔色とは、彼の青年時代を奪い彼の力を絞りとったその生活を物語っていた。
His manner was nervous and shy, like that of a sensitive gentleman,	彼の動作は敏感な紳士のように神経質的で内気だった。
and the thin white hand which he laid on the mantelpiece as he rose was that of an artist rather than of a surgeon.	そうして彼が立ち上るまで暖炉にかざしていた彼の痩せた白い手は、外科医の手と云うよりはむしろ芸術家の手と云うほうがふさわしいくらいであった。
His dress was quiet and sombre -- a black frockcoat, dark trousers, and a touch of colour about his necktie.	彼の服装は穏やかな厳かなもので、黒いフロックコートに暗い色の縞ズボン、それらに調和したネクタイをむすんでいた。
``Good-evening,	「よくいらっしゃいました。
Doctor,''	先生」
said Holmes cheerily.	とホームズは、気軽に云った。
``I am glad to see that you have only been waiting a very few minutes.''	「あまりお待たせしなかったようで、幸いでした」
``You spoke to my coachman, then?''	「別当におききになりましたか？」
``No, it was the candle on the side-table that told me.	「いや、サイド・テエブルの上の蝋燭を見れば分かります。
Pray resume your seat	――まあ、どうぞ、おかけ下さい。
and let me know how I can serve you.''	――どんな事が起きましたかな」
``My name is Dr. Percy Trevelyan,''	「私は医者のペルシー・トレベリアンと申すものです」
said our visitor,	と私たちの訪問客は云った。
``and I live at 403 Brook Street.''	「ブルック街四百三番地に住んでおります」
``Are you not the author of a monograph upon obscure nervous lesions?''	「あなたは神経傷害について論文をお書きになった、あの方ではありませんか？」
I asked.	私はきいてみた。
His pale cheeks flushed with pleasure at hearing that his work was known to me.	彼の蒼白い頬は、自分のした仕事を私が知っていると云うことをきいて、嬉しさで紅く輝いた。
``I so seldom hear of the work that I thought it was quite dead,''	「その通りです。
said he.	彼は云った。
``My publishers gave me a most discouraging account of its sale.	「私の本の発行者は、その売行きが悪いと言って、すっかり私の勇気をくじいてしまいました。
You are yourself, I presume, a medical man.''	――ですが、あなた御自身も、やはり医業をおやりなのですか？」
``A retired army surgeon.''	「私は退職外科軍医ですよ」
``My own hobby has always been nervous disease.	「そうですか。
I should wish to make it an absolute specialty, but of course a man must take what he can get at first.	私はそれをうんと研究してみたいと思っているのですが、無論なんですよ、人間は最初に初めた事をやり通すべきなんですがね。
This, however, is beside the question, Mr. Sherlock Holmes, and I quite appreciate how valuable your time is.	――しかし、こんなことをしゃべっている時じゃありませんね、シャーロック・ホームズさん。
The fact is	――実はこうなんです。
that a very singular train of events has occurred recently at my house in Brook Street,	最近、私のブルック街の家に、実に奇妙な事件が持ち上ってるんです。
and to-night they came to such a head that I felt it was quite impossible for me to wait another hour before asking for your advice and assistance.''	で、今夜はとうとう、明日（みょうにち）まで待つことが出来ずに、あなたのお力を拝借にやって来たわけなんです」
Sherlock Holmes sat down and lit his pipe.	シャーロック・ホームズは腰をおろして、パイプに火をつけた。
``You are very welcome to both,''	「本当によくいらしって下さいました」
said he.	彼は云った。
``Pray let me have a detailed account of what the circumstances are which have disturbed you.''	「どうか、あなたをなやましていると云うその事件を、こまかく詳しくお話しになって下さいませんか」
``One or two of them are so trivial,''	「その一つ二つは実際つまらない事なんです」
said Dr. Trevelyan	トレベリアン医師は云った。
``that really I am almost ashamed to mention them.	「実際それをお話するのはお恥ずかしいくらいなんです。
But the matter is so inexplicable, and the recent turn which it has taken is so elaborate,	しかし事件は実に合点がいかないばかりか、最近、あなたがたにお話ししなければならなくなったほど、こみ入って来たのです。
that I shall lay it all before you, and you shall judge what is essential and what is not.	――どうか、私がお話する所から、肝要な箇所とそうでない箇所とを御判断なすって下さい。
``I am compelled, to begin with, to say something of my own college career.	最初に、どうしても順序として、私の学生時代のことからお話しなければなりません。
I am a London University man, you know,	御承知のように私はロンドン大学の卒業生なんです。
and I am sure that you will not think that I am unduly singing my own praises if I say that my student career was considered by my professors to be a very promising one.	実は、自分で自分のことをほめてお話しするのは変なものなんですが、私は学生時代、大学の教授達から前途を大いに嘱目されていたのでした。
After I had graduated I continued to devote myself to research, occupying a minor position in King's College Hospital,	だものですから、私は卒業してからも、キング・コレッジ病院に職を奉じながら、自分の研究に没頭することをつづけておりました。
and I was fortunate enough to excite considerable interest by my research into the pathology of catalepsy,	私は幸福にも、顛癇病の病理学を研究する事に、異常な興味と昂奮とを持っていたのです。
and finally to win the Bruce Pinkerton prize and medal by the monograph on nervous lesions to which your friend has just alluded.	そしてただいまあなたのお友達が私をおからかいになった例の神経傷害に関しての論文によって、ブルース・ピンカートン賞と賞盃とをかち得ることが出来ました。
I should not go too far if I were to say that there was a general impression at that time that a distinguished career lay before me.	――けれども私は、よしその時、そんなに素晴らしい前途が目の前に開（ひ）らけていても、私はそれからさきにすすむべきではなかったのです。
``But the one great stumbling-block lay in my want of capital.	と云うのは、私の大望をとげるには、一つの大きな障害を乗り越えなければならないのでした。
As you will readily understand, a specialist who aims high is compelled to start in one of a dozen streets in the Cavendish Square quarter,	こう申せばあなたにはもう既に了解していただけたことと思いますが、偉くなろうと云う、高い望みを持っている専門医は、カベンディッシ・スクエア区のうちの十二街のどれか一つに開業しなければなりませんでした。
all of which entail enormous rents and furnishing expenses.	ところがそこに開業するには、素晴らしく高い家賃の家を借り、家の中もお金をかけて飾らなくてはならないのです。
Besides this preliminary outlay, he must be prepared to keep himself for some years, and to hire a presentable carriage and horse.	おまけに、こうした予備的入費の上に、四五年は遊んで食うだけのお金の用意と、また見かけの立派な馬車と馬とをやとえるだけのお金を持っていなければならないのでした。
To do this was quite beyond my power, and I could only hope that by economy I might in ten years' time save enough to enable me to put up my plate.	こうしたことをするのは、全く私の力以上のことで、でなくても、少くも十年間私が倹約して貯金してからでなくては、そんなことは出来そうもなかったのです。
Suddenly, however, an unexpected incident opened up quite a new prospect to me.	――ところがどうです、その時突然、全く思いもかけなかった一つの出来事が、私に新しく私の前途の望みをひらいてくれたのです。
``This was a visit from a gentleman of the name of Blessington, who was a complete stranger to me.	それは、私には全然赤の他人の、ブレシントンと云う名の紳士に訪問されたことでした。
He came up into my room one morning, and plunged into business in an instant.	彼はある朝突然に私の部屋にやって来て、いきなり話をきり出しました。
```You are the same Percy Trevelyan who has had so distinguished a career and won a great prize lately?'	「あなたは、例の大学時分非常なすぐれた成績をおあげになって、そして最近例の賞盃をおもらいになった、あのペルシイ・トレベリアン君でしょう？」
said he.	彼は申しました。
``I bowed.	私はそうだと答えました。
'' `Answer me frankly,'	「では、どうぞ卒直にお答えになって下さいませんか」
he continued,	彼はつづけました。
`for you will find it to your interest to do so.	「そうして下さるほうが、あなたのおためになるのです。
You have all the cleverness which makes a successful man.	――あなたは人間を成功させるための賢さはみんな持っている。
Have you the tact?'	――ところで世才はおありですか？」
``I could not help smiling at the abruptness of the question.	私はそのぶしつけな質問に、思わず笑わずにはいられませんでした。
```I trust that I have my share,'	「ええ、まあ、相応にはあるつもりです」
I said.	私は答えた。
'' `Any bad habits?	「では何か悪い習慣は？
Not drawn towards drink, eh?'	――お酒をお飲みになるなんてことはないんでしょう？」
```Really, sir!'	「もちろん、飲みません」
'' `Quite right!	「至極結構。
That's all right!	そりア結構です。
But I was bound to ask.	――しかしもう一つきかなくちゃならないことがあるんです。
With all these qualities, why are you not in practice?'	それなら、それだけの条件が揃っているのに、なぜ開業なさらないのですか？」
``I shrugged my shoulders.	私は肩をそびやかしました。
'' `Come, come!'	「よござんす、よござんす」
said he in his bustling way.	彼は彼一流のせわしない口調で申しました。
`It's the old story.	「そんなことは分かりきっている話です。
More in your brains than in your pocket,	――あなたはあなたのポケットの中よりあなたの脳の中のほうがたくさん貯蓄があるんでしょう。
What would you say if I were to start you in Brook Street?'	――ところで、どうでしょう、私はあなたを、ブルック街に開業させてお上げしたいと思っているんですが……」
``I stared at him in astonishment.	私はびっくりして彼を見詰めました。
'' `Oh, it's for my sake, not for yours,'	「いや、それはね、あなたのためではなく、私自身のためなんですよ」
he cried.	彼は声を大きくして云いました。
`I'll be perfectly frank with you,	「私は何もかも洗いざらいかくすことなく卒直に申しますよ。
and if it suits you it will suit me very well.	そのほうが、あなたにもいいでしょうし、また私にも大変都合がいいんですから。
I have a few thousands to invest, d'ye see,	――実は、私はここに数千ドル何かに投資したいと思ってるお金があるんです。
and I think I'll sink them in you.'	そこで私はそれをあなたにかけてみたいと思ってるわけなんです」
```But why?'	「しかしそれはどう云うわけでそうお思いになったのですか？」
I gasped.	私は咽喉のつまったような声で云った。
'' `Well,	「理由ですか？
it's just like any other speculation,	――それはつまり他のものの投機をやるのと同じような理窟からです。
and safer than most.'	でもその中でこれは一番安全ですからね」
```What am I to do, then?'	「で、もしそうして下さるとしたら、私はどう云うことをしたらよいのでしょう？」
'' `I'll tell you.	「それをお話ししましょう。
I'll take the house, furnish it, pay the maids, and run the whole place.	――私は家を建てて、それをすっかり飾りつけて、召使いたちの給料を払って、ほうぼうへ宣伝をする、
All you have to do is just to wear out your chair in the consulting-room.	――ですからあなたはただ診察室にすわっていさえしたらいいのです。
I'll let you have pocket-money and everything.	――おお小使いやその外（ほか）身の廻りのものは私がみんな心配してあげます。
Then you hand over to me three quarters of what you earn,	その代り、あなたが稼いだ四分の三を私に下さい。
and you keep the other quarter for yourself.'	そしてその残りはあなたの収入と云うことに……」
``This was the strange proposal, Mr. Holmes, with which the man Blessington approached me.	ホームズさん、これが、ブレシントンが私の所へ持って来た、奇妙な申込みの条件だったのです。
I won't weary you with the account of how we bargained and negotiated.	それから私は、彼とどんな風に取引し、どんな風に約束したかは、くどくどと申上げるまでもないことでしょう。
It ended in my moving into the house next Lady Day, and starting in-practice on very much the same conditions as he had suggested.	私は次の通告節に引越していって、そして彼が初め申出たのと同じ状態のもとに、いよいよ開業したのでした。
He came himself to live with me in the character of a resident patient.	そしてブレシントン自身も、ちょうど、入院患者のような格好で、私と一しゃに住むことになりました。
His heart was weak, it appears, and he needed constant medical supervision.	彼は心臓が弱く、いつも医者の監督が必要らしいのでした。
He turned the two best rooms of the first floor into a sitting-room and bedroom for himself.	――彼は一階の最上等の部屋を二部屋占領して、一つは居間に、一つは寝室に使っておりました。
He was a man of singular habits, shunning company and very seldom going out.	彼は奇妙な孤独癖の人間で、人ともあまり交際せず、外出することなどはほとんどありませんでした。
His life was irregular, but in one respect he was regularity itself.	彼の日常生活はむしろ不規則的でしたが、しかしただある一つのことに関してだけは、実に規則そのもののように正確でした。
Every evening, at the same hour, he walked into the consulting-room, examined the books, put down five and three-pence for every guinea that I had earned, and carried the rest off to the strong-box in his own room.	それは毎日夕方になると、診察室の中に這入って来て、帳簿を調べ、それから私が稼いだお金を、一ギニアについて五シルリングと三ペンスだけおいて、あとの残りはみんな持っていって、自分の部屋の中においてある丈夫そうな箱の中にしまうことでした。
``I may say with confidence that he never had occasion to regret his speculation.	さて次に商売のほうですが、少くも私の知ってる範囲では、彼がその評判を悲しまなければならないような機会は、ただ一度もなかったろうと、確信しております。
From the first it was a success.	それは初めから成功でした。
A few good cases and the reputation which I had won in the hospital brought me rapidly to the front,	私がその前に、病院でかち得ておいた評判や、また二三の成功などのために、私はすごい勢（いきおい）ではやり出しました。
and during the last few years I have made him a rich man.	そしてこの一二年の間に、私は彼をすっかりお金持ちにしてやってしまったのです。
``So much, Mr. Holmes, for my past history	ホームズさん、私の今日まではこんな風な生涯だったのです。
and my relations with Mr. Blessington.	そしてまたブレシントンとの関係も今お話したようなわけだったのです。
It only remains for me now to tell you what has occurred to bring me here tonight.	――そこでこれからお話しなければならないのは、今夜の出来ごとなのですが……
``Some weeks ago	ちょうど二三週間前のことでした。
Mr. Blessington came down to me in, as it seemed to me, a state of considerable agitation.	ブレシントン氏が突然に、私の所へやって参りましたが、彼は何だか、変にイライラしているらしいような様子でした。
He spoke of some burglary which, he said, had been committed in the West End, and he appeared, I remember, to be quite unnecessarily excited about it, declaring that a day should not pass before we should add stronger bolts to our windows and doors.	そして彼はしきりに、西部地方で起きた盗難事件のことを話し、滑稽なほど昂奮して、どうしても私たちも二三日のうちに、窓や扉へ丈夫な閂（かんぬき）をつけなくてはならないと主張するのでした。
For a week he continued to be in a peculiar state of restlessness, peering continually out of the windows,	そうして、それからと云うものは一週間の間、毎日休みなく窓から外をのぞいては見るのです。
and ceasing to take the short walk which had usually been the prelude to his dinner.	そして彼が昼飯をとる前には必ずその辺をブラブラして来る恒例の散歩もやめてしまって、その奇妙な昂奮状態にいるのでした。
From his manner it struck me that he was in mortal dread of something or somebody,	――こうした彼の様子から、私は、彼が何かの恐迫観念に捕われているのに相違ない、と感づきました。
but when I questioned him upon the point he became so offensive that I was compelled to drop the subject.	しかし私が彼に、何かそのことについてきき出すと、彼は猛烈に反抗的になって来て、どうしても何か他の事に話をそらしてしまわないわけにはいかないのでした。
Gradually, as time passed, his fears appeared to die away, and he renewed his former habits,	――有難いことに、そんな風にしてしばらく日を経ているうちに、次第に彼の恐迫観念は消えていって、また普通の彼にかえったのです。
when a fresh event reduced him to the pitiable state of prostration	ところが、事実はそれはツカの間の喜びで、また新しい出来事が彼を再び気の毒な虚脱の状態にもどらしてしまったのでした。
in which he now lies.	そうして現在彼はその状態にいるのです。
``What happened was this.	一体、その彼を再びそんな状態に追い込んだ出来事と云うのは、どんな出来事なのか？
Two days ago I received the letter which I now read to you.	と申しますと、二日前のことでした。
Neither address nor date is attached to it.	今あなたに読んでおきかせしますが、一通の、日附けもなければ、住所も書いてない手紙を受取ったのです。
``A Russian nobleman who is now resident in England	――こちらはただいまイギリスに滞在中のロシヤの貴族ですが、
[ it runs ],	――と、その手紙は書き出されていました。
would be glad to avail himself of the professional assistance of Dr. Percy Trevelyan.	ペルシー・トレベリアン博士に御診察をぜひお願いしたいと思っております。
He has been for some years a victim to cataleptic attacks,	実はこちらの患者は数年来、顛癇の発作に悩まされているのでございます。
on which, as is well known, Dr. Trevelyan is an authority.	幸いトレベリアン博士は顛癇病の大家であるとききましたので、
He proposes to call at about a quarter-past six to-morrow evening,	明日午後六時十五分頃にお伺い致したいと思います。
if Dr. Trevelyan will make it convenient to be at home.	御迷惑でも御在宅のほど御願い申上げます。
``This letter interested me deeply,	この手紙は私に深い興味を起こさせました。
because the chief difficulty in the study of catalepsy is the rareness of the disease.	なぜなら、この顛癇病の研究にとって、一番苦しいことは患者が非常に少いと云うことだったからです。
You may believe, then, that I was in my consulting-room when, at the appointed hour, the page showed in the patient.	ですからその翌日、その手紙が指定して来た時間に、私はちゃんと診察室に坐って、その患者の来るのを待っていたことは申すまでもありません。
