The Spider’s Thread	蜘蛛の糸
But the distance between Hell and Paradise is tens of thousands of miles, and so it would seem that no amount of effort would make this an easy journey.	しかし地獄と極楽との間は、何万里となくございますから、いくら焦（あせ）って見た所で、容易に上へは出られません。
After climbing for some time Kandata tired, and couldn’t climb a bit higher.	ややしばらくのぼる中（うち）に、とうとう陀多もくたびれて、もう一たぐりも上の方へはのぼれなくなってしまいました。
Having no other recourse, he hung there from the thread, resting, and while doing so looked down below.	そこで仕方がございませんから、まず一休み休むつもりで、糸の中途にぶら下りながら、遥かに目の下を見下しました。
He saw that he had made a good deal of progress.	すると、一生懸命にのぼった甲斐があって、
The Lake of Blood that he had been trapped in was now hidden in the dark below,	さっきまで自分がいた血の池は、今ではもう暗の底にいつの間にかかくれて居ります。
and he had even climbed higher than the dimly glowing Mountain of Needles.	それからあのぼんやり光っている恐しい針の山も、足の下になってしまいました。
If he could keep up this pace, perhaps he could escape from Hell after all.	この分でのぼって行けば、地獄からぬけ出すのも、存外わけがないかも知れません。
Kandata grasped the thread with both hands, and laughingly spoke in a voice that he hadn’t used in the many years since he had come here,	陀多は両手を蜘蛛の糸にからみながら、ここへ来てから何年にも出した事のない声で、
“I’ve done it!	「しめた。
I’ve done it!”	しめた。」
Looking down, however, what did he see but an endless queue of sinners, intently following him up the thread like a line of ants!	ところがふと気がつきますと、蜘蛛の糸の下の方には、数限（かずかぎり）もない罪人たちが、自分ののぼった後をつけて、まるで蟻（あり）の行列のように、やはり上へ上へ一心によじのぼって来るではございませんか。
Seeing this, surprise and fear kept Kandata hanging there for a time with mouth open and eyes blinking like a fool.	陀多はこれを見ると、驚いたのと恐しいのとで、しばらくはただ、莫迦（ばか）のように大きな口を開（あ）いたまま、眼ばかり動かして居りました。
How could this slender spider’s web, which should break even under just his weight, support the weight of all these other people?	自分一人でさえ断（き）れそうな、この細い蜘蛛の糸が、どうしてあれだけの人数（にんず）の重みに堪える事が出来ましょう。
If the thread were to snap, all of his effort would be wasted and he would fall back into Hell with the others!	もし万一途中で断（き）れたと致しましたら、折角ここへまでのぼって来たこの肝腎（かんじん）な自分までも、元の地獄へ逆落（さかおと）しに落ちてしまわなければなりません。
That just would not do.	そんな事があったら、大変でございます。
But even as he thought these thoughts, hundreds more, thousands more of the damned came crawling up from the Lake of Blood, forming a line and scurrying up the thread.	が、そう云う中にも、罪人たちは何百となく何千となく、まっ暗な血の池の底から、うようよと這（は）い上って、細く光っている蜘蛛の糸を、一列になりながら、せっせとのぼって参ります。
If he didn’t do something fast, surely the thread would snap in the middle and he would fall back down.	今の中にどうかしなければ、糸はまん中から二つに断れて、落ちてしまうのに違いありません。
Kandata shouted out,	そこで陀多は大きな声を出して、
“Hey!	「こら、罪人ども。
You sinners!	この蜘蛛の糸は己（おれ）のものだぞ。
This thread is mine!	お前たちは一体誰に尋（き）いて、のぼって来た。
Who said you could climb up it?	下りろ。
Get off!	下りろ。」
Get off!”	と喚（わめ）きました。
Though the thread had been fine until just then, with these words it snapped with a twang right where Kandata held it.	その途端でございます。
Poor Kandata	ですから陀多もたまりません。
fell headfirst through the air, spinning like a top, right down through the darkness.	あっと云う間（ま）もなく風を切って、独楽（こま）のようにくるくるまわりながら、見る見る中に暗の底へ、まっさかさまに落ちてしまいました。
The severed end of the silver thread hung there, suspended from heaven, shining with its pale light in that moonless, starless sky.	後にはただ極楽の蜘蛛の糸が、きらきらと細く光りながら、月も星もない空の中途に、短く垂れているばかりでございます。
The Buddha stood in Paradise at the edge of the lotus pond, silently watching these events.	御釈迦様（おしゃかさま）は極楽の蓮池（はすいけ）のふちに立って、この一部始終（しじゅう）をじっと見ていらっしゃいましたが、
After Kandata sank like a stone to the bottom of the Lake of Blood, he continued his stroll with a sad face.	やがて陀多（かんだた）が血の池の底へ石のように沈んでしまいますと、悲しそうな御顔をなさりながら、またぶらぶら御歩きになり始めました。
He must have been surprised that even after such severe punishment Kandata’s lack of compassion would lead him right back into Hell.	自分ばかり地獄からぬけ出そうとする、陀多の無慈悲な心が、そうしてその心相当な罰をうけて、元の地獄へ落ちてしまったのが、御釈迦様の御目から見ると、浅間しく思召されたのでございましょう。
Yet the lotus blossoms in the lotus ponds of Paradise care nothing about such matters.	しかし極楽の蓮池の蓮は、少しもそんな事には頓着（とんじゃく）致しません。
Their jewel-like white flowers waved about the feet of the Buddha, and each flower’s golden center continuously filled the place with their indescribably wondrous fragrance.	その玉のような白い花は、御釈迦様の御足（おみあし）のまわりに、ゆらゆら萼（うてな）を動かして、そのまん中にある金色の蕊（ずい）からは、何とも云えない好（よ）い匂が、絶間（たえま）なくあたりへ溢（あふ）れて居ります。
It was almost noon in Paradise.	極楽ももう午（ひる）に近くなったのでございましょう。
(16 April 1918)	（大正七年四月十六日）
