Alice's Adventures in Wonderland	不思議の国のアリス
here and there she saw maps and pictures hung upon pegs.	あちこちに、地図や絵がとめ金に引っかけてあります。
She took down a jar from one of the shelves as she passed;	アリスは通りすがりに、たなの一つからびんを手にとってみました。
it was labelled `ORANGE MARMALADE',	「マーマレード」というラベルがはってあります。
but to her great disappointment it was empty:	が、空っぽだったので、とてもがっかりしてしまいました。
she did not like to drop the jar for fear of killing somebody,	下にいる人を殺したくはなかったので、びんを落とすのはいやでした。
so managed to put it into one of the cupboards as she fell past it.	だから落ちる通りすがりに、なんとか別の食器だなにそれを置きました。
`Well!' thought Alice to herself,	アリスは思いました。
`after such a fall as this, I shall think nothing of tumbling down stairs!	「でもこんなに落ちたあとなら、もう階段をころげ落ちるなんて、なんとも思わないわよ！
How brave they'll all think me at home!	おうちじゃみんな、あたしがすごく勇敢（ゆうかん）だと思うでしょうね！
Why, I wouldn't say anything about it, even if I fell off the top of the house!'	ええ、おうちのてっぺんから落っこちたって、もう一言も文句を言わないはずよ」
(Which was very likely true.)	（そりゃまあそのとおりでしょうけど）
Down, down, down.	下へ、下へ、もっと下へ。
Would the fall NEVER come to an end!	このままいつまでもずっと落ちてくのでしょうか？
`I wonder how many miles I've fallen by this time?'	「いままでもう何マイルくらい落ちたんだろ」
she said aloud.	とアリスは声に出して言いました。
`I must be getting somewhere near the centre of the earth.	「そろそろ地球のまん中くらいにきたはず。
Let me see:	えーと、
that would be four thousand miles down, I think--'	そうなると四千マイルくらい落ちたことになる、のかな――」
(for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom,	（つまりね、アリスは教室の授業で、こんなようなことをいくつか勉強していたわけ。
and though this was not a VERY good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over)	で、このときはまわりにだれもいなかったから、もの知りなのをひけらかすにはあまりつごうがよくはなかったんだけれど、でもこうして暗唱してみると、いいれんしゅうにはなったってこと）
`--yes, that's about the right distance--but then I wonder what Latitude or Longitude I've got to?'	「――そうね、きょりはそんなもんね――でもそれだと、緯度（いど）や経度（けいど）はどこらへんにきたのかしら」
(Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)	（アリスは緯度（いど）や経度（けいど）ってのがなんなのか、まるっきり見当もついてなかったけれど、でも口にだすのにかっこいい、えらそうなことばだと思ったわけね）
Presently she began again.	しばらくして、アリスはまたはじめました。
`I wonder if I shall fall right THROUGH the earth!	「このまま地球をドンッとつきぬけて落ちちゃうのかな！
How funny it'll seem to come out among the people that walk with their heads downward!	頭を下にして歩く人たちのなかに出てきたら、すっごくおかしく見えるでしょうね！
The Antipathies, I think--'	それってたとえば日本とかだとあるぜん人、だっけ――」
(she was rather glad there WAS no one listening, this time,	（ここではだれも聞いてる人がいなくて、アリスはむしろホッとしたんだ。
as it didn't sound at all the right word)	だってどう考えても正しいことばには聞こえなかったし）
`--but I shall have to ask them what the name of the country is, you know.	「――でも、国の名前はだれかにきかないと。
Please, Ma'am, is this New Zealand or Australia?'	あの、奥さま、ここってニュージーランドでしょうか、オーストラリアでしょうか？」
(and she tried to curtsey as she spoke--fancy CURTSEYING as you're falling through the air!	（そしてアリスは、しゃべりながらおじぎをしようとした――宙を落っこちながら会釈をするなんて、考えてもごらんよ！
Do you think you could manage it?)	きみならそんなこと、できると思う？）
`And what an ignorant little girl she'll think me for asking!	「そしたらその方、そんなことを聞くなんて、あたしのことをすごくバカな女の子だと思っちゃうわ！
No, it'll never do to ask:	だめだめ、そんなこと聞いちゃ。
perhaps I shall see it written up somewhere.'	どっかに書いてあるのが見つかるかもしれない」
Down, down, down.	下へ、下へ、もっと下へ。
There was nothing else to do, so Alice soon began talking again.	ほかにすることもなかったので、アリスはまたしゃべりだしました。
`Dinah'll miss me very much to-night, I should think!'	「今夜、ダイナはあたしがいなくてさびしがるでしょうね！」
(Dinah was the cat.)	（ダイナってのはねこ。）
`I hope they'll remember her saucer of milk at tea-time.	「お茶の時間に、みんなダイナのミルクのお皿を忘れないでくれるといいけど。
Dinah my dear!	かわいいダイナ！
I wish you were down here with me!	おまえがいっしょにここへいてくれたらいいのに！
There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know.	空中にはネズミはいないみたいだけれど、コウモリがつかまるかもしれないわよ、コウモリってすごくネズミみたいなんだから。
But do cats eat bats, I wonder?'	でもねこってコウモリ食べるのかな？」
And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way,	そしてここで、アリスはいささか眠くなってきて、ちょっと夢うつつっぽい感じで、こうつぶやきつづけました。
`Do cats eat bats?	「ねこってコウモリ食べる？
Do cats eat bats?'	ねこ、コウモリ食べる？」
and sometimes,	そしてだんだん
`Do bats eat cats?'	「ねこうもりって食べる？」とも。
for, you see, as she couldn't answer either question, it didn't much matter which way she put it.	だって、どの質問にも答えられないので、どれをきいてもあんまりちがわなかったのですね。
She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah,	うつらうつらしてきて、ダイナと手に手をとって歩いている夢を見はじめました。
and saying to her very earnestly,	そしてその中で、とても真剣にこうきいています。
`Now, Dinah, tell me the truth:	「さあダイナ、正直におっしゃい。
did you ever eat a bat?'	おまえ、コウモリ食べたことあるの？」
when suddenly, thump! thump! down she came upon a heap of sticks and dry leaves, and the fall was over.	とそのときいきなり、ズシン！ズシン！アリスは小枝と枯れ葉の山のてっぺんにぶつかって、落ちるのはもうそれっきり。
Alice was not a bit hurt, and she jumped up on to her feet in a moment:	けがはぜんぜんなくて、すぐにとび起きました。
she looked up, but it was all dark overhead;	見上げても、頭上はずっとまっ暗。
before her was another long passage, and the White Rabbit was still in sight, hurrying down it.	目の前にはまた長い通路があって、まだ白うさぎがその通路をあわてて走っていくのが見えました。
There was not a moment to be lost:	これは一刻もむだにできません。
away went Alice like the wind, and was just in time to hear it say, as it turned a corner, `Oh my ears and whiskers, how late it's getting!'	アリスはびゅーんと風のようにかけだして、ちょうどうさぎがかどを曲がりしなに「やれ耳やらヒゲやら、こんなにおそくなっちゃって！」と言うのが聞こえました。
She was close behind it when she turned the corner,	そのかどをアリスが曲がったときには、かなり追いついていました。
but the Rabbit was no longer to be seen:	が、うさぎがどこにも見あたりません。
she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.	そこは長くて天井のひくいろうかで、屋根からランプが一列にぶら下がって明るくなっていました。
There were doors all round the hall, but they were all locked;	そのろうかはとびらだらけでしたが、どれも鍵がかかっています。
and when Alice had been all the way down one side and up the other, trying every door,	アリスは、ろうかの片側をずっとたどって、それからずっともどってきて、とびらをぜんぶためしてみました。
she walked sadly down the middle, wondering how she was ever to get out again.	どれも開かないので、アリスはろうかのまん中をしょんぼり歩いて、いったいどうやってここから出ましょうか、と思案するのでした。
Suddenly she came upon a little three-legged table,	いきなり、小さな三本足のテーブルにでくわしました。
all made of solid glass;	ぜんぶかたいガラスでできています。
there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of the hall;	そこには小さな金色の鍵がのっているだけで、アリスがまっ先に思ったのは、これはろうかのとびらのどれかに合うんじゃないかな、ということでした。
but, alas!	でもざんねん！
either the locks were too large, or the key was too small,	鍵穴が大きすぎたり、それとも鍵が小さすぎたり。
but at any rate it would not open any ofthem.	どっちにしても、とびらはどれも開きません。
However, on the second time round, she came upon a low curtain she had not noticed before,	でも、二回目にぐるっとまわってみたところ、さっきは気がつかなかったひくいカーテンがみつかりました。
and behind it was a little door about fifteen inches high:	そしてそのむこうに、高さ40センチくらいの小さなとびらがあります。
she tried the little golden key in the lock, and to her great delight it fitted!	さっきの小さな金色の鍵を、鍵穴に入れてためしてみると、うれしいことにぴったりじゃないですか！
Alice opened the door and found that it led into a small passage,	あけてみると、小さな通路になっていました。
not much larger than a rat-hole:	ネズミの穴くらいの大きさしかありません。
she knelt down and looked along the passage into the loveliest garden you ever saw.	ひざをついてのぞいてみると、それは見たこともないようなきれいなお庭につづいています。
How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains,	こんな暗いろうかを出て、あのまばゆい花だんやつめたいふん水の間を歩きたいなぁ、とアリスは心から思いました。
but she could not even get her head though the doorway;	でも、その戸口には、頭さえとおらないのです。
`and even if my head would go through,'	「それに頭はとおったにしても、かたがないとあんまり使いものにならないわ」
thought poor Alice,	とかわいそうなアリスは考えました。
`it would be of very little use without my shoulders.	「ああ、望遠鏡みたいにちぢまれたらな！
Oh, how I wish I could shut up like a telescope!  I think I could, if I only know how to begin.'	できると思うんだ、やりかたさえわかれば」
For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.	というのも、近ごろいろいろへんてこりんなことが起こりすぎたので、アリスとしては、ほんとうにできないことなんて、じつはほとんどないんだと思いはじめていたのです。
There seemed to be no use in waiting by the little door, so she went back to the table,	その小さなとびらのところで待っていてもしかたないので、アリスはテーブルのところに戻りました。
half hoping she might find another key on it,	別の鍵がのってたりしないかな、となかば期待していたのです。
or at any rate a book of rules for shutting people up like telescopes:	あるいは少なくとも、望遠鏡みたいにちぢまるやりかたを書いた、規則の本でもないかな、と思いました。
this time she found a little bottle on it,	するとこんどは、小さなびんがのっかっていて
(`which certainly was not here before,'	（「これってさっきはぜったいになかったわよねえ」
said Alice,)	とアリスは言いました）、
and round the neckof the bottle was a paper label, with the words `DRINK ME' beautifully printed on it in large letters.	そしてびんの首のところには紙のふだがついていて、そこに「のんで」ということばが、おっきな字できれいに印刷されていました。
It was all very well to say `Drink me,' but the wise little Alice was not going to do THAT in a hurry.	「のんで」は結構なのですけれど、でもかしこいアリスは、そんなことをあわててするような子ではありません。
`No, I'll look first,'	「いいえ、まずちゃんと見てみようっと。
she said, `and see whether it's marked "poison" or not';	『毒』とか書いてないかどうか、たしかめるんだ」とアリス。
for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they WOULD not remember the simple rules their friends had taught them:	というのも、お友だちに教わったかんたんな規則をまもらなかったばっかりに、やけどをしたり、野獣に食べられちゃったりした子供たちについて、すてきなお話をいくつか読んだことがあったからです。
such as, that a red-hot poker will burn you if you hold it too long;	そういう規則というのは、たとえばまっ赤にやけた火かき棒をあんまり長くにぎっているとやけどをするよ、とか、
and that if you cut your finger VERY deeply with a knife, it usually bleeds;	指をナイフでとぉってもふかく切っちゃったら、たぶん血が出てくるよ、とかですね。
and she had never forgotten that, if you drink much from a bottle marked `poison,' it is almost certain to disagree with you, sooner or later.	そして『毒』と書いてあるびんの中身をたくさんのんだら、たぶんまちがいなく、いずれ困ったことになるよ、というのも、アリスはぜったいにわすれなかったのでした。
However, this bottle was NOT marked `poison,'	でも、びんには「毒」とは書いてありませんでした。
so Alice ventured to taste it,	そこでアリスは、ためしに味見をしました。
and finding it very nice,	そしてそれがとってもおいしかったので
(it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,)	（どんな味かというと、チェリータルトと、カスタードと、パイナップルと、しちめんちょうローストと、トフィーと、熱いバターつきトーストをまぜたような味ね）、
she very soon finished it off.	すぐにそれをのみほしてしまいました。
`What a curious feeling!'	「へんなの、へーんなの！」
said Alice;	とアリス。
`I must be shutting up like a telescope.'	「あたし、望遠鏡みたいにちぢまっちゃってるのね」
And so it was indeed:	そしてたしかにそのとおり。
she was now only ten inches high,	アリスはいまや、身のたけたったの25センチ。
and her face brightened up at the thought that she was now the rightsize for going through the little door into that lovely garden.	これであの小さなとびらをとおって、あのきれいなお庭にいくのにちょうどいい大きさになったと思って、アリスは顔をかがやかせました。
First, however, she waited for a few minutes to see if she was going to shrink any further:	でもまず、もう何分かまってみて、もっとちぢんじゃわないかどうかたしかめました。
she felt a little nervous about this;	これはちょっと心配なところでした。
`for it might end, you know,' said Alice to herself, `in my going out altogether, like a candle.	「だってあたしがロウソクみたいに、ぜんぶ消えちゃっておしまいになるかもしれないでしょ」
I wonder what I should be like then?'	「そうなったらあたし、どうなっちゃうんだろ」
And she tried to fancy what the flame of a candle is like after the candle is blown out,	そしてアリスは、ロウソクをふき消したあとで、ロウソクの炎がどんなようすかを想像してみようとしました。
for she could not remember ever having seen such a thing.	というのも、そんなものを見たおぼえがなかったからです。
After a while, finding that nothing more happened, she decided on going into the garden at once;	しばらくして、それ以上なにもおきないのがわかって、アリスはすぐにお庭にいこうときめました。
but, alas for poor Alice!	でもかわいそうなアリス、ざんねんでした！
when she got to the door, she found she had forgotten the little golden key,	とびらのところにきてみると、あの小さな金色の鍵をわすれてきたのに気がついたのです。
and when she went back to the table for it, she found she could not possibly reach it:	そしてテーブルのところに戻ってみると、ぜったいに手がとどきません。
she could see it quite plainly through the glass,	ガラスごしに、とてもはっきりと見えてはいます。
and she tried her best to climb up one of the legs of the table, but it was too slippery;	アリスはがんばってテーブルの脚をよじのぼろうとしましたが、つるつるでだめです。
and when she had tired herself out with trying, the poor little thing sat down and cried.	そしてがんばったあげくにつかれきって、かわいそうなこの子は、すわって泣き出してしまいました。
`Come, there's no use in crying like that!'	「こら、そんなふうに泣いてちゃだめだぞ！」
said Alice to herself, rather sharply;	とアリスは、ちょっときびしく自分に言いきかせました。
`I advise you to leave off this minute!'	「いいわね、いますぐ泣きやみなさい！」
She generally gave herself very good advice,	アリスが自分にする忠告は、とてもりっぱなものが多いのです
(though she very seldom followed it),	（そのとおりにすることはほとんどなかったんだけどね）。
and sometimes she scolded herself so severely as to bring tears into her eyes;	そしてときどきは、自分をきびしくしかりすぎて、涙が出てくるほどでした。
and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself,	いちどなんか、自分相手にやっていたクロケーの試合でいんちきをしたので、自分の耳をぶとうとしたくらい。
for this curious child was very fond of pretending to be two people.	というのも、このふうがわりな子は、一人で二役をやるのがとても好きだったからです。
`But it's no use now,' thought poor Alice, `to pretend to be two people!	「でもいまじゃ、二役をやってみてもしょうがないわよね。
Why, there's hardly enough of me left to make ONE respectable person!'	だってあたしはもうほとんど残ってなくて、まともな人間一人にも足りないくらいなんだもの！」
Soon her eye fell on a little glass box that was lying under the table:	やがて、テーブルの下の小さなガラスのはこが、アリスの目にとまりました。
she opened it, and found in it a very small cake, on which the words `EAT ME' were beautifully marked in currants.	あけてみると、中にはとってもちっちゃなケーキが入っていて、ほしぶどうで「たべて」ときれいに書いてあります。
`Well, I'll eat it,'	「食べちゃおうっと」
said Alice,	とアリス。
`and if it makes me grow larger, I can reach the key;	「これで大きくなれたら、鍵に手がとどくでしょ。
and if it makes me grow smaller, I can creep under the door;	小さくなるようなら、とびらの下からもぐれるな。
so either way I'll get into the garden,	だからどっちにしてもあのお庭には行けるわけよね。
and I don't care which happens!'	あたしはどっちだっていいわ！」
She ate a little bit, and said anxiously to herself,	ちょっと食べてみて、アリスは心配そうに自分に言いました。
`Which way?	「どっちかな？
Which way?',	どっちかな？」
holding her hand on the top of her head to feel which way it was growing,	そして頭のてっぺんに手をやって、自分がどっちにのびているかを確かめようとします。
and she was quite surprised to find that she remained the same size:	ところが同じ大きさのままだったので、アリスはとってもびっくりしました。
to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.	そりゃたしかに、ふつうはケーキを食べるとそうなるのですが、アリスはへんてこりんなことを期待するのになれすぎちゃっていたもので、人生がふつうのやり方でつづくなんていうのは、すごくつまんなくてばかばかしく思えたのです。
So she set to work, and very soon finished off the cake.	そこでアリスはそのままつづけて、じきにケーキをたいらげてしまいました。
CHAPTER II   The Pool of Tears	2. 涙の池
`Curiouser and curiouser!'	「チョーへん！」
cried Alice	とアリスはさけびました
(she was so much surprised, that for the moment she quite forgot how to speak good English);	（びっくりしすぎて、ちゃんとしたしゃべりかたを忘れちゃったんだね）。
`now I'm opening out like the largest telescope that ever was!	「こんどはこの世で一番おっきな望遠鏡みたいに、ぐんぐんのびてる！
Good-bye, feet!'	足さん、さよなら！」
(for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).	（だって足を見おろしたら、もうほとんど見えなくなっていて、どんどん遠くなっているのでした）。
`Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?	「ああ、かわいそうな足さん、これからだれが、くつやストッキングをはかせてあげるんだろう。
I'm sure _I_ shan't be able!	あたしにはぜったいにむりなのはたしかね！
I shall be a great deal too far off to trouble myself about you:	すっごく遠くにいすぎてて、あなたたちのことにはかまってられないの。
you must manage the best way you can;	できるだけ自分でなんとかしてね：
--but I must be kind to them,'	――でも、親切にしといてあげないと」
thought Alice,	とアリスは思いました。
`or perhaps they won't walk the way I want to go!	「そうしないと、あたしの行きたいほうに歩いてくれないかも！
Let me see:	そうねえ。
I'll give them a new pair of boots every Christmas.'	クリスマスごとに、新しいブーツをあげようっと」
And she went on planning to herself how she would manage it.	そしてそれをどうやろうか、アリスはほんとに計画をはじめました。
`They must go by the carrier,' she thought;	「運送屋さんにおねがいしないと。
`and how funny it'll seem, sending presents to one's own feet!	でもすっごく変でしょうね、自分の足におくり物をおくるなんて！
And how odd the directions will look!	それにあて先もずいぶんとおかしなものになるな。
ALICE'S RIGHT FOOT, ESQ.	だんろのかなあみ付近
HEARTHRUG,	じゅうたん気付
NEAR THE FENDER,	アリスの右足閣下へ
(WITH ALICE'S LOVE).	（アリスの愛をこめて）
Oh dear, what nonsense I'm talking!'	あらあらあたし、なんてばかげたことを言ってるんだろ！」
Just then her head struck against the roof of the hall:	ちょうどそのとき、頭がろうかの天井にぶつかりました。
in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.	もうそのとき、アリスは身長三メートルになっていたので、すぐに小さな金色の鍵を手にとって、お庭へのとびらへといそぎました。
Poor Alice!	かわいそうなアリス！
It was as much as she could do, lying down on one side, to look through into the garden with one eye;	できることといったら、ねそべって片目でお庭をのぞくことだけでせいいっぱい。
but to get through was more hopeless than ever:	でも、とおりぬけるなんてまったく絶望的。
she sat down and began to cry again.	アリスはまたすわって泣き出しました。
`You ought to be ashamed of yourself,'	「はじを知りなさい」
said Alice,	とアリスは言いました。
`a great girl like you,'	「そんなおっきななりをして」
(she might well say this),	（まあたしかにそのとおり）
`to go on crying in this way!	「いつまでも泣いてばかり。
Stop this moment, I tell you!'	いますぐやめなさい、いいわね！」
But she went on all the same, shedding gallons of tears, until there was a large pool all round her,	でもアリスは、それでもかまわず泣きつづけて涙を何リットルも流したので、まわりじゅうにおおきな池ができてしまいました。
about four inches deep and reaching half down the hall.	深さ10センチくらいで、ろうかの半ばまでつづいています。
After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming.	しばらくすると、遠くからピタピタという小さな足音が聞こえたので、あわてて涙をふいて、なにがきているのかを見ようとしました。
It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other:	あのうさぎが、りっぱな服にきがえてもどってくるところで、片手には白い子ヤギ皮の手ぶくろ、そしてもう片方の手にはおっきなせんすを持っていました。
he came trotting along in a great hurry, muttering to himself as he came,	とってもいそいで走っていて、こっちにきながらも
`Oh! the Duchess, the Duchess!	「ああ、公爵夫人が、公爵夫人が！
Oh! won't she be savage if I've kept her waiting!'	待たせたりしたら、なさけようしゃなんかありゃしない！」とつぶやいています。
Alice felt so desperate that she was ready to ask help of any one;	アリスのほうは、もうせっぱつまっていて、だれでもいいから助けてほしい気分。
so, when the Rabbit came near her, she began, in a low, timid voice,	そこでうさぎが近くにきたときに、小さなおちついた声でこうきりだしました。
`If you please, sir--'	「あの、おねがいですから――」
The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.	うさぎは、うっひゃあととびあがって、子ヤギ皮の手ぶくろとせんすを落としてしまい、全速力（ぜんそくりょく）で暗闇（くらやみ）の中へとかけ去っていってしまいました。
Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking:	アリスはせんすと手ぶくろをひろって、ろうかがとても暑かったので、せんすであおぎながらしゃべり続けました。
`Dear, dear!	「あらまあ、
How queer everything is to-day!	きょうはなにもかもふうがわり！
And yesterday things went on just as usual.	きのうは、ほんとにいつもどおりだったのに。
I wonder if I've been changed in the night?	あたし、夜のあいだに変わっちゃったのかしら。
Let me think:	そうねえ。
was I the same when I got up this morning?	起きたときには、おんなじだったっけ？
I almost think I can remember feeling a little different.	なんだかちょっと変わった気分だったような気もするみたい。
But if I'm not the same, the next question is, Who in the world am I?	でも、おんなじじゃないんなら、つぎの質問は、いまのあたしはいったいぜんたいだれ？
Ah, THAT'S the great puzzle!'	それがかんじんななぞだわ！」
And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.	そしてアリスは、おないどしの子たちを思いうかべていって、そのなかのだれかにかわってしまったかどうかを考えてみました。
`I'm sure I'm not Ada,' she said,	「エイダじゃないのは確かだわ。
`for her hair goes in such long ringlets, and mine doesn't go in ringlets at all;	エイダのかみの毛は、とっても長い巻き毛になるけど、あたしのかみはぜんぜん巻き毛にならないもの。
and I'm sure I can't be Mabel,	それとぜったいにメイベルじゃないはず。
for I know all sorts of things, and she, oh!	だってあたしはいろんなことを知ってるけど、メイベルときたら、まあ！
she knows such a very little!	もうなんにも知らないでしょう！
Besides, SHE'S she, and I'm I, and--oh dear, how puzzling it all is!	それに、あの子はあの子だし、あたしはあたしだし、それに――あれ、わかんなくなってきちゃった！
I'll try if I know all the things I used to know.	まえに知ってたことをちゃんと知ってるか、ためしてみよう。
Let me see:	えーと、
four times five is twelve, and four times six is thirteen, and four times seven is--oh dear!	四五の十二で、四六の十三で、四七が
I shall never get to twenty at that rate!	――あれ、これじゃいつまでたっても二十にならないぞ！
However, the Multiplication Table doesn't signify:	でも、かけ算の九九はだいじじゃないわ。
let's try Geography.	地理をためしてみよう。
London is the capital of Paris, and Paris is the capital of Rome, and Rome	ロンドンはパリの首都で、パリはローマの首都で、ローマは
--no, THAT'S all wrong, I'm certain!	――ぜんぜんちがうな、ぜったい。
I must have been changed for Mabel!	じゃあメイベルになっちゃったのね！
I'll try and say "How doth the little--"'	『えらい小さな――』を暗唱してみよう」
and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do:--	そしてアリスは、授業でするみたいにひざの上で手を組んで、暗唱をはじめましたが、声がしゃがれて変てこで、ことばもなんだか前とはちがっていました：――
`How doth the little crocodile	「えらい小さなワニさん
Improve his shining tail,	ぴかぴかのしっぽをみがいて
And pour the waters of the Nile	金色のうろこひとつずつを
On every golden scale!	ナイルの水であらいます！」
`How cheerfully he seems to grin,	「うれしそうににったりと
How neatly spread his claws,	なんてきれいにツメをひろげて
And welcome little fishes in	小さな魚をよびいれます
With gently smiling jaws!'	やさしく笑うその大口で！」
`I'm sure those are not the right words,'	「いまの、ぜったいにまちがってるはずだわ」
said poor Alice, and her eyes filled with tears again as she went on,	とかわいそうなアリスは言って、目に涙をいっぱいにうかべてつづけました。
`I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh!	「じゃあやっぱりメイベルなんだ、そしたらあのちっぽけなおうちにすんで、あそぶおもちゃもまるでなくて、ああ！
ever so many lessons to learn!	それにお勉強しなきゃならないことが、ほんとに山ほど！
No, I've made up my mind about it;	いやよ、決めた。
if I'm Mabel, I'll stay down here!	もしあたしがメイベルなら、このままここにいるわ！
It'll be no use their putting their heads down and saying "Come up again, dear!"	みんなが頭をつっこんで『いい子だからまたあがってらっしゃい！』なんて言ってもむだよ。
I shall only look up and say	こっちは見上げてこう言うの。
"Who am I then?	『だったらあたしはだれ？
Tell me that first,	まずそれを教えてよ。
and then, if I like being that person, I'll come up:	それでもしその人になっていいなと思ったら、あがってくわ。
if not, I'll stay down here till I'm somebody else"	そうでなければ、べつの人になれるまでここにいる』
--but, oh dear!'	――でも、あーあ！」
cried Alice, with a sudden burst of tears,	とアリスは、いきなり涙をながしてさけびました。
`I do wish they WOULD put their heads down!	「ホントにだれか、頭をつっこんでくれないかな！
I am so VERY tired of being all alone here!'	もう一人ぼっちでここにいるのは、すっごくあきあきしちゃったんだから！」
