Aesop's Fables	タウンゼント版イソップ寓話集
AN ASS having heard some Grasshoppers chirping, was highly enchanted; and, desiring to possess the same charms of melody,	ロバは、キリギリスの歌声を聞いて魅了され、自分もあんな風に美しい声で歌ってみたいものだと考えた。
demanded what sort of food they lived on to give them such beautiful voices.	そこでロバは、キリギリスたちに、どんなものを食べるとそんなに素敵な声が出るのかと尋ねてみた。
They replied,	キリギリスたちは答えた。
"The dew."	「水滴だよ」
The Ass resolved that he would live only upon dew,	それで、ロバは、水しか摂らないことに決めた。
and in a short time died of hunger.	ロバは、空腹ですぐに死んでしまった。
The Lion and the Mouse	４．ライオンとネズミ
A LION was awakened from sleep by a Mouse running over his face.	ライオンが気持ちよく寝ていると、何者かに眠りを妨げられた。
Rising up angrily, he caught him and was about to kill him,	ライオンは、いきりたってネズミを捕まえると殺そうとした。
when the Mouse piteously entreated, saying:	ネズミは、必死に哀願した。
"If you would only spare my life, I would be sure to repay your kindness."	「命を助けて下されば、必ず恩返しを致します。」
The Lion laughed and let him go.	ライオンは、鼻で笑ってネズミを逃がしてやった。
It happened shortly after this that the Lion was caught by some hunters, who bound him by st ropes to the ground.	それから数日後、ライオンは、猟師の仕掛けた網にかかって動けなくなってしまった。
The Mouse, recognizing his roar, came gnawed the rope with his teeth, and set him free, exclaim	ネズミは、ライオンのうなり声を聞きつけると、飛んで行き、歯でロープを、ガリガリとかじり、ライオンを逃がしてやった。
"You ridiculed the idea of my ever being able to help you, expecting to receive from me any repayment of your favor;	「この前、あなたは私を嘲笑しましたが、
I now you know that it is possible for even a Mouse to con benefits on a Lion."	私にだって、あなたを、助けることができるのですよ。
The Charcoal-Burner and the Fuller	５．炭屋と洗濯屋
A CHARCOAL-BURNER carried on his trade in his own house.	あるところに、働き者の炭屋が住んでいた。
One day he met a friend, a Fuller,	ある日のこと、炭屋は友人の洗濯屋にばったり出合った。
and entreated him to come and live with him,	そして洗濯屋に、自分の所へ来て、一緒に住まないか……？
saying that they should be far better neighbors and that their housekeeping expenses would be lessened.	そうすれば、家計は助かるし、一生楽しく暮らせるからと熱心に誘った。
The Fuller replied,	すると、洗濯屋はこう答えた。
"The arrangement is impossible as far as I am concerned,	「私は、あなたと住むことなどできません。
for whatever I should whiten, you would immediately blacken again with your charcoal."	だって、私が洗濯して、白くしたそばから、あなたは、黒くしてしまうでしょうからね……」
Like will draw like.	水と油は混ざらない。
The Father and His Sons	６．父親とその息子たち
A FATHER had a family of sons who were perpetually quarreling among themselves.	その男には、息子が大勢いたのだが、兄弟喧嘩が絶えず、いつもいがみ合ってばかりいて、
When he failed to heal their disputes by his exhortations,	父親が止めても、喧嘩をやめないというありさまだった。
he determined to give them a practical illustration of the evils of disunion;	この期に及んで、父親は、内輪もめが如何に愚かなことであるかを、教え諭さなければならぬと痛感した。
and for this purpose he one day told them to bring him a bundle of sticks.	頃合いを見計らって、男は息子たちに、薪の束を持ってくるようにと言いつけた。
When they had done so, he placed the faggot into the hands of each of them in succession, and ordered them to break it in pieces.	息子たちが薪の束を持って来ると、男は、一人一人にその束を手渡し、そして、それを折るようにと命じた。
They tried with all their strength, and were not able to do it.	息子たちは、懸命に力を振り絞ってみたが、薪の束はびくともしなかった。
He next opened the faggot, took the sticks separately, one by one, and again put them into his sons' hands,	そこで、男は、束をほどくと、今度は、一本一本バラバラにして、息子たちに手渡した。
upon which they broke them easily.	すると息子たちは、たやすく薪を折った。
He then addressed them in these words:	そこで、彼は息子たちに、こんなことを語って聞かせた。
"My sons,	「よいか、息子たちよ。
if you are of one mind, and unite to assist each other, you will be as this faggot, uninjured by all the attempts of your enemies;	もしお前たちが、心一つに団結し、互いに助け合うならば、この薪の束のように、どんな敵にもびくともしない。
but if you are divided among yourselves, you will be broken as easily as these sticks."	しかし、互いがバラバラだったなら、この棒きれのように、簡単にへし折られてしまうのだ。」
The Boy Hunting Locusts	７．イナゴを捕まえる少年
A BOY was hunting for locusts.	ある少年がイナゴを捕まえていた。
He had caught a goodly number, when he saw a Scorpion, and mistaking him for a locust, reached out his hand to take him.	そしてかなりの数が集まったのだが、少年は、イナゴと間違えてサソリに手を伸ばそうとした。
The Scorpion, showing his sting, said:	するとサソリは、鋭い毒針を振り立てて少年に言った。
If you had but touched me, my friend, you would have lost me, and all your locusts too!"	「さあ、捕まえてごらん。
The Cock and the Jewel	８．オンドリと宝石
A COCK, scratching for food for himself and his hens, found a precious stone	オンドリが餌を探していて、宝石を見つけた。
and exclaimed:	すると、オンドリはこう叫んだ。
but I have found thee for no purpose.	「なんと詰まらぬものを見つけたことか！
I would rather have one barleycorn than all the jewels in the world."	俺にとっちゃ、世界中の宝石よりも、麦一粒の方がよっぽど価値がある。」
The Kingdom of the Lion	９．ライオンの御代
THE BEASTS of the field and forest had a Lion as their king.	野や森の動物たちは、王様にライオンを戴いていた。
He was neither wrathful, cruel, nor tyrannical,	ライオンは残酷なことを嫌い、力で支配することもなかった。
but just and gentle as a king could be.	つまり、人間の王様のように、公正で心優しかったのだ。
During his reign he made a royal proclamation for a general assembly of all the birds and beasts, and drew up conditions for a universal league,	彼の御代に、鳥や獣たちの会議が開かれた。
in which the Wolf and the Lamb, the Panther and the Kid, the Tiger and the Stag, the Dog and the Hare, should live together in perfect peace and amity.	「共同体の決まりとして、……オオカミと仔ヒツジ、ヒョウと仔ヤギ、トラとニワトリ、イヌとウサギは、争わず、親睦をもって、共に暮らすこと……」
The Hare said,	ウサギが言った。
"Oh, how I have longed to see this day, in which the weak shall take their place with impunity by the side of the strong."	「弱者と強者が共に暮らせるこんな日を、私はどんなに待ちこがれたことか……」
And after the Hare said this, he ran for his life.	ウサギはそう言うと死にものぐるいで逃げていった。
The Wolf and the Crane	１０．オオカミとサギ
A WOLF who had a bone stuck in his throat hired a Crane,	喉に骨が刺さったオオカミが、多大な報酬を約束してサギを雇った。
for a large sum, to put her head into his mouth and draw out the bone.	というのも、口の中へ頭を突っ込んでもらって、彼女に骨を抜いて貰おうと考えたからだった。
When the Crane had extracted the bone and demanded the promised payment, the Wolf, grinning and grinding his teeth, exclaimed:	サギが、骨を抜き出し、約束の金を要求するとオオカミは、牙を光らせて叫んだ。
"Why,	「何を言ってやがる！
you have surely already had a sufficient recompense,	お前は、もう俺様から、十分すぎる報酬を受け取ったはずだぞ。
in having been permitted to draw out your head in safety from the mouth and jaws of a wolf."	俺様の口から無事に出られたのだからな！」
In serving the wicked, expect no reward,	悪者へ施す時には、報酬など期待してはならぬ。
and be thankful if you escape injury for your pains.	もしなんの危害も受けずにすんだなら、それでよしとすべきである。
The Fisherman Piping	１１．笛を吹く漁師
A FISHERMAN skilled in music took his flute and his nets to the seashore.	笛の上手な漁師が、笛と網を持って海へ出掛けた。
Standing on a projecting rock, he played several tunes	彼は、突き出た岩に立ち、数曲、笛を奏でた。
in the hope that the fish, attracted by his melody, would of their own accord dance into his net, which he had placed below.	と言うのも、魚たちが笛の音に引き寄せられて、足下の網に、自ら踊り入るのではないかと考えたからだった。
At last, having long waited in vain,	結局、長いこと待ったが無駄であった。
he laid aside his flute, and casting his net into the sea,	そこで、男は笛を置き、網を投じた。
made an excellent haul of fish.	すると、一網でたくさんの魚が捕れた。
When he saw them leaping about in the net upon the rock he said:	男は、網の中で跳ね回る魚たちを見て言った。
"O you most perverse creatures,	「なんとお前たちは、ひねくれ者なんだ！
when I piped you would not dance, but now that I have ceased you do so merrily."	俺が笛を吹いていた時には踊らなかったくせに、吹くのをやめた今、こんなに陽気に踊りやがる。」
Hercules and the Wagoner	１２．ヘラクレスとウシ追い
A CARTER was driving a wagon along a country lane,	あるウシ追いが、ウシに車をひかせて、田舎道を進んで行った。
when the wheels sank down deep into a rut.	すると、車輪が溝に深くはまり込んでしまった。
The rustic driver, stupefied and aghast, stood looking at the wagon, and did nothing	頭の弱いウシ追いは、牛車の脇に立ち、ただ呆然と見ているだけで、何もしようとはしなかった。
but utter loud cries	そして、突然大声でお祈りを始めた。
to Hercules to come and help him.	「ヘラクレス様、どうか、ここに来てお助け下さい」
Hercules, it is said, appeared and thus addressed him:	すると、ヘラクレスが現れて、次ぎのように語ったそうだ。
"Put your shoulders to the wheels, my man.	「お前の肩で、車輪を支え、
Goad on your bullocks,	ウシたちを追い立てなさい。
and never more pray to me for help, until you have done your best to help yourself,	それからこれが肝心なのだが、自分で何もしないで、助けを求めてはならない。
or depend upon it you will henceforth pray in vain."	今後そのような祈りは一切無駄であることを肝に銘じなさい」
Self-help is the best help.	自助の努力こそが、最大の助け
The Ants and the Grasshopper	１３．アリとキリギリス
THE ANTS were spending a fine winter's day drying grain collected in the summertime.	ある晴れた冬の日、アリたちは、夏の間に集めておいた、穀物を干すのに大わらわだった。
A Grasshopper, perishing with famine, passed by and earnestly begged for a little food.	そこへ腹をすかせて、死にそうになったキリギリスが通りかかり、ほんの少しでよいから食べ物を分けてくれるようにと懇願した。
The Ants inquired of him,	アリたちは、彼に尋ねた。
"Why did you not treasure up food during the summer?'	「なぜ、夏の間に食べ物を貯えておかなかったのですか？」
He replied,	キリギリスは、答えた。
"I had not leisure enough.	「暇がなかったんだよ。
I passed the days in singing."	日々歌っていたからね」
They then said in derision:	するとアリたちは、嘲笑って言った。
"If you were foolish enough to sing all the summer, you must dance supperless to bed in the winter."	「夏の間、歌って過ごしたお馬鹿さんなら、冬には、夕食抜きで踊っていなさい」
The Traveler and His Dog	１４．旅行者と彼のイヌ
A TRAVELER about to set out on a journey saw his Dog stand at the door stretching himself.	男が、旅に出かけようとすると、彼のイヌがドアのところで、伸びをしていた。
He asked him sharply:	「なぜ、伸びなどしているんだ？
"Why do you stand there gaping?	用意万端、直ぐに出かけられるのか？」
Everything is ready but you, so come with me instantly."	男は、イヌをピシャリと叱った。
The Dog, wagging his tail, replied:	すると、イヌは、しっぽを振りながら答えた。
"O, master!	「ご主人様、
I am quite ready;	わたしゃ、支度は済んでます。
it is you for whom I am waiting."	待っていたのはわたしの方です」
The loiterer often blames delay on his more active friend.	自分のせいで遅くなったくせに、難癖をつけて相手のせいにする者がいる。
The Dog and the Shadow	１５．イヌと影
A DOG, crossing a bridge over a stream with a piece of flesh in his mouth,	イヌが肉をくわえて、橋を渡っていた。
saw his own shadow in the water and took it for that of another Dog, with a piece of meat double his own in size.	すると、水面に写る自分の影を見て、どこかのイヌがもの凄く大きな肉をくわえているのだと思った。
He immediately let go of his own, and fiercely attacked the other Dog to get his larger piece from him.	彼は、自分の肉を放り出すと、大きな肉を目指して、烈火の如く躍り掛かった。
He thus lost both:	こうして、彼はどちらの肉も失った。
that which he grasped at in the water, because it was a shadow;	彼が、水の中で奪おうとした肉は影であったし、
and his own, because the stream swept it away.	自分の肉は、流が運び去ってしまったからだ。
The Mole and His Mother	１６．モグラと彼の母親
A MOLE, a creature blind from birth, once said to his Mother:	モグラは、生まれながらに目が見えないのだが、そんな彼が、ある日母親に言った。
"I am sure than I can see, Mother!"	「僕は、ちゃんと目が見えます！」
In the desire to prove to him his mistake, his Mother placed before him a few grains of frankincense, and asked,	母親は、息子の間違いをきちんと正さなければと考え、彼の前に、一片の乳香を置き、そして尋ねた。
"What is it?'	「これは何だと思う？」
"It is a pebble."	「これは、水晶です」
His Mother exclaimed:	すると母親は、大声で言った。
"My son,	「なんてことだい！
I am afraid that you are not only blind, but that you have lost your sense of smell.	お前は、目が見えないだけでなく、鼻まで利かなくなってしまったんだね」
The Herdsman and the Lost Bull	１７．ウシ飼と盗まれたウシ
A HERDSMAN tending his flock in a forest lost a Bull-calf from the fold.	あるウシ飼が、森でウシたちの世話をしていたのだが、一匹の雄の仔ウシが囲いからいなくなってしまった。
After a long and fruitless search,	ウシ飼は、あちこち仔ウシを探し回ったが、徒労に終わった。
he made a vow that, if he could only discover the thief who had stolen the Calf, he would offer a lamb in sacrifice to Hermes, Pan, and the Guardian Deities of the forest.	そこで、ウシ飼は、ヘルメスやパーンなど森の神々に、もし、ウシ泥棒を見つけることができたならば、生贄に仔ヒツジを捧げると誓った。
Not long afterwards, as he ascended a small hillock, he saw at its foot a Lion feeding on the Calf.	それからすぐに、ウシ飼が小高い丘に登ると、丘の麓で、ライオンが仔ウシを食べているのを発見した。
Terrified at the sight, he lifted his eyes and his hands to heaven, and said:	その恐ろしい光景に、ウシ飼は、天を仰ぎ、両手をさしのべてこう言った。
"Just now I vowed to offer a lamb to the Guardian Deities of the forest if I could only find out who had robbed me; but now that I have discovered the thief, I would willingly add a full-grown Bull to the Calf I have lost, if I may only secure my own escape from him in safety."	「おお、森の神々よ！
The Hare and the Tortoise	１８．ウサギとカメ
A HARE one day ridiculed the short feet and slow pace of the Tortoise,	ある日のこと、ウサギがカメを、足が短くてのろまだと嘲笑った。
who replied, laughing:	するとカメは笑みを浮かべてこう答えた。
"Though you be swift as the wind,	「確かに、あなたは、風のように速いかもしれない。
I will beat you in a race."	でも、あなたをうち負かしてみせます。」
The Hare, believing her assertion to be simply impossible, assented to the proposal;	ウサギはそんなことは、無理に決まっていると思い、カメの挑戦を受けることにした。
and they agreed that the Fox should choose the course and fix the goal.	キツネがコースとゴールの位置を決めることになり、両者はそれに同意した。
On the day appointed for the race	競争の日が来た。
the two started together.	二人は同時にスタートした。
The Tortoise never for a moment stopped, but went on with a slow but steady pace straight to the end of the course.	カメは、遅かったが、一瞬たりとも止まらずに一歩一歩着実にゴールへと向かった。
The Hare, lying down by the wayside, fell fast asleep.	ウサギは、道端でごろりと横になると、眠りこんだ。
At last waking up, and moving as fast as he could, he saw the Tortoise had reached the goal, and was comfortably dozing after her fatigue.	しまった！と思って、目を覚ましたウサギは、あらん限りのスピードで走ったが、カメはすでに、ゴールインして、気持ちよさそうに寝息を立てていた。
Slow but steady wins the race.	ゆっくりでも、着実な者が勝つ。
The Pomegranate, Apple-Tree, and Bramble	１９．ザクロとリンゴとイバラ
THE POMEGRANATE and Apple-Tree disputed as to which was the most beautiful.	ザクロの木とリンゴの木が、どちらが美しいかということで言い争っていた。
When their strife was at its height, a Bramble from the neighboring hedge lifted up its voice, and said in a boastful tone:	両者の議論が最高潮に達した時、近くの垣根から、イバラがしゃしゃり出た。
"Pray, my dear friends,	「ねえ、お友達のザクロさんにリンゴさん。
in my presence at least cease from such vain disputings."	せめて、私のいる前では、そんな無益な議論はおやめ遊ばせ。」
The Farmer and the Stork	２０．農夫とコウノトリ
A FARMER placed nets on his newly-sown plowlands and caught a number of Cranes, which came to pick up his seed.	ある農夫が、種蒔きを終えたばかりの畑に網を仕掛け、種を食べに来たツルの群を一網打尽にした。
With them he trapped a Stork that had fractured his leg in the net	するとツルの群と一緒に、コウノトリが一匹捕らえられていた。
and was earnestly beseeching the Farmer to spare his life.	網に足が絡まり傷ついたコウノトリは、農夫に泣きついた。
"Pray save me, Master," he said, "and let me go free this once. My broken limb should excite your pity.	「私は骨を折っているのです、どうか私を哀れんで今回は見逃して下さい。
Besides, I am no Crane, I am a Stork, a bird of excellent character;	それに、私は下世話なツルではなく、コウノトリなのです。
and see how I love and slave for my father and mother.	私が、父や母をどんなに慈しみお世話するか、あなたもご存じでしょう？
Look too, at my feathers	私の羽を見て下さい。
--they are not the least like those of a Crane."	ツルの羽とは違うでしょう」
The Farmer laughed aloud and said,	すると農夫は、大きな声で笑った。
"It may be all as you say,	「言いたいことは全部言ったか？
I only know this:	では、俺の番だ。
I have taken you with these robbers, the Cranes,	お前は、あの盗人どもと一緒に捕まった。
and you must die in their company."	よってお前は奴らと一緒に死なねばならぬ。」
Birds of a feather flock together.	同じ穴の狢
The Farmer and the Snake	２１．農夫とヘビ
ONE WINTER a Farmer found a Snake stiff and frozen with cold.	ある冬の日のこと、農夫は、寒さに凍えて今にも死にそうになったヘビを見つけた。
He had compassion on it, and taking it up, placed it in his bosom.	彼は可哀想に思い、ヘビを拾い上げると自分の懐に入れてやった。
The Snake was quickly revived by the warmth, and resuming its natural instincts, bit its benefactor,	ヘビは暖まると、元気を取り戻し、本性を顕わにして命の恩人に噛みついた。
inflicting on him a mortal wound.	農夫は今際の際にこう叫んだ。
"Oh," cried the Farmer with his last breath, "I am rightly served for pitying a scoundrel."	「おお、これも、悪党に哀れみを与えた、当然の報いだ！」
The greatest kindness will not bind the ungrateful.	悪党には親切にしないのが、一番の親切。
The Fawn and His Mother	２２．仔ジカと彼の母親
A YOUNG FAWN once said to his Mother,	仔ジカが母シカに言った。
"You are larger than a dog, and swifter, and more used to running,	「お母さんは、イヌよりも大きいし、敏捷で、駆けるのもとっても速い。
and you have your horns as a defense;	その上、身を守る角だって持っている。
why, then, O Mother! do the hounds frighten you so?"	それなのになぜ、猟犬を怖がるの？」
She smiled, and said:	母シカはにこやかに答えた。
"I know full well, my son, that all you say is true.	「お前の言うことは、みなその通りなんだけど
I have the advantages you mention, but when I hear even the bark of a single dog I feel ready to faint, and fly away as fast as I can."	････でも母さんは、イヌの吠えるのを一声聞いただけで、卒倒しそうになり、飛んで逃げたくなるんだよ。」
No arguments will give courage to the coward.	いくら説得しても、臆病者は勇者にはならない。
The Bear and the Fox	２３．クマとキツネ
A BEAR boasted very much of his philanthropy, saying that of all animals he was the most tender in his regard for man,	あるクマが、我こそは、動物の中で、一番人間への愛情が細やかであると、痛く自慢した。
for he had such respect for him that he would not even touch his dead body.	……と言うのも、自分は人の死体にさえ、触れようとはしないからだと言うのだ。
A Fox hearing these words said with a smile to the Bear,	それを聞いてキツネが言った。
"Oh!	「おお、
that you would eat the dead and not the living."	クマさんや、生きた人を食べずに、死んだ人を食べなさい。」
The Swallow and the Crow	２４．ツバメとカラス
THE SWALLOW and the Crow had a contention about their plumage.	ツバメとカラスが、羽のことで言い争っていた。
The Crow put an end to the dispute by saying,	そして、カラスがこんな事を言って、その議論に決着をつけた。
"Your feathers are all very well in the spring,	「君の羽は、春の装いにはぴったりかもしれない。
but mine protect me against the winter."	でも、僕の羽は、冬の寒さからをも、身を守ってくれるんだよ！」
Fair weather friends are not worth much.	困難な時の友こそ本当の友。
The Mountain in Labor	２５．山のお産
A MOUNTAIN was once greatly agitated.	かつて、山が大いに揺れ動いたことがあった。
Loud groans and noises were heard,	巨大なうなり声が響き渡った。
and crowds of people came from all parts to see what was the matter.	一体何が起こるのか一目見ようと、あらゆる所から、人々が集まってきた。
While they were assembled in anxious expectation of some terrible calamity, out came a Mouse.	何か恐ろしい大災害が起こるのではないか？
Don't make much ado about nothing.	大山鳴動してネズミ一匹
The Ass, the Fox, and the Lion	２６．ロバとキツネとライオン
THE ASS and the Fox, having entered into partnership together for their mutual protection, went out into the forest to hunt.	危ない目に合ったら、互いに助け合おうと約束して、ロバとキツネが、森へと狩りに出かけた。
They had not proceeded far when they met a Lion.	だが、森の奥へと踏み込む前にライオンと出くわしてしまった。
The Fox, seeing imminent danger, approached the Lion and promised to contrive for him the capture of the Ass if the Lion would pledge his word not to harm the Fox.	絶体絶命の窮地に立って、キツネはライオンの所へ近づいて行き、もし、自分を助けてくれるならば、ロバを捕らえるよい知恵を授けると言った。
Then, upon assuring the Ass that he would not be injured, the Fox led him to a deep pit and arranged that he should fall into it.	キツネは、ロバを言いくるめると、深い穴に連れて行き、ロバがその中に落ちるように仕向けた。
The Lion, seeing that the Ass was secured, immediately clutched the Fox,	ライオンは、ロバが動けないのを見ると、即座にキツネを捕まえた。
and attacked the Ass at his leisure.	そして、ロバに取りかかったのは、キツネがすんでからだった。
The Tortoise and the Eagle	２７．カメとワシ
A TORTOISE, lazily basking in the sun, complained to the sea-birds of her hard fate, that no one would teach her to fly.	日がな一日、日向ぼっこをしていたカメが、海鳥に向かって、誰も空の飛び方を教えてくれないのだと愚痴をこぼした。
An Eagle, hovering near, heard her lamentation and demanded what reward she would give him if he would take her aloft and float her in the air.	近くを舞っていたワシが、カメの溜め息まじりの言葉を聞くと、何かお礼をくれるのなら、空高く連れて行って、飛び方を教えてやると言った。
"I will give you," she said, "all the riches of the Red Sea."	「紅海の幸を全てあなたに差し上げます」
"I will teach you to fly then,"	「よしわかった、ではお前に、空の飛び方を教えてやろう」
said the Eagle;	ワシはそう言うと、
and taking her up in his talons he carried her almost to the clouds	カメを鈎爪でひっつかみ、雲間へと運んでいった。
suddenly he let her go,	ワシはそう言うと、突然、カメを放り出した。
and she fell on a lofty mountain, dashing her shell to pieces.	カメは、そびえ立つ山の頂きに落ちて行き、甲羅もろとも粉々に砕け散った。
The Tortoise exclaimed in the moment of death:	カメは死ぬ間際にこう言った。
"I have deserved my present fate;	「こうなったのも当然だ。
for what had I to do with wings and clouds, who can with difficulty move about on the earth?'	地上を歩くのさえおぼつかぬ者が、翼や雲の真似をして空を飛ぼうとしたのだから……」
If men had all they wished, they would be often ruined.	望むことの全てを叶えようとするならば、破滅が待っているだろう。
The Flies and the Honey-Pot	２８．ハエとハチミツ壷
A NUMBER of Flies were attracted to a jar of honey which had been overturned in a housekeeper's room,	ハエたちは、倒れた壷から溢れ出る、蜜の匂いに誘われて、台所へとやって来た。
and placing their feet in it, ate greedily.	彼らはハチミツの上へと降り立つと、一心不乱になめ回した。
Their feet, however, became so smeared with the honey that they could not use their wings,	ところが、蜜が、足にべたべた絡みつき、ハエたちは、飛べなくなってしまった。
nor release themselves, and were suffocated. Just as they were expiring, they exclaimed,	蜜の中で息が詰まって死に行く時に、ハエたちはこんな風に叫んだ。
"O foolish creatures that we are,	「ああ、なんて我等は間抜けなんだ！
for the sake of a little pleasure we have destroyed ourselves."	ほんの少しの快楽のために、身を滅ぼすとは……」
Pleasure bought with pains, hurts.	楽しみの後には、痛みと苦しみが待っている。
The Man and the Lion	２９．人とライオン
A MAN and a Lion traveled together through the forest.	人とライオンが、一緒に森の中を旅していた。
They soon began to boast of their respective superiority to each other in strength and prowess.	すると両者ともに、力と勇気について自慢しはじめた。
As they were disputing, they passed a statue carved in stone,	互いに言い争っていると、二人は、ある石像の前へとやってきた。
which represented "a Lion strangled by a Man."	それは、人がライオンを絞め殺している像だった。
The traveler pointed to it and said:	男は、それを指さして言った。
"See there!	「あれを見ろよ！
How strong we are, and how we prevail over even the king of beasts."	俺たち人間がどんなに強いか、百獣の王さえあの通りだ。」
The Lion replied:	すると、ライオンはこんな風に言い返した。
"This statue was made by one of you men.	「この石像は、あんた方人間が造ったものだ。
If we Lions knew how to erect statues, you would see the Man placed under the paw of the Lion."	もし、我々ライオンが、石像を造れたなら、足下にいるのは、その男の方だろうよ」
One story is good, till another is told.	どんなに下らない話でも、反論されるまでは、一番である。
The Farmer and the Cranes	３０．農夫とツルたち
SOME CRANES made their feeding grounds on some plowlands newly sown with wheat.	ツルたちは、種蒔きの終えたばかりの小麦畑を餌場にしていた。
For a long time the Farmer, brandishing an empty sling,	農夫はいつも、投石機を空撃ちして、ツルたちを追い払っていた。
chased them away by the terror he inspired;	と、いうのも、ツルたちは空撃ちしただけで、怖がって逃げたからだ。
but when the birds found that the sling was only swung in the air, they ceased to take any notice of it and would not move.	しかしツルたちは、それが空を切っているだけだということに気付くと、投石機を見てもお構いなしにそこに居座った。
The Farmer, on seeing this, charged his sling with stones, and killed a great number.	そこで農夫は、今度は投石機に本当に石を装填し、そして、たくさんのツルたちを撃ち殺した。
The remaining birds at once forsook his fields, crying to each other,	ツルたちは皆、一様にこんなことを言って嘆いた。
"It is time for us to be off to Liliput:	「リリパットの国に逃げる時が来たようだ、
for this man is no longer content to scare us, but begins to show us in earnest what he can do."	彼は、我々が怯えるだけでは満足せずに、本気で撃ってくるのだからな」
If words suffice not, blows must follow.	優しく言われているうちに言う事を聞け！
The Dog in the Manger	３１．かいば桶の中のイヌ
A DOG lay in a manger, and by his growling and snapping prevented the oxen from eating the hay which had been placed for them.	あるイヌが、かいば桶の中に入り、吠えたり唸ったりして、牛たちが干し草を食べるのを邪魔していた。
said one of them to his companions;	すると、一匹のウシが仲間に言った。
"he cannot eat the hay himself, and yet refuses to allow those to eat who can."	「奴は、干し草など食わぬくせに、干し草を食べる我々に、譲ろうとはしない」
The Fox and the Goat	３２．キツネとヤギ
A FOX one day fell into a deep well and could find no means of escape.	ある日のこと、一匹のキツネが、深い井戸に落ちて出られなくなってしまった。
A Goat, overcome with thirst,	そこへ、ヤギが通りかかった。
came to the same well, and seeing the Fox, inquired if the water was good.	ヤギは喉が渇いていたので、キツネを見ると、その水は美味しいかと尋ねた。
Concealing his sad plight under a merry guise, the Fox indulged in a lavish praise of the water, saying it was excellent beyond measure, and encouraging him to descend.	キツネは、自分の窮状を隠し、この水はとても美味しいと褒めちぎり、降りてくるようにと促した。
The Goat, mindful only of his thirst, thoughtlessly jumped down,	ヤギは、渇きを癒すことばかりに気を取られ、深く考えもせずに深い井戸へと飛び降りた。
but just as he drank, the Fox informed him of the difficulty they were both in and suggested a scheme for their common escape.	ヤギが水を飲みはじめると、キツネは、自分たちの窮状をヤギに打ち明け、そして、二人して抜け出す方策を語って聞かせた。
"If," said he, "you will place your forefeet upon the wall and bend your head, I will run up your back and escape, and will help you out afterwards."	「いいかい、君が、前足を壁に掛けて、角でしっかりと支えてくれたら、僕は君の背中を駆け上って、ここから抜け出すから……そしたら、君を助けてあげるよ」
