The Wizard of Oz	オズの魔法使い
She crept to the hole, caught Toto by the ear, and dragged him into the room again,	ドロシーは穴まで這っていって、トトの耳をつかんで部屋の中に引きずり戻しました。
afterward closing the trap door so that no more accidents could happen.	その後で、もう事故が起こらないように落し戸を閉じました。
Hour after hour passed away, and slowly Dorothy got over her fright;	何時間も経って、ドロシーはゆっくりと恐れを乗り越えました。
but she felt quite lonely,	でもとても寂しかったのでした。
and the wind shrieked so loudly all about her that she nearly became deaf.	風が周りでとてもうるさい金切り声を上げたので、ドロシーはほとんど耳が聞こえなくなったくらいです。
At first she had wondered if she would be dashed to pieces when the house fell again;	最初ドロシーは家が落ちたらこっぱみじんにされてしまうんじゃないかと思いました。
but as the hours passed and nothing terrible happened, she stopped worrying and resolved to wait calmly and see what the future would bring.	でも何も恐ろしいことが起こらずに何時間か過ぎたので、ドロシーは心配するのを止めて、落ち着いて何かが起こるのを待とうと決めました。
At last she crawled over the swaying floor to her bed, and lay down upon it;	ついにドロシーは揺れる床を自分のベッドまで這ってゆき、その上に横になりました。
and Toto followed and lay down beside her.	そしてトトも続いてドロシーのそばに横たわりました。
In spite of the swaying of the house and the wailing of the wind, Dorothy soon closed her eyes and fell fast asleep.	家が揺れ、風はむせび泣いていたのに、ドロシーはすぐに目を閉じてぐっすりと眠入ったのでした。
2.  The Council with the Munchkins	2　マンチキンたちとの会談
She was awakened by a shock,	ドロシーは震動で起こされました。
so sudden and severe that if Dorothy had not been lying on the soft bed she might have been hurt.	とても突然で激しかったので、もし柔らかいベッドの上に寝ていなかったら、けがをしていたかもしれないほどです。
As it was, the jar made her catch her breath and wonder what had happened;	そんなふうでしたから、ドロシーはその衝撃に息をのんで、何が起こったのだろうと思いました。
and Toto put his cold little nose into her face and whined dismally.	トトは冷たい小さな鼻をドロシーの顔におしつけて、クンクンと情けなく鳴きました。
Dorothy sat up and noticed that the house was not moving;	ドロシーは起きなおって、家が動いていないことに気づきました。
nor was it dark,	暗くもありませんでした。
for the bright sunshine came in at the window, flooding the little room.	明るい太陽の光が窓から入ってきて、小さな部屋に満ちていたのです。
She sprang from her bed and with Toto at her heels ran and opened the door.	ドロシーはベッドから飛び出て、トトをすぐ後ろに続かせて走り、戸を開けました。
The little girl gave a cry of amazement and looked about her, her eyes growing bigger and bigger at the wonderful sights she saw.	少女は驚きの叫び声をあげてあたりを見渡し、その素晴らしい景色を見た目は大きく、大きくなりました。
The cyclone had set the house down very gently--for a cyclone--in the midst of a country of marvelous beauty.	とてつもなく美しい土地の真ん中に、竜巻はとても静かに（竜巻にしては、ですが）家を降ろしました。
There were lovely patches of greensward all about, with stately trees bearing rich and luscious fruits.	立派な木々が濃厚で甘美な果実をたわわに実らせている、美しい芝生の区画がそこらじゅうに広がっていました。
Banks of gorgeous flowers were on every hand, and birds with rare and brilliant plumage sang and fluttered in the trees and bushes.	四方八方には見事な花々の土手があり、鮮やかで珍しい羽根の鳥たちは木々や茂みの間をはためき舞い、歌をうたっていました。
A little way off was a small brook, rushing and sparkling along between green banks, and murmuring in a voice very grateful to a little girl who had lived so long on the dry, gray prairies.	少し離れた所には、緑の土手の間に沿って小川がサラサラときらめき流れ、乾いた灰色の大草原に長いこと住んでいた少女にはとても心地よく響いたのでした。
While she stood looking eagerly at the strange and beautiful sights, she noticed coming toward her a group of the queerest people she had ever seen.	ドロシーは珍しくてきれいな光景に目をみはって立っていると、今までに見たこともないような奇妙な人々の一団がドロシーの方にやってくるのに気づきました。
They were not as big as the grown folk she had always been used to; but neither were they very small.	彼らはドロシーがいつも見馴れていた大人達ほど大きくはなかったけれど、とても小さいというほどでもありませんでした。
In fact, they seemed about as tall as Dorothy, who was a well-grown child for her age, although they were, so far as looks go, many years older.	実際、年のわりには大きいドロシーと同じくらいの背の高さなのに、見た目は何歳も年上のようでした。
Three were men and one a woman, and all were oddly dressed.	みんな奇妙な恰好をしていて、三人が男の人で一人は女の人でした。
They wore round hats that rose to a small point a foot above their heads, with little bells around the brims that tinkled sweetly as they moved.	三十センチぐらいの高さのとんがり帽をかぶっていて、動くたびにつばの周りの小さな鈴がかわいらしく鳴るのでした。
The hats of the men were blue; the little woman's hat was white,	男の人の帽子は青で、小さな女の人の帽子は白でした。
and she wore a white gown that hung in pleats from her shoulders.	女の人は白いガウンを、ひだをつけて肩から羽織っていました。
Over it were sprinkled little stars that glistened in the sun like diamonds.	ガウンには小さな星がまき散らしてあって、太陽の光のなかでダイヤモンドのようにきらめきました。
The men were dressed in blue, of the same shade as their hats, and wore well-polished boots with a deep roll of blue at the tops.	男の人たちは帽子と同じ色合いの青い服を着て、ぴかぴかに磨いたブーツは上のほうの深い折り返しが青色でした。
The men, Dorothy thought, were about as old as Uncle Henry, for two of them had beards.	そのうち二人はひげをはやしていたので、男の人たちはヘンリーおじさんと同じくらいの年なのだとドロシーは思いました。
But the little woman was doubtless much older.	でも小さな女の人は間違いなく、もっと年上でした。
Her face was covered with wrinkles, her hair was nearly white, and she walked rather stiffly.	顔はしわだらけで髪はほとんど白く、ずいぶんぎこちなく歩いていました。
When these people drew near the house where Dorothy was standing in the doorway, they paused and whispered among themselves, as if afraid to come farther.	彼らはドロシーが戸口に立っている家に近づくと、立ち止まって内緒ばなしをして、まるでこれ以上近づくのをためらうようでした。
But the little old woman walked up to Dorothy, made a low bow and said, in a sweet voice:	でも小さなお婆さんはドロシーの所までやって来ると、深くおじぎをして優しい声で言いました。
"You are welcome, most noble Sorceress, to the land of the Munchkins.	「ようこそマンチキンの国へ、気高い魔術師さま。
We are so grateful to you for having killed the Wicked Witch of the East, and for setting our people free from bondage."	あなたが東の邪悪な魔女を殺してくれたので、人々は魔女の隷属から解放され、たいへん感謝しています」
Dorothy listened to this speech with wonder.	ドロシーはこのあいさつを不思議に思いながら聞きました。
What could the little woman possibly mean by calling her a sorceress, and saying she had killed the Wicked Witch of the East?	いったいぜんたいドロシーが魔術師だなんて、それに東の邪悪な魔女を殺したですって、この小さな女の人は何を言っているのでしょう。
Dorothy was an innocent, harmless little girl, who had been carried by a cyclone many miles from home; and she had never killed anything in all her life.	ドロシーはずっと遠くの故郷から竜巻で運ばれてきた、純真で無邪気な少女で、今まで決してなにも殺したことはありません。
But the little woman evidently expected her to answer; so Dorothy said, with hesitation,	どうやら小さな女の人はドロシーの返事を待っているようでしたので、ドロシーはためらいがちに言いました。
"You are very kind,	「ご親切にありがとう。
but there must be some mistake.	でもきっと何か誤解されてます。
I have not killed anything."	あたしは何も殺してません」
"Your house did, anyway,"	「とはいえ、あなたの家が、殺したのですよ」
replied the little old woman, with a laugh,	小さなお婆さんは笑いながら言いました。
"and that is the same thing.	「だから同じことでしょう、
See!"	ほら、」
she continued, pointing to the corner of the house.	家の角を指さして、続けて言いました。
"There are her two feet, still sticking out from under a block of wood."	「つま先がまだ木材の下から突き出てますよ」
Dorothy looked, and gave a little cry of fright.	ドロシーは見ると、ぎょっとして小さく叫び声をあげました。
There, indeed, just under the corner of the great beam the house rested on, two feet were sticking out, shod in silver shoes with pointed toes.	本当に、家を支える大きな横材の角の下から、銀色のつま先がとがった靴を履いた足が二本、突き出ていました。
"Oh, dear!	「あら！
Oh, dear!"	まあ、まあ！」
cried Dorothy, clasping her hands together in dismay.	ドロシーはおろおろして両手をにぎりしめ、言いました。
"The house must have fallen on her.	「家がこの人の上に落ちちゃったんだわ。
Whatever shall we do?"	どうしましょう」
"There is nothing to be done,"	「どうしようもないわ」
said the little woman calmly.	小さな女の人は、落ち着きはらって言いました。
"But who was she?"	「でも、この人は誰なの？」
asked Dorothy.	ドロシーは聞きました。
"She was the Wicked Witch of the East,	「東の邪悪な魔女ですよ。
as I said,"	さっき言った通り、」
answered the little woman.	小さな女の人は答えました。
"She has held all the Munchkins in bondage for many years, making them slave for her night and day.	「彼女は何年もマンチキンたちをしばりつけて、奴隷にして朝から晩まで働かせていたのよ。
Now they are all set free, and are grateful to you for the favor."	今ではみんな自由になって、あなたの親切に感謝しているの」
"Who are the Munchkins?"	「マンチキンって？」
"They are the people who live in this land of the East where the Wicked Witch ruled."	「東の邪悪な魔女が支配していた、この東の国に住む人たちのことよ」
"Are you a Munchkin?"	「あなたはマンチキン？」
asked Dorothy.	ドロシーは尋ねました。
"No, but I am their friend, although I live in the land of the North.	「いいえ、でも彼らの味方よ、私は北の国に住んでいるのだけどね。
When they saw the Witch of the East was dead the Munchkins sent a swift messenger to me, and I came at once.	マンチキンたちは東の魔女が死んだとみると、私に急ぎの使いをよこしてきて、それで私がすぐにやって来たの。
I am the Witch of the North."	私は北の魔女よ」
"Oh, gracious!"	「まあ、すごい！」
cried Dorothy.	ドロシーは叫びました。
"Are you a real witch?"	「あなた本物の魔女？」
"Yes, indeed,"	「ええ、そうよ」
answered the little woman.	小さな女の人は答えました。
"But I am a good witch, and the people love me.	「でも私はみんなから好かれる、いい魔女よ。
I am not as powerful as the Wicked Witch was who ruled here,	ここを支配していた東の魔女ほどの力はないけれど。
or I should have set the people free myself."	そうじゃなかったら、自分で彼らを自由にしてあげていたわ」
"But I thought all witches were wicked,"	「でも、魔女はみんな悪い人だと思ってたわ」
said the girl, who was half frightened at facing a real witch.	少女は本物の魔女に向かっていたので、なかば恐がって言いました。
"Oh, no, that is a great mistake.	「まあ、それは大きな間違いだわ。
There were only four witches in all the Land of Oz, and two of them, those who live in the North and the South, are good witches.	オズの世界の魔女は四人だけで、北と南に住む二人はいい魔女なのよ。
I know this is true, for I am one of them myself, and cannot be mistaken.	これは本当よ、私がその一人なんだから間違いないわ。
Those who dwelt in the East and the West were, indeed, wicked witches;	本当に邪悪なのは、東と西に住む魔女よ。
but now that you have killed one of them, there is but one Wicked Witch in all the Land of Oz--the one who lives in the West."	でも今あなたが一人殺したから、オズの世界の邪悪な魔女は東の魔女一人だけになったわ」
"But,"	「でも」
said Dorothy, after a moment's thought,	ちょっと考えてから、ドロシーは言いました。
"Aunt Em has told me that the witches were all dead--years and years ago."	「エムおばさんは、魔女はみんなずっとむかしに死んだって言ってたわ」
"Who is Aunt Em?"	「エムおばさん？」
inquired the little old woman.	小さなお婆さんは尋ねました。
"She is my aunt who lives in Kansas,	「カンザスに住んでいるあたしのおばさんよ。
where I came from."	そこから来たの」
The Witch of the North seemed to think for a time,	北の魔女は少しの間、考えているようでした。
with her head bowed and her eyes upon the ground.	顔をうつむかせて、目は地面を見つめていました。
Then she looked up and said,	そして顔を上げると、言いました。
"I do not know where Kansas is, for I have never heard that country mentioned before.	「どこにあるのかも知らないわ、カンザスなんて今まで聞いたこともないからねえ。
But tell me,	でも、ひとつ教えて。
is it a civilized country?"	それは文明の進んだ国なのかしら？」
"Oh, yes,"	「ええ、そうよ」
replied Dorothy.	ドロシーは答えました。
"Then that accounts for it.	「それで説明がつくわね。
In the civilized countries I believe there are no witches left,	文明化された国にはもう魔女はいないと思うわ。
nor wizards, nor sorceresses, nor magicians.	魔法使いも、魔術師も、奇術師もいないのよ。
But, you see, the Land of Oz has never been civilized, for we are cut off from all the rest of the world.	でもね、オズの国はいちどだって文明化されたことなんてないでしょう、他の世界からは切り離されているのだもの。
Therefore we still have witches and wizards amongst us."	だからここにはまだ魔女や魔法使いがいるのよ」
"Who are the wizards?"	「魔法使いは誰なの？」
"Oz himself is the Great Wizard,"	「オズその人です、えらい魔法使いですよ」
answered the Witch, sinking her voice to a whisper.	声をひそめながら、魔女は答えました。
"He is more powerful than all the rest of us together.	「オズは私たちみんなが束になってもかなわない力をお持ちなのよ。
He lives in the City of Emeralds."	エメラルドの都に住んでいらっしゃるの」
Dorothy was going to ask another question, but just then the Munchkins, who had been standing silently by, gave a loud shout and pointed to the corner of the house where the Wicked Witch had been lying.	ドロシーがもうひとつ質問をしようとした時、静かにそばに立っていたマンチキンたちが大きな叫び声をあげて、邪悪な魔女が倒れていた家の角を指差しました。
"What is it?"	「どうしたの？」
asked the little old woman,	小さなお婆さんは聞きました。
and looked, and began to laugh.	そして目を向けると、笑いだしました。
The feet of the dead Witch had disappeared entirely, and nothing was left but the silver shoes.	死んだ魔女の足は全部消えて、銀の靴だけが残っていました。
"She was so old,"	「だいぶ年寄りだったから、」
explained the Witch of the North,	北の魔女は説明しました。
"that she dried up quickly in the sun.	「太陽ですぐにひからびちゃったのよ。
That is the end of her.	もうこの人もおしまいよね。
But the silver shoes are yours, and you shall have them to wear."	これで銀の靴はもうあなたのものよ、あなたが履くべきだわ」
She reached down and picked up the shoes, and after shaking the dust out of them handed them to Dorothy.	そして手を伸ばして靴を拾いあげ、ほこりを払ってドロシーにわたしました。
"The Witch of the East was proud of those silver shoes,"	「東の魔女はこの靴がご自慢でした」
said one of the Munchkins,	マンチキンの一人が言いました。
"and there is some charm connected with them;	「何か魔法がかかっているのです。
but what it is we never knew."	それが何なのか、私たちには分からずじまいでしたが」
Dorothy carried the shoes into the house and placed them on the table.	ドロシーはその靴を家の中へ持って入り、テーブルの上に置きました。
Then she came out again to the Munchkins and said:	そしてマンチキンたちの所へもどってくると、言いました。
"I am anxious to get back to my aunt and uncle,	「あたし、どうしてもおばさんとおじさんの所へ戻りたいの。
for I am sure they will worry about me.	心配しているに違いないわ。
Can you help me find my way?"	どうやったら帰れるのかしら」
The Munchkins and the Witch first looked at one another, and then at Dorothy, and then shook their heads.	魔女とマンチキンたちはお互いの顔を見合わせ、ドロシーの顔を見て、首を振りました。
"At the East, not far from here,"	「東の方には、」
said one,	一人が言いました。
"there is a great desert, and none could live to cross it."	「ここからそう遠くない所に広い砂漠があって、誰も生きては通れませんよ」
"It is the same at the South,"	「南も同じ、」
said another,	もう一人が言いました。
"for I have been there and seen it.	「そこに行ってこの目で見てきたものでね。
The South is the country of the Quadlings."	南はカドリングたちの国ですよ」
"I am told,"	「聞くところによると、」
said the third man,	三人目が言いました。
"that it is the same at the West.	「それは西も同じようです。
And that country, where the Winkies live, is ruled by the Wicked Witch of the West, who would make you her slave if you passed her way."	ウィンキーたちが住む国は、邪悪な西の魔女に支配されていて、そこを通り過ぎようものなら、奴隷にされてしまうということですよ」
"The North is my home,"	「北は私の故郷よ」
said the old lady,	お婆さんは言いました。
"and at its edge is the same great desert that surrounds this Land of Oz.	「そのはずれにもやっぱり砂漠があって、このオズの世界を取り囲んでいるのよ。
I'm afraid, my dear, you will have to live with us."	かわいそうだけど、私たちと一緒に暮らすしかないようだわね」
Dorothy began to sob at this,	ドロシーはこれを聞いて、すすり泣きだしました。
for she felt lonely among all these strange people.	こんな見知らぬ人たちのなかで、一人ぼっちに思えたのです。
Her tears seemed to grieve the kind-hearted Munchkins,	ドロシーの涙は、優しい気だてのマンチキンたちを悲しませたようです。
for they immediately took out their handkerchiefs and began to weep also.	彼らもすぐにハンカチを取り出し、泣きはじめました。
As for the little old woman, she took off her cap and balanced the point on the end of her nose, while she counted "One, two, three" in a solemn voice.	小さなお婆さんのほうは、おごそかな声で「いち、にの、さん」とかぞえながら、帽子を脱いでてっぺんを鼻の先に上手にのせました。
At once the cap changed to a slate, on which was written in big, white chalk marks:	帽子はあっという間に黒板になって、白いチョ―クでこう書かれていました。
"LET DOROTHY GO TO THE CITY OF EMERALDS"	「ドロシーをエメラルドの都へ」
The little old woman took the slate from her nose, and having read the words on it, asked,	小さなお婆さんは鼻から黒板をとって読むと、聞きました。
"Is your name Dorothy, my dear?"	「あなたの名前はドロシーというの？」
"Yes,"	「はい」
answered the child, looking up and drying her tears.	ドロシーは涙をふきながら顔を上げて答えました。
"Then you must go to the City of Emeralds.	「ではあなたはエメラルドの都へ行かなくては。
Perhaps Oz will help you."	もしかすると、オズが助けてくださるかもしれないわ」
"Where is this city?"	「それはどこにあるの？」
asked Dorothy.	ドロシーは聞きました。
"It is exactly in the center of the country, and is ruled by Oz, the Great Wizard I told you of."	「この世界のちょうど真ん中にあって、あなたに話した、えらい魔法使いのオズに支配されているのよ」
"Is he a good man?"	「オズはいい人なんですか？」
inquired the girl anxiously.	ドロシーは心配そうに、たずねました。
"He is a good Wizard.	「いい魔法使いよ。
Whether he is a man or not I cannot tell, for I have never seen him."	人なのかどうか、私は会ったことがないからわからないけれど」
"How can I get there?"	「どうやったらそこへ行けるの？」
asked Dorothy.	ドロシーは聞きました。
"You must walk.	「歩かなくてはいけないわね。
It is a long journey, through a country that is sometimes pleasant and sometimes dark and terrible.	ときには楽しく、ときには暗くて恐ろしい所も通る、長い旅になるわ。
However, I will use all the magic arts I know of to keep you from harm."	でも、私の知る限りの魔法を使って、あなたを守ってあげましょう」
"Won't you go with me?"	「一緒にきてくれませんか？」
pleaded the girl, who had begun to look upon the little old woman as her only friend.	小さなお婆さんをただ一人の友達だと思いはじめた少女は、お願いしました。
"No, I cannot do that,"	「それはできないわ」
she replied,	魔女は答えました。
"but I will give you my kiss,	「でもあなたにキスをしてあげましょう。
and no one will dare injure a person who has been kissed by the Witch of the North."	北の魔女からキスを受けた人には、だれも手出しできないのよ」
She came close to Dorothy and kissed her gently on the forehead.	魔女はドロシーに近づいて、額に優しくキスをしました。
Where her lips touched the girl they left a round, shining mark, as Dorothy found out soon after.	ドロシーはすぐ後で気づいたのですが、魔女の唇がふれた所には、丸く光る跡が残っていました。
"The road to the City of Emeralds is paved with yellow brick,"	「エメラルドの都への道は、黄色いレンガが敷かれているから、」
said the Witch,	魔女は言いました。
"so you cannot miss it.	「道を見失うことはないわ。
When you get to Oz do not be afraid of him, but tell your story and ask him to help you.	オズのところに着いたら、怖がらずに事情を話して、助けてもらうようにお願いなさい。
Good-bye, my dear."	さようなら、おじょうさん」
