TALES OF TROY: ULYSSES THE SACKER OF CITIES	トロイア物語：都市の略奪者ユリシーズ
where he had learned how to row, and how to sail a boat, and how to shoot with bow and arrow, and to hunt boars and stags, and manage his hounds.	その島でユリシーズは、舟の漕ぎ方、帆走のし方、弓矢の射方、猪や牡鹿の狩り方、猟犬の操り方を習ったのだ。
The mother of Ulysses was called Anticleia:	ユリシーズの母はアンティクレイアという名で、
she was the daughter of King Autolycus, who lived near Parnassus, a mountain on the mainland.	ギリシア本土の山パルナッソスのそばに住むアウトリュコス王の娘だった。
This King Autolycus was the most cunning of men.	このアウトリュコス王はもっとも狡知にたけた人間だった。
He was a Master Thief, and could steal a man's pillow from under his head,	彼は盗みの達人で、人の頭の下から枕を盗むことができた。
but he does not seem to have been thought worse of for this.	だが、それで悪い人だと思われていたわけではないようだ。
The Greeks had a God of Thieves, named Hermes, whom Autolycus worshipped,	ギリシア人にはヘルメースという名の盗人の神がいるくらいで、アウトリュコスもこの神を崇拝していた。
and people thought more good of his cunning tricks than harm of his dishonesty.	それに人々は不正直の害より、狡知にたけた策略の巧みさのほうを重んじていたのだ。
Perhaps these tricks of his were only practised for amusement;	おそらく彼のこうした策略は慰みに行われただけなのだろう。
however that may be, Ulysses became as artful as his grandfather;	とはいえ、ユリシーズも祖父と同じくらい策略に巧みになった。
he was both the bravest and the most cunning of men,	彼は人の中でもっとも勇敢であると同時に、もっとも狡知にたけていた。
but Ulysses never stole things, except once, as we shall hear, from the enemy in time of war.	だがユリシーズは、私たちが聞くかぎりでは、戦のときに敵から一度盗みを働いた以外には、決して物を盗んだことはなかった。
He showed his cunning in stratagems of war, and in many strange escapes from giants and man-eaters.	彼がずる賢さをみせたのは、戦の計略や、巨人や人食いどもから何度も不思議に逃げおおせた時であった。
Soon after Ulysses was born, his grandfather came to see his mother and father in Ithaca.	ユリシーズが生まれるとすぐ、祖父が父母に会いにイタケーにやってきた。
He was sitting at supper when the nurse of Ulysses, whose name was Eurycleia, brought in the baby, and set him on the knees of Autolycus, saying,	彼が夕食の席に着いていると、エウリュクレエイアという名の、ユリシーズの乳母が赤ん坊をつれてきて、アウトリュコスの膝にのせ、
"Find a name for your grandson,	「お孫さんに名を付けられませ。
for he is a child of many prayers."	このお子は多くの願い事をもった子ですから。」
"I am very angry with many men and women in the world,"	「儂はは世界中の多くの男女に腹をたておるのじゃ。」
said Autolycus,	とアウトリュコスは言った。
"so let the child's name be A MAN OF WRATH,"	「だからこの子の名を『怒りの男』にしよう。」
which, in Greek, was Odysseus.	この言葉はギリシア語ではオデュッセウスといった。
So the child was called Odysseus by his own people,	それでこの子はギリシアの人々からはオデュッセウスとよばれた。
but the name was changed into Ulysses, and we shall call him Ulysses.	だがこの名前は後にユリシーズと変化したので、私たちは彼をユリシーズと呼ぶことにしよう。
We do not know much about Ulysses when he was a little boy, except that he used to run about the garden with his father, asking questions, and begging that he might have fruit trees "for his very own."	小さな少年だったころのユリシーズについては、よく父親と庭を走り回り、質問をし、「自分だけの」果樹が欲しいとねだったこと以外は、ほとんどわからない。
He was a great pet, for his parents had no other son,	ユリシーズの両親には他に息子がいなかったので、彼をとても溺愛していた。
so his father gave him thirteen pear trees, and forty fig trees, and promised him fifty rows of vines, all covered with grapes,	だから、父親は１３本のナシの木と４０本のイチジクの木をくれたし、びっしりと実におおわれた５０株のブドウも約束してくれた。
which he could eat when he liked, without asking leave of the gardener.	この果物をユリシーズは、庭師の許しがなくても、好きなときに食べられたのだ。
So he was not tempted to steal fruit, like his grandfather.	それで彼は、祖父のように果物を盗もうなどとはしなかった。
When Autolycus gave Ulysses his name, he said that he must come to stay with him,	アウトリュコスはユリシーズに名前を付けたとき、ユリシーズが大きな少年になったら、自分のところに来るように言っておいた。
when he was a big boy, and he would get splendid presents.	そうすればユリシーズはすばらしい贈物がもらえることになっていたのだ。
Ulysses was told about this, so, when he was a tall lad, he crossed the sea and drove in his chariot to the old man's house on Mount Parnassus.	ユリシーズはそう聞かされていたので、背の高い若者になると、海を渡り、戦車を駆って、パルナッソス山の老人の家へと向かった。
Everybody welcomed him,	誰もがユリシーズを歓迎した。
and next day his uncles and cousins and he went out to hunt a fierce wild boar, early in the morning.	そして翌日、ユリシーズは叔父やいとこたちと一緒に、朝早くから獰猛な猪を狩りにいった。
Probably Ulysses took his own dog,	おそらくユリシーズは自分の犬を連れていったのだろう。
named Argos, the best of hounds,	この犬はアルゴスという名で、一番よい猟犬だった。
of which we shall hear again, long afterwards, for the dog lived to be very old.	とても長生きしたので、ずっと後にもう一度その名を聞くことになるだろう。
Soon the hounds came on the scent of a wild boar, and after them the men went, with spears in their hands,	すぐに猟犬は猪をかぎつけ、人々は槍を手にその後をついて行った。
and Ulysses ran foremost,	そしてユリシーズは先頭を走っていた。
for he was already the swiftest runner in Greece.	それは、ユリシーズはもうギリシアで一番早い走者になっていたからなのだ。
He came on a great boar lying in a tangled thicket of boughs and bracken, a dark place where the sun never shone, nor could the rain pierce through.	ユリシーズは、大枝とシダがもつれあった茂みの中、陽もささず雨も降り込まないような暗い場所に横たわる大きな猪のところにやってきた。
Then the noise of the men's shouts and the barking of the dogs awakened the boar, and up he sprang, bristling all over his back, and with fire shining from his eyes.	そのとき、騒々しい人々の叫び声や犬の吠える声で、猪は目を覚まし、跳ね起きると、背中の毛をすべて逆立て、目を炎のように輝かせた。
In rushed Ulysses first of all, with his spear raised to strike,	ユリシーズは、突き刺そうと槍を掲げて、誰よりも先に、突進した。
but the boar was too quick for him,	だが猪は彼にはあまりにすばしこっかった。
and ran in, and drove his sharp tusk sideways, ripping up the thigh of Ulysses.	迫って来ると鋭い牙を横にふって、ユリシーズのふとももを引き裂いた。
But the boar's tusk missed the bone,	しかし猪の牙は骨まではとどかなかった。
and Ulysses sent his sharp spear into the beast's right shoulder, and the spear went clean through, and the boar fell dead, with a loud cry.	ユリシーズは鋭い槍を獣の右肩に投げ、槍はきれいに貫き、猪は大きな叫び声をあげて、倒れて死んだ。
The uncles of Ulysses bound up his wound carefully, and sang a magical song over it,	ユリシーズの叔父たちは傷口を注意深くつなぎ、そのうえに魔法の歌を歌った。
as the French soldiers wanted to do to Joan of Arc when the arrow pierced her shoulder at the siege of Orleans.	ジャンヌ・ダルクがオルレアン包囲戦で肩を矢で射抜かれたとき、フランスの兵士たちも彼女に同じようなことをしようとしたのだ。
Then the blood ceased to flow, and soon Ulysses was quite healed of his wound.	すると流れ出る血は止まり、ユリシーズの傷はすぐに治った。
They thought that he would be a good warrior, and gave him splendid presents,	みんなは彼が優れた戦士になると思い、すばらしい贈物をくれた。
and when he went home again he told all that had happened to his father and mother, and his nurse, Eurycleia.	そしてユリシーズは家に戻ると、出来事の一部始終を父母と乳母のエウリュクレエイアに語って聞かせた。
But there was always a long white mark or scar above his left knee, and about that scar we shall hear again, many years afterwards.	しかし、彼の左すねには長く白い傷跡がずっと残り、その傷跡については、ずうっと年月を経たあとで再び聞くことになるだろう。
HOW PEOPLE LIVED IN THE TIME OF ULYSSES	ユリシーズの時代の人々の暮らし
When Ulysses was a young man he wished to marry a princess of his own rank.	ユリシーズは、青年になると、自分と同じ階級の王女と結婚したいと思った。
Now there were at that time many kings in Greece,	さてその時代、ギリシアにはたくさんの王がいた。
and you must be told how they lived.	その王たちがどのように生活していたかを教えてしんぜよう。
Each king had his own little kingdom, with his chief town, walled with huge walls of enormous stone.	どの王にも自分の小さな王国があり、それには都があって、大きな石で築いた巨大な城壁に囲まれていた。
Many of these walls are still standing, though the grass has grown over the ruins of most of them,	こういう城壁の多くがまだ残っているが、ほとんどの廃虚が生い茂る草に覆われている。
and in later years, men believed that those walls must have been built by giants,	後の時代には、そういう城壁は巨人が建てたにちがいないと信じられていた。
the stones are so enormous.	それほど石は大きかったのだ。
Each king had nobles under him, rich men, and all had their palaces,	どの王も貴族を配下に抱え、富裕で、みな宮殿をもっていた。
each with its courtyard, and its long hall, where the fire burned in the midst, and the King and Queen sat beside it on high thrones, between the four chief carved pillars that held up the roof.	どの宮殿にも中庭があり、屋根を支える４本の彫刻をほどこした柱の間には、長い広間があり、その真ん中で火が燃えていた。
The thrones were made of cedar wood and ivory, inlaid with gold,	玉座は杉材と象牙でつくられ、黄金の象眼がほどこされていた。
and there were many other chairs and small tables for guests, and the walls and doors were covered with bronze plates, and gold and silver, and sheets of blue glass.	その他に客用のたくさんの椅子と小さな卓があり、風と扉は青銅の板や金、銀、青ガラスの板で覆われていた。
Sometimes they were painted with pictures of bull hunts, and a few of these pictures may still be seen.	壁と扉には牡牛狩の絵が描かれる事もあったが、このような絵は、わずかではあるが、まだ見ることができる。
At night torches were lit, and placed in the hands of golden figures of boys,	夜には松明に火をともし、黄金の少年像の手に持たせた。
but all the smoke of fire and torches escaped by a hole in the roof, and made the ceiling black.	だが火や松明の煙は屋根の穴から逃すようになっており、天井は煙で真っ黒になった。
On the walls hung swords and spears and helmets and shields, which needed to be often cleaned from the stains of the smoke.	壁には剣と槍、兜と盾が掛けてあったが、ときには煙の汚れを落してやる必要があった。
The minstrel or poet sat beside the King and Queen, and, after supper he struck his harp, and sang stories of old wars.	吟遊詩人が王と王妃の傍らにはべり、夕食の後でハープをかきならして、古えの戦の物語を歌った。
At night the King and Queen slept in their own place, and the women in their own rooms;	夜になると、王と王妃はそれぞれの場所で、女たちは自分たちの部屋で眠った。
the princesses had their chambers upstairs, and the young princes had each his room built separate in the courtyard.	王女は二階に部屋があり、若い王子には中庭にそれぞれべつべつに建てた部屋があった。
There were bath rooms with polished baths, where guests were taken when they arrived dirty from a journey.	磨きあげた浴槽がある浴室があり、客人が旅から汚れて到着すると、そこで入浴した。
The guests lay at night on beds in the portico,	客人は夜になるとポーチコ［訳注：柱で支えられた屋根つき玄関］のベッドで寝た。
for the climate was warm.	気候は暖かだったのでそれでよかったのだ。
There were plenty of servants, who were usually slaves taken in war,	たくさんの召使がいたが、普通は戦争で捕らわれた奴隷であった。
but they were very kindly treated, and were friendly with their masters.	だがとても親切に扱われ、主人とは親しい間柄であった。
No coined money was used;	鋳造貨幣は使われておらず、
people paid for things in cattle, or in weighed pieces of gold.	物を買うには、牛か重さを計った黄金のかけらで支払った。
Rich men had plenty of gold cups, and gold-hilted swords, and bracelets, and brooches.	富裕な者らは金杯であるとか金の柄の剣、腕輪、ブローチをたくさん持っていた。
The kings were the leaders in war and judges in peace,	王は戦時には指導者、平和なときは裁判官であった。
and did sacrifices to the Gods, killing cattle and swine and sheep, on which they afterwards dined.	それに王は牛、豚、羊を殺して、神への犠として捧げ、その後食事に供した。
They dressed in a simple way, in a long smock of linen or silk, which fell almost to the feet, but was tucked up into a belt round the waist, and worn longer or shorter, as they happened to choose.	彼らは簡単に、ほとんど足までとどく長い麻や絹の上っ張りを着ていたが、腰帯にたくしこんで、長くすることも短くすることもできた。
Where it needed fastening at the throat, golden brooches were used,	喉元で留める必要があれば、金のブローチを使った。
beautifully made, with safety pins.	そのブローチは美しく仕上げられ、安全ピンがついていた。
This garment was much like the plaid that the Highlanders used to wear, with its belt and brooches.	この服装はスコットランド高地人がベルトとブローチをつけてよく着ているプレード［訳注：格子縞の肩掛け］にとてもよく似ていた。
Over it the Greeks wore great cloaks of woollen cloth when the weather was cold, but these they did not use in battle.	天気が寒ければ、ギリシア人はその上から羊毛製の大きな外套を着たが、戦の時にはこういうものは使わなかった。
They fastened their breastplates, in war, over their smocks, and had other armour covering the lower parts of the body, and leg armour called "greaves";	戦の時は、上っ張りの上から胸当てを着け、体の下の方を覆う別の武具と「グリーブ」とよばれるすね当てを着けた。
while the great shield which guarded the whole body from throat to ankles was carried by a broad belt slung round the neck.	喉から踝まで全身を護る大盾はといえば、幅広の帯で首から吊して運んだ。
The sword was worn in another belt, crossing the shield belt.	剣は盾を吊った帯とたすきに掛けたもう一本の帯に吊した。
They had light shoes in peace, and higher and heavier boots in war, or for walking across country.	平和な時は軽い靴をはいていたが、戦の時や国中を歩き回る時には、もっとたけが高くて重い長靴をはいた。
The women wore the smock, with more brooches and jewels than the men;	上っ張りを着るのに、女は男よりたくさんブローチや宝石を使ったし、
and had head coverings, with veils, and mantles over all, and necklaces of gold and amber, earrings, and bracelets of gold or of bronze.	頭はヴェールで覆うか、すっぽりと外套を被り、黄金と琥珀のネックレスやイヤリング、黄金や青銅の腕輪をしていた。
The colours of their dresses were various, chiefly white and purple;	着物の色はさまざまであったが、白や紫が主であった。
and, when in mourning, they wore very dark blue, not black.	喪に服しているときは、黒ではなく、とても暗い青い服を着た。
All the armour, and the sword blades and spearheads were made, not of steel or iron, but of bronze, a mixture of copper and tin.	どの武具も、剣の刃も槍の穂先も、鋼や鉄ではなく胴と錫の合金である青銅でつくられた。
The shields were made of several thicknesses of leather, with a plating of bronze above;	盾は何枚か重ねた皮でつくられ、その上には青銅の板がつけられた。
tools, such as axes and ploughshares, were either of iron or bronze;	斧や犁先といった道具は鉄または青銅製で、
and so were the blades of knives and daggers.	ナイフや短剣の刃もそうだった。
To us the houses and way of living would have seemed very splendid, and also, in some ways, rather rough.	私たちには家や生活様式はとてもすばらしく見えるが、また他のことではかなり粗野な点もあった。
The palace floors, at least in the house of Ulysses, were littered with bones and feet of the oxen slain for food,	宮殿の床は、少なくともユリシーズの家では、食糧として殺された雄牛の骨や脚が散らかっていた。
but this happened when Ulysses had been long from home.	けれどこれはユリシーズが長い間留守にしていたときの出来事。
The floor of the hall in the house of Ulysses was not boarded with planks, or paved with stone:	ユリシーズの家の広間の床は厚板を張ってはいなかったし、石を敷き詰めてもおらず、
it was made of clay;	粘土でできていた。
for he was a poor king of small islands.	というのもユリシーズは小さな島の貧しい王であったのだからだ。
The cooking was coarse:	料理は粗末で、
a pig or sheep was killed, roasted and eaten immediately.	豚や羊を殺しては焼き、すぐに食べていた。
We never hear of boiling meat, and though people probably ate fish, we do not hear of their doing so, except when no meat could be procured.	肉を煮たということは聞いたことはないし、また魚を食べていたに違いないが、肉が手に入らなかったとき以外に、魚を食べたということも聞いたことが無い。
Still some people must have liked them;	それでも魚を好んだ人がいたのは間違いない。
for in the pictures that were painted or cut in precious stones in these times we see the half-naked fisherman walking home, carrying large fish.	なぜというに、この時代の貴石に描いたり刻んだりした絵には、半裸の漁夫が大きな魚をもって家に戻るところがあるのだから。
The people were wonderful workers of gold and bronze.	人々は黄金や青銅のすばらしい細工師であった。
Hundreds of their golden jewels have been found in their graves,	墓の中からは何百もの黄金の宝飾品がみつかっている。
but probably these were made and buried two or three centuries before the time of Ulysses.	だが、これらはたぶんユリシーズの時代より二、三世紀前に作られ埋葬されたものだ。
The dagger blades had pictures of fights with lions, and of flowers, inlaid on them, in gold of various colours, and in silver;	短剣の刃には、獅子との戦いや花が、さまざまな色合いの金や銀の象眼で描かれていた。
nothing so beautiful is made now.	これほど美しいものは今では作られていない。
There are figures of men hunting bulls on some of the gold cups, and these are wonderfully life-like.	金杯には牡牛狩をする人の姿が描かれているが、それはすばらしく生き生きとしている。
The vases and pots of earthenware were painted in charming patterns:	土器の花瓶や壺にはすてきな模様が描かれている。
in short, it was a splendid world to live in.	一言で言えば、それは生きるのにすばらしい世界であった。
The people believed in many Gods, male and female, under the chief God, Zeus.	人々は主神ゼウスの下、たくさんの男女の神々を信じていた。
The Gods were thought to be taller than men, and immortal, and to live in much the same way as men did, eating, drinking, and sleeping in glorious palaces.	神々は人間より大きく、不死であるが、ほとんど人間と同じように生活し、荘厳な宮殿で飲んだり、食べたり、眠ったりすると考えていた。
Though they were supposed to reward good men, and to punish people who broke their oaths and were unkind to strangers, there were many stories told in which the Gods were fickle, cruel, selfish, and set very bad examples to men.	神々は善人には褒美を与え、誓いを破ったり、異邦人に不親切にした人々を罰すると考えられてはいたが、神々が気まぐれで、残酷で、利己的で、人に悪いお手本を示したという物語もたくさんあった。
How far these stories were believed is not sure;	こうした物語がどれほど信じられていたのかは定かでないが、
it is certain that "all men felt a need of the Gods," and thought that they were pleased by good actions and displeased by evil.	「誰でも神々の求めるものを感じとり」、神々は善行を喜び、悪事では不快になると考えていたことは確かである。
Yet, when a man felt that his behaviour had been bad, he often threw the blame on the Gods, and said that they had misled him,	けれども、人は自分の行いが悪かったと思ったときに、神々のせいにして、神々が自分を惑わせたのだいうことも度々だった。
which really meant no more than that "he could not help it."	まあ、それは実際のところ「避けようがなかった」といっているにすぎないのだが。
There was a curious custom by which the princes bought wives from the fathers of the princesses, giving cattle and gold, and bronze and iron, but sometimes a prince got a wife as the reward for some very brave action.	王子が牛や黄金、青銅、鉄で、王女の父親から花嫁を買うという奇妙な習慣があったが、ときには何か非常に勇敢な行いの褒美に花嫁を得るということもあった。
A man would not give his daughter to a wooer whom she did not love, even if he offered the highest price,	たとえ一番高い代価が差し出されようと、愛してもいない求婚者に娘をやるということはなかった。
at least this must have been the general rule,	少なくとも、それが普通のきまりであったようだ。
for husbands and wives were very fond of each other, and of their children, and husbands always allowed their wives to rule the house, and give their advice on everything.	なぜかといえば、夫と妻はお互いも、また自分たちの子供もとても愛しており、また夫は妻が家を切盛りし、何事につけ助言をするのを許していたのだから。
It was thought a very wicked thing for a woman to like another man better than her husband, and there were few such wives,	夫以外の男を夫以上に愛するということは、女にとって非常によこしまなことだと考えられており、そういう妻はほとんどいなかった。
but among them was the most beautiful woman who ever lived.	だが、そういうふしだらな妻のなかに、絶世の美女がいたのだ。
THE WOOING OF HELEN OF THE FAIR HANDS	美しき手のヘレネーへの求婚
This was the way in which people lived when Ulysses was young, and wished to be married.	ユリシーズが青年で、結婚しようと考えていたころ、人々の暮らしぶりはこのようなものであった。
The worst thing in the way of life was that the greatest and most beautiful princesses might be taken prisoners, and carried off as slaves to the towns of the men who had killed their fathers and husbands.	人生最悪の事態は、身分が高く美しい王女が捕虜となって、父や夫を殺した男の町に奴隷として連れ去られることだった。
Now at that time one lady was far the fairest in the world:	さて、当時この世でもっとも美しい女は、
namely, Helen, daughter of King Tyndarus.	テュンダレオース王の娘、ヘレネーだった。
Every young prince heard of her and desired to marry her;	若い王侯たちは誰もがヘレネーのことを聞きつけ、結婚したいと望んだ。
so her father invited them all to his palace, and entertained them, and found out what they would give.	そこでその父親は、王侯たちを皆自分の宮殿へと招き、もてなして、なにをくれるのか聞き出した。
Among the rest Ulysses went,	他の王侯にたちまじって、ユリシーズも行った。
but his father had a little kingdom, a rough island, with others near it, and Ulysses had not a good chance.	だが、その父の王国は、そのあたりの他の王に比べ、小さく、起伏のおおい島であり、ユリシーズに勝ち目はなかった。
He was not tall;	ユリシーズは背は高くなかった。
though very strong and active, he was a short man with broad shoulders,	非常に屈強で活動的ではあったが、肩幅の広い背の低い男だった。
but his face was handsome, and, like all the princes, he wore long yellow hair, clustering like a hyacinth flower.	しかし顔立ちはよく、他の王侯と同じように、黄色い髪をヒヤシンスの花ような房にしていた。
His manner was rather hesitating, and he seemed to speak very slowly at first, though afterwards his words came freely.	その態度はとてもためらいがちで、最初はとつとつと喋っていたが、後には自由に話をするようなった。
He was good at everything a man can do;	人のやることならなんでも上手で、
he could plough, and build houses, and make ships,	耕すことも、家を建てることも、船を作ることもできた。
and he was the best archer in Greece, except one, and could bend the great bow of a dead king, Eurytus,	それに、一人を除けば、ギリシア一の弓の名手で、今はもう亡くなったエウリュトスという王の大弓を曲げることができた。
which no other man could string.	この弓には他の誰も弦を掛けることができなかったのだ。
But he had no horses, and had no great train of followers;	しかし彼には馬がなく、また大行列をなす家来衆もいなかった。
and, in short, neither Helen nor her father thought of choosing Ulysses for her husband out of so many tall, handsome young princes, glittering with gold ornaments.	それで、簡単にいえば、ヘレネーもその父親も、多くの背が高く、男っぷりのよい、黄金の飾をきらめかせた若い王侯の中から、夫としてユリシーズを選ぼうなどとは思ってもいなかった。
Still, Helen was very kind to Ulysses, and there was great friendship between them,	そうはいっても、ヘレネーはユリシーズにはとても親切で、二人は厚い友情で結ばれていた。
which was fortunate for her in the end.	そのことが、最後にはヘレネーにとっては幸運となるのだが。
Tyndarus first made all the princes take an oath that they would stand by the prince whom he chose, and would fight for him in all his quarrels.	テュンダレオースはまずすべての王侯に、夫として選ばれた王の味方となり、諍いがあればいつも、その側に立って戦うという誓いを立てさせた。
Then he named for her husband Menelaus, King of Lacedaemon.	それから、ヘレネーの夫に、ラケダイモーンの王、メネラーオスを名指したのだ。
He was a very brave man, but not one of the strongest;	メネラーオスは勇敢な男ではあったが、強者たちの一人ではなかった。
he was not such a fighter as the gigantic Aias, the tallest and strongest of men;	もっとも背が高く、力が強い巨人のアイアースや
or as Diomede, the friend of Ulysses;	ユリシーズの友人のディオメーデース、
or as his own brother, Agamemnon, the King of the rich city of Mycenae,	あるいは自分の兄で、ミュケーナイの富める都の王、アガメムノーンのような戦士ではなかったのだ。
who was chief over all other princes, and general of the whole army in war.	このアガメムノーンがすべての王侯たちの長であり、戦のときには全軍を率いる将軍であった。
The great lions carved in stone that seemed to guard his city are still standing above the gate through which Agamemnon used to drive his chariot.	その都を守っていた思われる石彫りの大きな獅子像は、アガメムノーンが戦車で駆け抜けた門の上に、今なお建っている。
The man who proved to be the best fighter of all, Achilles, was not among the lovers of Helen,	最高の戦士アキレウスは、ヘレネーの求婚者の中にはいなかった。
for he was still a boy, and his mother, Thetis of the silver feet, a goddess of the sea, had sent him to be brought up as a girl, among the daughters of Lycomedes of Scyros, in an island far away.	なんとなれば、彼はまだ子供だったし、母親の海の女神、銀の足のテティスが、遥か彼方の島でスキューロスのリュコメーデース王の娘たちと一緒に女の子として育てようと送り出してしまったのだ。
Thetis did this because Achilles was her only child, and there was a prophecy that, if he went to the wars, he would win the greatest glory, but die very young, and never see his mother again.	テティスがこのようなことをしたわけは、アキレウスはたった一人の子供であったし、もし戦争に行けば、すばらしい栄誉を勝ち得るであろうが、若くして死に、二度と母親に会えないだろうという予言があったからなのだ。
She thought that if war broke out he would not be found hiding in girl's dress, among girls, far away.	もし戦が始まっても、遥か彼方で少女たちに混じって、少女の服に隠れておれば、アキレウスは見つかるまいと考えたのだ。
So at last, after thinking over the matter for long, Tyndarus gave fair Helen to Menelaus, the rich King of Lacedaemon;	こうして長いあいだことがらを熟慮した末ついに、テュンダレオースは美しきヘレネーをラケダイモーンの富裕な王メネラーオスに与えることにした。
and her twin sister Clytaemnestra, who was also very beautiful, was given to King Agamemnon, the chief over all the princes.	そしてヘレネーの双子の姉妹で、これまた美しきクリュタイムネーストラーを、王侯たちの長たるアガメムノーン王に与えた。
They all lived very happily together at first, but not for long.	皆、最初はともに幸せに暮らしたが、それは長くは続かなかったのだ。
In the meantime King Tyndarus spoke to his brother Icarius,	そうこうするうち、テュンダレオース王は兄弟のイーカリオスと話をした。
who had a daughter named Penelope.	イーカリオスにはペーネロペーという名の娘がいた。
She also was very pretty, but not nearly so beautiful as her cousin, fair Helen,	ペーネロペーはとても愛らしい娘ではあったが、いとこの美しきヘレネーの美しさにはほど遠かった。
and we know that Penelope was not very fond of her cousin.	それに知ってのとおり、ペーネロペーはこのいとこをあまり好いてはいなかった。
Icarius, admiring the strength and wisdom of Ulysses, gave him his daughter Penelope to be his wife,	イーカリオスはユリシーズが強く賢いことに感心し、娘のペーネロペーを妻に与えた。
and Ulysses loved her very dearly,	そしてユリシーズはペーネロペーを深く愛した。
no man and wife were ever dearer to each other.	お互いかくも心から愛し合った夫婦はほかになかった。
They went away together to rocky Ithaca, and perhaps Penelope was not sorry that a wide sea lay between her home and that of Helen;	二人は連れだって岩だらけのイタケーへと去って行ったが、おそらくペーネロペーは自分の家とヘレネーの家の間に広々とした海が横たわっていることを悲しんだりはしなかっただろう。
