THE ABOLITION OF WORK	労働廃絶論
But if all the ideologues (as they do) advocate work -- and not only because they plan to make other people do theirs -- they are strangely reluctant to say so.	けれども、すべてのイデオローグが(今そうしているように)労働を主張するにしても、なぜか、彼らはそれをハッキリ言おうとはしないのである。
They will carry on endlessly about wages, hours, working conditions, exploitation, productivity, profitability.	彼らは賃金、時間、労働条件、搾取、生産性、収益性についてならとめどなく話し続けるし、
They'll gladly talk about anything but work itself.	労働それ自体に関してでなければ、喜んで何でも話すであろう。
These experts who offer to do our thinking for us rarely share their conclusions about work, for all its saliency in the lives of all of us.	我々のために思想を提供してやろうというこれらの専門家連中が、私たち自身の人生の核心である労働に関して結論が一致することはまずない。
Among themselves they quibble over the details.	連中同士で、重箱の隅をつつくコジツケ議論をするだけである。
Unions and management agree that we ought to sell the time of our lives in exchange for survival,	労働組合も経営者も「労働者は生きるために人生の時間を売らなければならない」ということについては一致しているのだ。
although they haggle over the price.	言い争うのはその価格についてにすぎない。
Marxists think we should be bossed by bureaucrats.	マルクス主義者は官僚がボスになるべきであると考える。
Libertarians think we should be bossed by businessmen.	リバータリアンは実業家がボスになるべきだと考える。
Feminists don't care which form bossing takes so long as the bosses are women.	フェミニストは、ボスが女性でありさえすれば、どちらだろうとお構いなしだ。
Clearly these ideology-mongers have serious differences over how to divvy up the spoils of power.	こうしたイデオロギー屋の違いは、権力のもたらす利権をどうやって分配するかという点につきることは明らかである。
Just as clearly, none of them have any objection to power as such and all of them want to keep us working.	誰も権力自体に対しては疑問を持たないし、彼ら全員が、我々に労働を続けさせようと考えていることも、同じようにまた明白であろう。
You may be wondering if I'm joking or serious.	あなたは私がふざけてるのか、真剣なのか、どちらなのかと思い迷うかもしれない。
I'm joking and serious.	私はふざけていると同時に、真剣でもある。
To be ludic is not to be ludicrous.	「ばか(Ludic)」 になることは、ばかばかしいことではないのである。
Play doesn't have to be frivolous,	「遊び」がくだらないとは限らない。
although frivolity isn't triviality:	くだらないことが常につまらないわけではないし、
very often we ought to take frivolity seriously.	私たちは真剣に、くだらないことをするべきときも少なくない。
I'd like life to be a game	私は、人生がゲームであるという考えが好きだ。
-- but a game with high stakes.	それも大博打のゲームだ。
I want to play for keeps.	私は「遊び」も真剣勝負でありたいと思っているのだ。
The alternative to work isn't just idleness.	労働のオルタナティブは、何もしないことではない。
To be ludic is not to be quaaludic.	「ばか(ludic)」 になることは 「単純ばか(quaaludic)」 になることではない。
As much as I treasure the pleasure of torpor, it's never more rewarding than when it punctuates other pleasures and pastimes.	私が「無気力の喜びを大事にする」と言うとき、それが他の喜びや娯楽を中断すること以上に価値があるというわけではない。
Nor am I promoting the managed time-disciplined safety-valve called "leisure";	また、私は「レジャー」と呼ばれる、時間制限のある管理された安全弁を奨励しているわけでもない。
far from it.	全く違う。
Leisure is the time spent recovering from work and in the frenzied but hopeless attempt to forget about work.	レジャーは労働から回復するために、仕事を忘れようと熱狂的であるが無駄な努力をして過ごす時間である。
Many people return from vacation so beat that they look forward to returning to work so they can rest up.	多くの人はすっかり疲れきって休暇からもどり、ゆっくり休息がとれるように労働に戻ることを心待ちにするくらいである。
The main difference between work and leisure is that work at least you get paid for your alienation and enervation.	労働とレジャーの主な相違は、労働中には少なくとも、疎外と消耗に対して対価が支払われるということだけなのである。
I am not playing definitional games with anybody.	私は言葉の定義ゲームをするつもりはない。
When I say I want to abolish work, I mean just what I say,	私が「労働の廃絶を望む」と言うときは、言葉通りの意味なのである。
but I want to say what I mean by defining my terms in non-idiosyncratic ways.	けれども、私が使う言葉をごくあたりまえに定義すれば、私が言わんとすることが一層ハッキリするだろう。
My minimum definition of work is forced labor, that is, compulsory production.	労働の私の最小限の定義は「強制された仕事」すなわち「強制的な生産」である。
Both elements are essential.	その両方の要素が不可欠である。
Work is production enforced by economic or political means, by the carrot or the stick.	労働は、経済的・政治的な手段によって強制される生産、人参とムチによる生産である。
(The carrot is just the stick by other means.)	（人参は他の手段によってはまさにムチになる）
But not all creation is work.	けれども全ての創造活動が労働であるわけではない。
Work is never done for its own sake,	労働は、それ自身が目的になることは決してない。
it's done on account of some product or output that the worker (or, more often, somebody else) gets out of it.	労働者（もしくは、ほかの誰かであることの方が多いが）が労働から得ることのできる成果や生産物が目的なのである。
This is what work necessarily is.	これが労働が必然的にたどる道である。
To define it is to despise it.	定義することは、それを嫌悪することなのであるが、
But work is usually even worse than its definition decrees.	労働は、その定義より一層悪いのが常である。
The dynamic of domination intrinsic to work tends over time toward elaboration.	労働の本質である支配の原動力が、労働時間をますます増やす傾向があるからだ。
In advanced work-riddled societies, including all industrial societies whether capitalist of "Communist," work invariably acquires other attributes which accentuate its obnoxiousness.	労働であふれている先進国社会では、資本主義だろうと「共産主義」だろうと産業社会なら全て、労働のその不快な特徴が、必ず強く出てくるのである。
Usually -- and this is even more true in "Communist" than capitalist countries, where the state is almost the only employer and everyone is an employee -- work is employment,	たいていの場合、労働は雇用、すなわち賃金労働である。
i. e., wage-labor, which means selling yourself on the installment plan.	それは、自分自身を分割払いで売り渡すことだ。
In the USSR or Cuba or Yugoslavia or any other alternative model which might be adduced, the corresponding figure approaches 100%.	国家がほとんど唯一の雇用者であり、国民全てが従業員になる「共産主義国」においては、このことは資本主義国よりもいっそう真実である。アメリカ人の９５％は自分以外の誰か（あるいは何か）のために働いているが、ソ連・キューバ・ユーゴスラビア・ニカラグアあるいはそれに代わって論拠として挙げられる他のいかなる社会主義モデルでも、それに当たる数字は１００％にかぎりなく近いものである。
Only the embattled Third World peasant bastions -- Mexico, India, Brazil, Turkey -- temporarily shelter significant concentrations of agriculturists who perpetuate the traditional arrangement of most laborers in the last several millenia, the payment of taxes (= ransom) to the state or rent to parasitic landlords in return for being otherwise left alone.	メキシコ、インド、ブラジル、トルコなど、第三世界の要塞にたてこもる貧農だけが、国家への税金（身代金）と寄生地主への地代さえ払えば、ほったらかしておいてもらえるのである。
Even this raw deal is beginning to look good.	だが、このひどい仕打ちさえ、我々には良く見え始めるのだ。
All industrial (and office) workers are employees and under the sort of surveillance which ensures servility.	先進国の産業労働者（そしてオフィス労働者）は全て雇われ人であり、奴隷状態を確保するような監視下におかれるのだから。
But modern work has worse implications.	近代的な労働には、さらに悪い含みがある。
People don't just work, they have "jobs."	人々はただ労働するだけではない。「職業」を持たされるのだ。
One person does one productive task all the time on an or-else basis.	一人の人間は、いつも一つの職務をする。
Even if the task has a quantum of intrinsic interest (as increasingly many jobs don't) the monotony of its obligatory exclusivity drains its ludic potential.	（基本的には）たとえ、その職務が本質的に興味を持てるものだったとしても、（そういう仕事はどんどん少なくなっているが）縛りつけられた職務の閉鎖的な単調さは、その人の「ばか」ポテンシャルを消耗させてしまうのである。
A "job" that might engage the energies of some people, for a reasonably limited time, for the fun of it, is just a burden on those who have to do it for forty hours a week with no say in how it should be done,	ほどほどの限られた時間内であれば、楽しんでエネルギーを注ぎ込めるかもしれない「仕事」でも、やり方に文句一つ言えず週４０時間もしなければならないならば、それは苦役でしかない。
for the profit of owners who contribute nothing to the project,	しかも、プロジェクトに何の寄与もしない所有者の利益のための仕事である。
and with no opportunity for sharing tasks or spreading the work among those who actually have to do it.	仕事を分担したり、実際にしなければならない人々に労働を広げたりする機会も与えられないのだ。
This is the real world of work:	これが現実世界の労働である。
a world of bureaucratic blundering, of sexual harassment and discrimination, of bonehead bosses exploiting	能無し官僚がウロウロする世界、 セクハラと差別の世界、部下を搾取し罪をきせるマヌケなボスの世界である。
and scapegoating their subordinates who --  by any rational-technical criteria -- should be calling the shots.	あらゆる合理的専門的な基準を使って、部下は支配されるのである。
But capitalism in the real world subordinates the rational maximization of productivity and profit to the exigencies of organizational control.	現実の資本主義の世界では、組織支配が危機になると、生産性や利益の合理的な追求でさえ従属させられるのだ。
The degradation which most workers experience on the job is the sum of assorted indignities which can be denominated as "discipline."	ほとんどの労働者が仕事の上で経験する屈辱は、「規律(Discipline)」と呼ばれるさまざまな侮辱的待遇の総計である。
Foucault has complexified this phenomenon but it is simple enough.	フーコーがこの現象をややこしくしてしまったが、それはまったく単純である。
Discipline consists of the totality of totalitarian controls at the workplace --	規律(Discipline)は、職場の全体主義的管理の総体から成る −
surveillance, rotework, imposed work tempos, production quotas, punching -in and -out, etc.	監視、機械的な仕事、仕事のテンポの押し付け、生産割当、タイムカードによる出退管理などである。
iscipline is what the factory and the office and the store share with the prison and the school and the mental hospital.	それは工場やオフィスや店舗を、刑務所や学校や精神病院と同じにするシステムなのである。
It is something historically original and horrible.	規律は歴史的な起源を持ち、
It was beyond the capacities of such demonic dictators of yore as Nero and Genghis Khan and Ivan the Terrible.	ネロやジンギスカン・イワン雷帝のような昔の悪魔的な専制君主をはるかに越える恐ろしい代物なのだ。
For all their bad intentions they just didn't have the machinery to control their subjects as thoroughly as modern despots do.	彼らがどんなに悪意を持っていたとしても、現代の専制君主ほど完璧に臣民を支配できるような機構は持ってはいなかった。
Discipline is the distinctively diabolical modern mode of control,	規律は、支配のきわ立って邪悪な現代的様式なのである。
it is an innovative intrusion which must be interdicted at the earliest opportunity.	この革新的な押しつけは、なるべく早く止めなくてはならない。
Such is "work."	これが「労働」である。
Play is just the opposite.	「遊び」は全くその正反対だ。
Play is always voluntary.	「遊び」は常に自発的だ。
What might otherwise be play is work if it's forced.	もし強制されるなら「遊び」も労働になる。
This is axiomatic.	これは当たり前である。
Bernie de Koven has defined play as the "suspension of consequences."	バーニー・ド・コーフェン は「遊び」を「結果の保留」と定義したが、
This is unacceptable if it implies that play is inconsequential.	もしそれが「遊び」が重要でないという意味なら、その定義は受け入れられない。
The point is not that play is without consequences.	ポイントは「遊びには結果がない」ということではない。
This is to demean play.	それは遊びを貶めている。
The point is that the consequences, if any, are gratuitous.	ポイントは遊びの結果は、もしあるとしても、無報酬のものであるということである。
Playing and giving are closely related, they are the behavioral and transactional facets of the same impulse,	遊びと贈与は密接な関わりがあり、それらは同じ欲求の行動の側面と取引の側面である。
the play-instinct.	その欲求こそが、遊びの本能なのである。
They share an aristocratic disdain for results.	どちらも、結果（対価）を軽蔑する誇り高い行為なのだ。
The player gets something out of playing;	遊ぶ人は、遊びそれ自体から何かを得る。
that's why he plays.	それが、人が遊ぶ理由なのだ。
But the core reward is the experience of the activity itself (whatever it is).	（それが何であるとしても）真の対価は活動の経験それ自体である。
Some otherwise attentive students of play, like Johan Huizinga (Homo Ludens), define it as game-playing or following rules.	「遊び」を研究するヨハン・ホイジンガ（「ホモ ルーデンス」の著者）＜注6＞のような研究者は、それをゲームプレイやルールの順守と定義づけるかもしれない。
I respect Huizinga's erudition but emphatically reject his constraints.	私はホイジンガの博識は尊敬するが、彼の窮屈な定義は全く間違っていると思う。
There are many good games	ルールのあるゲームにも良いものはたくさんある。
(chess, baseball, Monopoly, bridge)	（チェス、野球、モノポリー、ブリッジ）
which are rule-governed but there is much more to play than game-playing.	しかし、「遊び」はゲームよりもはるかに豊富なのである。
Conversation, sex, dancing, travel -- these practices aren't rule-governed but they are surely play if anything is.	会話、セックス、ダンス、旅行、これらの行動にルールはないが、これらはまぎれもなく「遊び」である。
And rules can be played with at least as readily as anything else.	そして他の物と同じように、ルールを茶化して遊ぶこともできるのだ。
Work makes a mockery of freedom.	労働は自由を形骸化させる。
The official line is that we all have rights and live in a democracy.	公式見解では、我々はすべて民主主義国家に住み、様々な権利を持っていることになっている。
Other unfortunates who aren't free like we are have to live in police states.	だが我々も、自由でない他の不幸な人々も、同様に警察国家に住まなければならないのである。
These victims obey orders or-else, no matter how arbitrary.	警察国家に住む犠牲者は、どんな勝手な命令であっても、それに従わせられる。
The authorities keep them under regular surveillance.	当局が人々を日常的に監視しているからである。
State bureaucrats control even the smaller details of everyday life.	国家官僚が日常生活の細部にまで干渉し、
The officials who push them around are answerable only to higher-ups, public or private.	人々をいじめる役人は、公的にも私的にも、彼らの上役にしか責任をもたない。
Either way, dissent and disobedience are punished.	いずれにしても、異議を申し立てたり服従しなかったりすれば罰せられ、
Informers report regularly to the authorities.	密告屋が常に当局にタレコミをする。
All this is supposed to be a very bad thing.	これが、いいことであるはずがない。
And so it is, although it is nothing but a description of the modern workplace.	警察国家とはそういうものだが、これは現代の職場を記述したものに他ならない。
The liberals and conservatives and libertarians who lament totalitarianism are phonies and hypocrites.	リベラル派や保守派・リバータリアンは全体主義を批判するけれども、まったく詐欺師・偽善者もいいところである。
There is more freedom in any moderately deStalinized dictatorship than there is in the ordinary American workplace.	そこそこの非スターリン的独裁国でも、アメリカの普通の職場よりは多くの自由があるのだ。
You find the same sort of hierarchy and discipline in an office or factory as you do in a prison or monastery.	オフィスや工場のヒエラルキーや規律は、刑務所や修道院で見られるものと同じものである。
In fact, as Foucault and others have shown, prisons and factories came in at about the same time, and their operators consciously borrowed from each other's control techniques.	実際、フーコーたちが示したように、刑務所と工場はほぼ同時期に登場し、その管理者たちは意識してお互いの管理テクニックを借りたのである。
A worker is a par-time slave.	労働者はパートタイムの奴隷なのだ。
The boss says when to show up, when to leave, and what to do in the meantime.	いつ出勤し、いつ帰るか、その間何をするかはボスが決める。
He tells you how much work to do and how fast.	ボスが仕事の量と速さを指示する。
He is free to carry his control to humiliating extremes, regulating,	極端に屈辱的な統制をするのも勝手だ。
if he feels like it, the clothes you wear or how often you go to the bathroom.	望むなら、身につける服やトイレに行く頻度まで規定することもできる。
With a few exceptions he can fire you for any reason, or no reason.	少数の例外を除き、どんな理由のためにでも、あるいは理由なしでも、あなたをクビにすることができる。
He has you spied on by snitches and supervisors, he amasses a dossier on every employee.	ボスは密告屋と上司によって従業員をスパイし、全員の身上調査書を積上げている。
Talking back is called "insubordination," just as if a worker is a naughty child,	口答えすることは「反抗」と呼ばれ、労働者はいたずら小僧扱いだ。
and it not only gets you fired, it disqualifies you for unemployment compensation.	「反抗」すれば単に解雇されるだけでなく、失業保険も無効にされかねない。
Without necessarily endorsing it for them either, it is noteworthy that children at home and in school receive much the same treatment,	保証人の承諾がないとどうにもならない点は、家庭や学校での子供たちの待遇と同じであることに注目したい。
justified in their case by their supposed immaturity.	子供たちの場合は、「未熟」と想定することでそれが正当化される。
What does this say about their parents and teachers who work?	では、労働者である、子供たちの親や教師についてはどうなのだ？
The demeaning system of domination I've described rules over half the waking hours of a majority of women and the vast majority of men for decades, for most of their lifespans.	これまで書いてきた、権力支配による「人間をダメにするシステム」が、何十年間も、女性たちの多数および男性たちの大多数を牛耳ってきた。
For certain purposes it's not too misleading to call our system democracy or capitalism or -- better still -- industrialism,	特定の目的のためなら、我々のシステムを民主主義や資本主義 −あるいはもっとマシな− 産業主義と呼ぶことは、必ずしも間違いとは言えないかもしれない。
but its real names are factory fascism and office oligarchy.	しかしその本当の名前は、工場ファシズムやオフィス独裁なのだ。
Anybody who says these people are "free" is lying or stupid.	人々が「自由である」と言う奴はウソツキか大バカ者である。
You are what you do.	人は自分がしている通りの人間になる。
If you do boring, stupid monotonous work, chances are you'll end up boring, stupid and monotonous.	もしあなたが、退屈で愚劣で単調な仕事をしているなら、あなた自身も最後には退屈・愚劣・単調な人に成り果てるだろう。
Work is a much better explanation for the creeping cretinization all around us than even such significant moronizing mechanisms as television and education.	我々の周りに忍び寄る白痴化現象は、テレビや教育のような顕著な精神薄弱化メカニズムよりも、労働から説明した方がはるかに説明がつく。
People who are regimented all their lives, handed off to work from school	人々は人生をまるまる支配され、学校から労働へと引渡される。
and bracketed by the family in the beginning and the nursing home at the end, are habituated to heirarchy and psychologically enslaved.	初めは家族、終わりは養老院でくくられ、ヒエラルキーに慣らされ、心理的に奴隷化されてしまう。
Their aptitude for autonomy is so atrophied that their fear of freedom is among their few rationally grounded phobias.	彼らの自律心は全く退化させられてしまっているので、自由への恐れは非理性的な恐怖症の一つにまでなってしまっている。
Their obedience training at work carries over into the families they start, thus reproducing the system in more ways than one, and into politics, culture and everything else.	労働における服従訓練は、家族に持ちこまれ、それからひとつならず様々な方法でそのシステムが複製されて、政治・文化・他のすべてにまで及ぶ。
Once you drain the vitality from people at work, they'll likely submit to heirarchy and expertise in everything.	一度、労働者から活力を奪ってしまえば、万事においてヒエラルキーと専門知識に服従するようになるだろう。
They're used to it.	人々はそれに慣れきってしまうのだ。
We are so close to the world of work that we can't see what it does to us.	我々は労働が当たり前の世界にいるので、労働が人間にどう影響するかを客観的に見ることができない。
We have to rely on outside observers from other times or other cultures to appreciate the extremity and the pathology of our present position.	現代の危機と病理を正しく認識するために、他の時代や他の文化など、外からの観察者の目を当てにしなければならない。
There was a time in our own past when the "work ethic" would have been incomprehensible,	かつて我々には、「労働倫理」など理解しなかった時代もあった。
and perhaps Weber was on to something when he tied its appearance to a religion, Calvinism,	ウェーバーがその登場を宗教・カルヴァン主義に結び付けた時、彼は多分何かに気づいたであろう。
which if it emerged today instead of four centuries ago would immediately and appropriately be labeled a cult.	カルヴァン主義は、もしそれが四世紀前でなく今日出現したなら、すぐにそして適切に、カルトというラベルをはられたに違いない。
Be that as it may, we have only to draw upon the wisdom of antiquity to put work in perspective.	いずれにせよ、労働を客観的な視点で見る昔の人の知恵を引き出しさえすればよい。
The ancients saw work for what it is,	古代人は労働を、あるがままに見ていた。
and their view prevailed, the Calvinist cranks notwithstanding, until overthrown by industrialism	産業革命によってひっくり返されるまでは、カルヴァン派の偏執狂は別として、そういう見方が一般的だったのである。
-- but not before receiving the endorsement of its prophets.	少なくとも、その預言者が支持を受けるまでは。
Let's pretend for a moment that work doesn't turn people into stultified submissives.	ここでしばらく、労働が、人々を無能な服従者に変えないと仮定してみよう。
Let's pretend, in defiance of any plausible psychology and the ideology of its boosters, that it has no effect on the formation of character.	もっともらしい心理学やイデオロギーの鼓吹者を無視して、労働が人格の形成に影響することはないと仮定しよう。
And let's pretend that work isn't as boring and tiring and humiliating as we all know it really is.	労働が、本当は退屈で骨が折れて屈辱的であることは誰もが知っているけれども、退屈でなく骨も折れず屈辱的ではないと仮定しよう。
Even then, work would still make a mockery of all humanistic and democratic aspirations,	たとえそうだったとしても、労働は、人間的な、そして民主主義的な念願を全てを嘲笑することだろう。
just because it usurps so much of our time.	なぜなら労働は、我々の時間を多く奪うからである。
Socrates said that manual laborers make bad friends and bad citizens	ソクラテスは、手作業の労働者は、良い友人や良い市民になれないと言った。
because they have no time to fulfill the responsibilities of friendship and citizenship.	彼らは友情や市民権の責任を果たす時間を持てないからである。
He was right.	ソクラテスは正しかった。
Because of work, no matter what we do we keep looking at out watches.	労働のおかげで、人々は何をしていようと、時計を見てばかりいるではないか。
The only thing "free" about so-called free time is that it doesn't cost the boss anything.	いわゆる自由時間（free time）の唯一の「自由（free）」も、ボスにコストがかからない時間という意味でしかない。
Free time is mostly devoted to getting ready for work, going to work, returning from work, and recovering from work.	自由時間の多くは、労働のための準備、労働に行く通勤、労働を終えての帰宅、そして労働の疲労からの回復のために費やされる。
Free time is a euphemism for the peculiar way labor as a factor of production	自由時間とは、生産に必要な一種の特別労働の婉曲表現なのである。
not only transports itself at its own expense to and from the workplace but assumes primary responsibility for its own maintenance and repair.	その間に、単に自身の出費において職場に通勤するだけでなく、当然のように自分自身の維持管理や修理の責任があるものとされる。
Coal and steel don't do that.	石炭や鉄がそんなことをするだろうか？
Lathes and typewriters don't do that.	旋盤やタイプライターがそんなことをするか？
But workers do.	けれども労働者はそれをしなければならない。
No wonder Edward G. Robinson in one of his gangster movies exclaimed, "Work is for saps!"	エドワード・Ｇ・ロビンソン＜注7＞が、彼のギャング映画の中で、「労働なんて、マヌケがすることさ！」と、叫んだのも不思議ではない。
Both Plato and Xenophon attribute to Socrates and obviously share with him an awareness of the destructive effects of work on the worker as a citizen and a human being.	プラトンとキセノフォンはソクラテスに師事したが、 二人ともソクラテス同様、労働が、市民として人間としての労働者に対して破壊的な影響をもつことを認識していたのは明白である。
Herodotus identified contempt for work as an attribute of the classical Greeks at the zenith of their culture.	ヘロドトスは、ギリシャ文化の絶頂期において、労働の軽蔑が古代ギリシャ人の特質であると認めていた。
To take only one Roman example, Cicero said that "whoever gives his labor for money sells himself and puts himself in the rank of slaves."	ローマの例を一つだけ挙げると、キケロは「金のために労働する人は、自分自身を売払い、自分自身を奴隷の身分に落とすことになる」と言った。
His candor is now rare,	彼のような率直さは、今日ではまれである。
but contemporary primitive societies which we are wont to look down upon have provided spokesmen who have enlightened Western anthropologists.	しかし我々が蔑みの目でいつも見ている現代の原始社会は、西欧の人類学者を啓発するスポークスマンを何人も生み出してきている。
The Kapauku of West Irian, according to Posposil, have a conception of balance in life and accordingly work only every other day,	西イリアンのカパウク族のポスポシルによれば、彼らの生活はバランスのとれた概念を持っていて、隔日に働くだけである。
the day of rest designed "to regain the lost power and health."	休養の日は「失われた力と健康を取り戻すよう」意図されているという。
Our ancestors, even as late as the eighteenth century when they were far along the path to our present predicament, at least were aware of what we have forgotten, the underside of industrialization.	現在の苦境への道に至るより遥か昔、１８世紀には、我々の先祖も、少なくとも我々が忘れたもの、工業化の裏面に気付いていた。
Their religious devotion to "St. Monday" -- thus establishing a de facto five-day week 150-200 years before its legal consecration -- was the despair of the earliest factory owners.	「聖なる月曜日」への人々の宗教的な没頭は、法律的に制定される１５０-２００年も前に事実上の週５日制を確立して、初期の工場所有者の悩みの種だった。
They took a long time in submitting to the tyranny of the bell, predecessor of the time clock.	タイムレコーダーの前任者ベルによる圧制的な権力行使に、人々が従属するようになるまでには長い時間がかかったのである。
In fact it was necessary for a generation or two to replace adult males with women accustomed to obedience and children who could be molded to fit industrial needs.	実際、成人の男性を、服従に慣れた女性や産業の必要に合わせて型にはめた子供に置き換えるには、一世代から二世代の時間が必要であった。
Even the exploited peasants of the ancient regime wrested substantial time back from their landlord's work.	アンシャン・レジームの搾取される小作農さえ、地主からかなりの労働時間を奪い返している。
According to Lafargue, a fourth of the French peasants' calendar was devoted to Sundays and holidays,	ラファルグによれば；フランスの小作農の暦は、４分の１が日曜日と休日であった。
and Chayanov's figures from villages in Czarist Russia -- hardly a progressive society -- likewise show a fourth or fifth of peasants' days devoted to repose.	また、チャヤーノフ＜注8＞が調べたツァーリズム下のロシアの村 − ほとんど進歩から取り残された社会 − の数字も同じように、貧農の日々の４分の１から５分の１は休息の日であった。
Controlling for productivity, we are obviously far behind these backward societies.	生産性至上主義のために、我々が、彼らよりはるかに遅れた社会にいることは明白ではないか。
The exploited muzhiks would wonder why any of us are working at all.	搾取されるロシアの貧農は、なんのためにこんなに働くのかと思ったであろう。
So should we.	我々もそう考えるべきなのだ。
To grasp the full enormity of our deterioration, however, consider the earliest condition of humanity, without government or property, when we wandered as hunter-gatherers.	現代がどれほどひどい状態にあるかを把握するために、人々が狩猟採集民族としてあてもなくさまよっていた、政府も財産もない人類の最初の状態を考えてみよう。
Hobbes surmised that life was then nasty, brutish and short.	ホッブズは、原始人の人生は、不快で、獣のようで、そして短かいものだったろうと推測した。
Others assume that life was a desperate unremitting struggle for subsistence,	人生は生存のための必死で絶え間ない争いであったと想定した人もいる。
a war waged against a harsh Nature with death and disaster awaiting the unlucky or anyone who was unequal to the challenge of the struggle for existence.	死や大惨事があふれる過酷な自然に対する熾烈な戦争が荒れ狂い、生存競争への挑戦に適さない者には不幸が待ちかまえていると。
Actually, that was all a projection of fears for the collapse of government authority over communities unaccustomed to doing without it, like the England of Hobbes during the Civil War.	実際には、ホッブズ時代のイギリスが内乱の最中であったように、それは自治に不慣れな共同体が、政府権力の崩壊を恐れたことの投影なのであった。
Hobbes' compatriots had already encountered alternative forms of society which illustrated other ways of life -- in North America, particularly	ホッブズの同国人は、その頃には − 特に北アメリカで、 − 別の生活様式を例証したオルタナティブな社会形態に出会っていたはずである。
-- but already these were too remote from their experience to be understandable.	しかし、この生活様式は、彼らの経験とはあまりにもかけ離れていたので、理解できなかったのである。
(The lower orders, closer to the condition of the Indians, understood it better and often found it attractive.	（地位の低いものは、インディアンの生活に近づいて、それをもっとよく理解し、その魅力に気づく者が多かった。
Throughout the seventeenth century, English settlers defected to Indian tribes or, captured in war, refused to return.	１７世紀を通じて、イギリスの殖民者たちはインディアン種族に転向したり、戦って捕えられても戻ることを拒否したりした。
But the Indians no more defected to white settlements than Germans climb the Berlin Wall from the west.)	しかし、白人居留地に転出したインディアンは、西からベルリンの壁を登る西ドイツ人よりもずっと少なかったのである。）
The "survival of the fittest" version -- the Thomas Huxley version -- of Darwinism was a better account of economic conditions in Victorian England than it was of natural selection, as the anarchist Kropotkin showed in his book Mutual Aid, A Factor of Evolution.	ダーヴィニズムの「適者生存」説 − トーマス・ハクスレー＜注9＞の説 − は、アナーキストのクロポトキンが彼の著書「相互扶助論」「進化の要因」で指摘したように、自然淘汰というよりも、ビクトリア朝時代のイギリスの経済状態（つまり帝国主義）を反映したものであった。
(Kropotkin was a scientist -- a geographer --	（ クロポトキンは、科学者 − 地理学者 − であった。
