A LITTLE CLOUD	小さな雲
this being the burden of wisdom which the ages had bequeathed to him.	これは時代時代が遺してきた分別が彼の重荷になっているのだった。
He remembered the books of poetry upon his shelves at home.	彼は家の本棚にある詩の本を思い起こした。
He had bought them in his bachelor days and many an evening, as he sat in the little room off the hall, he had been tempted to take one down from the bookshelf and read out something to his wife.	それらは彼が独身時代に買ったもので、よく夕暮れに、玄関からすぐの小さな部屋に座っている時、彼は書棚から一つ取って妻に何か読んで聞かせたい気持ちになった。
But shyness had always held him back;	しかしはにかみが彼をいつもしりごみさせた。
and so the books had remained on their shelves.	それで本は棚にのったままだった。
At times he repeated lines to himself and this consoled him.	たまに彼は一人で短詩を朗唱し、これが彼を慰めた。
When his hour had struck he stood up and took leave of his desk and of his fellow-clerks punctiliously.	時間が来たところで彼は立ち上がり、きちょうめんに自分の机と同僚の書記たちにいとまごいをした。
He emerged from under the feudal arch of the King's Inns, a neat modest figure, and walked swiftly Henrietta Street.	きちんとした質素な姿の彼がキングス・インの封建時代のアーチの下から現れ、ヘンリエッタ・ストリートを速足に歩いていった。
The golden sunset was waning and the air had grown sharp.	金色の入日は衰え、空気は肌を刺すようになっていた。
A horde of grimy children populated the street.	垢まみれの子供たちの群れが通りに生息していた。
They stood or ran in the roadway or crawled up the steps before the gaping doors or squatted like mice upon the thresholds.	彼らは立っていたり、道路を走ったり、口をあけたドアの前の階段を這い上がったり、ねずみのように敷居の上にうずくまったりしていた。
Little Chandler gave them no thought.	リトル・チャンドラーは彼らのことを考えもしなかった。
He picked his way deftly through all that minute vermin-like life and under the shadow of the gaunt spectral mansions in which the old nobility of Dublin had roystered.	彼はその取るに足らない害虫のような生き物すべての間を縫い、かってダブリンの古い貴族階級が威張って暮らしていた不気味な幽霊屋敷の陰の下を巧みに進路を取った。
No memory of the past touched him, for his mind was full of a present joy.	心は現在の喜びでいっぱいで、過去の記憶が彼に影響することはなかった。
He had never been in Corless's but he knew the value of the name.	彼はコーレスに行ったことは一度もないが、その名のありがたみは知っていた。
He knew that people went there after the theatre to eat oysters and drink liqueurs;	人々が観劇の後にそこへ行って牡蠣を食べ、リキュールを飲むことを彼は知っていた。
and he had heard that the waiters there spoke French and German.	そしてそこではウェーターがフランス語やドイツ語を話すと聞いたことがあった。
Walking swiftly by at night he had seen cabs drawn up before the door and richly dressed ladies, escorted by cavaliers, alight and enter quickly.	夜、そばを速足で通ると、ドアの前に停まったタクシーから、ナイトたちにエスコートされた豪華な服を着た貴婦人たちが降りてさっと中に入るのを見ることがあった。
They wore noisy dresses and many wraps.	彼らは派手な服に小物をたくさん着けていた。
Their faces were powdered and they caught up their dresses, when they touched earth, like alarmed Atalantas.	顔にはおしろいを塗り、地面に触れるときには不安を感じたアタランテーのようにドレスをつまみあげた。
He had always passed without turning his head to look.	いつも彼は頭を振り向けて見ようともせずに通り過ぎた。
It was his habit to walk swiftly in the street even by day and whenever he found himself in the city late at night he hurried on his way apprehensively and excitedly.	日中でも通りを速足で歩くのが彼の習慣であり、市内で夜遅くなってしまった時にはいつも彼は不安げに、興奮しつつ行く手を急いだ。
Sometimes, however, he courted the causes of his fear.	しかしながら時には彼が自分で不安の原因を招くこともあった。
He chose the darkest and narrowest streets and, as he walked boldly forward, the silence that was spread about his footsteps troubled him, the wandering, silent figures troubled him;	彼がいちばん暗くいちばん細い通りを選び、大胆に歩を前に進めると、彼の足音の周りに広がる静寂が彼を悩ませ、うろついている無言の人影が彼を悩ませた。
and at times a sound of low fugitive laughter made him tremble like a leaf.	そして時折、低い、束の間の笑い声が彼を木の葉のように震えさせた。
He turned to the right towards Capel Street.	彼はケイペル・ストリートへと右に曲がった。
Ignatius Gallaher on the London Press!	ロンドン・プレスのイグネイシャス・ガラハーか！
Who would have thought it possible eight years before?	誰が八年前にそんなことがありうると思っただろう？
Still, now that he reviewed the past, Little Chandler could remember many signs of future greatness in his friend.	それでも、今過去を思い返してみると、リトル・チャンドラーは友における未来の大物の兆候をいくつも思い出すことができた。
People used to say that Ignatius Gallaher was wild	イグネイシャス・ガラハーはよく乱暴だと言われていた。
Of course, he did mix with a rakish set of fellows at that time.	もちろん彼はその頃放埓な仲間連中と付き合っていた。
drank freely and borrowed money on all sides.	飲みまくり、あちこちで金を借りた。
In the end he had got mixed up in some shady affair, some money transaction:	とうとう彼は何かいかがわしいこと、何かの金銭の取引にかかわり合った。
at least, that was one version of his flight.	少なくともそれが彼の脱出についての一つの解釈だった。
But nobody denied him talent.	しかし誰も彼の才能を否定しなかった。
There was always a certain...	イグネイシャス・ガラハーにはいつもある種・・・
something in Ignatius Gallaher that impressed you in spite of yourself.	人が思わず知らず印象付けられてしまう何かがあった。
Even when he was out at elbows and at his wits' end for money he kept up a bold face.	たとえ服の肘が抜け、金策に窮している時でも彼は恐れを知らぬ顔を保ち続けていた。
Little Chandler remembered (and the remembrance brought a slight flush of pride to his cheek) one of Ignatius Gallaher's sayings when he was in a tight corner:	リトル・チャンドラーはイグネイシャス・ガラハーが苦境にある時に言ったことを一つ思い出した
"Half time now, boys,"	「今はハーフタイムだ、諸君」
he used to say light-heartedly.	といつも彼は陽気に言ったものだ。
"Where's my considering cap?"	「俺の思案の首はどこへ投げちまったんだ？」
That was Ignatius Gallaher all out;	まったくのところそれがイグネイシャス・ガラハーだ。
and, damn it, you couldn't but admire him for it.	そして、ちくしょうめ、彼には感服するほかないじゃないか。
Little Chandler quickened his pace.	リトル・チャンドラーはペースを速めた。
For the first time in his life he felt himself superior to the people he passed.	生涯で初めて彼は行き会う人々より自分が優っていると感じた。
For the first time his soul revolted against the dull inelegance of Capel Street.	初めて彼の精神は沈滞して優美さに欠けるケイペル・ストリートに嫌悪を感じた。
There was no doubt about it:	疑う余地はなかった、
if you wanted to succeed you had to go away.	成功したけりゃ出て行かなきゃならない。
You could do nothing in Dublin.	ダブリンにいては何もできやしない。
As he crossed Grattan Bridge he looked down the river towards the lower quays and pitied the poor stunted houses.	グラタン・ブリッジを渡る時彼は川の下流の岸辺を見下ろし、貧しい、いじけた家々を哀れんだ。
They seemed to him a band of tramps,	彼にはそれらが浮浪者の一団のように見えた。
huddled together along the riverbanks, their old coats covered with dust and soot, stupefied by the panorama of sunset and waiting for the first chill of night bid them arise, shake themselves and begone.	河岸に沿ってごちゃごちゃと寄り集まり、その古いコートは埃やすすに覆われ、日没のパノラマにぼうっとしつつ、彼らに起きろ、体を震わせて立ち去れと命じる夜の冷気の訪れを待っている群れ。
He wondered whether he could write a poem to express his idea.	彼は思った、自分の着想を表現する詩が書けないだろうか。
Perhaps Gallaher might be able to get it into some London paper for him.	ことによるとガラハーがどこかロンドンの新聞にそれを載せられるかもしれない。
Could he write something original?	彼に何か独創的なものが書けるだろうか？
He was not sure what idea he wished to express but the thought that a poetic moment had touched him took life within him like an infant hope.	彼には自分がどんな着想を表現したいのか定かでなかったが、詩的瞬間が彼に触れたという考えが彼の中で幼児の希望のように命を得た。
He stepped onward bravely.	彼は勇敢に前方へ踏み出していった。
Every step brought him nearer to London, farther from his own sober inartistic life.	一歩一歩が彼をロンドンへ近づけ、彼自身の地味な非芸術的な生活から遠くへと運んだ。
A light began to tremble on the horizon of his mind.	彼の心の地平線上に光が揺れ始めた。
He was not so old	彼はそれほど年ではない
--thirty-two.	−−三十二だった。
His temperament might be said to be just at the point of maturity.	彼の精神的資質はちょうど成熟期に至ろうとしていると言えるかもしれなかった。
There were so many different moods and impressions that he wished to express in verse.	彼には非常に多くの、韻文で表現したいと思う、さまざまな気分や印象があった。
He felt them within him.	彼はそれらを自身のうちに感じた。
He tried weigh his soul to see if it was a poet's soul.	彼は自分の魂が詩人の魂であるかどうか知ろうと、それをはかりにかけてみた。
Melancholy was the dominant note of his temperament, he thought, but it was a melancholy tempered by recurrences of faith and resignation and simple joy.	彼の気性の基調を支配しているのは憂愁だが、それは信仰と諦めと純真な喜びとの循環によりやわらげられた憂愁だ、と彼は思った。
If he could give expression to it in a book of poems perhaps men would listen.	彼がそれを一冊の詩集に表現できたら、あるいは人が耳を傾けるだろう。
He would never be popular:	彼は決して人気者にはなるまい。
whe saw that.	それはわかっていた。
He could not sway the crowd but he might appeal to a little circle of kindred minds.	彼には大衆を揺り動かすことはできないが、少数の気の合った人たちのサークルではうけるかもしれなかった。
The English critics, perhaps, would recognise him as one of the Celtic school by reason of the melancholy tone of his poems;	イングランドの批評家は、たぶん彼の詩の憂鬱な調子のために彼をケルト派の一人と認めるだろう。
besides that, he would put in allusions.	そのほかにも彼は隠喩を差し挟むつもりだった。
He began to invent sentences and phrases from the notice which his book would get.	彼は彼の本が得るだろう批評の文章や言葉をこしらえ始めた。
"Mr. Chandler has the gift of easy and graceful verse."	「ミスター・チャンドラーには平明で優美な韻文の才能がある。」
... "wistful sadness pervades these poems."	・・・「憂いに沈む悲しみがこれらの詩にしみこんでいる。」
... "The Celtic note."	・・・「ケルトの特徴。」
It was a pity his name was not more Irish-looking.	彼の名前がもっとアイルランド風でないのが残念だった。
Perhaps it would be better to insert his mother's name before the surname:	たぶん姓の前に母方の名を挿入した方がよかろう。
Thomas Malone Chandler, or better still: T. Malone Chandler.	トーマス・マローン・チャンドラー、いやＴ・マローン・チャンドラーならもっといい。
He would speak to Gallaher about it.	彼はガラハーにそれを話そうと思った。
He pursued his revery so ardently that he passed his street and had to turn back.	彼はあまり熱心に夢想を追い求めたために通りを行き過ぎ、引き返さなければならなかった。
As he came near Corless's his former agitation began to overmaster him and he halted before the door in indecision.	コーレスに近づくと以前の動揺が彼を圧倒し始め、彼はドアの前で優柔不断に立ち止まった。
Finally he opened the door and entered.	最終的に彼はドアを開き、中に入った。
The light and noise of the bar held him at the doorways for a few moments.	バーの光と喧騒が彼をちょっとの間、戸口に引き止めた。
He looked about him, but his sight was confused by the shining of many red and green wine-glasses	彼はあたりを見たが、彼の視覚はたくさんの赤や緑のワイングラスの輝きに混乱した。
The bar seemed to him to be full of people and he felt that the people were observing him curiously.	バーは人で一杯のように見え、彼は自分が物珍しげに観察されていると感じた。
He glanced quickly to right and left (frowning slightly to make his errand appear serious), but when his sight cleared a little he saw that nobody had turned to look at him:	彼は（自分の用向きを重大なものに見せるためにかすかに眉をしかめながら）すばやく左右を一瞥したが、視覚が少しはっきりした時に見ると、振り返って彼を眺めているものは一人もいなかった。
and there, sure enough, was Ignatius Gallaher leaning with his back against the counter and his feet planted far apart.	そしてはたしてそこに、背中をカウンターに寄りかからせ、足を大きく開いたイグネイシャス・ガラハーがいた。
"Hallo, Tommy, old hero, here you are!	「やあ、トミー、おい、来たな！
What is it to be?	どうだい？
What will you have?	何にする？
I'm taking whisky:	俺はウィスキーをやっているよ。
better stuff than we get across the water.	海の向こうよりものはいいな。
Soda?	ソーダは？
Lithia?	リチアは？
No mineral?	ミネラルウォーターはいらない？
I'm the same	俺も同じだ。
Spoils the flavour.	風味を台なしにするから
... Here, garcon, bring us two halves of malt whisky, like a good fellow.	・・・へい、ギャルソン、モルトウィスキーのハーフを二つ、よろしくな
... Well, and how have you been pulling along since I saw you last?	・・・さて、それで、最後に会ってからどんなふうにあくせくしてたんだ？
Dear God, how old we're getting!	まったく、お互い年を取ったなあ！
Do you see any signs of aging in me	見ればわかるだろ、年取ったって
--eh, what?	−−ええ、何？
A little grey and thin on the top	てっぺんが少し白いし薄いし
--what?"	−−ええ？」
Ignatius Gallaher took off his hat and displayed a large closely cropped head.	イグネイシャス・ガラハーは帽子を取り、短く刈り込んだ大きな頭を見せた。
His face was heavy, pale and cleanshaven.	彼の顔はどっしりとして青白く、ひげはきれいに落としていた。
His eyes,which were of bluish slate-colour, relieved his unhealthy pallor and shone out plainly above the vivid orange tie he wore.	青みを帯びた灰色の彼の目は不健康な青白い顔色を和らげ、着けている鮮明なオレンジ色のネクタイの上ではっきりと輝いていた。
Between these rival features the lips appeared very long and shapeless and colourless.	この競いあう目立ち屋の間で唇は非常に長く不恰好で色も悪く見えた。
He bent his head and felt with two sympathetic fingers the thin hair at the crown.	彼は頭をかがめ、二本の思いやりある指で脳天の薄い髪に触れた。
Little Chandler shook his head as a denial.	リトル・チャンドラーは首を振って否定した。
Ignatius Galaher put on his hat again.	イグネイシャス･ガラハーは再び帽子をかぶった。
"It pulls you down,"	「参っちゃうぜ、」
be said,	彼は言った、
"Press life.	「記者の暮らしは。
Always hurry and scurry, looking for copy and sometimes not finding it:	いつもせかせか急いで、ネタを探し、時にはそれが見つからない。
and then, always to have something new in your stuff.	そのうえ材料にはいつも新しいものがいる。
Damn proofs and printers, I say, for a few days.	ゲラも印刷もくそ食らえさまったく、二、三日はな。
I'm deuced glad, I can tell you, to get back to the old country.	すごく嬉しいよ、ほんとに、懐かしい土地に帰ってきて。
Does a fellow good, a bit of a holiday.	体にいいんだな、わずかな休暇だが。
I feel a ton better since I landed again in dear dirty Dublin.	大好きなダーティーダブリンの地を再び踏んでからずっと気分もいい
... Here you are, Tommy.	・・・そらきた、トミー。
Water?	水かい？
Say when."	いいって言ってくれ。」
Little Chandler allowed his whisky to be very much diluted.	リトル・チャンドラーはウィスキーがずいぶん薄くなるにまかせた。
"You don't know what's good for you, my boy,"	「うまいもんがわからないんだなあ」
said Ignatius Gallaher.	とイグネイシャス・ガラハーは言った。
"I drink mine neat."	「俺はストレートで飲るんだ。」
"I drink very little as a rule,"	「いつもはほとんど飲まないんだ」
said Little Chandler modestly.	とリトル・チャンドラーはおずおずと言った。
"An odd half-one or so when I meet any of the old crowd:	「たまに誰か昔の仲間に会った時にハーフを一杯かそこら飲む、
that's all."	それだけなんだ。」
"Ah well,"	「ああ、じゃあ、」
said Ignatius Gallaher, cheerfully,	イグネイシャス・ガラハーは快活に言った、
"here's to us and to old times and old acquaintance."	「我々に、そして昔日と昔馴染みに、乾杯。」
They clinked glasses and drank the toast.	彼らはグラスをチリンと鳴らし乾杯した。
"I met some of the old gang today,"	「今日何人か昔の仲間に会ったよ」
said Ignatius Gallahe.	とイグネイシャス・ガラハーは言った。
"O'Hara seems to be in a bad way.	「オハラは調子悪そうだな。
What's he doing?"	あいつ何してる？」
"Nothing,	「何も」
said Little Chandler.	とリトル・チャンドラーは言った。
"He's gone to the dogs."	「あいつは落ちぶれちゃった。」
"But Hogan has a good sit, hasn't he?"	「しかしホーガンはうまい口を手に入れたんじゃないか？」
"Yes;	「ああ、
he's in the Land Commission."	土地委員会だ。」
"I met him one night in London and he seemed to be very flush....	「いつだか夜ロンドンで会ったらやけにたんまり持ってそうだったな・・・
Poor O'Hara!	気の毒にな、オハラは！
Boose, I suppose?"	飲りすぎだな？」
"Other things, too,"	「ほかにもね」
said Little Chandler shortly.	とリトル・チャンドラーはそっけなく言った。
Ignatius Gallaher laughed.	イグネイシャス・ガラハーは笑った。
"Tommy,"	「トミー、」
he said,	彼は言った、
"I see you haven't changed an atom.	「お前ちっとも変わってないようだな。
You're the very same serious person that used to lecture me on Sunday mornings when I had a sore head and a fur on my tongue.	いつも日曜の朝、こっちが二日酔いで頭が痛むって時に説教してたのとまったく同じくそまじめじゃないか。
You'd want to knock about a bit in the world.	少しは世界を歩き回ることを考えたがいいぜ。
Have you never been anywhere even for a trip?"	どこかへ旅行に行ったことさえないのか？」
"I've been to the Isle of Man,"	「マン島に行ったことがあるよ」
said Little Chandler.	とリトル・チャンドラーは言った。
Ignatius Gallaher laughed.	イグネイシャス・ガラハーは笑った。
"The Isle of Man!"	「マン島！」
he said.	と彼は言った。
"Go to London or Paris:	「ロンドンかパリへ行けよ。
Paris, for choice.	どっちかといえばパリかな。
That'd do you good."	それがためになるだろうよ。」
"Have you seen Paris?"	「パリは見たことあるのかい？」
"I should think I have!	「なくってさ！
I've knocked about there a little."	あそこはちょっとうろつきまわったことがあるんだ。」
"And is it really so beautiful as they say?"	「それで、ほんとに噂に言うほどきれいなのかい？」
asked Little Chandler.	とリトル・チャンドラーは尋ねた。
He sipped a little of his drink while Ignatius Gallaher finished his boldly.	彼がちびちび自分の酒を飲むのに対してイグネイシャス・ガラハーは大胆に飲み干した。
"Beautiful?"	「きれいかって？」
said Ignatius Gallaher, pausing on the word and on the flavour of his drink.	とイグネイシャス・ガラハーは言って、その単語、酒の味を吟味した。
"It's not so beautiful, you know.	「それほどきれいではないけどね。
Of course, it is beautiful....	もちろん、きれいだが・・・
But it's the life of Paris;	でもパリの活気、
that's the thing.	肝心なのはそれさ。
Ah, there's no city like Paris for gaiety, movement, excitement...."	ああ、パリのような都市はないな、華やぎ、動き、興奮・・・」
Little Chandler finished his whisky and, after some trouble, succeeded in catching the barman's eye.	リトル・チャンドラーはウィスキーを飲み終え、いささか苦労した後、うまくバーテンの視線を捕らえることができた。
He ordered the same again.	彼はもう一度同じものを注文した。
"I've been to the Moulin Rouge,"	「ムーランルージュは行った、」
Ignatius Gallaher continued when the barman had removed their glasses,	イグネイシャス・ガラハーはバーテンが彼らのグラスを片付けたところで言った、
"and I've been to all the Bohemian cafes.	「ボヘミアンのカフェも全部行った。
Hot stuff!	すげえのなんの！
Not for a pious chap like you, Tommy."	お前みたいな信心深いやつ向きじゃないな、トミー。」
Little Chandler said nothing until the barman returned with two glasses:	リトル・チャンドラーはバーテンがグラスを二つ持って戻るまで何も言わなかった。
then he touched his friend's glass lightly and reciprocated the former toast.	彼は友人のグラスに軽く触れ、先ほどの乾杯の返礼をした。
He was beginning to feel somewhat disillusioned.	彼はいくぶん幻滅を感じ始めていた。
Gallaher's accent and way of expressing himself did not please him.	ガラハーの言葉遣い、ものの言い方が彼には気に入らなかった。
There was something vulgar in his friend which he had not observed before.	彼の友達には前には気づかなかった俗悪なところがあった。
But perhaps it was only the result of living in London amid the bustle and competition of the Press.	しかしたぶんそれは単に新聞社の騒々しさや競争の中にいるロンドンでの生活の結果かもしれなかった。
The old personal charm was still there under this new gaudy manner.	この新しい安っぽい派手な態度の下にはまだ昔の本来の魅力があった。
And, after all, Gallaher had lived, he had seen the world.	そして、何と言ってもガラハーは生を享受してきたのだ、世界を見てきたのだ。
Little Chandler looked at his friend enviously.	リトル・チャンドラーは友人をねたましそうに眺めた。
"Everything in Paris is gay,"	「パリでは何もかもが陽気だ」
said Ignatius Gallaher.	とイグネイシャス・ガラハーは言った。
"They believe in enjoying life	「あいつらは人生を楽しむことを信条としている
--and don't you think they're right?	−−あいつらが正しいと思わないか？
If you want to enjoy yourself properly you must go to Paris.	本当に楽しもうと思ったらパリへ行かなくちゃ。
And, mind you, they've a great feeling for the Irish there.	それにねえいいかい、あそこはアイルランド人にえらく親切なんだぜ。
When they heard I was from Ireland they were ready to eat me, man."	あいつらは俺がアイルランドから来たと聞くと俺を食っちまいそうになったからなあ。」
Little Chandler took four or five sips from his glass.	リトル・チャンドラーはグラスを四、五回すすった。
"Tell me,"	「ねえ、」
he said,	彼は言った、
"is it true that Paris is so...	「本当かな、パリはとても・・・
immoral as they say?"	不道徳って言うけど？」
Ignatius Gallaher made a catholic gesture with his right arm.	イグネイシャス・ガラハーは右腕ですべてを含めるしぐさをした。
"Every place is immoral,"	「どこだって不道徳さ」
he said.	と彼は言った。
"Of course you do find spicy bits in Paris.	「もちろんパリに行けばどうしたってきわどいものに出くわすさ。
Go to one of the students' balls, for instance.	たとえば学生舞踏会へ行ってみな。
That's lively, if you like, when the cocottes begin to let themselves loose.	そりゃあ活発、っていうかな、男好きたちが羽目をはずしだしたらもう。
You know what they are, I suppose?"	連中のことは知ってるだろうな？」
"I've heard of them,"	「聞いたことはある」
said Little Chandler.	とリトル・チャンドラーは言った。
Ignatius Gallaher drank off his whisky and shook his had.	イグネイシャス・ガラハーはウィスキーを飲み干し、首を振った。
"Ah,"	「ああ、」
he said,	彼は言った、
"you may say what you like.	「何と言おうとかまわないがね。
There's no woman like the Parisienne	パリジェンヌのような女はいないね
--for style, for go."	−−やることといい、エネルギーといい。」
"Then it is an immoral city,"	「だったら不道徳な街なんだね」
said Little Chandler, with timid insistence	とリトル・チャンドラーはしつこくなるのを気にしながら言った。
--"I mean, compared with London or Dublin?"	「というのは、ロンドンかダブリンと比べてさ？」
"London!"	「ロンドン！」
said Ignatius Gallaher.	とイグネイシャス・ガラハーが言った。
"It's six of one and half-a-dozen of the other.	「そりゃどっちもどっちだ。
You ask Hogan, my boy.	ホーガンに聞いてみな。
I showed him a bit about London when he was over there.	あいつが向こうに行った時ロンドンはちょっと案内して回ったんだ。
He'd open your eye....	あいつがお前の目を覚ましてくれるだろう・・・
I say, Tommy, don't make punch of that whisky:	なあ、トミー、ウィスキーをパンチにするなよ。
liquor up."	どんどん飲んな。」
"No, really...."	「いや、本当に・・・」
"O, come on, another one won't do you any harm.	「おう、さあさあ、もう一杯くらい何でもないさ。
What is it?	何にする？
The same again, I suppose?"	また同じのでいいよな？」
"Well...	「じゃあまあ・・・
all right."	オーケー。」
"Francois, the same again....	「フランソワ、また同じのを・・・
Will you smoke, Tommy?"	タバコを吸うか、トミー？」
Ignatius Gallaher produced his cigar-case.	イグネイシャス・ガラハーはシガーケースを取り出した。
The two friends lit their cigars and puffed at them in silence until their drinks were served.	二人の友達は葉巻に火をつけ、飲み物が来るまで黙ってそれを吹かした。
"I'll tell you my opinion,"	「俺の考えを言うと、」
said Ignatius Gallaher, emerging after some time from the clouds of smoke in which he had taken refuge,	イグネイシャス・ガラハーはしばらく逃げ込んでいたもくもくとした煙の中から現れて言った、
"it's a rum world.	「おかしなな世界だ。
Talk of immorality!	不道徳ったって！
I've heard of cases	いろいろ聞いたな
--what am I saying?	−−何言ってるんだ俺は
--I've known them:	−−俺は知ってるんだ。
cases of...	いろいろ・・・
immorality...."	不道徳な・・・」
Ignatius Gallaher puffed thoughtfully at his cigar and then, in a calm historian's tone, he proceeded to sketch for his friend some pictures of the corruption which was rife abroad.	イグネイシャス・ガラハーは思いにふけるように葉巻をスパスパ吹かし、それから穏やかな歴史家の口調で友に、外国に蔓延する堕落の大まかな描写に取り掛かった。
He summarised the vices of many capitals and seemed inclined to award the palm to Berlin.	彼は多くの首都の悪弊を要約し、ベルリンに栄冠を与えたいように見えた。
Some things he could not vouch for (his friends had told him), but of others he had had personal experience.	（友達が彼に話した）
He spared neither rank nor caste.	彼は階級や地位にも攻撃の手を緩めなかった。
He revealed many of the secrets of religious houses on the Continent and described some of the practices which were fashionable in high society and ended by telling, with details, a story about an English duchess	彼は大陸の修道院のたくさんの秘密を暴露し、上流社会で流行している習慣の一部を描写し、イングランドの公爵夫人の話
--a story which he knew to be true.	−−彼が真実と知る話を細部を添えて語って終えた。
Little Chandler as astonished.	リトル・チャンドラーはびっくりした。
"Ah, well,"	「まあなあ、」
said Ignatius Gallaher,	イグネイシャス・ガラハーは言った、
"here we are in old jog- along Dublin where nothing is known of such things."	「そんなことは何一つ聞かない、ここ古くて歩みののろいダブリンに我々はいるわけだ。」
"How dull you must find it,"	「きっとここは面白くないだろうね、」
said Little Chandler,	リトル・チャンドラーが言った、
"after all the other places you've seen!"	「そこらじゅう見てきたんでは！」
Well,"	「まあ、」
said Ignatius Gallaher,	イグネイシャス・ガラハーは言った、
"it's a relaxation to come over here, you know.	「ここまで来るとくつろげるよな。
And, after all, it's the old country, as they say, isn't it?	それにさ、何と言ってもね、いわゆるなつかしの祖国、そうじゃないか？
You can't help having a certain feeling for it.	どうしたってあるものを感じるさ。
That's human nature....	それが人間性だし・・・
But tell me something about yourself.	だが何かお前のこと話せよ。
Hogan told me you had...	ホーガンが言ってたな、お前・・・
tasted the joys of connubial bliss.	結婚の至福の喜びを味わったって。
Two years ago, wasn't it?"	二年前、だって？」
Little Chandler blushed and smiled.	リトル・チャンドラーは顔を赤らめ微笑んだ。
"Yes,"	「うん」
he said.	と彼は言った。
"I was married last May twelve months."	「五月で結婚して十二ヶ月になった。」
"I hope it's not too late in the day to offer my best wishes,"	「お祝いの言葉を言うのが遅すぎでなければいいんだが」
said Ignatius Gallaher.	とイグネイシャス･ガラハーは言った。
"I didn't know your address or I'd have done so at the time."	「住所を知らないし、さもなきゃその時そうしたんだが。」
He extended his hand, which Little Chandler took.	彼は手を差し出し、リトル・チャンドラーはそれを取った。
"Well, Tommy,"	「では、トミー、」
he said,	彼は言った、
"I wish you and yours every joy in life, old chap, and tons of money, and may you never die till I shoot you.	「お前と家族の人生にあらゆる喜びを、な、それからたくさんの金を、それと俺が撃つまでお前が死なないようにな、俺は祈るよ。
And that's the wish of a sincere friend, an old friend.	そしてそれが誠実な友の、旧友の願いだ。
You know that?"	わかった？」
"I know that,"	「わかった」
said Little Chandler.	とリトル・チャンドラーが言った。
"Any youngsters?"	「子供は？」
said Ignatius Gallaher.	とイグネイシャス・ガラハーは言った。
Little Chandler blushed again.	リトル・チャンドラーはまた顔を赤くした。
"We have one child,"	「子供が一人できたよ」
he said.	と彼は言った。
"Son or daughter?"	「息子、娘？」
"A little boy."	「リトルボーイだ。」
Ignatius Gallaher slapped his friend sonorously on the back.	イグネイシャス・ガラハーは友の背にピシャリと音を響かせた。
