TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
and there was even a party of the younger men who pretended to admire him, calling him a "true sea-dog" and a "real old salt" and such like names, and saying there was the sort of man that made England terrible at sea.	若い者の中にはやつを尊敬する一団が現れるしまつで、やつを“本当の海賊”とか“本物の老練な船乗り”とかそんな名前でよんでいて、あんな男たちこそがイギリスを海で恐れられるようにしたんだと口々にいっていた。
In one way, indeed, he bade fair to ruin us,	ある意味では、本当にやつは僕らを破滅させそうだった。
for he kept on staying week after week, and at last month after month, so that all the money had been long exhausted, and still my father never plucked up the heart to insist on having more.	というのもやつは何週間も、しまいには何ヶ月も逗留していたが、金は全部すっかり使い果たしてしまっていて、僕の親父はとうていもっとくれと勇気をだして言い張るなんて出来そうになかったから。
If ever he mentioned it, the captain blew through his nose so loudly that you might say he roared, and stared my poor father out of the room.	もし金のことに少しでもふれようもんなら、やつは鼻をまるで大声でほえるみたいに大きく鳴らし、にらみつけて僕のかわいそうな親父を部屋から追い出してしまっただろう。
I have seen him wringing his hands after such a rebuff,	僕は親父がそんなふうに拒絶されたあと、両手をつよく握り締めているのを見た記憶がある。
and I am sure the annoyance and the terror he lived in must have greatly hastened his early and unhappy death.	そんなふうに悩んだり恐れたりしていたのが、親父の寿命を短くして、不幸な死を遂げた大きな理由に違いないと僕は信じている。
All the time he lived with us the captain made no change whatever in his dress but to buy some stockings from a hawker.	僕がやつと一緒に暮らしていた間ずっと、やつの着ているものは変わらず、靴下を何足か行商人から買うだけだった。
One of the cocks of his hat having fallen down, he let it hang from that day forth, though it was a great annoyance when it blew.	帽子のつばが下に折れ曲がっていたときでも、風が吹いたときには難儀だっただろうに、折れ曲がった日からずっとそのままにしていた。
I remember the appearance of his coat,	僕は、やつのコートの見栄えを覚えてる。
which he patched himself upstairs in his room, and which, before the end, was nothing but patches.	自分の部屋でつぎはぎをしたあげく、やり終わる前につぎはぎだらけになっちまったもんだ。
He never wrote or received a letter, and he never spoke with any but the neighbours,	やつは一通たりとも手紙を書いたことも受け取ったこともなかったし、近所のもの以外には話しかけもしなかった。
and with these, for the most part, only when drunk on rum.	ただ近所のものと話すときも、たいがいはラムで酔っ払ったときだけだった。
The great sea-chest none of us had ever seen open.	僕たちの間ではだれも、あの船乗りの衣装箱が開くのを見たものはいなかった。
He was only once crossed, and that was towards the end,	やつは、たった一度だけたてつかれたことがあって、それが破滅への入り口だった。
when my poor father was far gone in a decline that took him off.	そのときには、かわいそうな親父の命取りになった衰弱もかなり進行していた。
Dr. Livesey came late one afternoon to see the patient, took a bit of dinner from my mother,	お医者さんのリバシー先生がある午後遅くに診察にきて、ちょっとした夕食を母親がだした。
and went into the parlour to smoke a pipe until his horse should come down from the hamlet, for we had no stabling at the old Benbow.	ベンボウ亭は古くて馬小屋がなかったので馬が村からやってくるまでの間、リバシー先生はラウンジへ入ってパイプをふかしていた。
I followed him in, and I remember observing the contrast	僕もリバシー先生のあとをついて入っていき、すぐにある違いに気づいたことを覚えている。
the neat, bright doctor, with his powder as white as snow and his bright, black eyes and pleasant manners, made with the coltish country folk, and above all, with that filthy, heavy, bleared scarecrow of a pirate of ours, sitting, far gone in rum, with his arms on the table.	きちんとして、生き生きとした顔つきで、髪には雪のように白い粉をふり、目は黒く輝いており、感じのいい先生の態度にくらべて、きままで田舎くさい者たち、その上不潔でぎこちなく疲れ果てたみずぼらしい僕らのあの海賊、ラムを飲みすぎていて、テーブルに両腕を投げ出していた。
Suddenly he--the captain, that is--began to pipe up his eternal song:	とつぜんやつ、船長がいつもの歌をがなりたてはじめた。
"Fifteen men on the dead man's chest--	死んだやつの衣装箱に１５人
Yo-ho-ho, and a bottle of rum!	ヨーホー、ヨーホー、ラム酒を１本！
Drink and the devil had done for the rest--	飲めや、悪魔が残りを飲み干す
Yo-ho-ho, and a bottle of rum!"	ヨーホー、ヨーホー、ラム酒を１本！
At first I had supposed "the dead man's chest" to be that identical big box of his upstairs in the front room,	最初のうち、僕は“死んだやつの衣装箱”は２階の部屋においてあるあの大きな箱のことだと思っていた。
and the thought had been mingled in my nightmares with that of the one-legged seafaring man.	そしてそいつは僕の悪夢の中で、あの一本足の船乗りの話と交じり合っているのだった。
But by this time we had all long ceased to pay any particular notice to the song;	でもこのときまでにはもう、僕たちはその歌にはたいして注意もはらってなかった。
it was new, that night, to nobody but Dr. Livesey, and on him I observed it did not produce an agreeable effect,	あの夜もリバシー先生にとって目新しいくらいだったが、僕がみるにあんまりいい感じをうけているようではなかった。
for he looked up for a moment quite angrily before he went on with his talk to old Taylor, the gardener, on a new cure for the rheumatics.	というのも、しばらくとても憤慨したように上を見上げると、庭師の年とったテーラーさんとリューマチの新しい治療法について話しはじめたから。
In the meantime, the captain gradually brightened up at his own music, and at last flapped his hand upon the table before him in a way we all knew to mean silence.	その間、やつは自分の歌でだんだん昂奮してきて、とうとう目の前のテーブルに、いつもの静かにしろといったぐあいに手を叩きつけた。
The voices stopped at once, all but Dr. Livesey's;	リバシー先生を除いて、みんな口をぴしゃりと閉じた。
he went on as before speaking clear and kind and drawing briskly at his pipe between every word or two.	リバシー先生は、何事もなかったかのようにはきはきとやさしい声で話しつづけ、一言二言いっては短くパイプをふかした。
The captain glared at him for a while, flapped his hand again, glared still harder,	やつはリバシー先生をしばらくにらみつけると、もっと鋭くにらみつけながら、もう一度テーブルを叩いた。
and at last broke out with a villainous, low oath,	そしてとうとう口を開くと、悪漢じみた低いのろいの言葉をはいた。
"Silence, there, between decks!"	「だまりやがれ、おい、おまえらだ！」
"Were you addressing me, sir?"	「君は、私のことを言ってるのかね？」
says the doctor;	リバシー先生がそういうと、
and when the ruffian had told him, with another oath,	そのごろつきは、またのろいの言葉をはいたんだ。
that this was so,	そうだともって。
"I have only one thing to say to you, sir,"	リバシー先生はこういいかえした。
replies the doctor,	「おまえにひとつだけ言っておこう、
"that if you keep on drinking rum, the world will soon be quit of a very dirty scoundrel!"	もしラムを飲みつづけるんなら、この世からまもなくとても薄汚れた悪党が一人消えていくとな！」
The old fellow's fury was awful.	やつの怒りはすざまじかった。
He sprang to his feet, drew and opened a sailor's clasp-knife, and balancing it open on the palm of his hand, threatened to pin the doctor to the wall.	とびあがり、船乗りの折りたたみナイフを引き抜いて開くと手の平の上で転がし、壁にくぎ付けにするぞとおどしたんだ。
The doctor never so much as moved.	リバシー先生は身動きひとつしなかった。
He spoke to him as before, over his shoulder and in the same tone of voice, rather high, so that all the room might hear, but perfectly calm and steady:	少しもかわらずに、肩越しに同じ調子の声で、いやその部屋のみんなに聞こえるように少しは高い声だったかもしれない、でも落ちつき払って平然としてこう言った。
"If you do not put that knife this instant in your pocket, I promise, upon my honour, you shall hang at the next assizes."	「もしそのナイフをすぐにポケットにしまわないなら、約束しよう、名誉にかけて、次の巡回裁判でしばり首だとな」
Then followed a battle of looks between them, but the captain soon knuckled under, put up his weapon, and resumed his seat, grumbling like a beaten dog.	２人の間のにらみあいが続いたが、やつが降参して、ナイフをしまうと負け犬のようにぶつぶつつぶやきながら、席にこしをおろした。
"And now, sir,"	「さて、」
continued the doctor,	先生は続けた。
"since I now know there's such a fellow in my district, you may count I'll have an eye upon you day and night.	「こんな人間が私の受け持ち地区にいたとすると、私が一日中おまえさんを見張ってるってことを忘れてもらっちゃこまるな。
I'm not a doctor only;	私は医者であるだけじゃない。
I'm a magistrate;	治安判事でもあるんだ。
and if I catch a breath of complaint against you, if it's only for a piece of incivility like tonight's,	もしおまえに対するどんな告訴があっても、もし今夜みたいな無礼な行為でもだ。
I'll take effectual means to have you hunted down and routed out of this.	私がすぐに手段を講じて、おまえを捕まえてここから追放だ。
Let that suffice."	わかったか？」
Soon after, Dr. Livesey's horse came to the door and he rode away,	その後すぐリバシー先生の馬がドアのところにやってきて、先生は去っていった。
but the captain held his peace that evening, and for many evenings to come.	でもやつはその晩しずかなもんだったし、それからしばらくはそんな調子だった。
2  Black Dog Appears and Disappears	２ 黒犬が姿をあらわし、そして消えた。
IT was not very long after this that there occurred the first of the mysterious events	それからほどなく、あのいわくありげな出来事の最初のひとつがおきたのだった。
that rid us at last of the captain,	そのおかげで僕たちは、とうとうやつの心配をしなくてもすむようになったわけだ。
though not, as you will see, of his affairs.	もちろん君たちが思ってるとおり、やつがこの話に係わらなくなったわけではなかったけれど。
It was a bitter cold winter, with long, hard frosts and heavy gales;	とにかく身を切るように寒い冬で、長い間厳しい霜がおり風が強かった。
and it was plain from the first that my poor father was little likely to see the spring.	だから僕の親父が、春をふたたびみることがなさそうなことも最初からわかりきったことだった。
He sank daily, and my mother and I had all the inn upon our hands, and were kept busy enough without paying much regard to our unpleasant guest.	親父は日ごとに衰弱していって、母親と僕で全ての宿屋の仕事をきりもりし、あまりにいそがしかったので、あの不愉快なやつにあまり注意をはらうこともなかった。
It was one January morning,	ある１月の朝のことだった。
very early--a pinching, frosty morning--the cove all grey with hoar-frost, the ripple lapping softly on the stones,	朝とても早くに、身が引き締まるほど寒く霜がおり、入り江は灰色にかすみ、さざなみが岩にそっと打ち寄せていた。
the sun still low and only touching the hilltops and shining far to seaward.	日は低くまだ丘の頂上から顔をだしただけで、朝日が海をてらしていた。
The captain had risen earlier than usual and set out down the beach, his cutlass swinging under the broad skirts of the old blue coat, his brass telescope under his arm, his hat tilted back upon his head.	やつは普段より早く起きだしていて、短剣をあの古ぼけた青いコートの広いすその下でぶらぶらさせ、真鍮製の望遠鏡をこわきに抱え、帽子は頭の上で後ろの方にかたむけたようななりで、浜まで出かけていた。
I remember	僕は覚えている。
his breath hanging like smoke in his wake as he strode off, and the last sound I heard of him as he turned the big rock was a loud snort of indignation, as though his mind was still running upon Dr. Livesey.	やつが大またで歩いていった跡には吐く息が煙のように漂い、そして大きな岩を回ったときにやつから最後に聞こえてきたのは、憤慨のあまり鼻をならした音で、それはまるでやつの心は、まだリバシー先生とのことにとらわれているかのようだった。
Well, mother was upstairs with father and I was laying the breakfast-table against the captain's return	さて、母親は親父と一緒に二階にいて、僕はやつが帰ってくる前に朝食用のテーブルを用意していた。
when the parlour door opened and a man stepped in on whom I had never set my eyes before.	そのときラウンジのドアが開き、一人の男、僕がまったく知らない男が入ってきた。
He was a pale, tallowy creature, wanting two fingers of the left hand,	その男は青白く蝋のような顔色で、左手の指は二本なくなっていた。
and though he wore a cutlass, he did not look much like a fighter.	おまけに短剣はもっていたけれど、およそ戦うようには見えなかった。
I had always my eye open for seafaring men, with one leg or two,	僕はいつも目をよく開いて、一本足かそれとも二本足の船乗りの男たちを見張っていた。
and I remember this one puzzled me.	でも思いおこしてもわけがわからないが、
He was not sailorly, and yet he had a smack of the sea about him too.	この男は船乗りには見えなかったにもかかわらず、やつと同じように船乗りを感じさせるようなものがあったんだ。
I asked him what was for his service,	僕はその男に「いかがなさいます」って聞いた。
and he said he would take rum;	その男は「ラムをもらおうか」といったが、
but as I was going out of the room to fetch it, he sat down upon a table and motioned me to draw near.	僕がラムを取りに部屋からでていこうとしたら、テーブルの上にすわり僕を呼び止めた。
I paused where I was, with my napkin in my hand.	僕はナプキンを手にしたまま、その場に立ち止まった。
"Come here, sonny," says he.  "Come nearer here."	「ぼうや、こっちへくるんだ、もっと近く」
I took a step nearer.	僕は一歩近づいた。
"Is this here table for my mate Bill?"	「ここは俺の友達の、ビルのテーブルだろ？」
he asked with a kind of leer.	とその男は、にらみつけるように尋ねた。
I told him	僕はこう答えた。
I did not know his mate Bill, and this was for a person who stayed in our house	あなたの友達のビルっていう人は知らないけれど、このテーブルはうちの宿に泊まっている人が使ってる。
whom we called the captain.	僕らはその人を船長って呼んでると。
"Well," said he, "my mate Bill would be called the captain, as like as not.	「よし、俺の友達のビルは船長と呼ばれている、まあそんなもんだな。
He has a cut on one cheek and a mighty pleasant way with him, particularly in drink, has my mate Bill.	やつには片ほおに傷があり、まあゆかいなやつだな、特に飲んだりするとな、俺の友達のビルは。
We'll put it, for argument like, that your captain has a cut on one cheek	仮にな、おまえのとこの船長とやらに片ほおに傷があるとしよう、仮にな。
--and we'll put it, if you like, that that cheek's the right one.	もしよければ、そのほおが右ほおだとしようじゃないか。
Ah, well!	どうだい！
I told you.	言ったろう。
Now, is my mate Bill in this here house?"	さあ、俺の友達のビルがここ、この宿にいるんだろう？」
I told him he was out walking.	僕はその男にやつは外に散歩にいったと答えた。
"Which way, sonny?	「どっちだ、ぼうや？
Which way is he gone?"	どっちにいったんだ？」
And when I had pointed out the rock and told him how the captain was likely to return, and how soon,	そして僕はあの岩の方を指さすと、どうやって船長が帰ってくるのかとか、どれくらいで帰ってくるのか？
and answered a few other questions,	などなどいろいろな質問に答えた。
"Ah,"	「あぁ」
said he,	その男は言った。
