Waiting for the Knock	ノックを待ちながら
The GNU Privacy Guard is Free Software (you are free to redistribute and change it), and is available on www.gnupg.org.	GNUプライバシー・ガードはフリー・ソフトウェア(自由に再配布したり変更したりすることができます)で、 www.gnupg.orgで入手ができます。
5. Once you have read an encrypted message, if you don't need to save it, get rid of it.	5. 暗号化されていたメッセージをいったん読んでしまったら、 もう保存しておく必要はありません。保存しないようにしましょう。
Don't just delete the file;	そのファイルを単に削除してはいけません。
copy several other files of junk into the file, one by one,	他のゴミファイルを何個かそのファイルの上に1個づつコピーしなさい。
so that the old bits cannot be recovered.	そうすれば、以前の情報を復活させることができなくなります。
(The GNU Privacy Guard will soon provide a convenient command for doing this.)	(GNUプライバシー・ガードはこれを行う便利なコマンドを提供するでしょう。)
6. If you need to save an encrypted message, use steganography (hiding information by embedding messages within other harmless messages)	6. もしもあなたが暗号化したメッセージを保存する必要があるなら、 ステガノグラフィ(steganography, 無害な他のメッセージ中にメッセージを埋め込んで情報を隠すこと)を使いなさい。
so that it is impossible for anyone to be sure that encrypted data is present.	そうすれば、暗号化されたデータが存在するに違いないと判断することは誰にもできなくなります。
You can use steganography for transmitting messages as well.	メッセージを送信するときもステガノグラフィを使うことができます。
7. Anyone, even you, could be a target of this law.	7. 誰でも、あなたですら、この法律の標的になる可能性があります。
Don't assume that you are safe just because you are "not a criminal";	自分が「犯罪者じゃない」から大丈夫、などと思ってはいけません。
almost everyone breaks some laws,	ほとんどすべての人間は何かの法律を破っているものです。
but even if you do not, you could still be suspected.	しかし、もしもあなたが法律を破っていなくても、それでも疑われる可能性はあるのです。
Your friends and correspondents are likely to be next after you.	あなたの友人や通信相手があなたの次に疑われるかもしれません。
So arrange innocent-sounding "code phrases" with them now,	ですから、無害に聞こえる「コード・フレーズ」を仲間うちで今のうちに決めておきなさい。
things like "Agnes has a bad cold" (but don't use this one!),	例えば「アグネスはひどい風邪をひいた」というようなものです(でもこの文は使わないように!)。
as a way you can inform them that you were interrogated by the secret police, without giving the police a way to detect that you did so.	そうすれば、秘密警察に尋問を受けたことを、警察に悟られずに仲間に知らせることができます。
You never know what might lead the secret police to your door.	何をきっかけとして、 あなたのドアまで秘密警察がやってくるのか、 わかったものではありません。
Take the necessary precautions now,	今のうちに、必要な用心をしておきましょう。
because the only thing worse than fearing the knock on the door is being oblivious to the danger.	なぜなら、 ドアのノックを恐れる以上にまずいのは、 危険に気づかずにいるということなのですから。
A version of this article was published in the Guardian, a London newspaper, on 25 November 1999.	この記事のある版は、 1999年11月25日付けのGuardian(ロンドンの新聞)で公開されました。
As of March 2000, the R.I.P. was under active consideration in Parliament.	2000年3月の時点で、R.I.Pは英国議会で熱心に検討されています。
One minor protection has been added:	ちょっとした安全策が追加されました。
to imprison you for failing to produce a key, the government must prove you once had it.	すなわち、鍵を出さなかったゆえに投獄するためには、当人がかつてそれを持っていたことを政府が証明しなければならないというのです。
This provision seems designed to protect the Home Secretary, who is championing the bill, from a campaign of sending him encrypted email which he had no way to read.	この準備は、この法案の擁護者である内務大臣を、 彼に読めない暗号メールを送ろうというキャンペーンから 守ることを意図しているように見えます。
The change is a slight improvement, but the bill remains unworthy of a democratic country.	この修正は少しばかりの改善ですが、 この法案は依然として民主主義国家にとってふさわしくないものです。
For more information, consult the Foundation for Information Policy Research, or FIPR.	さらに情報を得たい場合には、 Foundation for Information Policy Research (FIPR) をあたってください。
