THE SILVER SHILLING	五十銭銀貨
"'Ah!' sighed I to myself, 'am I also to be a burden on the conscience of this poor woman?	私も、それを思ふと、ためいきをつきました。
Am I then in my old days so completely changed?'	私は、年をとつたために、私の見かけがすつかりかはつたのだらうか、とも思つて見ました。
The woman offered me to the rich baker,	お婆さんは、お金持のぱん屋の店へ出かけました。
but he knew the current money too well, and as soon as he received me he threw me almost in the woman's face.	ところがぱん屋は、すぐに私を見わけて、つきかへしました。
She could get no bread for me,	お婆さんは、ぱんをもらひそこねました。
and I felt quite grieved to the heart that I should be cause of so much trouble to another, and be treated as a cast-off coin.	私はこんなにして、人にひどい迷惑をかけるのを思ふと、しみ／゛＼なさけなくなりました。
I who, in my young days, felt so joyful in the certainty of my own value, and knew so well that I bore a genuine stamp.	若いときには、あれほど、じぶんながら、じぶんのねうちと、じぶんの鋳られかたの正しさとを誇つてゐた私が、
I was as sorrowful now as a poor shilling can be when nobody will have him.	こんなにまで、けおとされたのですから、何とも言ひようのない、つらさです。
The woman took me home again with her,	お婆さんは私を、お家へもつてかへりました。
and looking at me very earnestly, she said,	そして、したしい、なさけある顔をして私を見ながら言ひました。
'No, I will not try to deceive any one with thee again.	「いや／＼私はおまへさんをつかつて、人さまをだますことはしない。
I will bore a hole through thee, that everyone may know that thou art a false and worthless thing;	私はおまへのからだへ穴をあけて、だれが見ても、すぐに、にせものだとわかるようにしておきませう。
and yet, why should I do that?	だが、まてよ。
Very likely thou art a lucky shilling. A thought has just struck me that it is so,	私はつい今さう気づいたのだが、このお金は、えんぎを祝ふ飾りのお金につくられたものかもしれないね。
and I believe it.	何だか変にさういふ気がする。
Yes, I will make a hole in the shilling,'	ほんとに、えんぎ祝ひの飾り金かもしれない。
said she,	ともかく穴をあけて、紐をとほして、となりの小さな男の子の頸にかけてやりませう。」
So she drilled a hole through me.	お婆さんは私へ穴をあけました。
"It is really not at all pleasant to have a hole bored through one,	からだに穴をあけられるといふことは、私として、とても気持のいゝものではありませんでした。
but we can submit to a great deal when it is done with a good intention.	でも、物ごとは、わるい気でしかけられたのでない場合には、がまんの出来ることはいくらもあります。
A string was drawn through the hole,	お婆さんは、その穴へ糸をとほしました。
and I became a kind of medal.	私はめだる見たいな形になつて、
They hung me round the neck of a little child,	今お婆さんの言つた子供のくびに、つり下げられました。
and the child laughed at me and kissed me,	子供は私を見て、ほゝゑみ、頬ずりしました。
and I rested for one whole night on the warm, innocent breast of a child.	私はその晩は、そのあたゝかい、罪のない頸の上に乗つて眠りました。
"In the morning the child's mother took me between her fingers,	朝になりますと、その子の母親は、私を指の中にとり上げて、見入りました。
and had certain thoughts about me,	この人には、又この人だけの考へがうかんだのです。
which I very soon found out.	私は、何だか、いゝ気持がしませんでした。
First, she looked for a pair of scissors, and cut the string.	母親は、鋏をとり出して、私の糸を切りはなしました。
"'Lucky shilling!'	「これはえんぎのお金だ。
'certainly this is what I mean to try.'	今に分る。」
Then she laid me in vinegar till I became quite green,	母親はかう言つて、私を酢の中へつけて、まつ青なお金にしてしまひました。
and after that she filled up the hole with cement,	それから私のからだの穴へ、つめものをしました。
and went out in the twilight hour to the lottery collector, to buy herself a ticket,	そして、夕方の、うすくらがりに、私をもつて、とみくじ屋の店へ行つて、くじ札を一まい買ひました。
with a shilling that should bring luck.	運よく、くじあたりをとらうといふ気です。
How everything seemed to cause me trouble.	そのときの私のなさけなさと言つたらありませんでした。
The lottery collector pressed me so hard that I thought I should crack.	私は、づき／＼つきさゝれるような気持がしました。
I had been called false, I had been thrown away,- that I knew;	だつて、とみくじ屋にわたされゝば、たちまち、にせだと言つてなげかへされるのが分つてゐるからです。
and there were many shillings and coins with inscriptions and stamps of all kinds lying about.	しかもそれが、そこに群つてゐる五十銭銀貨や、ほかのお金の目の前で
I well knew how proud they were,	──それらのお金は、みんな、女王さまのお顔だの、何円だの何十銭だのと打ち出してあるその額文字を、じまんしてゐるにちがひないのです。
so I avoided them from very shame.	ところが、私は運よくそんな恥をのがれました。
With the collector were several men who seemed to have a great deal to do,	とみくじ屋の部屋には、大ぜいの人がごた／＼してゐましたるとみくじ屋は、いろんなことで忙がしがつてゐました。
so I fell unnoticed into a chest, among several other coins.	そのため私は、がちやんと函の中へ投げこまれて、ほかのお金の中へまざりました。
"Whether the lottery ticket gained a prize, I know not;	私のくじ札が、いくらかでももうけになつたか、ならないか、それは私には、とう／＼分らずじまひでしたが、
but this I know,	これだけは実さいです。
that in a very few days after, I was recognized as a bad shilling, and laid aside.	──といふのは、そのじきあくる朝、私は、にせ金だと見なされて、又、じゆん／＼に、いろいろの人をだますために送り出されました。
Everything that happened seemed always to add to my sorrow. Even if a man has a good character, it is of no use for him to deny what is said of him, for he is not considered an impartial judge of himself.	じぶんで、じぶんが、まちがひのないものだと分つてゐながら、にせものとしてつかはれるのを、ぢつとがまんしてゐるのは、それはそれはつらいものでした。
"A year passed, and in this way I had been changed from hand to hand;	まる一年と一日間、私は、そんなにして、家から家、手から手へと、うつりさまよひました。
always abused, always looked at with displeasure,	そして、たんびに、のゝしられ、たんびに、きらはれどほしでした。
and trusted by no one;	だれも私を信用してくれるものはありません。
but I trusted in myself, and had no confidence in the world.	私はもう世の中をも、私自身をも、たより信ずることが出来なくなりました。
Yes, that was a very dark time.	その永い間の不愉快さを察して下さい。、
"At length one day I was passed to a traveller, a foreigner, the very same who had brought me away from home;	でも、とう／＼しまひに、或日、一人の旅行客が──よその国の紳士が、やつて来ました。
and he was simple and true-hearted enough to take me for current coin.	その人は、礼儀よく、私を、立派に通用するお金としてうけとりました。
But would he also attempt to pass me? and should I again hear the outcry,	ところが、やがて私を又ほかの人へ払ひわたさうとするだんになりますと、
'False!	「だめです。
good-for-nothing!'	これは、にせです」
The traveller examined me attentively,	「私は、ちやんと、とほる金としてもらつたのだが」
'I took thee for good coin,'	と、紳士は答へながら、じろ／＼と私を見つめました。
then suddenly a smile spread all over his face.	と、ふいに、紳士の顔中一ぱいに微笑がうかんで来ました。
I have never seen such a smile on any other face as on his.	私は、生れてから、こんなに、にこ／＼した顔をして、じぶんを見られたためしがありません。
'Now this is singular,' said he,	「ふうん、何だ。
'it is a coin from my own country;	これは、わたしの本国のお金だ。
a good, true, shilling from home.	わたしの国から来た、まちがひのない正直な五十銭銀貨だ。
Some one has bored a hole through it, and people have no doubt called it false.	これへ、こんなに穴なんかあけて、にせ金だと言つてたのか。
How curious that it should come into my hands.	ふうん、これは、めづらしいめぐり合せだ。
I will take it home with me to my own house.'	わたしはこの金をはなさないで、国までもつてかへつてやらう。」
'Joy thrilled through me when I heard this. I had been once more called a good, honest shilling,	私は、はじめて、じぶんのことを、まちがひのない、正直な五十銭銀貨だと言はれる、その言葉をきいたときには、ほんとに、よろこびのかゞやきが、からだ中を、ふるへ走りました。
and I was to go back to my own home,	その上に、私は、じぶんの国へつれてかへつてもらへるのでした。
where each and all would recognize me, and know that I was made of good silver, and bore a true, genuine stamp.	だれもかれも私を知つてくれ、私が本当の銀で、正しく鋳出されたお金だといふことを信じてくれる私の生れた国へ。
I should have been glad in my joy to throw out sparks of fire,	私はあまりのうれしさに、火花でもちらし出しさうでした。
but it has never at any time been my nature to sparkle.	でも、けつきよく、火花を出すなぞといふことは、私の生れつきとして出来るわけではありません。
Steel can do so, but not silver.	それは鋼のもちまへで、銀には出来ないことでした。
I was wrapped up in fine, white paper, that I might not mix with the other coins and be lost;	紳士は、私を、ほかのお金と、まちがへてつかはないように、きれいな、あたらしい紙へ私をつゝみました。
and on special occasions, when people from my own country happened to be present, I was brought forward	そして祝ひなぞがあつて、同国人が集り合つたときには、いつも私をとり出して、みんなにまはして見せました。
and spoken of very kindly.	みんなは私をよく言つてくれました。
They said I was very interesting,	これはおもしろいと言ひました。
and it was really quite worth while to notice that those who are interesting have often not a single word to say for themselves.	私が一言だつて口をきくのでもないのに、それでも私が面白いものになつたといふことは、今考へても、ふしぎでたまりません。
"At length I reached home.	私はとう／＼故郷へかへりました。
All my cares were at an end.	私の苦しみはもうそれでをはりで、
Joy again overwhelmed me;	よろこびが、ふたゝびめぐつて来ました。
for was I not good silver, and had I not a genuine stamp? I had no more insults or disappointments to endure; 	こゝへかへれば、私は、もう、まちがひのない銀のお金であり、正しい押印のついたもので、もはや何一つ不愉快をこらへるなぞといふことはないのです。
although, indeed, there was a hole through me, as if I were false;	からだには、さも、にせ金のように穴があいてゐます。
but suspicions are nothing when a man is really true,	でも、だれにしろ、ほんとににせものでさへなかつたら、そんな穴があつたつて何でもありません。
and every one should persevere in acting honestly, for an will be made right in time.	人は、最後まで待たなければだめです。
That is my firm belief,"	私はこれを信条にします。
said the shilling.	──五十銭銀貨は、かう言つてお話をむすびました。
