Classic Mystery and Detective Stories	世界怪談名作集
"For no other reason?"	「ほかに理由はないのですな」
"What other reason could I possibly have?"	「ほかに理由があるものですか」
"You had no feeling that they were conveyed to you in any supernatural way?"	「なにか、超自然的の力が、あなたにそう言わせたようにお思いにはなりませんか」
"No."	「いいえ」
He wished me good-night, and held up his light.	彼は「さようなら」という代りに、持っている白い燈火をかかげた。
I walked by the side of the down Line of rails (with a very disagreeable sensation of a train coming behind me) until I found the path.	私はあとから列車が追いかけて来るような不安な心持ちで、下り列車の線路のわきを通って自分の路を見つけた。
It was easier to mount than to descend, and I got back to my inn without any adventure.	その路はさきに下って来たときよりも容易に登ることが出来たので、さしたる冒険もなしに私の宿へ帰った。
Punctual to my appointment, I placed my foot on the first notch of the zigzag next night,	約束の時間を正確に守って、わたしは次の夜、ふたたびかの高低のひどい坂路に足をむけた。
as the distant clocks were striking eleven.	遠い所では、時計が十一時を打っていた。
He was waiting for me at the bottom, with his white light on.	彼は白い燈火を掲げながら、例の低い場所に立って私を待っていた。
"I have not called out,"	わたしは彼のそばへ寄った時に訊（き）いた。
I said, when we came close together;	「わたしは呼ばなかったが……。
"may I speak now? "	もう話してもいいのですか」
"By all means, sir."	「よろしいですとも……。
"Good-night, then, and here's my hand."	今晩は……」
"Good-night, sir, and here's mine."	「今晩は……」
With that we walked side by side to his box, entered it, closed the door, and sat down by the fire.	それから二人はいつもの小屋へはいってドアをしめて、火のほとりに腰をおろした。
"I have made up my mind, sir,"	椅子に着くやいなや、彼はからだを前にかがめて、ささやくような低い声で言った。
he began, bending forward as soon as we were seated, and speaking in a tone but a little above a whisper,	「わたしが困っているということについて、あなたが重ねておいでになろうとは思っていませんでした。
I took you for some one else yesterday evening.	実は昨晩は、あなたをほかの者だと思っていたのですが……。
That troubles me."	それが私を困らせるのです」
"That mistake?"	「それは思い違いですよ」
"No.	「もちろん、あなたではない。
That some one else."	そのある者が私を困らせるので……」
"Who is it?"	「それは誰です」
"I don't know."	「知りません」
"Like me?"	「わたしに似ているのですか」
"I don't know.	「わかりません。
I never saw the face.	私はまだその顔を見たことはないのです、
The left arm is across the face, and the right arm is waved,--violently waved.	左の腕を顔にあてて、右の手を振って……激しく振って……。
This way."	こんなふうに……」
I followed his action with my eyes, and it was the action of an arm gesticulating, with the utmost passion and vehemence,	わたしは彼の動作を見つめていると、それは激しい感情を苛立（いらだ）たせているような腕の働き方で、彼は
"For God's sake, clear the way!"	「どうぞ退（ど）いてくれ」
"One moonlight night,"	そうして、また話し出した。
said the man,	「月の明かるい、ある晩のことでした。
"I was sitting here, when I heard a voice cry,	私がここに腰をかけていると
'Halloa!	〈おぅい、下にいる人！〉
Below there!'	と呼ぶ声を聞いたのです。
I started up, looked from that door, and saw this Someone else standing by the red light near the tunnel, waving as I just now showed you.	私はすぐに起（た）って、そのドアの口から見ると、トンネルの入り口の赤い灯のそばに立って、今お目にかけたように手を振っている者がある。
The voice seemed hoarse with shouting, and it cried,	その声は叫ぶような唸（うな）るような声で
'Look out!	〈見ろ、見ろ〉
Look out!'	という。
And then attain,	つづいてまた
'Halloa!	〈おぅい、下にいる人！
Below there!	見ろ、見ろ〉
Look out!'	という。
I caught up my lamp, turned it on red, and ran towards the figure, calling,	わたしは自分のランプを赤に直して、その者の呼ぶ方角へ駈けて行って
'What's wrong?	〈どうかしましたか、何か出来（しゅったい）しましたか。
What has happened?	いったいどこです〉
Where?'	とたずねると、
It stood just outside the blackness of the tunnel.	その者はトンネルの暗やみのすぐ前に立っているのです。
I advanced so close upon it that I wondered at its keeping the sleeve across its eyes.	私はさらに近寄ってみると、不思議なことには、その者は袖を自分の眼の前にあてている。
I ran right up at it, and had my hand stretched out to pull the sleeve away, when it was gone."	私はまっすぐに進んで行って、その袖を引きのけてやろうと手をのばすと、もうその形は見えなくなってしまったのです」
"Into the tunnel?"	「トンネルの中へでもはいったかな」
said I.	と、わたしは言った。
"No.	「そうではありません。
I ran on into the tunnel, five hundred yards.	私はトンネルの中へ五百ヤードも駈け込んで、
I stopped, and held my lamp above my head, and saw the figures of the measured distance,	わたしの頭の上にランプをさしあげると、前に見えたその者の影がまた同じ距離に見えるのです。
and saw the wet stains stealing down the walls and trickling through the arch.	そうして、トンネルの壁をぬらしている雫（しずく）が上からぽたぽたと落ちています。
I ran out again faster than I had run in (for I had a mortal abhorrence of the place upon me), and I looked all round the red light with my own red light, and I went up the iron ladder to the gallery atop of it,	わたしは職務という観念があるので、初めよりも更に迅（はや）い速度でそこを駈け出して、自分の赤ランプでトンネルの入り口の赤い灯のまわりを見まわしたのち、その赤い灯の鉄梯子をつたって、頂上の展望台に登りました。
and I came down again, and ran back here.	それからまた降りて来て、そこまで駈けて戻りましたが、
I telegraphed both ways,	どうも気になるので、上り線と下り線とに電信を打って
'An alarm has been given.	〈警戒の報知が来た。
Is anything wrong?'	何か事故が起こったのか〉
The answer came back, both ways,	と問い合わせると、どちらからも同じ返事が来て
'All well.'"	〈故障なし〉……」
Resisting the slow touch of a frozen finger tracing out my spine, I showed him how that this figure must be a deception of his sense of sight;	この話を聞かされて、なんだか背骨がぞっとするような心持ちになったが、私はそれを堪（こら）えながら、そんなあやしい人影などはなにかの視覚のあやまりである。
and how that figures, originating in disease of the delicate nerves that minister to the functions of the eye, were known to have often troubled patients,	あらぬものの影を見たりするのは神経作用から起こるもので、病人などにはしばしばその例を見ることがあると話して聞かせた。
some of whom had become conscious of the nature of their affliction, and had even proved it by experiments upon themselves.	また、そんな人びとのうちには、そういう苦悩を自覚し、それを自分で実験している人さえあるということをも話した。
"As to an imaginary cry,"	「その叫び声というのも……」
said I,	と、わたしは言った。
"do but listen for a moment	「まあ、すこしのあいだ聴いていてご覧なさい。
to the wind in this unnatural valley while we speak so low, and to the wild harp it makes of the telegraph wires."	こんな不自然な谷間のような場所では、われわれが小さい声で話している時に、電信線が風にうなるのを聞くと、まるで竪琴（たてごと）を乱暴に鳴らしているように響きますからね」
That was all very well, he returned, after we had sat listening for a while, and he ought to know something of the wind and the wires,--	彼はそれに逆（さか）らわなかった。
he who so often passed long winter nights there, alone and watching.	彼も幾年のあいだ、ここに長い冬の夜を過ごして、ただひとりで寂しくそれを聴いていたのである。
But he would beg to remark that he had not finished.	しかも彼は、自分の話はまだそれだけではないと言った。
I asked his pardon, and he slowly added these words, touching my arm--	わたしは中途で口をいれたのを謝して、更にそのあとを聴こうとすると、彼は私の腕に手をかけながら、またしずかに話し出した。
"Within six hours after the Appearance, the memorable accident on this Line happened,	「その影があらわれてから六時間ののちに、この線路の上に怖ろしい事件が起こったのです。
and within ten hours the dead and wounded were brought along through the tunnel over the spot where the figure had stood."	そうして十時間ののちには、死人と重症者がトンネルの中から運ばれて、ちょうどその影のあらわれた場所へ来たのです」
A disagreeable shudder crept over me, but I did my best against it.	わたしは不気味な戦慄を感じたが、つとめてそれを押しこらえた。
It was not to be denied, I rejoined,	この出来事はさすがに（うそ）であるとはいえない。
that this was a remarkable coincidence, calculated deeply to impress his mind.	まったく驚くべき暗合（あんごう）で、彼のこころに強い印象を残したのも無理はない。
But it was unquestionable that remarkable coincidences did continually occur, and they must be taken into account in dealing with such a subject.	しかも、かくのごとき驚くべき暗合がつづいて起こるというのは、必ずしも疑うべきことではなく、こういう場合も往々（おうおう）にあり得るということを勘定のうちに入れておかなければならない。
Though to be sure I must admit, I added (for I thought I saw that he was going to bring the objection to bear upon me), men of common sense did not allow much for coincidences in making the ordinary calculations of life.	もちろん、世間多数の常識論者は、とかく人生の上に生ずる暗合を信じないものではあるが――
He again begged to remark that he had not finished.	彼の話は、まだそれだけではないというのである。
I again begged his pardon for being betrayed into interruptions.	私はその談話をさまたげたことを再び詫びた。
"This,"	「これは一年前のことですが……」
he said, again laying his hand upon my arm, and glancing over his shoulder with hollow eyes,	と、彼は私の腕に手をかけて、うつろな眼で自分の肩を見おろしながら言った。
Six or seven months passed, and I had recovered from the surprise and shock,	「それから六、七カ月を過ぎて、私はもう以前の驚きや怖ろしさを忘れた時分でした。
when one morning, as the day was breaking, I, standing at the door, looked towards the red light, and saw the spectre again."	ある朝……夜の明けかかるころに、わたしがドアの口に立って、赤い灯の方をなに心なく眺めると、またあの怪しい物が見えたのです」
He stopped, with a fixed look at me.	ここまで話すと、彼は句を切って、私をじっと見つめた。
"Did it cry out?"	「それがなんとか呼びましたか」
"No.	「いえ、
It was silent."	黙っていました」
"Did it wave its arm?"	「手を振りませんでしたか」
"No.	「振りません。
It leaned against the shaft of the light, with both hands before the face. Like this."	燈火（あかり）の柱に倚（よ）りかかって、こんなふうに両手を顔に当てているのです」
Once more I followed his action with my eyes.	わたしは重ねて彼の仕科（しぐさ）を見たが、
It was an action of mourning. I have seen such an attitude in stone figures on tombs.	それは私がかつて墓場で見た石像の姿をそのままであった。
"Did you go up to it?"	「そこへ行って見ましたか」
"I came in and sat down, partly to collect my thoughts,	「いえ、私は内へはいって、腰をおろして、自分の気を落ちつけようと思いました。
partly because it had turned me faint.	それがために私はいくらか弱ってしまったからです。
When I went to the door again, daylight was above me, and the ghost was gone."	それから再び外へ出てみると、もう日光が映（さ）していて、幽霊はどこへか消え失せてしまいました」
"But nothing followed? Nothing came of this?"	「それから何事も起こりませんでしたか」
He touched me on the arm with his forefinger twice or thrice	彼は指のさきで私の腕を二、三度押した。
giving a ghastly nod each time:-	その都度（つど）に、彼は怖ろしそうにうなずいたのである。
"That very day, as a train came out of the tunnel, I noticed, at a carriage window on my side, what looked like a confusion of hands and heads, and something waved.	「その日に、列車がトンネルから出て来たとき、私の立っている側の列車の窓で、人の頭や手がごっちゃに出て、何かしきりに、振っているように見えたので、
I saw it just in time to signal the driver, Stop!	わたしは早速（さっそく）に機関手にむかって、停止（ストップ）の信号をしました。
He shut off, and put his brake on,	機関手は運転を停（と）めてブレーキをかけました。
but the train drifted past here a hundred and fifty yards or more.	列車は五百ヤードほども行き過ぎたのです。
I ran after it, and, as I went along, heard terrible screams and cries.	私がすぐに駈けてゆくと、そのあいだに怖ろしい叫び声を聞きました。
A beautiful young lady had died instantaneously in one of the compartments,	美しい若い女が列車の貸切室のなかで突然に死んだのです。
and was brought in here, and laid down on this floor between us."	その女はこの小屋へ運び込まれて、ちょうどあなたと私とが向かい合っている、ここの処（ところ）へ寝かしました」
Involuntarily I pushed my chair back, as I looked from the boards at which he pointed to himself.	彼がそう言って指さした場所を見おろしたとき、わたしは思わず自分の椅子をうしろへ押しやった。
"True, sir.	「ほんとうです。
True.	まったくです。
Precisely as it happened, so I tell it you."	私が今お話をした通りです」
I could think of nothing to say,	私はなんとも言えなくなった。
to any purpose, and my mouth was very dry.	私の口は乾き切ってしまった。
The wind and the wires took up the story with a long lamenting wail.	外ではこの物語に誘われて、風や電線が長い悲しい唸り声を立てていた。
He resumed.	「まあ、聴いてください」
"Now, sir,	と、彼はつづけた。
mark this, and judge how my mind is troubled.	「そうして、私がどんなに困っているか、お察しください。
The spectre came back a week ago.	その幽霊が一週間前にまた出て来ました。
Ever since, it has been there, now and again, by fits and starts."	それからつづいて、気まぐれのように時どきに現われるのです」
"At the light?"	「あの灯のところに……？」
"At the Danger-light."	「あの危険信号燈のところにです」
"What does it seem to do?"	「どうしているように見えますか」
He repeated, if possible with increased passion and vehemence, that former gesticulation of,	彼は激しい恐怖と戦慄を増したような風情で
"For God's sake, clear the way!"	「どうか退（ど）いてくれ！」
Then he went on.	そうして、さらに話しつづけた。
