PETER PAN IN KENSINGTON GARDENS 　James Matthew Barrie	ケンジントン公園のピーターパン
He stooped, and dipped his beak in the pond;	ピーターはかがんで、くちばしを池の水につけました。
he thought it was his beak, but, of course, it was only his nose,	ピーターはくちばしだと思ってましたが、もちろん鼻でした。
and, therefore, very little water came up,	だからほとんど水は飲めませんでした。
and that not so refreshing as usual, so next he tried a puddle, and he fell flop into it.	そして水はいつものようにそれほどきれいではなかったので、次にピーターは水たまりを試してみましたが、ドボンと落っこちてしまいました。
When a real bird falls in flop, he spreads out his feathers and pecks them dry, but Peter could not remember what was the thing to do, and he decided, rather sulkily, to go to sleep on the weeping beech in the Baby Walk.	本物の鳥が落っこちたら、羽を広げて、くちばしでついばんでかわかすのでしたが、ピーターはどうしてよいかわからなかったので、すごく不機嫌になって、赤ん坊の道にある枝が垂れ下がっているブナの木にとまって寝ることにしたのでした。
At first he found some difficulty in balancing himself on a branch, but presently he remembered the way, and fell asleep.	最初のうちは枝の上でどうにもバランスが取れなかったのですが、すぐにバランスの取り方を思い出し、眠りにつきました。
He awoke long before morning, shivering,	夜明け前に目を覚ますと、ぶるっと身を震わして
and saying to himself,	「こんな寒い夜に外で過ごしたことはないなぁ」
"I never was out in such a cold night;"	とひとりごとを言いました。
he had really been out in colder nights when he was a bird, but, of course, as everybody knows, what seems a warm night to a bird is a cold night to a boy in a nightgown.	本当は鳥だった頃に、もっと寒い夜を外で過ごしたこともあったのですが、みなさんご存じの通り、鳥にとっては暖かに思える夜でも、ねまきだけの子供にとっては寒い夜なのです。
Peter also felt strangely uncomfortable, as if his head was stuffy,	ピーターはまた、頭が重いみたいでなんとなく落ち着かない感じがしました。
he heard loud noises that made him look round sharply, though they were really himself sneezing.	大きな音を耳にして、あたりをすばやく見まわしましたが、それは実際には自分のくしゃみでした。
There was something he wanted very much,	ピーターには、とっても欲しいものがありました。
but, though he knew he wanted it, he could not think what it was.	でも欲しいことは分かっていたのに、何が欲しいのかまではわかりません。
What he wanted so much was his mother to blow his nose, but that never struck him, so he decided to appeal to the fairies for enlightenment.	とっても欲しかったのは、鼻をかんでくれるお母さんでしたが、ピーターに思い浮かぶはずもなかったので、教えてくれるように妖精にお願いすることにしました。
They are reputed to know a good deal.	妖精が良い知恵を持っていることは、知られていることです。
There were two of them strolling along the Baby Walk, with their arms round each other's waists, and he hopped down to address them.	赤ん坊の道には、お互いの腰に手を回してぶらぶらしている２人の妖精がいたので、ピーターは話しかけるためにひょいと飛び出ました。
The fairies have their tiffs with the birds, but they usually give a civil answer to a civil question,	妖精というものは鳥とはちょっといざこざがあるものですが、ふつうは礼儀正しい質問をすれば、きちんとした返事をしてくれます。
and he was quite angry when these two ran away the moment they saw him.	なので、目があった瞬間に２人とも逃げ出したとき、ピーターはかんかんに怒りました。
Another was lolling on a garden-chair, reading a postage-stamp which some human had let fall, and when he heard Peter's voice he popped in alarm behind a tulip.	別の妖精ときたら、公園の椅子に腰掛けて人間が落としていった切手を見ていたのですが、ピーターの声を聞いたとたん、驚いてチューリップの向こうにひょいと隠れてしまいました。
To Peter's bewilderment he discovered that every fairy he met fled from him.	ピーターが戸惑ったことに、出会う妖精、出会う妖精がみんな自分の前から逃げてしまうのでした。
A band of workmen, who were sawing down a toadstool, rushed away, leaving their tools behind them.	毒きのこを切り倒していた一団の妖精は道具をおいて逃げ出してしまいましたし、
A milkmaid turned her pail upside down and hid in it.	乳搾りをしていた妖精はバケツをひっくり返してその中に隠れてしまう始末です。
Soon the Gardens were in an uproar.	やがて公園は大騒ぎになりました。
Crowds of fairies were running this way and that, asking each other stoutly, who was afraid, lights were extinguished, doors barricaded,	妖精たちの群はあちらこちらへ駆けまわり、だれが恐がってるの？と大声で尋ねあいながら、明かりをけし、ドアにバリケードを築くありさまでした。
and from the grounds of Queen Mab's palace came the rubadub of drums, showing that the royal guard had been called out.	マブ女王の宮殿の広場ではドンドンと太鼓が打ち鳴らされ、それは王宮の警備員が召集されたしるしでした。
A regiment of Lancers came charging down the Broad Walk, armed with holly-leaves, with which they jog the enemy horribly in passing.	騎兵の連隊が、すれ違うときには敵にしっかりつきささるようにセイヨウヒイラギの葉で身を固め、広い道へ突撃してきました。
Peter heard the little people crying everywhere that there was a human in the Gardens after Lock-out Time,	子供の妖精が、あちこちで「門が閉まったのにまだ人がいるんだよ」と大声をだしているのをピーターは耳にしました。
but he never thought for a moment that he was the human.	でも一瞬たりとて自分が人間だとは考えたこともなかったので、
He was feeling stuffier and stuffier, and more and more wistful to learn what he wanted done to his nose,	だんだん混乱して、どうしたらいいか全然わかりません。
but he pursued them with the vital question in vain;	妖精に聞いてみようと後をつけてまわりましたが、むだでした。
the timid creatures ran from him, and even the Lancers, when he approached them up the Hump, turned swiftly into a side-walk, on the pretence that they saw him there.	臆病な生き物の妖精はピーターから逃げ回り、「あっちでピーターを見かけたぞ」なんてうそをついて、騎兵隊でさえピーターが丘に登ると、あわてて歩道へ引き返すしまつでした。
Despairing of the fairies, he resolved to consult the birds,	ピーターは妖精に相談することはあきらめて、鳥に相談することにしました。
but now he remembered, as an odd thing, that all the birds on the weeping beech had flown away when he alighted on it,	ただあのブナに止まっていた鳥がみんな、ピーターが枝に降り立ったとき飛び去ってしまったことを珍しいことに思い出したのでした。
and though that had not troubled him at the time, he saw its meaning now.	その時はなんのことかわからなかったのでしたが、いまやっとその意味がわかりました。
Every living thing was shunning him.	生き物はみな彼を避けているのです。
Poor little Peter Pan, he sat down and cried, and even then he did not know that, for a bird, he was sitting on his wrong part.	かわいそうにちっちゃなピーターパンは、そうと知らなかったとはいえ、鳥としてはおかしな場所に座りこんで泣いているのに気づきもしませんでした。
It is a blessing that he did not know, for otherwise he would have lost faith in his power to fly,	気づかなかったのは幸いなことです、というのも気づいていたら飛べるという自信をなくしていたでしょうから。
and the moment you doubt whether you can fly, you cease forever to be able to do it.	飛べるかどうか疑いを持ったときは、もう永遠に飛べなくなってしまっているものなのです。
Now, except by flying, no one can reach the island in the Serpentine,	さて、飛ぶ以外には、サーペンタイン池の島までたどり着く方法はありません。
for the boats of humans are forbidden to land there,	なぜなら人間たちのボートはそこに横づけすることを禁止されていたからです。
and there are stakes round it, standing up in the water, on each of which a bird-sentinel sits by day and night.	島の周りには水中にくいが打たれており、そのひとつひとつに見張りの鳥がそれぞれ一
It was to the island that Peter now flew to put his strange case before old Solomon Caw,	ピーターは、その島へ自分のいっぷう変わった問題を老ソロモン・コーに相談するために飛んでいったのでした。
and he alighted on it with relief,	ピーターはその島に降り立って、ほっとしました。
much heartened to find himself at last at home, as the birds call the island.	鳥たちがその島を呼ぶように、ついに我が家に帰ってきたようでとても元気づけられたのです。
All of them were asleep, including the sentinels, except Solomon,	鳥たちは見張り番までみんな、ソロモンを除いて眠っていました。
who was wide awake on one side, and he listened quietly to Peter's adventures, and then told him their true meaning.	ソロモンは、島の一方の側で目をさましており、静かにピーターの冒険に耳をかたむけ、冒険の本当の意味をピーターに語るのでした。
"Look at your night-gown, if you don't believe me,"	「わしのいう事を疑うのなら、おまえのねまきをみてごらん」
Solomon said, and with staring eyes Peter looked at his nightgown, and then at the sleeping birds.	ソロモンは言いました、そしてピーターはまず自分のねまきを、それから寝ている他の鳥たちをじっと見つめました。
Not one of them wore anything.	鳥たちはもちろんなにも着てはいません。
"How many of your toes are thumbs?"	「おまえの足の指の何本が親指かい？」
said Solomon a little cruelly, and Peter saw to his consternation, that all his toes were fingers.	ソロモンはちょっと意地悪にそう言いました、そしてピーターは見て、びっくりぎょうてんしてしまいました、なんせ自分の足の指はすべて手の指と同じだったんですから。
The shock was so great that it drove away his cold.	あんまりびっくりぎょうてんしたので、寒さをすっかり忘れるほどでした。
"Ruffle your feathers,"	「おまえの羽毛を逆立てみなさい」
said that grim old Solomon, and Peter tried most desperately hard to ruffle his feathers, but he had none.	情け容赦なく老ソロモンは続けました、ピーターは必死になって羽毛を逆立てようとしましたが、羽毛がないのでした。
Then he rose up, quaking, and for the first time since he stood on the window-ledge, he remembered a lady who had been very fond of him.	それからふるえながら立ちあがって、窓棚の所に立ってから初めて、自分のことを大事にしてくれたお母さんを思い出しました。
"I think I shall go back to mother,"	「お母さんの所に帰ろうかな？」
he said timidly.	おずおずとピーターは言いました。
"Good-bye,"	「それではさらばじゃな」
replied Solomon Caw with a queer look.	なんともいえない表情でソロモン・コーは答えました。
But Peter hesitated.	でもピーターはためらっていました。
"Why don't you go?"	「いかないのか？」
the old one asked politely.	老ソロモンは親切にそうたずねました。
"I suppose,"	「僕は、」
said Peter huskily,	ピーターはかすれた声で言いました。
"I suppose I can still fly?"	「僕はまだ飛べるかな？」
You see, he had lost faith.	ほら、ピーターときたら自信をなくしてしまったのでした。
"Poor little half-and-half,"	「かわいそうな、半分鳥で半分人の子供よ」
said Solomon, who was not really hard-hearted,	ソロモンは言いました、本当は冷酷無情というわけではなかったのでした。
"you will never be able to fly again, not even on windy days.	「もう二度と飛べないよ、風が強い日でもな。
You must live here on the island always."	おまえはずっとここで暮らしていかなきゃならん」
"And never even go to the Kensington Gardens?"	「ケンジントン公園にもいけないの？」
Peter asked tragically.	ピーターは、悲しみにうちひしがれてたずねました。
"How could you get across?"	「どうやってここを渡っていくというんだ？」
said Solomon.	ソロモンは言うと、
He promised very kindly, however,	しかしとてもやさしくこう約束しました。
to teach Peter as many of the bird ways as could be learned by one of such an awkward shape.	こんなかわった姿のピーターでも学べるような多くの鳥たちの方法を教えてやるよと。
"Then I sha'n't be exactly a human?"	「じゃあ僕はちゃんとした“人”にはなれないんだね」
Peter asked.	ピーターはたずねました。
"No."	「ああ」
"Nor exactly a bird?"	「ちゃんとした“鳥”にも」
"No."	「ああ」
"What shall I be?"	「何になるの？」
"You will be a Betwixt-and-Between,"	「どっちつかずになるんだろうな」
Solomon said,	ソロモンはそう答えました。
and certainly he was a wise old fellow,	確かにソロモンはかしこい年寄りでした。
for that is exactly how it turned out.	というのもまさにその通りであることが後に分かったのでした。
The birds on the island never got used to him.	その島の鳥たちは、決してピーターに慣れませんでした。
His oddities tickled them every day,	ピーターの変わった行動が鳥たちを毎日刺激したのです。
as if they were quite new,	まるで鳥たちが全く新しくなっているかのように。
though it was really the birds that were new.	現に鳥たちは新しくなっているのでした。
They came out of the eggs daily, and laughed at him at once, then off they soon flew to be humans,	つまり鳥たちは日々たまごから生まれてきて、すぐにピーターに笑いかけて、それから人間になるためすぐに飛び立つのでした。
and other birds came out of other eggs, and so it went on forever.	そして他の鳥たちが他のたまごから生まれてきて、と永遠に続いていくのです。
The crafty mother-birds, when they tired of sitting on their eggs, used to get the young one to break their shells a day before the right time by whispering to them	ずる賢い母親の鳥たちときたら、たまごを温めるのが退屈になると、こんなことをたまごのなかの鳥にささやいて、生まれる日より１日はやく殻を破るようにさせるのでした。
that now was their chance to see Peter washing or drinking or eating.	「ピーターが手を洗ってるところや、飲み物を飲んでるところや、食べてるところを見るには今がチャンスだよ」なんて言うのです。
Thousands gathered round him daily to watch him do these things, just as you watch the peacocks,	何千という鳥たちが日々ピーターの周りに集まって、まるであなたが孔雀を見守るように、ピーターのしている事を見守るのでした。
and they screamed with delight when he lifted the crusts they flung him with his hands instead of in the usual way with the mouth.	そして鳥たちがピーターに運んできたパンの耳を、普通そうするように口ではなくて両手で拾い上げようものなら、大喜びで歓声を上げるのでした。
All his food was brought to him from the Gardens at Solomon's orders by the birds.	ピーターの食べ物は、全部公園からソロモンの命令によって鳥たちが運んできました。
He would not eat worms or insects (which they thought very silly of him), so they brought him bread in their beaks.	ピーターは、ミミズや昆虫は食べなかったので（このことも鳥達はバカにしていましたが）、くちばしにパンをくわえて持ってきたのでした。
Thus, when you cry out, "Greedy! Greedy!" to the bird that flies away with the big crust, you know now that you ought not to do this,	だから大きなパンの耳をもって飛び去って行く鳥に対して「よくばり、よくばり」なんて叫ぶのは、そんなことをするべきじゃないと今はお分かりでしょう。
for he is very likely taking it to Peter Pan.	なぜならたぶんその鳥は、パンの耳をピーターパンのところに持って行っているのでしょうから。
Peter wore no night-gown now.	ピーターは、もうねまきを着ていませんでした。
You see, the birds were always begging him for bits of it to line their nests with, and, being very good-natured, he could not refuse, so by Solomon's advice he had hidden what was left of it.	ごぞんじのように鳥たちは巣をつくるためにねまきの端切れをいつもせがみましたし、ピーターも人が良くて断ることができなかったので、ソロモンのアドバイスに従って、ねまきの端切れの残りを隠してしまったのでした。
But, though he was now quite naked, you must not think that he was cold or unhappy.	ピーターはすっぽんぽんでしたが、寒いだろうなとか不幸なのでは？と考えるのは間違っています。
He was usually very happy and gay,	ピーターは、いつもとても幸せで陽気でした。
and the reason was that Solomon had kept his promise and taught him many of the bird ways.	というのもソロモンが約束を守って、ピーターに鳥のやり方をいろいろ教えてくれたからでした。
To be easily pleased, for instance, and always to be really doing something, and to think that whatever he was doing was a thing of vast importance.	例えば、すぐに喜ぶこととか、いつもちゃんとなにかをしていること、そして何をしていてもそのことこそがとても重要なことだと考えることを教えてくれました。
Peter became very clever at helping the birds to build their nests;	ピーターは、鳥たちが巣を作るのを手伝うのがとても上手になりました。
soon he could build better than a wood-pigeon, and nearly as well as a blackbird, though never did he satisfy the finches,	すぐにハトをはるかに追い越して、クロウタドリとほとんど同じくらい、でもちいさな鳥たちはどうしても満足させられませんでした。
and he made nice little water-troughs near the nests and dug up worms for the young ones with his fingers.	そして巣の近くに便利な小さな水桶をいくつか作ったり、小鳥のために指を使ってミミズを掘り起こしたりしてやりました。
He also became very learned in bird-lore, and knew an east-wind from a west-wind by its smell,	ピーターは鳥の伝承（文字に残らない歴史）にも詳しくなりましたし、風のにおいで東風と西風の区別がつきました。
and he could see the grass growing and hear the insects walking about inside the tree-trunks.	ピーターは草が伸びるのを見たり、虫が木の幹の中を歩くのを聞いたりできました。
But the best thing Solomon had done was to teach him to have a glad heart.	でもソロモンのしてくれたことで一番よかったことは、喜ぶ心を持つことをピーターに教えてくれたことでした。
All birds have glad hearts unless you rob their nests,	全ての鳥は、巣を盗まれでもしない限り、喜ぶ心を持っているものです。
and so as they were the only kind of heart Solomon knew about, it was easy to him to teach Peter how to have one.	とはいっても、ソロモンが知っているのは喜ぶ心だけでしたから、ピーターにどうやって喜ぶ心をもてばいいか教えるのは簡単なことでした。
Peter's heart was so glad that he felt he must sing all day long, just as the birds sing for joy,	ピーターの心は喜びに満ちていて、鳥たちが楽しむために歌うように、一日中でも歌ってなければならないように感じたのでした。
but, being partly human, he needed in instrument,	でもまだ少し人の部分もあったので、楽器がほしいと思ってあしで笛を作りました。
so he made a pipe of reeds, and he used to sit by the shore of the island of an evening,	そしてよく夕方には、島の波打ちぎわにこしかけていたものでした。
practising the sough of the wind and the ripple of the water, and catching handfuls of the shine of the moon, and he put them all in his pipe	ヒュウヒュウとなる風の音や打ち寄せる波の音を練習して、月の光を一握りつかんで、そんなものをすべて笛の音にこめたのでした。
and played them so beautifully that even the birds were deceived, and they would say to each other,	その笛の音はとっても美しい調べだったので、鳥たちでさせすっかりだまされて、お互いにこうささやきあいました。
"Was that a fish leaping in the water or was it Peter playing leaping fish on his pipe?"	「魚が水で飛び跳ねたのかしら、それともピーターが笛で真似してるのかしら？」
and sometimes he played the birth of birds, and then the mothers would turn round in their nests to see whether they had laid an egg.	ときどき鳥の生まれた音を笛で真似したりするので、母親たちときたらたまごが生まれちゃったかしらときびすを返して巣にもどるくらいでした。
If you are a child of the Gardens you must know the chestnut-tree near the bridge,	もしあなたがケンジントン公園で育った子供なら、あの橋のそばのクリの木をご存知でしょう。
which comes out in flower first of all the chestnuts,	そしてそのクリの木が公園のどんなクリの木よりも早く花をつけることも知っているでしょう。
but perhaps you have not heard why this tree leads the way.	でもその理由までは、聞いたことがないと思います。
It is because Peter wearies for summer and plays that it has come, and the chestnut being so near, hears him and is cheated.	ピーターが夏をまちわびて、夏がきたよなんて笛をふくので、一番近くにあるそのクリの木が笛を聞いてだまされてしまうのでした。
But as Peter sat by the shore tootling divinely on his pipe he sometimes fell into sad thoughts	でもピーターが波打ち際に座って素晴らしい笛の音を奏でると、ふと物寂しくなりました。
and then the music became sad also,	すると笛の音も寂しそうに響くのです。
and the reason of all this sadness was that he could not reach the Gardens, though he could see them through the arch of the bridge.	寂しくなるわけは、橋のアーチの間から向こうにケンジントン公園が見えるにもかかわらず、そこへは決してたどり着けないからでした。
He knew he could never be a real human again, and scarcely wanted to be one, but oh, how he longed to play as other children play,	ピーターはもう自分が本当の人になれないのは分かっていましたし、なりたいとも思っていませんでしたが、でもどんなに他の子供たちのように遊びたいと思っていたことでしょう。
and of course there is no such lovely place to play in as the Gardens.	そして実際にケンジントン公園ほど遊んで楽しい場所も他にはなかったことでしょう。
The birds brought him news of how boys and girls play, and wistful tears started in Peter's eyes.	鳥たちが、男の子や女の子たちがどんな風に遊んでいたかピーターに知らせてくれると、悲しさのあまりピーターの目には涙が浮かぶのでした。
Perhaps you wonder why he did not swim across.	たぶん、泳いでわたればいいのになんてお思いになるかもしれません。
The reason was that he could not swim.	ピーターは泳げませんでした。
He wanted to know how to swim, but no one on the island knew the way except the ducks,	ピーターは泳ぎ方を習いたいと思いましたが、その島ではアヒルのほかには泳ぎ方を知っているものはいませんでした。
and they are so stupid.	アヒルはすこし頭がたりなくて、
They were quite willing to teach him, but all they could say about it was,	泳ぎ方をピーターにすごく熱心に教えようとしましたが、いう事ときたら
"You sit down on the top of the water in this way, and then you kick out like that."	「こういう風に水の上にすわって、こんな風に水をけるのよ」なんてことだけでした。
Peter tried it often, but always before he could kick out he sank.	ピーターは何度も試してみましたが、けるまえに沈んでしまうのでした。
What he really needed to know was how you sit on the water without sinking, and they said it was quite impossible to explain such an easy thing as that.	ピーターが本当に学ばなければならなかったのは、沈まずに水の上ですわっていられる方法でしたが、アヒルたちが言うにはそんな簡単なことは説明できないよ、といった具合でした。
Occasionally swans touched on the island, and he would give them all his day's food and then ask them how they sat on the water, but as soon as he had no more to give them the hateful things hissed at him and sailed away.	ときどき白鳥たちが島に近づいてきたときに、ピーターはその日の食べ物を全て差しだして、どうして水の上ですわっていられるのかたずねたのですが、あげられる食べ物がなくなるとすぐに、そのいやなやつらはピーターを追い払って、泳いで行ってしまうのでした。
Once he really thought he had discovered a way of reaching the Gardens.	ピーターは、前にケンジントン公園へ行く方法を見つけたなんて思ったことがありました。
A wonderful white thing, like a runaway newspaper, floated high over the island and then tumbled, rolling over and over after the manner of a bird that has broken its wing.	風に舞う新聞紙のような不思議な白いものが島の空高くに浮かんでおり、それから羽が折れた鳥のように何度も回転して落下したのでした。
Peter was so frightened that he hid,	ピーターは、とっても驚いたので身を隠しました。
but the birds told him it was only a kite, and what a kite is, and that it must have tugged its string out of a boy's hand, and soared away.	ただ鳥たちがピーターに、それはたこというもので、どういうものか、そしてたこは男の子の手から糸が強く引っ張られて舞いあがったにちがいないことを教えてくれました。
After that they laughed at Peter for being so fond of the kite,	そういい終わった後も、ピーターがたこをとても気に入ったのを鳥たちは笑いました。
he loved it so much that he even slept with one hand on it,	ピーターはたこが大好きで、寝る時もたこの上に片手をおくほどでした。
and I think this was pathetic and pretty,	私が思うには、これは痛ましくもかわいらしい話なのです。
for the reason he loved it was because it had belonged to a real boy.	なぜならピーターは、たこが本当の男の子のものだからこそ大好きだったのですから。
To the birds this was a very poor reason,	鳥たちにとっては、こんなことはばかばかしい理由でした。
but the older ones felt grateful to him at this time because he had nursed a number of fledglings through the German measles,	ただ年とった鳥たちは、この時ピーターが風疹にかかった若鳥を手厚く看病したので感謝の念を抱いていたのでした。
and they offered to show him how birds fly a kite.	そして鳥たちは、ピーターにたこを飛ばす方法を見せてあげるよと申し出ました。
So six of them took the end of the string in their beaks and flew away with it;	６羽の鳥が糸の端をくちばしでもって飛び立ちました。
and to his amazement it flew after them and went even higher than they.	ピーターはびっくりぎょうてんしたのですが、たこは鳥たちのあとを飛び立ち、鳥たちよりももっと高く舞いあがったのでした。
Peter screamed out,	ピーターはさけびました。
"Do it again!"	「もう一度やって！」
and with great good nature they did it several times,	鳥たちはとっても親切だったので、何回もやってあげました。
and always instead of thanking them he cried,	そして毎回ピーターは感謝するかわりにこうさけぶのでした。
"Do it again!"	「もう一度やって！」
which shows that even now he had not quite forgotten what it was to be a boy.	このことは、今でもピーターが子供であるってことはどういうことなのか、完全には忘れてしまっていないことを示しています。
At last, with a grand design burning within his brave heart, he begged them to do it once more with him clinging to the tail,	とうとうピーターの勇敢な心にすばらしい計画がうかび、鳥たちにピーターをたこのしっぽにくっつけてもう一回飛ばしてくれるように頼みました。
and now a hundred flew off with the string,	そして百羽もの鳥が糸を持って飛び立ちました。
and Peter clung to the tail,	ピーターはしっぽにくっついていました。
meaning to drop off when he was over the Gardens.	ケンジントン公園の上にきたら降りるつもりでした。
