The Swineherd	ブタ飼い王子
But what was more wonderful was that, when one put a finger into the steam rising from the pot, one could at once smell what meals they were preparing on every fire in the whole town.	しかもさらにおもしろいことに、そのつぼから出てくる湯気に手をかざせば、町中のおうちで何の料理が作られているかを、たちまちかぎ分けることができるのです。
That was indeed much more remarkable than the rose.	ほら、これはまたバラとはまったくちがうものでしょ。
When the princess with her ladies passed by	さて、ちょうどお姫さまが歩いてきました。
and heard the tune, she stopped and looked quite pleased,	お姫さまはこの鈴のメロディを聞くと、立ち止まって何だかうれしそうにしました。
in fact, it was the only tune she could play, and she ――	お姫さまはこの「愛しいアウグスティン」ならピアノでひくことができたからです。
in fact, it was the only tune she could play, and she played it with one finger.	といっても、お姫さまがひけるのはこの一節だけで、しかも一本指でひくのですが。
“That is the tune I know,”	「ねえ、わたしもこの節ならひけるわよ」
she exclaimed.	お姫さまが言いました。
“He must be a well-educated swineherd.	「あのブタ飼いはきっと、学問のある人にちがいないわ！
Go and ask him how much the instrument is.”	あそこへ行って、あの楽器がいくらするのか聞いてきてちょうだい」
One of the ladies had to go and ask;	そこで、侍女のひとりが聞きにいくことになりました。
but she put on pattens.	けれども、そのまえに彼女は泥よけの木靴にはきかえて行きました。
“What will you take for your pot?”	「そのつぼをゆずってくださらない？」
asked the lady.	侍女が聞きました。
“I will have ten kisses from the princess,”	「それじゃ、お姫さまのキスを十ください」
said the swineherd.	ブタ飼いが答えました。
“God forbid,”	「まあ、なんてことなの！」
said the lady.	侍女が言いました。
“Well, I cannot sell it for less,”	「それ以下じゃ、おゆずりできません」
replied the swineherd.	ブタ飼いが答えました。
“It is very naughty,”	「ほんとに、ずうずうしいやつね！」
said the princess, and walked off.	お姫さまはそう言って歩き出しましたが、
But when she had gone a little distance, the bells rang again so sweetly:	少し進むとまたあのベルのすてきな音が鳴り始めました。
“A jolly old sow once lived in a sty, Three little piggies had she,”	「おお、愛しのアウグスティン、もう何にもない、ない、ない」
“Ask him,”	「まって、あの人に、侍女のキスを十でもいいかって聞いてきてちょうだい」
said the princess,	お姫さまが言いました。
“No, thank you,”	「いやだめです！」
said the swineherd:	ブタ飼いは答えました。
“ten kisses from the princess,	「お姫さまのキスを十です。
or I keep my pot.”	だめならつぼはおゆずりしません」
“That is tiresome,”	「そんなのなしよ！」
said the princess.	お姫さまが言いました。
“But you must stand before me, so that nobody can see it.”	「じゃあ、あんたたち、だれにも見られないように、あたしの前に立っててちょうだい」
The ladies placed themselves in front of her and spread out their dresses,	そこで侍女たちはドレスを広げてお姫さまの前に立ちました。
and she gave the swineherd ten kisses	そうして、ブタ飼いはお姫さまのキスをもらいました。
and received the pot.	そしてお姫さまはつぼをもらったのです。
That was a pleasure!	ほんとにおもしろいことでした！
Day and night the water in the pot was boiling;	お姫さまたちは、その日の夕方も、次の日もつぼでお湯を沸かしました。
there was not a single fire in the whole town of which they did not know what was preparing on it,	お姫さまたちは、この町の中ならどこのおうちでも何の料理を作っているのか、すっかり分かるのです。
the chamberlain’s as well as the shoemaker’s.	お屋敷の執事のおうちから、靴屋さんのおうちまで。
The ladies danced and clapped their hands for joy.	侍女たちは手を叩いたり踊ったりしながらよろこびました。
“We know who will eat soup and pancakes;	「わたしたち、今日の夕飯にだれがスープを飲むのかも、だれがパンケーキを食べるのかも分かるのよ。
we know who will eat porridge and cutlets;	だれがカツレツを食べるのかも、だれが卵を食べるのかも。
oh, how interesting!”	ほんと、おもしろいわ！」
“Very interesting, indeed,”	「ほんと。
“But you must not betray me,	でもこれは秘密よ。
for I am the emperor’s daughter.”	だって、わたしは皇帝の娘なんだから」
The swineherd――that is to say, the prince――but they did not know otherwise than that he was a real swineherd	あのブタ飼いは本当は王子さまなのですが、だれもがただの恵まれないブタ飼いなんだと思っていました。
――did not waste a single day without doing something;	その王子さまは、一日とて何もせずに過ごしたりはしませんでした。
he made a rattle,	そしてこんどはガラガラを作りました。
which, when turned quickly round, played all the waltzes, galops, and polkas known since the creation of the world.	そのガラガラを回すと、ワルツやジーグや、これまでに世の中で作られたどんな曲でも奏でることができるのです。
“But that is superbe,”	「まあ、すごいわ！」
said the princess passing by.	お姫さまがそこを通りかかったときに言いました。
“I have never heard a more beautiful composition.	「あたし、こんなにすてきな曲は聞いたことがないわ。
Go down and ask him what the instrument costs;	あそこへ行って、あの楽器がいくらなのか聞いてきてちょうだい。
but I shall not kiss him again.”	でも、もうキスはしませんからね！」
“He will have a hundred kisses from the princess,”	「お姫さまのキスを百くれと言っています！」
said the lady, who had gone down to ask him.	ブタ飼いに聞いてきた侍女が言いました。
“I believe he is mad,”	「あいつは頭がどうかしてるんだわ！」
said the princess,	お姫さまが言いました。
and walked off, but soon she stopped.	そうして歩き出しましたが、少し進むとお姫さまはまた立ち止まりました。
“One must encourage art,”	「芸術は奨励するものだわ」
she said.	お姫さまは言いました。
“I am the emperor’s daughter!	「あたしは皇帝の娘なのよ。
Tell him	あの人に言ってちょうだい。
I will give him ten kisses, as I did the other day;	あたしが昨日みたくキスを十するから、
the remainder one of my ladies can give him.”	あとは侍女たちにしてもらいなさいって」
“But we do not like to kiss him”	でも、わたしたちはそんなこと、したくありません！」
said the ladies.	侍女たちが言いました。
“That is nonsense,”	「なにを言ってるの？」
said the princess;	お姫さまが言いました。
“if I can kiss him, you can also do it.	「あたしだってキスするんだから、あんたたちだってできるでしょ。
Remember that I give you food and employment.”	いいこと、それがあんたたちの仕事なの」
And the lady had to go down once more.	そうして、侍女たちはまたブタ飼いのほうへ行きました。
“A hundred kisses from the princess,”	「お姫さまのキスを百です！」
said the swineherd,	ブタ飼いが言いました。
“or everybody keeps his own.”	「そうじゃないなら、だれにもこれはあげられません！」
“Place yourselves before me,”	「まわりに立っててちょうだい！」
said the princess then.	お姫さまがそう言うと、
They did as they were bidden, and the princess kissed him.	キスをしているあいだ、侍女たちはお姫さまのまわりに立っていました。
“I wonder what that crowd near the pigsty means!”	「ブタ小屋のまわりが、やけにさわがしいようだが、どうしたわけだ？」
said the emperor, who had just come out on his balcony.	ちょうどバルコニーに出てきた皇帝さまが言いました。
He rubbed his eyes and put his spectacles on.	かれは目をこすって、メガネをかけました。
“The ladies of the court are up to some mischief, I think.	「あそこにいるのは侍女たちだな。
I shall have to go down and see.”	あっちへ行って、何をしてるのか見てやろう！」
He pulled up his shoes,	皇帝さまはスリッパのかかとを引き上げました。
for they were down at the heels,	皇帝さまはかかとをふんずけて歩いていたからです。
When he had come down into the courtyard he walked quite softly,	皇帝さまはお庭に出てくると、そーっと歩き始めました。
and the ladies were so busily engaged in counting the kisses, that all should be fair, that they did not notice the emperor.	侍女たちはキスをきちんとやっているか数えるのに夢中で、皇帝さまがやってきたことには気づきませんでした。
He raised himself on tiptoe.	皇帝さまはつま先立ちでのぞきこみました。
“What does this mean?”	「これはいったい何だ？」
he said, when he saw that his daughter was kissing the swineherd,	皇帝さまはそこで何をしているのか見えたとたんに叫びました。
and then hit their heads with his shoe just as the swineherd received the sixty-eighth kiss.	そしてブタ飼いがちょうど86回目のキスをもらっているときに、お姫さまの頭をスリッパで叩きました。
“Go out of my sight,”	「出て行くんだ！」
said the emperor, for he was very angry;	皇帝さまはとても怒って言いました。
and both the princess and the swineherd were banished from the empire.	それでお姫さまとブタ飼いは町から追い出されてしまいました。
There she stood and cried,	お姫さまは立ち止まって泣きました。
the swineherd scolded her,	ブタ飼いはぶつぶつ言っています。
and the rain came down in torrents.	さらに雨がはげしく降ってきました。
“Alas,	「ああ！
unfortunate creature that I am!”	あたしはなんて不幸せなんでしょう！」
said the princess,	お姫さまが言いました。
“I wish I had accepted the prince.	「あのすてきな若い王子さまと結婚していれば！
Oh,	ああ！
how wretched I am!”	なんて不幸なのかしら！」
The swineherd went behind a tree, wiped his face,	するとブタ飼いは木かげのほうへ行って、黒や茶色の泥を顔から洗い落としました。
threw off his poor attire and stepped forth in his princely garments;	それからきたない服を脱ぐと、自分の王子さまの服を着てから出てきました。
he looked so beautiful that the princess could not help bowing to him.	こうなると王子さまはとっても上品に見えて、お姫さまも王子さまにおじぎをせずにはいられないほどでした。
“I have now learnt to despise you,”	「ぼくはあなたを軽蔑しますよ」
he said.	王子さまが言いました。
“You refused an honest prince;	「あなたは立派な王子をむかえようとはしなかった！
you did not appreciate the rose and the nightingale;	あなたはあのバラやナイチンゲールの価値も分からなかった。
but you did not mind kissing a swineherd for his toys;	それなのにあなたは、あんなくだらないおもちゃのためにはブタ飼いにだってキスしようとする。
you have no one but yourself to blame!”	その報いをいま受けるのです」
And then he returned into his kingdom and left her behind.	そう言うと王子さまは自分の小さな国に戻って、お姫さまの目の前で宮殿のドアを閉めてしまいました。
She could now sing at her leisure:	ですから、いまはお姫さまがこう歌っているのです。
“A jolly old sow once lived in a sty, Three little piggies has she,”	「おお、愛しのアウグスティン、もう何にもない、ない、ない」
