What the Moon Saw	絵のない絵本
'I wanted to kiss the hen and beg her pardon for frightening her yesterday;	「きのうおどかしたから、めんどりさんにキスしてあやまろうと思ったの。
but I was afraid to tell you.'	でもこわくて、お父さんにはいえなかったんだもの」
"And the father kissed the innocent child's forehead,	「父親は無垢な子供の額にキスをしてやりました。
and I kissed her on the mouth and eyes."	もちろん私もその子の目と口にキスをしましたとも」
THIRD EVENING	第三夜
"In the narrow street round the corner yonder- it is so narrow that my beams can only glide for a minute along the walls of the house, but in that minute I see enough to learn what the world is made of	「向こうの街角のせまい通りで、あんまりせまいので私の光も家の壁にそって一分ほどしかとどかないところなのですが、その一分でも私にはどんなことが起きているかをみるには十分です。
- in that narrow street I saw a woman.	そのせまい通りで、私はひとりの女性をみました。
Sixteen years ago that woman was a child, playing in the garden of the old parsonage, in the country.	十六年前にはその女性も子供で、田舎の古い牧師館の庭であそんでいました。
The hedges of rose-bush were old, and the flowers were faded.	バラのいけがきもかれ、花もしおれていましたが
They straggled wild over the paths, and the ragged branches grew up among the boughs of the apple trees;	小道まで生いしげり、とげのある枝をりんごの木々の枝にまでのばしていました。
here and there were a few roses still in bloom - not so fair as the queen of flowers generally appears,	あちこちでバラの花がいくつか咲いていましたが、よくいわれるところの花の女王というほどではありません。
but still they had colour and scent too.	ただ色と香りはなかなかのものでしたけど。
The clergyman's little daughter appeared to me a far lovelier rose,	牧師の小さな娘のほうが、私にとってはずっと愛らしいバラにおもえました。
as she sat on her stool under the straggling hedge, hugging and caressing her doll with the battered pasteboard cheeks.	その女の子はおいしげった生垣の下にこしかけて、使いふるされてぼろぼろになった人形にほおずりをしていました」
"Ten years afterwards I saw her again.	「十年後、ふたたび彼女をみました。
I beheld her in a splendid ballroom:	はなやかな舞踏室にいたのです。
she was the beautiful bride of a rich merchant.	お金持ちの商人の美しい花嫁となっていました。
I rejoiced at her happiness, and sought her on calm quiet evenings -	私も彼女の幸せを祝福し、静かでおだやかな晩には彼女のもとに訪れたものです。
ah, nobody thinks of my clear eye and my silent glance!	だれも私のすきとおった目としずかなまなざしに気づく人はいなかったのですが。
Alas! my rose ran wild, like the rose bushes in the garden of the parsonage.	それにあの牧師館の庭のバラのしげみのように、私のバラも伸び放題になっていました。
There are tragedies in every-day life,	日常生活にも悲劇はあります。
and tonight I saw the last act of one.	今晩その最後の一幕を私はみたのです」
"She was lying in bed in a house in that narrow street:	「そのせまい通りの一軒の家に彼女は横たわっていました。
she was sick unto death,	死にいたる病でした。
and the cruel landlord came up, and tore away the thin coverlet, her only protection against the cold.	冷酷な大家がやってきて、寒さから彼女を唯一守ってくれるうすい上布団をひきはがし、
'Get up!'	『起きろ』
said he;	といいました。
'your face is enough to frighten one.	『おまえの顔をみるとぞっとするくらいだ、
Get up and dress yourself, give me money,	さっさと起きて着飾って、おれのところに金をもってこい。
or I'll turn you out into the street!	じゃなきゃ道端にでもほうりだすぞ、
Quick - get up!'	いそげ、起きるんだ』
She answered,	彼女は答えました。
'Alas!	『あぁ、
death is gnawing at my heart.	死がわたしの胸をむしばんでるんです。
Let me rest.'	どうか休ませてください』
But he forced her to get up and bathe her face, and put a wreath of roses in her hair;	しかし大家は彼女を無理やり起し、化粧させ、髪にはバラのかざりをさし、
and he placed her in a chair at the window,	窓際の椅子にすわらせました。
with a candle burning beside her, and went away.	そしてそばにろうそくを一本ともして、出て行きました」
"I looked at her, and she was sitting motionless, with her hands in her lap.	「私は彼女をみましたが、両手をひざにのせ身動きひとつせず座っていました。
The wind caught the open window and shut it with a crash, so that a pane came clattering down in fragments;	風がふき、開いた窓が大きな音をたてて閉じ、窓ガラスが一枚こなごなにくだけました。
but still she never moved.	でも彼女はぴくりともしません。
The curtain caught fire, and the flames played about her face;	カーテンに火がもえうつり、炎が顔をてらしだします。
and I saw that she was dead.	私には彼女が死んでいるのがわかりました。
There at the open window sat the dead woman, preaching a sermon against sin	開いた窓の側に死んだ女性が座っていて、それは原罪にたいする説教になっています。
- my poor faded rose out of the parsonage garden!"	牧師館の庭から生えた私のかわいそうなしおれたバラ」
FOURTH EVENING	第四夜
"This evening I saw a German play acted,"	「今夜私はドイツ演劇が上演されるのをみました」
said the Moon.	お月さまはそう語りだしました。
"It was in a little town.	「そこは小さな町でした。
A stable had been turned into a theatre;	ある馬小屋が劇場になっていて、
that is to say, the stable had been left standing, and had been turned into private boxes,	そうです、馬がいるところもそのままで、特別見物室になっていました。
and all the timber work had been covered with coloured paper.	そして木でできていたところは全て色紙でおおわれています。
A little iron chandelier hung beneath the ceiling, and that it might be made to disappear into the ceiling, as it does in great theatres, when the ting-ting of the prompter's bell is heard, a great inverted tub has been placed just above it.	天井からは鉄でできた小さなシャンデリアがぶらさげられていて、豪華な劇場みたいに合図のベルが聞こえると、大きな逆さになった桶がシャンデリアの上にかぶさり、まるで天井に消えていくかのようにみせていました」
" 'Ting-ting!'	「チリン、チリン」
and the little iron chandelier suddenly rose at least half a yard and disappeared in the tub;	とベルがなりひびき、鉄でできた小さなシャンデリアはとつぜん半ヤードほども持ち上げられ、桶のなかに姿をけしました。
and that was the sign that the play was going to begin.	劇がまさにはじまろうとしている合図です。
A young nobleman and his lady, who happened to be passing through the little town, were present at the performance,	若く高貴な生まれの男とその妻が、たまたまその町をとおりかかって、観劇におとずれていました。
and consequently the house was crowded.	そのために小屋は人でいっぱいでした。
But under the chandelier was a vacant space like a little crater:	ただシャンデリアの下だけには、噴火口みたいにぽっかりとスペースができていましたが。
not a single soul sat there, for the tallow was dropping, drip, drip!	ろうがぽたり、ぽたりと落ちてくるので、誰もそこには座らなかったのです。
I saw everything, for it was so warm in there that every loophole had been opened.	小屋はあまりに暑苦しく、すべての小窓があけっぱなしになっていたので、私は全てを見とおすことができました。
The male and female servants stood outside, peeping through the chinks, although a real policeman was inside, threatening them with a stick.	男も女も召使たちは外にたっていましたが、すきまから覗きこもうとしては、中にいた本物の警官に警棒でおどされています。
Close by the orchestra could be seen the noble young couple in two old arm-chairs,	オーケストラの近くに高貴な若い二人のカップルが、古いひじかけいすに腰かけているのが見て取れました。
which were usually occupied by his worship the mayor and his lady;	その席はいつもならば、町長と奥さんに敬意を評して提供されているものでした。
but these latter were to-day obliged to content themselves with wooden forms, just as if they had been ordinary citizens;	でも町長夫妻は今日はまるでふつうの町民であるかのように、木製のベンチでがまんしなければなりません。
and the lady observed quietly to herself,	町長の奥さんは、しずかにひとりごちました
'One sees, now, that there is rank above rank;'	「上には上がいるってことを知らなくては」
and this incident gave an air of extra festivity to the whole proceedings.	そしてこのできごとが、全体のなりゆきにいっそうお祭りらしい雰囲気をもたらしていました。
The chandelier gave little leaps, the crowd got their knuckles rapped, and I, the Moon, was present at the performance from beginning to end."	シャンデリアが小さく動き、のぞいていた連中はこっぴどく怒られ、そして私も最初から最後まで劇をみましたとも」
FIFTH EVENING	第五夜
"Yesterday,"	「昨日」
began the Moon,	お月さまは話しはじめました。
"I looked down upon the turmoil of Paris.	「私はパリの大騒ぎを見下ろしていました。
My eye penetrated into an apartment of the Louvre.	私の目は、ルーブル宮殿のある部屋でとまりました。
An old grandmother, poorly clad - she belonged to the working class - was following one of the under-servants into the great empty throne-room,	一人の下層階級のぼろを身にまとった老婆が下働きのあとについて、広いがらんとした王座のある室へと入っていきます。
for this was the apartment she wanted to see - that she was resolved to see;	ここが老婆が見てみたいと思い、見ると心に決めていた部屋でした。
it had cost her many a little sacrifice, and many a coaxing word, to penetrate thus far.	この部屋にまでくるのには、ちょっとした贈り物やおべんちゃらをたくさんつかわなければなりませんでしたが。
She folded her thin hands, and looked round with an air of reverence, as if she had been in a church.	彼女は自分の細い手を組み合わせ、教会にでもいるかのように畏敬の念にうたれ、あたりをみまわしました」
"'Here it was!'	「ここ」
she said,	と言葉をもらすと
'here!'	「ここだったのね」
and she approached the throne,	と王座の方へ近づいていきました。
from which hung the rich velvet fringed with gold lace.	王座からは金のレースの縁取りのすばらしいビロードがたれさがっています。
'There,'	「そこ」
she exclaimed,	と彼女は感動をこめた声をもらしました。
'there!'	「そこなんだ」
and she knelt and kissed the purple carpet.	そしてひざまづき、紫のカーペットに口づけました。
I think she was actually weeping.	私は彼女は本当に泣いていたと思います。
"'But it was not this very velvet!'	「でもこれが当時のビロードだったわけじゃないぜ」
observed the footman, and a smile played about his mouth.	と召使は声をかけ、その口元には笑みがうかんでいました。
'True,	「そうなんでしょう。
but it was this very place,'	でもまさにここがその場所だったのね」
replied the woman,	老婆は答えました。
'and it must have looked just like this'.	「それにこんな感じだったにちがいないわ」
'It looked so, and yet it did not,'	「そうかもしれないし、そうじゃなかったかもしれない」
observed the man:	と召使。
'the windows were beaten in, and the doors were off their hinges, and there was blood upon the floor.'	「窓という窓は割られていて、ドアというドアはちょうつがいから壊され、床には血だまりができてたからな」
'But for all that you can say, my grandson died upon the throne of France.	「でもあなたがなんと言おうとも、わたしの孫はフランス王座で死んだのよ、
Died!'	そう死んだ」
mournfully repeated the old woman.	老婆は悲しげにくりかえしました。
I do not think another word was spoken,	私はそれ以上何かが語られたとはおもいません。
and they soon quitted the hall.	二人はホールをでていきました。
The evening twilight faded and my light shone doubly vivid upon the rich velvet that covered the throne of France.	たそがれは闇となり、私の光がフランス王座のすばらしいビロードをいっそう明るく照らし出しました。
"Now who do you think this poor woman was?	「さて、このかわいそうな老婆はだれだったと思いますか？
Listen, I will tell you a story.	聞いてください、これからそのお話をしますから」
"It happened, in the Revolution of July, on the evening of the most brilliantly victorious day,	「７月革命の、もっとも輝かしい勝利の日の夕方に起こったことです。
when every house was a fortress, every window a breastwork.	全ての家が要塞になり、全ての窓が胸壁となっていました。
The people stormed the Tuileries.	民衆はチュイルリー宮殿を急襲しました。
Even women and children were to be found among the combatants.	戦う人の中には女性や子供でさえみてとれました。
They penetrated into the apartments and halls of the palace.	かれらは宮殿の部屋やホールへとなだれこみます。
A poor half-grown boy in a ragged blouse fought among the older insurgents.	ぼろぼろの上着をきた貧しい少年が一人、大人の反乱軍にまじって戦っていました。
Mortally wounded with several bayonet thrusts, he sank down.	銃剣で何箇所にも傷をうけたのが致命傷になり、少年は倒れました。
This happened in the throne-room.	それは王座のある部屋でのことでした。
They laid the bleeding youth upon the throne of France,	群集は血まみれの少年を、フランス王座に横たわらせました。
wrapped the velvet around his wounds, and his blood streamed forth upon the imperial purple.	傷にビロードをまき、血が紫のカーペットにひろがり、
There was a picture!	そのありさまはまるで絵のようでした。
The splendid hall, the fighting groups!	豪奢なホールで、戦う人たち。
A torn flag upon the ground, the tricolor was waving above the bayonets,	床には引き裂かれた旗があり、三色旗が銃剣の先ではためいています。
and on the throne lay the poor lad with the pale glorified countenance, his eyes turned towards the sky, his limbs writhing in the death agony, his breast bare, and his poor tattered clothing half hidden by the rich velvet embroidered with silver lilies.	そして王座にはかわいそうな少年が青ざめた顔つきで、目は空をみつめ、四肢は死の苦しみでもだえ、胸をはだけ、そのみじめなぼろぼろの服は銀色の縁取り刺繍があるすばらしいビロードで半分覆われています。
At the boy's cradle a prophecy had been spoken:	少年のゆりかごでは、一つの予言がされていました
'He will die on the throne of France!'	『この子はフランス王座で死ぬことになるでしょう』
The mother's heart dreamt of a second Napoleon.	母親の胸には第二のナポレオンの夢が浮かんだことでしょう」
"My beams have kissed the wreath of immortelles on his grave,	「私の光は、その少年のお墓の花にキスをしました。
and this night they kissed the forehead of the old grandame, while in a dream the picture floated before her which thou mayest draw -	そして老婆の額にもキスをした今夜、夢の中では彼女の前にあなたが書いたかもしれない絵が浮かんだことでしょう。
the poor boy on the throne of France."	そうフランス王座にすわった貧しい少年の絵が」
SIXTH EVENING	第六夜
"I've been in Upsala,"	「私はウプサラにいたこともあります」
said the Moon:	お月さまは言いました。
"I looked down upon the great plain covered with coarse grass, and upon the barren fields.	「草もまばらな大平原と不毛の地を見下ろしていました。
I mirrored my face in the Tyris river, while the steamboat drove the fish into the rushes.	蒸気船が魚たちをけちらしているとき、自分の顔がチュリス川に映るのをみました。
Beneath me floated the waves, throwing long shadows on the so-called graves of Odin, Thor, and Friga.	私の下ではさざなみがたち、いわゆるオーディン、トール、フリーガの墓の上に長い影をなげかけました。
In the scanty turf that covers the hill-side names have been cut.	丘をおおうまばらな芝には、名前が書かれていました。
There is no monument here,	ここには記念碑はありません。
no memorial on which the traveller can have his name carved,	旅人が記念に自分の名前を刻むものもないのです。
no rocky wall on whose surface he can get it painted;	表面に名前が書けるような岩肌もありません。
so visitors have the turf cut away for that purpose.	したがって訪れた人たちはそのために芝生に名前を書くのです。
The naked earth peers through in the form of great letters and names;	地の肌が文字の形となって、名前となるわけです。
these form a network over the whole hill.	こうした名前は丘全体にみてとれました。
Here is an immortality,	これは永遠にのこるといってもいいでしょう。
which lasts till the fresh turf grows!	新しい芝生がはえてくるまでは」
"Up on the hill stood a man, a poet.	「丘の頂には、一人の男、詩人がたっていました。
He emptied the mead horn with the broad silver rim, and murmured a name.	広い銀の縁がついた杯ではちみつ酒をあおると、ある名前をつぶやきました。
He begged the winds not to betray him,	風に秘密にしておいてくれるよう詩人は頼みます。
but I heard the name.	でも私はその名前を聞いてしまいました。
I knew it.	私にはそれが誰だかわかりました。
A count's coronet sparkles above it,	伯爵の冠がその名前にはきらめいています。
and therefore he did not speak it out.	だから詩人はその名前を大きな声で口にしなかったのです。
I smiled, for I knew that a poet's crown adorns his own name.	私は詩人の冠がかれの名前をひきたてていることを知っていたので微笑みました。
The nobility of Eleanora d'Este is attached to the name of Tasso.	貴族のエレノラ・デストは、タッソの名前にむすびついています。
And I also know where the Rose of Beauty blooms!"	そして私はどこに美しきバラがさきほこるのかも知っていました」
Thus spake the Moon, and a cloud came between us.	そうしてお月さまがしゃべったとき、雲がひとつわたしたちの妨げになりました。
May no cloud separate the poet from the rose!	詩人とバラのあいだも雲がさまたげなければいいのですが。
SEVENTH EVENING	第七夜
"Along the margin of the shore stretches a forest of firs and beeches,	「波打ちぎわには延々と、ナラとブナの森がつづいていました。
and fresh and fragrant is this wood;	この森は生き生きとして、いい香りがしました。
hundreds of nightingales visit it every spring.	春になると何百羽のナイチンゲールがその場所を訪れます。
Close beside it is the sea, the ever-changing sea, and between the two is placed the broad high-road.	常に姿をかえる海にたいへん近くて、海と森のあいだには広い街道がはしっていました。
One carriage after another rolls over it;	馬車が次から次へと通っていきます。
but I did not follow them, for my eye loves best to rest upon one point.	ただ私はそれを追いかけることなく、視線は一点にくぎづけです。
A Hun's Grave lies there, and the sloe and blackthorn grow luxuriantly among the stones.	そこにはフン族の墓があり、スローやリンボクが岩々のあいだに生い茂り、
Here is true poetry in nature.	ここにこそ本物の詩が存在しているのです」
"And how do you think men appreciate this poetry?	「人々はいったいこの詩について、どう思っているのでしょう？
I will tell you what I heard there last evening and during the night.	昨晩、夜を通してここで語られ、私が耳にしたことをお話しましょう」
"First, two rich landed proprietors came driving by.	「最初に、たくさんの荷物をつんだ二人がやってきました。
'Those are glorious trees!'	『立派な木々だな』
said the first.	片われがいうと、
'Certainly;	『確かに、
there are ten loads of firewood in each,'	一本から十荷はたきぎがとれるな』
observed the other:	と相棒が答えました。
'it will be a hard winter, and last year we got fourteen dollars a load'	『今年の冬も寒そうだし、昨年は一荷十四ドルだっけ』
- and they were gone.	そして二人は去っていきました。
'The road here is wretched,'	『ここらの道はひどいね』
observed another man who drove past.	やってきた他の男がもらしました。
'That's the fault of those horrible trees,'	『まったくこういった木々のせいだよ』
replied his neighbour;	隣の席にすわっていたものが答えます。
'there is no free current of air;	『風がぬけていかないからな。
the wind can only come from the sea'	風は海のほうからしかこないんだ』、
- and they were gone.	そしてその二人も去っていきました。
The stage coach went rattling past.	駅馬車がガタガタ、音をたてながらやってきます。
All the passengers were asleep at this beautiful spot.	このような絶景の場所にさしかかっているのに全員寝ています。
The postillion blew his horn,	御者は警笛をふきました。
but he only thought,	ただこんなことを考えていたのです
'I can play capitally.	『おれはなんて笛をふくのが上手いんだろう。
It sounds well here.	それにこの場所ときたら一段といい響きだな。
I wonder if those in there like it?'	ここにいるやつらも気に入っただろう』
- and the stage coach vanished.	そして馬車の姿も見えなくなりました。
Then two young fellows came gallopping up on horseback.	それから二人の若い連中が馬にのってやってきました。
There's youth and spirit in the blood here! thought I;	血気盛んな若者たちだな、と私は思いました。
and, indeed, they looked with a smile at the moss-grown hill and thick forest.	そしてかれらは、モスグリーンの丘と深い森をみて笑みを浮かべます
'I should not dislike a walk here with the miller's Christine,'	『粉引小屋のクリスチーヌとここを歩くのも悪くはない』
said one -	片方がそう口にして、
and they flew past.	二人は疾風のごとく去っていきました。
"The flowers scented the air; every breath of air was hushed;	「花の香りが辺りにただよい、風もおちつき、
it seemed as if the sea were a part of the sky that stretched above the deep valley.	まるで海も深い谷の上に広がる空の一部になってしまったかのようです。
A carriage rolled by.	一台の馬車が通り過ぎ、
Six people were sitting in it.	6人が中にすわっていました。
Four of them were asleep;	4人は寝ていて、
the fifth was thinking of his new summer coat, which would suit him admirably;	5人目は自分の新しい夏の上着が自分にすばらしく似合うだろうなと考え、
the sixth turned to the coachman and asked him if there were anything remarkable connected with yonder heap of stones.	6人目は御者の方をむき、向こうに見える石が積んであるのは何かめずらしいものかと尋ねました。
'No,'	『いいや』
replied the coachman,	御者は答えました。
'it's only a heap of stones;	『ただ石が積み重ねてあるだけでさぁ、
but the trees are remarkable.'	あっちの木々は特別ですが』
'How so?'	『それはまたどうして？』
'Why I'll tell you how they are very remarkable.	『どうして特別か教えましょうや。
You see, in winter, when the snow lies very deep, and has hidden the whole road so that nothing is to be seen, those trees serve me for a landmark.	冬に雪がどっさりつもると、道がぜんぶ隠れて何もみえなくなって、その木々が目印として役立ってわけです。
I steer by them, so as not to drive into the sea;	あれを目印にするんで海につっこんでいかなくてすむってわけです。
and you see that is why the trees are remarkable.'	ほら、どうして特別かおわかりになったでしょう』」
"Now came a painter.	「それから、画家が一人やってきました。
He spoke not a word, but his eyes sparkled.	一言も話しませんでしたが、目は輝いていました。
He began to whistle.	画家が口笛をふくと、
At this the nightingales sang louder than ever.	ナイチンゲールたちも以前より大きくさえずりました。
'Hold your tongues!'	『静かに』
he cried testily;	怒ったようにいうと、
and he made accurate notes of all the colours	かれは全てのものの色と場所を正確に書きとめました。
and transitions - blue, and lilac, and dark brown.	青、薄紫、こげ茶。
'That will make a beautiful picture,'	『これはすばらしい絵になるぞ』
he said.	とふともらしました。
He took it in just as a mirror takes in a view;	画家は鏡に映ったかのようにその景色を描きます。
and as he worked he whistled a march of Rossini.	描いているあいだは、ロッシーニのマーチを口笛でふきました。
And last of all came a poor girl.	一番最後にやってきたのは貧しい少女です。
She laid aside the burden she carried, and sat down to rest upon the Hun's Grave.	運んできた荷物をおろして、フン族の墓のところで一休みしています。
Her pale handsome face was bent in a listening attitude towards the forest.	青白い整った顔で、森の方に耳を傾けています。
Her eyes brightened, she gazed earnestly at the sea and the sky,	目はきらきらと輝き、海と空を熱心にみつめていました。
her hands were folded, and I think she prayed,	両手を組み、お祈りをしていたように私は思いました。
'Our Father.'	『父なる神よ』。
She herself could not understand the feeling that swept through her,	彼女は自分でも自分の中にひろがる感情を理解できませんでした。
but I know that this minute, and the beautiful natural scene, will live within her memory for years,	ただ私は、その瞬間が、その美しい自然の風景が、彼女の記憶に何年ものあいだ生き続けることを知っていました。
far more vividly and more truly than the painter could portray it with his colours on paper.	それも画家がさまざまな色をつかって紙に描く絵よりも、もっと生き生きと、そしてもっと本物らしく。
My rays followed her till the morning dawn kissed her brow."	夜明けの光が彼女のまつげにキスをするまで、私の光は彼女を照らしつづけました」
EIGHTH EVENING	第八夜
Heavy clouds obscured the sky, and the Moon did not make his appearance at all.	どんよりした雲が夜空をおおい、お月さまはまったく姿をみせませんでした。
I stood in my little room, more lonely than ever, and looked up at the sky where he ought to have shown himself.	わたしは小さな部屋に一人たちつくし、前よりずっと寂しい想いにとらわれ、お月さまが姿をあらわすはずの夜空をながめていました。
My thoughts flew far away, up to my great friend, who every evening told me such pretty tales, and showed me pictures.	わたしの想いははるか遠く、毎晩わたしにすてきなお話をして、絵をみせてくれる親友のところまで至っていました。
Yes, he has had an experience indeed.	そうです、お月さまはなんでも知っているんです。
He glided over the waters of the Deluge, and smiled on Noah's ark just as he lately glanced down upon me,	ノアの洪水のときも世界を照らし、わたしに微笑みかけるようにノアの箱船にも微笑みかけました。
and brought comfort and promise of a new world that was to spring forth from the old.	そして旧世界からとびだした新世界に慰めと約束をもたらしたのです。
When the Children of Israel sat weeping by the waters of Babylon, he glanced mournfully upon the willows where hung the silent harps.	イスラエルの民がバビロン河のほとりで涙にくれていたとき、お月さまは柳の木々に鳴らない竪琴がかけられているのを悲しそうに見ていました。
When Romeo climbed the balcony, and the promise of true love fluttered like a cherub toward heaven, the round Moon hung, half hidden among the dark cypresses, in the lucid air.	ロミオがバルコニーにのぼり、天使が天国へいくように真実の愛がはばたくとき、まあるいお月さまは半分ヒノキに姿をかくしながら明るく照らし、見ていたのです。
He saw the captive giant at St. Helena, looking from the lonely rock across the wide ocean,	セントヘレナの有能で偉大な人物が、さびしげな岩の上から広い大海をみつめていたのも目にしていました。
while great thoughts swept through his soul.	そのときにも彼の魂の中には偉大なる考えがひしめいていたのですが。
Ah! what tales the Moon can tell.	あぁ、お月さまの語るお話のなんてすばらしいこと。
Human life is like a story to him.	人生とはお月さまにとってはお話です。
To-night I shall not see thee again,	今晩お月さまの姿はみえないでしょう。
old friend.	お月さま、
Tonight I can draw no picture of the memories of thy visit.	今晩、わたしはあなたが訪問してくれる思い出の絵はかけません。
And, as I looked dreamily towards the clouds, the sky became bright.	そして、夢みごこちで雲の方をみつめると、夜空があかるくなりました。
There was a glancing light, and a beam from the Moon fell upon me.	ひと筋の光がさし、月からの光がわたしを照らし出します。
It vanished again, and dark clouds flew past:	ただお月さまはすぐ姿をけし、黒い雲がとおりすぎました。
but still it was a greeting,	しかしそれでもちゃんとしたあいさつです。
a friendly good-night offered to me by the Moon.	お月さまからわたしへの友情のこもった「こんばんは」のあいさつです。
NINTH EVENING	第九夜
The air was clear again.	空気はふたたび澄みわたっていました。
Several evenings had passed, and the Moon was in the first quarter.	幾夜がすぎ、月は上弦になっていました。
Again he gave me an outline for a sketch.	ふたたびお月さまはわたしにスケッチの輪郭を語ってくれました。
Listen to what he told me.	お月さまの話をきいてください。
