A Sense of History: Some Components	歴史学における常識
Show your professors your evidence.	持っている証拠を教授に見せるべきである。
5. Texts that powerful educated people have written are not the only kind of record, however.	５．しかしながら、学識豊かな人々が書いた文書だけが唯一の記録ではない。
Writing is an absolutely wonderful invention.	書くこと、それはすばらしい発明である。
We know infinitely more about other times and places because people have left textual records.	我々が別の時間の、別の場所に関して詳しいのは、人々が文字で記録を残していたからだ。
And we know those people more intimately because they wrote down their thoughts.	そして、ある人々を個人的に知っているのも、その人が自分の考えを書き留めていたからである。
Texts are virtual miracles.	文章、それはヴァーチャルな奇跡である。
The survival of many ancient texts, against terrible odds, might really be miraculous	古代の文献が、時代を経て数多く残っていることこそ、真の奇跡と言えるだろう
(though see point 7 below).	（それでも、下に書いたポイント７を見なさい）。
Still, texts suffer from one huge problem.	それでも、文章はひとつの大きな問題を抱えている。
During most of human history, only a few people have known how to read and write.	人間の歴史においては、長い間ほんの一握りの人たちしか読み書きができなかった。
Even when the literacy rate has increased, only a few people have enjoyed the luxury to systematically record their thoughts.	読み書きできる人々が増えていた時代においても、系統的に考えを記録するのはわずかな人たちだけがおこなう贅沢に過ぎなかった。
The textual record, marvelous as it is, therefore suffers a bias toward elites of almost every time and place.	文章で残された記録は十分すばらしいものではあるが、上に書いた事情により、ほとんどの時代や場所で、エリートによるバイアスを抱えている。
Fortunately, other human artifacts count as records too:	幸い、人間による加工品も、記録として考えることができる。
chards of pottery, coins and tools, preserved grains, unearthed shacks, layers of city lay-outs buried as one civilization built over the ruins of the last, paintings on walls of caves and catacombs, jewelry and children's toys, stories passed down orally for many generations before being written down.	瀬戸片、硬貨や道具、保存された穀物、発掘された小屋、埋もれた都市の廃墟（これはある文明が造ったものの最後の姿を残している）、洞穴や地下墓地の壁に描かれた絵、宝石、子供のおもちゃ、記録が残される前から数多くの世代を経て口伝えに伝承されてきた物語なども、記録とみなすことができる。
To understand the lives of common folks, historians can also piece together clues from mundane forms of writing that no one thought of as literature:	普通の人々の人生を理解するために、歴史家は時として、誰も文献とは考えないようなごく平凡な書類からも多くの手がかりを引き出すことができる。
tax records, law codes, bills and inventory lists, ships' logs, baptismal records, advertisements for slave auctions, letters of scared and lonely soldiers.	歴史家は、税金の記録、法典、請求書や財産の一覧、航海日誌、洗礼の記録、奴隷競売の広告、おびえている孤独な兵士の手紙などを参照するのだ。
By studying all these, historians can correct somewhat for the bias of people rich, educated, and powerful enough to have imagined themselves "making history."	こういったものを研究することで、歴史家は財産家や知識人や権力者といった、「歴史を作っている」と思っている金持ちや知識人や権力者たちによるバイアスを、ある程度取り除くことができるのだ。
6. History is almost always complex:	６．歴史はたいてい複雑なものである。
* Events have multiple causes.	結果は複数の原因を持つ
* Societies involve a mix of good and bad.	社会には善悪ともに存在している
* Changes depend on continuity.	変化は連続的に起きる
Therefore, conflicting explanations of historical events and developments are almost always possible.	以上のことにより、歴史的な出来事とそれに対する反応に対して、相反する説明がほとんど常に成立しうるのだ。
Why are you in college?	なぜあなたは大学にいるのだろうか。
If you are thoughtful you can probably list five or six reasons.	注意深く考えれば、きっと５、６個は挙げられるだろう。
So why did the Roman Empire fall?	それでは、なぜローマ帝国が興ったのか。
Don't expect any one reason to suffice!	たったひとつの原因で十分だなどと思ってはいけない！
We're talking about a 500-year-plus empire here!	ここで我々は、500年続いた帝国について話しているのだ。
It had incorporated many cultures, depended on a vast network of trade, tried to defend many borders,	ローマ帝国は多くの文化を内包しており、広大な貿易網に依存し、多くの境界線を維持しようと試みていた。
and recently switched religions (sort of).	新しい宗教も創られているのだ。
Expect a cluster of reasons.	帝国が興った理由は複数存在すべきなのだ。
Expect scholars to argue over which reasons were more important.	学者たちには、どの理由がより重要な原因となったのか議論してもらえばいいのだ。
Expect complexity.	複雑さを期待すべきである。
This is the human condition after all: complex.	「複合体」という言葉は、結局すべての人間にあてはまる。
A mixture of good and bad.	人間は善と悪の両方の性質を併せ持っている。
A mixture of creativity and stupidity.	想像力と愚かさも併せ持っている。
A mixture of generosity and greed.	寛大さと貪欲さも併せ持っている。
Heroic actions and good intentions in the service of dubious causes.	英雄的な行動や立派な理由が、怪しげな主張の裏に隠されている。
Just causes defended through violence and other dubious means.	正当な主張も暴力などのいかがわしい方法によって擁護されたりしてきたのだ。
To study history is to learn to distinguish between shades of grey.	歴史を勉強することは、つまりは灰色の部分をどちらかに区別する方法を学ぶことである。
Come to think of it,	以下のことを考えてみよう。
when did Rome fall?	ローマはいつ陥落したのだろうか。
Did it ever really fall?	それは真の陥落なのだろうか。
Something changed in Western Europe between 400 CE and 600 CE.	もちろん、西ヨーロッパにおいては、４世紀から６世紀の間に、ローマは変化していた。
But much continued.	だが一方で、ずっと続いているローマもあるのだ。
History involves both change and continuity.	歴史には、変化も連続も含まれている。
Expect to find both.	その両方を歴史から見つけるべきである。
7. God may indeed intervene in human history, but this is hard to document and historians require footnotes.	７．神は本当に人間の歴史に介入しているのかもしれないが、そのことを文章にするのは難しいし、歴史には脚注が必要なのだ。
Sorry, but to suggest the ways that God may be involved in human history is to move into theology or philosophy of history.	申し訳ないが、神が人間の歴史に介入しているというものの見方は、神学とか歴史哲学の方へ押しやるべきだ。
Those are different from the documentary study of history.	そのような見方は、歴史における考証とは違う範疇に属している。
To be sure, all study of human history should raise larger questions of meaning.	確かに、人間の歴史を研究していると、それに対するもっと大きな問いを持たずにはいられない。
Philosophy, literature, art, and religion take up where historical study leaves off and enjoys greater freedom to answer the question of what it all means.	哲学、文学、芸術、宗教、これらのものは、歴史研究の域を出て、歴史が意味するものへの問いに答えるための自由さを楽しんでいる。
But good historians bind themselves to the historical record.	しかし、よい歴史家はみずからを歴史の記録の中に留める。
Until they can provide footnotes referring to the pages of a heavenly scroll, they refrain from making claims about what God has done in history.	歴史の記録が天上にある巻物を脚注の中に入れるまでは、神が歴史の中で実行したことについて意見を言うのを控えているのだ
(Besides, scrolls have columns, not pages.)	（ちなみに、巻物は段を持っていて、ページは持っていない）。
All students who expect to make the most of their liberal arts education should also be able to explain statements such as the following:	教養学科で受けた教育を最大限に活用することが期待される生徒は、以下に示した文も説明可能となっているべきだ。
8. To attempt to live without a memory is to attempt to lose one's humanity.	８．記憶なしに生きようとすることは、人間性をなくそうとすることである。
I said it is your job to explain this statement!	私はあなたに、この文を説明するのはあなたの仕事だと言った。
But okay,	だが心配しないでほしい。
I'll help you get started:	答えを導き出す手助けはするつもりだ。
Without a memory, would you recognize your family?	記憶なくしてあなたは家族を認識できるだろうか。
recognize your house?	家を認識できるだろうか。
know how to say your prayers or know why you have stopped praying?	祈りのやり方を知ったり、祈るのをやめた理由を知ることはできるだろうか。
learn from your mistakes?	記憶なくして、まちがいから教訓を学べるだろうか。
know which friends to embrace?	記憶なくして、友人の受け入れ方が分かるだろうか。
stay in love when you fall in love?	失恋したとき愛の中に留まるだろうか。
Be the person you are?	記憶がなくなっても、あなたはあなたなのだろうか。
Now, how is all of this true for entire families, neighborhoods, societies, nations, civilizations?	さて、このことは家族全体、地区全体、社会全体、国全体、文明全体において、どういうことを意味するだろうか。
The answer is the reason we study history.	その答えこそ、我々が歴史を研究する理由なのだ。
9. Our memories fail us, however, and so we must continually work to recover and test our collective memory.	９．しかしながら、我々の記憶は失われるのであるから、記憶を取り戻し、集めた記憶を検証しなければならない。
Now that you know how important history is, you may also start to understand why families, neighborhoods, societies, nations and civilizations tend to twist, distort, or conveniently forget parts of their histories!	あなたは今、歴史がどれくらい重要かを知っているのであるから、家族や地区、社会、国、文明などが、その記憶の一部を自分たちに都合よく曲解したり、ゆがめたり、忘れたりする理由も頭の中に浮かんでくるだろう。
A lot may be at stake.	実に多くのことが関係している。
Violence, oppression, injustice, racism, sexism and other unsavory patterns of human behavior may have allowed us to enjoy the lives we now live.	暴力、圧迫、不正、人種主義、性差別、その他あまり芳しくない人間行動によって、我々が今送っているような生活が形成されてきたのかもしれない。
The unvarnished truth may painfully force us to choose between becoming different people or repressing our humanity.	ありのままの真実は我々に、今とまったく違う人間になるか、人間性を抑制するかという理不尽な選択を強いるだろう。
But do we really want to live out lies?	だが、我々は本当に嘘をついて生きていくことを望んでいるのだろうか。
If not, we have no choice but to test,	もし望んでないなら、選択はひとつしかない。
argue and challenge one another's memories, in the hope of remembering and living more truthfully.	お互いの記憶に対して検証、議論を積み重ね、より正直な記憶を思いだしていこうとするべきである。
10. Historical study has at least as much to do with interpreting the past as with gathering "the facts."	10．歴史研究においては、「事実」を集めるのも大事だが、過去を説明することも同じくらい大事である。
By now you're wondering:	ここであなたは次のような疑問を持つだろう。
How are we supposed to get the facts right?	「我々はどのようにして正しい事実を得るのだろう。
Historians must have lots of different interpretations!	歴史家たちは、それぞれまったく違う解釈を持っているに違いないのに。」
Hey!	そこだ！
You're catching on.	よく気がついた。
Don't despair!	絶望してはいけない！
Good historians always seek to interpret the past, not just gather "the facts," and they know it.	よい歴史家というものは、常に過去を解釈するすべを探求する人であり、単に「事実」を収集するだけにとどまってはいけないということを承知している。
Good historians work to acknowledge their own locations in history too.	よい歴史家は歴史における自分の立位置を認識するために研究を進める。
They are "coming from" somewhere.	つまり、歴史を自分の「居場所から解釈して」いるのだ。
Even while letting history cast light on their own "somewhere" -- their own perspective or worldview -- they are letting their own "somewhere" cast light on history.	そして、歴史からその「出発点」――個人としての大局観や世界観――に光をあてる一方で、その「出発点」から歴史に光をあてるものなのだ。
Think of it as a good conversation,	これを実り多い対話ととらえよ。
which continually moves back and forth, but hopefully moves forward.	対話の行方は一進一退を繰り返すだろうが、希望を持ってその先をつきつめていけばよいのだ。
So how do you decide which interpretation of history to trust?	そうすると、ある歴史観が正しいものだと、どうやって決定できるのだろうか。
Get in on the conversation!	会話をすればいいのだ。
Let the study of history help you recognize self-critically your own location	歴史研究に助力を請いながら、自分の立位置を自己分析しなさい
-- your values, your convictions, your faith, as well as your privileges.	――自分の価値観、自分の信条、自分の信念、ならびに自分の権利を歴史研究から把握しなさい。
Then become a good conversationalist:	そして、会話の達人になりなさい。
By turns listen respectfully and by turns argue persuasively.	ある時はかしこまって聴き、ある時は巧みに議論しなさい。
Be open to testing and changing your own perspective, yet also be prepared to argue well.	自分の観点を検証し、変えることを躊躇してはいけないし、十分に議論を尽くす準備もできていなければならない。
You can do both at once	あなたは、両方ともすぐに実行できるようになるだろう。
if you are drawing both on a rich worldview that need not fear the truth of others and on a competent familiarity with the best available historical evidence.	他の真実を怖がらなくてもいいような豊かな世界観と、最も有効な歴史的証拠によく精通した頭脳でもって、自分の位置を構築すればいいのだ。
All interpretations are not created equal.	すべての解釈が同じ価値を持つわけではない。
Some are more cogent than others.	あるものは他より説得力がある。
Some have more evidence in their favor.	あるものは他より支持する証拠が多い。
Some are false and some are lies.	偽物もあればウソ物もある。
Even though history is more than a bunch of facts, evidence still counts for a lot.	歴史は多くの事実を集めただけの物ではないのだが、それでも証拠は重要性を失わない。
So how do we know?	ではどのようにして分かるのだろうか。
So how do we interpret?	我々は歴史をどのように解釈すればいいのか。
We converse well, and we keep conversing.	我々はよく話し、かつ話し続ける。
And we approach, even if we never fully attain, the truth.	そうすることで、決して真実にたどり着くことはないとしても、接近することはできるのだ。
All "A" students who graduate from a liberal arts college and all history majors should show that they have mastered points 1-10 by handling historical evidence with a care that reflects the following:	大学の教養学科で「Ａ」を取り、歴史学専攻にはいったすべての学生は、以下にあげる点を考慮した上で歴史的証拠を慎重に取り扱うことで、１から10までのポイントをすでにマスターしているところを見せるべきである。
11. Nothing is more important for historians than to chart cause and effect	11．歴史家にとって、因果関係を示すほかに重要なことはない。
-- even though nothing is harder to prove.	たとえ、因果関係が苦もなく証明できたとしてもだ。
Remember: there are gaps in the record (points 4, 5 and 9).	覚えておいた方がいいのだが、記録には空白が存在する（ポイント４、５、９）。
Sometimes we know exactly who read what (because they said so) and have a pretty good hunch about how this affected them (because they immediately changed their course of action).	何を読んでいるかが正確に分かる（そう書いてあるから）こともあるし、その記憶にどんな影響があったか直感で分かることもある（突然行動方針が変化するから）。
But such instances are rather rare.	しかし、そのような例はあまり存在しない。
And even when someone has said that a text or an event or another person has influenced them	それに、文献や出来事や、ある人について誰かが言及したとしても、そこに対象からの影響が残っているのだ。
-- can we be sure that other forces were not influencing them as well?	まったく別の原因が影響してはいないと誰が言えるのだろうか。
Do you know all the reasons you are in college?	あなたは大学に行く理由をすべて知っているだろうか。
Still, the chain of causes and effects that have shaped our world is what makes history most interesting!	それでも、我々の世界を形成している因果関係の連鎖によって、大変興味深い歴史が作られているのだ。
Why do we live in one kind of society and not some other?	なぜ我々は（他でもない）この種の社会に生きているのだろう。
Why do we dream the dreams we do, yet make the mistakes we do?	なぜ我々は未来の希望を思うのに、まちがいを犯すのだろう。
We want to know!	それを知りたいのだ！
So we keep trying to learn and to learn from history.	だから我々は歴史を学び、歴史からなにか学ぼうとしているのだ。
Just be careful with the evidence!	証拠は慎重に取り扱うようにと、
Please.	強く望んでいる。
12. Intriguing coincidences sometimes point to relationships of cause and effect, but never are enough to prove cause and effect.	12．同時発生した重大事に因果関係がうかがえるように見えることもあるが、それだけでは絶対に因果関係を証明したことにはならない。
Just because two things happened simultaneously does not automatically mean that they are related.	２つのことがたまたま同時に起こったからといって、自動的にその間に関係があるということにはならない。
Just because one event followed another does not necessarily mean that the first caused the second.	ある出来事が別の出来事のあとに起こったからといって、必然的に先のものが後のものによって引き起こされたということにはならない。
Yes, these patterns are intriguing and suggestive.	確かに、こういうパターンは興味深いし、示唆的だ。
In fact, when there are gaps in the record, they may be all historians have to go on.	実際、記録に隔たりがあるときには、歴史家たちがみんなそうしなければならないかもしれないのだ。
But we must be careful how we present the evidence, lest we claim more for it than it deserves.	だが、我々は証拠をいかにして提示するかについて慎重にならざるを得ないし、証拠の価値以上のものを要求してはいけないのだ。
Really.	いいかな。
13. Human history sometimes seems to involve themes that are common to many cultures and continuous through many ages	13．人類の歴史には、ときに、文化や時代の枠を超えたテーマがあるように見えることもある
-- but historians do not have the right to assert them until they have paid long and close attention to particular differences of time and space.	――が、歴史家がそれについて云々するのは、時空間に横たわる細かな差異に時間をかけて綿密に意を注いだ上でないと、越権行為にあたるのだ。
So return to point 1 and start over,	だから、ポイント１からもう一度読みなさい。
again and again.	何度でも読みなさい。
