The Horse Dealer's Daughter	馬商の娘馬商の娘
But she only averted her head, and continued her work.	しかし、彼女は少し顔をそむけただけで、淡々と片付けをつづけた。
She folded the white table-cloth, and put on the chenille cloth.	白いテーブル・クロスを折りたたみ、代わりにシェニール織りのクロスを広げた。
'The sulkiest bitch that ever trod!'	「なんて薄鈍な女だ！」
muttered her brother.	と彼はぶつぶつ言った。
But she finished her task with perfectly impassive face, the young doctor watching her interestedly all the while.	関心の眼差しを向けはじめた若い医師の前で、ずっと彼女は、端然と無表情のまま、片付けを終えた。
Then she went out.	そして部屋を出て行った。
Fred Henry stared after her, clenching his lips, his blue eyes fixing in sharp antagonism, as he made a grimace of sour exasperation.	フレッド・ヘンリーは唇を固く結び、ねじけた忿懣に眉間をしかめ、鋭い敵意に青い眼を強ばらせて、彼女の後ろ姿を見据えていた。
'You could bray her into bits, and that's all you'd get out of her,'	「どうしようもない阿魔だ。
he said, in a small, narrowed tone.	と、彼は、小さい、抑えた声で言った。
The doctor smiled faintly.	医師は微笑した。
'What's she _going_ to do, then?'	「ともかく、彼女はどうするんだろうね？」
he asked.	と彼は訊ねた。
'Strike me if I know!'	「俺が知るかよ！」
returned the other.	相手は応えた。
There was a pause.	言葉が途切れた。
Then the doctor stirred.	医師はかすかに身じろぎした。
'I'll be seeing you tonight, shall I?'	「今夜会えるかい？」
he said to his friend.	彼は友人に言った。
'Ay	「ああ。
--where's it to be?	──でも、場所は何処で？
Are we going over to Jessdale?'	ジェスデイルまで行くか？」
'I don't know. I've got such a cold on me.	「いや、僕は風邪を引いてるし、まだ決められない。
I'll come round to the Moon and Stars, anyway.'	いずれにせよ《ムーン・アンド・スターズ亭》には顔を出すよ。」
'Let Lizzie and May miss their night for once, eh?'	「リジーとメイに待ちぼうけをくわせることになるな？」
'That's it	「しょうがない。
--if I feel as I do now.'	──こんな気分の時じゃね。」
'All's one--'	「気分のせいにするなよ──、」
The two young men went through the passage and down to the back door together.	二人は廊下を抜けて裏口へと降りて行った。
The house was large, but it was servantless now, and desolate.	家屋は大きかったが、召使いは一人も見られず、荒涼としていた。
At the back was a small bricked house-yard, and beyond that a big square, gravelled fine and red, and having stables on two sides.	家の裏手には煉瓦で舗装した小さな庭があり、そこを越えると、二方に厩舎のある、綺麗に赤い砂利を敷き詰めたひらけた場所になっていた。
Sloping, dank, winter-dark fields stretched away on the open sides.	厩舎のない側には、暗く湿った冬の野原が、坂になって遠くまで広がっていた。
But the stables were empty.	厩舎は今はもう空になっていた。
Joseph Pervin, the father of the family, had been a man of no education, who had become a fairly large horse dealer.	一家の父であるジョセフ・パーヴィンは、教育のない男でありながら、馬商として成功し、財をなした人物だった。
The stables had been full of horses, there was a great turmoil and come-and-go of horses and of dealers and grooms.	当時は厩舎も馬であふれ、馬と商人と馬丁が行き交うあわただしい喧噪に充ちていたものだった。
Then the kitchen was full of servants.	台所にも、多くの召使いが居並んでいた。
But of late things had declined.	だが凋落は急速にやって来た。
The old man had married a second time, to retrieve his fortunes.	衰運のあげくに、何のつもりでか、老人は再婚さえした。
Now he was dead and everything was gone to the dogs, there was nothing but debt and threatening.	しかし今や、父は死に、すべては崩落し、あとには借金と催促状だけが残ったのだった。
For months, Mabel had been servantless in the big house, keeping the home together in penury for her ineffectual brothers.	幾月にもわたって、メイベルは、召使いの失せたこの大きな家の体裁を、無為な兄弟たちに代ってなんとか取り繕っていた。
She had kept house for ten years.	これまで十年ものあいだ、彼女は家政をつとめてきたのだった。
But previously, it was with unstinted means.	一家が零落する以前には、物惜しみなどする必要はなかった。
Then, however brutal and coarse everything was, the sense of money had kept her proud, confident.	そして、彼女をとりまく何もかもが下品で粗野であっても、財産があるという意識が、彼女に誇りと自信とを与えていた。
The men might be foul-mouthed, the women in the kitchen might have bad reputations, her brothers might have illegitimate children.	男共が淫らな噂ばかり好み、台所で働く女のあいだに悪評が沸き、或いは、彼女の兄弟たちがよその女に子を孕ませているのだとしても、構わなかった。
But so long as there was money, the girl felt herself established, and brutally proud, reserved.	財産があるかぎり、娘は独尊を感じ、冷ややかな誇りは保たれていた。
No company came to the house, save dealers and coarse men.	商人と野卑な男たち以外に家を訪れる者はなかった。
Mabel had no associates of her own sex, after her sister went away.	姉が嫁いで行った後では、彼女に同性の話し相手はなくなった。
But she did not mind.	だが、彼女は気に掛けなかった。
She went regularly to church, she attended to her father.	教会に通うことを欠かさず、忠実しく父親の世話をした。
And she lived in the memory of her mother, who had died when she was fourteen, and whom she had loved.	そして彼女が十四のときに亡くなった、愛する母親の想い出を、慕って生きた。
She had loved her father, too, in a different way, depending upon him, and feeling secure in him,	彼女はまた父親も愛していたのだが、それは、母とは異なった仕方で、つまり、父親を頼りつづけ、彼の面目の元で順風を感じているということだった
until at the age of fifty-four he married again.	──彼が五十四歳の折に再婚するまでは。
And then she had set hard against him.	それを境に、彼女は父から離れ背くようになった。
Now he had died and left them all hopelessly in debt.	そしてついに父は、彼らに手に負えない借金を残して死んでしまった。
She had suffered badly during the period of poverty.	一家の貧窮がつづくあいだに、彼女の誇りはひどく傷ついた。
Nothing, however, could shake the curious sullen, animal pride that dominated each member of the family.	しかしパーヴィン家の人間に根づいている、奇妙に陰暗な、野性的な自尊心は揺るぐことはなかった。
Now, for Mabel, the end had come.	そして今、メイベルにとって、終わりは来た。
Still she would not cast about her.	彼女はもう未来を望まなかった。
She would follow her own way just the same.	彼女はただ、それまでと同じ彼女自身の流儀に従うだけだった。
She would always hold the keys of her own situation.	彼女は最後まで自分の身は自分で処するつもりだった。
Mindless and persistent, she endured from day to day.	何も考えずに、頑なに、彼女は困窮の日々を堪えて来たのだ。
Why should she think?	そもそも、何を考える必要があるというのか？
Why should she answer anybody?	誰に何を訴えるというのか？
It was enough that this was the end, and there was no way out.	終局は訪れたのであり、もはや出口はないというだけで、十分だ。
She need not pass any more darkly along the main street of the small town, avoiding every eye.	もう、人々の眼を恥じて、この小さな街の目抜き通りを憂鬱に歩き過ぎていく必要もない。
She need not demean herself any more, going into the shops and buying the cheapest food.	店へ入って、もっとも粗末な品に手を出し、自身を卑しめる必要もない。
This was at an end.	すべては終わった。
She thought of nobody,	誰の事も彼女は思い煩わなかった
not even of herself.	──自分自身の事さえも。
Mindless and persistent, she seemed in a sort of ecstasy to be coming nearer to her fulfilment, her own glorification, approaching her dead mother, who was glorified.	彼女は、何も考えず、頑なに、ただ自分自身の成就が迫っているのを感じ──彼女の崇拝、すなわち、彼女の胸裡で神々しい面影になっている亡き母親に、いよいよ近づいていくように感じて、ただ恍惚にひたっているようだった。
In the afternoon she took a little bag, with shears and sponge and a small scrubbing brush, and went out.	午後に、彼女は木ばさみとスポンジと小さな束子を入れたバッグを下げて、外へ出た。
It was a grey, wintry day, with saddened, dark-green fields and an atmosphere blackened by the smoke of foundries not far off.	蒼然とした冬日で、深緑の野は陰鬱に広がり、近くにある鋳物工場の煙りは大気を黒く濁していた。
She went quickly, darkly along the causeway, heeding nobody, through the town to the churchyard.	彼女は土手道を、足早に、憂鬱な顔で歩き、行き違う人を気にとめず、街を抜け教会墓地へと急いだ。
There she always felt secure, as if no one could see her,	墓地のなかでは、彼女はいつも、人々の視線から隔てられたような安堵を感じた
although as a matter of fact she was exposed to the stare of everyone who passed along under the churchyard wall.	──が、実際には、教会墓地の壁の下手を通りかかる者なら誰でも彼女の姿を見ることができた。
Nevertheless, once under the shadow of the great looming church, among the graves, she felt immune from the world, reserved within the thick churchyard wall as in another country.	それでもやはり、ぼんやりと浮ぶ大きい教会の影にひそみ隠れ、墓の間に立っていると、彼女は、世界の脅嚇を免れていると感じ、あたかも教会墓地の厚い壁によって、別世界に匿われたように感じるのだった。
Carefully she clipped the grass from the grave, and arranged the pinky-white, small chrysanthemums in the tin cross.	注意深く彼女は墓に生えた雑草を刈り、薄く赤らんだ白菊の花を、錫製の十字架に供えた。
When this was done, she took an empty jar from a neighbouring grave, brought water, and carefully, most scrupulously sponged the marble headstone and the coping-stone.	それを終えると、隣りの墓にあった空の水差しを取って、水を汲み、大理石の墓碑と冠石を、余念なく、隅々まで磨きはじめた。
It gave her sincere satisfaction to do this.	その作業は彼女に深い喜びを与えた。
She felt in immediate contact with the world of her mother.	母のいる世界にじかに触れているという感じがあった。
She took minute pains, went through the park in a state bordering on pure happiness, as if in performing this task she came into a subtle, intimate connexion with her mother.	純粋な幸福につつまれたように坐り込み、ひたむきに墓の掃除をするのに、彼女は、ほとんど労苦を覚えず、まるでそうした作業をつづけるうちに、彼女と母親とのあいだに仄かな、緊密なつながりが生まれるかのようだった。
For the life she followed here in the world was far less real than the world of death she inherited from her mother.	母親と連なることのできる、その死の世界に較べれば、彼女が現実の世界で従っている生は、色の稀薄なものでしかなかった。
The doctor's house was just by the church.	医師の家は、ちょうど教会の傍にあった。
Fergusson, being a mere hired assistant, was slave to the countryside.	ただの雇われの助手にすぎない彼──ファーガソンは、この田舎の土地に縛られている男だった。
As he hurried now to attend to the outpatients in the surgery, glancing across the graveyard with his quick eye, he saw the girl at her task at the grave.	診療所で待つ外来患者を診るため、足を急がせていた彼は、通りしな、はしこい眼で教会墓地を一瞥し、そこで墓石の掃除をしている娘を見かけた。
She seemed so intent and remote, it was like looking into another world.	一途に無心な彼女は、果てしなく遠い姿のようで、それを見るのは、まるで別世界をのぞき込むかのようだった。
Some mystical element was touched in him.	なにか不可思議な実体が、彼の内に触れて来た。
