Stay for me there  !	この地にて我を待たなむ！
and the lights in the old Ducal Palace were dying fast away.	デュカーレ宮殿では燈火が次々と消されていきます。
I was returning home from the Piazetta, by way of the Grand Canal.	私はグランドカナルを経由して、サンマルコ広場の横を流れる水路を通って家路を辿っていました。
But as my gondola arrived opposite the mouth of the canal San Marco, a female voice from its recesses broke suddenly upon the night, in one wild, hysterical,	私の乗ったゴンドラがサンマルコ運河の入り口とは反対の方に来たとき、その先の方から不意に女性の悲鳴が夜の闇を切り裂いたのです。
and long continued shriek.	狂気じみた長々と続く金切り声。
Startled at the sound, I sprang upon my feet :	私はびっくりして思わず立ち上がり、
while the gondolier, letting slip his single oar, lost it in the pitchy darkness beyond a chance of recovery,	ゴンドラの船乗りは一本しかない櫂を手から滑り落としてしまい、行方がわからなくなり、取り戻そうにも黒一色の闇の中では為す術がありませんでした。
and we were consequently left to the guidance of the current which here sets from the greater into the smaller channel.	こうして私達は、広い運河から狭い運河に流れ込んでいく水の流れに身を任せることになったのです。
Like some huge and sable-feathered condor, we were slowly drifting down towards the Bridge of Sighs,	それはさながら、黒い羽をした大きなコンドルのように、ゆっくりと溜息橋の方に漂っていきました。
when a thousand flambeaux flashing from the windows, and down the staircases of the Ducal Palace, turned all at once that deep gloom into a livid and preternatural day.	と、おびただしい数の松明の明かりがデュカーレ宮殿の窓という窓、階段のあちこちで瞬き、にわかに暗黒の夜が土気色を帯びた異様な明るさに変わったのです。
A child, slipping from the arms of its own mother, had fallen from an upper window of the lofty structure into the deep and dim canal.	幼児が母親の腕をすり抜けて、最上階の窓から深く薄暗い運河に転落してしまったのです。
The quiet waters had closed placidly over their victim ;	穏やかな水面は、哀れな犠牲者を呑み込むと静かにその口を閉じてしまいました。
and, although my own gondola was the only one in sight, many a stout swimmer, already in the stream, was seeking in vain upon the surface,	あたりに見えるものといえば私の乗ったゴンドラだけで、すでに水の中には勇猛果敢な男達が運河の流れに身をたゆたいながら、水面をいたずらに探し回っていました。
the treasure which was to be found, alas !	でも、最愛の愛し子の姿は、ああ、神よ！
only within the abyss.	水の底以外には見つかるはずもないのです。
Upon the broad black marble flagstones at the entrance of the palace, and a few steps above the water, stood a figure	デュカーレ宮殿の玄関に敷き詰めてある幅広の黒大理石の上、水際から数段上がったところにたたずんでいる人の影がありました。
which none who then saw can have ever since forgotten.	今宵、その姿を見た者は生涯忘れることはできないでしょう。
It was the Marchesa Aphrodite - the adoration of all Venice	その人こそ、ベニスの市民が熱愛してやまないアフロディテ公爵夫人なのです。
- the gayest of the gay - the most lovely where all were beautiful	豪華絢爛な中にあってもなお一層艶やかであり、ベニスに居並ぶ美しい令嬢、貴婦人達の中であろうと、ことさら人目を引く美しさを備えた人、
- but still the young wife of the old and intriguing Mentoni, and the mother of that fair child, her first and only one,	でも今は、年老いた策士メントーニ公爵の若婦人であり、運河の淵に沈んだ初めてのひとり子、愛くるしい幼子の母親なのです。
who now, deep beneath the murky water, was thinking in bitterness of heart upon her sweet caresses, and exhausting its little life in struggles to call upon her name.	幼子は今、苦しい息の下、母親のやさしい愛撫を思い、もがき苦しみながらも母の名を呼び、その短い一生を終えようとしているのです。
Her small, bare, and silvery feet gleamed in the black mirror of marble beneath her.	銀白色を帯びた婦人の小さな素足が、足下の黒大理石に映って鈍い光を放っていました。
Her hair, not as yet more than half loosened for the night from its ball-room array, clustered, amid a shower of diamonds, round and round her classical head, in curls like those of the young hyacinth.	寝支度のため、夜会用に結い上げた髪は半分ほどいただけで、無数のダイヤをちりばめた束ね髪はヒアシンスのつぼみのように緩やかにねじれて、婦人の古風な顔を取り巻いています。
A snowy-white and gauze-like drapery seemed to be nearly the sole covering to her delicate form ;	華奢な体に羽織っているものといえば、雪のように白い紗の掛け布だけのようです。
but the mid-summer and midnight air was hot, sullen, and still, and no motion in the statue-like form itself, stirred even the folds of that raiment of very vapor which hung around it as the heavy marble hangs around the Niobe.	夏も盛りの深夜の大気は熱っぽく、むっとして静まりかえり、婦人自らも彫像になったように身動き一つせず、霞がかかったような紗の掛け布でさえ、ナイオビの纏うずっしりと重い大理石の衣のように、ひらりとも揺れません。
Yet - strange to say !	しかし、これはまた何と不可解な！
- her large lustrous eyes were not turned downwards upon that grave wherein her brightest hope lay buried - but riveted in a widely different direction !	婦人の大きな輝く眼は、かけがえのない我が子が眠っている水底の墓場ではなく、全く違う場所に注がれているではありませんか！
The prison of the Old Republic is, I think, the stateliest building in all Venice	思うに、ベネティア共和国時代に建てられた牢獄の威風堂々としたたたずまいはベニスでも他に類がないとはいえ、
- but how could that lady gaze so fixedly upon it, when beneath her lay stifling her only child ?	たった一人のわが子が自分の足下で死にかかっている時に、どうして牢獄などを一心不乱にみつめることができるのでしょう？
Yon dark, gloomy niche, too, yawns right opposite her chamber window	彼方に見える暗く陰気な壁がんは、婦人の寝室の窓の真っ向で大きな口を開けています。
- what, then, _could_ there be in its shadows - in its architecture - in its ivy-wreathed and solemn cornices - that the Marchesa di Mentoni had not wondered at a thousand times before ?	その暗がりの中に、その建物の中に、蔦のはいまわったいかめしい軒蛇腹の中に――メントーニ公爵夫人が今まで何度となく目にして、いぶかしいと思う所など何処にもありはしないのに、一体全体そこに何が見えたというのでしょう？
Nonsense !	いや、何と馬鹿げた妄想でありましょう！
- Who does not remember that, at such a time as this, the eye, like a shattered mirror, multiplies the images of its sorrow, and sees in innumerable far-off places, the wo which is close at hand ?	こういうとき、人の眼というものは、割れた鏡のように我が心の悩みを幾重にも映しだし、数え切れないほど遙か先にある場所に我が身の不幸を見いだすということぐらい誰でも覚えがあるはずではありませんか。
Many steps above the Marchesa, and within the arch of the water-gate, stood, in full dress, the Satyr-like figure of Mentoni himself.	公爵夫人の立っている場所から数段あがった水門のアーチの下に、森の神サティロスさながらのメントーニ公爵が正装姿で立っていました。
He was occasionally occupied in thrumming a guitar, and seemed _ennuye_ to the very death, as at intervals he gave directions for the recovery of his child.	公爵は、我が子の救出に時折、指示をだしたりするかと思えば、不意にギターをつまびきだしたり、見るからに退屈極まりないといった様子でした。
Stupified and aghast, I had myself no power to move from the upright position I had assumed upon first hearing the shriek,	私はあまりに驚いて茫然自失となり、最初に聞いた悲鳴で棒立ちになったまま、その姿勢を崩すことにまで気がまわらなかったのです。
and must have presented to the eyes of the agitated group a spectral and ominous appearance,	子供の救出に躍起になっている人たちから見れば私の姿は奇怪な死に神に映ったことでしょう。
as with pale countenance and rigid limbs, I floated down among them in that funereal gondola.	顔面蒼白で四肢を強ばらせ、葬式用のゴンドラに乗って漂いながら彼らの中に入っていったのですから。
All efforts proved in vain.	子供を救い出そうという努力は全て無駄におわりました。
Many of the most energetic in the search were relaxing their exertions, and yielding to a gloomy sorrow.	子供の姿を必死に探し求めていた多くの人たちは捜索の手をゆるめたのですが、表情には深い悲しみの色が現れていました。
There seemed but little hope for the child ;	子供が助かる望みはまず、ありません。
(how much less than for the mother !  )	（落胆した母親のなんと哀れなこと！）
but now, from the interior of that dark niche which has been already mentioned as forming a part of the Old Republican prison, and as fronting the lattice of the Marchesa, a figure muffled in a cloak, stepped out within reach of the light, and, pausing a moment upon the verge of the giddy descent, plunged headlong into the canal.	が、このとき、すでに申した通り、共和国時代の牢獄の一部であり、公爵夫人の寝室の格子窓と向かい合っているあの暗い軒蛇腹の背後から、外套を纏った人影が松明の明かりで照らされているところまで歩み出ると、目の眩むような断崖絶壁の淵で一瞬立ち止まったかと思いきや、あっという間に運河めがけて飛び込んだのです。
As, in an instant afterwards, he stood with the still living and breathing child within his grasp, upon the marble flagstones by the side of the Marchesa,	ものの数分もしないうちに、まだ息のある子供を腕に抱きかかえ、公爵夫人のかたわらの大理石の敷石の上に立ったのです。
his cloak, heavy with the drenching water, became unfastened, and, falling in folds about his feet, discovered to the wonder-stricken spectators the graceful person of a very young man,	水にぬれてずっしり重くなった外套は、結び目の紐がほどけて足下に折り重なって落ちてしまい、仰天している見物人達にこの若者のしなやかな身体を知らしめることとなりました。
with the sound of whose name the greater part of Europe was then ringing.	この青年の名は、当時、ヨーロッパの隅々にまでとどろいていました。
No word spoke the deliverer.	子供を救って現れた青年は一言も言葉を発しません。
But the Marchesa !	それよりも、公爵夫人のほうです！
She will now receive her child	今、我が子を受け取り、
- she will press it to her heart	胸にしっかりとかき抱いて、
- she will cling to its little form, and smother it with her caresses.	そして小さな体を二度と離さないようにしっかり掴んで、息苦しくなるほどの愛撫を与えるはずです。
Alas !	ところが、何ということでしょう！
_another's_ arms have taken it from the stranger - _another's_ arms have taken it away, and borne it afar off, unnoticed, into the palace !	別の人間の腕が不意に現れた青年から子供を取り上げ、人目につかないように、遙か彼方の館のなかに連れ去ってしまったのです。
And the Marchesa !	そして公爵夫人は！
Her lip - her beautiful lip trembles :	その唇、美しい唇が震えています。
tears are gathering in her eyes	眼には涙があふれているのです。
- those eyes which, like Pliny's acanthus, are "soft and almost liquid."	その両目はプリニウスが形容したハアザミのように「柔らかくうるんで」いるのです。
Yes !	そうです！
tears are gathering in those eyes - and see !	両目に涙があふれ、そして、ご覧なさい！
the entire woman thrills throughout the soul,	身も心も打ち震えているではありませんか。
and the statue has started into life !	彫像に血が通い始めたのです。
The pallor of the marble countenance, the swelling of the marble bosom, the very purity of the marble feet, we behold suddenly flushed over with a tide of ungovernable crimson ;	大理石のように蒼白な顔色に、大理石のような胸のふくらみに、大理石のような白い足に、せき止めることのできない深紅の潮の流れがそれらを一瞬にして朱に染めていくのをまのあたりにしたのです。
and a slight shudder quivers about her delicate frame, as a gentle air at Napoli about the rich silver lilies in the grass.	そうして、ナポリのそよ風が草原に咲く鮮やかな銀白色の百合を揺らすように、婦人の華奢な身体も微かに揺れているのです。
Why _should_ that lady blush !	何故、婦人の頬が紅くなったのか？
To this demand there is no answer	と、問うてみても答えなどわかるはずもあません。
- except that, having left, in the eager haste and terror of a mother's heart, the privacy of her own _boudoir_, she has neglected to enthral her tiny feet in their slippers, and utterly forgotten to throw over her Venetian shoulders that drapery which is their due.	ただ、恐怖におののき、一刻も早く駆けつけたいという母親の気持ちと、人目をはばかる私室を出たとき、はきもののことなど眼中になく、優雅なひだのよった柔らかなベネシャンの肩掛けを羽織るという女性の嗜みも全く頭から離れてしまっていただけなのかもしれません。
What other possible reason could there have been for her so blushing ?	それ以外に婦人が顔を赤らめたどんな理由がありましょう？
- for the glance of those wild appealing eyes ?	狂おしい程に情のこもったあのまなざしは？
for the unusual tumult of that throbbing bosom  ?	常とは違う胸の高まりは？
- for the convulsive pressure of that trembling hand ? - that hand which fell, as Mentoni turned into the palace, accidentally, upon the hand of the stranger.	メントーニ公爵が館に戻っていったとき、偶然、婦人の手が青年の手に重なり、その途端、あの震える手で思わず握りしめたのは
What reason could there have been	一体全体どういうわけがあるのでしょう？
for the low - the singularly low tone of those unmeaning words which the lady uttered hurriedly in bidding him adieu ?	別れ際に低い声ですかさず青年に言った不思議な言葉、
"Thou hast conquered,"	「あなたが征服したのです」
she said, or the murmurs of the water deceived me ;	彼女はこう言った、いや、それとも、水のさざめきでそう聞こえただけかもしれません。
"thou hast conquered	「あなたが征服したのです。
- one hour after sunrise	日の出の一時間後に
- we shall meet	お会いしましょう。
- so let it be !"	きっとですよ」
The tumult had subsided, the lights had died away within the palace, and the stranger, whom I now recognized, stood alone upon the flags.	やがて騒ぎもすっかり収まり、館の灯も消えてしまうと、この正体不明の青年は、といっても私には誰なのかわかっていますが、敷石の上に一人ぽつんと佇ずんでいました。
He shook with inconceivable agitation,	思いもかけぬ言葉に興奮して震えていたのです。
and his eye glanced around in search of a gondola.	そして時折、ゴンドラを探して、運河の水面に眼を走らせていました。
I could not do less than offer him the service of my own ;	私は自分のゴンドラに同乗させる他ないと思い、声をかけてみたところ、
and he accepted the civility.	青年は非常に恐縮して私の申し出を受け入れてくれました。
Having obtained an oar at the water-gate, we proceeded together to his residence,	水門でなくした櫂を見つけ拾い上げ、私達のゴンドラは青年の館の方へ向かってこぎだしました。
while he rapidly recovered his self-possession, and spoke of our former slight acquaintance in terms of great apparent cordiality.	すぐに、普段の青年らしくなり、お互いに知らぬ仲ではないことを二人とも親友のような口振りで話し合っっていきました。
There are some subjects upon which I take pleasure in being minute.	さて、ここで些細なことではありますが、私の楽しみとして語っておきたいことがあるのですが。
The person of the stranger - let me call him by this title,	この見知らぬ青年、と呼ぶことにしましょう。
who to all the world was still a stranger	読者諸君はまだこの青年のことを何もご存じないのですから。
- the person of the stranger is one of these subjects.	私が話したいのは、この青年の外見のことなのです。
In height he might have been below rather than above the medium size :	背丈は平均よりは若干低めというところでしょう。
although there were moments of intense passion when his frame actually _expanded_ and belied the assertion.	とはいえ、時として、激情にかられる瞬間があり、そういうときは本当に青年の背格好が大きく膨らんだようになって、堂々とした鐘のような体格になるのです。
The light, almost slender symmetry of his figure, promised more of that ready activity which he evinced at the Bridge of Sighs, than of that Herculean strength	体重は軽いというよりも痩せすぎといった方が当たっているのですが、均整のとれた青年の体つきからは、緊急事態に及んで難なく怪力を発揮したというヘラクレスの腕力は到底想像できません。
which he has been known to wield without an effort, upon occasions of more dangerous emergency.	青年に似合うのは、あの溜息橋で見せた俊敏な身のこなしです。
With the mouth and chin of a deity - singular, wild, full, liquid eyes, whose shadows varied from pure hazel to intense and brilliant jet	それから、威厳のある顎とくちもと、大きく潤んだ瞳は野生の獣を思わせ、ある時は薄茶色、またある時は漆黒の輝きへと変化するのです。
- and a profusion of curling, black hair, from which a forehead of unusual breadth gleamed forth at intervals all light and ivory	並はずれて広い額は明るい象牙色に輝いて、時折、豊かにカールした黒髪の間から見え隠れしています。
- his were features than which I have seen none more classically regular, except, perhaps, the marble ones of the Emperor Commodus.	これほどまでに均整のとれた古典的な顔立ちはコモーダス皇帝の大理石の彫像以外に見たことがありません。
Yet his countenance was, nevertheless, one of those which all men have seen at some period of their lives, and have never afterwards seen again.	とはいえ、誰もが一生に一度見るだけで、それ以後二度と再び眼にすることはない顔なのです。
It had no peculiar - it had no settled predominant expression to be fastened upon the memory ;	これは何も不思議な話ではなく、青年の顔立ちには人の心に焼きつけるような表情がないのです。
a countenance seen and instantly forgotten	見た途端に忘れ去られてしまう。
- but forgotten with a vague and never-ceasing desire of recalling it to mind.	でも、忘れてしまうといっても、何となくもう一度思い出してみたいという思いがいつまでもつきまとって離れない顔なのです。
Not that the spirit of each rapid passion failed, at any time, to throw its own distinct image upon the mirror of that face	一瞬わき起こった感情を宿した魂が、その独特な像を顔の鏡に映しそびれたというわけでもないでしょうが、
- but that the mirror, mirror-like, retained no vestige of the passion, when the passion had departed.	この鏡は、どの鏡もそうであるように、感情が過ぎ去ってしまえば、その名残を留めてはおかないのです。
Upon leaving him on the night of our adventure, he solicited me, in what I thought an urgent manner, to call upon him _very_ early the next morning.	この騒動のあった晩、別れ際に、青年が明朝一番に自分の館を訪ねてほしいとそれはもう、半ば強制的とも思えるような調子で私に頼むのです。
Shortly after sunrise, I found myself accordingly at his Palazzo,	結局、私は陽が昇るとすぐこの友人の館を訪ねていました。
one of those huge structures of gloomy, yet fantastic pomp, which tower above the waters of the Grand Canal in the vicinity of the Rialto.	リアルト橋付近のグランドカナルの水面よりもはるかに高くそびえ立っている立派な建物で、陰鬱な雰囲気の中にも幻想的な美しさが漂っています。
I was shown up a broad winding staircase of mosaics, into an apartment whose unparalleled splendor burst through the opening door with an actual glare, making me blind and dizzy with luxuriousness.	彼の後についてモザイク模様でできた幅広の廻り階段を登り、ある部屋に案内されたのですが、その部屋の類い希なる豪華さが、開け放された扉の向こうからその贅沢な輝きで眼がくらんでつぶれてしまいそうなくらいの本物の光を伴って外にはじき出ているではありませんか。
I knew my acquaintance to be wealthy.	私の友人には莫大な財産があることは知っていました。
Report had spoken of his possessions in terms which I had even ventured to call terms of ridiculous exaggeration.	かって私は、こんなことは馬鹿げた誇張だと思い切って言ったことがあるのですが、世間でも同じ噂が囁かれていたようです。
But as I gazed about me, I could not bring myself to believe that the wealth of any subject in Europe could have supplied the princely magnificence which burned and blazed around.	それにしても周りを見渡してみますと、この部屋は辺り一面が燃えるように明るく輝き、眼を刺すような光を放って極上の絢爛さを生み出しているのです。
Although, as I say, the sun had arisen, yet the room was still brilliantly lighted up.	私が申し上げました通り、陽はすでに昇っていましたが、部屋の中にはまだ灯が赤々と灯っていました。
I judge from this circumstance, as well as from an air of exhaustion in the countenance of my friend, that he had not retired to bed during the whole of the preceding night.	この部屋の様子や疲れ切ったような彼の表情から判断して、どうやら昨日の晩、彼は自分の寝室に戻って休まなかったようです。
In the architecture and embellishments of the chamber, the evident design had been to dazzle and astound.	この建造物と装飾品の数々は確かに驚きと幻惑を起こさせます。
Little attention had been paid to the _decora_ of what is technically called _keeping_, or to the proprieties of nationality.	専門家の目から見て調和と呼ばれるような飾り付けも、お国柄にふさわしいかどうかもそういったことには関心が払われていません。
The eye wandered from object to object, and rested upon none - neither the _grotesques_ of the Greek painters, nor the sculptures of the best Italian days, nor the huge carvings of untutored Egypt.	私の目は物から物へと移っていき、グロテスクなギリシャの絵画にも、イタリアの最盛期の彫刻にも、古代エジプトの巨大な彫り物にも、どこにも目を留めることはしませんでした。
Rich draperies in every part of the room trembled to the vibration of low, melancholy music, whose origin was not to be discovered.	部屋のいたるところに掛かっている豪華な厚手の壁掛けが 何処から聞こえてくるともしれぬ重苦しい曲の低音の響きで揺らめいているのです。
The senses were oppressed by mingled and conflicting perfumes, reeking up from strange convolute censers, together with multitudinous flaring and flickering tongues of emerald and violet fire.	奇妙な渦巻き型をした香炉からは違和感を覚えるさまざまな香りが立ち上り、それがゆらゆらと燃え輝いているエメラルドと青紫のおびただしい炎の舌と合わさり混ざり合って私の感覚を重く押さえつけてくるのです。
The rays of the newly risen sun poured in upon the whole, through windows, formed each of a single pane of crimson-tinted glass.	つい先ほど昇ったばかりの太陽の光が深紅色の一枚ガラスを左右にはめこんだ窓から部屋中に注ぎ込んでいます。
Glancing to and fro, in a thousand reflections, from curtains which rolled from their cornices like cataracts of molten silver, the beams of natural glory mingled at length fitfully with the artificial light, and lay weltering in subdued masses upon a carpet of rich, liquid-looking cloth of Chili gold.	天井から螺旋を描いて垂れ下がっているカーテンは、まるで溶けた銀の大滝のようで、それが何千という光を反射してあちこちに跳ね返し、太陽の自然の光と人口の光がじわじわと混ざり合い、黄金色の布地でできたまるで流れ動いているように見える豪華な絨毯の上で和らいだ光の束になってうねっているのです。
"Ha !  ha !  ha !	「わっはっは！
- ha !  ha !  ha !  "	あっはっは！」
- laughed the proprietor, motioning me to a seat as I entered the room, and throwing himself back at full-length upon an ottoman.	この館の主は笑いながら、部屋の中に入った私に座るように手招いて自分は背もたれのない長いすに長々と寝そべりました。
"I see,"	「そうだろうね」
said he, perceiving that I could not immediately reconcile myself to the _bienseance_ of so singular a welcome -	私がこの奇をてらったかなり風変わりな歓迎をうけて、すぐには慣れることができないでいるのを察したのか、彼はこう言いました。
"I see you are astonished at my apartment - at my statues - my pictures - my originality of conception in architecture and upholstery !	「君は僕の部屋に、ここの彫刻や絵画、建物や室内装飾の独創的な僕の趣向にびっくりしたようだね。
absolutely drunk, eh, with my magnificence ?	この壮麗さにすっかり陶酔しているのではないかい？
But pardon me, my dear sir,	それはそうと、君に謝らなければいけない。
(here his tone of voice dropped to the very spirit of cordiality,)	（このとき彼の声が低くなってとても丁寧な口調になりました）
pardon me for my uncharitable laughter.	意地悪に笑ったりして申し訳なかった。
You appeared so _utterly_ astonished.	君は随分驚いているようじゃないか。
Besides, some things are so completely ludicrous, that a man _must_ laugh or die.	だけど物事には、あんまり馬鹿らしくて笑うか死ぬかしか他にしようがないってこともあるじゃないか。
To die laughing, must be the most glorious of all glorious deaths !	笑いながら死ぬというのは最高の死に方だよ。
Sir Thomas More - a very fine man was Sir Thomas More	トマス・モア卿は、彼は実にすばらしい人だった。
- Sir Thomas More died laughing, you remember.	君も知ってると思うけど、笑いながら息を引き取ったんだ。
Also in the _Absurdities_ of Ravisius Textor, there is a long list of characters who came to the same magnificent end.	ラヴィシアス・テクストルの笑い話の中に同じような見事な死に方をした人の話がたくさん書いてある。
Do you know, however,"	だけど、君は知ってるだろうか？」
continued he musingly,	彼は考え込んでは話を続けます。
"that at Sparta (which is now Pale ;  ochori,) at Sparta, I say, to the west of the citadel, among a chaos of scarcely visible ruins, is a kind of _socle_,	「スパルタには（現在のPalaeochori）、そう、そのスパルタの街の砦から西の方へいくと一見して廃墟とわかる雑然とした場所があって、そこに何かの柱の台座だけ残っているんだ。
upon which are still legible the letters  7!=9 .	&Lambda;&Alpha;&Xi;&Mu; という字が読みとれるんだけど、
They are undoubtedly part of  '+7!=9! .	これは&Gamma;&Epsilon;&Lambda;&Alpha;&Xi;&Mu;&Lambda; （ギリシャ語で笑の意味）という字の一部に間違いないね。
Now, at Sparta were a thousand temples and shrines to a thousand different divinities.	そういえばスパルタにはさまざまな神を何体も飾ってある寺院や聖堂がたくさんあったと思ったけど。
How exceedingly strange that the altar of Laughter should have survived all the others !	その中でよりにもよって「笑」の字のついた台座だけ残ってるというのも不思議な話だね。
But in the present instance,"	でも今の場合は」
he resumed, with a singular alteration of voice and manner,	彼の声と態度が今までとはうってかわって
"I have no right to be merry at your expense.	「僕には君をからかって喜ぶ権利はない。
You might well have been amazed.	君が驚くのも当然のことだ。
Europe cannot produce anything so fine as this, my little regal cabinet.	僕のこの小部屋ぐらいすばらしい部屋はヨーロッパのどこを探してもありはしないんだから。
My other apartments are by no means of the same order	他の部屋はこんな風にはなっていない。
- mere _ultras_ of fashionable insipidity.	何の面白みもない今のはやりの最先端というところだね。
This is better than fashion	この部屋はそれよりはましだと思っているんだけどね。
- is it not ?	そうは思わないかい？
Yet this has but to be seen to become the rage	この部屋を見せたら大流行になるよ。
- that is, with those who could afford it at the cost of their entire patrimony.	ま、親から譲り受けた財産を全部つぎこんでこういう部屋を作りたいという人ならということだけど。
I have guarded, however, against any such profanation.	でも、この神聖な部屋は人目にさらさないように用心してきたんだ。
With one exception, you are the only human being besides myself and my _valet_, who has been admitted within the mysteries of these imperial precincts, since they have been bedizzened as you see !"	今君が見ているこういう室内装飾にしてからは、この神聖で神秘的な帝国に足をふみいれたのは、僕と僕の従者と君以外にもう一人いるけど、あとは君だけなんだよ！」
I bowed in acknowledgment	と言われて、私は感謝のつもりで会釈をしました。
- for the overpowering sense of splendor and perfume, and music, together with the unexpected eccentricity of his address and manner, prevented me from expressing, in words, my appreciation of what I might have construed into a compliment.	というのも、この部屋の豪華さや部屋に充満している芳香に圧倒されてしまい、それに彼の話や態度が全く思いがけないものだったのでお世辞ともとれる彼の言葉に対して感謝の気持ちを言葉で言うことができなくなってしまったのです。
"Here,"	「ここにはね、」
he resumed, arising and leaning on my arm as he sauntered around the apartment,	彼は起きあがって私の腕にもたれかかるようにして部屋の中を歩き回りながら次の言葉を続けました。
"here are paintings from the Greeks to Cimabue, and from Cimabue to the present hour.	「ここに飾ってある絵はギリシャの時代からチマブエ、チマブエから現代までの作品でね。
Many are chosen,	みんな僕が選んだんだ。
as you see,	ほら、見てわかるだろう。
with little deference to the opinions of Virtu.	美術品愛好家の趣味とはかなり違ってるってことが。
They are all, however, fitting tapestry for a chamber such as this.	でも、こういう部屋の壁を飾るには実によくあってるじゃないか。
Here, too, are some _chefs d'uvre_ of the unknown great ;	それからここにあるのは世に知られていない埋もれた天才の作品だ。
and here, unfinished designs by men, celebrated in their day, whose very names the perspicacity of the academies has left to silence and to me.	これは当時、随分ともてはやされたんだが、美術院のお気に召さなかったようでそのうちに忘れられてしまい、この作家の名を知ってるのは今では僕ぐらいのもんじゃないかな。
What think you,"	ところで、」
said he, turning abruptly as he spoke -	急に私の方を振り向いて、
"what think you of this Madonna della Pieta ?"	「どうだろう、この嘆きの聖母像は？」
"It is Guido's own !  "	「本物のギドーでしょ」
I said, with all the enthusiasm of my nature,	と、すぐに夢中になる私の癖が口調に出てしまいました。
for I had been poring intently over its surpassing loveliness.	私は先ほどから美の極みともいうべきこの絵にすっかりはまりこんでしまっていたのです。
"It is Guido's own !	「本物のギドーの絵ですよね。
- how _could_ you have obtained it ?	一体どうやって手にいれたんです？
- she is undoubtedly in painting what the Venus is in sculpture."	この聖母像は彫刻の世界で言ったら、ビーナス像に匹敵すると私は断固うけあいますね」
"Ha !  "	「え！」
said he thoughtfully,	彼は何やら考え深げに
