There was a law in the city of Athens	昔々、アテネという都市に１つの法律が施行されていた。
Oberon the king, and Titania the queen of the fairies, with all their tiny train of followers, in this wood held their midnight revels.	妖精《フェアリー》の王であるオーベロンと、女王であるティターニアは、おおぜいの小人たちとともに、この森で深夜の宴会を開いていた。
Between this little king and queen of sprites there happened, at this time, a sad disagreement;	妖精《フェアリー》の王と女王の間には、このごろ悲しい仲違いが起こっていた。
they never met by moonlight in the shady walk of this pleasant wood but they were quarreling, till all their fairy elves would creep into acorn-cups and hide themselves for fear.	２人がこの愉しい森の、月明かりに照らされた木陰の道で会うと必ずけんかが始まるので、配下の妖精《フェアリー》すべてが２人を怖がって、みんなどんぐりのさらの中へはいこんで隠れてしまうようになってしまった。
The cause of this unhappy disagreement was Titania's refusing give Oberon a little changeling boy,	不幸な仲違いの原因は、ティターニアがオーベロンに小さいとりかえ子［＃注２］を与えるのを拒んだからである。
whose mother had been Titania's friend; and upon her death the fairy queen stole the child from its nurse and brought him up in the woods.	その子はティターニアの友達が産んだ子で、彼女が死んだあとは女王が、乳母の手からその子を盗んで、森の中で育ててきたのだ。
The night on which the lovers were to meet in this wood, as Titania was walking with some of her maids of honor, she met Oberon attended by his train of fairy courtiers.	恋人たちが森で待ち合わせをしていた夜、ティターニアが侍女を従えて歩いていると、妖精《フェアリー》の家来を従えたオーベロンに出会った。
"Ill met by moonlight, proud Titania,"	「月明かりで、運悪くも会ってしまったね、高慢なティターニア。」
said the fairy king.	妖精《フェアリー》の王が言った。
The queen replied: "What, jealous Oberon, is it you?	「あら、やきもち焼きのオーベロン、いかがなさって？
Fairies, skip hence;	妖精《フェアリー》たち、早く立ち去りましょう。
I have forsworn his company."	私はあの人と一緒にいないことに決めてますから。」
"Tarry, rash fairy,"	「待ちなさい、せっかちな妖精《フェアリー》。」
said Oberon.	オーベロンが言った。
"Am I not thy lord?	「私はそなたの夫ではないか。
Why does Titania cross her Oberon?	なぜティターニアは私に逆らうのかね？
Give me your little changeling boy to be my page."	君の小さなとりかえ子を私の小姓にもらえないか。」
"Set your heart at rest,"	「心配無用。」
answered the queen;	女王は答えた。
"your whole fairy kingdom buys not the boy of me."	「あなたの王国全部を差し出すと言われても、あの子を手放す気はありませんから。」
She then left her lord in great anger.	そして、怒りに燃えた夫を残して立ち去った。
"Well, go your way,"	「ようし、勝手にするがいい。」
said Oberon;	オーベロンは言った。
"before the morning dawns I will torment you for this injury."	「朝がくる前に、その無礼に対して仕返ししてやる。」
Oberon then sent for Puck, his chief favorite and privy counselor.	そして、オーベロンは、第一のお気に入りで普段から腹心と頼みにしている、パックを呼んだ。
Puck (or, as he was sometimes called, Robin Goodfellow) was a shrewd and knavish sprite, that used to play comical pranks in the neighboring villages;	パック（時々ロビン・グットフェローとも呼ばれている）はいたずら好きの腕白な妖精《フェアリー》で、近隣の村に微笑ましいいたずらを仕掛けるのを常としていた。
sometimes getting into the dairies and skimming the milk, sometimes plunging his light and airy form into the butter-churn,	ときどき彼は、バター作りをしているところに入り込んでミルクをすすったり、バターを作る攪《かく》乳器の中に、空気のように軽い体をつっこんだりした。
and while he was dancing his fantastic shape in the churn, in vain the dairymaid would labor to change her cream into butter.	パックが攪《かく》乳器の中で体を踊らせているときには、乳しぼりの女がいくらバターをクリームにしようとしても無駄だった。
Nor had the village swains any better success;	村の若者たちでもだめだった。
whenever Puck chose to play his freaks in the brewing copper, the ale was sure to be spoiled.	パックが醸造用の銅がまの中でいたずらをしようとしたなら、確実にビールは台無しだった。
When a few good neighbors were met to drink some comfortable ale together, Puck would jump into the bowl of ale in the likeness of a roasted crab, and when some old goody was going to drink he would bob against her lips, and spill the ale over her withered chin;	村の良き隣人たちが集まって、一緒にビールを飲んでいると、パックは焼きりんごに化けてビールの中に飛び込んだり、どこかのおばあさんが飲もうとすると、その唇にひょいと触れて、しわくちゃのあごにビールをこぼさせたりしていた。
and presently after, when the same old dame was gravely seating herself to tell her neighbors a sad and melancholy story, Puck would slip her three-legged stool from under her, and down toppled the poor old woman,	その後のことだが、例のおばあさんが隣人に、大まじめにもの悲しい話をしようとして、礼儀正しく椅子に座ろうとしていたときに、パックが三脚いすをすべらせて、おばあさんに尻もちをさせてしまったことがあった。
and then the old gossips would hold their sides and laugh at her,	そのとき一座の老人たちは腹をかかえて大笑い。
and swear they never wasted a merrier hour.	こんなに楽しかったことはないと口々にいうのだった。
"Come hither, Puck,"	「こっちへおいで、パック。」
said Oberon to this little merry wanderer of the night;	オーベロンはこの小さなふざけんぼうの、夜の放浪者に言った。
"fetch me the flower which maids call 'Love in, Idleness';	「娘たちが、なまけんぼうの恋花と呼んでいる花を持ってきなさい。
the juice of that little purple flower laid on the eyelids of those who sleep will make them, when they awake, dote on the first thing they see.	その、紫色の花の汁を、眠っている人のまぶたに垂らすと、その作用で、その人が起きたときに最初に目にはいったものを愛するようになる。
Some of the juice of that flower I will drop on the eyelids of my Titania when she is asleep;	その花の汁を、ティターミアが眠っているときにまぶたに落としてやろうと思う。
and the first thing she looks upon when she opens her eyes she will fall in love with, even though it be a lion or a bear, a meddling monkey or a busy ape;	彼女は目を開けて最初に見るものと恋に落ちるんだ、それがライオンや熊や、おせっかいな猿や気ぜわしい尾なし猿だったとしてもね。
and before I will take this charm from off her sight, which I can do with another charm I know of, I will make her give me that boy to be my page."	私がこの魔法を取り除くまえに――これは私の知っている別の魔法でできるんだ――あの少年を私の小姓にすることに同意させよう。」
Puck, who loved mischief to his heart, was highly diverted with this intended frolic of his master, and ran to seek the flower;	パックはいたずらが心から好きだったので、主人が提案したこのいたずらに対してもとても喜んで、その花を探しに走っていった。
and while Oberon was waiting the return of Puck he observed Demetrius and Helena enter the wood:	一方、オーベロンは、パックが帰ってくるのを待つ間に、ディミートリアスとヘレナが森に入ってきたのを見ていた。
he overheard Demetrius reproaching Helena for following him,	また、ディミートリアスがヘレナに、ついてくるなと言っているのをもれ聞いた。
and after many unkind words on his part, and gentle expostulations from Helena, reminding him of his former love and professions of true faith to her,	ディミートリアスが冷たい言葉を数多くヘレナに言ったのに対して、ヘレナの方では、男がむかし自分に言った告白と、彼女への愛情を思いだしてくれと彼をいさめていた。
he left her (as he said) to the mercy of the wild beasts, and she ran after him as swiftly as she could.	ついに男は、野獣にでも食われてしまえと（まさにそう言ったのだ）言い捨てて去ってしまい、女は懸命に男を追っかけていった。
The fairy king, who was always friendly to true lovers, felt great compassion for Helena;	妖精《フェアリー》の王は、いつも恋人たちに親切だったので、ヘレナに対して深く同情した。
and perhaps, as Lysander said they used to walk by moonlight in this pleasant wood, Oberon might have seen Helena in those happy times when she was beloved by Demetrius.	もちろん、ライサンダーが言うところによれば、この愉快な森を月明かりでよく歩いていたのだから、たぶんオーベロンはディミートリアスに愛されていたときの幸せなヘレナを見たことがあるだろう。
However that might be, when Puck returned with the little purple flower, Oberon said to his favorite:	そうこうするうちに、パックが小さな紫花を持って帰ってきたので、オーベロンは彼のお気に入りにこう言った。
"Take a part of this flower;	「この花を少し持っていきなさい。
there has been a sweet Athenian lady here,	ここにかわいいアテネ人の娘がいるんだ。
who is in love with a disdainful youth;	彼女は自分を軽蔑している青年を愛している。
if you find him sleeping, drop some of the love-juice in his eyes,	もし男が寝ているのを見つけたら、その目に愛の汁を垂らしなさい。
but contrive to do it when she is near him,	ただし、娘がその男のそばにいるときに垂らすようにするんだ。
that the first thing he sees when he awakes may be this despised lady.	目を覚ました男が最初に見るのが、彼にきらわれている娘であるようにね。
You will know the man ]by the Athenian garments which be wears."	彼が着ているアテネ風の服でその男は分かるだろう。」
Puck promised to manage this matter very dexterously:	パックは、できる限りうまくやりましょうと答えた。
and then Oberon went, unperceived by Titania, to her bower,	オーベロンはティターミアに見つからないように、彼女の寝室へ出向いた。
where she was preparing to go to rest.	そのときティターミアは休む支度をしていた。
Her fairy bower was a bank, where grew wild thyme, cowslips, and sweet violets, under a canopy of woodbine, musk-roses, and eglantine.	彼女の優美な寝室は堤であり、そこには野生のたちじゃこう草やきばらのくりんざくらや、匂いのいいすみれが、すいかずらやじゃこうばらや、赤い野ばらでできた天蓋の下に咲いていた。
There Titania always slept some part of the night;	ティターミアはいつもそこでしばらく眠ることにしていた。
her coverlet the enameled skin of a snake, which, though a small mantle, was wide enough to wrap a fairy in.	かけぶとんはエナメルを塗った蛇の皮で、小さなおおいだったけれども、ティターミアを包み込むには十分な大きさであった。
He found Titania giving orders to her fairies, how they were to employ themselves while she slept.	オーベロンは、ティターミアが侍女たちに、自分が寝ている間にやっておくべき仕事を告げているところを見つけた。
"Some of you," said her Majesty, "must kill cankers in the musk-rose buds,	女王はこう言っていた。
and some wage war with the bats for their leathern wings,	それから、こうもりと戦って、皮の翼をとっておくように。
to make my small elves coats;	これは、私のかわいい妖精《フェアリー》たちの上着を作るのに使います。
and some of you keep watch that the clamorous owl, that nightly boots, come not near me:	それから、夜ごとにほうほう鳴く、やかましいふくろうが私のそばに近づかないように、見張りをしておきなさい。
but first sing me to sleep."	だけど、まずは歌を歌って私を寝かせてちょうだいな。」
Then they began to sing this song:	そこで、皆はこんな歌を歌い始めた。
"You spotted snakes, with double tongue,	舌がふたつのまだらへび
Thorny hedgehogs, be not seen;	姿見せるな　はりねずみ
Newts and blind-worms do no wrong;	いもりやとかげ　いたずらするな
Come not near our fairy queen:	我らが女王にちかよるな
"Philomel, with melody,	ナイチンゲールよ　いい節で
Sing in our sweet lullaby;	いっしょに歌おう　子守歌
Lulla, lulla, lullaby; lulla, lulla, lullaby;	ルラ　ルラ　ルラバイ　ルラ　ルラ　ルラバイ
Never harm, nor spell, nor charm,	わるさも　呪文も　魔法の力も
Come our lovely lady nigh;	お妃さまには　ちかよるな
So, good night, with lullaby."	お休みなさい　子守歌《ララバイ》きいて
When the fairies had sung their queen asleep with this pretty lullaby, they left her to perform the important services she had enjoined them.	侍女たちは、このようなかわいい子守歌で彼らの女王を寝かしつけた後に、女王に命じられた大事な用事を果たすために、女王のそばを離れていった。
Oberon then softly drew near his Titania and dropped some of the love-juice on her eyelids, saying:	オーベロンは、それを見届けた後でそっとティターミアに近づき、まぶたに愛の汁を落としてこう言った。
"What thou seest when thou dost wake, Do it for thy true-love take."	「目覚めてお前が見たものを、まことの恋人と思いなさい。」
But to return to Hermia, who made her escape out of her father's house that night,	ところで話をハーミアに戻すと、彼女は夜になって父の家から出ていった。
to avoid the death she was doomed to for refusing to marry Demetrius.	彼女がディミートリアスと結婚するのを断ったとがで死刑となるのを避けるためであった。
When she entered the wood, she found her dear Lysander waiting for her,	ハーミアは森に入り、愛するライサンダーが彼女を待っているのを見つけた。
to conduct her to his aunt's house; but before they had passed half through the wood Hermia was so much fatigued	ライサンダーはハーミアを自らのおばの家に案内するつもりだったけれども、２人が森の真ん中あたりまでいかないうちに、ハーミアが疲れてしまった。
that Lysander, who was very careful of this dear lady, who had proved her affection for him even by hazarding her life for his sake, persuaded her to rest till morning on a bank of soft moss,	そこでライサンダーは、自分のためにその生命を危険にさらし、彼を愛していることを身をもって証明してくれたハーミアの体を気遣い、柔らかいこけの堤の上で、朝まで休むようにすすめた。
and, lying down himself on the ground at some little distance,	自分はハーミアから少し離れた場所に横になった。
they soon fell fast asleep.	２人はすぐにぐっすり眠ってしまった。
Here they were found by Puck,	さて、ここで２人はパックに見つかったのだ。
who, seeing a handsome young man asleep, and perceiving that his clothes were made in the Athenian fashion, and that a pretty lady was sleeping near him, concluded that this must be the Athenian maid and her disdainful lover whom Oberon had sent him to seek;	パックは美青年が眠っているのを見たし、その着物はアテネ仕立て、おまけにかわいい女性が彼のそばで眠っているので、この２人がアテネの娘と彼女をきらっている恋人にちがいないと決め込んでしまった。
and he naturally enough conjectured that, as they were alone together, she must be the first thing he would see when he awoke;	また、無理もないことであるが、２人のそばには誰もいないことから、彼が起きたときに最初に見るものがそばにいる女性になるに違いないと、パックは推量した。
so, without more ado, he proceeded to pour some of the juice of the little purple flower into his eyes.	だからさっそく、彼の目に小さな紫花の汁を注ぐことにした。
But it so fell out that Helena came that way, and, instead of Hermia, was the first object Lysander beheld when he opened his eyes;	しかし、ヘレナがその道をやってきたので、ハーミアのかわりにヘレナが、ライサンダーが目を開けたとき最初に見たものとなってしまった。
and strange to relate, so powerful was the love-charm, all his love for Hermia vanished away and Lysander fell in love with Helena.	とても不思議なことに、恋の魔力はとても強力なものだったので、ライサンダーがハーミアを愛する心はどこかへ行ってしまって、そしてヘレナを愛するようになってしまった。
Had he first seen Hermia when he awoke, the blunder Puck committed would have been of no consequence,	ライサンダーが目を覚まして最初に見たのがハーミアだったなら、パックの犯した間違いは大したことにはならなかっただろう。
for he could not love that faithful lady too well;	彼はあの誠実な娘をこれ以上ないくらいに愛していたのだから。
but for poor Lysander to be forced by a fairy love-charm to forget his own true Hernia, and to run after another lady,	しかし、かわいそうなライサンダーは、妖精《フェアリー》の「恋の魔法」によって、彼自身の本当の恋人ハーミアを忘れるように仕向けられてしまい、他の女の後を追って駆けだしていった。
and leave Hermia asleep quite alone in a wood at midnight, was a sad chance indeed.	ハーミアは、１人真夜中の森に置き去りにされたまま眠っていたが、なんて情けないことになったものか。
Thus this misfortune happened.	そういうわけで、このような不幸が起こった。
Helena, as has been before related, endeavored to keep pace with Demetrius when he ran away so rudely from her;	前に話したとおり、ヘレナは、彼女から素っ気なく逃げていくディミートリアスの後ろを遅れまいと頑張っていた。
but she could not continue this unequal race long,	けれども、長時間あまりにも早いペースで走りつづけることができなかった。
men being always better runners in a long race than ladies.	男というものは、常に女よりも優れた長距離走の走者なのだから、当然である。
Helena soon lost sight of Demetrius;	ヘレナはすぐに、ディミートリアスを見失った。
and as she was wandering about, dejected and forlorn, she arrived at the place where Lysander was sleeping.	今後の見通しも立たぬままにあたりをさまよい、やがてライサンダーが眠っている場所にたどり着いた。
"Ah!" said she,	「ああ、
"this is Lysander lying on the ground.	ライサンダーが地面で倒れているわ。
Is he dead or asleep?"	死んでいるのかしら、それとも眠っているだけかしら。」
Then, gently touching him, she said,	そして、彼にそっと触って、こう言った。
"Good sir, if you are alive,	「あなた、生きているのなら、起きてちょうだい。」
Upon this Lysander opened his eyes,	ライサンダーは目を開けた。
and, the love-charm beginning to work, immediately addressed her in terms of extravagant love and admiration,	そして（恋の魔法が働きはじめたので）すぐにヘレナに狂おしい愛情と賛美の言葉を言いはじめた。
telling her she as much excelled Hermia in beauty as a dove does a raven, and that be would run through fire for her sweet sake; and many more such lover-like speeches.	ヘレナがハーミアよりも美しい、まさに鳩が大がらすに勝っているようだ、とか、愛するあなたのためなら、火の中だってくぐってみせるなどと、恋人らしい言葉をたくさん言ってしまった。
Helena, knowing Lysander was her friend Hermia's lover, and that he was solemnly engaged to marry her, was in the utmost rage when she heard herself addressed in this manner;	ヘレナは、ライサンダーが彼女の友達ハーミアの恋人で、すでに正式に結婚を約束した仲であることを知っていたので、そんなふうに話しかけられて、怒ってしまった。
for she thought (as well she might) that Lysander was making a jest of her.	（もっともなことであるが）彼女はライサンダーが自分をからかっていると思ったのだ。
"Oh!" said she, "why was I born to be mocked and scorned by every one?	「ああ、どうして私はみんなにあざけられたり軽蔑されるようになってしまったのでしょう。
Is it not enough, is it not enough, young man, that I can never get a sweet look or a kind word from Demetrius;	ディミートリアスに優しくされず、親切な言葉ひとつかけられないというだけでたくさんなのに、まだつらい目にあうのかしら。
but you, sir, must pretend in this disdainful manner to court me?	それとも、あなたは私を馬鹿にしようと、こんなふうに言い寄るふりをする義理があるとでもいうの。
I thought, Lysander, you were a lord of more true gentleness."	ライサンダーさん、私はあなたのことを本当の人格者だと思ってましたのに。」
Saying these words in great anger, she ran away;	怒りのままにこう言い残して、ヘレナは走っていってしまった。
and Lysander followed her, quite forgetful of his own Hermia, who was still asleep.	ライサンダーは、まだ眠っているハーミアを忘れてしまって、ヘレナの後を追っていってしまった。
When Hermia awoke she was in a sad fright at finding herself alone.	ハーミアは、目が覚めたとき、自分がひとりぼっちだったのでびっくりした。
She wandered about the wood, not knowing what was become of Lysander, or which way to go to seek for him.	ライサンダーがどうなったのかまるで分からず、彼を捜すにはどちらへいけばいいかもわからずに、森の中をさまよい歩いた。
In the mean time Demetrius, not being able to find Hermia and his rival Lysander,	一方、ディミートリアスはというと、ハーミアと、その恋を争っているライサンダーを見つけだすことができなかった。
and fatigued with his fruitless search, was observed by Oberon fast asleep.	さんざん捜しまわったあげく、疲れてしまってぐっすり眠っているところをオーベロンによって発見された。
Oberon had learned by some questions he had asked of Puck that he had applied the lovecharm to the wrong person's eyes;	オーベロンは、パックに問いただしたところから、パックは間違った人の目に愛の魔法をかけたことを知っていた。
and now, having found the person first intended, he touched the eyelids of the sleeping Demetrius with the love-juice,	今こそ、最初に目指していた人を見つけたので、眠っているディミートリアスのまぶたに愛の汁を垂らした。
and he instantly awoke;	すると、ディミートリアスはすぐに目を覚ました。
and the first thing he saw being Helena, he, as Lysander had done before, began to address love-speeches to her; 	彼が最初に見たのはヘレナだったので、ライサンダーが以前にしたみたいに、ヘレナに愛の言葉をかけはじめた。
and just at that moment Lysander, followed by Hermia (for through Puck's unlucky mistake it was now become Hermia's turn to run after her lover), made his appearance;	ちょうどそのとき（パックの不幸な間違いによって、今ではハーミアが恋人を追いかける番になってしまったから）ハーミアに追われたライサンダーが姿を見せた。
and then Lysander and Demetrius, both speaking together, made love to Helena,	ライサンダーとディミートリアスとは、２人いっしょにヘレナに愛を告白した。
they being each one under the influence of the same potent charm.	２人とも、同じ力を持つ魔法にかかっていたからである。
The astonished Helena thought that Demetrius, Lysander, and her once dear friend Hermia were all in a plot together to make a jest of her.	ヘレナは驚き、ディミートリアスもライサンダーも、かって親友だったハーミアまでがみんなしめし合わせて彼女をからかっていると思った。
Hermia was as much surprised as Helena;	ハーミアもヘレナ同様たいそう驚いた。
she knew not why Lysander and Demetrius, who both before loved her, were now become the lovers of Helena,	彼女は、なぜ以前はともに自分を愛してくれた、ライサンダーとディミートリアスが、今ではヘレナの恋人となっているのか分からなかった。
and to Hermia the matter seemed to be no jest.	ハーミアにとっては、ことは冗談に見えなかった。
The ladies, who before bad always been the dearest of friends, now fell to high words together.	以前はいつも仲良しだった２人の娘は、今や激論を始めていた。
"Unkind. Hermia,"	「ひどいわ、ハーミア。」
said Helena,	ヘレナは言った。
"it is you have set Lysander on to vex me with mock praises;	「あなた、ライサンダーに、私をからかい半分に褒めそやすようにけしかけたのね。
and your other lover, Demetrius, who used almost to spurn me with his foot, have you not bid him call me goddess, nymph, rare, precious, and celestial?	あなたのもう１人の恋人だったディミートリアスにも、以前は私を足げにせんばかりだったのに、私を絶世の、気高く美しい、この世のものならぬ女神だ、ニンフだと呼ぶように、あなたがいいつけたのでしょう？
He would not speak thus to me, whom he hates,	彼はそんなふうに私を呼ばないわ、私は彼にきらわれているのよ。
if you did not set him on to make a jest of me.	あなたが言わなかったらこんな冗談言わないわ。
Unkind Hermia, to join with men in scorning your poor friend.	あなたはひどい人ね、男たちといっしょになって、みじめな親友を笑いものにするなんて。
Have you forgot our schoolday friendship?	学校時代にはあんなに友情を誓ったじゃない。忘れてしまったの、ハーミア？
How often, Hermia, have we two, sitting on one cushion, both singing one song, with our needles working the same flower, both on the same sampler wrought;	私たち、よく２人いっしょにひとつのクッションに座って、歌を歌って、ひとつ花を２人で針で刺しながら、同じお手本を見ながら作ったじゃないの。
growing up together in fashion of a double cherry, scarcely seeming parted!	赤の他人とも思えない、双子の桜ん坊みたいに育ったじゃない。
Hermia, it is not friendly in you,	ハーミア、それはいじわるよ。
it is not maidenly to join with men in scorning your poor friend."	男性たちといっしょになってあわれな友達をからかうなんて、慎みに欠けるんじゃない。」
"I am amazed at your passionate words,"	「そんなに怒った言い方をするなんて驚きですわ。」
said Hermia:	ハーミアは言った。
"I scorn you not;	「私はあなたをからかいなどしませんわ。
it seems you scorn me."	あなたこそ私を馬鹿にしているようね。」
"Aye, do,"	「ああ、そう。」
returned Helena,	ヘレナは言い返した。
"persevere,	「いつまでもやるがいいわ。
counterfeit serious looks, and make mouths at me when I turn my back;	深刻そうな顔をして、私が後ろを向いたらそれ見たかって顔をするんでしょう。
then wink at each other, and hold the sweet jest up.	なら、あなた達どうしで結構な軽口でも言ってなさい。
If you had any pity, grace, or manners, you would not use me thus."	あなたに同情心や気品やマナーが身についているなら、私をこんな目にあわせたりしないでしょうよ。」
While Helena and Hermia were speaking these angry words to each other, Demetrius and Lysander left them,	ヘレナとハーミアがこんな口論をかわしているうちに、ディミートリアスとライサンダーはいなくなってしまった。
to fight together in the wood for the love of Helena.	ヘレナの愛をかけて、２人で決闘しようということになったのだ。
When they found the gentlemen had left them, they departed, and once more wandered weary in the wood in search of their lovers.	２人は男たちがいなくなってしまったことに気づき、そこを立ち去って、再び恋人を捜しに森の中へあてもなく入っていった。
As soon as they were gone	娘たちがいってしまうと、
the fairy king, who with little Puck had been listening to their quarrels, said to him,	妖精《フェアリー》の王はパックに問いただした。２人はこれらの争いをみな聞いていたのだ。
"This is your negligence, Puck;	「これはお前の手抜かりだよ、パック。
or did you do this wilfully?"	それとも、わざとこうしたのかね。」
"Believe me, king of shadows,"	「とんでもありません、王様。」
answered Puck,	パックは答えた。
"it was a mistake.	「何かの間違いです。
Did not you tell me I should know the man by his Athenian garments?	あなたはアテネふうの着物でその人が分かるとおっしゃいませんでしたか。
However, I am not sorry this has happened,	けど、こうなっても悪いなとは私は思いませんね。
for I think their jangling makes excellent sport."	２人のけんかはとびきりの気晴らしですよ。」
"You heard,"	「お前も聞いただろうが。」
said Oberon,	オーベロンは言った。
"that Demetrius and Lysander are gone to seek a convenient place to fight in.	「ディミートリアスとライサンダーは、決闘に好都合な場所を探しに行ってしまった。
I command you	お前に命ずる。
to overhang the night with a thick fog, and lead these quarrelsome lovers so astray in' the dark that they shall not be able to find each other.	夜を濃霧で包み、決闘をしにいった２人の恋人たちを道に迷わせ、互いに相手を見つけられないようにしなさい。
Counterfeit each of their voices to the other, and with bitter taunts provoke them to follow you, while they think it is their rival's tongue they hear.	２人の声をまねて、ののしって２人を怒らせて、お前の後をつけさせて、自分は敵が言った悪口を聞いていると思わせるんだ。
See you do this, till they are so weary they can go no farther;	２人がへとへとになって動けなくなるまで続けるんだ。
and when you find they are asleep, drop the juice of this other flower into Lysander's eyes,	それで、彼らが眠ったら、この、別の花の汁をライサンダーの目に垂らすのだ。
and when he awakes he will forget his new love for Helena, and return to his old passion for Hermia;	目が覚めたら、ヘレナへの新しい愛情はさめて、ハーミアに対する以前の愛情を思い出すだろう。
and then the two fair ladies may each one be happy with the man she loves	それで、２人の美人は、それぞれ恋人といっしょになって幸せになるさ。
and they will think all that has passed a vexatious dream.	過去のことは一場の悪夢だと思うよ。
About this quickly, Puck,	すぐとりかかるんだ、パック。
and I will go and see what sweet love my Titania has found."	私は、ティターニアが何を恋人にしたのか見にいくことにする。」
Titania was still sleeping,	ティターニアはまだ眠っていた。
and Oberon, seeing a clown near her who had lost his way in the wood and was likewise asleep,	オーベロンは、彼女のそばに、森の中で道に迷って、同じように眠ってしまったいなか者がいるのを見て、
