The Cask of Amontillado	アモンティリャードの酒樽
but in the matter of old wines he was sincere.	だが、古酒のこととなると本当に真剣なのだ。
In this respect I did not differ from him materially: I was skillful in the Italian vintages myself,	私も古酒についてはかなりうるさいほうでフォーチュネートに劣ることはないと思っている。
and bought largely whenever I could.	機会があればいつも大量に買い込んでいた。
It was about dusk, one evening during the supreme madness of the carnival season,	あれはカルナバーレの狂乱もたけなわのある夕暮れ、辺りが暗くなりかけた頃だった。
that I encountered my friend.	偶然フォーチュネートに出くわしたのだ。
He accosted me with excessive warmth, for he had been drinking much.	かなり酒が入っていたようで、やけに親しげにフォーチュネートのほうから声をかけてきた。
The man wore motley.	彼は道化師の身なりをしており、
He had on a tight-fitting parti-striped dress, and his head was surmounted by the conical cap and bells.	身体にぴたりとはりついたまだらの縞の服を着て、鈴のついたとんがり帽子をかぶっていた。
I was so pleased to see him, that I thought I should never have done wringing his hand.	私は獲物に出会えた嬉しさに、握ったフォーチュネートの手をこのまま絶対離すものかと思った。
"My dear Fortunato, you are luckily met.	「フォーチュネート君か、いやあ、実にいいところで会えたよ。
How remarkably well you are looking to-day!	それにしても今日の格好はまた見事に君に似合ってるじゃないか！
But I have received a pipe of what passes for Amontillado, and I have my doubts."	そうそう、そんなことより、アモンティリャードだという酒樽を手にいれたんだがそれがどうも胡散臭くてね」
"How?"	「何だって？
"Amontillado?	アモンティリャード？
A pipe?	酒樽だって？
Impossible!	まさか！
And in the middle of the carnival!"	カルナバーレの真っ最中に？」
"I have my doubts,"	「だからおかしいんだ。
"and I was silly enough to pay the full Amontillado price without consulting you in the matter.	こういう話を君に相談もせずにアモンティリャード一樽分の代金を払ってしまったなんてまったくどうかしてたよ。
You were not to be found, and I was fearful of losing a bargain."	でも君は何処にいるのかわからないし、かといってせっかくの掘り出し物を買いそびれたら損じゃないか」
"Amontillado!"	「アモンティリャード！」
"I have my doubts."	「だから疑ってるんだ」
"Amontillado!"	「アモンティリャードだって！」
"And I must satisfy them."	「だからそれをはっきりさせなきゃならないんだ」
"Amontillado!"	「アモンティリャード！」
"As you are engaged, I am on my way to Luchesi.	「君は忙しそうだから、僕はルクレシのところへ行く途中なんだ。
If any one has a critical turn, it is he.	他に利き酒ができる者といったら、そりゃルクレシだろ。
He will tell me--"	きっと彼なら教えてくれる・・・」
"Luchesi cannot tell Amontillado from Sherry."	「ルクレシなんかにシェリー酒の違いがわかるわけがない」
"And yet some fools will have it that his taste is a match for your own."	「でも彼の舌は君に匹敵すると言い張ってる馬鹿な連中がいまだにいてね」
"Come, let us go."	「そうか、よし、それなら行こうじゃないか」
"Whither?"	「どこへ？」
"To your vaults."	「君の館の酒蔵にきまってるじゃないか」
"My friend, no.	「それはいけない。
It is not the engagement,	君と約束もしていないのに。
but the severe cold with which I perceive you are afflicted.	それにひどい風邪をひいてるようじゃないか。
The vaults are insufferably damp.	地下の酒蔵はそりゃひどい湿気で、
They are encrusted with nitre."	辺り一面硝石だらけなんだ」
"Let us go, nevertheless.	「そんなことはいいから、さあ、行こう。
The cold is merely nothing.	風邪はもう何ともないんだ。
Amontillado!	アモンティリャードだって！
You have been imposed upon.	君は騙されたんだよ。
And as for Luchesi, he cannot distinguish Sherry from Amontillado."	だいたいルクレシにシェリー酒を飲ませたところでどれがアモンティリャードかわかるわけはないんだ」
Thus speaking, Fortunato possessed himself of my arm.	と言うや、今度はフォーチュネートのほうが腕を掴んできた。
Putting on a mask of black silk, and drawing a roquelaire closely about my person,	私は絹の黒い仮面をつけ、身体に巻き付くくらい外套を引き寄せた。
I suffered him to hurry me to my palazzo.	早く早くとフォーチュネートにせかされるまま館へと戻ってきたのである。
There were no attendants at home;	館には誰も残っていなかった。
they had absconded to make merry in honour of the time.	召使い達は皆、カルナバーレを祝って浮かれ騒ごうとどこかへ出かけてしまっていたのだ。
I had told them that I should not return until the morning, and had given them explicit orders not to stir from the house.	私は朝まで戻らないから誰も出かけてはならんと召使い達に言い聞かせておいた。
These orders were sufficient, I well knew, to insure their immediate disappearance, one and all, as soon as my back was turned.	そう言うだけでことは足りる。
I took from their sconces two flambeaux, and giving one to Fortunato,	私は召使い部屋の突き出し燭台から灯りのともった燭台を２本とり、フォーチュネートに１本を渡した。
bowed him through several suites of rooms to the archway that led into the vaults.	部屋をいくつも通り抜け、私は頭を低くして地下の酒蔵へ続くアーチ道へ彼を案内した。
I passed down a long and winding staircase, requesting him to be cautious as he followed.	私の後についてくるフォーチュネートに足もとに気を付けるよう注意し、長い螺旋階段を降りていった。
We came at length to the foot of the descent, and stood together on the damp ground of the catacombs of the Montresors.	ようやく足が一番下の地面を踏んだのであるが、２人が着いた所はじめじめとしたモントレソール家のカタコンベ（地下墓地）であった。
The gait of my friend was unsteady, and the bells upon his cap jingled as he strode.	足場が悪いのかフォーチュネートはしっかり歩けないようで、一歩動くたびに帽子の鈴がちりんと音をたてるのである。
"The pipe,"	「樽は」
said he.	とフォーチュネートがきいた。
"It is farther on,"	「もっと奥だ。
"but observe the white web-work	ところで、ほら見てご覧よ。
which gleams from these cavern walls."	白い蜘蛛の巣を張り巡らしたように洞窟の壁という壁が煌めいているだろ」
He turned towards me, and looked into my eyes with two filmy orbs that distilled the rheum of intoxication.	フォーチュネートは振り向いて私の目をのぞき込んだのであるが、酒が回っているせいでその２つの眼球はぼうっと霞み涙がしたたり落ちていた。
"Nitre?"	しばらくして
he asked, at length.	「硝石か？」
"Nitre,"	「そう、硝石だ」
I replied.	と答えた。
"How long have you had that cough?"	「ところでいつから風邪をひいているんだい？」
"Ugh! ugh! ugh!--ugh! ugh! ugh!--ugh! ugh! ugh!--ugh! ugh! ugh!--ugh! ugh! ugh!"	「うほっ！うほっ！うぐっ！うほっ！ぐふ！ぐふ！ぐふ！ぐふ！うふっ！うふっ！ぐふっ！ぐふっ！ぐふっ！ぐふっ！」
My poor friend found it impossible to reply for many minutes.	気の毒に、私の友人はしばらく返事をすることも出来なかったのだ。
"It is nothing,"	「もう良くなってる」
he said, at last.	やっと返事が返ってきた。
"Come,"	「さあ、」
I said, with decision,	と私は切り出した。
"we will go back;	「もう引き返したほうがいいよ。
your health is precious.	身体を大切にしないとだめだ。
You are rich, respected, admired, beloved;	君には財産もあるし、それに大勢の人が君のことを尊敬して賞賛しているじゃないか。
you are happy,	君は幸せな人だよ。
as once I was.	そういう僕も昔はそうだったけど。
You are a man to be missed.	君はなくてはならない人なんだよ。
For me it is no matter.	僕なんてどうなったてかまやしない。
We will go back;	さあ、もう帰ろう。
you will be ill, and I cannot be responsible.	君は病気なんだから、何かあったら僕には責任がとれない。
Besides, there is Luchesi--"	君のかわりにルクレシが・・・」
"Enough,"	「もう結構だ。
"the cough is a mere nothing;	こんな咳、たいしたことじゃない。
it will not kill me.	死んだりなんかするものか。
I shall not die of a cough."	咳ぐらいで死ぬわけがないだろ」
"True--	「それもそうだ。
true,"	全くその通りだ」
I replied;	と私はうなずいた。
"and, indeed, I had no intention of alarming you unnecessarily--	「君によけいな事を言って不安にさせてやろうなんてつもりじゃないんだ。
but you should use all proper caution.	でも用心するに越したことはない。
A draught of this Medoc will defend us from the damps."	このメドックでも一杯飲んで湿気予防といこうじゃないか」
Here I knocked off the neck of a bottle which I drew from a long row of its fellows that lay upon the mould.	私はかびにまみれたワイン庫の一番下の列から一本を引き抜き、瓶の首をぽんとはじき飛ばした。
"Drink,"	「さあ、一杯」
I said, presenting him the wine.	といって私は彼にメドックの瓶を差し出した。
He raised it to his lips with a leer.	フォーチュネートは横目でこちらを見ながら瓶をくちもとまでもってきた。
He paused and nodded to me familiarly, while his bells jingled.	少しためらった後、親しげに私にうなずき、帽子の鈴がちりんと鳴った。
"I drink,"	「よし、飲もう、
"to the buried that repose around us."	ここに眠る者たちの冥福を祈って乾杯だ」
"And I to your long life."	「それじゃあ僕は君の長生きを願って」
He again took my arm, and we proceeded.	それからまたフォーチュネートは私の腕を掴み、共に奥へと向かった。
"These vaults,"	「この地下墓地はずいぶん広いんだな」
he said,	とフォーチュネートが言った。
"The Montresors," I replied, "were a great and numerous family."	「モントレソール家は何代も続いてきた家柄だからね」
"I forget your arms."	「君の家の紋章を忘れてしまったな」
"A huge human foot d'or, in a field azure;	「紺地に金色の巨大な人間の足、
the foot crushes a serpent rampant whose fangs are imbedded in the heel."	怒り狂ってかかとに食らいついてきた海蛇を足で押しつぶしている図案が我が家の紋章だ」
"And the motto?"	「で、その銘はなんていう？」
" Nemo me impune lacessit."	「Nemo me impune lacessit,我に牙を剥く者、何人といえど罰を免れる者無し」
"Good!"	「ほう、なるほど！」
The wine sparkled in his eyes and the bells jingled.	フォーチュネートの瞳の奥でワインが輝き、帽子の鈴がちりんと鳴った。
My own fancy grew warm with the Medoc.	今飲んだメドックのせいで私の空想が次第に過激なものになっていった。
We had passed through walls of piled bones, with casks and puncheons intermingling, into the inmost recesses of catacombs.	私達は骨が積みあげられ大小の酒樽が混在している壁のあいだを通り抜けカタコンベの最奥部に入った。
I paused again, and this time I made bold to seize Fortunato by an arm above the elbow.	そこで私はまた立ち止まり、今度はフォーチュネートの肘の上の辺をがばっと掴んだ。
"The nitre!"	「硝石だ！
"see, it increases.	ほら、だんだんひどくなっている。
It hangs like moss upon the vaults.	苔のようにびっしりだ。
We are below the river's bed.	ここは河床より下なんだよ。
The drops of moisture trickle among the bones.	水滴がたれて骨の隙間に入り込んできてるだろ。
Come, we will go back ere it is too late.	さあ、手遅れにならないうちに引き返したほうがいい。
Your cough--"	君の咳が・・・」
"It is nothing,"	「咳なんてどうってことはない。
"let us go on.	さあ、行こう。
But first, another draught of the Medoc."	いや、その前にメドックをもう一杯」
I broke and reached him a flagon of De Grave.	私はデ・グレーブの大瓶の口栓をぬいてフォーチュネートに渡した。
He emptied it at a breath.	するとフォーチュネートはそれを一息で飲み干してしまった。
His eyes flashed with a fierce light.	彼の目が険しさを帯びて光っている。
He laughed and threw the bottle upwards with a gesticulation I did not understand.	彼は笑いながら何かの身振りを交えて酒瓶を上の方に放り投げたのだがそれが何を意味する身振りなのか私にはわからなかった。
I looked at him in surprise.	フォーチュネートは驚いたような顔で私を見た。
He repeated the movement--	そしてまた同じことを繰り返した。
a grotesque one.	それがまた何とも奇妙な動きなのだ。
"You do not comprehend?"	「おい、わからないのか？」
he said.	とフォーチュネートが問うた。
"Not I,"	「何なんだ？」
"Then you are not of the brotherhood."	「それじゃぁ君は同士じゃないのか？」
"How?"	「何の？」
"You are not of the masons."	「君はメイスンの会員ではないわけだ」
"Yes, yes," I said; "yes, yes."	「いや、いや、会員だ、会員だとも」
"You?	「君が？
Impossible!	まさか！
A mason?"	メイスンだって？」
"A mason,"	「うそじゃない」
I replied.	と私は答えた。
"A sign," he said, "a sign."	「なら、証をみせてくれ」
"It is this,"	「これがそうだ」
I answered, producing a trowel from beneath the folds of my roquelaire.	と言って私は外套の下から鏝(こて)を取り出して見せた。
"You jest,"	フォーチュネートは
he exclaimed,	「ふざけているのか」
recoiling a few paces.	２〜３歩後ずさりした。
"But let us proceed to the Amontillado."	「そんなことよりとにかくアモンティリャードの所へ行こう」
"Be it so,"	「そうするとしようか」
I said, replacing the tool beneath the cloak and again offering him my arm.	と答え、外套の下に鏝をしまってフォーチュネートに私の腕をとらせた。
He leaned upon it heavily.	彼の重みが腕にずっしりとくる。
We continued our route in search of the Amontillado.	そうして２人はアモンティリャードを目指して先に進んだ。
We passed through a range of low arches, descended, passed on, and descending again, arrived at a deep crypt,	頭にすれすれのアーチ道を抜け、道を下り、さらに奥へと進み、また下り、たどり着いたのは奥行きのある穴蔵であった。
in which the foulness of the air caused our flambeaux rather to glow than flame.	澱んだ空気が辺りに漂い燭台の火は燃え上がりもせずただぎらつくだけであった。
At the most remote end of the crypt there appeared another less spacious.	穴蔵の一番奥の端に此処より狭い穴がみえる。
Its walls had been lined with human remains, piled to the vault overhead, in the fashion of the great catacombs of Paris.	その壁には人間の遺骨が天井まで積み上げられ、パリのカタコンベを模倣したような作りとなっていた。
Three sides of this interior crypt were still ornamented in this manner.	三方の壁もやはり同じように骨が積み上がっている。
From the fourth side the bones had been thrown down, and lay promiscuously upon the earth, forming at one point a mound of some size.	が、４つ目の壁の前だけは大小様々な骨が投げ捨てられて無造作に地面に転がっており人骨の小山が出来ていた。
Within the wall thus exposed by the displacing of the bones,	骨が取り外され剥き出しになった壁面にさらに凹んだ箇所があるのだ。
we perceived a still interior recess, in depth about four feet in width three, in height six or seven.	幅９０センチ、奥行き1.2メートル、高さが２メートルほどの窪みで
It seemed to have been constructed for no especial use within itself,	どうやらこれは何か特別な目的があって作られたものではないらしい。
but formed merely the interval between two of the colossal supports of the roof of the catacombs, and was backed by one of their circumscribing walls of solid granite.	そこはカタコンベの天井を支えている巨大な柱と柱の隙間になっており、奥はこのカタコンベの外壁である頑丈な花崗岩で塞がれていた。
It was in vain that Fortunato, uplifting his dull torch, endeavoured to pry into the depth of the recess.	フォーチュネートが奥を覗いてみようとくすんだ灯りを持ち上げたのであるがどうにもならなかった。
Its termination the feeble light did not enable us to see.	こんなに弱い光では何も見えなかったのだ。
"Proceed,"	「さあ、こっちだ。
"herein is the Amontillado.	この奥にアモンティリャードがある。
As for Luchesi--"	それでルクレシのこと・・・」
"He is an ignoramus,"	「ルクレシに何ができる」
interrupted my friend,	とフォーチュネートが言葉を遮った。
as he stepped unsteadily forward, while I followed immediately at his heels.	フォーチュネートが先にたっておぼつかない足取りで隙間に入り私はすぐに後に続いた。
In an instant he had reached the extremity of the niche, and finding his progress arrested by the rock, stood stupidly bewildered.	中に入って数歩も行かないうちに行き止まりとなり周りを岩に囲まれて先に進むことが出来ずフォーチュネートはそこに馬鹿みたいに突っ立っているだけだった。
A moment more and I had fettered him to the granite.	と、すかさず私はフォーチュネートを花崗岩にしばりつけた。
In its surface were two iron staples, distant from each other about two feet, horizontally.	その岩には６０センチの間隔をおいて左右に鉄の鎹(かすがい)が打ち込んであり、
From one of these depended a short chain, from the other a padlock.	一方の鎹からは短い鎖がたれており、もう片方の鎹には南京錠がぶら下がっている。
Throwing the links about his waist, it was but the work of a few seconds to secure it.	フォーチュネートの腰に鎖を回し南京錠をかけてしまうのにものの数分もかからなかった。
He was too much astounded to resist.	彼はあっけにとられて抵抗もしなかった。
Withdrawing the key I stepped back from the recess.	それから私は南京錠の鍵をはずして隙間からでた。
"Pass your hand,"	「撫でてみろよ。
"over the wall;	壁の表面さ。
you cannot help feeling	感触でわかるだろ。
the nitre.	硝石だよ。
Indeed, it is very damp.	まったくここの湿気はひどいものだ。
Once more let me implore you to return.	もう一度言うけど、引き返そうじゃないか。
No?	なに、嫌だって？
Then I must positively leave you.	それじゃあ仕様がない。
But I must first render you all the little attentions in my power."	だけどまず注意だけはしておくよ。
"The Amontillado!"	「アモンティリャードはどこにある！」
ejaculated my friend, not yet recovered from his astonishment.	と驚きから覚めやっていないフォーチュネートが不意に叫んだ。
"True,"	「おお、そうだった。
I replied;	アモンティリャードだったね」
"the Amontillado."	と答えた。
As I said these words I busied myself among the pile of bones of which I have before spoken.	そう言ってから、私は前に話した人骨の山をせっせとかき分け始めた。
Throwing them aside, I soon un-covered a quantity of building stone and mortar.	骨を脇に除けると中から建築用の石材とモルタルがどっさりと出てきた。
With these materials and with the aid of my trowel, I began vigorously to wall up the entrance of the niche.	この材料と持参した鏝を使って隙間の入り口を塞ぐ壁を作るのに精をだした。
I had scarcely laid the first tier of the masonry when I discovered that the intoxication of Fortunato had in a great measure worn off.	フォーチュネートの酔いが全ど醒めたなと解ったのは石材を一段積み終えるぐらいの時だった。
The earliest indication I had of this was a low moaning cry from the depth of the recess.	はじめにそれに気づいたのは隙間の奥から低いうなり声が聞こえてきたからだ。
It was not the cry of a drunken man.	その声は酔っぱらいのうめき声ではなかった。
There was then a long and obstinate silence.	その後はこちらが根負けしてしまうくらい長い間、沈黙が続いた。
I laid the second tier, and the third, and the fourth;	私は２段目を積み終わり３段目、４段目と積み上げていったとき、
and then I heard the furious vibrations of the chain.	鎖をがむしゃらに揺すっている音が聞こえてきた。
The noise lasted for several minutes, during which, that I might hearken to it with the more satisfaction, I ceased my labours and sat down upon the bones.	音は数分続いただろうか、私はますます嬉しくなってきてその音をよく聞こうと仕事の手を休め人骨の上に腰掛けた。
When at last the clanking subsided, I resumed the trowel, and finished without interruption the fifth, the sixth, and the seventh tier.	やがてがちゃがちゃと鎖を揺する音もしなくなってきたので、また鏝を取って５段目、６段目、７段目と一気に仕上げた。
The wall was now nearly upon a level with my breast.	壁の高さはもう私の胸ぐらいの高さまで積み上がっていた。
I again paused, and holding the flambeaux over the mason-work, threw a few feeble rays upon the figure within.	ここでまた少し作業を中断して積み上げた石の上のほうに灯りを掲げ奥にいる人影に弱々しい光を当てた。
A succession of loud and shrill screams, bursting suddenly from the throat of the chained form, seemed to thrust me violently back.	と、その途端、立て続けに発せられる大きく甲高い叫び声、鎖に繋がれた男の咽喉からいきなり発せられた声で私は激しく後ろに引き戻されたような気がした。
For a brief moment I hesitated--	ほんのつかの間、そこから動けなかった。
I trembled.	身体が震えたのだ。
Unsheathing my rapier, I began to grope with it about the recess;	私は腰の刀剣を抜いてその剣先で穴のなかを探ってみた。
but the thought of an instant reassured me.	だがすぐに私は胸を撫で下ろした。
I placed my hand upon the solid fabric of the catacombs, and felt satisfied.	カタコンベの硬い岩肌に手をおき、やがて不安は消えていった。
I reapproached the wall;	私はまた塞ぎかけの壁に近づき、
I replied to the yells of him who clamoured.	中で大声でわめいている男の声に応じてやった。
I re-echoed-- I aided--	相手と同じように大声をあげ、そしてもっと叫ばせるように。
I surpassed them in volume and in strength.	相手よりももっと大きくもっと強く叫んでやったのだ。
I did this, and the clamourer grew still.	私がそうすると、じきにうめき声が止んだ。
It was now midnight, and my task was drawing to a close.	時刻は真夜中、私の仕事も仕上げの段階に入っていた。
I had completed the eighth,	８段目が完成した。
the ninth, and the tenth tier.	９段目、１０段目も終わった。
I had finished a portion of the last and the eleventh;	最後の１１段目も大方終わり、
there remained but a single stone to be fitted and plastered in.	あと一つだけ石を置いて漆喰で固めれば完成である。
I struggled with its weight;	重い石をあらん限りの力を込めてやっとのことで持ち上げ、
I placed it partially in its destined position.	最後の位置に石を置きかけたときだった。
But now there came from out the niche a low laugh	壁の隙間から低い笑い声が聞こえてくるではないか。
that erected the hairs upon my head.	髪の毛が逆立つような気がした。
It was succeeded by a sad voice, which I had difficulty in recognizing as that of the noble Fortunato.	笑い声は哀れな泣き声に変わり、これがあの気位の高いフォーチュネートの発する声だとは到底思えなかった。
The voice said--	その声はこう言っている。
"Ha! ha! ha!--	「は！は！は！
he! he! he!--	ひ！ひ！ひ！
a very good joke indeed--	まったく上手い冗談だ、まいったよ、
an excellent jest.	実に見事だ。
We shall have many a rich laugh about it at the palazzo--	館に戻って２人で大笑いしようじゃないか。
he! he! he!--	ひ！ひ！ひ！
over our wine--	一杯やりながらね。
he! he! he!"	ひ！ひ！ひ！」
"The Amontillado!"	「アモンティリャードでね」
I said.	と答えてやった。
"He! he! he!--	「ひ！ひ！ひ！
he! he! he!--	へ！へ！へ！
yes, the Amontillado.	その通り、アモンティリャードで乾杯だ。
But is it not getting late?	だけど帰る時間に遅れてやしないか？
Will not they be awaiting us at the palazzo, the Lady Fortunato and the rest?	君の奥方とか、みんな僕たちの帰りを待ちわびているだろうに。
Let us be gone."	さあ、そろそろ帰ろうよ」
"Yes," I said, "let us be gone."	「よし、それじゃぁ帰ろうか」
" For the love of God, Montresor!"	「モントレソール君、頼むからそうしよう」
"Yes,"	「いいとも、そうしようじゃないか」
I said,	と私は言ったのだが、
But to these words I hearkened in vain for a reply.	その返事はいくら耳をすましてもいつまで経っても返ってこない。
I grew impatient.	私は我慢できなくなって
I called aloud--	大声で
"Fortunato!"	「フォーチュネート」
No answer.	返事はない。
I called again--	もう一度呼んだ。
"Fortunato--"	「フォーチュネート」
No answer still.	やはり返事はなかった。
I thrust a torch through the remaining aperture and let it fall within.	私は仕上げの終わっていない壁の隙間から灯りを差し込んで中に落とした。
There came forth in reply only a jingling of the bells.	それに答えて聞こえてきたのはちりんという鈴の音だけであった。
My heart grew sick on account of the dampness of the catacombs.	カタコンベの湿気にやられて胸が苦しくなってきた。
I hastened to make an end of my labour.	私は急いで最後の仕上げに取りかかった。
I forced the last stone into its position; I plastered it up.	最後の石をはめ込み上から漆喰で固めた。
Against the new masonry I re-erected the old rampart of bones.	新しくできあがった壁に古い骨を塁壁のように元通りに積みあげておいた。
For the half of a century no mortal has disturbed them.	あれからすでに５０年、あの壁を取り壊した者は誰もいない。
In pace requiescat!	今は亡き我が友よ、安らかに眠れ！ 終
Nemo me impune Lacessit:No one injures (attacks) me with impunity.	カルナバーレ：カーニバル。
