Lappin And Lapinova	ラピンとラピノヴァラピンとラピノヴァ
he twitched it on purpose.	わざとやってみせた。
And she laughed and laughed;	ロザリンドは笑い転げた。
and he laughed too,	アーネストも笑い出した。
so that the maiden ladies and the fishing man and the Swiss waiter in his greasy black jacket all guessed right; 	それを見て、メイドたちも釣り人たちも脂じみた黒いジャケットを着たスイス人のウェイターもみな正しい推測を下した。
they were very happy.	2人はとてもしあわせなのだと。
But how long does such happiness last?	けれども、そういうしあわせはいつまで保（も）つものか？
they asked themselves; and each answered according to his own circumstances.	それぞれが、それぞれの身の上に応じた答えをはじきだした。
At lunch time, seated on a clump of heather beside the lake,	昼食時、湖のそばにあったヒースの茂みに席をしつらえ、
“Lettuce, rabbit?”	「レタスはどう、うさぎさん？」
said Rosalind, holding out the lettuce that had been provided to eat with the hardboiled eggs.	と言って固ゆで卵に添えられていたレタスをさしだした。
“Come and take it out of my hand,”	「さあおいで、手からとってちょうだい」
she added, and he stretched out and nibbled the lettuce and twitched his nose.	とロザリンドが言い、アーネストは背伸びしてレタスを食み、鼻をひくつかせた。
“Good rabbit, nice rabbit,”	「よしよし、いい子だね」
she said, patting him, as she used to pat her tame rabbit at home.	そう言ってロザリンドは、かつて飼っていたうさぎをなでてやったように、アーネストをなでた。
But that was absurd.	だが、それはばかげたことだった。
He was not a tame rabbit, whatever he was.	アーネストがなんであるにせよ、けっして飼いならされたうさぎではなかった。
She turned it into French.	ロザリンドはフランス語にしてみた。
“Lapin,”	「ラパン」
she called him.	とかれを呼んだ。
wBut whatever he was, he was not a French rabbit.	だが、アーネストがなんであるにせよ、フランスのうさぎではなかった。
He was simply and solely English――	かれはどうみてもイギリス人だ――
born at Porchester Terrace, educated at Rugby; now a clerk in His Majesty’s Civil Service.	ポーチェスターテラス生のラグビー卒、今は国家公務員。
So she tried “Bunny” next;	だから、次に彼女は「バニー」としてみた。
but that was worse.	が、これはもっとひどい。
“Bunny” was someone plump and soft and comic;	「バニー」というと、太っていてぶよぶよしているコミカルな人物、といった感じ。
he was thin and hard and serious.	アーネストは痩せていてたくましくて、シリアスだ。
Still, his nose twitched.	なのに、その鼻はひくつく。
“Lappin,”	「ラピン」。
she exclaimed suddenly;	ふと彼女は大声で言った。
and gave a little cry as if she had found the very word she looked for.	まるで探していたまさにその言葉を探りあてたかのように小さな叫び声をあげた。
“Lappin, Lappin, King Lappin,”	「ラピン、ラピン、ラピン王」
she repeated.	と繰り返す。
It seemed to suit him exactly;	それはかれにぴったりおさまるように思えた。
he was not Ernest, he was King Lappin.	かれはアーネストではなく、ラピン王だ。
Why?	どうして？
She did not know.	ロザリンドには分からなかった。
When there was nothing new to talk about on their long solitary walks――and it rained, as everyone had warned them that it would rain;	人気のない場所を話すこともなく長々と散歩したり、みなが口を揃えて雨になるだろうと言ったそのとおりに雨が降ったりしたとき、
or when they were sitting over the fire in the evening, for it was cold, and the maiden ladies had gone and the fishing man, and the waiter only came if you rang the bell for him, she let her fancy play with the story of the Lappin tribe.	あるいは、肌寒さゆえに暖炉にあたりながら椅子に腰掛け、メイドの姿も釣り人の姿も見えず、ただウェイターだけがベルを鳴らしさえすればくるといった夕べには、彼女はラピン族の物語の空想に遊んだ。
Under her hands――she was sewing;	手元は――縫い物をしていた。
he was reading	アーネストは新聞を読んでいた。
they became very real, very vivid, very amusing.	物語はとても現実味を帯び、とても真に迫り、愉快なものになっていった。
Ernest put down the paper and helped her.	アーネストは新聞を置き、彼女に助け船を出した。
There were the black rabbits and the red;	黒いうさぎと赤いうさぎがいた。
there were the enemy rabbits and the friendly.	敵うさぎと味方うさぎがいた。
There were the wood in which they lived and the outlying prairies and the swamp.	そこにはかれらの住む森があり、その外には草原があり、沼地があった。
Above all there was King Lappin,	何にもまして、そこにはラピン王がいた。
who, far from having only the one trick――that he twitched his nose――became as the days passed an animal of the greatest character;	かれは、日がたつにつれ、鼻がひくつくという一芸を有するどころではない、偉大な特徴を持つ動物になっていった。
Rosalind was always finding new qualities in him.	ロザリンドは、かれに新しい資質を次々に見出していった。
But above all he was a great hunter.	けれど、何にもまして、かれは偉大な狩人だった。
“And what,”	ハネムーン最終日、ロザリンドは言った。
said Rosalind, on the last day of the honeymoon,	「それで、王さまは今日なにをなさったの？」
In fact they had been climbing all day;	現実的には、2人はその日一日中山登りをして過ごし、
and she had worn a blister on her heel;	そのせいでロザリンドは踵（かかと）に肉刺（まめ）を作っていたのだが、
but she did not mean that.	そのことを尋ねたのではなかった。
“To―day,”	「今日かれは」
said Ernest, twitching his nose as he bit the end off his cigar,	と、アーネストは葉巻の端を噛みきりながら鼻をひくつかせた。
“he chased a hare.”	「野うさぎを追いかけた」
He paused;	そこで間をおき、
struck a match, and twitched again.	マッチを擦り、もういちど鼻をひくつかせる。
“A woman hare,”	「女の野うさぎを」
“A white hare!”	「白い野うさぎね？」
Rosalind exclaimed,	とロザリンドは叫んだ。
as if she had been expecting this.	まるでそれをずっと待ち望んでいたかのように。
“Rather a small hare; silver grey; with big bright eyes?”	「小さめの野うさぎ、シルバーグレイの、大きくて綺麗な目をしている？」
“Yes,”	「そう」
said Ernest, looking at her as she had looked at him,	と、以前ロザリンドから受けたような眼差しを返して、言った。
“a smallish animal;	「小さなやつだよ。
with eyes popping out of her head, and two little front paws dangling.”	目が少し飛び出した感じで、小さな前足をだらんとさせている」
It was exactly how she sat,	まさしくそのとおりに彼女は椅子に座っていた。
with her sewing dangling in her hands;	縫い物をしている両手をだらりとさせて。
and her eyes, that were so big and bright, were certainly a little prominent.	それに目も、とても大きくて綺麗な目だったので、たしかに少し浮きあがっていた。
“Ah, Lapinova,”	「ああ、ラピノヴァね」
Rosalind murmured.	ロザリンドが呟くように言った。
“Is that what she’s called?”	「そう呼ばれているのかい？」
said Ernest――	とアーネストは言った――
“the real Rosalind?”	「ほんとうのロザリンドは」
He looked at her.	かれは彼女を見た。
He felt very much in love with her.	かれは、自分は彼女をとても愛していると思った。
“Yes;	「そうよ、
that’s what she’s called,”	彼女はそう呼ばれてるの」
said Rosalind.	とロザリンドは言った。
“Lapinova.”	「ラピノヴァ」。
And before they went to bed that night it was all settled.	そしてその晩ベッドに行く前にすべてが決まった。
He was King Lappin;	かれはラピン王、
she was Queen Lapinova.	彼女はラピノヴァ女王。
They were the opposite of each other;	お互いは正反対たっだ。
he was bold and determined;	かれは勇敢で意思が強い。
she wary and undependable.	彼女は慎重で頼りない。
He ruled over the busy world of rabbits;	かれはせわしないうさぎの世界を支配していた。
her world was a desolate, mysterious place, which she ranged mostly by moonlight.	彼女の世界はうらびれた、神秘的なところで、ほとんどが月明かりの下にあった。
All the same, their territories touched;	とはいうものの、お互いの縄張りは接していた。
they were King and Queen.	2人は王と女王だった。
Thus when they came back from their honeymoon they possessed a private world, inhabited, save for the one white hare, entirely by rabbits.	こんなふうにして、ハネムーンから返ってきた後も2人は、2人の世界、ただ1羽の野うさぎを除いて、うさぎだけしか住んでいない世界を持ちつづけた。
No one guessed that there was such a place, and that of course made it all the more amusing.	誰一人としてそんな場所があるなんて思い至らなかったし、もちろん、そうであるからこそすべてがいっそう楽しかった。
It made them feel, more even than most young married couples, in league together against the rest of the world.	それは2人に、もっとも若くして結婚した夫婦さえ及びもつかないほど、他の世界に対する2人の結束を感じさせてくれた。
Often they looked slyly at each other when people talked about rabbits and woods and traps and shooting.	他人が、うさぎや森や罠や狩りについて話したとき、お互い、茶目っ気をこめて目配せしあった。
Or they winked furtively across the table when Aunt Mary said that she could never bear to see a hare in a dish――	あるいは、叔母メアリーが野うさぎの姿焼きなど耐えられないと言ったとき、テーブル越しにこっそりウインクした――
it looked so like a baby:	あまりにも幼子じみて見えたから。
or when John, Ernest’s sporting brother, told them what price rabbits were fetching that autumn in Wiltshire, skins and all.	あるいは、アーネストの兄で運動家のジョンが、この秋のウィルトシャーで、うさぎが毛皮もなにもかも含めていくらで取引されているかを教えてくれたときも。
Sometimes when they wanted a gamekeeper, or a poacher or a Lord of the Manor, they amused themselves by distributing the parts among their friends.	ときどき、森番や密漁者や荘園主が欲しくなると、共通の知人をそれらの役に割り振った。
Ernest’s mother, Mrs. Reginald Thorburn, for example, fitted the part of the Squire to perfection.	たとえば、アーネストの母ミセス・レジナルド・ソーバーンは、地主役にまさしくぴったりだった。
But it was all secret――	でも、そのすべてが秘密だった――
that was the point of it;	それが肝心なのだ。
nobody save themselves knew that such a world existed.	2人以外に、そのような世界の存在を知るものはなかった。
Without that world, how, Rosalind wondered, that winter could she have lived at all?	ロザリンドは思う。
For instance, there was the golden―wedding party, when all the Thorburns assembled at Porchester Terrace to celebrate the fiftieth anniversary of that union	たとえば、金婚式があって、ソーバーン一族がポーチェスターテラスに揃い踏みし、50回めを結婚記念日を祝った。
which had been so blessed――	それはじつに祝福された結婚で――
had it not produced Ernest Thorburn?	それがアーネスト・ソーバーンを世に送り出したのではなかったか？――
and so fruitful――	実に実りの多い結婚――
had it not produced nine other sons and daughters into the bargain, many themselves married and also fruitful?	その他9人の息子息女を世に送り出し、かれらもまた実に実り多い結婚をしたのではなかったか？
She dreaded that party.	彼女にとってあのパーティーは恐怖だった。
But it was inevitable.	けれど、それは不可避の出来事だった。
As she walked upstairs she felt bitterly that she was an only child and an orphan at that;	2階に続く階段をのぼりながら、自分がただの子どもで、まったく身寄りのない存在のように感じ、痛みをおぼえた。
a mere drop among all those Thorburns assembled in the great drawing―room with the shiny satin wallpaper and the lustrous family portraits.	まばゆいサテンの壁紙、けばけばしい家族の肖像画のある、巨大な応接間に集結したあらゆるソーバーン家一族の中に落ちた、1滴の雫（しずく）。
The living Thorburns much resembled the painted;	生けるソーバーンは絵の中のソーバーンそっくりだった。
save that instead of painted lips they had real lips;	ただ、描かれた唇の代わりに、ほんものの唇を持っている点を除けば。
out of which came jokes;	その唇からジョークが飛び出した。
jokes about schoolrooms, and how they had pulled the chair from under the governess;	勉強部屋にまつわるジョーク、腰を下ろそうとした女家庭教師の椅子をいかに引いたか。
jokes about frogs and how they had put them between the virgin sheets of maiden ladies.	蛙にまつわるジョーク、メイドたちのベッドのシーツにいかにそれを忍ばせたか。
As for herself, she had never even made an apple―pie bed.	彼女自身について言えば、アップルパイベッド（シーツを見えないように二つ折りにして、足が十分に伸ばせないようにする悪戯）すらしかけたことがなかった。
Holding her present in her hand she advanced toward her mother―in―law sumptuous in yellow satin; and toward her father―in―law decorated with a rich yellow carnation.	手に贈り物を握って、黄色いサテンのドレスで着飾った義母の前に濃い黄色いカーネーションを身につけた義父の前に、進み出た。
All round them on tables and chairs there were golden tributes,	かれらの周りでは、テーブルや椅子の上に金色の貢物が並んでいた。
some nestling in cotton wool;	木綿に包まれているもの。
others branching resplendent――candlesticks;	輝く枝状のもの――燭台。
cigar boxes;	煙草入れ。
each stamped with the goldsmith’s proof that it was solid gold, hall―marked, authentic.	いずれも、高純度の、本物の金であると保証する金細工師の銘が刻まれていた。
But her present was only a little pinchbeck box	けれど、彼女の贈り物は合金でできた小箱でしかなかった。
pierced with holes;	小孔がいくつもうがたれた箱。
an old sand caster, an eighteenth―century relic, once used to sprinkle sand over wet ink.	18世紀の遺物で、まだ乾いていないインクの上に砂を振りまくための、サンド・キャスターだ。
Rather a senseless present she felt――	無意味な贈り物だ、と彼女は思った――
in an age of blotting paper;	吸取紙のこの時代では。
and as she proffered it, she saw in front of her the stubby black handwriting in which her mother―in―law when they were engaged had expressed the hope	それを差し出しながら、自分たちが婚約したときに義母が記した希望の言葉が、今義母の前にずんぐりした黒い走り書きで表れているのが見えた。
that “My son will make you happy.”	「息子はあなたをしあわせにするでしょう」
No, she was not happy.	違う、しあわせではない。
Not at all happy.	ちっともしあわせではない。
She looked at Ernest, straight as a ramrod with a nose like all the noses in the family portraits;	彼女はアーネストを見た、槊杖（さくじょう）のように直立し、肖像画の中の鼻という鼻とまったく同じ鼻をしたかれを――
a nose that never twitched at all.	その鼻はぴくりともしなかった。
Then they went down to dinner.	それからかれらはディナーのため、下に降りた。
She was half hidden by the great chrysanthemums that curled their red and gold petals into large tight balls.	カールした赤や金の花弁が質感のある球体に見える、盛大な菊の花々に、彼女の姿はなかば隠されていた。
Everything was gold.	なにもかもが金色だった。
A gold―edged card with gold initials intertwined recited the list of all the dishes that would be set one after another before them.	複雑な意匠の金色の文字で、次から次へと運ばれることになっている料理のリストが、金縁のカードに書かれている。
She dipped her spoon in a plate of clear golden fluid.	澄んだ金色の液体に、彼女はスプーンを浸した。
The raw white fog outside had been turned by the lamps into a golden mesh that blurred the edges of the plates and gave the pineapples a rough golden skin.	外の白い霧は、ランプに照らされて金色のメッシュに変わり、皿の縁をぼかし、パイナップルの表面を金色に染めていた。
Only she herself in her white wedding dress peering ahead of her with her prominent eyes seemed insoluble as an icicle.	ただ白いウェディング・ドレスを着、少し飛び出した目で虚空を凝視する彼女一人が、氷柱（つらら）のような、融解しないもののように思えた。
As the dinner wore on, however, the room grew steamy with heat.	ところが、ディナーの進行にともなって部屋には熱がこもり、蒸し暑くなっていった。
Beads of perspiration stood out on the men’s foreheads.	玉の汗が男たちの額に浮かぶ。
She felt that her icicle was being turned to water.	彼女は、自分の氷柱が水に変わっていく気がした。
She was being melted;	溶けている。
dispersed;	霧消する。
dissolved into nothingness;	無へと融解していく。
and would soon faint.	気を失うのも遠くはないだろう。
Then through the surge in her head and the din in her ears she heard a woman’fs voice exclaim,	鈍磨した思考と耳鳴りの中、女性の金切り声を聞いた、
“But they breed so!”	「でもかれらは次々と子を作る！」
The Thorburns――	ソーバーン家――
yes; they breed so,	ええ、かれらは次々と子を作る。
yes; they breed so,  she echoed;	彼女はそう心の中で思った。
looking at all the round red faces that seemed doubled in the giddiness that overcame her;	はげしい眩暈（めまい）のせいで二重写しに見える、そこに居並ぶ赤い丸顔に眺めわたしながら。
and magnified in the gold mist that enhaloed them.	眩暈はかれらを包む金色の霧の中で、さらに激しくなっていった。
“They breed so.”	「次々と子を作る」
Then John bawled:	やがてジョンがわめくように言った。
“Little devils! . . .	「小悪魔どもめ！――
Shoot ’em!	蹴散らせ！
Jump on ’em with big boots!	でかいブーツで踏み潰せ！
That’s the only way to deal with ’em . . .	それが唯一の扱い方だ――
rabbits!”	うさぎどもめ！」
At that word, that magic word, she revived.	その、魔法の言葉を聞いて、彼女はよみがえった。
Peeping between the chrysanthemums she saw Ernest’s nose twitch.	菊の間からのぞきみると、アーネストの鼻がひくついた。
It rippled, it ran with successive twitches.	それは波打つように、みごとにひくついた。
And at that a mysterious catastrophe befell the Thorburns.	それを受けて、ソーバーン家に神秘的な破局が訪れた。
The golden table became a moor with the gorse in full bloom;	金色のテーブルはハリエニシダが繁茂する原野となった。
the din of voices turned to one peal of lark’s laughter ringing down from the sky.	人々の声は大空を旋回するヒバリたちの笑いの轟きと化した。
It was a blue sky――clouds passed slowly.	空は青く――雲がゆっくりと流れてゆく。
And they had all been changed――	かれらはみな変貌（へんぼう）していた――
the Thorburns.	ソーバーン家は。
She looked at her father―in―law, a furtive little man with dyed moustaches.	ロザリンドは義父を見た、口髭を染め上げているこそこそした小男を。
His foible was collecting things――	かれの欠点は収集癖だ――
seals, enamel boxes, trifles from eighteenth―century dressing tables which he hid in the drawers of his study from his wife.	印章、琺瑯（ほうろう）、18世紀の化粧にまつわる小物といったものを、妻の目に触れないように書斎の引き出しに隠しこんでいた。
Now she saw him as he was――a poacher, stealing off with his coat bulging with pheasants and partridges to drop them stealthily into a three――legged pot in his smoky little cottage.	今の彼女の目から見れば、義父は――密猟者であり、かすめとったキジやヤマウズラでポケットをふくらませ、それらをこっそりとすすけた小屋に持ちこんで三脚の鍋に放りこむ。
That was her real father―in―law――	それがほんとうの義父だった――
a poacher.	密猟者。
And Celia,	シーリア――
the unmarried daughter, who always nosed out other people’s secrets, the little things they wished to hide――	他人の秘密を、他人に知られたくない些細なことをいつもいつも嗅ぎまわっている未婚の義姉――
she was a white ferret with pink eyes, and a nose clotted with earth from her horrid underground nosings and pokings.	彼女はピンク色の目をした白いフェレットで、その鼻には他人の裏話をほじくりまわすせいで泥がこびりついていた。
Slung round men’s shoulders, in a net, and thrust down a hole――	男たちの首にぶらさがり、網にからめとられ、穴に顔をつっこんで――
it was a pitiable life――	それは憐れむべき人生だった――
Celia’s;	シーリアの人生は。
it was none of her fault.	彼女が悪いわけではないにせよ。
So she saw Celia.	彼女はシーリアをそう見た。
And then she looked at her mother―in―law――whom they dubbed The Squire.	それから彼女は、義理の母にあたる意地の悪い地主に目を向けた。
Flushed, coarse, a bully――	顔の赤い下品な小姑――
she was all that, as she stood returning thanks,	とにかくそういう人間だった、立って感謝の挨拶を返している今もそう。
but now that Rosalind――that is Lapinova――saw her, she saw behind her the decayed family mansion,	でも、ロザリンドは――ラピノヴァは――彼女を見、彼女の後背に先祖伝来の崩れかけた荘園を見た。
the plaster peeling off the walls,	漆喰の剥げかけた館。
and heard her, with a sob in her voice,	その声には嗚咽（おえつ）が聞きとられた。
giving thanks to her children (who hated her) for a world that had ceased to exist.	すでに存在を止めた世界のことで、子どもたち（彼女のことをひどく嫌っていた）に感謝を伝えるその声に。
There was a sudden silence.	突然の静寂が訪れた。
They all stood with their glasses raised;	みなが立って、グラスを掲げた。
they all drank;	みながそれを干した。
then it was over.	それで、ことは終わった。
“Oh, King Lappin!”	「ああ、ラピン王！」
she cried as they went home together in the fog,	ソーバーン家が連れだって霧の中を家路につくと、彼女は叫んだ。
“if your nose hadn’t twitched just at that moment, I should have been trapped!”	「もしもちょうどあのときあなたの鼻がひくついてくれなかったら、わたし、きっと罠にかかってた！」
“But you’re safe,”	「でも、きみは安全だった」
said King Lappin, pressing her paw.	とラピン王は、彼女の前足を握っていった。
“Quite safe,”	「もうすっかり安全」
And they drove back through the Park, King and Queen of the marsh, of the mist, and of the gorse―scented moor.	そして二人はハイド・パークを抜けて、沼地の、霧の、ハリエニシダに覆われた原野の王と女王にもどった。
Thus time passed;	そのようにして時は流れた。
one year; two years of time.	1年、2年の時が。
And on a winter’s night, which happened by a coincidence to be the anniversary of the golden―wedding party――but Mrs. Reginald Thorburn was dead;	ある冬の晩、偶然にもあの金婚式と同じ日に――といってもミセス・レジナルド・ソーバーンは死に、
the house was to let;	屋敷は放置され、
and there was only a caretaker in residence――	管理人が住んでいるだけだ――
Ernest came home from the office.	アーネストが役所から帰ってきた。
They had a nice little home;	2人は、小さな、心地よい家庭を築いていた。
half a house above a saddler’s shop in South Kensington, not far from the tube station.	サウス・ケンジントンの馬具店の2階を間借りしていて、地下鉄の駅からも遠くはなかった。
It was cold, with fog in the air, and Rosalind was sitting over the fire, sewing.	寒い日で、霧がたちこめ、ロザリンドは暖炉の前に座って、縫い物をしていた。
“What d’you think happened to me to―day?”	「今日、何があったと思う？」
she began as soon as he had settled himself down with his legs stretched to the blaze.	と彼女は、かれが腰を下ろして足を暖炉のほうに伸ばしたとたん、言った。
“I was crossing the stream when――”	「小川を渡ってたらね――」
“What stream?”	「小川だって？」
Ernest interrupted her.	アーネストが話をさえぎった。
“The stream at the bottom, where our wood meets the black wood,”	「窪地の小川よ、私たちの森と黒い森との境にある」
she explained.	彼女は説明した。
Ernest looked completely blank for a moment.	アーネストは一瞬、完全に呆気にとられた顔をした。
“What the deuce are you talking about?”	「いったい何の話？」
“My dear Ernest!”	「まあ、アーネスト！」
she cried in dismay.	彼女はうろたえて叫んだ。
“King Lappin,”	「ラピン王」
she added, dangling her little front paws in the firelight.	と、火明かりの下、小さな前足をだらりとさせる。
But his nose did not twitch.	けれども、かれの鼻はひくつかなかった。
Her hands――	彼女の両手は――
they turned to hands――	今、それは手になっていた――
clutched the stuff she was holding;	縫い物をしっかりと握っていた。
her eyes popped half out of her head.	瞳は顔から飛び出さんばかりだった。
It took him five minutes at least to change from Ernest Thorburn to King Lappin;	少なくとも5分、アーネスト・ソーバーンがラピン王に変化するのにかかった。
and while she waited she felt a load on the back of her neck, as if somebody were about to wring it.	その待ち時間、彼女は、自分の首の後ろに何か重いものを感じた、たとえばだれかが彼女の首をひねろうとするかのように。
At last he changed to King Lappin;	ようやく、かれはラピン王に変じた。
his nose twitched;	鼻がひくついた。
and they spent the evening roaming the woods much as usual.	そして2人はいつもどおりに一晩たっぷり森をうろついた。
But she slept badly.	けれど、彼女はよく眠れなかった。
In the middle of the night she woke, feeling as if something strange had happened to her.	なにか自分の身におかしなことが起きたような気がして、夜半に目をさました。
She was stiff and cold.	体はこわばり、冷え切っていた。
At last she turned on the light and looked at Ernest lying beside her.	とうとう、灯りをつけて隣で眠っているアーネストを見つめた。
He was sound asleep.	かれはぐっすり眠っていた。
He snored.	いびきをかいていた。
But even though he snored, his nose remained perfectly still.	だがいびきをかきながらも、その鼻は完璧なまでに動こうとしなかった。
It looked as if it had never twitched at all.	あたかも、これまで一度もひくついたことがないかのように。
Was it possible	ありえるだろうか？
that he was really Ernest;	かれがほんとうにアーネストで、
and that she was really married to Ernest?	彼女がほんとうにアーネストと結婚しただなんてことが？
A vision of her mother―in―law’s dining―room came before her;	義母のダイニング・ルームの幻が眼前に浮かび上がった。
and there they sat, she and Ernest, grown old, under the engravings, in front of the sideboard. . ..	2人はそこにいた、歳をとり、彫刻の下、食器棚の前に、彼女とアーネストはいた。
It was their golden―wedding day.	それは2人の金婚式だった。
She could not bear it.	堪えられなかった。
“Lappin, King Lappin!”	「ラピン、ラピン王！」
she whispered,	と彼女はささやいた。
and for a moment his nose seemed to twitch of its own accord.	一瞬、かれの鼻がひとりでにひくついたように思えた。
But he still slept.	が、まだかれは眠っていた。
“Wake up, Lappin, wake up!”	「起きて、ラピン、起きて！」
she cried.	と彼女は叫んだ。
Ernest woke;	アーネストは目を覚ました。
and seeing her sitting bolt upright beside him he asked:	そしてロザリンドを隣に抱えおこしながら尋ねた。
“What’s the matter?”	「どうした？」
“I thought my rabbit was dead!”	「私のうさぎが死んでしまったみたいなの」
she whimpered.	と囁くように言った。
Ernest was angry.	アーネストは怒った。
“Don’t talk such rubbish, Rosalind,”	「馬鹿げたことを言うんじゃない、ロザリンド」
he said.	とかれは言った。
“Lie down and go to sleep.”	「横になって、眠るんだ」
He turned over.	かれは背を向けた。
In another moment he was sound asleep and snoring.	次の瞬間には、もういびきをかきはじめていた。
But she could not sleep.	けれど、彼女は眠れなかった。
She lay curled up on her side of the bed, like a hare in its form.	巣穴に入った野うさぎのように、ベッドの彼女の側で、背を丸めて横たわっていた。
She had turned out the light, but the street lamp lit the ceiling faintly, and the trees outside made a lacy network over it	灯りは消していたが、街灯がほのかに照らす天井に、木々が網目状の影を投げかていた。
as if there were a shadowy grove on the ceiling	まるで、そこに鬱蒼とした森があるかのようで――
in which she wandered, turning, twisting, in and out, round and round, hunting, being hunted, hearing the bay of hounds and horns; flying, escaping . . .	彼女はさまよい、駈け、飛びはね、出入りし、歩き回り、狩りをし、狩られ、猟犬の咆え声と角笛の響きを聞きながら、走りに走って逃げつづけた。
until the maid drew the blinds and brought their early tea.	やがて、メイドがブラインドを引き、朝の紅茶を運んでくるまで。
Next day she could settle to nothing.	翌日、彼女は落ちつけなかった。
She seemed to have lost something.	何かを失ってしまったように思った。
She felt as if her body had shrunk;	自分の体が縮んでしまったような気分だった。
it had grown small, and black and hard.	小さく、固く、黒くなってしまっていた。
Her joints seemed stiff too, and when she looked in the glass, which she did several times as she wandered about the flat, her eyes seemed to burst out of her head, like currants in a bun.	体の節々もこわばったみたいで、部屋を歩き回っているときにときどきするように鏡をのぞきこんでみると、ちょうど巻毛についたレーズンのように、瞳は頭から飛び出していた。
The rooms also seemed to have shrunk.	部屋もまた縮んだように思った。
Large pieces of furniture jutted out at odd angles and she found herself knocking against them.	大型の調度類はでたらめな方向に突きだし、気づけば、繰り返しそれらにつまづいている始末だった。
At last she put on her hat and went out.	やがて彼女は帽子をとって出掛けた。
She walked along the Cromwell Road;	クロムウェル・ロードに沿って歩く。
