"You'll excuse me for speaking, miss,	「すまんが口を挟ませてもらえるかな、お嬢さん。
but, I see you're acquainted with the marshall here.	こちらの執行官さんとはお知り合いと思ったもんでね。
If you'll ask him to speak a word for me	どうかおれのためにひとこと言ってくれるように頼んでみてくれないだろうか。
when we get to the pen he'll do it,	あんたの頼みだったら、執行官さんも檻のほうに口を利いてくれると思うし。
and it'll make things easier for me there.	そうしてもらえると、向こうでの待遇がよくなるんだよ。
He's taking me to Leavenworth prison.	執行官さんはおれをリーヴンワース監獄につれていくところでね。
It's seven years for counterfeiting."	貨幣贋造で7年ってわけだ」
"Oh!"	「ああ！」
said the girl, with a deep breath and returning color.	と娘は大きく息を吐いて、顔色を取り戻し始めた。
"So that is what you are doing out here?	「こちらでそんな仕事をしていたのですか？
A marshal!"	執行官とは！」
"My dear Miss Fairchild,"	「ねえ、フェアチャイルドさん」
said Easton, calmly,	とイーストンは穏やかに言った。
"I had to do something.	「ぼくはなにかをやらなきゃいけなかったんです。
Money has a way of taking wings unto itself,	金ってものにはみんな羽が生えてますからね。
and you know it takes money to keep step with our crowd in Washington.	ワシントンの仲間たちとつきあっていくには金がいります。
I saw this opening in the West, and--well, a marshalship isn't quite as high a position as that of ambassador, but--"	この仕事の空きを西部で見つけて、それで――ええっと、執行官ってのは大使ほどに身分のある職業ではないですが、それでも――」
"The ambassador,"	「あの大使には」
said the girl, warmly,	と娘は暖かい声で言った。
"doesn't call any more.	「あれから会ってません。
He needn't ever have done so.	もっと言えば、一度も会う必要なかったんですけど。
You ought to know that.	このこと、ご存知だと思ってました。
And so now you are one of these dashing Western heroes,	それにいまもまだ、あなたはワシントンの英雄たちのひとりなんですよ。
and you ride and shoot and go into all kinds of dangers.	馬に乗って、銃を撃ちながらあらゆる類の危険に立ち向かっていく英雄。
That's different from the Washington life.	ワシントンでは珍しいタイプね。
You have been missed from the old crowd."	みんな、あなたに会えなくなってさびしがってますよ」
The girl's eyes, fascinated, went back, widening a little,	それまでうっとりとしていた瞳がふだんどおりになり、少しだけ大きく開かれた。
to rest upon the glittering handcuffs.	きらりと光る手錠をじっと見つめる。
"Don't you worry about them, miss,"	「そんなに気にするこたあないよ、お嬢さん」
said the other man.	ともう一方の男が言った。
"All marshals handcuff themselves to their prisoners to keep them from getting away.	「執行官ってのはみんなこういうふうに自分と囚人を手錠でつなぐんだよ、相手に逃げられないようにね。
Mr. Easton knows his business."	イーストンさんは仕事をしてるだけなんだから」
"Will we see you again soon in Washington?"	「またすぐにワシントンでお会いできますか？」
asked the girl.	と娘がたずねた。
"Not soon, I think,"	「しばらくは無理だと思います」
said Easton.	とイーストンは言った。
"My butterfly days are over, I fear."	「残念ですけどもう自由な日々は終わってしまいました」
"I love the West,"	「わたしは西部が好きです」
said the girl irrelevantly.	と娘は脈絡のないことを言った。
Her eyes were shining softly.	瞳は静かに輝いている。
She looked away out the car window.	その目で窓の外を見た。
She began to speak truly and simply without the gloss of style and manner:	口調や態度の虚飾をなくし、心をこめて淡々と語りだす。
"Mamma and I spent the summer in Denver.	「母とわたしは今年の夏をデンバーで過ごしました。
She went home a week ago because father was slightly ill.	母は1週間前に家にもどったの、父がちょっと体を壊したものだから。
I could live and be happy in the West.	わたしは西でも暮らしていけましたし、すごく楽しいところでした。
I think the air here agrees with me.	空気があっているのね、たぶん。
Money isn't everything.	お金がすべてじゃないんです。
But people always misunderstand things and remain stupid--"	なのにみんな、いつだって誤解して、いつまでも賢くなれなくて――」
"Say, Mr. Marshal,"	「なあ、執行官さんよ」
growled the glum-faced man.	と陰気な顔つきの男がうなるように言った。
"This isn't quite fair.	「こいつはちょっとフェアじゃないぜ。
I'm needing a drink, and haven't had a smoke all day.	おれは喉が渇いてきたし、今日一日たばこも吸ってねえんだ。
Haven't you talked long enough?	もう十分しゃべったろ？
Take me in the smoker now, won't you?	さ、喫煙車につれてってくれや。
I'm half dead for a pipe."	死ぬほど一服したいんだ」
The bound travelers rose to their feet,	手錠でつながれた2人の旅行者は立ちあがった。
Easton with the same slow smile on his face.	イーストンは、ふたたび弱々しい微笑みをうかべた。
"I can't deny a petition for tobacco,"	「ぼくは喫煙の請願を拒むことができません」
he said, lightly.	とあっさりとした口調で言った。
"It's the one friend of the unfortunate.	「煙草は、悲運な人にとって唯一の友だちですから。
Good-bye, Miss Fairchild.	さようなら、ミス・フェアチャイルド。
Duty calls, you know."	ぼくには義務がありますのでね」
He held out his hand for a farewell.	と言って、彼は別れの握手のために手を差し出した。
"It's too bad you are not going East,"	「残念です、東部に行くわけではないのですね」
she said, reclothing herself with manner and style.	女はよそよそしい態度と口調をとりもどしていた。
"But you must go on to Leavenworth, I suppose?"	「でも、リーヴンワースに行かないといけないんですものね、そうでしょう？」
"Yes,"	「そうです」
said Easton,	とイーストンは言った。
"I must go on to Leavenworth."	「ぼくはリーヴンワースに行かねばなりません」
The two men sidled down the aisle into the smoker.	2人は横歩きで喫煙車につづく通路を歩いていった。
The two passengers in a seat near by had heard most of the conversation.	近くに座っていた2人の乗客は、その会話のほとんどを聞いていた。
Said one of them:	ひとりが言った。
"That marshal's a good sort of chap.	「あの執行官、なかなかいいやつだな。
Some of these Western fellows are all right."	西部のやつらのなかにも悪くないのがいるもんだ」
"Pretty young to hold an office like that, isn't he?"	「すごく若いのに、あんなにきちんと職務をまっとうしてるから？」
asked the other.	と相手は尋ねた。
"Young!"	「若いだって？」
exclaimed the first speaker,	と、最初にしゃべったほうが大きな声をあげた。
"why--Oh! didn't you catch on?	「どうして――ああ、気づかなかったのか！
Say--did you ever know an officer to handcuff a prisoner to his ‾right‾ hand?"	あのさ――手錠を、自分の右手と相手の左手にかける警官なんて、聞いたことないだろう？」
