The Great Gatsby	グレイト・ギャツビー
it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men.	ギャツビーを喰い物にした連中、ギャツビーの夢が描いた航跡に浮かんでいた薄汚い塵、そういったものが一時的にぼくの目を晦まし、人が胸に抱えこんだ、とりかえしのつかない悲しみやはかない思い入れへの関心を持てなくしていたのだ。
My family have been prominent, well-to-do people in this Middle Western city for three generations.	ぼくの家系は3世代にわたって中西部で繁栄してきた。
The Carraways are something of a clan, and we have a tradition that we’re descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather’s brother,	キャラウェイ家はどこか族閥みたいなところがあって、バックローチ公爵家の末席に連なるのだなどという言い伝えがあったりするのだけど、実際のところは、ぼくの祖父の兄が家系の始祖になる。
who came here in fifty-one, sent a substitute to the Civil War, and started the wholesale hardware business	1851年にこの地にやってきた大叔父は、南北戦争のおりには替え玉を出しておいて、重機の卸売りを始めたのだ。
that my father carries on to-day.	そしていまはぼくの父がその仕事を引き継いでいる。
I never saw this great-uncle,	ぼくはこの大叔父に会ったことがない。
but I’m supposed to look like him――	が、ぼくはかれに似ていると言われる――
with special reference to the rather hard-boiled painting that hangs in father’s office	父のオフィスに掛けられているややハードボイルドなタッチの肖像画が引き合いに出されながら。
I graduated from New Haven in 1915, just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War.	ぼくは父に遅れること25年、1915年にニューヘイヴンを卒業し、世界大戦として知られるあの遅すぎたゲルマン民族大移動に参加した。
I enjoyed the counter-raid so thoroughly that I came back restless.	この逆襲はほんとうに心楽しませるものだったから、もどってきたときは妙に落ちつけなかった。
Instead of being the warm centre of the world, the Middle West now seemed like the ragged edge of the universe――	中西部は、心揺さぶるような世界の中心とは違って、いまや宇宙の最果てのように思えた――
so I decided to go East and learn the bond business.	それでぼくは東部に出て証券取引を学ぶことにした。
Everybody I knew was in the bond business, so I supposed it could support one more single man.	ぼくの知り合いはみんな証券業界にいたし、独身の男をもう一人くらい養えるだろうと思ったのだ。
All my aunts and uncles talked it over as if they were choosing a prep school for me, and finally said,	叔父たちや叔母たちはまるでぼくをどこの学校にやろうか選ぶみたいな態度でぼくの決心について話し合い、やがて
“Why――ye――es,”	「まあ――よかろう」
with very grave, hesitant faces.	と、引きつった、ためらいがちの顔で言った。
Father agreed to finance me for a year,	父は1年の仕送りを約束してくれた。
and after various delays I came East, permanently, I thought, in the spring of twenty-two.	それからいろいろあって遅れたものの、ぼくは1922年の春、東部にやってきた。
The practical thing was to find rooms in the city, but it was a warm season, and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town, it sounded like a great idea.	市内に部屋をみつけるのが現実的なやりかたではあったけれども、暑い時期でもあり、涼しげな芝生や木立が広がる田舎から出てきたばかりだったから、オフィスの若い男が、ベッドタウンに共同で家を借りないか、と言い出したときは、とてもいいアイデアだと思えた。
He found the house, a weather-beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington, and I went out to the country alone.	風雨にさらされた安手のバンガローを月80ドルで見つけてきてくれたかれは、最後の段になって社からワシントンへの転勤を命じられ、ぼくがその田舎にひとりでいくことになった。
I had a dog――at least I had him for a few days until he ran away――and an old Dodge and a Finnish woman,	ともにあったのは、犬1匹――すくなくとも逃げられるまでの数日は――に古いダッジ1台、フィンランド生まれの女が1人。
who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove.	この女はぼくのベッドを整え、朝食の支度をし、電気コンロに屈みこみながらフィンランドの警句をぶつぶつつぶやいていた。
It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road.	ぼくが孤独だったのは一日やそこらで、ある朝、ぼくより後にこの土地にやってきたらしい男が、道に出ていたぼくの目の前で足を止めるまでのことだった。
“How do you get to West Egg village?”	「ウエスト・エッグ・ビレッジにはどう行けばよろしいんでしょうか？」
he asked helplessly.	男は途方にくれた様子でそう言った。
I told him.	ぼくは教えてやった。
And as I walked on	そして歩き出した。
I was lonely no longer.	ぼくはもう孤独ではなかった。
I was a guide, a pathfinder, an original settler.	ぼくはガイドであり、草分けであり、先住民だった。
He had casually conferred on me the freedom of the neighborhood.	男は、そうと意識することなく、ぼくにこの付近での自由を与えてくれたのだ。
And so with the sunshine	きらめく太陽の光。
and the great bursts of leaves growing on the trees, just as things grow in fast movies,	新緑は高速フィルムの世界で成長するもののように木々から萌え出ずる。
I had that familiar conviction that life was beginning over again with the summer.	それを見てぼくは、この夏とともにまたふたたび新しい日々が始まろうとしているのだという、おなじみのあの確信を抱いた。
There was so much to read, for one thing, and so much fine health to be pulled down out of the young breath-giving air.	ひとつには、読むべきものがたくさんあり、また、引きとめられなければ若々しい新鮮な空気を楽しもうとする健やかさがあった。
I bought a dozen volumes on banking and credit and investment securities, and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew.	銀行業務やクレジットや投資信託に関する本を何十冊と買いこんで本棚に立ててみると、それらは造幣局から出てきたばかりの貨幣のように朱色や黄金色に輝き、マイダス、モーガン、ミシーナスのみぞ知る輝かしい秘密の解明を約束してくれるもののように思えた。
And I had the high intention of reading many other books besides.	そして、それと平行して、もっと幅広くいろいろな本を読もうと志していた。
I was rather literary in college――	大学時代のぼくは文学的なほうだった――
one year I wrote a series of very solemn and obvious editorials for the “Yale News.”――	ある年など、「エール・ニューズ」に、生真面目な、わかりきったことを並べたてた論説を連載したこともあったりした――
and now I was going to bring back all such things into my life and become again that most limited of all specialists, the “well-rounded man.”	そしてぼくはそれらをいまの日々にとりもどして、あらゆる専門家のうちもっとも視野の狭い類の専門家、「バランスのとれた人間」にたちもどろうとしていた。
This isn’t just an epigram――	これは単なる警句などではない――
life is much more successfully looked at from a single window, after all.	人生とは結局のところひとつきりの窓を通してのほうがよく見えるものなのだ。
It was a matter of chance that I should have rented a house in one of the strangest communities in North America.	まったくの偶然から、ぼくは北アメリカのコミュニティーのうち、もっとも珍しいところのひとつに家を借りることになった。
It was on that slender riotous island which extends itself due east of New York――	それはニューヨークの真東にある細長くて騒々しい島にある――
and where there are, among other natural curiosities, two unusual formations of land.	そこのいろいろな自然の奇観のうちでも、2つの島は例を見ないものだった。
Twenty miles from the city a pair of enormous eggs,	ニューヨークから距離にして20マイルのところに浮かぶ、1対の巨大な卵。
identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western hemisphere, the great wet barnyard of Long Island Sound.	外形的には同一、申しわけ程度の湾に分かたれ、それぞれが、この海域を西半球でいちばん開発が進んだ牧地とたとえるならば、養鶏小屋からロング・アイランド海峡という湿った前庭に転がり出ている。
they are not perfect ovals――	両卵は完全な楕円形ではなかった――
like the egg in the Columbus story, they are both crushed flat at the contact end――	コロンブスの話に出てくる卵のように、陸地に接するほうの端が平らにひしゃげていた。
but their physical resemblance must be a source of perpetual confusion to the gulls that fly overhead.	けれども、この2つの卵は見たところそっくりだったから、上空を飛ぶ鴎は四六時中不思議がっていたに違いない。
to the wingless a more arresting phenomenon is their dissimilarity in every particular except shape and size.	翼のないぼくらにとっては、形とサイズをのぞいた、あらゆる違いこそが興味の対象だった。
I lived at West Egg, the――	ぼくはウエスト・エッグに住んでいた――
well, the less fashionable of the two,	そう、2つの島のうち、ファッショナブルではないほうに。
though this is a most superficial tag to express the bizarre and not a little sinister contrast between them.	この言い方は、両者の、不吉さすら感じられたりもするアンバランスさを表現するにはきわめて底が浅いとは思うけど。
my house was at the very tip of the egg	ぼくの家はこの卵の頂点にあった。
only fifty yards from the Sound,	海峡からはわずか50メートル。
and squeezed between two huge places that rented for twelve or fifteen thousand a season.	両側を、家賃がシーズンごとに12,000とか15,000とかするような屋敷に挟まれ、窮屈そうに立っていた。
the one on my right was a colossal affair by any standard――	そのうち、右手に立っていた家はまさしく豪邸だった――
it was a factual imitation of some Hotel de Ville in Normandy,	ノルマンディのシティ・ホールでもそっくり再現したみたいだった。
with a tower on one side, spanking new under a thin beard of raw ivy,	側に建てられた塔は、薄い蔦の髭の下で真新しいきらめきを放っている。
and a marble swimming pool,	それから大理石のプール。
and more than forty acres of lawn and garden.	それから、40エーカーを超える広大な芝生や庭園。
it was Gatsby’s mansion.	それがギャツビーの邸宅だった。
Or, rather, as I didn’t know Mr. Gatsby, it was a mansion inhabited by a gentleman of that name.	いや、ぼくはミスター・ギャツビーを知らなかったのだから、むしろ、そういう名前の紳士が住んでいる邸宅だった、というべきか。
My own house was an eyesore, but it was a small eyesore, and it had been overlooked,	ぼくの家は目障りだったけれど、小さな目障りだったから、見逃されていた。
so I had a view of the water, a partial view of my neighbor’s lawn, and the consoling proximity of millionaires――	というわけで、ぼくは海を眺め、隣人の芝生の一部を眺め、金満家に近づいたような気持ちを愉しんだ――
all for eighty dollars a month.	締めて、月80ドルで。
Across the courtesy bay the white palaces of fashionable East Egg glittered along the water,	奥ゆかしい湾の向こうには、海岸沿いに、ファッショナブルなイースト・エッグの白い豪邸がまばゆく建ち並んでいた。
and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans.	そしてあの夏の物語は、そこへ、トム・ブキャナンとディナーをともにするため、ぼくが車で乗りつけたあの夕べにはじまる。
Daisy was my second cousin once removed,	デイジーはぼくのはとこの子にあたる。
and I’d known Tom in college.	トムとは大学時代に知りあった。
And just after the war I spent two days with them in Chicago.	それに戦争の直後、シカゴでかれらと2日、ともにしたこともあった。
Her husband, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Haven――	デイジーの夫は、いろいろなスポーツで名を知られた男だったけれど、とりわけ、ニューヘイヴンのフットボール史における最強のエンドだった――
a national figure in a way, one of those men who reach such an acute limited excellence at twenty-one that everything afterward savors of anti-climax.	ある意味では全国的な有名人で、歳21にして絶頂を極め、以後は万事下り坂といった具合の人物だった。
His family were enormously wealthy――even in college his freedom with money was a matter for reproach――	生家は財産家――大学時代も、金遣いの放蕩さで非難を集めていた――
but now he’d left Chicago and come East in a fashion that rather took your breath away:	そしていま、シカゴから東部にやってきたのだけど、それがまた人々の息をのませるようなやりかた。
for instance, he’d brought down a string of polo ponies from Lake Forest.	たとえば、レイク・フォレストからポロ用ポニーを並べ連ねてつれてくる、とか。
it was hard to realize that a man in my own generation was wealthy enough to do that.	ぼくと同世代の男にそんな真似をできるだけの財産があるというのは、どうにも理解しづらいことだった。
Why they came East I don’t know.	なぜかれらは東部にやってきたのか、ぼくは今も知らない。
They had spent a year in France for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together.	かれらはこれといった理由もなく一年をフランスですごした後、ふらふらと、ポロをやる金持ちの間を渡り歩いていた。
This was a permanent move, said Daisy over the telephone, but I didn’t believe it――	今度は永住する、とデイジーは電話で言ってきたけど、ぼくは信じていなかった――
I had no sight into Daisy’s heart, but I felt that Tom would drift on forever seeking, a little wistfully, for the dramatic turbulence of some irrecoverable football game.	デイジーの胸のうちはまったく読めなかったけれど、トムからは、敗色濃厚なフットボールの試合とかに見られるドラマチックな騒乱を、どこか物足りなさそうに探し求めて永遠にさまよいつづけるのではと思わせるような、そんな感じがしていた。
And so it happened that on a warm windy evening I drove over to East Egg to see two old friends whom I scarcely knew at all.	それでぼくはあの夕べ、よく知っているとは言いがたい2人の友人を訪ねて、車をイースト・エッグに向けて走らせた。
Their house was even more elaborate than I expected,	ブキャナン夫妻の住まいは予想をはるかに越えるものだった。
a cheerful red-and-white Georgian Colonial mansion, overlooking the bay.	湾を見下ろすように建つ、感じのよい、赤と白のジョージア王朝風殖民時代様式の屋敷。
The lawn started at the beach and ran toward the front door for a quarter of a mile, jumping over sun-dials and brick walks and burning gardens――	芝生は海岸のところからスタートし、そこから玄関までの400メートルを、途中、日時計を、煉瓦敷きの道を、色鮮やかな庭を飛び越えながら走り――
finally when it reached the house drifting up the side in bright vines as though from the momentum of its run.	やがて家屋につきあたったところで、余勢を駆るみたいに、つややかに光る蔦となって家の壁をよじのぼっている。
The front was broken by a line of French windows, glowing now with reflected gold and wide open to the warm windy afternoon,	正面はフランス窓が並んでいて、それが夕日を黄金色に照りかえしながら、熱っぽい午後の風をとり入れるために大きく開かれていた。
and Tom Buchanan in riding clothes was standing with his legs apart on the front porch.	玄関には、乗馬服を着たトム・ブキャナンが、大股に立っていた。
He had changed since his New Haven years.	トムはニューヘイヴン時代とは変わっていた。
Now he was a sturdy straw-haired man of thirty with a rather hard mouth and a supercilious manner.	髪は藁色、口調はどちらかといえば乱暴で、マナーは尊大。
Two shining arrogant eyes had established dominance over his face and gave him the appearance of always leaning aggressively forward.	どんな顔をしているときでも横柄にきらめく両の瞳がとにかく目につき、そのせいで、行動には突っかかってくるような感じがつきまとう。
Not even the effeminate swank of his riding clothes could hide the enormous power of that body――	優美な乗馬服姿でいるときも、その肉体に宿る力を隠せてはいなかった――
he seemed to fill those glistening boots until he strained the top lacing, and you could see a great pack of muscle shifting when his shoulder moved under his thin coat.	鈍い光を放つブーツはいかにも窮屈で、編み紐のいちばん上は苦しげに結ばれ、また薄い上着の下で肩が上下すると、一塊になった筋肉の動きが分かる。
It was a body capable of enormous leverage――	そこにはすさまじい力が含まれていた――
a cruel body.	壮烈な肉体だった。
His speaking voice, a gruff husky tenor, added to the impression of fractiousness he conveyed.	しゃべる声は無愛想な、かすれぎみのテナーで、かれの気難しそうな印象を余計に強めていた。
There was a touch of paternal contempt in it, even toward people he liked――	口のきき方にどこか家父長的なところがあって、自分が好意をもっている相手にさえもそんな口のきき方をする――
and there were men at New Haven who had hated his guts.	そういうところから、ニューヘイヴン時代から心底かれを嫌っているひともいた。
“Now, don’t think my opinion on these matters is final,”	「単におれがおまえよりも強くて男らしいからといって、おれの意見が絶対だなんて思わなくてもいいんだぜ」
he seemed to say,	と言外に表明しているみたいだった。
We were in the same senior society,	ぼくらは同じ上級生サークルに所属していた。
and while we were never intimate I always had the impression that he approved of me and wanted me to like him with some harsh,	それでまだ親しくないうちから、ぼくはずっと、かれから認められていて、かれのことを気に入るように望まれているような印象を受けていた。
defiant wistfulness of his own.	それもかれらしい、性急で乱暴な形で。
We talked for a few minutes on the sunny porch.	ぼくらは陽のあたるポーチですこし話をした。
“I’ve got a nice place here,”	「いい家を見つけてね」
he said,	とトムは言った。
his eyes flashing about restlessly.	落ちつきなくあちこち視線を走らせている。
Turning me around by one arm,	片腕がぼくの背中に回され、ぼくは体の向きを変えられた。
he moved a broad flat hand along the front vista,	正面の景色をトムの大きな手が横切る。
including in its sweep a sunken Italian garden, a half acre of deep, pungent roses, and a snub-nosed motor-boat that bumped the tide offshore.	その先に、イタリア風の沈床園があり、真っ赤な、強い香りを放つバラ園が半エーカーほど広がっていて、ビーチでは先のそりかえったモーターボートが波に揺れていた。
“It belonged to Demaine, the oil man.”	「前はデメインという石油屋のものだったんだ」
He turned me around again, politely and abruptly.	と言うとふたたび、丁寧に、けれども断りなく、ぼくの体の向きを変えた。
“We’ll go inside.”	「さ、中に入ろう」
We walked through a high hallway into a bright rosy-colored space,	ぼくらは吹き抜けの大広間を抜け、薔薇色のスペースに入った。
fragilely bound into the house by French windows at either end.	壁の端にはどこもフランス窓がとりつけられていて、かろうじて家の中にあるといった格好だ。
The windows were ajar and gleaming white against the fresh grass outside that seemed to grow a little way into the house.	半開きの窓は外の新緑を背に白く輝き、新緑はといえば部屋の中へと入りこんできそうな勢い。
A breeze blew through the room, blew curtains in at one end and out the other like pale flags, twisting them up toward the frosted wedding-cake of the ceiling,	部屋を吹きぬけた一陣の風が、カーテンを煽って色あせた旗のように大きく揺らし、砂糖をふったウエディング・ケーキのような天井へとよじりあげた。
and then rippled over the wine-colored rug, making a shadow on it as wind does on the sea.	そうして、海を渡る風のように、ワインレッドの絨毯に波を立て、影を走らせる。
The only completely stationary object in the room was an enormous couch	部屋の中でじっとしていたのは、大きな長椅子ただひとつのみ。
on which two young women were buoyed up as though upon an anchored balloon.	その上に、ふたりの若い女性が係留気球にでも乗っているかのように浮かんでいた。
They were both in white, and their dresses were rippling and fluttering as if they had just been blown back in after a short flight around the house.	ふたりのドレスが波打ちはためくさまは、家の外を軽く一周翔んできたのだろうかと思わせる。
I must have stood for a few moments listening to the whip and snap of the curtains and the groan of a picture on the wall.	ぼくはしばらくの間、カーテンが鞭のようにしなる音と、壁の絵画がたてるうめき声とに気を奪われていたに違いない。
Then there was a boom as Tom Buchanan shut the rear windows and the caught wind died out about the room,	不意にトム・ブキャナンが後背の窓を閉める音がして、部屋の中から風は閉め出された。
and the curtains and the rugs and the two young women ballooned slowly to the floor.	すると、カーテンも、絨毯も、浮かんでいた2人の女も、ゆっくりと床に降りてきた。
The younger of the two was a stranger to me.	ふたりのうち、年下の女とは初対面だった。
She was extended full length at her end of the divan, completely motionless, and with her chin raised a little,	長椅子の片側に全身を伸ばしてねそべり、身じろぎひとつせずに、ちょっとだけあごを上げている。
as if she were balancing something on it which was quite likely to fall.	まるで、あごの先に何かを乗せ、それを落とさないようバランスをとっているみたいだ。
If she saw me out of the corner of her eyes she gave no hint of it――	ぼくの姿を視界の端にでもとらえてくれたのかどうか、その手がかりすらくれなかった――
indeed, I was almost surprised into murmuring an apology for having disturbed her by coming in.	実際、ぼくはもうすこしで入ってきたことを謝りそうになった。
The other girl, Daisy, made an attempt to rise――	もうひとりの女、デイジーは起きあがろうとした――
she leaned slightly forward with a conscientious expression――	誠意ある態度でやや上体を起こした――
then she laughed,	それから、笑った。
an absurd, charming little laugh,	取りたてて意味のない、それでいて魅力的な、軽やかな笑い声。
and I laughed too and came forward into the room.	ぼくもまた笑いながら、部屋の中央へと進み出た。
“I’m p-paralyzed with happiness.”	「わたし幸せにあたって、麻、麻痺しちゃった」
She laughed again, as if she said something very witty,	ウィットに富んだことを言ったつもりなのか、また笑った。
and held my hand for a moment, looking up into my face,	それからぼくの手をしばらく握り締め、ぼくの顔を見上げた。
promising that there was no one in the world she so much wanted to see.	世界中どこを探してもぼく以上にあいたかったひとはいないと誓うように。
That was a way she had.	前と変わらないやり方だ。
She hinted in a murmur that the surname of the balancing girl was Baker.	それからささやき声で、バランスをとっている女の姓がベイカーだということを教えてくれた。
(I’ve heard it said that Daisy’s murmur was only to make people lean toward her;	（デイジーのささやき声は、相手の顔を自分のほうに吸い寄せるためのものにすぎない、と言ったひとがあった――
an irrelevant criticism that made it no less charming.)	いわれなき誹謗であり、その声からちょっとでも魅力を削ぎおとすものではない。）
At any rate, Miss Baker’s lips fluttered, she nodded at me almost imperceptibly, and then quickly tipped her head back again――	ともあれ、ミス・ベイカーの唇がかすかに動き、ぼくにむかってほんのちょっとだけうなずいてみせ、それからすぐにもとのように反らした――
the object she was balancing had obviously tottered a little and given her something of a fright.	荷物のバランスが少しだけくずれ、それであわてふためいたとでもいうのだろう。
Again a sort of apology arose to my lips.	先と同じく、ぼくは詫び言みたいなものを口にするところだった。
Almost any exhibition of complete self-sufficiency draws a stunned tribute from me.	高慢なふるまいをあからさまにみせつけられれば、思わず誉めてやりたくなってしまうぼくだから。
I looked back at my cousin, who began to ask me questions in her low, thrilling voice.	ぼくは従妹に目をもどした。低い、ぞくぞくするような声で、質問がはじまった。
It was the kind of voice that the ear follows up and down, as if each speech is an arrangement of notes that will never be played again.	それは思わず耳を引きこまれるような声であり、言葉のそれぞれがもう二度と奏でられることのない旋律のようだった。
Her face was sad and lovely with bright things in it,	顔は憂いをふくみ、それでも内に輝くみたいな愛らしさを含んでいる。
bright eyes and a bright passionate mouth,	つややかな瞳、つややかな、誘うような口元。
but there was an excitement in her voice that men who had cared for her found difficult to forget:	けれども、その声は男の気をひき、けっして忘れ去ることができそうにないと思わせるような、刺激があった。
a singing compulsion,	歌うような恣意。
a whispered	「聞いて」
“Listen,”	というささやき。
a promise that she had done gay,	いまちょうど楽しんできたのだ、それでほんのしばらくうきうきしている。
exciting things just a while since and that there were gay, exciting things hovering in the next hour.	それからいまも楽しいことがあって、これから数時間も楽しくうきうきするようなことが続くのだと保証するような。
I told her how I had stopped off in Chicago for a day on my way East, and how a dozen people had sent their love through me.	ぼくは東部にくる途中シカゴに1日寄ったことを、それから、そこでいかにたくさんの人たちがぼくを介してよろしく言ってきたかを話した。
“Do they miss me?”	「わたしたちのこと、寂しがってるの？」
she cried ecstatically.	とうっとりした調子でさけんだ。
“The whole town is desolate.	「街全体がさびれてしまってるよ。
All the cars have the left rear wheel painted black as a mourning wreath, and there’s a persistent wail all night along the north shore.”	車はみんな前輪を黒く塗ってまるで手向けの花輪みたいだし、北海岸沿いは夜を徹してずっと嘆き悲しんでる」
“How gorgeous!	「大げさな！
Let’s go back, Tom.	ねえトム、もどらない？
To-morrow!”	明日にでも！」
Then she added irrelevantly:	それから、脈絡もなく続ける。
“You ought to see the baby.”	「そうだ、うちの子に会っていくといい」
“I’d like to.”	「そりゃあぜひ」
“She’s asleep.	「いま寝てるのよ。
She’s three years old.	3つになったんだ。
Haven’t you ever seen her?”	前に会わせたことあったっけ」
“Never.”	「いや、ないね」
“Well, you ought to see her.	「じゃあ、会っていくといい。
She’s――――”	あの子ね――」
Tom Buchanan, who had been hovering restlessly about the room, stopped and rested his hand on my shoulder.	それまで落ちつきなく部屋の中を歩き回っていたトム・ブキャナンがふと立ち止まり、ぼくの肩に手を置いた。
“What you doing, Nick?”	「いま何をやってるんだ、ニック？」
“I’m a bond man.”	「証券マンを」
“Who with?”	「だれのところで？」
I told him.	ぼくは教えてやった。
“Never heard of them,”	「聞かない連中だな」
he remarked decisively. This annoyed me.	そのきっぱりとした言い方にぼくは不愉快になった。
“You will,”	「聞くだろうよ」
I answered shortly.	と短く返す。
“You will if you stay in the East.”	「これから東部に腰を落ちつけるんなら、そのうちにね」
“Oh, I’ll stay in the East, don’t you worry,”	「おいおい、もちろん東部に落ちつくとも、心配するな」
he said, glancing at Daisy and then back at me, as if he were alert for something more.	と言って、他に言っておきたいことがあるのか、デイジーを見、それからぼくに目をもどした。
“I’d be a God damned fool to live anywhere else.”	「他の場所に住みたいなんて、よっぽどの馬鹿にならんかぎり、思わんよ」
At this point Miss Baker said:	ここでミス・ベイカーが口を開き
“Absolutely!”	「まったくね！」
with such suddenness that I started――	と言ったのだけど、その唐突さにぼくはびっくりした――
it was the first word she uttered since I came into the room.	それは、ぼくが部屋に入って以来はじめて彼女の口から飛び出した言葉だった。
Evidently it surprised her as much as it did me,	どうやら、彼女自身もぼくと同じく驚いたらしい。
for she yawned and with a series of rapid, deft movements stood up into the room.	ひとつあくびをすると、流れるような身ごなしで立ちあがった。
“I’m stiff,” she complained,	「体がこわばってる。
“I’ve been lying on that sofa for as long as I can remember.”	覚えてるかぎりずっとソファに寝っぱなしなんだもの」
“Don’t look at me,”	「なんでわたしのほうを見るのよ」
Daisy retorted,	とデイジーが言い返す。
“I’ve been trying to get you to New York all afternoon.”	「午後からいっしょにニューヨークに行こうって、ずっと言ってるじゃない」
“No, thanks,”	「いいえ、結構」
said Miss Baker to the four cocktails just in from the pantry,	とミス・ベイカーはちょうど食堂から運ばれてきた4杯のカクテルに向かって言った。
“I’m absolutely in training.”	「いまほんとにトレーニング中なんだから」
Her host looked at her incredulously.	主人役が信じられないという面持ちで彼女を見た。
“You are!”	「トレーニング中ね！」
He took down his drink as if it were a drop in the bottom of a glass.	グラスを取ったかれは、最初から最後の一滴を飲み下すような勢いで、一気に呷った。
