PETER PAN [PETER AND WENDY]	ピーターパンとウェンディ
so, of course, they had a nurse.	もちろん乳母を雇いました。
As they were poor, owing to the amount of milk the children drank, this nurse was a prim Newfoundland dog, called Nana,	ただコドモのミルク代でお金が足りなくて、乳母はナナという名前の、きちんとしてはいますけどニューファウンドランド犬でした。
who had belonged to no one in particular until the Darlings engaged her.	ナナはダーリング家で飼われるまでは、特別どこで飼われていたというわけではありません。
She had always thought children important, however, and the Darlings had become acquainted with her in Kensington Gardens,	ただナナはコドモを大事なものと考えており、ダーリング家とはケンジントン公園で知り合いになりました。
where she spent most of her spare time peeping into perambulators, and was much hated by careless nursemaids,	ナナはそこでひまな時間の大半は、乳母車をのぞきこんで過ごしていて、コドモの世話を十分にしてない乳母たちには大変嫌われていました。
whom she followed to their homes and complained of to their mistresses.	というのもそんな乳母たちの家までついていき、世話を十分にしてないことを奥さんにいいつけたからでした。
She proved to be quite a treasure of a nurse.	そして、ナナは本当に乳母のカガミであることがわかりました。
How thorough she was at bath-time, and up at any moment of the night if one of her charges made the slightest cry.	お風呂にいれるのも完璧でしたし、夜中のいつでも、コドモ達のひとりのかすかな泣き声にさえちゃんと起きるのでした。
Of course her kennel was in the nursery.	もちろん犬小屋はコドモ部屋にあり、
She had a genius for knowing when a cough is a thing to have no patience with and when it needs stocking around your throat.	ナナはコドモが一回咳をしてもがまんさせちゃいけなさそうな具合だぞとか、のどに靴下をまかなきゃいけない頃だということが生まれながらにしてわかっているかのようでした。
She believed to her last day in old-fashioned remedies like rhubarb leaf, and made sounds of contempt over all this new-fangled talk about germs, and so on.	ナナは死ぬまで、ダイオウの葉っぱだとかの昔風の治療法を信じきっていました、そして細菌とかなんとかいった新しいだけの話には、はなからばかにしたようなうなり声をあげるのでした。
It was a lesson in propriety to see her escorting the children to school, walking sedately by their side when they were well behaved, and butting them back into line if they strayed.	ナナがコドモ達を学校へ送り迎えする姿は礼儀作法のお手本にしたいくらいで、コドモ達がちゃんとしているときはおちつきはらって横にならんで歩いているし、コドモ達が列からはみだそうものなら、頭でつついて列におしもどすのです。
On John's footer [in England soccer was called football, "footer for short] days she never once forgot his sweater, and she usually carried an umbrella in her mouth in case of rain.	ジョンがサッカーをやる日にセーターを忘れたことはありませんし、雨の日にはいつも口に傘をくわえていきました。
There is a room in the basement of Miss Fulsom's school where the nurses wait.	フルサム幼稚園には地下にひと部屋あり、そこで乳母たちはコドモを待つのです。
They sat on forms, while Nana lay on the floor,	乳母たちは長いすに腰掛け、一方ナナは床に寝そべっていました。
but that was the only difference.	違いは本当にその点だけです。
They affected to ignore her as of an inferior social status to themselves, and she despised their light talk.	乳母たちは自分たちより身分が低いんだから、とナナを無視するふりをしましたし、ナナはナナで乳母達の内容のないおしゃべりをばかにしていました。
She resented visits to the nursery from Mrs. Darling's friends, but if they did come she first whipped off Michael's pinafore and put him into the one with blue braiding, and smoothed out Wendy and made a dash at John's hair.	ナナはコドモ部屋にママの友達がくるのを大変嫌がっていましたが、実際来たときは、まずマイケルのエプロンをさっとぬがせ、青い組みひもで縁取られたエプロンを着せて、ウェンディの服のしわをのばし、それからいそいでジョンの髪をとかしつけるのでした。
No nursery could possibly have been conducted more correctly,	これほどきちんとしているコドモ部屋が、他にあったでしょうか。
and Mr. Darling knew it, yet he sometimes wondered uneasily whether the neighbours talked.	そしてパパもそれをよく知ってはいましたが、まだ時々、近所の人がなんと言ってるか不安に思うのでした。
He had his position in the city to consider.	なにしろパパは、町での自分の立場も考えなければならなかったのです。
Nana also troubled him in another way.	ナナも別の意味で悩みの種でした。
He had sometimes a feeling that she did not admire him.	時々ナナが、パパを尊敬してないように感じたのです。
"I know she admires you tremendously, George,"	「わたしは、ナナがあなたをとっても尊敬してるのを知ってるわよ」
Mrs. Darling would assure him, and then she would sign to the children to be specially nice to father.	とママはパパを励ましたものです、そしてコドモ達にパパに特別やさしくしなさいという合図をしたものでした。
Lovely dances followed, in which the only other servant, Liza, was sometimes allowed to join.	愛らしいダンスがはじまり、もう一人のリザという召使も時々一緒に踊ることをゆるされました。
Such a midget she looked in her long skirt and maid's cap, though she had sworn, when engaged, that she would never see ten again.	長いスカートと召使の帽子をかぶった姿はとても小さくみえましたが、雇われたときには、もう１０才にはみえませんと自分で断言していたのです。
The gaiety of those romps!	遊びまわるみんなのにぎやかなこと。
And gayest of all was Mrs. Darling, who would pirouette so wildly that all you could see of her was the kiss,	でも全員の内で一番楽しそうなのはもちろんママで、すごい勢いでつま先でくるくるまわっていたために、あのキスしか見えないほどでした。
and then if you had dashed at her you might have got it.	もしいまママに飛びついたのなら、キスしてもらえたかもしれません。
There never was a simpler happier family until the coming of Peter Pan.	ピーターパンが来るまでは、こんなに何から何まで幸せに満ちた家庭は、他にはなかったことでしょう。
Mrs. Darling first heard of Peter when she was tidying up her children's minds.	ママがはじめてピーターパンのことを耳にしたのは、子供たちの心を整理整頓しているときでした。
It is the nightly custom of every good mother after her children are asleep to rummage in their minds and put things straight for next morning, repacking into their proper places the many articles that have wandered during the day.	かならず毎晩、コドモ達が寝入ったあとで、いいママならだれでも、コドモ達の心の中をひっくりかえして、昼間にあちこちに散らかったものをそれぞれの場所につめなおして、翌朝のために整理整頓するものなのです。
If you could keep awake (but of course you can't) you would see your own mother doing this, and you would find it very interesting to watch her.	もしあなたが起きていられたら（もちろん無理でしょうけど）、あなたのママが整理整頓してるのをみることでしょう、そしてそんなママを見てるのは、とても面白いことでしょう。
It is quite like tidying up drawers.	それはまるで、たんすの整理みたいなものなのです。
You would see her on her knees, I expect,	私が思うには、あなたはママがひざまづいて、こんなことをしてるのをみるでしょう。
lingering humorously over some of your contents, wondering where on earth you had picked this thing up, making discoveries sweet and not so sweet, pressing this to her cheek as if it were as nice as a kitten, and hurriedly stowing that out of sight.	つまりあなたの心の中にある物のいくつかを面白そうに手にとってみて、一体全体どこでこんなものをひろってきたのか不思議に思って、その発見をうれしく思ったり、逆にあんまりそうでもなかったり、まるで子ネコみたいにかわいいものであるかのようにほおにおしあてたり、あわてて見えない所にしまいこんだりする所を。
When you wake in the morning, the naughtiness and evil passions with which you went to bed have been folded up small and placed at the bottom of your mind and on the top, beautifully aired, are spread out your prettier thoughts, ready for you to put on.	あなたが朝起きたときには、夜寝るときにベッドにもちこんだわがままや意地悪は小さくたたみこまれて、心の奥底にしまいこまれているし、一番上にはすっかりかわいたきれいな心が、すぐ身に付けられるようにひろげてあるのでした。
I don't know whether you have ever seen a map of a person's mind.	あなたが心の地図を見たことがあるかどうか、わたしは知りません。
Doctors sometimes draw maps of other parts of you,	お医者さんは、時々あなたの心以外の地図を描きます。
and your own map can become intensely interesting,	あなた自身の地図は、あなたにとって、とても興味深いものです。
but catch them trying to draw a map of a child's mind, which is not only confused, but keeps going round all the time.	お医者さんが、コドモの心の地図を描こうとしているのをみてみましょう、そのコドモの心は散らかってるだけでなく、いつもくるくる回りつづけています。
There are zigzag lines on it, just like your temperature on a card, and these are probably roads in the island, for the Neverland is always more or less an island, with astonishing splashes of colour here and there, and coral reefs and rakish-looking craft in the offing, and savages and lonely lairs, and gnomes who are mostly tailors, and caves through which a river runs, and princes with six elder brothers, and a hut fast going to decay, and one very small old lady with a hooked nose.	心の上には、まるであなたの体温表みたいにジグザグの線があり、それはたぶんその島の道なのでしょう、なぜならその島、ネバーランドは、大体島といってもいいようなものであり、あちこちに驚くほどの色の模様があり、さんご礁、沖合いに速そうにみえる小船、野蛮人がいて、さびしい墓地、たいがい仕立て屋をやってる小人たちがいて、川が流れているどうくつがあって、６人の兄をもつ王子がいて、刻々とくずれおちていく小屋があり、カギ鼻の背の低い老婆がいたものです。
It would be an easy map if that were all,	これで全部なら、まだまだ簡単な地図といえるでしょう。
but there is also first day at school, religion, fathers, the round pond, needle-work, murders, hangings, verbs that take the dative, chocolate pudding day, getting into braces, say ninety-nine, three-pence for pulling out your tooth yourself, and so on,	でもまだ学校での最初の登校日、宗教、祖先、まあるい池、針仕事、殺人、絞首刑、間接目的語をとる動詞、チョコレートプディングの日、歯列矯正器をつけて、９９といって、じぶんで歯をぬいたら３ペンスやるよ、とかとにかくそんなものがあるのです。
and either these are part of the island or they are another map showing through, and it is all rather confusing, especially as nothing will stand still.	そしてそれらはすべてネバーランドの一部、もしくは透けて見える別の地図といったぐあいで、とにかく全く混乱しており、しっかり根をおろしてかわらないものなど何もないといった具合でした。
Of course the Neverlands vary a good deal.	ネバーランドは、もちろんとってもヘンカにとんでいます。
John's, for instance, had a lagoon with flamingoes flying over it at which John was shooting,	たとえばジョンのネバーランドには、ラグーン（さんごにかこまれた浅瀬）があってその上をフラミンゴの群れが飛んでいて、ジョンはそれを撃ちます。
while Michael, who was very small, had a flamingo with lagoons flying over it.	一方マイケルといえば、まだとっても小さかったので、フラミンゴがいて、その上をラグーンの群れが飛んでるのです。
John lived in a boat turned upside down on the sands, Michael in a wigwam, Wendy in a house of leaves deftly sewn together.	ジョンは砂浜にさかさまになっていたボートに住み込んで、マイケルはインディアンのすむようなテントに、ウェンディは巧みに縫い合わされた葉っぱの家に住んでいました。
John had no friends,	ジョンには、一人も友達がいません。
Michael had friends at night, Wendy had a pet wolf forsaken by its parents,	マイケルは夜の間だけの友達がいて、ウェンディは親にすてられた狼をペットにしていました。
but on the whole the Neverlands have a family resemblance, and if they stood still in a row you could say of them that they have each other's nose, and so forth.	ただ、まあだいたい、ネバーランドは兄弟姉妹では似たり寄ったりになるもので、兄弟姉妹のネバーランドを一列に整列させたら、同じような鼻だなぁとかなんとかいうことになるでしょう。
On these magic shores children at play are for ever beaching their coracles [simple boat].	ネバーランドの魔法の岸辺で遊んでいるコドモ達は、いつも小船を岸にひきあげているのです。
We too have been there;	わたしたちも、かつてはそこにいたことがありました。
we can still hear the sound of the surf,	まだ波の音がきこえるでしょう。
though we shall land no more.	でも、もうわたしたちはその島へ上陸することはできないのです。
Of all delectable islands the Neverland is the snuggest and most compact,	全ての楽しい島々の中で、ネバーランドはもっともこじんまりしていてコンパクトです。
not large and sprawly, you know, with tedious distances between one adventure and another,	えぇ、ひとつの冒険から次の冒険までがいやになるくらい離れているほど、おおきかったり不規則に拡大していたりはしません。
but nicely crammed.	ちょうどいい具合につめこまれています。
When you play at it by day with the chairs and table-cloth, it is not in the least alarming, but in the two minutes before you go to sleep it becomes very real.	昼間のあいだ、椅子とテーブルクロスのところで、ネバーランドの遊びをするときは、まったく不安になることはないのに、眠りにおちる前の２分間には、急に現実みたいに思えたりもするのです。
That is why there are night-lights.	それこそが、ナイトライトがある理由だったりします。
Occasionally in her travels through her children's minds Mrs. Darling found things she could not understand,	時々ママがコドモ達の心の中を旅してると、理解できないものにつきあたったりします。
and of these quite the most perplexing was the word Peter.	その中でも、もっとも途方にくれてしまうのは、ピーターという言葉でした。
She knew of no Peter, and yet he was here and there in John and Michael's minds, while Wendy's began to be scrawled all over with him.	ママにはピーターなんて知り合いはいませんでしたし、ジョンとマイケルの心のあちらこちらにいて、ウェンディの心ときたら、ピーターという名前の落書きであふれかえりそうなぐらいなのでした。
The name stood out in bolder letters than any of the other words, and as Mrs. Darling gazed she felt that it had an oddly cocky appearance.	ピーターという名前は、他の言葉にくらべてもより太い字で書かれており、ひときわ目立ちましたし、ママはその名前をじっとみると、みょうにうぬぼれているといった感じをうけるのでした。
"Yes, he is rather cocky,"	「まあかなりのうぬぼれやさんね」
Wendy admitted with regret.	ママがそうたずねたので、ウェンディはしぶしぶそう認めました。
Her mother had been questioning her. "But who is he, my pet?"	「いったい誰なの、ペット？」
"He is Peter Pan, you know, mother."	「ピーターパンよ、ママ知ってるでしょ？」
At first Mrs. Darling did not know,	最初ママには分かりませんでした。
but after thinking back into her childhood she just remembered a Peter Pan who was said to live with the fairies.	でもコドモの頃のことを思いかえしてみると、妖精たちとくらしているといわれていたピーターパンのことに思い当たりました。
There were odd stories about him,	ピーターパンの話はかなりかわっていて、たとえばこうです。
as that when children died he went part of the way with them, so that they should not be frightened.	コドモが死んだときには、ピーターパンが途中まで一緒についていって、恐がらないようにしてあげるといったようなぐあいです。
She had believed in him at the time,	ママも当時は、ピーターパンがいることを信じていました。
but now that she was married and full of sense she quite doubted whether there was any such person.	でも今は、結婚して分別もついていましたから、ピーターパンなんているのかしら？とかなり疑わしく思っていました。
"Besides,"	「それにしても」
she said to Wendy,	ママは、ウェンディにいいました。
"he would be grown up by this time."	「もう今では大人になってるわね」
"Oh no, he isn't grown up,"	「あらやだ、ピーターパンはオトナになんてなりません」
Wendy assured her confidently,	ウェンディは胸をはって、自信たっぷりにいいはりました。
"and he is just my size."	「ピーターは、わたしとまったく同じおおきさだし」
She meant that he was her size in both mind and body;	彼女がいってる“おなじおおきさ”の意味は、心と体の両方とも“おなじおおきさ”ってことでした。
she didn't know how she knew, she just knew it.	ウェンディはどういうふうにして“おなじおおきさ”ってことがわかったかはわからないけど、とにかくわかっていたのでした。
Mrs. Darling consulted Mr. Darling, but he smiled pooh-pooh.	ママはパパに相談しましたが、パパはばかにして笑うだけでした。
"Mark my words,"	「わしの言葉を覚えておけよ、」
he said,	とパパ。
"it is some nonsense Nana has been putting into their heads;	「ナナがコドモ達に教え込んだたわごとさ、
just the sort of idea a dog would have.	イヌが考えそうなことだ。
Leave it alone, and it will blow over."	ほっとけよ、忘れるだろう」
But it would not blow over	ところが、忘れるどころのさわぎではありません。
and soon the troublesome boy gave Mrs. Darling quite a shock.	そのやっかいごとをひきおこす男の子は、ママに大ショックを与えたのでした。
Children have the strangest adventures without being troubled by them.	コドモというものは親たちにわずらわされなければ、どんなかわった冒険でもします。
For instance, they may remember to mention, a week after the event happened, that when they were in the wood they had met their dead father and had a game with him.	例えば、森にいて、死んだお父さんと会っていっしょに遊んだよなんてことを、終わって一週間もしてから、思い出して言ったりします。
It was in this casual way that Wendy one morning made a disquieting revelation.	ウェンディがある朝、おどろくべき意外なことをいいだしたのは、こんなふうになにげなくでした。
Some leaves of a tree had been found on the nursery floor,	木の葉がコドモ部屋で見つかりました。
which certainly were not there when the children went to bed,	昨晩コドモが寝たときには、確かになかったはずなのに。
and Mrs. Darling was puzzling over them when Wendy said with a tolerant smile:	ウェンディがしょうがないわねぇって微笑みながらこう言った時、ママは木の葉をただ不思議だなぁと思っていました。
"I do believe it is that Peter again!"	「また、ピーターのせいだと思うわ」
"Whatever do you mean, Wendy?"	「いったいぜんたい、どういうこと、ウェンディ」
"It is so naughty of him not to wipe his feet,"	「わんぱくだから、くつをふかないのよ」
Wendy said, sighing. She was a tidy child.	ウェンディはきちんとした子でしたから、ため息をついていいました。
She explained in quite a matter-of-fact way that she thought Peter sometimes came to the nursery in the night and sat on the foot of her bed and played on his pipes to her.	ウェンディは、まったくあたりまえのことを話しているように、ピーターが時々コドモ部屋にやってきて、ウェンディのベッドの足の方に腰掛けて、笛をきかせてくれるの、と説明しました。
Unfortunately she never woke, so she didn't know how she knew, she just knew.	残念なことに、起きていなかったので、どうやってそのことがわかったかはわからないけど、とにかくわかっていたのでした。
"What nonsense you talk, precious.	「なにわけのわからないことをいってるの、かわいい子。
No one can get into the house without knocking."	玄関のドアをノックせず家にはいってくるなんてことは、できないのよ」
"I think he comes in by the window,"	「窓からきたと思うのよ」
she said.	とウェンディは、いいました。
"My love, it is three floors up."	「まぁ、ここは三階なのよ」
"Were not the leaves at the foot of the window, mother?"	「じゃあどうして葉っぱは窓際にあるの？」
It was quite true;	全くその通りでした。
the leaves had been found very near the window.	葉っぱは、まさに窓際にあったのですから。
Mrs. Darling did not know what to think, for it all seemed so natural to Wendy that you could not dismiss it by saying she had been dreaming.	ママにはまったく訳がわかりませんでしたが、ウェンディがあまりに平然としてるので、夢でもみてたんじゃないのなんて、さっさと片付けてしまうわけにはいきませんでした。
"My child,"	「いいこね、」
the mother cried,	ママは声をちょっとあらげました。
"why did you not tell me of this before?"	「でもなんでもっと前にママにいってくれなかったの？」
"I forgot,"	「わすれてたんだもの」
said Wendy lightly.	ウェンディはそっけなくいうと、
She was in a hurry to get her breakfast.	あわてて朝食をたべました。
Oh, surely she must have been dreaming.	ええたぶん、夢でもみてたにちがいありませんとも。
But, on the other hand, there were the leaves.	でも、かたや、葉っぱはたしかにあるのでした。
Mrs. Darling examined them very carefully;	ママが葉っぱをとても注意深く調べてみると、
they were skeleton leaves, but she was sure they did not come from any tree that grew in England.	それはすじばっかりの葉っぱで、イングランドに生えてる木のものではないことはわかりました。
She crawled about the floor, peering at it with a candle for marks of a strange foot.	ママは床にはいつくばって、ろうそくでもって照らして、かわった足跡がないか調べてみました。
She rattled the poker up the chimney and tapped the walls.	火かき棒で煙突をガタガタさぐったり、壁をたたいたりしました。
She let down a tape from the window to the pavement,	窓から道路までテープをたらしてみました。
and it was a sheer drop of thirty feet, without so much as a spout to climb up by.	垂直に３０フィートもあって、のぼってこれる雨どいひとつとしてありません。
Certainly Wendy had been dreaming.	夢をみてたんですとも。
But Wendy had not been dreaming, as the very next night showed,	でもウェンディが夢をみてたわけじゃなかったことは、まさに次の日の夜に明らかになりました。
the night on which the extraordinary adventures of these children may be said to have begun.	コドモ達のおどろくべき冒険がはじまったといってもいいあの夜に。
On the night we speak of all the children were once more in bed.	その夜、またコドモ達がベッドにはいったところから、はじめましょう。
It happened to be Nana's evening off, and Mrs. Darling had bathed them and sung to them till one by one they had let go her hand and slid away into the land of sleep.	たまたまナナが夜に外出していたので、ママがコドモをおふろにいれて、ひとりまたひとりと握ってたママの手をはなして、夢の国にはいっていくまで、子守唄をうたってやりました。
All were looking so safe and cosy that she smiled at her fears now and sat down tranquilly by the fire to sew.	ママはなにもかもが安全でここちよく感じられたので、心配する必要なんてなかったんだわと微笑んで、縫い物をするために暖炉のそばにゆったり腰をおろしました。
It was something for Michael, who on his birthday was getting into shirts.	縫い物はマイケルのもので、今度の誕生日にはシャツをきることになっていたのです。
The fire was warm, however, and the nursery dimly lit by three night-lights, and presently the sewing lay on Mrs. Darling's lap.	暖炉の火は温かく、コドモ部屋は３つのナイトライトで照らされているだけでうすぐらかったので、やがて縫い物はママのひざの上に落ちました。
Then her head nodded, oh, so gracefully.	頭は、とてもゆうがにですが、こっくりこっくりとして、
She was asleep.	ママは眠りにおちてしまいました。
Look at the four of them, Wendy and Michael over there, John here, and Mrs. Darling by the fire.	４人をみてください、ウェンディとマイケルはあちらで、ジョンはここです、そしてママはだんろのそばで。
There should have been a fourth night-light.	４つ目のナイトライトがあるべきでした。
While she slept she had a dream.	ママが眠りにおちて、夢をみていると、
