There was a certain island in the sea,	海の中にとある島があった。
This Caliban, Prospero found in the woods,	このキャリバンを、プロスペロウは森の中で見つけたのだ。
a strange misshapen thing, far less human in form than an ape:	あまりに奇妙でぶかっこうな代物で、その姿は猿よりもはるかに人間離れしていた。
he took him home to his cell, and taught him to speak;	プロスペロウはキャリバンを岩屋につれて帰り、話すことを教えてやった。
and Prospero would have been very kind to him,	彼はキャリバンを親切に扱うつもりだった。
but the bad nature which Caliban inherited from his mother, Sycorax, would not let him learn anything good or useful:	しかし、キャリバンは母親であるシコラックスから悪い性質を受け継いでいたので、善いことや役に立つことを学んでいく気を持っていなかったのだ。
therefore he was employed like a slave,	そのため、彼は奴隷のごとく扱われた。
to fetch wood and do the most laborious offices;	たきぎを取ってきたり、ひどく骨の折れる仕事に使われたりした。
and Ariel had the charge of compelling him to these services.	エアリエルは、キャリバンにこうした仕事をさせる役目をしていたのだ。
When Caliban was lazy and neglected his work, Ariel (who was invisible to all eyes but Prospero's) would come slyly and pinch him,	キャリバンが仕事をなまけたりやらなかったりしたときは、エアリエル（彼はプロスペロウ以外には見えなかった）がこっそりやってきて彼をつねった。
and sometimes tumble him down in the mire;	ときには彼をぬかるみの中に転ばした。
and then Ariel, in the likeness of an ape, would make mouths at him.	次には猿の姿になって顔をしかめて見せた。
Then swiftly changing his shape, in the likeness of a hedgehog, he would lie tumbling in Caliban's way,	かと思うと、ハリネズミに姿を変えて、キャリバンの通る道に転がっていた。
who feared the hedgehog's sharp quills would prick his bare feet.	キャリバンは、ハリネズミの鋭いトゲが自分のはだしの足に刺さりはしないかとびくびくしていた。
With a variety of such-like vexatious tricks Ariel would often torment him, whenever Caliban neglected the work which Prospero commanded him to do.	プロスペロウが言いつけた仕事をキャリバンがさぼるといつでも、エアリアルはこんな嫌がらせをいろいろやって、キャラバンをいじめていた。
Having these powerful spirits obedient to his will, Prospero could by their means command the winds, and the waves of the sea.	エアリエルのような力のある精霊を意のままにあやつっていたため、プロスペロウは精霊の力で風や海の波を思い通りにすることができた。
By his orders they raised a violent storm,	彼の命によって精霊たちはあらしをおこした。
in the midst of which, and struggling with the wild sea-waves that every moment,threatened to swallow it up,	その中に、今にもそれを飲み込まんとしているすざましいあらしと戦っている大きな船の姿があった。
he showed his daughter a fine large ship, which he told her was full of living beings like themselves.	プロスペロウは娘にその船を見せ、あの中には自分たちと同じ人間がたくさん乗っているんだよ、と言った。
"O my dear father,"	「お父様。」
said she,	娘は言った。
"if by your art you have raised this dreadful storm, have pity on their sad distress.	「もしお父様の力でもってこのような恐ろしいあらしを起こしたのでしたら、あの人たちの悲しみや苦しみを思いやって下さいまし。
See!	ああ！
the vessel will be dashed to pieces.	あの船はこっぱみじんに砕かれてしまいますわ。
Poor souls!	かわいそうな人たち！
they will all perish.	みな死んでしまいますわ。
If I had power I would sink the sea beneath the earth,	私に力があれば、海を地の底に沈めてしまえるのに。
rather than the good ship should be destroyed, with all the precious souls within her."	船が壊され、貴重な人命が失われるよりはましでございましょう。」
"Be not amazed, daughter Miranda,"	「驚くことはないのだよ、ミランダ。」
said Prospero;	プロスペロウはいった。
"there is no harm done.	「危険はまったくないのだ。
I have so ordered it, that no person in the ship shall receive any hurt.	船中だれひとり危害を受けないようにしてあるのだよ。
What I have done has been in care of you, my dear child.	これもおまえのためを思ってのことなんだよ。
You are ignorant who you are, or where you came from, and you know no more of me,	娘や、おまえは自分が何者で、どこから来たのか知らないだろう。
but that I am your father and live in this poor cave.	私のことも、私がおまえの父親で、このみすぼらしい岩屋に住んでいるという以外には何も知らないだろう。
Can you remember a time before you came to this cell?	この岩屋に来る前のことを何か覚えているかね？
I think you cannot,	思い出せないだろう、
for you were not then three years of age."	あの時おまえはまだ３歳にもなっていなかったんだからね。」
"Certainly I can, sir,"	「思い出せますわ、お父様。」
replied Miranda.	ミランダは答えた。
"By what?"	「何によってかね。」
asked Prospero;	プロスペロウは尋ねた。
"by any other house or person?	「家のことかね、人のことかね。
Tell me what you can remember, my child."	何が思い出せるのか言ってごらん。」
Miranda said:	ミランダは言った。
"It seems to me like the recollection of a dream.	「遠い夢のような記憶に思えます。
But had I not once four or five women who attended upon me?"	ですけど、私には４人か５人、女の人がついていたのではないかしら。」
Prospero answered:	プロスペロウは答えた。
"You had, and more.	「そうだね、でももっといたんだ。
How is it that this still lives in your mind?	そのことを覚えているなんて、どういうことだろうね。
Do you remember how you came here?"	なぜここへやってきたのか、覚えているかね？」
"No, sir,"	「いいえ。」
said Miranda,	ミランダは答えた。
"I remember nothing more."	「それ以上は何も覚えていませんわ。」
"Twelve years ago, Miranda,"	「12年前になるな、ミランダ。」
continued Prospero,	プロスペロウは話を始めた。
"I was Duke of Milan, and you were a princess,	「そのころ私はミラノの公爵で、おまえはお姫様だった。
and my only heir.	私のたった１人の跡継ぎだったんだ。
I had a younger brother, whose name was Antonio, to whom I trusted everything;	私には弟が１人いてね、名前をアントニオといったが、私はやつに何もかも任せていた。
and as I was fond of retirement and deep study I commonly left the management of my state affairs to your uncle, my false brother (for so indeed he proved).	私は俗世間を離れて、研究に没頭するのが好きなたちでね、公爵としての仕事はたいていおまえの叔父、つまり私のよこしまな弟（後でそうと分かったんだ）にさせていたんだ。
I, neglecting all worldly ends, buried among my books, did dedicate whole time to the bettering of my mind.	私は日常のことをすべてなおざりにして、本の間にひきこもって、すべての時を精神修養のために使っていた。
My brother Antonio, being thus in possession of my power, began to think himself the duke indeed.	弟アントニオは、たちまちのうちに私の権力を手にいれて、公爵であるかのようにふるまい始めた。
The opportunity I gave him of making himself popular among my subjects awakened in his bad nature a proud ambition to deprive me of my dukedom;	私は弟に、私の臣下たちが弟を気に入るようにさせていたから、やつは自然と、公国を我がものにしようなどという大それた企てをたくらむようになった。
this he soon effected with the aid of the King of Naples, a powerful prince, who was my enemy."	その企てを、やつはすぐさま実行したんだ、強大な王にして私の敵だったナポリ王の助力を得てね。」
"Wherefore,"	「ならどうして、」
said Miranda,	ミランダは言った。
"did they not that hour destroy us?"	「その人たちは私を殺さなかったのですか。」
"My child,"	「娘や、」
answered her father,	父親は答えた。
"they durst not,	「そこまでやれなかったのだよ。
so dear was the love that my people bore me.	私のことを慕ってくれる人が大勢いたからね。
Antonio carried us on board a ship, and when we were some leagues out at sea, he forced us into a small boat, without either tackle, sail, or mast;	アントニオは私たちをボートに乗せて、数リーグ［＃注１］ほど沖に連れていき、索具も帆もマストもないような小舟に押し込んだんだ。
there he left us,	そして海に流したんだ。
as he thought, to perish.	そうしておけば私たちは死ぬだろうとあいつは考えたわけだ。
But a kind lord of my court, one Gonzalo,	しかしね、私の宮廷にいた親切な貴族で、ゴンザーロウという者がいたんだ。
who loved me, had privately placed in the boat water, provisions, apparel, and some books which I prize above my dukedom."	私を愛してくれててね、小舟の中にこっそりと水や食料や衣類、それに私が公国よりも大事にしていた本まで入れてくれたんだ。」
"O my father,"	「お父様。」
said Miranda,	ミランダは言った。
"what a trouble must I have been to you then!"	「お父様にとって、そのときの私はさぞお邪魔だったんでしょうね。」
"No, my love,"	「なんの、なんの。」
said Prospero,	プロスペロウは言った。
"you were a little cherub that did preserve me.	「おまえは私を支えてくれた、かわいい天使だったよ。
Your innocent smiles made me bear up against my misfortunes.	おまえが無邪気にほほえむのを見て、私は我が身への不幸を耐える気になったんだ。
Our food lasted till we landed on this desert island,	食料はこの荒れ果てた島にたどり着くまでもったよ。
since when my chief delight has been in teaching you,	それから、私はおまえの教育に心血を注いだんだ。
Miranda, and well have you profited by my instructions."	ミランダ、おかげで立派に育ってくれたな。」
"Heaven thank you, my dear father,"	「神のご加護がお父様の上にありますように。」
said Miranda.	ミランダは言った。
"Now pray tell me, sir, your reason for raising this sea-storm?"	「ところで、このあらしをお起こしになったわけをお聞かせ下さい。」
"Know then,"	「では話そう。」
said her father,	父親は言った。
"that by means of this storm, my enemies, the King of Naples and my cruel brother, are cast ashore upon this island."	「それはね、このあらしで私の敵である、ナポリ王と薄情な弟をこの島に呼んだんだよ。」
Having so said, Prospero gently touched his daughter with his magic wand,	そう言って、プロスペロウは魔法の杖でそっと娘に触れた。
and she fell fast asleep;	娘はすぐに眠りについた。
for the spirit Ariel just then presented himself before his master.	ちょうど精霊エアリエルが主人の前に姿を現したからである。
to give an account of the tempest, and how he had disposed of the ship's company,	エアリエルは、あらしを起こし、船の乗組員たちをどうしたのか報告に来たのだ。
and though the spirits were always invisible to Miranda, Prospero did not choose she should hear him holding converse (as would seem to her) with the empty air.	ただ、精霊はミランダの目には見えなかったので、プロスペロウは自分が虚空と話をしている（娘の目にはそう見えるのだ）のを娘に聞かれたくなかったのだ。
"Well, my brave spirit,"	「さて、すばらしい精霊よ。」
said Prospero to Ariel,	プロスペロウはエアリエルに言った。
"how have you performed your task?"	「仕事はどうだったかね。」
Ariel gave a lively description of the storm, and of the terrors of the mariners,	エアリエルは報告を始めた。あらしを起こし、船員たちを恐怖に陥れました。
and how the king's son, Ferdinand, was the first who leaped into the sea;	王の息子のファーディナンドが真っ先に海中に飛び込みました。
and his father thought he saw his dear son swallowed up by the waves and lost.	ファーディナンドの父は、息子は波に飲まれて行方不明になったと思いこんでいます。
"But he is safe,"	「ところが王子は無事なのです。」
said Ariel,	エアリエルは言った。
"in a corner of the isle, sitting with his arms folded,	「島の一隅で腕を組んでじっと座っています。
sadly lamenting the loss of the king, his father,	そして、父王が亡くなったのを嘆いています。
whom he concludes drowned.	父は溺れてしまったと思っているのです。
Not a hair of his head is injured,	髪の毛一本も傷ついておりません。
and his princely garments,	まことに王子らしいお姿をしています。
though drenched in the sea-waves, look fresher than before."	波のせいでびしょびしょになってはいますが、以前より生き生きとしていらっしゃいます。」
"That's my delicate Ariel,"	「みごとだ、エアリエル。」
said Prospero.	プロスペロウは言った。
"Bring him hither:	「王子をここへ連れてきなさい。
my daughter must see this young prince.	娘をその若い王子に会わせなければならんのでな。
Where is the king, and my brother?"	ナポリ王はどうした、それから私の弟は。」
"I left them,"	「彼らは放っておきました。」
answered Ariel,	エアリエルは答えた。
"searching for Ferdinand,	「やがてファーディナンドを捜しに行くでしょう。
whom they have little hopes of finding,	もっとも、ほとんどあきらめていますね。
thinking they saw him perish.	彼らはファーディナンドは目の前で死んでしまったと思ってますからね。
Of the ship's crew not one is missing;	乗組員は誰も欠けていません。
though each one thinks himself the only one saved;	ただ、みんな助かったのは自分だけだと思っています。
and the ship, though invisible to them, is safe in the harbor."	そして、船は誰にも見ることはできませんが、港の中で無事なのです。」
"Ariel,"	「エアリエル。」
said Prospero,	プロスペロウは言った。
"thy charge is faithfully performed;	「君の任務は立派に果たされた。
but there is more work yet."	だが、まだ仕事はあるのだよ。」
"Is there more work?"	「まだあるのですか。」
said Ariel.	エアリエルは言った。
"Let me remind you, master,	「思いだしてくださいな、ご主人様。
you have promised me my liberty.	あなたは私を自由にしてくれると約束なさいました。
I pray, remember,	お願いでございます。
I have done you worthy service,	私はあなたに忠実に仕えてきました。
told you no lies, made no mistakes, served you without grudge or grumbling."	うそは全然つかず、間違いもせず、恨みも不平も言わずに仕えてきたはずです。」
"How now!"	「では何か。」
said Prospero.	プロスペロウは言った。
"You do not recollect what a torment I freed you from.	「君は私がどんな苦しみから救ってやったのか忘れてしまったのか。
Have you forgot the wicked witch Sycorax, who with age and envy was almost bent double?	老いと恨みで腰が二重に曲がるばかりだった、邪悪な魔女シコラックスのことを忘れてしまったのか。
Where was she born?	あの女はどこの生まれか。
Speak; tell me."	私に言うのだ。」
"Sir, in Algiers,"	「アルジューでございます。」
said Ariel.	エアリエルは言った。
"Oh, was she so?"	「そうか。」
said Prospero.	プロスペロウは言った。
"I must recount what you have been,	「昔君がどんなだったか話してやらなければならんな。
which I find you do not remember.	どうやら忘れてしまっているようだから。
This bad witch, Sycorax, for her witchcrafts, too terrible to enter human hearing, was banished from Algiers, and here left by the sailors-;	あの悪い魔女は、人の耳に入れられぬほど恐ろしい魔術を使ったためにアルジューから追放されて、ここで水夫たちに置き去りにされたのだ。
and because you were a spirit too delicate to execute her wicked commands, she shut you up in a tree,	君はやさしい精霊で、シコラックスの邪悪な命令を聞かなかったものだから、あの女は君を木に閉じこめたんだ。
where I found you howling.	私が見つけたとき、君は泣いていたね。
Thistorment, remember, I did free you from."	こういった悲しみから私は君を自由にしたんだよ。」
"Pardon me, dear master,"	「すみません、ご主人様。」
said Ariel, ashamed to seem ungrateful;	エアリエルは恩知らずのように見えるのを恥じていた。
"I will obey your commands."	「ご命令に従います。」
"Do so,"	「それでいい。」
said Prospero,	プロスペロウは言った。
"and I will set you free."	「そうしたら君を自由にしてやろう。」
He then gave orders what further he would have him do;	それからエアリエルに、いろいろと命令を伝えた。
and away went Ariel, first to where he had left Ferdinand, and found him still sitting on the grass in the same melancholy posture.	エアリエルはその場を離れ、まずファーディナンドを置き去りにした場所へ行き、まだファーディナンドが沈んだ様子で草の上に座っているのを見つけた。
"Oh, my young gentleman,"	「おお、お若いかた。」
said Ariel, when he saw him,	エアリエルはファーディナンドに話しかけた。
'I will soon move you.	「あなたを連れていきます。
You must be brought, I find, for the Lady Miranda to have a sight of your pretty person.	ミランダ姫があなたの立派な姿をごらんになるように、あなたをお連れしなければならなくなったの。
Come. sir,, follow me."	さあ、私についてきなさいな。」
He then began singing:	そしてエアリエルは歌い出した。
"Full fathom five thy father lies;	五尋《ひろ》の深みに父上います
Of his bones are coral made;	骨は珊瑚となりました
Those are pearls that were his eyes:	もとのまなこは今では真珠
Nothing of him that doth fade,	彼の体は朽ちもせず
But doth suffer a sea-change	海の変化を体に受けて
Into something rich and strange.	珍奇な宝となりました
Sea-nymphs hourly ring his knell:	海の姫たち鐘の音鳴らす
Hark! now I hear them--Ding-dong, bell."	ほら鳴らしてる―ディンドン、鐘を
This strange news of his lost father soon roused the prince from the stupid fit into which he had fallen.	別れた父親に関するこの不思議な知らせを聞いて、王子はたちまち無感覚な状態から目覚めた。
He followed in amazement the sound of Ariel's voice,	王子は何も分からずにエアリエルの声がする方へとついていった。
till it led him to Prospero and Miranda,	エアリエルの声は、プロスペロウとミランダのところまで王子を連れていった。
who were sitting under the shade of a large tree.	そのとき２人は大木の木陰に座っていた。
Now Miranda had never seen a man before, except her own father.	さて、ミランダはそれまで父親のほか男というものを見たことがなかった。
"Miranda,"	「ミランダ。」
said Prospero,	プロスペロウは言った。
"tell me what you are looking at yonder."	「向こうに見えるものはなにか、言ってごらん。」
"Oh, father,"	「お父様。」
said Miranda, in a strange surprise,	ミランダは常ならぬ驚きを見せていた。
"surely that is a spirit.	「きっとあれは精霊ですわ。
Lord! how it looks about!	まあ、あちこち見回していますわ。
Believe me, sir, it is a beautiful creature.	なんてきれいなんでしょう。
Is it not a spirit?"	精霊じゃありませんの？」
"No, girl,"	「そうではないよ。」
answered her father;	父親が答えた。
"it eats, and sleeps, and has senses such as we have.	「あれはものを食べ、眠り、我々と同じ感覚を持っているんだ。
This young man you see was in the ship.	おまえが見ているこの青年は舟に乗っていたんだ。
He is somewhat altered by grief, or you might call him a handsome person.	悲しみのためにちょっと変わってはいるけれども、さもなければ美男子といってもいいだろうね。
He has lost his companions, and is wandering about to find them."	連れを失ったので捜しまわっているんだよ。」
Miranda, who thought all men had grave faces and gray beards like her father, was delighted with the appearance of this beautiful young prince;	男というものは、みんな父親みたいにむずかしい顔をして白いあごひげをはやしているものだと思っていたミランダは、美しく若い王子の姿を見て喜んだ。
and Ferdinand, seeing such a lovely lady in this desert place, and from the strange sounds he had heard, expecting nothing but wonders, thought be was upon an enchanted island, and that Miranda was the goddess of the place, and as such he began to address her.	ファーディナンドはというと、こんな人里離れた場所にとても愛らしい女性がいるのを見たし、先刻聞いた不思議な音からは不思議なことしか考えられなかったので、てっきり自分は魔法の島にいて、ミランダがここの女神だと思いこんでしまい、女神扱いして彼女に話しかけた。
She timidly answered, she was no goddess, but a simple maid	彼女はおずおずと、自分は女神ではなく、ただの乙女であると答えた。
and was going to give him an account of herself, when Prospero interrupted her.	そして自分の身の上話をしようとしたが、プロスペロウはそれをやめさせた。
He was well pleased to find they admired each other,	プロスペロウは、２人が互いにほめ会っているのを見て大いに喜んでいた。
for he plainly perceived they had (as we say) fallen in love at first sight:	なぜならば、２人が（私たちの言葉で言えば）一目で恋に落ちたことをはっきりと見てとったからである。
but to try Ferdinand's constancy, he resolved to throw some difficulties in their way:	しかし、ファーディナンドが誠実な人がどうかを試すため、すこし邪魔してやろうと心に決めた。
therefore, advancing forward, be addressed the prince with a stern air, telling him,	そこで彼は前に出てきて、王子に対していかめしい様子で話しかけた。
he came to the island as a spy, to take it from him who was the lord of it.	おまえはスパイだ、ここの王たる自分の手から島を取ろうとしてここに来たんだろう、と彼は言った。
"Follow me," said be.	「私についてこい。
"I will tie your neck and feet together.	首足もろともひっくくってやるぞ。
You shall drink sea-water;	海の水を飲ましてくれよう。
shell-fish, withered roots, and husks of acorns shall be your food."	貝とか、枯れた根っことか、どんぐりの殻を食えばよかろう。」
"No,"	「いやだ。」
said Ferdinand,	ファーディナンドは言った。
"I will resist such entertainment	「そんな扱いはうけんぞ。
till I see a more powerful enemy,"	もっと力がある敵に会うまではな。」
and drew his sword;	そして剣を抜いた。
but Prospero, waving his magic wand, fixed him to the spot where he stood,	しかしプロスペロウは、魔法の杖を振って、ファーディナンドをその場で固めてしまった。
so that he had no power to move.	そのため、彼は身動きができなくなった。
Miranda hung upon her father, saying:	ミランダは父親にすがりついて言った。
"Why are you so ungentle?	「なぜそんな手荒なことをなさるの？
Have pity,	かんべんしてやってくださいな。
I will be his surety.	私が保証に立ちます。
This is the second man I ever saw,	この方は私が見た２人目の男の方です。
and to me he seems a true one."	そして、本当の男子のように私には思えるのです。」
"Silence!"	「お黙り。」
said the father.	父親は言った。
"One word more will make me chide you, girl!	「もうひとこと口をきいたら許さんからな。
What! an advocate for an impostor!	なんということだ、いかさま師の弁護に立つとはな。
You think there are no more such fine men, having seen only him and Caliban.	おまえはこんないい男はいないと思っているが、こいつとキャリバンしか見たことがないじゃないか。
I tell you, foolish girl,	いいかね、お馬鹿さん。
most men as far excel this as he does Calliban."	世間の男はだいたいこいつよりもはるかに立派なんだよ、この男がキャリバンよりは立派であるくらいにはね。」
This he said to prove his daughter's constancy; and she replied:	この言葉は、プロスペロウが娘の誠実さを確かめようと言ったものだったが、それに対して娘はこう答えた。
"My affections are most humble.	「私の愛情はほんとにつつましいものです。
I have no wish to see a goodlier man."	あの方以上の人に会いたいなんて思ってませんから。」
"Come on, young man,"	「くるのだ、若僧。」
said Prospero to the prince;	プロスペロウは王子に言った。
"you have no power to disobey -me."	「おまえには私に逆らう力などありはしないのだ。」
"I have not indeed,"	「抵抗いたしません。」
answered Ferdinand;	ファーディナンドは答えた。
and not knowing that it was by magic he was deprived of all power of resistance, he was astonished to find himself so strangely compelled to follow Prospero:	そして、魔法によって一切の抵抗力を奪われたものとも知らないで、自分にとっては不思議なことに、プロスペロウの後についていかざるを得ないことにびっくりしていた。
looking back on Miranda as long as he could see her,	プロスペロウについていきながら、見えなくなるまでミランダをふりむいて見ていた。
he said, as he went after Prospero into the cave:	その後、プロスペロウについてほら穴に入るときにこう言った。
"My spirits are all bound up as if I were in a dream;	「私の心はしばりあげられてしまって、夢の中にいるみたいだ。
but this man's threats, and the weakness which I feel, would seem light to me if from my prison I might once a day behold this fair maid."	だがこの人の脅迫も、私の感じる無力感も、この牢獄から一日一回あの美しい少女を見られるなら、些細なものになるだろう。」
Prospero kept Ferdinand not long confined within the cell:	プロスペロウはファーディナンドを長いこと岩屋に閉じこめてはおかなかった。
he soon brought out his prisoner, and set him a severe task to perform, taking care to let his daughter know the hard labour he had imposed on him, and then pretending to go into his study, he secretly watched them both.	すぐ囚人を連れだし、厳しい仕事につけ、そして自分が言いつけた仕事を娘が知るように配慮しておいて、書斎にひっこむふりをして、ひそかに２人を見張っていた。
Prospero had commanded Ferdinand to pile up some heavy logs of wood.	プロスペロウはファーディナンドに、重い丸太を積み上げるよう命じておいた。
Kings' sons not being much used to laborious work,	王の子どもたちは一般に労役には慣れていないものである。
Miranda soon after found her lover almost dying with fatigue.	だから、ミランダはほどなく、愛する人が疲労のあまり死にそうになっているのを見つけたのである。
"Alas!"	「ああ！」
said she,	彼女は言った。
"do not work so hard;	「そんなに仕事をなさらないで。
my father is at his studies,	父は研究に没頭しています。
he is safe for these three hours;	３時間くらいは大丈夫ですから、
pray rest yourself."	どうかお休みになって下さいな。」
"O my dear lady,"	「ああお嬢さん。」
said Ferdinand,	ファーディナンドは言った。
"I dare not.	「そんなことはできません。
I must finish my task before I take my rest."	休む前に仕事を仕上げなければなりません。」
"If you will sit down,"	「あなたがお座りになったら、」
said Miranda,	ミランダは言った。
"I will carry your logs the while."	「その間私が丸太を運びます。」
But this Ferdinand would by no means agree to.	しかしファーディナンドはこの申し出を受けようとはしなかった。
Instead of a help Miranda became a hindrance,	助けどころがミランダは邪魔になった。
for they began a long conversation, so that the business of log-carrying went on very slowly.	２人は長話を始めて、薪運びの仕事はとても手間取ってしまったのだ。
Prospero, who had enjoined Ferdinand this task merely as a trial of his love,	プロスペロウは、その仕事を愛情の試練として命じただけだった。
was not at his books, as his daughter supposed, but was standing by them, invisible, to overhear what they said.	彼は娘が想像したように読書をしていたのではなくて、２人のそばに立っていて、隠れて話を立ち聞きしていた。
Ferdinand inquired her name,	ファーディナンドは彼女の名を尋ねた。
which she told, saying it was against her father's express command she did so.	ミランダは、それは父の命令に背くことになるのですが、と言いながらも名前を教えた。
Prospero only smiled at this first instance of his daughter's disobedience,	プロスペロウは娘が自分の命令に背いた最初の実証を見てただほほえんでいた。
for having by his magic art caused his daughter to fall in love so suddenly, he was not angry that she showed her love by forgetting to obey his commands.	自分の魔術によって、娘が突然恋に落ちるようにしたので、自分の命令に従うのを忘れて愛情を示しているのを見ても怒る気にならなかったのである。
And he listened well pleased to a long speech of Ferdinand's,	そしてプロスペロウは、ファーディナンドの長い話を喜んで聞いていた。
in which he professed to love her above all the ladies he ever saw.	その中でファーディナンドは、これまで会ったどの女性よりも、あなたのことを愛していると告白した。
In answer to his praises of her beauty, which he said exceeded all the women in the world, she replied:	世界で一番君が美しいという、ミランダの美しさに対する賛辞に対して、彼女はこう答えた。
"I do not remember the face of any woman, nor have I seen any more men than you, my good friend, and my dear father.	「私は女性の顔を覚えていませんし、お友達であるあなたと私の父のほかには男の人に会ったことがありません。
How features are abroad, I know not;	よそでは人の姿がどんなだか私は存じません。
but, believe me, sir, I would not wish any companion in the world but you, nor can my imagination form any shape but yours that I could like.	ですが、本当のところ、私はこの世の中であなたのほかに友だちはいりませんし、あなたのお姿のほかに私の好む姿を想像することもできません。
But, sir, I fear I talk to you too freely,	おや、私はあなたに遠慮なく話しすぎましたわ。
and my father's precepts I forget."	父の教えを忘れてしまいました。」
At this Prospero smiled, and nodded his head,	これを聞いてプロスペロウは笑みを浮かべてうなずいていた。
as much as to say: "This goes on exactly as I could wish; my girl will be queen of Naples."	その姿はまるで「これで私の思うとおりになるな、あの子はナポリの王妃になるだろう。」と言わんばかりだった。
And then Ferdinand, in another fine long speech (for young princes speak in courtly phrases), told the innocent Miranda he was heir to the crown of Naples, and that she should be his queen.	それからファーディナンドは、立派な長々しい言葉で（若い王子などというものは、お上品な文句で話すものですから）無垢の心をもつミランダに、自分はナポリの王位を継ぐものであり、あなたに王妃になってもらう、と言った。
"Ah! sir,"	「ああ、あなた！」
said she,	ミランダは言った。
"I am a fool to weep at what I am glad of.	「私は馬鹿ですね、嬉しくて泣いてしまうなんて。
I will answer you in plain and holy innocence.	飾り気のない単純な気持ちでお答えいたします。
I am your wife if you will marry me."	結婚して下さるなら、私はあなたの妻ですわ。」
Prospero prevented Ferdinand's thanks by appearing visible before them.	プロスペロウは２人の前に出てきて、ファーディナンドの謝辞をさえぎった。
"Fear nothing, my child,"	「心配は無用だよ、我が息子よ。」
said he;	彼は言った。
"I have overheard,	「私はすべて聞いていたよ。
and approve of all you have said.	そして君の言ったことをすべて承認しよう。
And, Ferdinand, if I have too severely used you, I will make you rich amends, by giving you my daughter.	それからファーディナンド君、もし私が君に厳しくあたりすぎたなら、十二分にその償いをするよ、娘を君にあげることでね。
All your vexations were but trials of your love, and you have nobly stood the test.	君の苦痛はみな愛情を試そうとしたことなんだ、そして君は立派に試練に耐えた。
Then as my gift, which your true love has worthily purchased, take my daughter,	君の真実の愛が堂々と勝ち取ったんだから、私からの贈り物として娘をめとってもらいたい。
and do not smile that I boast she is above all praise."	この娘《こ》は言葉で言えないくらいすばらしい娘だと自慢するのを笑わんでくれ。」
He then, telling them that he had business which required his presence, desired they would sit down and talk together till he returned;	それからプロスペロウは、行かなければならない仕事があると言い、２人に、腰を下ろして自分が帰るまで一緒に話していてほしいと頼んだ。
and this command Miranda seemed not at all disposed to disobey.	この命令には、ミランダも喜んで従う気になったようだった。
When Prospero left them, he called his spirit Ariel,	プロスペロウは２人のところを離れ、精霊エアリエルを呼んだ。
who quickly appeared before him, eager to relate what he had done with Prospero's brother and the king of Naples.	エアリエルはすぐ前に出てきて、プロスペロウの弟とナポリの王とをどうしたか、熱心に話した。
Ariel said he had left them almost out of their senses with fear, at the strange things he had caused them to see and hear.	彼は、２人は自分がいろいろ不思議なものを見せたり聞かせたりしたことで、気も狂わんばかりになっています、と言った。
When fatigued with wandering about, and famished for want of food, he had suddenly set before them a delicious banquet, and then, just as they were going to eat, he appeared visible before them in the shape of a harpy, a voracious monster with wings, and the feast vanished away.	２人がさまよい歩いて疲れきり、食料がなくなって飢えていたところに、彼は突然立派なごちそうを並べ、それを２人が食べようとしたときに、翼の生えたどん欲な怪物ハーピー［＃注２］の姿で目の前に現れた、するとごちそうは消えてなくなった。
