TWO GALLANTS	二人の色男
He always stared straight before him as if he were on parade and, when he wished to gaze after someone in the street, it was necessary for him to move his body from the hips.	彼はいつもまるで行進するように前をまっすぐに見つめ、通りで誰かをじっと目で追いたい時は腰からからだを動かす必要があった。
At present he was about town.	目下彼はぶらぶらしていた。
Whenever any job was vacant a friend was always ready to give him the hard word.	どんな仕事でも空きがあると必ず友人が彼に厳しいことを言ってやろうとてぐすね引いていた。
He was often to be seen walking with policemen in plain clothes, talking earnestly.	彼はしばしば私服の警官と熱心に話しながら歩くところを見られていた。
He knew the inner side of all affairs and was fond of delivering final judgments.	彼はあらゆる事件の内幕に通じ、最終的な判断を下すのを好んだ。
He spoke without listening to the speech of his companions.	彼は相手の話を聞かずに話をした。
His conversation was mainly about himself what he had said to such a person and what such a person had said to him and what he had said to settle the matter.	彼の会話は、彼が誰々に何を言ったとか誰々が彼に何を言ったとか問題を解決するために彼が何を言ったとか、主に自分のことだった。
When he reported these dialogues he aspirated the first letter of his name after the manner of Florentines.	こういう対話を報告するとき彼は自分の名の最初の文字をフローレンス人風に気息音に発音した。
Lenehan offered his friend a cigarette.	レネハンは友人にタバコを差し出した。
As the two young men walked on through the crowd Corley occasionally turned to smile at some of the passing girls but Lenehan's gaze was fixed on the large faint moon circled with a double halo.	人ごみを抜けて歩き続ける二人の若い男たちだが、コーリーは時折すれ違う娘たちの方を向いてにっこりとしたのに、レネハンの視線は二重にかさがかかったほのかな明かりの大きな月にじっと向けられていた。
He watched earnestly the passing of the grey web of twilight across its face.	彼はその表面を横切るたそがれの灰色の朧を真剣に見つめていた。
At length he said:	ようやく彼が言った。
"Well	「それで
... tell me, Corley, I suppose you'll be able to pull it off all right, eh?"	・・・なあ、コーリー、うまいことやってのけられるんだろうな、え？」
Corley closed one eye expressively as an answer.	コーリーは答える代わりに思い入れたっぷりに片目をつぶった。
"Is she game for that?"	「その女をかもにできるかな？」
asked Lenehan dubiously.	レネハンは疑わしげに尋ねた。
"You can never know women."	「女はわからないぜ。」
"She's all right,"	「あいつは大丈夫だ」
said Corley.	とコーリーは言った。
"I know the way to get around her, man.	「だまし方は心得たもんだからな。
She's a bit gone on me."	あいつはちょっとばかり俺にいかれてるんだ。」
"You're what I call a gay Lothario,"	「あんたは俺に言わせりゃ陽気なロサリオだな」
said Lenehan.	とレネハンは言った。
"And the proper kind of a Lothario, too!"	「それも本物のロサリオだ！」
A shade of mockery relieved the servility of his manner.	あざけりの陰が彼の態度の卑屈さをやわらげた。
To save himself he had the habit of leaving his flattery open to the interpretation of raillery.	おべっかをいつでも冷やかしと解釈できるようにしておく習慣が彼自身を救っていた。
But Corley had not a subtle mind.	しかしコーリーは微妙な心の持ち主ではなかった。
"There's nothing to touch a good slavey,"	「おとなしい下女をうれし泣きさせるぐらい造作ないね」
he affirmed.	と彼は断言した。
"Take my tip for it."	「俺に乗ったほうがいいぜ。」
"By one who has tried them all,"	「手当たりしだいやっつけてみた男にね」
said Lenehan.	とレネハンは言った。
"First I used to go with girls, you know,"	「最初のうちは娘と言っても、なあ、」
said Corley, unbosoming;	コーリーは打ち明けるように言った、
"girls off the South Circular.	「サウス・サーキュラーあたりの娘たちと付き合ったものだった。
I used to take them out, man, on the tram somewhere and pay the tram or take them to a band or a play at the theatre or buy them chocolate and sweets or something that way.	俺はいつも電車でどこかへ、なあ、連れ出しては電車賃を払うわ、楽団や劇場の芝居に連れて行くわ、チョコレートや菓子を買ってやるわ、何やかやだったな。
I used to spend money on them right enough,"	あいつらにはいつもほんとに金がかかったぜ」
he added, in a convincing tone, as if he was conscious of being disbelieved.	と、彼は、疑われているのを意識したのか、なるほどと思わせる口調で付け加えた。
But Lenehan could well believe it;	しかしレネハンは十分にそれを信用した。
he nodded gravely.	彼は重々しくうなずいた。
"I know that game,"	「そいつはわかるな、」
he said,	彼は言った、
"and it's a mug's game."	「わりに合わないこった。」
"And damn the thing I ever got out of it,"	「それにそうやって得た物といったら、ええくそ」
said Corley.	とコーリーは言った。
"Ditto here,"	「こっちも同様だ」
said Lenehan.	とレネハンは言った。
"Only off of one of them,"	「たった一人だけは別だが」
said Corley.	とコーリーは言った。
He moistened his upper lip by running his tongue along it.	彼は上唇を舌でなめて湿らせた。
The recollection brightened his eyes.	思い出が彼の目を輝かせた。
He too gazed at the pale disc of the moon, now nearly veiled, and seemed to meditate.	彼もまた、今ではほとんどベールのかかった青白い月の表面を見つめ、瞑想するように見えた。
She was	「彼女は
... a bit of all right,"	・・・ちょっとばかり結構だったな」
he said regretfully.	と彼は残念そうに言った。
He was silent again.	彼は再び沈黙した。
Then he added:	それから付け加えた。
"She's on the turf now.	「彼女も今じゃ街の女だ。
I saw her driving down Earl Street one night with two fellows with her on a car."	いつだかの晩アール・ストリートを二人の男と車で走って行く彼女を見たよ。」
"I suppose that's your doing,"	「そいつはあんたのしたこっちゃないのかな」
said Lenehan.	とレネハンは言った。
"There was others at her before me,"	「彼女には俺の前にも他のやつらがいたさ」
said Corley philosophically.	とコーリーは哲学者のように言った。
This time Lenehan was inclined to disbelieve.	今度はレネハンも信じる気になれなかった。
He shook his head to and fro and smiled.	彼は首を左右に振り、にっこりした。
"You know you can't kid me, Corley,"	「俺をかつごうとしたってだめだぜ、コーリー」
he said.	と彼は言った。
"Honest to God!"	「本当さあ！」
said Corley.	とコーリーは言った。
"Didn't she tell me herself?"	「彼女が自分で俺に言ったんじゃないかなあ？」
Lenehan made a tragic gesture.	レネハンは悲しげなそぶりを装った。
"Base betrayer!"	「下劣な裏切り者！」
he said.	と彼は言った。
As they passed along the railings of Trinity College, Lenehan skipped out into the road and peered up at the clock.	トリニティ・カレッジの柵に沿って進みながら、レネハンはひょいと道路に飛び出て時計をじっと見上げた。
"Twenty after,"	「二十分過ぎだ」
he said.	と彼は言った。
"Time enough,"	「時間は十分だ」
said Corley.	とコーリーは言った。
"She'll be there all right.	「あいつはちゃんとそこにいるさ。
I always let her wait a bit."	俺はいつもあいつを少し待たせるんだ。」
Lenehan laughed quietly.	レネハンは静かに笑った。
'Ecod!	「ったく！
Corley, you know how to take them,"	コーリー、それがとりこにするコツか」
he said.	と彼は言った。
"I'm up to all their little tricks,"	「そういうちょっとした手は何でも使ってやろうってわけさ」
Corley confessed.	とコーリーは打ち明けた。
"But tell me,"	「しかしなあ、」
said Lenehan again,	再びレネハンが言った、
"are you sure you can bring it off all right?	「ちゃんとうまくやれるってのは確かだろうな？
You know it's a ticklish job.	デリケートなところを要する仕事じゃないか。
They're damn close on that point.	その点じゃあ連中はひどくけちだから。
Eh?	ええ？
... What?"	・・・どうだい？」
His bright, small eyes searched his companion's face for reassurance.	彼の輝く小さな目は再保障を見つけ出そうと連れの顔をうかがっていた。
Corley swung his head to and fro as if to toss aside an insistent insect, and his brows gathered.	コーリーはしつこい虫を追い払うかのように首を左右に振り、彼の眉が寄せられた。
"I'll pull it off,"	「うまくやってのけるって」
he said.	と彼は言った。
"Leave it to me, can't you?"	「任せておけないのかよ？」
Lenehan said no more.	レネハンはそれ以上は言わなかった。
He did not wish to ruffle his friend's temper, to be sent to the devil and told that his advice was not wanted.	彼は友の機嫌を損ねて、くたばっちまえとか意見は無用だとか言われたくなかった。
A little tact was necessary.	ちょっとした機転が必要だった。
But Corley's brow was soon smooth again.	しかしコーリーの眉はすぐにまた穏やかになった。
His thoughts were running another way.	彼の考えは別の方に向かっていた。
"She's a fine decent tart,"	「あいつはなかなかの上玉だ」
he said, with appreciation;	と彼は高い評価を下して言った。
"that's what she is."	「そうなんだよなああいつは。」
They walked along Nassau Street and then turned into Kildare Street.	彼らはナッソー・ストリートを歩き、それからキルディア・ストリートへと曲がった。
Not far from the porch of the club a harpist stood in the roadway, playing to a little ring of listeners.	クラブの玄関から遠くない路上にハープ弾きが立ち、小さな輪になった聞き手に演奏していた。
He plucked at the wires heedlessly, glancing quickly from time to time at the face of each new-comer and from time to time, wearily also, at the sky.	彼は、時々新しく人が来るとその顔へ、また時々、あきあきもするので、空へすばやく視線を走らせながら、無頓着に弦をかき鳴らしていた。
His harp, too, heedless that her coverings had fallen about her knees, seemed weary alike of the eyes of strangers and of her master's hands.	彼のハープもまた、カバーがそのひざの辺りまで落ちてしまっているのに無頓着で、見知らぬ人たちの目にも主人の手にもやはりあきあきしているように見えた。
One hand played in the bass the melody of Silent, O Moyle, while the other hand careered in the treble after each group of notes.	彼の一方の手は『サイレント、おおモイル』のメロディを低音で奏で、他方の手は連なる音を繰り返し追うように高音部を走っていた。
The notes of the air sounded deep and full.	その曲の音色は荘重に豊かに響いていた。
The two young men walked up the street without speaking, the mournful music following them.	二人の若い男は、悲しげな音楽がついてくる中、話もせずに通りの端まで歩いた。
When they reached Stephen's Green they crossed the road.	スティーブンス・グリーンに着いた彼らは道路を横切った。
Here the noise of trams, the lights and the crowd released them from their silence.	ここで電車の騒音、光、群衆が彼らを沈黙から解放した。
"There she is!"	「ほら彼女だ！」
said Corley.	とコーリーが言った。
At the corner of Hume Street a young woman was standing.	ヒューム・ストリートの角に若い女が立っていた。
She wore a blue dress and a white sailor hat.	彼女は青い服、白いセーラーハットを着けていた。
She stood on the curbstone, swinging a sunshade in one hand.	彼女は歩道の縁石に立ち、片手で日傘を振っていた。
Lenehan grew lively.	レネハンが元気になった。
"Let's have a look at her, Corley,"	「ちょっと彼女を見てみようぜ、コーリー」
he said.	と彼は言った。
Corley glanced sideways at his friend and an unpleasant grin appeared on his face.	横目で友をチラッと見たコーリーは不快そうに歯をむいた。
"Are you trying to get inside me?"	「俺を出し抜こうとしてるのか？」
he asked.	と彼は尋ねた。
"Damn it!"	「ちくしょう！」
said Lenehan boldly,	レネハンは果敢に言った、
"I don't want an introduction.	「紹介はしていらんよ。
All I want is to have a look at her.	ちょっと見てみたいだけさ。
I'm not going to eat her."	味見するつもりはねえよ。」
... A look at her?"	・・・見るって？」
said Corley, more amiably.	とコーリーはもっと愛想よく言った。
"Well	「じゃあ
... I'll tell you what.	・・・どうするかな。
I'll go over and talk to her and you can pass by."	俺が向こうへ行って話してる、そこを通りかかればいい。」
"Right!"	「オーケー！」
said Lenehan.	とレネハンは言った。
Corley had already thrown one leg over the chains when Lenehan called out:	コーリーの振り上げた片足がすでに鎖を越えたところへレネハンが呼びかけた。
"And after?	「それで後は？
Where will we meet?"	どこで会う？」
"Half ten,"	「十時半」
answered Corley, bringing over his other leg.	とコーリーはもう片方の足を持ち上げて答えた。
"Where?"	「どこで？」
"Corner of Merrion Street.	「メリオン・ストリートの角。
We'll be coming back."	戻ってくるさ。」
"Work it all right now,"	「じゃあちゃんとうまくやってくれよな」
said Lenehan in farewell.	とレネハンはお別れに言った。
Corley did not answer.	コーリーは答えなかった。
He sauntered across the road swaying his head from side to side.	彼は頭を左右に揺すりながらぶらぶらと道路を横切った。
His bulk, his easy pace, and the solid sound of his boots had something of the conqueror in them.	彼の大きさ、そのゆったりした歩み、どっしりしたブーツの音はどこか征服者のようだった。
He approached the young woman and, without saluting, began at once to converse with her.	彼は若い女に近づき、挨拶もせず、すぐに彼女と話を始めた。
She swung her umbrella more quickly and executed half turns on her heels.	彼女は傘をさらに速く振り動かし、かかとを軸に半回転をしてみせていた。
Once or twice when he spoke to her at close quarters she laughed and bent her head.	一度か二度、彼が接近して話しかけると彼女は笑ってうつむいた。
Lenehan observed them for a few minutes.	レネハンは数分間彼らを観察した。
Then he walked rapidly along beside the chains at some distance and crossed the road obliquely.	それから彼は距離を置き、鎖に沿って速足で歩き、道路を斜めに横切った。
As he approached Hume Street corner he found the air heavily scented and his eyes made a swift anxious scrutiny of the young woman's appearance.	ヒューム・ストリートの角に近づいた彼は濃厚な香りに満ちた空気に気づき、彼の目は案じ気にすばやく若い女の姿を精査した。
She had her Sunday finery on.	彼女はよそ行きの派手な服を着けていた。
Her blue serge skirt was held at the waist by a belt of black leather.	青いサージのスカートは黒い革のベルトで腰に留められていた。
The great silver buckle of her belt seemed to depress the centre of her body, catching the light stuff of her white blouse like a clip.	ベルトの大きな銀のバックルは、白いブラウスの軽い生地をクリップのようにはさみ、彼女の体の中心をへこませているようだった。
She wore a short black jacket with mother-of-pearl buttons and a ragged black boa.	彼女は真珠貝ボタンとくたびれた黒いボアのついた短い黒のジャケットを着ていた。
The ends of her tulle collarette had been carefully disordered and a big bunch of red flowers was pinned in her bosom stems upwards.	チュールの襟の端には気をつけていたのに乱れた痕があり、大きな赤い花束が胸にピンで留められて茎は上を向いていた。
Lenehan's eyes noted approvingly her stout short muscular body.	レネハンの目は彼女の小柄でたくましい筋肉質のからだを認めて満足げだった。
rank rude health glowed in her face, on her fat red cheeks and in her unabashed blue eyes.	野放図な頑健さが彼女の顔、その太った赤い頬の上、その臆面もない青い目の中に輝いていた。
Her features were blunt.	彼女の顔の造作は鋭くなかった。
She had broad nostrils, a straggling mouth which lay open in a contented leer, and two projecting front teeth.	鼻孔は広がり、満足そうに媚を売る開いた口はだらしなく、前歯が二本出ていた。
As he passed Lenehan took off his cap and, after about ten seconds, Corley returned a salute to the air.	通りすがりにレネハンは帽子を取り、そして十秒ほど後、コーリーが挨拶を空中に返した。
This he did by raising his hand vaguely and pensively changing the angle of position of his hat.	彼はあいまいに手を上げ、考え込むように帽子のかぶり方の角度を変えることでそれをした。
Lenehan walked as far as the Shelbourne Hotel where he halted and waited.	レネハンはシェルボーン・ホテルまで歩き、そこで立ち止まって待った。
After waiting for a little time he saw them coming towards him and, when they turned to the right, he followed them, stepping lightly in his white shoes, down one side of Merrion Square.	しばらく待っていると彼らが彼の方に来るのが見え、彼らが右に曲がると、白い靴の彼は軽い足取りで、メリオン・スクエアの一辺に沿って彼らの後を追った。
As he walked on slowly, timing his pace to theirs, he watched Corley's head which turned at every moment towards the young woman's face like a big ball revolving on a pivot.	彼は彼らのペースに合わせてゆっくり歩き、絶えず若い女の顔に向けられる、軸の周りを回転する大きなボールのようなコーリーの頭をじっと見ていた。
He kept the pair in view until he had seen them climbing the stairs of the Donnybrook tram;	彼は彼らがドニーブルック行きの電車の階段を登るところが見えるまで二人連れから目を離さなかった。
then he turned about and went back the way he had come.	それから彼は回れ右して来た道を取って返した。
Now that he was alone his face looked older.	一人ぼっちになった今、彼の顔は老けて見えた。
His gaiety seemed to forsake him and, as he came by the railings of the Duke's Lawn, he allowed his hand to run along them.	彼の陽気さは彼を見捨てたようで、デュークス・ローンの柵のそばを通り過ぎる時、彼は手をそれに沿って走らせるがままにした。
The air which the harpist had played began to control his movements	ハープ弾きの奏でていた曲が彼の動きを支配し始めた。
His softly padded feet played the melody while his fingers swept a scale of variations idly along the railings after each group of notes.	柔らかいパッドを当てた足がメロディを奏でる一方、五本の指は連なる音を繰り返し追うように柵に沿ってむなしく変奏曲の音階をかき鳴らした。
He walked listlessly round Stephen's Green and then down Grafton Street.	彼はけだるそうにスティーブンス・グリーンのあたりを、それからグラフトン・ストリートを歩いた。
Though his eyes took note of many elements of the crowd through which he passed they did so morosely.	群衆の中を通り過ぎる彼の目はその多くの要素に注意を留めてはいたが、不機嫌にそうしていた。
He found trivial all that was meant to charm him and did not answer the glances which invited him to be bold.	彼は自分を魅惑しようとするものすべてをつまらないものと感じ、大胆になるよう彼を誘う目つきには答えなかった。
He knew that he would have to speak a great deal, to invent and to amuse and his brain and throat were too dry for such a task.	彼はたくさんしゃべってでっち上げて楽しませなければならないとわかっていたが、そういう仕事をするには彼の脳ものども渇きすぎていた。
The problem of how he could pass the hours till he met Corley again troubled him a little.	コーリーとまた会うまでの時間をどうやったらつぶせるかという問題が彼を少し悩ませた。
He could think of no way of passing them but to keep on walking.	彼は歩き続けるほかにそれをつぶす方法を思いつかなかった。
He turned to the left when he came to the corner of Rutland Square and felt more at ease in the dark quiet street, the sombre look of which suited his mood.	ラトランド・スクエアの角に来て左に曲がると、暗く静かな通りは、その陰鬱な様子が彼の気分にぴったりで、気持ちがだいぶ楽になった。
He paused at last before the window of a poor-looking shop over which the words Refreshment Bar were printed in white letters.	上の方に白い文字で軽食堂と書かれたうらぶれた店のショーウィンドーの前でとうとう彼は立ち止まった。
On the glass of the window were two flying inscriptions:	ウィンドのガラスの上には二つの名称が浮かんでいた。
Ginger Beer and Ginger Ale.	ジンジャービールとジンジャーエール。
A cut ham was exposed on a great blue dish while near it on a plate lay a segment of very light plum-pudding.	青い大きな皿に載ったカットしたハムが並べられ、そのそばの皿にはとてもふんわりしたプラムプディングが一切れ置かれていた。
He eyed this food earnestly for some time and then, after glancing warily up and down the street, went into the shop quickly.	彼はしばらくの間この食べ物を熱心に見つめ、それから、通りの左右に用心深く目をやった後、すばやく店に入った。
He was hungry for, except some biscuits which he had asked two grudging curates to bring him, he had eaten nothing since breakfast-time.	彼は、二人のしみったれたバーテンに持ってくるよう頼んだビスケット少々のほか、朝食の時以来何も食べていなかったので、腹が減っていた。
He sat down at an uncovered wooden table opposite two work-girls and a mechanic.	彼は、二人の女工と職工の反対側の、覆いのない木のテーブル席に着いた。
A slatternly girl waited on him.	だらしない娘が彼の給仕についた。
"How much is a plate of peas?"	「エンドウ豆は一皿いくら？」
he asked.	と彼は言った。
"Three halfpence, sir,"	「一ペニー半です」
said the girl.	と娘は言った。
"Bring me a plate of peas,"	「エンドウ豆を一皿持ってきな、」
he said,	彼は言った、
"and a bottle of ginger beer."	「それとジンジャービールを一瓶。」
He spoke roughly in order to belie his air of gentility	彼は自分の上流気取りが見掛け倒しであると装うために乱暴な口をきいた。
for his entry had been followed by a pause of talk.	というのも彼が入った後、話が途切れてしまったからだ。
His face was heated.	彼は顔が熱くなった。
To appear natural he pushed his cap back on his head and planted his elbows on the table.	自然に見えるように頭の上の帽子を後ろに押しやり、ひじをテーブルに立てた。
The mechanic and the two work-girls examined him point by point before resuming their conversation in a subdued voice.	職工と二人の女工は逐一彼を吟味し、それから抑えた声で再び会話を続けた。
The girl brought him a plate of grocer's hot peas, seasoned with pepper and vinegar, a fork and his ginger beer.	娘がコショウと酢で味付けした出来立ての豆の皿とフォークとジンジャービールを持ってきた。
He ate his food greedily and found it so good that he made a note of the shop mentally.	彼はがつがつと食べ物を食べ、なかなか旨かったのでその店を心の中に書きとめた。
When he had eaten all the peas he sipped his ginger beer and sat for some time thinking of Corley's adventure.	豆をすっかり食べてしまった彼はジンジャービールを少しずつ飲み、コーリーの冒険のことを考えながらしばらく座っていた。
In his imagination he beheld the pair of lovers walking along some dark road;	想像の中で、彼はどこかの暗い道を歩いている一組の恋人を見た。
he heard Corley's voice in deep energetic gallantries and saw again the leer of the young woman's mouth.	ひたすら精力的に心遣いをしてみせるコーリーの声も聞こえ、再び媚を売る若い女の口が見えた。
This vision made him feel keenly his own poverty of purse and spirit.	この幻影は彼に彼自身の貧しい財布と精神を鋭く感じさせた。
He was tired of knocking about, of pulling the devil by the tail, of shifts and intrigues.	彼は歩き回ることが、金に窮していることが、計略と策謀がいやになっていた。
He would be thirty-one in November.	彼は十一月に三十一になる。
Would he never get a good job?	絶対に幸運をつかむことはないのだろうか？
Would he never have a home of his own?	絶対に自分の家は持てないのだろうか？
He thought how pleasant it would be to have a warm fire to sit by and a good dinner to sit down to.	暖かい火のそばに座れたら、十分な食事の席に着けたらどんなに愉快だろうと彼は思った。
He had walked the streets long enough with friends and with girls.	友人たちと、そして娘たちともうたくさんというほど歩きに歩いてきた。
He knew what those friends were worth:	そういう友人たちにどれほどの価値があるか彼にはわかっていた。
he knew the girls too.	娘たちについてもわかっていた。
Experience had embittered his heart against the world.	経験は彼の世の中に対する苦い思いを強くした。
But all hope had not left him.	しかしすべての希望が彼を見捨てたわけではなかった。
He felt better after having eaten than he had felt before, less weary of his life, less vanquished in spirit.	食べ終わった後は前より気分がよくなり、それほど人生にうんざりしてはいない、それほど心は打ち負かされていないと感じた。
He might yet be able to settle down in some snug corner and live happily if he could only come across some good simple-minded girl with a little of the ready.	ただ少しばかり現なまを持ったどこかの適当なだまされやすい娘と出くわしさえすれば、彼だっていつかどこかの居心地のいい隅っこに落ち着いて幸せに暮らすことができるかもしれなかった。
He paid twopence halfpenny to the slatternly girl and went out of the shop to begin his wandering again.	彼はだらしない娘に二ペンス半ペニー支払い、店を出て、再びぶらぶら歩き始めた。
He went into Capel Street and walked along towards the City Hall.	彼はケイペル・ストリートに入り、シティ・ホールに向かって歩いた。
Then he turned into Dame Street.	それから彼はデイム・ストリートへと曲がった。
At the corner of George's Street he met two friends of his and stopped to converse with them.	ジョージズ・ストリートの角で彼は友達二人に会い、止まって話を交わした。
He was glad that he could rest from all his walking.	彼は歩いてばかりのところを休むことができて嬉しかった。
His friends asked him had he seen Corley and what was the latest.	友人たちは彼にコーリーに会ったか、最新のニュースは何かと訊いた。
He replied that he had spent the day with Corley.	彼は一日コーリーと一緒だったと答えた。
