Twenty rules for writing detective stories	探偵小説を書くときの二十則探偵小説を書くときの二十則
To solve a criminal problem in this latter fashion is like sending the reader on a deliberate wild-goose chase, and then telling him, after he has failed, that you had the object of his search up your sleeve all the time.	事故・偶然の一致・動機なき自供などの方法で犯罪を解決することは、読者を故意にまちがった方向へむかわせて、それが失敗した後で、君が探しているものは、僕がずっとひそかに隠していたんだ、ということに等しい。
Such an author is no better than a practical joker.	そのような作者は、ふざけているとしか言いようがない。
6. The detective novel must have a detective in it;	探偵小説は、その中に探偵がいなければならない。
and a detective is not a detective unless he detects.	そして、探偵しなくては探偵とはいえない。
His function is to gather clues that will eventually lead to the person who did the dirty work in the first chapter;	彼の任務は、手がかりを集め、最初の章で犯罪を行った犯人をつきとめることである。
and if the detective does not reach his conclusions through an analysis of those clues, he has no more solved his problem	もし探偵が、自ら集めた手がかりを分析することによっては結論に達しないのであれば、彼は問題を解いたことにはならない。
than the schoolboy who gets his answer out of the back of the arithmetic.	それは、算数の本の巻末を見て答えを書く小学生以上の何者でもない。
7. There simply must be a corpse in a detective novel,	探偵小説には死体が絶対存在しなければならない。
and the deader the corpse the better.	より多くの人が死んでいればなおいい。
No lesser crime than murder will suffice.	殺人より軽い犯罪では不十分であろう。
Three hundred pages is far too much pother for a crime other than murder.	300ページは、殺人以外の犯罪に費やされるには多すぎる量だ。
After all, the reader's trouble and expenditure of energy must be rewarded.	要するに、読者が手間暇かけて、それなりのエネルギーを使ったなら、報われなければならない。
8. The problem of the crime must he solved by strictly naturalistic means.	犯罪の謎は厳密に自然な方法で解決されなければならない。
Such methods for learning the truth as slate-writing, ouija-boards, mind-reading, spiritualistic se'ances, crystal-gazing, and the like, are taboo.	真相を知るのに瓦占い、こっくりさん、読心術、降霊術、水晶占いのような方法を用いるのは禁忌である。
A reader has a chance when matching his wits with a rationalistic detective, but if he must compete with the world of spirits and go chasing about the fourth dimension of metaphysics, he is defeated ab initio.	読者にとっては、合理的推理によって知能を競うならば探偵に勝つチャンスが存在するけれども、霊魂の世界で競争し、形而上学的な四次元世界を行かなければいけないのであれば、abinitio（出発点からして）勝ち目がない。
9. There must be but one detective	探偵は１人だけ
―― that is, but one protagonist of deduction	―つまり、推理の主人公は１人だけでなければならない。
―― one deus ex machina.	deus ex machina（詩の氏神）［注１］は１人だけでなくてはならない。
To bring the minds of three or four, or sometimes a gang of detectives to bear on a problem, is not only to disperse the interest and break the direct thread of logic, but to take an unfair advantage of the reader.	３・４人で問題にあたったり、探偵集団が問題に取り組んだりしては、興味を分散させ、論理の流れを壊すだけでなく、読者を不当に不利な立場に追い込むことになる。
If there is more than one detective the reader doesn't know who his codeductor is.	もしも探偵が１人以上いたら、読者は誰を相手に推理を戦わせているのか分からなくなる。
It's like making the reader run a race with a relay team.	それは読者をリレーチームと競争させるようなものだ。
10. The culprit must turn out to be a person who has played a more or less prominent part in the story	犯人は物語の中で大なり小なり重要な役割を担った人でなければならない
―― that is, a person with whom the reader is familiar and in whom he takes an interest.	―その人は読者がよく知っていて、関心を持った人でなければならない。
11. A servant must not be chosen by the author as the culprit.	従僕を犯人として選んではならない。
This is begging a noble question.	これは高尚な問題を低俗におとしめることである。
It is a too easy solution.	それはあまりに安易な解決である。
The culprit must be a decidedly worth-while person	犯人は絶対に高貴な人物
―― one that wouldn't ordinarily come under suspicion.	―普通なら嫌疑がかからない人物でなければならない。
12. There must be but one culprit,	犯人は１人でなければならない。
no matter how many murders are committed.	これはどれだけ多くの殺人が実行されようとも守らなければならない。
The culprit may, of course, have a minor helper or co-plotter;	もちろん、彼が端役の協力者や共犯者を持っていても構わない。
but the entire onus must rest on one pair of shoulders:	しかし、全責任は１人の人物の双肩にかからなければならない。
the entire indignation of the reader must be permitted to concentrate on a single black nature.	読者の憎悪がただ１人の邪悪な性質の持ち主に集中するようにしなければならない。
13. Secret societies, camorras, mafias, et al., have no place in a detective story.	カモラ党やマフィアのような秘密結社を探偵小説に置く場所などない。
A fascinating and truly beautiful murder is irremediably spoiled by any such wholesale culpability.	魅力ある、真に美しい殺人が、秘密結社が持つ有罪性によって、償いきれないくらい汚される。
To be sure, the murderer in a detective novel should be given a sporting chance;	たしかに、探偵小説の中での殺人者は正々堂々とチャンスを与えられるべきである。
but it is going too far to grant him a secret society to fall back on.	しかし、避難場所として秘密結社を認めるのは行き過ぎである。
No high-class, self-respecting murderer would want such odds.	第一級の、自尊心を持つ殺人者の中に、秘密結社の助けを得たがるものはいない。
14. The method of murder, and the means of detecting it, must be be rational and scientific.	殺人の方法、およびそれを探偵する手段は合理的かつ科学的でなければならない。
That is to say, pseudo-science and purely imaginative and speculative devices are not to be tolerated in the roman policier.	つまり、似非科学、純粋な想像の産物、投機的な手法は、roman policier（探偵小説）では許されない。
Once an author soars into the realm of fantasy, in the Jules Verne manner, he is outside the bounds of detective fiction, cavorting in the uncharted reaches of adventure.	いったん作者が、ジュール・ヴェルヌ式の空想世界にはまりこめば、それは探偵小説の領域を超えて、野放図もない冒険小説となってしまう。
15. The truth of the problem must at all times be apparent	問題の答えは始めから終わりまで明白でなければならない
―― provided the reader is shrewd enough to see it.	―読者がそれを見破ることができるくらい鋭敏である必要はある。
By this I mean that if the reader, after learning the explanation for the crime, should reread the book, he would see that the solution had, in a sense, been staring him in the face-that all the clues really pointed to the culprit	このことは、もし読者が犯罪の真相を知った後に本を読み返してみた場合に、その解答が、ある意味では読者の目の前に転がっていたこと―すべての手がかりが事実上犯人を指していたこと―や、
―― and that, if he had been as clever as the detective, he could have solved the mystery himself without going on to the final chapter.	もしも読者が探偵と同じくらい頭が良ければ、最終章へ至る前に彼自身の手で謎を解決できたと悟ることを意味する。
That the clever reader does often thus solve the problem goes without saying.	賢明な読者はよく、解決を言われる前に問題を解くものだ。
16. A detective novel should contain no long descriptive passages, no literary dallying with side-issues, no subtly worked-out character analyses, no "atmospheric" preoccupations.	探偵小説には、長たらしい叙景の章節や枝葉末節に関する文学的饒舌、精緻を極めた性格分析、過剰な”雰囲気”の記述が含まれるべきではない。
such matters have no vital place in a record of crime and deduction.	そのような事柄は、犯罪を記録したり推理するのには重要ではない。
They hold up the action and introduce issues irrelevant to the main purpose,	また、筋の運びを邪魔してしまい、筋違いな問題を導入する。
which is to state a problem, analyze it, and bring it to a successful conclusion.	探偵小説の主目的は、問題を提出し、それを分析し、成功裏に結論に導くことである。
To be sure, there must be a sufficient descriptiveness and character delineation to give the novel verisimilitude.	もちろん、適切な背景説明と性格描写は、小説に真実性を与えるためには必要である。
17. A professional criminal must never be shouldered with the guilt of a crime in a detective story.	職業的犯罪者に探偵小説の中で行われた犯罪の責任を負わせてはならない。
Crimes by housebreakers and bandits are the province of the police departments ―― not of authors and brilliant amateur detectives.	押し入り強盗や山賊による犯罪は警察の領分であり、作家や明敏な素人探偵が扱う分野ではない。
A really fascinating crime is one committed by a pillar of a church, or a spinster noted for her charities.	真に魅力ある犯罪は、教会の重鎮とか、慈善事業を行うことがよく知られているオールドミスによって実行されたものである。
18. A crime in a detective story must never turn out to be an accident or a suicide.	探偵小説の中で行われる犯罪は、決して事故や自殺でまとめてはならない。
To end an odyssey of sleuthing with such an anti-climax is to hoodwink the trusting and kind-hearted reader.	長編推理活劇を、このような、最後が劇的でない方法で終わらせることは、読者の信頼を裏切る詐欺行為である。
19. The motives for all crimes in detective stories should be personal.	探偵小説における犯罪の動機は個人的なものであるべきだろう。
International plottings and war politics belong in a different category of fiction ―― in secret-service tales, for instance.	国際的陰謀や国家戦略は、違った種類の小説―たとえばスパイ小説など―に属するものである。
But a murder story must be kept gem&uuml;tlich, so to speak.	殺人物語にはいわばGemutich［uの上に点２つ］（心情）とでもいうべきものがこもっていなければならない。
It must reflect the reader's everyday experiences, and give him a certain outlet for his own repressed desires and emotions.	読者の日々の経験を反映しなければならないし、読者自身の抑制された欲求と感情に対してある程度のはけ口を与えなければならない。
20. And (to give my Credo an even score of items) I herewith list a few of the devices which no self-respecting detective story writer will now avail himself of.	そして（私の”信条”を20個にするために）私はここに、自尊心のある探偵小説作家ならば、現在では決して使うことをしなくなった手法をここに掲げる。
They have been employed too often, and are familiar to all true lovers of literary crime.	これらはあまりに使われすぎて、犯罪小説の愛好家にとってはすでにおなじみとなっている。
To use them is a confession of the author's ineptitude and lack of originality.	以下の手法を使うことは、作者の無能と独創性の欠如をあらわにすることである。
(a) Determining the identity of the culprit by comparing the butt of a cigarette left at the scene of the crime with the brand smoked by a suspect.	(a)犯罪の現場に残されていた煙草の吸いさしを、容疑者が吹かしている煙草の銘柄と比較して、犯人の正体を決定する。
(b) The bogus spiritualistic se'ance to frighten the culprit into giving himself away.	(b)似非降霊術で犯人を脅して自供させる。
(c) Forged fingerprints.	(c)偽の指紋。
(d) The dummy-figure alibi.	(d)替え玉によるアリバイ。
(e) The dog that does not bark and thereby reveals the fact that the intruder is familiar.	(e)犬が吠えないので、侵入者が犬にとってなじみの人物であることが分かる。
(f)The final pinning of the crime on a twin, or a relative who looks exactly like the suspected, but innocent, person.	(f)確実に容疑がかかっているけれども無実の人間の、双子とかよく似ている近親者を最後に犯人とする。
(g) The hypodermic syringe and the knockout drops.	(g)皮下注射器や即効性の毒薬。
(h) The commission of the murder in a locked room after the police have actually broken in.	(h)警官が踏み込んだ後で密室殺人計画を実行する。
(i) The word association test for guilt.	(i)言葉の連想反応実験による犯人の指摘。
(j) The cipher, or code letter, which is eventually unraveled by the sleuth.	(j)文字または数字による暗号（最後に探偵が解読したもののことを指す）。
