THE FIR TREE	もみの木
"They are not taller than I; there was one indeed that was considerably shorter;	あの木たちは、みんな、わたしより小さいし、なかにはずっと小さいのもある。
and why do they retain all their branches?	それからまた、なんだって、枝をきりおとされないんだろう。
Whither are they taken?"	いったい、どこへつれていかれるんだろう。」
"We know!	もみの木は、こういってきくと、そばですずめたちが、さえずっていいました。
We know!"	「しっているよ、しっているよ、
"We have peeped in at the windows in the town below! We know whither they are taken!	町へいったとき、ぼくたちは、まどからのぞいたから、しっているよ。
The greatest splendor and the greatest magnificence one can imagine await them.	みんなは、そりゃあすばらしいほど、りっぱになるんだよ。
We peeped through the windows, and saw them planted in the middle of the warm room	まどからのぞくとね、あたたかいおへやのまんなかに、小さなもみの木は、みんな立っていたよ。
and ornamented with the most splendid things, with gilded apples, with gingerbread, with toys, and many hundred lights!"	金（きん）いろのりんごだの、蜜（みつ）のお菓子（かし）だの、おもちゃだの、それから、なん百とも知れないろうそくだので、それはそれは、きれいにかざられていたっけ。」
"And then?"	「で、それから――。」
asked the Fir Tree, trembling in every bough.	と、もみの木は、のこらずの枝をふるわせながらたずねました。
"And then?	「ねえ［＃「「ねえ」は底本では「ね「え」］、
What happens then?"	それから、どうしたの。」
"We did not see anything more:	「うん、それからどうしたか、ぼくたちはしらないよ。
it was incomparably beautiful."	とにかく、あんなきれいなものは、ほかでは見たことがないね。」
"I would fain know if I am destined for so glorious a career,"	「ああ、どうかして、そんなはなばなしい運（うん）がめぐってこないかなあ。」
cried the Tree, rejoicing.	と、もみの木は、とんきょうな声をあげました
"That is still better than to cross the sea!	「それこそ白い帆（ほ）をかけて、とおい海をこえていくよりも、ずっとよさそうだ。
What a longing do I suffer!	ああ、いきたいな。
Were Christmas but come!	はやく、クリスマスがくればいいなあ。
I am now tall, and my branches spread like the others that were carried off last year!	わたしはもう、去年、つれていかれた木とおなじくらい、せいが高くなったし、すっかり大きくそだってしまった。
Oh! were I but already on the cart!	――ああ、どうかして、はやく荷車（にぐるま）の上に、つまれるようになればいいなあ、
Were I in the warm room with all the splendor and magnificence!	そして、目のさめるように、りっぱになって、あたたかいへやに、すみたいものだなあ。
Yes;	だが、それからは、それからはどうなるだろう。
then something better, something still grander, will surely follow,	――たぶん、それからは、もっといいことがおこるだろう。
or wherefore should they thus ornament me?	もしそうでなければ、そんなにきれいに、わたしたちをかざっておくはずがないもの。
Something better, something still grander must follow	きっとなにか、たいしたことがおこるんだろう。
--but what?	だがそれはなんだろうなあ。
Oh, how I long, how I suffer!	――なんだかわからないが、ただいきたい。
I do not know myself what is the matter with me!"	もう、じぶんでじぶんがわからないんだ。」
"Rejoice in our presence!"	そのときまた、風とお日さまの光とが、やさしく声をかけました。
said the Air and the Sunlight.	「わたしたちのなかにいるほうがきらくだよ。
"Rejoice in thy own fresh youth!"	このひろびろしたなかで、げんきのいい、わかいときを、十分にたのしむのがいいのだよ。」
But the Tree did not rejoice at all;	けれども、もみの木は、そんなことをきいても、ちっともうれしくありませんでした。
he grew and grew, and was green both winter and summer.	こうして冬が去って、夏もすぎました。
People that saw him said,	ですからたれも、このもみの木をみた人で、
"What a fine tree!"	「なんてまあきれいな木だろうね。」
and towards Christmas he was one of the first that was cut down.	それで、クリスマスの季節（きせつ）になると、このもみの木は、とうとう、まっさきにきられました。
The axe struck deep into the very pith; the Tree fell to the earth with a sigh;	そのとき、おのが、木のしんまできりこんだので、もみの木は、うめきごえを立てて、地の上にたおれました。
he felt a pang--it was like a swoon;	からだじゅう、ずきずきいたんで、だんだん、気が遠くなりました。
he could not think of happiness,	かんがえてみると、うれしいどころではありません。
for he was sorrowful at being separated from his home, from the place where he had sprung up.	じぶんがはじめて芽（め）を出した森の家（いえ）からはなれるのは、しみじみかなしいことでした。
He well knew that he should never see his dear old comrades, the little bushes and flowers around him, anymore; perhaps not even the birds!	こどものときからおなじみの、ちいさな木や花などにも、それからたぶん小鳥たちにも、もうあえないだろうとおもいました。
The departure was not at all agreeable.	まったく旅（たび）に出るというのは、つらいものにちがいありませんでした。
The Tree only came to himself when he was unloaded in a court-yard with the other trees,	やっと、しょうきづいて見ると、もみの木は、ほかの木といっしょにわらにくるまれて、どこかのうちのにわのなかにおかれていました。
and heard a man say,	そばではひとりの男がこういっていました。
"That one is splendid!	「この木はすてきだなあ。
We don't want the others."	これいっぽんあればたくさんだ。」
Then two servants came in rich livery	そこへはっぴをきた、ふたりの男がやってきました。
and carried the Fir Tree into a large and splendid drawing-room.	そしてもみの木を、りっぱにかざった、大きなへやにはこんでいきました。
Portraits were hanging on the walls,	へやのかべにはいろいろながくが、かかっていました。
and near the white porcelain stove stood two large Chinese vases with lions on the covers.	タイルばりの大きなだんろのそばには、ししのふたのついた、青磁（せいじ）のかめが、おいてありました。
There, too, were large easy-chairs, silken sofas, large tables full of picture-books and full of toys, worth hundreds and hundreds of crowns--at least the children said so.	そこには、ゆりいすだの、きぬばりのソファだの、それから、すくなくとも、こどもたちのいいぶんどおりだとすると、百円の百倍もするえほんや、おもちゃののっている、大きなテーブルなどがありました。
And the Fir Tree was stuck upright in a cask that was filled with sand;	もみの木は、砂（すな）がいっぱいはいっている、大きなおけのなかにいれられました。
but no one could see that it was a cask,	けれど、たれの目にも、それはおけとは見えませんでた。
for green cloth was hung all round it, and it stood on a large gaily-colored carpet.	それは青あおした、きれでつつまれて、うつくしい色もようのしきものの上においてありました。
Oh! how the Tree quivered! What was to happen?	まあ、このさき、どんなことになるのかしら、もみの木はぶるぶるふるえていました。
The servants, as well as the young ladies, decorated it.	召使たちについて、お嬢（じょう）さんたちも出てきて、もみの木のおかざりを、はじめました。
On one branch there hung little nets cut out of colored paper,	枝にはいろがみをきりこまざいてつくったあみをかけました。
and each net was filled with sugarplums;	そのあみの袋には、どれもボンボンや、キャラメルがいっぱいはいっていました。
and among the other boughs gilded apples and walnuts were suspended, looking as though they had grown there,	金紙をかぶせたりんごや、くるみの実が、ほんとうになっているように、ぶらさがりました。
and little blue and white tapers were placed among the leaves.	それから、青だの、赤だの、白だのの、ろうそくを百本あまり、どの枝にも、どの杖にもしっかりとさしました。
Dolls that looked for all the world like men--the Tree had never beheld such before--were seen among the foliage,	まるで人間かと思われるほど、くりくりした目のにんぎょうが、葉と葉のあいだにぶらさがっていました。
and at the very top a large star of gold tinsel was fixed.	――木のてっぺんには、ぴかぴか光る金紙（きんがみ）の星をつけました。
It was really splendid--beyond description splendid.	こんなにいろいろなものでかざりたてましたから、もみの木は、それこそ、見ちがえるように、りっぱになりました。
"This evening!"	「さあ、こんばんよ。」
they all said.	と、その人たちは、みんないっていました。
"How it will shine this evening!"	「これでこんばん、あかりがつきます。」
"Oh!" thought the Tree.	それをきいて、もみの木はかんがえました。
"If the evening were but come!	「いいなあ、こんばんからだってねえ。
If the tapers were but lighted!	はやくばんになって、あかりがつけばいいなあ。
And then I wonder what will happen!	それからどんなことがあるだろう。
Perhaps the other trees from the forest will come to look at me!	森からいろいろな木があいにくるかしら。
Perhaps the sparrows will beat against the windowpanes!	それとも、すずめたちがまどガラスのところへ、とんでくるかしら。
I wonder if I shall take root here, and winter and summer stand covered with ornaments!"	もしかしたら、このままここで根がはえて、冬も夏もこうやってかざられたまま、立っているのかもしれない。」
He knew very much about the matter	そんなふうに、あれやこれやとかんがえるのも、もっともなことでした。
--but he was so impatient that for sheer longing he got a pain in his back,	けれども、もみの木はあんまりかんがえつめたので、からだのかわが、いたくなりました。
and this with trees is the same thing as a headache with us.	ちょうど、にんげんが、ずつうでくるしむように、木にとっては、このかわのいたいのは、かなりこまるびょうきなのでした。
The candles were now lighted	さて、ろうそくのあかりがつきました。
--what brightness!	なんというかがやかしさなのでしょう。
What splendor!	なんというりっぱさなのでしょう。
The Tree trembled so in every bough	もみの木は、うれしまぎれに、枝という枝をぶるぶるさせました。
that one of the tapers set fire to the foliage.	そのため、いっぽんのろうそくの火がゆれて、あおい葉にもえうつりました。
It blazed up famously.	おかげで、かなりこげました。
"Help! Help!"	「あぶないわ。」
cried the young ladies, and they quickly put out the fire.	と、お嬢（じょう）さんたちはさけんで、あわてて火をけしました。
Now the Tree did not even dare tremble.	そこでもみの木は、もうからだをふるわすこともできませんでした。
What a state he was in!	こうなると、それはまったくおそろしいほどでした。
He was so uneasy lest he should lose something of his splendor,	もみの木はせっかくのかざりを、ひとつもなくすまいと、しんぱいしました。
that he was quite bewildered amidst the glare and brightness;	それに、あんまり明（あか）るすぎるので、ただもうぼうっとなりました。――
when suddenly both folding-doors opened and a troop of children rushed in as if they would upset the Tree.	やがて、両びらきのとびらがさあっとあいて、こどもたちが、まるで、クリスマスの木ごとたたきおとしそうないきおいで、とびこんできました。
The older persons followed quietly;	おとなたちも、そのあとからしずかについてきました。
the little ones stood quite still.	こどもたちは、ほんのちょっとのあいだ、だまって立っていましたが、
But it was only for a moment; then they shouted that the whole place re-echoed with their rejoicing; they danced round the Tree, and one present after the other was pulled off.	――たちまち、わあっというさわぎになって、木のまわりをおどりまわりながら、クリスマスのおくりものを、ひとつ、ひとつ、さらっていきました。
"What are they about?"	「この子たちはなにをするんだろう。
thought the Tree.	なにがはじまるんだろう。」
"What is to happen now!"	と、もみの木はかんがえました。
And the lights burned down to the very branches,	するうち、枝のところまで、ろうそくは、だんだんともえていきました。
and as they burned down they were put out one after the other,	そしてひとつずつ消されてしまいました。
and then the children had permission to plunder the Tree.	やがて、木の枝につけてあるものを取ってもいいというおゆるしが出ました。
So they fell upon it with such violence	やれやれたいへん、こどもたちは、いきなり木をめがけて、とびつきました。
that all its branches cracked;	木はみしみしと音（おと）を立てました。
if it had not been fixed firmly in the ground, it would certainly have tumbled down.	もみの木のてっぺんにつけてある金（きん）紙の星（ほし）が、うまくてんじょうにしばりつけてなかったら、きっと木は、あおむけにひっくりかえされたことでしょう。
The children danced about with their beautiful playthings;	こどもたちは、もぎ取（と）ったりっぱなおもちゃを、てんでんにもって、おどりまわりました。
no one looked at the Tree	ですからたれひとり、もう木をふりかえって見るものはありませんでした。
except the old nurse, who peeped between the branches; but it was only to see if there was a fig or an apple left that had been forgotten.	たったひとり、ばあやが、木につけてあった、いちじくやりんごを、こどもたちがとりのこしていやしないかとおもって、枝のなかに首（くび）をさしいれて、のぞきこんだだけでした。
"A story!	「おはなししてね、
A story!"	おはなししてね。」
cried the children, drawing a little fat man towards the Tree.	こどもたちはそうさけんで、ずんぐりしたひとりの小さい人を、木のところへひっぱっていきました。
He seated himself under it and said,	その人は、木の下に腰（こし）をおろしてこういいました。
"Now we are in the shade,	「よしよし、こうしていれば、みなさんはみどりの森のなかにいるようなものだ。
and the Tree can listen too.	だから、この木もうれしがって、おはなしをきくだろう。
But I shall tell only one story.	だがおはなしはひとつだけだよ。
Now which will you have; that about Ivedy-Avedy,	＊イウェデ・アウェデのおはなしをしようかね。
or about Humpy-Dumpy, who tumbled downstairs, and yet after all came to the throne and married the princess?"	それとも、だんだんからころげおちたくせに、うまく出世（しゅっせ）して、王女（おうじょ）さまをおよめさんにした、でっくりもっくりさんのおはなしをしようかね。」
"Ivedy-Avedy,"	「イウェデ・アウェデ。」
cried some;	と、五六人のこどもたちはさけびました。
"Humpy-Dumpy,"	するとほかのこどもたちは、
cried the others.	「でっくりもっくりさん。」
There was such a bawling and screaming--the Fir Tree alone was silent, and he thought to himself,	みんながそうやって、くちぐちに、わいわいいいたてるので、がやがや、がやがや、おおさわぎになりました、けれども、もみの木ばかりは、だまってこうおもっていました。
"Am I not to bawl with the rest?	「わたしには、そうだんしてくれないのかしら。
Am I to do nothing whatever?"	わたしは、このおなかまではないのかしら。」
for he was one of the company,	なるほどおなかまにはちがいないのです。
and had done what he had to do.	けれどももみの木のおやくめは、もうすんでいました。
And the man told about Humpy-Dumpy that tumbled down, who notwithstanding came to the throne, and at last married the princess.	やがていまの人は、だんだんをころげおちたくせに、出世して、王女さまをおよめさんにした、でっくりもっくりさんのおはなしをしました。
And the children clapped their hands,	おはなしがすむと、こどもたちは、ぱちぱち手をたたいて、
and cried.	「もひとつして、もひとつして。」
"Oh, go on!	と、さけびたてました。
They wanted to hear about Ivedy-Avedy too, but the little man only told them about Humpy-Dumpy.	こどもたちはイウェデ・アウェデのおはなしもしてもらいたかったのでしたが、でっくりもっくりさんのおはなしだけで、がまんしなければなりませんでした。
The Fir Tree stood quite still and absorbed in thought;	もみの木はびっくりしたような、それでいて、かんがえこんでいるようなようすをしていました。
the birds in the wood had never related the like of this.	だって、森の鳥たちは、そんなはなしは、ちっともしてくれませんでしたからね。
"Humpy-Dumpy fell downstairs, and yet he married the princess!	「でっくりもっくりさんは、だんだんから、ころげおちたくせに、王女さまを、およめさんにしたとさ。
Yes, yes!	そうだ、そうだ。
That's the way of the world!"	それが世（よ）のなかというものなんだ。」
thought the Fir Tree,	と、もみの木はかんがえました。
and believed it all, because the man who told the story was so good-looking.	そしてあんなりっぱな人が、そうはなしたんだから、それはほんとうのことにちがいないと思いました。
"Well, well!	「そうだ、そうだ、
who knows, perhaps I may fall downstairs, too, and get a princess as wife!"	わたしだって、だんだんからころげおちて、王女さまをおよめさんにもらうかもしれない。」
And he looked forward with joy to the morrow, when he hoped to be decked out again with lights, playthings, fruits, and tinsel.	これで、あしたもまた、あかりをつけてもらって、おもちゃだの、金のくだものだので、かざられるのだと思って、もみの木はぞくぞくしていました。
"I won't tremble to-morrow!"	「あしたはもうふるえないぞ。
"I will enjoy to the full all my splendor!	こんなにりっぱになったのだから、うんとうれしそうな、とくいらしいかおをしていよう。
To-morrow I shall hear again the story of Humpy-Dumpy, and perhaps that of Ivedy-Avedy too."	きっとまた、でっくりもっくりさんのおはなしをしてもらえるだろうし、ことによったら、イウェデ・アウェデのおはなしもしてもらえるかもしれない。」
And the whole night the Tree stood still and in deep thought.	こうしてもみの木は、じっとひと晩（ばん）じゅうかんがえあかしました。
In the morning the servant and the housemaid came in.	つぎの朝（あさ）、召使たちがやってきました。
"Now then the splendor will begin again,"	「ああ、きっともういちど、りっぱにかざりなおしてくれるんだな。」
thought the Fir.	と、もみの木は思いました。
But they dragged him out of the room,	けれども、召使たちは、木をへやのそとへ、ひきずっていきました。
and up the stairs into the loft: and here, in a dark corner,	そして、はしごだんをあがっていって、屋根（やね）うらのものおきのうすぐらいすみへ、ほうりあげました。
where no daylight could enter, they left him.	そこにはまるで、お日さまの光がさして来ませんでした。
"What's the meaning of this?"	「どうしたっていうんだろう。
thought the Tree.	こんなところで、なにができるんだろう。
"What am I to do here?	こんなところで、はなしをしても、なにがきこえるだろう。」
What shall I hear now, I wonder?"	と、もみの木はかんがえました。
And he leaned against the wall lost in reverie.	そしてかべにもたれたまま、いつまでも、あきずに、かんがえつづけていました。
Time enough had he too for his reflections;	――もうずいぶん時間がありました。
for days and nights passed on,	なにしろ、いく日（にち）となく、いく晩となく、すぎて行きましたからね。
and nobody came up;	けれども、たれひとりやっては来ませんでした。
and when at last somebody did come, it was only to put some great trunks in a corner, out of the way.	それでも、とうとうたれかが上がってきましたが、なにかふたつ三つ大きな箱（はこ）を、すみのほうへほうりだして行ったばかりでした。
There stood the Tree quite hidden;	おかげで、もみの木は、その箱の下じきになって、かくれてしまいました。
it seemed as if he had been entirely forgotten.	まあその木のいることなど、まるで、忘れられてしまったのでしょう。
"'Tis now winter out-of-doors!"	「今は、そとは冬なのだ。
"The earth is hard and covered with snow;	地めんはかちかちにこおって、雪がかぶさっている。
men cannot plant me now,	だから、あの人たちは、わたしをうえることができない。
and therefore I have been put up here under shelter till the spring-time comes!	それで、わたしは春がくるまで、ここでかこわれているのだ。
How thoughtful that is!	ほんとに、なんてかんがえぶかい人たちだろう。
If it only were not so dark here, and so terribly lonely!	――ただ、ここがこんなに、うす暗（ぐら）いさびしいところでなければいいとおもうな。
Not even a hare!	――なにしろ、野うさぎ一ぴき、はねてこないのだもの。
And out in the woods it was so pleasant, when the snow was on the ground, and the hare leaped by;	――雪がつもって、うさぎがそばをはねまわったりするじぶん、あの町そとの森のなかは、ずいぶん、よかったなあ。
yes--even when he jumped over me;	そうそう、兎（うさぎ）がよく、あたまのうえをとびこえたっけ。
but I did not like it then!	あのときは、すいぶん、はらがたったがなあ。
It is really terribly lonely here!"	それにくらべては、ここの屋根うらのおそろしいほどな、さびしさといったら。」
"Squeak! Squeak!"	「チュウ、チュウ。」
said a little Mouse, at the same moment, peeping out of his hole.	そのとき、ふと、小ねずみがなきながら、ちょろちょろとはいだしてきました。
And then another little one came.	そのあとから、もう一ぴきの、小ねずみが出てきました。
They snuffed about the Fir Tree, and rustled among the branches.	ねずみたちは、もみの木のにおいをかいで見て、枝のあいだを、はいまわりました。
"It is dreadfully cold,"	「ひどいさむさですねえ。」
said the Mouse.	と、小ねずみたちはいいました。
"But for that, it would be delightful here,	「でもここはずいぶんいいところでしょう。
old Fir, wouldn't it?"	そうはおもいませんか、もみの木のおじいさん。」
"I am by no means old,"	「わたしは、そんなおじいさんじゃないぞ。」
said the Fir Tree.	と、もみの木は少しおこっていいました。
"There's many a one considerably older than I am."	「まだまだ、ぼくより、としをとっている木は、たくさんあるよ。」
"Where do you come from,"	「あなたはどこからきたの。
"and what can you do?"	いろんなことを知っているの。」
They were so extremely curious.	と、小ねずみたちは、たいへんなにかをききたがっていました。
"Tell us about the most beautiful spot on the earth.	世のなかで、いちばんすばらしいところのことを、おはなししてください。
Have you never been there?	あなたは、そこからきたんでしょう。
Were you never in the larder, where cheeses lie on the shelves, and hams hang from above; where one dances about on tallow candles: that place where one enters lean, and comes out again fat and portly?"	そら、たなの上にチーズがのっていたり、てんじょうから、ハムがぶらさがっていたり、あぶらろうそくの上で、おどりをおどったりして、はいるとき、ひょろひょろ［＃「ひょろひょろ」は底本では「ひょろょひろ」］、出るとき、むっくりでっくり――、と、いうようなところにいたんでしょう。」
"I know no such place,"	「どうも、そんな所は知らないね。」
said the Tree.	と、もみの木はいいました。
"But I know the wood,	「けれど、森のことならしっているよ。
where the sun shines and where the little birds sing."	そこではお日さまの光はよくあたるし、鳥がうたをうたっているよ。」
And then he told all about his youth;	それからもみの木は、じぶんのわかかったときのことを、すっかりはなしました。
and the little Mice had never heard the like before; and they listened	小ねずみは、これまでに、そんなことをちっともききませんでしたので、めずらしがってきいていました。
and said,	それからあとでこういいました。
"Well, to be sure! How much you have seen!	「まあずいぶんいろいろなものを、たくさん見たんですねえ。
How happy you must have been!"	ずいぶんしあわせだったんですねえ。」
"I!"	「わたしがかい。」
said the Fir Tree, thinking over what he had himself related.	そういわれて、もみの木は、はじめて、いま、じぶんのはなしたことをかんがえてみました。
"Yes, in reality those were happy times."	「なるほど、そういえばしあわせだったよ。
And then he told about Christmas-eve, when he was decked out with cakes and candles.	それから、もみの木は、おいしいおかしや、ろうそくのあかりでかざられた、クリスマスの前の晩のはなしをしました。
"Oh,"	「まあ、ずいぶんしあわせだったのね、もみの木のおじいさん。」
said the little Mice,	と、小ねずみがいいました。
"I am by no means old,"	「わたしは、そんなにおじいさんではないというのに。」
said he.	と、もみの木はいいました。
"I came from the wood this winter;	「この冬、はじめて森のなかから出てきたばかりだもの。
I am in my prime,	わたしは、今がさかりの年なんだ。
and am only rather short for my age."	ただすこしのっぽにそだちすぎたかもしれない。」
"What delightful stories you know,"	「おじさんのはなしはおもしろいね。」
said the Mice:	と、小ねずみがいいました。
and the next night they came with four other little Mice, who were to hear what the Tree recounted:	つぎの晩にも、小ねずみは、ほかに四ひきのなかまをつれて、話をききにやってきました。
and the more he related, the more he remembered himself;	もみの木は、話していればいるほど、あれもこれもはっきりおもいだせました。
and it appeared as if those times had really been happy times.	そして、こうかんがえました。
"But they may still come	「あのじぶんは、ほんとにしあわせだったけれど、ああいうじだいがまたやってくるだろう。
--they may still come!	きっとまたやってくるだろう。
Humpy-Dumpy fell downstairs, and yet he got a princess!"	でっくりもっくりさんは、だんだんからころげおちたくせに、王女さまをおよめさんにもらった。
and he thought at the moment of a nice little Birch Tree growing out in the woods:	それから、もみの木は、森のなかにはえていた、かわいらしい白（しら）かばの木のことをおもいだしました。
to the Fir, that would be a real charming princess.	その白かばの木は、ほんとにきれいでしたから、もみの木には、それがうつくしい王女さまのようにおもわれました。
"Who is Humpy-Dumpy?"	「でっくりもっくりさんて、だれなんですか。」
asked the Mice.	と、小ねずみたちがたずねました。
So then the Fir Tree told the whole fairy tale, for he could remember every single word of it;	もみの木は、ひとつもまちがえずに、そのおはなしを、すっかりはなしてやりました。
and the little Mice jumped for joy up to the very top of the Tree.	小ねずみたちは、それはそれはうれしがって、もみの木のいちばん高い枝にとびつきそうにしていました。
Next night two more Mice came,	つぎの晩には、もっと、たくさんのねずみたちがきました。
and on Sunday two Rats even;	にちよう日には二ひきのおやねずみさえ出てきました。
but they said the stories were not interesting,	けれど、このおやねずみは、そんなはなしは、いっこうおもしろくないといいました。
which vexed the little Mice;	そういわれると、小ねずみたちも、すこし、がっかりしていました。
and they, too, now began to think them not so very amusing either.	なるほど、それはせんほどおもしろくおもわれませんでしたものね。
