THE SLEEPING BEAUTY IN THE WOODS.	眠る森のお姫さま
where a good old woman, alone, was spinning with her spindle.	見ると、そこには、人のよさそうなおばあさんが、ひとりぼっちですわっていて、つむで糸をつむいでいました。
This good woman had never heard of the King's orders against spindles.	このおばあさんは、つむを使ってはならないという、きびしい王様のおふれを、つい聞かなかったものとみえます。
"What are you doing there, my good woman?"	「おばあさん、そこでなにをしているの。」
said the Princess.	と、お姫さまはたずねました。
"I am spinning, my pretty child,"	「ああ、かわいいじょッちゃん、わたしゃ、糸をつむいでいるのだよ。」
said the old woman,	と、おばあさんはいいました。
who did not know who the Princess was.	このおばあさんは、王女がたれだか、すこしも知らないようでした。
"Ha!"	「まあ。」
said the Princess,	と、王女はいいました。
"this is very pretty;	「なんてきれいなんでしょう。
how do you do it?	それはどういうふうにやるものなの。
Give it to me.	あたしにかしてごらんなさいな。
Let me see if I can do it."	あたしにもできるかどうか、やってみたいから。」
She had no sooner taken it into her hand than, either because she was too quick and heedless, or because the decree of the fairy had so ordained, it ran into her hand, and she fell down in a swoon.	お姫さまは、こういって、そのつむを、手にとりましたが、それは持ち方がいけなかったのか、たいへんあわてて、ぶきような持ち方をしたのか、それとも、あのわるい妖女（ようじょ）ののろいのことばが、いよいよしるしをあらわすときになったのか、とたん、つむは、いきなり王女の手にささって、王女はばったり、そこに倒（たお）れてしまいました。
The good old woman, not knowing what to do, cried out for help.	人のいいおばあさんは、あわてて人を呼びました。
People came in from every quarter;	みんな、お城のそこからもここからも、かけ出してきました。
they threw water upon the face of the Princess, unlaced her, struck her on the palms of her hands, and rubbed her temples with cologne water; but nothing would bring her to herself.	お姫さまの顔に水をそそぎかけたり、ひもをといて着物をゆるめたり、手のひらをたたいてみたり、ハンガリア女王の水という薬で、こめかみをもんだり、いろいろにしてみても、王女は息をふきかえしませんでした。
Then the King, who came up at hearing the noise,	さて、王様はこのさわぎを聞いて、さっそくかけつけておいでになりました。
remembered what the fairies had foretold.	そうして十五年むかしの妖女（ようじょ）のよげんを思い出しながら、
He knew very well that this must come to pass, since the fairies had foretold it, and he caused the Princess to be carried into the finest room in his palace, and to be laid upon a bed all embroidered with gold and silver.	やはりこうなるうんめいだったことをさとって、お姫さまを、そのまま、お城のなかでも、いちばん上等のへやにつれて行かせ、金と銀のぬいとりをした、［＃「、」は底本では「。」］きれいなねだいの上にねかしました。
One would have taken her for a little angel, she was so beautiful;	ねだいの上に、すやすや眠っておいでになるお姫さまの、美しさといってはありません。
for her swooning had not dimmed the brightness of her complexion: her cheeks were carnation, and her lips coral.	人ごこちがなくなっていても、生きているとおりの顔いろをしていて、ほおは、せきちく色をしていましたし、くちびるは、さんごをならべたようでした。
It is true her eyes were shut, but she was heard to breathe softly,	目こそつぶってはいますものの、かすかに息をする音は聞こえます。
which satisfied those about her that she was not dead.	それで、王女が死んでいないということがわかったので、まわりについている人たちは、よろこんでいました。
The King gave orders that they should let her sleep quietly till the time came for her to awake.	王様はそこで、やがて人が来て、目をさまさせるまで、しずかにねかしておくようにと、きびしくおいいつけになりました。
The good fairy who had saved her life by condemning her to sleep a hundred years was in the kingdom of Matakin, twelve thousand leagues off, when this accident befell the Princess; but she was instantly informed of it by a little dwarf,	さて、王女を百年のあいだ眠らせることにして、やっと、あやういいのちをとりとめた、あの心のいい妖女は、ちょうどこのさわぎの起こったとき、一万（まん）二千里（り）はなれた、マタカン国に行っていましたが、その使っているこびとから、この知らせをすぐうけとりました。
who had seven-leagued boots, that is, boots with which he could stride over seven leagues of ground at once.	そのこびとは、『七里とびの長ぐつ』といって、ひとまたぎに七里ずつあるく長ぐつをはいて、かけて行ったのです。
The fairy started off at once, and arrived, about an hour later, in a fiery chariot drawn by dragons.	それで、妖女（ようじょ）はさっそくそこを出て、竜（りゅう）にひかせた火の車に乗ると、ちょうど一時間で、王様のお城につきました。
The King handed her out of the chariot,	王様は、お手ずから、妖女を馬車から助けおろしました。
and she approved everything he had done;	妖女は、王様のなさったことを、すべてけっこうですといいました。
but as she had very great foresight, she thought that when the Princess should awake she might not know what to do with herself, if she was all alone in this old palace.	でも、たいへん先のことのよく見える妖女でしたから、百年ののちに、お姫さまがせっかく目をさましても、この古いお城の中に、たったひとり、ぽつねんとしているのでは、どうしていいか、わからなくて、さぞお困りになるだろうと思いました。
This was what she did:	そこで、なにをしたでしょうか。
she touched with her wand everything in the palace (except the King and Queen),--governesses, maids of honor, ladies of the bedchamber, gentlemen, officers, stewards, cooks, undercooks, kitchen maids, guards with their porters, pages, and footmen;	妖女は、魔法（まほう）の杖（つえ）をふるって、王様とお妃をのぞいては、お城のなかの物のこらず、それはおつきの女教師（おんなきょうし）から、女官（じょかん）から、おそばづきの女中（じょちゅう）から、宮内（くない）官、表役人（おもてやくにん）、コック長、料理番（りょうりばん）から、炊事係（すいじがかり）、台所ボーイ、番兵、おやといスイス兵、走り使いの小者（こもの）までのこらず、杖（つえ）でさわりました。
she likewise touched all the horses which were in the stables, the cart horses, the hunters and the saddle horses, the grooms, the great dogs in the outward court, and little Mopsey, too, the Princess's spaniel, which was lying on the bed.	それから、おなじようにして、べっとうといっしょに、うまやでねている馬も、裏庭に遊んでいるむく犬も、お姫さまのねだいの上で眠っているお手飼（がい）の狆（ちん）までも、みんな魔法の杖でさわりました。
As soon as she touched them they all fell asleep, not to awake again until their mistress did, that they might be ready to wait upon her when she wanted them.	魔法の杖でさわると、すぐ、たれもかれも、なにもかも、たわいもなく眠りこけてしまって、お姫さまが目がさますまでは、けっして目をさましませんし、お姫さまに用事ができれば、いつでも目をさまして、御用をつとめるはずでした。
The very spits at the fire, as full as they could hold of partridges and pheasants, fell asleep, and the fire itself as well.	なにもかも眠ってしまったといって、それはかまどの前の焼きぐしまでが、きじや、やまどりの肉をくしにさしたまま、やはり眠ってしまいました。
All this was done in a moment.	これだけのことが、みんな、ほんの目（ま）ばたきひとつするまに、できあがってしまいました。
Fairies are not long in doing their work.	妖女（ようじょ）というものは、まったくしごとの早いものですね。
And now the King and Queen, having kissed their dear child without waking her, went out of the palace	さてそこで、王様とお妃とは、お姫さまのひたいに、そっと、やさしくほおずりして、お城から出て行きました。
and sent forth orders that nobody should come near it.	そうしておいて、たれもお城に近づくことはならないという、きびしいおふれを、また国じゅうにまわしました。
These orders were not necessary;	でも、そのおふれは、わざわざ出すまでもありませんでした。
for in a quarter of an hour's time there grew up all round about the park such a vast number of trees, great and small, bushes and brambles, twining one within another, that neither man nor beast could pass through;	なぜというに、十五分とたたないうち、お城をとりまわしている園（その）の中に、たくさんの高い木やひくい木が、もっさりと茂（しげ）りだして、そのあいだには、いばらや草やぶが、びっしり鉄条網（てつじょうもう）のようにからみついてしまいましたから、人間もけだものも、それをくぐってはいることはできなかったからです。
so that nothing could be seen but the very top of the towers of the palace;	そういうわけで、しばらくすると、そとから見えるものは、お城の塔（とう）のてっぺんだけになりました。
and that, too, only from afar off.	それも、よほど遠くにはなれてでなければ、見えないのです。
Every one knew that this also was the work of the fairy in order	これも、妖女のみごとな、はなれわざだったことがわかりました。
that while the Princess slept she should have nothing to fear from curious people.	こうして、王女は眠っているあいだ、たれひとりおもしろ半分、のぞきにくることもできないようになったのでございます。
After a hundred years	さて、百年は夢（ゆめ）のようにすぎました。
the son of the King then reigning, who was of another family from that of the sleeping Princess, was a-hunting on that side of the country,	そのじぶん、その国をおさめていた新しい王様の王子が、ある日、眠る森の近くを通りかかりました。
and he asked what those towers were which he saw in the middle of a great thick wood.	それで、遠くからお城の塔をみつけると、あの森の中にある塔はなんだといって、おそばの者にききました。
Every one answered according as they had heard.	みんなは、てんでん、じぶんの聞いているとおりをこたえました。
Some said that it was an old haunted castle,	なかのひとりは、あれは、ゆうれいが出るというひょうばんの、古い荒城（あれじろ）だといいました。
others that all the witches of the country held their midnight revels there,	すると、またひとりが、あれはこの国の魔法使（まほうつかい）や、わるいみこたちが、夜会（やかい）をする場所だといいました。
but the common opinion was that it was an ogre's dwelling, and that he carried to it all the little children he could catch, so as to eat them up at his leisure, without any one being able to follow him, for he alone hadthe power to make his way through the wood.	そのなかで、わりあい、おおぜいのもののいうところでは、あれは昔から人くい鬼の住んでいるお城で、ちいさなこどもをつかまえては、みんなあそこへさらって行って、それで、たれもあとからついてこられないように、あのとおり、じぶんだけ通って行ける森をこしらえて、その中でゆっくりたべるのだということでした。
The Prince did not know what to believe, and presently a very aged countryman spake to him thus:--	王子は、このうちのどれを信じていいか、わからないので、まよっていますと、そのとき、ひとり、この土地に古くからいる年よりのお百姓（しょう）が、こういいました。
"May it please your royal Highness, more than fifty years since I heard from my father that there was then in this castle the most beautifulprincess that was ever seen;	「王子さま、失礼（しつれい）ではございますが、わたくしが五十年も前、父から聞きました話では、――その父はまた、もとは、じじいから聞いたのだと申しますが、――このお城の中には、それはそれは美しい王女のお姫（ひめ）さまが住んでおりまして、
that she must sleep there a hundred years, and that she should be waked by a king's son, for whom she was reserved."	もう百年のあいだ、ずっと眠りつづけたあと、ちょうど百年めに、ある王様の王子が来て、目をさましてくださるのを、待っているのだということでございます。」
The young Prince on hearing this was all on fire.	若い王子は、この話を聞くと、からだじゅうに、かっとあつい血がもえあがるようにおもいました。
He thought, without weighing the matter, that he could put an end to this rare adventure;	ぜひとも、このめずらしいできごとのおさまりを、自分でつけてしまわなければとおもいたちました。
and, pushed on by love and the desire of glory, resolved at once to look into it.	美しいお姫さまをさずかるうえに、たれもはいれない魔法（まほう）のお城をきりひらく名誉（めいよ）が、自分のものになるとおもうと、もううしろからからだを押されるような気がして、さっそく、そのしごとにかかろうと決心（けっしん）しました。
As soon as he began to get near to the wood, all the great trees, the bushes, and brambles gave way of themselves to let him pass through.	そこで、王子は、森にむかってずんずん進んでいきますと、大きな木も低（ひく）い木も、草やぶもいばらも、みんな道をよけて通しました。
He walked up to the castle which he saw at the end of a large avenue;	その広い道をどこまでも行きますと、やがてその奥（おく）にあるお城に着きました。
and you can imagine he was a good deal surprised when he saw none of his people following him,	ところで、すこしびっくりしたことには、ふとふりかえってみると、家来（けらい）に、ひとりもついてくるものがないのです。
because the trees closed again as soon as he had passed through them.	なぜというに、王子がはいるといっしょに、すぐ森の口がしまってしまったからです。
However, he did not cease from continuing his way;	けれども、王子はかまわずに、ずんずん進んでいきました。
a young prince in search of glory is ever valiant.	若いやさしい、そして火のようにあつい心をもった王子は、いつも勇気のあるものです。
He came into a spacious outer court,	王子はやがて大きな広い庭に出ました。
and what he saw was enough to freeze him with horror.	そこでまず見たものは、どんなこわいもの知らずでも、ぞっとして、骨までこおるようなものでした。
A frightful silence reigned over all;	なにもかも、気味（きみ）のわるいほど、しいんとしずまりかえっていました。
the image of death was everywhere, and there was nothing to be seen but what seemed to be the outstretched bodies of dead men and animals.	そこにも、ここにも、目に見えるものは、人間や動物が、みんな死んだもののように、ぐんにゃり手足をなげ出しているすがたでした。
He, however, very well knew, by the ruby faces and pimpled noses of the porters, that they were only asleep;	けれども、そこに立っている、おやといスイス兵の鼻いきは、ぷんとお酒くさいし、ぽおっと赤いほほをしているのを見ても、この連中（れんじゅう）は、みんな眠っているのだということが、すぐ分かりました。
and their goblets, wherein still remained some drops of wine, showed plainly that they had fallen asleep while drinking their wine.	しかも、その手にもった茶わんには、まだぶどう酒（しゅ）のしずくがのこっているので、なかまとお酒（さか）もりのさいちゅう、眠ってしまったのだということまで知れました。
He then crossed a court paved with marble, went up the stairs, and came into the guard chamber, where guards were standing in their ranks, with their muskets upon their shoulders, and snoring with all their might.	王子はそれから、大理石（だいりせき）をしきつめた大ろうかを通って、かいだんの上まで行って、番兵のつめているへやにはいりますと、番兵らは鉄砲（てっぽう）を肩にのせてならんだまま、ありったけの高いびきをかいてねていました。
He went through several rooms full of gentlemen and ladies, some standing and others sitting, but all were asleep.	それからまた進んで、いくつかのへやを通って行きますと、どのへやにも、紳士（しんし）たちや貴婦人（きふじん）たちが、立っているものも、腰をかけているものも、みんな、たわいなく眠りこけていました。
He came into a gilded chamber,	とうとう、おしまいにはいったのは、のこらずが金ずくめのきらきらしいへやでした。
where he saw upon a bed, the curtains of which were all open, the most beautiful sight ever beheld	そこに、りっぱなねだいがすえてあって、四方のとばりのこらず、あげた中に、それこそこの世にふたつとない美しいものがあらわれました。
--a princess who appeared to be about fifteen or sixteen years of age, and whose bright and resplendent beauty had something divine in it.	たぶん十五六くらいの年ごろのお姫さまが、こうごうしく光りかがやくすがたで、眠っていたのです。
He approached with trembling and admiration, and fell down upon his knees before her.	あっと、おどろきながら、王子はふるえる足をふみしめふみしめ、その前にひざまづきました。
Then, as the end of the enchantment was come, the Princess awoke,	さあ、これで魔法（まほう）の力もいよいよつきたのでしょう、王女は、ふと目をさましました。
and looking on him with eyes more tender than could have been expected at first sight, said:--	そして、なんともいえないやさしい目で、じいっと王子のほうをながめました。
"Is it you, my Prince?	「王子さま、あなたでございましたの。」
You have waited a long while."	「ずいぶん待っていただきましたのね。」
The Prince, charmed with these words, and much more with the manner in which they were spoken, knew not how to show his joy and gratitude;	王子は、このことばを聞くと、なんといって、心のよろこびをいいあらわしていいか、分かりませんでした。
he assured her that he loved her better than he did himself.	王子は、じぶんのことよりも、どんなにかよけいに、お姫さまのことを、おもっているか知れないといいました。
Their discourse was not very connected, but they were the better pleased, for where there is much love there is little eloquence.	ふたりの話は、話すというよりも、泣いているといったほうがいいほど、ただもう、しどろもどろなものでした。
He was more at a loss than she, and we need not wonder at it;	ことばは、よどみがちでしたが、やさしい心のいずみは、かえって、いきおいよく流れ出しました。
she had had time to think of what to say to him; for it is evident (though history says nothing of it) that the good fairy,  during so long a sleep, had given her very pleasant dreams.	それに、王子のほうは、きまりはわるいし、ただおどろいているばかりなのに、王女のほうは、なにしろ百年のあいだ、妖女（ようじょ）がおもしろい夢（ゆめ）を、それからそれと見どおしに見せていてくれたのですから、いくら話しても話しても、話のたねがつきるということがないのです。
In short, they talked together for four hours, and then they said not half they had to say.	ですからふたりは、かれこれ四時間もぶっとおしに話しつづけていて、そのくせ話したいことの半分も話しきらずにいました。
In the meanwhile all the palace had woke up with the Princess;	そうこうするうち、お姫さまといっしょに、お城のそこでもここでも、みんなが目をさましました。
every one thought upon his own business,	たれもかれも、じぶんじぶんのしごとを思い出しました。
and as they were not in love, they were ready to die of hunger.	ところで、みんなは、さしあたり、ほかに、くろうもくったくもありませんでしたから、まっさきにおなかがすいて、倒（たお）れそうにおもいました。
The lady of honor, being as sharp set as the other folks, grew very impatient, and told the Princess aloud that the meal was served.	女官頭（がしら）は、ほかの人たちとおんなじに、ひどくおなかがへって、がまんできないほどでしたから、だしぬけに大きな声で、お姫さま、お夕飯（ゆうはん）のおしたくができましたと、申しあげました。
The Prince helped the Princess to rise.	王子は、王女のお姫さまを助けて立ちあがらせました。
She was entirely and very magnificently dressed; but his royal Highness took care not to tell her that she was dressed like his great-grandmother, and had a high collar.	お姫さまは、ずいぶんりっぱなふうをしていましたが、なにしろそれは百年まえにはやった、王子のひいおばあさんの着物とおなじようだということを、さすがにお姫さまにむかっていうことは、えんりょしていました。
She looked not a bit the less charming and beautiful for all that.	いくら流行（りゅうこう）おくれなふうはしていても、それがために、王女の美しさにも、かわいらしさにも、いっこう、かわりはなかったのですからね。
They went into the great mirrored hall,	さて、ふたりは、鏡（かがみ）の間（ま）に出て行きました。
where they supped, and were served by the officers of the Princess's household.	そこで夕飯（ゆうはん）の食卓（しょくたく）について、王女づきの女官（じょかん）たちがお給仕（きゅうじ）に立ちました。
The violins and hautboys played old tunes, but they were excellent, though they had not been for a hundred years;	そのあいだ、バイオリンだの、木笛（きぶえ）だのが、百年まえの古い曲（きょく）をかなでました。
and after supper, without losing any time, the lord almoner married them in the chapel of the castle.	食事がすむと、時をうつさず、大僧正（だいそうじょう）は、ふたりをお城の礼拝堂（れいはいどう）へ案内（あんない）して、ご婚礼（こんれい）をすませました。
They had but very little sleep--the Princess scarcely needed any;	ふたりはその晩、ほんのわずかしか眠りませんでした。
and the Prince left her next morning to return into the city,	王子は、あくる朝、王女にわかれて町へかえりました。
where his father was greatly troubled about him.	おとうさまの王様が、待ちこがれておいでになるところへ、かえって行ったのでございます。
The Prince told him that he lost his way in the forest as he was hunting, and that he had slept in the cottage of a charcoal-burner, who gave him cheese and brown bread.	王子は、狩（かり）［＃「狩（かり）」は底本では「狩（かり）り」］をしているうち、森の中で道にまよって、一軒（けん）の炭焼小屋にとまって、チーズや黒パンをたべさせてもらったことなどを話しました。
The King, his father, who was a good man, believed him;	おとうさまの王様は、人のいい人でしたから、王子のいうことをほんとうになさいました。
she began to suspect that he was married;	けれど、おかあさまのお妃は、もうさっそく、王子には、およめさんができていることを、おさとりになりました。
for he lived thus with the Princess above two whole years,	それから二年たちました。
during which they had two children,	王女には、ふたりもこどもが生まれました。
the elder, a daughter, was named Dawn,	上の子は女の子で、これは「朝」という名でした。
and the younger, a son, they called Day,	下の子は男の子でこれは「昼（ひる）」という名でした。
because he was a great deal handsomer than his sister.	そのわけは、弟のほうが、ねえさんよりも、ずっとりっぱで、美しかったからでございます。
But when the King was dead, which happened about two years afterward, and he saw himself lord and master,	それからまた二年たって、王様がおかくれになって、王子が、新しい王様の位につくことになりました。
he openly declared his marriage:	そこではじめて、天下（てんか）はれて、王女と結婚（けっこん）のしだいを、国じゅうに知らせました。
and he went in great state to conduct his Queen to the palace.	そうして、りっぱな儀式（ぎしき）をととのえて、あらためて、眠る森から、お姫さまをお迎えになりました。
They made a magnificent entry into the capital city, she riding between her two children.	王女はふたりのこどもを両わきにのせ、美しい行列の馬車をそろえて、王様のお城に乗りこみました。
