The Time Machine	タイムマシン
Here is a popular scientific diagram,	ここによくある科学的な図があります。
a weather record.	気象記録ですな。
This line I trace with my finger shows the movement of the barometer.	いまわたしが指でなぞっている線は、気圧計の動きを示しています。
Yesterday it was so high, yesterday night it fell, then this morning it rose again, and so gently upward to here.	昨日はとても高く、昨晩は下がり、今朝は上がって、じわじわとここまで上昇しました。
Surely the mercury did not trace this line in any of the dimensions of Space generally recognized?	もちろん水銀は、一般に認識される空間の次元のどれかに沿って、この線をたどったわけではありませんよね。
But certainly it traced such a line,	でも、それはまちがいなくこの線をたどったわけです。
and that line, therefore, we must conclude was along the Time-Dimension.'	したがってこの線は、時間次元に沿ってのものだったと結論せざるを得ません」
`But,'	医師は、暖炉の石炭を凝視しながら述べた。
said the Medical Man, staring hard at a coal in the fire,	「しかし、
`if Time is really only a fourth dimension of Space, why is it, and why has it always been, regarded as something different?	もし時間が空間の４番目の次元にすぎないのであれば、なぜそれは、いまも昔も、何かちがったものとして受け取られていたのでしょうか？
And why cannot we move in Time as we move about in the other dimensions of Space?'	そしてなぜわれわれは、空間の他の次元のように時間の中を移動できないのでしょうか？」
The Time Traveller smiled.	時間旅行者はにっこりした。
`Are you sure we can move freely in Space?	「空間の中を自由に移動できるというのは本当ですか？
Right and left we can go,	左右にも行けます。
backward and forward freely enough, and men always have done so.	前後も確かに自由自在ですし、人は常にそうしてきました。
I admit we move freely in two dimensions.	だから二次元でわれわれが自由に動くことは認めます。
But how about up and down?	でも上下はどうでしょう？
Gravitation limits us there.'	重力がわれわれをそこで制約します」
`Not exactly,'	「そうとはいえない。
said the Medical Man.	気球があります」
`There are balloons.'	と医師。
`But before the balloons, save for spasmodic jumping and the inequalities of the surface, man had no freedom of vertical movement.'	「でも気球以前は、けいれんじみたジャンプや地表面の不均等以外では、人は垂直方向を移動する自由がありませんでした」
`Still they could move a little up and down,'	「それでも、ちょっとは上下に移動できましたよ」
said the Medical Man.	と医師。
`Easier, far easier down than up.'	「下るほうが上がるより簡単ですね。
`And you cannot move at all in Time,	「でも時間の中ではまったく動けない。
you cannot get away from the present moment.'	現在からは逃れられない」
`My dear sir, that is just where you are wrong.	「おことばではありますが、そこがまさにあなたのまちがっているところなのです。
That is just where the whole world has gone wrong.	全世界がまちがっているのも、まさにそこなのです。
We are always getting away from the present movement.	われわれは常に、現在の動きから遠ざかっているのです。
Our mental existences, which are immaterial and have no dimensions, are passing along the Time-Dimension with a uniform velocity from the cradle to the grave.	われわれの意識存在は、非物質的で次元を持ちませんが、ゆりかごから墓場まで一定速度で時間次元に沿って移動しているので。
Just as we should travel DOWN if we began our existence fifty miles above the earth's surface.'	ちょうど、われわれの存在が地表面から80キロのところで始まったとしたら、われわれが下へ向かって移動するのと同じようにね」
`But the great difficulty is this,'	「でも大きな問題点がありますよ」
interrupted the Psychologist.	と心理学者が割り込んだ。
`You CAN move about in all directions of Space, but you cannot move about in Time.'	「空間ではすべての方向に動けますが、時間の中では動き回れないじゃありませんか」
`That is the germ of my great discovery.	「それが我が偉大な発見の難点でした。
But you are wrong to say that we cannot move about in Time.	でも、われわれが時間の中を動き回れないというのはまちがっています。
For instance, if I am recalling an incident very vividly I go back to the instant of its occurrence:	たとえば、わたしがある出来事をとても鮮明に思い出していたら、わたしはそれが起きた瞬間に戻っているわけです：
I become absent-minded, as you say.	文字通り、意識がお留守になるわけですね。
I jump back for a moment.	一瞬、時間を飛んで戻っているわけです。
Of course we have no means of staying back for any length of Time,	もちろん、長期にわたって戻ったままとなる手段は持っていません。
any more than a savage or an animal has of staying six feet above the ground.	野蛮人や動物が、地上2メートルに居続けられないのと同じことです。
But a civilized man is better off than the savage in this respect.	でも文明人はこの点で、野蛮人よりも成果を挙げています。
He can go up against gravitation in a balloon, and why should he not hope that ultimately he may be able to stop or accelerate his drift along the Time-Dimension, or even turn about and travel the other way?'	文明人は気球に乗って重力に逆らえますし、だから最終的には、時間次元に沿って自分の流れを止めたり、それを加速したり、あるいは向きを変えて逆行できると期待すべきでない法もないでしょうに」
`Oh, THIS,'	フィルビーが口を開いた。
began Filby,	「まったく、そこまでいくとまるっきり――」
`Why not?'	「なぜダメなんです？」
said the Time Traveller.	と時間旅行者。
`It's against reason,'	「道理に反してる」
said Filby.	とフィルビー。
`What reason?'	「何の道理です？」
said the Time Traveller.	と時間旅行者。
`You can show black is white by argument,'	「議論で白を黒と言いくるめることはできるが、わたしは絶対に納得しないでしょう」
said Filby,	とフィルビー。
`Possibly not,'	「そうかもしれません」
said the Time Traveller.	と時間旅行者は述べた。
`But now you begin to see the object of my investigations into the geometry of Four Dimensions.	「でも、わたしが四次元の幾何学について調べだした狙いはわかってきたでしょう。
Long ago I had a vague inkling of a machine--'	昔、わたしはばくぜんとある機械の着想を――」
`To travel through Time!'	「時間の中を旅行する機械ですか！」
exclaimed the Very Young Man.	と非常に若い男が叫んだ。
`That shall travel indifferently in any direction of Space and Time, as the driver determines.'	「運転手の決めたとおり、時間でも空間でも構わずにどんな方向へも旅行する機械の着想を得たのです」
Filby contented himself with laughter.	フィルビーはそれを笑い飛ばした。
`But I have experimental verification,'	「でも実験による証明があるんですよ」
said the Time Traveller.	と時間旅行者。
`It would be remarkably convenient for the historian,'	「歴史学者には実に便利でしょうなあ」
the Psychologist suggested.	と心理学者が指摘した。
`One might travel back and verify the accepted account of the Battle of Hastings, for instance!'	「過去に戻って、たとえばヘイスティングスの戦いについての定説を確認できますぞ！」
`Don't you think you would attract attention?'	医師が述べた。
said the Medical Man.	「目立ちすぎると思いませんか？
`Our ancestors had no great tolerance for anachronisms.'	われわれの先祖は、時代錯誤をあまり大目には見てくれませんでしたから」
`One might get one's Greek from the very lips of Homer and Plato,'	「ギリシャ語を、ホメロスやプラトン自身の口から習えるかも」
the Very Young Man thought.	と非常に若い男性が考えた。
`In which case they would certainly plough you for the Little-go.	「そうなったら、学位予備試験についてさぞかし根ほり葉ほり聞かれることでしょう。
The German scholars have improved Greek so much.'	ドイツの学者たちがギリシャ語を大幅に改良しましたからな」
`Then there is the future,'	「そして未来のこともある。
said the Very Young Man.	考えてもごらんなさい！
`Just think!	全財産を投資して、複利で増えるようにしてから、未来へとひとっ飛び！」
One might invest all one's money, leave it to accumulate at interest, and hurry on ahead!'	と非常に若い男性。
`To discover a society,'	「厳格な共産主義を基盤に構築された社会が見つかるだろうね」
said I,	とわたし。
`Of all the wild extravagant theories!'	「まったく、現実離れしたとんでもない理論だ！」
began the Psychologist.	と心理学者が口を開いた。
`Yes, so it seemed to me,	「はい、わたしにもそう思えました。
and so I never talked of it	だからこの話はしなかったのです。
until--'	それが――」
`Experimental verification!'	「実験による証明ですと！」
cried I.	とわたしは叫んだ。
`You are going to verify THAT?'	「それが実証できるとでも？」
`The experiment!'	「実験だ！」
cried Filby, who was getting brain-weary.	と、頭が混乱しはじめていたフィルビーも叫んだ。
`Let's see your experiment anyhow,'	「何はともあれ、あなたの実験を拝見しようじゃありませんか」
said the Psychologist,	と心理学者
`though it's all humbug, you know.'	「とはいえ、どうせみんなでたらめでしょうが」
The Time Traveller smiled round at us.	時間旅行者は一同を見回してにっこりした。
Then, still smiling faintly, and with his hands deep in his trousers pockets, he walked slowly out of the room, and we heard his slippers shuffling down the long passage to his laboratory.	そして、その微笑をかすかに残しつつ、両手をズボンのポケットに深くつっこんだまま、かれはゆっくりと部屋を出て、そしてかれの研究室までの長い廊下を下るかれのスリッパの音が聞こえるだけとなった。
The Psychologist looked at us.	心理学者がみんなを見回した。
`I wonder what he's got?'	「何が出てきますかね」
`Some sleight-of-hand trick or other,'	「なにやら手品かなんかでしょう」
said the Medical Man,	と医師。
and Filby tried to tell us about a conjurer he had seen at Burslem;	そしてフィルビーは、バースレムで見かけたいかさま師の話をしようとした。
but before he had finished his preface the Time Traveller came back, and Filby's anecdote collapsed.	でも導入部が終わるより先に、時間旅行者が戻ってきたので、フィルビーの小話もそれっきりとなった。
The thing the Time Traveller held in his hand was a glittering metallic framework, scarcely larger than a small clock, and very delicately made.	時間旅行者が手に持っていたのは、輝く金属の枠組みで小型の時計よりちょっと大きいだけで、実に入念に作られていた。
There was ivory in it, and some transparent crystalline substance.	象牙と、透明な水晶状の物質も使われていた。
And now I must be explicit,	そしてここでわたしは厳密な物言いをする必要がある。
for this that follows	というのも続いて起こったことは
--unless his explanation is to be accepted	――かれの説明を認めるのでない限り
--is an absolutely unaccountable thing.	――まったく説明のつかないことだったからだ。
He took one of the small octagonal tables that were scattered about the room, and set it in front of the fire, with two legs on the hearthrug.	かれは部屋のあちこちにおかれていた小さな八角形のテーブルを一つ持ってくると、暖炉の火の前に置いて、テーブルの脚の二本がじゅうたんのにかかるようにした。
On this table he placed the mechanism.	そのテーブルにかれはこの機械をおいた。
Then he drew up a chair, and sat down.	そして椅子を寄せると座った。
The only other object on the table was a small shaded lamp, the bright light of which fell upon the model.	テーブルの上にある物体は、他には小さな笠つきのランプだけで、その明るい光が模型を照らしている。
There were also perhaps a dozen candles about,	あとはまわりにろうそくが1ダースもあっただろうか。
two in brass candlesticks upon the mantel and several in sconces, so that the room was brilliantly illuminated.	マントルピースの上の真鍮製ろうそく立てに2本、ほかに壁に取り付けた燭台に何本かあって、部屋全体が明るく照らされていた。
I sat in a low arm-chair nearest the fire, and I drew this forward so as to be almost between the Time Traveller and the fireplace.	わたしは暖炉にいちばん近い、低いソファにすわっていたので、それを前に引き寄せて、ほとんど時間旅行者と暖炉の間に割り込みそうになった。
Filby sat behind him, looking over his shoulder.	時間旅行者の背後にはフィルビーがすわり、その肩越しにのぞきこんでいる。
The Medical Man and the Provincial Mayor watched him in profile from the right,	医師と地区長官は、右から時間旅行者の横顔を見ていた。
the Psychologist from the left.	心理学者は左からだ。
The Very Young Man stood behind the Psychologist.	非常に若い男は心理学者のうしろに立っていた。
We were all on the alert.	みんな緊張していた。
It appears incredible to me that any kind of trick, however subtly conceived and however adroitly done, could have been played upon us under these conditions.	こんな状況のもとでなにかトリックが行われるということは、それがどんなに入念に仕組まれてどんなに上手に実施されたものだろうと、ほとんどあり得ないように思う。
The Time Traveller looked at us, and then at the mechanism.	時間旅行者はわれわれを見て、そして機構に目をやった。
`Well?'	「それで？」
said the Psychologist.	と心理学者。
`This little affair,'	時間旅行者は、テーブルにひじをついて、装置の上に両手を押しつけた。
said the Time Traveller, resting his elbows upon the table and pressing his hands together above the apparatus,	「このちょっとしたしろものは、ただの模型です。
It is my plan for a machine to travel through time.	これは時間の中を旅行するマシンの設計図なんです。
You will notice that it looks singularly askew, and that there is an odd twinkling appearance about this bar, as though it was in some way unreal.'	これが一つだけ傾いていて、この棒のまわりに奇妙なちらつく感じがして、なにやら非現実的に見えるのがおわかりでしょう」
He pointed to the part with his finger.	とかれは、その部分を指さした。
`Also, here is one little white lever, and here is another.'	「それとここに白いレバーが一本、もう一本がこちらに」
The Medical Man got up out of his chair and peered into the thing.	医師はたちあがってその物体をのぞきこんだ。
`It's beautifully made,'	「見事な作りだ」
`It took two years to make,'	「作るのは二年がかりでしたよ」
retorted the Time Traveller.	と時間旅行者が答えた。
Then, when we had all imitated the action of the Medical Man, he said:	そしてみんなが医師の行動に続いたとき、かれは述べた。
`Now I want you clearly to understand that this lever, being pressed over, sends the machine gliding into the future, and this other reverses the motion.	「さて、みなさんにはっきり理解してほしいことですが、このレバーを前に倒すと、マシンは未来に滑り出し、こちらのレバーはその動きを逆転させます。
This saddle represents the seat of a time traveller.	このサドルは、時間旅行者の座席となります。
Presently I am going to press the lever, and off the machine will go.	いま、このレバーを押して、するとマシンが動き出します。
Have a good look at the thing.	よく見ていてくださいよ。
Look at the table too,	テーブルもしっかり見てください。
and satisfy yourselves there is no trickery.	種も仕掛けもないことを納得してください。
I don't want to waste this model, and then be told I'm a quack.'	この模型を失ったあとで、インチキ呼ばわりされるのはいやですからね」
There was a minute's pause perhaps.	一瞬ほど間があいただろうか。
The Psychologist seemed about to speak to me, but changed his mind.	心理学者はわたしに話しかけようとしたようだったが、中断した。
Then the Time Traveller put forth his finger towards the lever.	すると時間旅行者はレバーめがけて指を差しだした。
`No,'	「いや」
he said suddenly.	と突然言った。
`Lend me your hand.'	「手を貸してください」
And turning to the Psychologist, he took that individual's hand in his own and told him to put out his forefinger.	そして心理学者のほうに向き直ると、かれの手をとって、人差し指を出すように言った。
So that it was the Psychologist himself who sent forth the model Time Machine on its interminable voyage.	だから模型タイムマシンをその終わりのない旅行に送り出したのは、心理学者自身なのだった。
We all saw the lever turn.	みんなレバーが回るのを見た。
I am absolutely certain there was no trickery.	そこになんの細工もなかったと確信している。
There was a breath of wind, and the lamp flame jumped.	風が一閃、ランプの炎がゆらめいた。
One of the candles on the mantel was blown out, and the little machine suddenly swung round, became indistinct, was seen as a ghost for a second perhaps, as an eddy of faintly glittering brass and ivory;	マントルピースのろうそくが一本吹き消え、小さなマシンはいきなり回転して、不明瞭になると、一瞬ばかり幽霊じみたものとなり、かすかに輝く真鍮と象牙の幻影のようになった。
and it was gone	そしてそれは行ってしまった
--vanished!	――消滅したのだ！
Save for the lamp the table was bare.	ランプをのぞけば、テーブルの上には何もなかった。
Everyone was silent for a minute.	みんなが一分ほど何も言わなかった。
Then Filby said he was damned.	その後、フィルビーが
The Psychologist recovered from his stupor, and suddenly looked under the table.	心理学者は茫然自失状態から回復して、いきなりテーブルの下を見た。
At that the Time Traveller laughed cheerfully.	それを見て時間旅行者はうれしそうに笑った。
`Well?'	「いかがですな？」
he said, with a reminiscence of the Psychologist.	そして心理学者に一瞥をくれると、
Then, getting up, he went to the tobacco jar on the mantel, and with his back to us began to fill his pipe.	立ち上がり、マントルピースの上のタバコのびんのところにでかけて、こちらに背を向けてパイプにタバコを詰め始めた。
We stared at each other.	一同は顔を見合わせた。
`Look here,'	そして医師が口を開いた。
said the Medical Man,	「ねえあなた。
`are you in earnest about this?	これは本気ですか？
Do you seriously believe that that machine has travelled into time?'	本当にあのマシンが時間の中へ旅立ったと信じているのですか？」
`Certainly,'	「もちろん」
said the Time Traveller, stooping to light a spill at the fire.	と時間旅行者は言って、点火用こよりに火をつけようと身をかがめた。
Then he turned, lighting his pipe, to look at the Psychologist's face.	それから向きなおってパイプに火をつけ、心理学者の顔を見た
(The Psychologist, to show that he was not unhinged, helped himself to a cigar and tried to light it uncut.)	（心理学者は、動揺していないことを見せようとして、葉巻を取り出すと、それをカットせずに火をつけようとした）。
`What is more, I have a big machine nearly finished in there'	「さらに、大型のマシンをあそこでほとんど完成させてあるんです」
--he indicated the laboratory	――とかれは研究室を示した
--`and when that is put together I mean to have a journey on my own account.'	――「そしてそれが組み立て終わったら、自分自身で旅行をするつもりです」
`You mean to say that that machine has travelled into the future?'	「すると、あのマシンが未来へ旅立ったとおっしゃるんですか？」
said Filby.	とフィルビー。
`Into the future or the past--I don't, for certain, know which.'	「未来へか過去へか――わたしにもどっちか確実にはわかりません」
After an interval the Psychologist had an inspiration.	しばらく間をおいて、心理学者が思いついた。
`It must have gone into the past if it has gone anywhere,'	「もしどこかへ行ったのなら、過去のはずでしょう」
`Why?'	「なぜです？」
said the Time Traveller.	と時間旅行者。
`Because I presume that it has not moved in space, and if it travelled into the future it would still be here all this time, since it must have travelled through this time.'	「空間的には動いていないと思いますし、もし未来に旅立ったのなら、それはこの時間も通ったはずだから、まだずっとここにあるはずだからです」
`But,' I said, `If it travelled into the past it would have been visible when we came first into this room; 	「でも過去に旅立ったなら、この部屋に最初にきたときにも見えていたはずでしょう。
and last Thursday when we were here;	それに、ここにみんながきた木曜日にも。
and the Thursday before that;	その前の木曜も、
and so forth!'	そのさらに前にも！」
`Serious objections,'	「深刻な反論ですなあ」
remarked the Provincial Mayor, with an air of impartiality, turning towards the Time Traveller.	と地区長官は、公正さを漂わせつつ、時間旅行者に向き直った。
`Not a bit,'	「いえちっとも」
said the Time Traveller, and, to the Psychologist:	と時間旅行者は答え、心理学者に向かって述べた。
`You think.	「あなたが考えてください。
You can explain that.	あなたには説明できるはずだ。
It's presentation below the threshold, you know,	識閾以下の表示ですよ、おわかりでしょう。
diluted presentation.'	薄まった提示というわけです」
`Of course,'	「ああそうか」
said the Psychologist, and reassured us.	と心理学者は、みんなに断言してみせた。
`That's a simple point of psychology.	「これは心理学上の単純なできごとです。
I should have thought of it.	思いつくべきでした。
It's plain enough, and helps the paradox delightfully.	明快な話で、パラドックスも見事に説明できます。
We cannot see it, nor can we appreciate this machine, any more than we can the spoke of a wheel spinning, or a bullet flying through the air.	マシンを見ることも感じることもできないのは、回転する車輪のスポークが見えなかったり、空中を飛ぶ弾丸が見えないのと同じことです。
If it is travelling through time fifty times or a hundred times faster than we are, if it gets through a minute while we get through a second, the impression it creates will of course be only one-fiftieth or one-hundredth of what it would make if it were not travelling in time.	もしあれが時間の中を、われわれよりも50倍、100倍の速度で旅しているなら、われわれにとっての1秒をかけて1分を通過するなら、それが生み出す印象ももちろん、時間の中を旅していないものに比べて、五〇分の一か百分の一になるわけです。
That's plain enough.'	簡単なことです」
He passed his hand through the space in which the machine had been.	とかれは、マシンのあった空中に手を走らせて見せた。
`You see?'	「ごらんなさい」
he said, laughing.	とかれは笑った。
We sat and stared at the vacant table for a minute or so.	われわれはすわったまま、空っぽのテーブルを一分かそこら見つめていた。
Then the Time Traveller asked us what we thought of it all.	すると時間旅行者が、どう思うかみんなに尋ねた。
`It sounds plausible enough to-night,'	医師が答えた。
said the Medical Man;	「今夜のところは、いかにももっともらしく聞こえますな。
'but wait until to-morrow.	でも明日まで待ってごらんなさい。
Wait for the common sense of the morning.'	朝の常識を待ってご覧なさい」
`Would you like to see the Time Machine itself?'	「本当のタイムマシンをごらんになりたいでしょうか？」
asked the Time Traveller.	と時間旅行者。
And therewith, taking the lamp in his hand, he led the way down the long, draughty corridor to his laboratory.	そう述べたと同時に、ランプを手にとって、かれは長い風通しのよい廊下を通ってわれわれを研究室に先導した。
I remember vividly the flickering light, his queer, broad head in silhouette, the dance of the shadows, how we all followed him, puzzled but incredulous, and how there in the laboratory we beheld a larger edition of the little mechanism which we had seen vanish from before our eyes.	ちらつく明かりと、かれの奇妙な幅広いシルエットになったかれの頭、陰の踊り、みんながふしぎに思って疑いつつも後に従ったこと、そして研究室の中に、先ほどわれわれの目の前から消え失せた小さな機構の拡大版を目にしたことを、はっきりと覚えている。
Parts were of nickel, parts of ivory, parts had certainly been filed or sawn out of rock crystal.	一部はニッケル、一部は象牙、一部は明らかに、岩結晶から削りだしたか切り出したものだった。
The thing was generally complete, but the twisted crystalline bars lay unfinished upon the bench beside some sheets of drawings,	ほとんど完成していたが、結晶でできた棒が、図面何枚かの横に未完成のまま転がっていた。
and I took one up for a better look at it.	その一本をよく見ようと手に取った。
Quartz it seemed to be.	どうやら水晶のようだ。
`Look here,'	医師が述べた。
said the Medical Man,	「ねえあなた、
`are you perfectly serious?	本当に本気ですか？
Or is this a trick	それともこれは手品ですかな
--like that ghost you showed us last Christmas?'	――こないだのクリスマスに見せてくれた幽霊のように？」
`Upon that machine,'	時間旅行者はランプを掲げた。
said the Time Traveller, holding the lamp aloft,	「あのマシンに乗って、わたしは時間を探検するつもりです。
Is that plain?	わかりますか？
I was never more serious in my life.'	生まれてこの方、これほど真剣だったことはありません」
None of us quite knew how to take it.	一人残らず、どう受け取るべきかとまどっていた。
I caught Filby's eye over the shoulder of the Medical Man,	医師の肩越しにフィルビーの視線をつかまえた。
and he winked at me solemnly.	かれはまじめくさってウィンクしてみせた。
I think that at that time none of us quite believed in the Time Machine.	そのときは、誰一人としてタイムマシンを完全に信じていたわけではないと思う。
The fact is, the Time Traveller was one of those men who are too clever to be believed:	実のところ、時間旅行者は賢すぎて信用ならない種類の人物だったからだ。
you never felt that you saw all round him;	かれのすべてが見えたと思えることはなかった。
you always suspected some subtle reserve, some ingenuity in ambush, behind his lucid frankness.	かれの明るい開けっぴろげさの背後には、いつもちょっとした秘密、なにか待ち伏せしている小細工があるように思えるのだった。
Had Filby shown the model and explained the matter in the Time Traveller's words, we should have shown HIM far less scepticism.	フィルビーがあの模型を示して、時間旅行者と同じせりふで状況を説明したのだったら、かれのことはこんなに疑ってかからなかっただろう。
For we should have perceived his motives;	というのも、かれの動機が理解できたはずだからだ。
a pork butcher could understand Filby.	ブタ肉屋でもフィルビーは理解できる。
